[00:00:00.409 --> 00:00:05.912]  The Doomsday Clock was established in the 1950s to warn of the danger of nuclear war.
[00:04:41.406 --> 00:05:00.872]  The devil, in this story, is trying to consolidate humanity in open rebellion against God to destroy the Holy Line, to totally corrupt and demoralize the world so that the promised Messiah, who would crush the serpent's head, would not be able to come.
[00:05:01.452 --> 00:05:09.215]  In one great apostate united system against God, you might call this a New World Order.
[00:05:09.235 --> 00:05:17.778]  Someone like Vladimir Putin has now upset this balance of the New World Order that they were trying to achieve by going into Ukraine.
[00:05:17.818 --> 00:05:25.881]  The evil people want to run things, and I know that people like General Flynn is like kind of a military Amish person.
[00:05:25.901 --> 00:05:33.904]   That doesn't mean he's against technology, he thinks it's He thinks it's, at a subconscious level, a little too worldly to want to be the leader.
[00:05:34.564 --> 00:05:42.632]  A little too pushy to come out and, you know, it's just not, well, it's a little arrogant, it's a little egotistical.
[00:05:42.672 --> 00:05:43.252]  No, it's not!
[00:05:43.272 --> 00:05:44.773]  No, it's not!
[00:05:45.274 --> 00:05:52.274]  We're gonna lead or we're gonna die.
[00:05:52.274 --> 00:06:02.074]   The doomsday clock was established in the 1950s to warn of the danger of nuclear war.
[00:06:01.373 --> 00:06:09.659]  The Doomsday Clock has been set to 90 seconds to midnight, the closest it has ever been to global annihilation of the planet.
[00:06:11.400 --> 00:06:22.448]  The members of the Science and Security Board moved the hands of the Doomsday Clock forward, largely, though not exclusively, because of the mounting dangers in the war in Ukraine.
[00:06:23.547 --> 00:06:28.010]  We move the clock forward the closest it has ever been to midnight.
[00:06:28.971 --> 00:06:33.930]  It is now 90 seconds to midnight.
[00:06:33.930 --> 00:06:40.170]  [BLANK_AUDIO]
[00:06:40.170 --> 00:06:44.250]   I just wrote the headline for the show that I do minutes before I go live
[00:06:44.250 --> 00:06:48.131]  every day, saying Bombshell must watch Tuesday broadcast.
[00:06:48.131 --> 00:06:58.131]  [BLANK_AUDIO]
[00:06:49.298 --> 00:07:01.901]  Dr. Peter McCullough in studio, Dr. Michael Yeadon is going to be joining us as well, the former Chief Scientist and Vice President of Pfizer, saying this is a deliberate depopulation attack with the shots.
[00:07:03.562 --> 00:07:06.023]  And that really is a huge second and third hour.
[00:07:06.063 --> 00:07:18.466]  But I actually think currently, I might have to change the headline or at least have the sub headline be, Doomsday Clock Moved to 90 Seconds to Midnight, The Closest It's Ever Been to Annihilation, Our Planet.
[00:07:20.063 --> 00:07:22.325]  And I agree with them moving it the closest it's ever been.
[00:07:22.345 --> 00:07:25.227]  This is an incredibly dangerous time to be alive.
[00:07:29.310 --> 00:07:34.854]  And when I get to these escalations, ladies and gentlemen, it is going to blow you away.
[00:07:34.874 --> 00:07:38.156]  So we just covered the doomsday clock.
[00:07:40.618 --> 00:07:41.259]  Now look at this.
[00:07:42.059 --> 00:07:53.921]   Germany to provide Poland approval this week to send thousands of Heavy battle tanks into Ukraine.
[00:07:57.246 --> 00:07:58.688]  Think about that, ladies and gentlemen.
[00:08:00.750 --> 00:08:02.132]  Thousands of the tanks.
[00:08:03.154 --> 00:08:04.135]  Leopard 2 tanks.
[00:08:05.697 --> 00:08:06.538]  Here's another headline.
[00:08:07.563 --> 00:08:09.144]  American lawmakers urge U.S.
[00:08:09.164 --> 00:08:12.506]  to ship Abrams frontline battle tanks to Ukraine.
[00:08:12.726 --> 00:08:19.070]  Reuters reports that they believe Biden is set to make the announcement by next week, and now it's going to happen.
[00:08:19.189 --> 00:08:30.990]   As soon as the Germans escalated, the rest of the countries will escalate as well.
[00:08:30.976 --> 00:08:40.490]   The Biden administration is leaning towards sending a significant number Of Abrams M1 tanks to Ukraine.
[00:08:41.731 --> 00:08:43.933]  And the announcement of deliveries could start this week, U.S.
[00:08:43.973 --> 00:08:44.694]  official says.
[00:08:45.574 --> 00:08:47.015]  So excuse me, not next week, this week.
[00:08:49.077 --> 00:08:57.343]  Got a shocking video of scores of F-16s spinning around in the air in Denmark in an attack exercise on the Russians.
[00:08:57.163 --> 00:09:04.163]   In fact, let's play that with some audio whenever you guys are ready.
[00:09:04.163 --> 00:09:07.163]  [Video]
[00:09:07.163 --> 00:09:16.163]  Spoiling for nuclear war.
[00:09:16.163 --> 00:09:24.163]   And George Soros has crawled out from under his rock or climbed up out of hell.
[00:09:24.302 --> 00:09:25.862]  Stories up on Infowars.com.
[00:09:27.303 --> 00:09:35.385]  George Soros urged use of Eastern European soldiers to reduce the risk of body bags for NATO countries in a New World Order article.
[00:09:36.726 --> 00:09:42.868]  They say New World Order and it goes on and on.
[00:09:44.426 --> 00:09:44.806]  And on.
[00:09:44.826 --> 00:09:46.228]  What does Gerald Cilente always say?
[00:09:47.048 --> 00:09:50.852]  When all else fails, they take you to war.
[00:09:53.254 --> 00:09:58.238]  That's what the globalists five years ago at the EU said.
[00:09:58.258 --> 00:10:02.502]  They said, if you try to get rid of the EU or try to get rid of the New World Order, we'll just have a major war.
[00:10:02.602 --> 00:10:04.684]  That's how they hold us hostage.
[00:10:06.626 --> 00:10:08.588]  Meanwhile, here in the United States, it's true.
[00:10:10.356 --> 00:10:15.560]  The FBI official investigated Trump ties to Russia, was just arrested for illegal ties to Russian oligarch.
[00:10:18.242 --> 00:10:26.329]  Hillary Clinton, Barack Obama, all of them, I wouldn't call them Russian spies, what they are is a vending machine.
[00:10:27.110 --> 00:10:42.123]   Whether you're the Chai Koms, or the Russians, or the Saudi Arabians, or the Israelis, or the British, or the Mexicans, or the South Africans, or any elite that's got money, You just go put your money in and then you get what you want out of the Clinton Foundation and the rest of it.
[00:10:42.464 --> 00:10:49.189]  But they were particularly hanging off of the Chinese Communist teat.
[00:10:50.250 --> 00:10:53.573]  And then the next biggest one was the Russians, just flooding them with money.
[00:10:54.394 --> 00:11:00.539]  And that's why when they said Trump was taking Russian money, of course none of it was true, preposterous.
[00:11:02.093 --> 00:11:03.275]  Let me tell you something about Trump.
[00:11:03.917 --> 00:11:08.887]  For good and bad, you can't get him to do anything you want, and you can't get him to do it with money.
[00:11:09.833 --> 00:11:12.054]  If he wants to do something, he'll take your money and do it.
[00:11:12.514 --> 00:11:14.095]  But Trump cannot be bought.
[00:11:14.496 --> 00:11:17.357]  And that's a well-known thing about Mr. Pighead.
[00:11:17.837 --> 00:11:20.259]  Because he's definitely wrong about the shots, but right on a lot of other stuff.
[00:11:20.359 --> 00:11:22.380]  And I don't mean that mean I've been pigheaded as well.
[00:11:23.580 --> 00:11:24.761]  I've been a jackass as well.
[00:11:24.901 --> 00:11:30.104]  And that's a good trait when it comes to not being pushed around, but it can also be a problem when you won't see the error of your ways.
[00:11:30.164 --> 00:11:37.668]  But the idea that I'm a Russian agent, or that Trump's a Russian agent, or the Republican leadership are, is preposterous.
[00:11:38.888 --> 00:11:42.631]  There's almost no Russian connections to Republicans, though the media claims that.
[00:11:44.333 --> 00:11:46.474]  The Democrats are in a face lock with them.
[00:11:48.216 --> 00:11:52.399]  They are just absolutely intertwined at an incredible level.
[00:11:53.080 --> 00:11:57.183]  The only Republican I know that's been taking Russian money is Mitt Romney, and he takes Ukrainian money.
[00:11:57.704 --> 00:11:58.665]  He's come out with Democrats.
[00:11:59.785 --> 00:12:01.407]  He'll take money from anybody that'll give it to him.
[00:12:02.583 --> 00:12:07.425]  And now this thing has gone completely and utterly and totally out of control.
[00:12:07.865 --> 00:12:12.607]  You know, saying Trump's a Russian agent is like saying he's an agent of Kim Jong-un.
[00:12:13.087 --> 00:12:14.147]  Why do you want a peace deal?
[00:12:14.647 --> 00:12:47.000]   He went to Kim Jong-un and showed him a videographic, it's never been released but it was described as a Artist rendering 3D green screen creation showing North Korea building giant high-rises and golf courses and resorts all up and down its beautiful coastline and allowing his people to be wealthy and for him to be super wealthy and that he explained that the land was so valuable in South Korea and Japan and all around him that he could get trillions of dollars in there to open up for investment.
[00:12:47.040 --> 00:12:49.201]  That's exactly how to hit Kim Jong-un.
[00:12:49.662 --> 00:12:53.465]   But the Chai Koms control Kim Jong-un So they told him no on the deal.
[00:12:55.567 --> 00:12:58.570]  But Trump went there and said, how about you free your country up?
[00:12:58.930 --> 00:13:04.916]  And how about you let your people have good jobs in a service economy?
[00:13:06.757 --> 00:13:11.601]   And reportedly, Kim Jong Un began to cry.
[00:13:11.781 --> 00:13:14.664]  Not bawling, but like so excited, he was crying.
[00:13:15.144 --> 00:13:16.565]  He wants to play basketball.
[00:13:16.625 --> 00:13:17.626]  He wants to party.
[00:13:17.666 --> 00:13:18.486]  He wants to be famous.
[00:13:18.526 --> 00:13:19.767]  He thinks Hollywood's cool.
[00:13:20.248 --> 00:13:22.249]  He watches Disney TV programs.
[00:13:22.509 --> 00:13:23.290]  He's a little kid.
[00:13:23.510 --> 00:13:24.471]  He's a horrible monster.
[00:13:24.491 --> 00:13:25.672]  A horrible dictator.
[00:13:26.452 --> 00:13:27.413]  But he's been born into it.
[00:13:27.453 --> 00:13:28.814]  Third generation royalty.
[00:13:28.874 --> 00:13:29.755]  Communist royalty.
[00:13:31.356 --> 00:13:37.621]  And that's what Trump wanted with the Russians was, you mean they've got the biggest country in the world with more resources than any other continent?
[00:13:38.908 --> 00:13:43.270]  And the Russian continent is maybe 5% tapped?
[00:13:43.290 --> 00:13:43.890]  95% is untouched?
[00:13:44.290 --> 00:13:47.912]  Trump was salivating like a wolf to a giant steak!
[00:13:49.873 --> 00:13:51.574]  And of course we should be doing business with Russia!
[00:13:52.294 --> 00:13:54.095]  Of course we should be doing business with North Korea!
[00:13:55.355 --> 00:14:09.862]   We should make peace deals, we should go in, have them normalized, particularly North Korea, and start building, as fast as possible, a big free market district on the coast, and He's the leader.
[00:14:11.143 --> 00:14:18.830]  His party of generals that live in shacks, basically, and have nothing, would instantly get behind that.
[00:14:18.890 --> 00:14:23.475]  It'd still be some weird communist thing like China, but at least there'd be some wealth for the people.
[00:14:25.136 --> 00:14:28.480]  But no, ladies and gentlemen, the tyrants are prisoners of their own tyranny.
[00:14:29.681 --> 00:14:31.002]  And that's what's really sick about this.
[00:14:31.042 --> 00:14:32.564]  And we're on the verge of nuclear war.
[00:14:33.797 --> 00:14:36.798]  There's a threat continuum that Rand Corporation and the Pentagon has.
[00:14:37.299 --> 00:14:38.699]  We're getting up into the 30s now.
[00:14:39.140 --> 00:14:40.921]  The high 30s are limited nuclear war.
[00:14:41.501 --> 00:14:43.002]  The low 30s, end of the world stuff.
[00:14:43.042 --> 00:14:44.542]  I mean, low 40s.
[00:14:45.743 --> 00:14:49.945]  We've talked about this ad nauseum, but we're just sleepwalking into Armageddon here.
[00:14:52.566 --> 00:14:59.650]  Okay, so we have FBI official investigating Trump ties to Russia, was just arrested for legal ties to Russian oligarch yesterday.
[00:15:00.854 --> 00:15:04.235]  Top former FBI counterterrorism official arrested DOJ announcers.
[00:15:05.475 --> 00:15:11.797]  Just up to his eyeballs in rooskie money for illegal activity, reportedly.
[00:15:11.817 --> 00:15:12.837]  And it's just, it's insane.
[00:15:13.237 --> 00:15:14.537]  The question is, why are they now doing this?
[00:15:15.417 --> 00:15:19.678]  Ladies and gentlemen, the developments are coming fast and furious.
[00:15:20.899 --> 00:15:44.734]   Right now, we just covered how a former top FBI counterterrorism official that ran the Russiagate Investigation on Trump has been arrested for being engaged in espionage with the Russians.
[00:15:48.097 --> 00:15:49.177]  That happened yesterday.
[00:15:50.618 --> 00:15:52.860]  And now what I thought was happening is happening.
[00:15:53.861 --> 00:16:03.737]   I said a couple of weeks ago when this Biden classified document thing started, that it was well known that In the deep state circles, they don't enforce any laws on each other.
[00:16:04.337 --> 00:16:10.083]  And they all just basically share classified document insider trading information constantly.
[00:16:10.103 --> 00:16:13.707]  And that's why they want to get into government and get into power is to sell America out.
[00:16:14.087 --> 00:16:15.568]  That's all they've been doing for 60 years.
[00:16:19.132 --> 00:16:22.976]  So I said, now they've gone after Trump for legally having documents.
[00:16:23.016 --> 00:16:24.057]  Only the president can do that.
[00:16:24.775 --> 00:16:28.817]  No evidence he was selling information, ever, anywhere, contrary to this group.
[00:16:29.457 --> 00:16:39.542]  So they go after him, and that's the deep state, the bureaucracy, with its own branch of government, the permanent state, the deep state, flexing its muscles in power and control.
[00:16:39.582 --> 00:16:44.325]  And when they went after Biden, I said, you're going to see more and more of this.
[00:16:44.845 --> 00:16:46.326]  This is the permanent deep state.
[00:16:47.150 --> 00:16:56.136]  Not just wanting to have figurehead presidents, but wanting to have full control, an actual dictatorship of the intelligence agencies and the Justice Department.
[00:16:57.156 --> 00:16:58.835]  And I said, look for more of this now.
[00:16:58.835 --> 00:17:09.476]   The bureaucrats were setting up Trump, even though he had the power to do it,
[00:17:09.476 --> 00:17:12.356]  and Biden, who was there selling the documents.
[00:17:12.356 --> 00:17:14.995]  And now Mike Pence.
[00:17:15.182 --> 00:17:18.364]  Classified documents found in Mike Pence's Indiana home.
[00:17:23.188 --> 00:17:31.854]  And then that way, they can basically have all the big contenders under their control.
[00:17:32.575 --> 00:17:33.756]  So you play ball with them.
[00:17:35.694 --> 00:17:43.096]  A number of, a small number of classified documents were found at former Vice President Pence's personal residence in Indiana earlier this month, according to reports.
[00:17:43.676 --> 00:17:52.538]  Pence officials found two boxes of possible classified materials inside the home on January 18th, as well as another two boxes that contained copies of Vice Presidential papers, according to Fox News.
[00:17:53.399 --> 00:17:56.899]  The Vice President's team notified the National Archives and Records Administration upon the discovery.
[00:17:56.919 --> 00:18:02.781]  Officials said the NARA that informed the FBI was to conduct its standard procedure investigation.
[00:18:05.595 --> 00:18:11.119]  So it's the bureaucrats all running around looking for anything they can claim is classified.
[00:18:11.219 --> 00:18:15.642]  And any briefing, any off-record discussion is highly classified in the White House.
[00:18:16.122 --> 00:18:18.083]  So basically, everything is.
[00:18:19.884 --> 00:18:35.829]   Emails Vice President sends to the President, all that stuff, and then later, that's always been kept, that's always been used, but now, no, no, no, no, it's classified, fetishizing the permanent Deep state that the world is living under.
[00:18:37.429 --> 00:18:39.930]  So the headline on InfoWars.com is very, very important.
[00:18:39.950 --> 00:18:41.691]  I hope you share the live show feed article.
[00:18:42.231 --> 00:18:48.793]  Doomsday clock moves closer to midnight than ever before as experts across the globe expose the killer COVID jabs.
[00:18:49.873 --> 00:18:52.374]  Dr. Peter McCullough in studio in the third hour.
[00:18:53.154 --> 00:18:55.215]  Dr. Michael Yeadon, first time he's been on with us.
[00:18:55.235 --> 00:18:55.775]  It's going to be huge.
[00:18:58.393 --> 00:19:03.358]  Former head of the vaccine program at Pfizer and the vice president.
[00:19:04.559 --> 00:19:14.689]  This is going to be a massive interview with him coming up in just about 36 minutes from now in our number two.
[00:19:16.010 --> 00:19:20.975]  Now, I'm going to continue with the rest of the news and there's a lot of it with them cutting off our energy supplies.
[00:19:22.079 --> 00:19:23.060]  What's really happening there?
[00:19:23.760 --> 00:19:31.386]  There is a ton of news on global birth rates, and Japan's sounding the alarm that their society's going to collapse if they don't have more children.
[00:19:33.068 --> 00:19:37.431]  Biden has tried to introduce a new assault weapons ban.
[00:19:37.451 --> 00:19:38.872]  He says he's going to introduce imminently.
[00:19:40.113 --> 00:19:44.637]  I saw the bill last week and talked about it, but now she's gone on TV and said what's in the bill.
[00:19:44.917 --> 00:19:48.259]  People said, oh, that can't be Alex, when we read the headline and read the article.
[00:19:48.299 --> 00:19:48.900]  But here it is.
[00:19:49.280 --> 00:19:50.201]  We got the video coming up.
[00:19:52.301 --> 00:19:59.826]  Videoed, dim, rep, lauds bill to make it criminal for white people to criticize non-white people in any way.
[00:20:01.327 --> 00:20:02.568]  Total political correctness.
[00:20:03.768 --> 00:20:10.753]  And you saw the deputy head of the EU say, soon you Americans will ban all speech, right?
[00:20:10.773 --> 00:20:23.733]   And the Republican congressman on the stage, one of the Jan 6th traitors against America, Sat up there and nodded his head like a seal that had just been given a fish.
[00:20:25.533 --> 00:20:26.114]  It's incredible.
[00:20:26.294 --> 00:20:42.399]  We'll also get into temperatures in the northern hemisphere due to fall over the next 25 years, according to six top international scientists who have already made these predictions in the last 10 that they would begin to drop, and the temperature has indeed been dropping now for the last 10 years.
[00:20:42.759 --> 00:20:46.500]  It did peak about 15 years ago in the modern era.
[00:20:48.888 --> 00:20:50.829]  It's obviously been much, much hotter previously.
[00:20:51.349 --> 00:20:58.412]  All right, we're going to go to break, come back and go over all of that in great detail and more.
[00:20:59.612 --> 00:21:04.234]  But first, sold out again for over two years.
[00:21:05.295 --> 00:21:08.596]  Back, already a bestseller, reformulated.
[00:21:08.856 --> 00:21:19.157]   You want to supercharge your bones and your Bone marrow that produces your white blood cells and everything else, and your health, and your joints, and just everything.
[00:21:19.678 --> 00:21:27.682]  Ultimate Bone Broth is the strongest, highest quality bone broth formula out there, and it sells for about 30% less than the top brands.
[00:21:28.122 --> 00:21:30.103]  This stuff is pure gold.
[00:21:30.924 --> 00:21:51.313]   Ultimate Bone Broth, Primal Human Nutrition, Chocolate, is now back in stock, reformulated after two and a half years, After years of being off the shelves, we're bringing back one of the biggest fan favorites that we've ever offered with even better ingredients.
[00:21:51.373 --> 00:21:52.414]  Ultimate Bone Broth Plus.
[00:21:53.829 --> 00:22:06.897]  Other top selling bone broth products on the market are the same price but are just powdered without any of the powerhouse ingredients InfoWarsLife brings to the table to make this ultimate bone broth formula.
[00:22:07.597 --> 00:22:12.620]  We've kept the most incredibly mainstream ingredients in the original bone broth and we've added more.
[00:22:13.040 --> 00:22:35.794]   So it has the original concentrated chicken bone broth known to be the best, turmeric root, super high quality, chaga mushroom, bee pollen, goji berry, alfalfa herb powder, In addition to those powerhouse ingredients, we've updated the formula to include 5 grams of organic soluble acacia fiber to support digestive health, 400 milligrams of sunflower lecithin,
[00:22:36.761 --> 00:22:40.023]  Organic Aichi berry for antioxidants.
[00:22:40.784 --> 00:22:47.748]  Added electrolytes to help recover from extensive magnesium, potassium, and sodium to recover from exercise.
[00:22:48.189 --> 00:22:53.892]  Real organic cocoa bean powder and natural chocolate flavor and a touch of sea salt.
[00:22:54.293 --> 00:22:58.836]  Cutting-edge chicken bone broth protein isolate powder for better flavor and dissolvability.
[00:22:59.396 --> 00:23:02.778]  It's time to take advantage of these savings and pick it up today.
[00:23:02.838 --> 00:23:04.480]  It's 25% off and you're gonna love it.
[00:23:07.421 --> 00:23:11.504]  It's got an updated flavor, tastes even better, with ultimate bone broth from M4 Wars Life.
[00:23:13.325 --> 00:23:20.010]  We are so excited because it's a fan favorite, and we finally got it back in after all the supply chain breakdowns, but even updated and better.
[00:23:22.125 --> 00:23:24.968]  If you take one of our amazing products, you should be taking this one.
[00:23:25.128 --> 00:23:28.031]  Ultimate Bone Broth, and it funds the Unifil Award, a 360 win.
[00:23:28.451 --> 00:23:32.195]  You owe it to yourself if you have joint pain and some of the other issues, to try this for yourself.
[00:23:32.655 --> 00:23:37.880]  It works for almost everybody very, very quickly, and all the other ingredients are guaranteed to work for you, so get yours today.
[00:23:39.121 --> 00:23:42.245]  Well, it's not just Trump, it's not just old Biden.
[00:23:42.305 --> 00:23:46.469]  Now Vice President Pence discovered classified documents in his home.
[00:23:48.305 --> 00:23:49.686]  The FBI is investigating.
[00:23:50.487 --> 00:23:53.070]  Pence, as deep state as it gets, we now know that in hindsight.
[00:23:53.450 --> 00:23:54.611]  We always had our suspicions.
[00:23:55.272 --> 00:23:58.375]  But he's also doing that to pull heat off of Biden.
[00:24:00.056 --> 00:24:02.018]  He's the one that reported it on himself.
[00:24:02.639 --> 00:24:07.584]  This is just par for the course with these people.
[00:24:08.385 --> 00:24:11.668]  Now, let's move into this area of news.
[00:24:14.394 --> 00:24:16.775]  We've got a whole bunch of clubs I want to get to, but look at these headlines.
[00:24:17.315 --> 00:24:30.000]  Bill Gates flies around Australia on a $70 million private jet, one of 10 he owns, lecturing people about climate change and saying they've got to give up their cows, cheap cars, and don't have children.
[00:24:32.421 --> 00:24:46.313]   Continuing, White House press secretary says House Republicans are using their narrow majority to force American people to pay higher gas prices When he cut off the pipelines and, you know, all the rest of it and sold the strategic oil reserve.
[00:24:46.914 --> 00:24:53.300]  Meanwhile, WEF chauffeur admits VIP elites refuse to ride in electric cars, demand the biggest gas guzzlers.
[00:24:55.582 --> 00:24:57.463]  They love their hypocrisy.
[00:24:57.503 --> 00:24:58.845]  Let's just play these clips.
[00:24:59.285 --> 00:25:00.066]  There's a lot of them.
[00:25:00.867 --> 00:25:01.527]  Back to back.
[00:25:02.088 --> 00:25:04.150]  This is Greta Thunberg, Ask It, Davos.
[00:25:05.273 --> 00:25:09.417]  If she'll protest Russia and Saudi Arabian oil, she'll only protest European oil.
[00:25:09.437 --> 00:25:10.718]  It's part of the energy crackdown.
[00:25:11.299 --> 00:25:17.825]  And the White House press secretary saying the thing I just said that the Republicans are behind the higher gas prices.
[00:25:18.385 --> 00:25:21.328]  And then the same idiot saying it's a non-issue that Biden sold U.S.
[00:25:21.388 --> 00:25:24.691]  oil reserves to Communist China instead of to U.S.
[00:25:24.731 --> 00:25:26.272]  refineries that would have lowered prices.
[00:25:26.973 --> 00:25:29.015]  Let's play a clip two, three, and four back-to-back.
[00:25:30.094 --> 00:25:32.776]  You never protest Saudi Arabia or Russia.
[00:25:32.816 --> 00:25:34.937]  You only protest Western energy.
[00:25:35.658 --> 00:25:38.880]  Why have you never criticized Vladimir Putin or OPEC?
[00:25:40.221 --> 00:25:41.442]  Yeah, I've never done that.
[00:25:41.662 --> 00:25:42.102]  Never ever.
[00:25:42.122 --> 00:25:42.963]  Will you do so now?
[00:25:43.143 --> 00:25:50.143]  Will you condemn OPEC energy?
[00:25:50.143 --> 00:25:56.863]   The President spent the last two years, as you know, doing everything he could to lower gas prices for American
[00:25:56.863 --> 00:26:02.143]   families, and prices are down about $1.60 a gallon since last summer.
[00:26:02.689 --> 00:26:13.136]  Now, House Republicans are using their narrow majority to force the American people to pay higher gas prices, just as big oil companies are amassing record profits.
[00:26:13.816 --> 00:26:22.682]  The House has passed bipartisan legislation that would ban the export of oil from the Strategic Petroleum Reserve to Chinese companies.
[00:26:23.062 --> 00:26:32.368]  Given that oil has flowed to China from that reserve during both this administration and the previous one, is that the type of reform that the President would potentially support?
[00:26:33.048 --> 00:26:38.411]  So look, I think this is a little bit of what the Secretary was talking about just moments ago.
[00:26:38.431 --> 00:26:40.873]  This bill addresses a non-issue.
[00:26:41.153 --> 00:26:42.174]  We're very clear on that.
[00:26:43.775 --> 00:26:50.307]  Whether you're in Canada, the US, Europe, the UK, Australia, New Zealand, they're cutting the power off everywhere.
[00:26:51.360 --> 00:26:55.344]  And they're shutting down the coal power plants that produce almost all the energy.
[00:26:55.864 --> 00:26:58.026]  And I saw a report of Bill Gates in Australia two days ago.
[00:26:58.047 --> 00:26:58.947]  We didn't have time to play it.
[00:26:59.688 --> 00:27:01.950]  But they said, Bill Gates is here to save you.
[00:27:02.030 --> 00:27:07.716]  Yes, we know your energy prices have tripled the last five, six years, and it's killing people's livelihoods.
[00:27:08.296 --> 00:27:09.077]  But it's okay.
[00:27:09.578 --> 00:27:14.522]  We're putting price caps on coal so they can't gouge you for the few coal power plants that are left.
