[00:00:00.149 --> 00:00:01.670]  So this is now in our country, folks.
[00:07:31.002 --> 00:07:32.363]  I'm really not sure where to begin.
[00:07:32.563 --> 00:07:33.824]  I've got all kinds of news here.
[00:07:35.185 --> 00:07:37.926]  Should we begin with the fake news, the false flags?
[00:07:38.546 --> 00:07:52.893]  You know, yesterday, I did a whole segment on the babies in incubators hoax that led us into the Gulf War and how all the media went along with it and the US politicians went along with it.
[00:07:55.734 --> 00:07:58.495]  And then, that was all over Twitter last night.
[00:08:00.836 --> 00:08:02.937]  That's why this transmission is important.
[00:08:07.409 --> 00:08:14.230]  And now, you have politicians like Lindsey Graham saying, we, the United States, are in a holy war!
[00:08:15.551 --> 00:08:16.031]  That's odd.
[00:08:17.451 --> 00:08:19.191]  I thought this was a Christian nation.
[00:08:20.952 --> 00:08:21.552]  In the West.
[00:08:23.572 --> 00:08:25.872]  I thought this was the United States of America.
[00:08:26.453 --> 00:08:29.873]  Now I'm gonna show you how this war has been brought to our streets.
[00:08:33.274 --> 00:08:34.214]  And it's unfortunate.
[00:08:35.458 --> 00:09:00.658]  Because you could argue we've done this to ourselves, but now you have pro-Israel protests, you have pro-Palestine protests, they're facing off in the streets, they're making threats, genocidal rhetoric, and you know, they all have one thing in common.
[00:09:01.238 --> 00:09:02.559]  And you know what that one thing is?
[00:09:04.040 --> 00:09:13.313]   They all are saying this from the safety of the Christian nation of the United States of America.
[00:09:16.134 --> 00:09:34.441]  Whether they're pro-Palestine or pro-Israel, talking about their holy war on the other side of the planet that they fled, they're all saying these things from the Christian nation of the United States of America.
[00:09:36.459 --> 00:09:40.521]  But it's funny because I don't hear any gratefulness.
[00:09:41.582 --> 00:09:47.445]  I don't hear anybody thanking the United States of America for allowing them to come here and live in peace and prosperity.
[00:09:48.825 --> 00:09:49.646]  Isn't that amazing?
[00:09:49.926 --> 00:09:59.771]  The Christian nation of the United States of America that opened its arms to the world and now we have your holy wars on our home soil?
[00:10:02.554 --> 00:10:03.234]  Hey, that's great.
[00:10:03.275 --> 00:10:04.375]  We've got free speech here.
[00:10:04.756 --> 00:10:06.297]  You go out in the streets, you're pro-Israel.
[00:10:06.337 --> 00:10:08.038]  You go out in the streets, you're pro-Palestine.
[00:10:10.560 --> 00:10:18.525]  But you have the safety and the comfort to say that from the Christian nation of the United States of America.
[00:10:20.767 --> 00:10:22.228]  And it seems you're taking it for granted.
[00:10:24.469 --> 00:10:25.810]  As I suppose we all have.
[00:10:27.812 --> 00:10:31.014]  As you call for your holy war now.
[00:10:32.432 --> 00:10:36.873]  That you fled to the Christian nation of the United States of America.
[00:10:37.514 --> 00:10:38.694]  You now want that here.
[00:10:39.814 --> 00:10:41.575]  And that's now supposed to be our problem.
[00:10:41.995 --> 00:10:48.937]  And the nation that you fled to to avoid that, to get peace and prosperity, is now going to be engulfed in the very thing that you fled?
[00:10:48.957 --> 00:10:51.058]  How ironic.
[00:10:52.138 --> 00:10:55.439]  But I guess the same could be said for communism and socialism.
[00:10:56.920 --> 00:11:01.527]  All the people from all around the planet fleeing communism, fleeing socialism, and then they come here and what do they do?
[00:11:01.547 --> 00:11:03.630]  Now we have communism and socialism here.
[00:11:04.170 --> 00:11:10.579]  They flee their countries to avoid political persecution, oppression, political incarceration, and now what do we get?
[00:11:10.620 --> 00:11:11.401]  We get that right here.
[00:11:15.461 --> 00:11:28.353]  So I'm going to be covering all the latest when it comes to what's going on in Israel, what's going on in the Gaza Strip, the responses from all around the world, the responses from right here in the United States of America.
[00:11:29.734 --> 00:11:32.317]  We'll ask the questions that nobody else will ask.
[00:11:34.957 --> 00:11:50.944]  But again, I didn't see anybody talking about the babies in incubators hoax from the 1990 Gulf War propaganda until we covered it right here on the Alex Jones Show yesterday, and now that realigned many people's vision, and that's important.
[00:11:53.385 --> 00:11:54.186]  And that's important.
[00:11:54.766 --> 00:12:05.924]   And it's funny how today now, Because the movement of the news cycle is a lot faster these days with the internet and our advanced communications.
[00:12:07.565 --> 00:12:10.847]  So now when hoaxes happen we can pretty much figure it out pretty quickly.
[00:12:12.308 --> 00:12:23.099]   We also covered the 2019 hoax where they were showing you footage They were showing you footage from a Kentucky gun range.
[00:12:24.080 --> 00:12:26.942]  People going out at a Kentucky gun range and firing guns.
[00:12:27.903 --> 00:12:34.169]  And then they edited that and they tried to make it look like it was in Syria and the Assad regime killing citizens in Syria.
[00:12:34.369 --> 00:12:35.350]  It was footage from Kentucky.
[00:12:37.272 --> 00:12:38.153]  And then last night...
[00:12:40.106 --> 00:12:48.632]  As I knew it would eventually come out, just like the image of the kids in cages, and they said, oh, look what Hamas is doing to Jewish children.
[00:12:48.812 --> 00:12:51.013]  That was a video from a different part of the world, a different year.
[00:12:51.053 --> 00:13:02.947]   It's really, uh, there's a debate what part of the world it was from, but it is definitely not from Hamas capturing Israeli children.
[00:13:03.087 --> 00:13:03.847]  So that was fake.
[00:13:03.947 --> 00:13:05.168]  Bunch of politicians shared that.
[00:13:05.248 --> 00:13:06.449]  Bunch of media members shared that.
[00:13:06.809 --> 00:13:12.894]  Then there was a video yesterday of some people in a room laying down getting shot up while they're laying on the ground bleeding out.
[00:13:13.394 --> 00:13:15.036]  That video was confirmed from 2019.
[00:13:17.137 --> 00:13:18.498]  Bunch of politicians shared that.
[00:13:18.558 --> 00:13:22.861]  Bunch of members of the media shared that saying, look at what Hamas is doing to Israeli citizens.
[00:13:23.342 --> 00:13:25.783]  Wasn't that... wasn't true.
[00:13:26.044 --> 00:13:26.544]  Totally fake.
[00:13:28.285 --> 00:13:29.006]  War propaganda.
[00:13:31.294 --> 00:13:32.035]  War propaganda.
[00:13:32.876 --> 00:13:33.576]  And there's more of it.
[00:13:36.379 --> 00:13:36.940]  There's more of it.
[00:13:37.420 --> 00:13:40.323]  We're going to tell you the other war propaganda that's going on.
[00:13:41.464 --> 00:13:43.106]  Yeah, there was the Kentucky gun range video.
[00:13:43.126 --> 00:13:45.708]  They said, look at what Assad is doing in Syria!
[00:13:45.768 --> 00:13:46.909]  This must be stopped!
[00:13:47.290 --> 00:13:50.073]  Literally a show at a gun range in Kentucky.
[00:13:50.193 --> 00:13:51.054]  Americans having fun.
[00:13:52.795 --> 00:14:05.830]   But don't, don't Don't ever underestimate what the media, don't ever underestimate what the politicians will do to manipulate your emotions and deceive you into supporting a war.
[00:14:08.331 --> 00:14:25.094]   Now look, people can pick sides, I don't have a side in this fight, I'm an American citizen, and I support people's free speech to pick a side in this and that's fine, but I gotta tell ya, This has been one of those experiences for me, because I actually do have a neutral mind.
[00:14:25.114 --> 00:14:26.294]  I actually do have an open mind.
[00:14:26.334 --> 00:14:27.395]  I can genuinely say that.
[00:14:27.455 --> 00:14:28.795]  I'm not controlled by anybody.
[00:14:30.436 --> 00:14:40.300]  And this has been one of those eye-opening experiences for me in the media, where I'm just monitoring things and I can just see the brainwashing and the power of mind control.
[00:14:41.681 --> 00:14:42.821]  And it is shocking.
[00:14:44.402 --> 00:14:45.122]  It is shocking.
[00:14:49.187 --> 00:15:05.531]  It's been one of those experiences for me that is really gonna, it's really sit in, it really solidifies my understanding of how the world works, how propaganda works, war propaganda, media propaganda, brainwashing, mind control.
[00:15:06.051 --> 00:15:20.324]   But just to witness how easy it is to manipulate people that I respect, that I know are smart, But even to see them get manipulated by war propaganda.
[00:15:21.144 --> 00:15:22.985]  Now, we've got a huge interview today.
[00:15:23.045 --> 00:15:28.929]  I'm very excited about this because I, quite frankly, I admire this man, but I consider him a friend.
[00:15:29.849 --> 00:15:43.878]  And that's Kyle Serafin, FBI whistleblower, who was part of Dinesh D'Souza's new film, Police State, that is coming out, ironically enough, the day I turn myself into jail!
[00:15:45.222 --> 00:15:53.124]  So the day I go to jail for being a political prisoner, a speech prisoner, is the day Dinesh D'Souza's new film, Police State, drops.
[00:15:53.184 --> 00:15:54.264]  Talk about incredible timing.
[00:15:54.784 --> 00:16:03.126]  Kyle Serafin going to be in studio for the third hour to talk about that, and we can get into anything else that he wants to get into as well.
[00:16:03.186 --> 00:16:11.688]  But with what's going on in Israel and the Gaza Strip, I understand it's a very emotionally driven situation.
[00:16:11.728 --> 00:16:13.648]  The devastation, the atrocities, I get it.
[00:16:14.855 --> 00:16:19.377]  But let's not forget we got problems right here in our own backyards, folks.
[00:16:19.918 --> 00:16:27.581]  Let's not forget that under the Biden administration, our economy is collapsing, our border is wide open, and we have political prisoners rotting in jail.
[00:16:29.162 --> 00:16:33.545]  So let's just remember that today on this October 11th transmission.
[00:16:34.485 --> 00:16:42.314]   You know, I'm having a conversation with the crew here in the break, and It's refreshing.
[00:16:42.334 --> 00:16:46.576]  It solidifies more of what I've seen because they pay attention.
[00:16:46.596 --> 00:16:51.078]  They pay attention and watch the news and have informed opinions as well.
[00:16:52.299 --> 00:16:52.879]  And here's the thing.
[00:16:52.959 --> 00:16:54.180]  We're all open-minded here.
[00:16:55.180 --> 00:16:57.181]  We are not under any mind control.
[00:16:57.201 --> 00:17:12.310]  I mean, folks, like, I gotta tell you, it's just, it's stunning to me, again, when you watch the response to news like this, how many people that really think they're free of mind, and then you see the response to stuff like this and you realize they're still on the same hamster wheel.
[00:17:12.750 --> 00:17:14.191]  Their mind is still shackled.
[00:17:15.132 --> 00:17:31.093]   It might be less shackled, it might have more It's slack than others out there, but no, it's... And it's a hard thing to explain to an audience of millions of people.
[00:17:34.095 --> 00:17:41.439]  And I get all kinds of backlash, especially with heavy news like this, from listeners saying, hey, why didn't you cover this?
[00:17:41.479 --> 00:17:42.060]  Why didn't you cover this?
[00:17:42.080 --> 00:17:42.860]  Hey, you should have said this.
[00:17:42.880 --> 00:17:43.501]  You should have said this.
[00:17:44.021 --> 00:17:45.482]  Hey, but you should be on this side because of this.
[00:17:45.522 --> 00:17:46.503]  You should be on this side because of this.
[00:17:47.742 --> 00:17:50.744]  Folks, I am truly neutral-minded.
[00:17:51.084 --> 00:17:51.424]  Truly!
[00:17:52.185 --> 00:17:56.067]  I am truly an independent member of the media.
[00:17:57.088 --> 00:17:58.769]  There are not many people that can say that.
[00:17:58.829 --> 00:17:59.950]  We are truly independent.
[00:18:00.150 --> 00:18:03.092]  The only people we answer to is you in the audience.
[00:18:03.612 --> 00:18:04.033]  That's it!
[00:18:05.574 --> 00:18:05.974]  That's it!
[00:18:07.435 --> 00:18:10.377]  I've talked to Alex maybe twice this week.
[00:18:12.421 --> 00:18:17.563]  And by the way, you'll be seeing what Alex Jones has been up to very soon, maybe by the end of today.
[00:18:18.503 --> 00:18:20.344]  Very exciting stuff, I'll leave it at that.
[00:18:21.304 --> 00:18:24.406]  And we may be able to break that news by the end of the day, but just stay tuned.
[00:18:25.106 --> 00:18:27.247]  What Alex has been up to, very exciting stuff.
[00:18:27.307 --> 00:18:28.807]  It's gonna be groundbreaking even.
[00:18:31.188 --> 00:18:38.391]  But... I just... To watch...
[00:18:40.643 --> 00:18:49.549]  The clearly one-sided, slanted news coverage of all of this, and watch people eat it up, has been stunning.
[00:18:49.589 --> 00:18:52.811]  Now, maybe part of my thing is I'm not a religious fanatic.
[00:18:54.352 --> 00:18:57.794]  Because a lot of this is just religious fanaticism, quite frankly.
[00:18:58.975 --> 00:19:02.277]  I mean, 90% of this is just religious fanaticism.
[00:19:02.337 --> 00:19:07.360]  So if you're not a religious fanatic, then maybe you're able to rise above it.
[00:19:07.400 --> 00:19:12.309]   But even Christians Are saying, no, we've got to bomb Gaza.
[00:19:12.329 --> 00:19:13.510]  We've got to take them all out.
[00:19:16.111 --> 00:19:17.152]  I'm a Christian American.
[00:19:17.292 --> 00:19:18.933]  I don't want anything to do with this.
[00:19:19.913 --> 00:19:22.555]  And I'm amazed that that's not the popular opinion.
[00:19:23.155 --> 00:19:24.396]  That that's not the majority opinion.
[00:19:24.596 --> 00:19:28.998]  But maybe it is, it's just not reflected in the propaganda media.
[00:19:30.139 --> 00:19:32.160]  And in the brain-controlled population.
[00:19:34.380 --> 00:19:42.944]  But how can I sit here and watch one side of this war get humanized, and the other side of the war, when they die, it's celebrated?
[00:19:44.645 --> 00:19:55.470]  So when people die over here on this side, it's a tragedy, it's the worst thing ever, and it gets humanized, and then when the people die over here on this side, it's celebrated.
[00:19:57.911 --> 00:19:58.792]  That's just the fact!
[00:19:59.172 --> 00:20:01.173]  Almost everywhere I turn, that's what's going on.
[00:20:02.748 --> 00:20:04.969]  And yeah, innocent people are dying on both sides.
[00:20:07.550 --> 00:20:11.971]  And I guess I would, I would, because how do I even get into this news?
[00:20:12.211 --> 00:20:20.755]  How do you even penetrate into this news with a story that's really more emotionally driven and religiously driven than anything else?
[00:20:21.875 --> 00:20:22.935]  I guess I would say it like this.
[00:20:26.717 --> 00:20:47.386]   So, The official story is that the Iron Dome was hacked and it was not working and the massive security state that the nation of Israel has was hacked and shut down and not effective when Hamas penetrated their system and murdered all the innocent Israelis.
[00:20:48.867 --> 00:20:49.908]  That's the official story.
[00:20:51.789 --> 00:21:02.602]   And then I'm told that the Israeli forces Are bombing Gaza and they say it's over 1,500 sites have been bombed.
[00:21:02.642 --> 00:21:04.163]  It's probably closer to 2,000 now.
[00:21:05.903 --> 00:21:21.787]  And they say we've hit more than 1,500 sites in Gaza and these were all the bases and these were all the locations where the Hamas leadership and the Hamas military and organization was going on.
[00:21:24.368 --> 00:21:25.388]  So let me get this straight.
[00:21:26.880 --> 00:21:42.105]  You have such an advanced intelligence network that you already knew where Hamas was operating, you already knew all of their locations, all of their bases, all of their leadership, but you didn't know when they were about to attack your country?
[00:21:43.646 --> 00:21:46.867]  And magically your defense system gets hacked and shut down?
[00:21:48.128 --> 00:21:51.269]  And now you get exactly the war you wanted afterwards?
[00:21:52.489 --> 00:21:53.629]  That's the official narrative?
[00:21:53.669 --> 00:21:54.910]  That's what I'm supposed to believe?
[00:21:57.190 --> 00:22:14.720]  And I'm supposed to say it's justified, after what happened in Israel, that it's justified that the Israeli Defense Forces are now just going to flatten Gaza and destroy over 1,500 buildings that they say is, they know that's where the Hamas leadership was.
[00:22:15.460 --> 00:22:17.862]  But bombing the entire city, that's the good move.
[00:22:18.222 --> 00:22:20.103]  With innocent civilians dying there too.
[00:22:20.263 --> 00:22:21.104]  Children, by the way.
[00:22:22.304 --> 00:22:23.785]  Those people don't get humanized.
[00:22:23.825 --> 00:22:25.226]  Those people are not victims, though.
[00:22:29.039 --> 00:22:30.220]  That's what I'm supposed to believe.
[00:22:30.780 --> 00:22:33.041]  That's what the official narrative is.
[00:22:34.302 --> 00:22:36.163]  And that's what I'm supposed to believe here today.
[00:22:38.444 --> 00:22:40.045]  And that's what I'm supposed to report to you.
[00:22:40.865 --> 00:22:42.446]  If I'm a member of the mainstream press.
[00:22:43.807 --> 00:22:47.129]  If I'm an official member of the mainstream press, that's the official narrative.
[00:22:48.469 --> 00:22:53.212]  The Israeli Defense Forces and Security State was hacked and that's why there was the failure.
[00:22:54.801 --> 00:23:06.048]  And even though Israeli intelligence knew where all the Hamas leadership was the entire time, they just decided not to act and had no idea the attack was coming, and decided to completely level the Gaza Strip instead in the aftermath.
[00:23:06.208 --> 00:23:10.430]  But it's all justified because of what you saw in Israel last weekend.
[00:23:12.431 --> 00:23:14.092]  Sorry, doesn't fly with me.
[00:23:17.254 --> 00:23:18.075]  Doesn't fly here.
[00:23:18.875 --> 00:23:20.056]  Doesn't pass the smell test.
[00:23:22.844 --> 00:23:24.565]  And that's what I see, and that's what I witness.
[00:23:27.207 --> 00:23:27.727]  But okay.
[00:23:31.350 --> 00:23:39.036]  We can get into how other countries are now getting drug into this war, how there's airstrikes going on in multiple different nations now.
[00:23:39.416 --> 00:23:50.724]  I can get into all the confirmed war propaganda that we now have confirmed that got shared to draw an emotional response out of you and call for the genocide of a complete population.
[00:23:54.127 --> 00:23:56.989]  So but, where does that go on the moral scale?
[00:23:57.349 --> 00:23:59.490]  Where does that go on the universal karma scale?
[00:24:00.031 --> 00:24:05.394]  If you call for genocide of a country, but then somebody calls for a genocide of you, how does that work?
[00:24:09.857 --> 00:24:20.629]   And if the laws of fairness apply here, And atrocities of war and war crimes mean that you should genocide an entire nation?
[00:24:20.949 --> 00:24:23.992]  Well, gee, where does that put the United States of America on the map?
[00:24:24.833 --> 00:24:27.395]  Are you sure that's the logic you want to play out here?
[00:24:28.916 --> 00:24:30.438]  And again, I ask the question.
[00:24:31.639 --> 00:24:41.108]  If supporting Israel at all costs means World War III, if supporting Israel at all costs means that you get nuked in the United States of America, do you still want to support Israel at all costs?
[00:24:43.150 --> 00:24:45.611]  I'm wondering if people have never played the game of chess.
[00:24:47.631 --> 00:24:50.092]  Because when you play chess, you understand, you have to analyze moves.
[00:24:50.332 --> 00:24:53.633]  If I move here, what's the next move that's going to be made?
[00:24:53.653 --> 00:24:54.813]  Are they going to be able to take my queen?
[00:24:54.833 --> 00:24:56.034]  Are they going to be able to put me in checkmate?
[00:24:56.054 --> 00:24:57.234]  Are they going to be able to take my rook?
[00:24:57.534 --> 00:24:58.714]  Are they going to be able to trap me over here?
[00:24:59.575 --> 00:25:03.516]  You have to consider every move has an equal and opposite potential move to it.
[00:25:04.016 --> 00:25:09.757]  So if you support Israel at all costs and that leads to nuclear war or World War III, do you still want to support Israel at all costs?
[00:25:10.138 --> 00:25:11.198]  Oh, don't ask that!
[00:25:12.486 --> 00:25:14.168]  Don't think free-mindedly here.
[00:25:14.188 --> 00:25:15.190]  No, no, no, no, no, no.
[00:25:15.210 --> 00:25:17.673]  We gotta be under mind control and brainwashing and war propaganda.
[00:25:18.314 --> 00:25:20.196]  American death toll in Israel rises to 22.
[00:25:20.316 --> 00:25:23.821]  We're gonna have more information on that.
[00:25:24.902 --> 00:25:25.022]  And...
[00:25:25.896 --> 00:25:28.657]  Again, the war propaganda being shared just continues.
[00:25:29.157 --> 00:25:33.239]  People sharing videos, which is ironic in a way.
[00:25:33.279 --> 00:25:36.700]  They're sharing videos of people faking death in war, like you've seen it yourself.
[00:25:36.760 --> 00:25:44.423]  There's ten people in a body bag, and then the cameras stop rolling and a guy opens his body bag up, whips out a cigarette, starts smoking.
[00:25:45.663 --> 00:25:52.663]   There's another one where it's guys carrying a supposed dead body from the rubble.
[00:25:52.663 --> 00:25:56.462]   And then an air raid siren goes off and they drop him and the dead guy rises from the dead
[00:25:56.462 --> 00:25:58.842]  and runs away to get to cover.
[00:25:58.842 --> 00:26:01.021]  And these are all old videos, by the way.
[00:26:01.021 --> 00:26:04.862]   These are all old videos that are getting shared and they're saying, "Look at what Hamas
[00:26:04.862 --> 00:26:06.521]  is doing!"
[00:26:06.521 --> 00:26:13.103]  And it's videos from four, five, ten years ago.
[00:26:13.103 --> 00:26:14.303]  There's another video going around.
[00:26:14.242 --> 00:26:18.784]  I don't know if it's... Again, I don't show you any of these videos.
[00:26:18.944 --> 00:26:22.665]  I've made the conscious decision not to show you any of these videos because it's just all war propaganda.
[00:26:23.646 --> 00:26:29.068]  But there's a video going around of bodies burned alive in a vehicle and they're saying, look, this is what Hamas did, look.
[00:26:31.430 --> 00:26:36.372]  They won't show you the videos of Gaza's cities crumbled on top of innocent families and civilians, but okay.
[00:26:37.628 --> 00:26:40.269]  And they say, look, this vehicle, they were burned alive, they were burned alive.
[00:26:40.309 --> 00:26:48.413]  Well, you do realize that a month ago, Americans were burned alive in their cars in Maui because the government didn't let them leave?
[00:26:48.833 --> 00:26:53.355]  Do we remember that?
[00:26:55.676 --> 00:26:58.057]  See, but there's no war that follows for that.
[00:26:58.097 --> 00:26:59.298]  There's no big giant war.
[00:27:00.950 --> 00:27:02.610]  There's no big war propaganda.
[00:27:02.630 --> 00:27:04.111]  There's no big war profiteering.
[00:27:04.131 --> 00:27:08.711]  There's no big military-industrial complex or religious fanaticism that you can draw from that.
[00:27:09.031 --> 00:27:16.573]  So the people that burned alive in their cars in Maui because government told them, no, you can't leave as they let the city burn down.
[00:27:16.593 --> 00:27:18.233]  Hey!
[00:27:20.174 --> 00:27:21.554]  Let's not make a big deal out of that.
[00:27:21.694 --> 00:27:27.055]  But I'm gonna stop waxing here and I'm gonna go into the news here and other videos, I promise.
[00:27:27.075 --> 00:27:27.675]  So let's start.
[00:27:29.437 --> 00:27:34.124]  I haven't heard much about this until I saw it today on the Gateway Pundit.
[00:27:36.047 --> 00:27:44.639]  Evil Hamas mastermind behind the Israeli terrorist attack revealed and his dark message before the Iranian-backed assault.
[00:27:46.158 --> 00:27:53.602]  An AFP report has revealed the Hamas version of Osama Bin Laden and the dark message he left for his followers just before the attack on Israel.
[00:27:54.102 --> 00:27:56.383]  That's funny that they say Osama Bin Laden.
[00:27:56.403 --> 00:27:57.784]  Remember what he was used for?
[00:27:58.524 --> 00:28:11.311]  The mainstream media is now reporting that the man responsible for planning the terroristic, genocidal slaughter in Israel is a one-armed, one-legged maniac who goes by Mohammed DF, according to the Financial Review.
[00:28:12.031 --> 00:28:18.237]  He has been nicknamed the cat with nine lives because he's dodged numerous Israeli attempts on his life.
[00:28:19.178 --> 00:28:30.969]  The New York Post reports Mohamed Diab is actually the nom de guerre of Mohamed Diab Ibrahim al-Mazri and he is the head of the military wing of Hamas.
[00:28:34.592 --> 00:28:44.875]   And so the IDF The Israeli Defense Forces have named him the architect of a wave of suicide bombings, including a mass surge in 1996 that killed more than 50 civilians.
