[00:00:00.369 --> 00:00:01.290]  FBI report?
[00:07:06.000 --> 00:07:11.000]   and the Kremlin and be in collusion This president, this president
[00:07:11.000 --> 00:07:15.000]   and collusion with Putin and the Kremlin and be in collusion
[00:07:15.000 --> 00:07:20.010]   All 17 intelligence agencies 17 agencies.
[00:07:20.030 --> 00:07:22.512]  17 of our intelligence agencies have been burned.
[00:07:22.532 --> 00:07:24.113]  17 of our intelligence agencies.
[00:07:24.133 --> 00:07:25.394]  17 intelligence agencies.
[00:07:25.414 --> 00:07:27.996]  17 different United States intelligence agencies.
[00:07:28.016 --> 00:07:28.496]  All 17 of them.
[00:07:28.896 --> 00:07:36.814]   Stand up against the poison of white supremacy as I did my inaugural address to a single
[00:07:36.814 --> 00:07:50.615]   out as the most dangerous terrorist threat to our homeland is white supremacy.
[00:07:50.615 --> 00:07:53.696]  I'm not saying this because I'm a black HBCU.
[00:07:53.696 --> 00:07:56.715]   I I say it wherever I go.
[00:07:59.336 --> 00:08:05.419]  So, four years later, the Durham Report doesn't call for any criminal charges other than the couple that got charged for falsifying documents.
[00:08:08.000 --> 00:08:13.523]  They've already been charged, he says, the whole thing was made up by the Justice Department, by the Democrats and the CIA.
[00:08:14.423 --> 00:08:15.144]  We already knew that.
[00:08:15.424 --> 00:08:17.125]  Believe me, I knew I wasn't a Russian agent.
[00:08:18.092 --> 00:08:19.773]  I knew Trump wasn't a Russian agent.
[00:08:19.853 --> 00:08:21.514]  I knew Roger Stone wasn't a Russian agent.
[00:08:21.814 --> 00:08:23.454]  I knew General Flynn wasn't a Russian agent.
[00:08:23.775 --> 00:08:25.555]  I knew Trump didn't have women peeing on him.
[00:08:26.936 --> 00:08:35.360]  But for the last seven years, even before Trump got elected, they were saying he was a Russian agent.
[00:08:36.400 --> 00:08:40.922]  And they had the FBI investigate me and put us through hell.
[00:08:41.702 --> 00:08:43.523]  Way worse than anything McCarthy ever did.
[00:08:44.324 --> 00:08:47.325]  So why at the end of those clips did I just play Biden?
[00:08:50.450 --> 00:08:54.616]  Saying that the number one threat is white supremism.
[00:08:56.559 --> 00:09:10.624]   Well, for the last seven years, at least six months before the election ended, 2016, that's seven years, all we've heard Is that the number one threat is the Russians.
[00:09:10.644 --> 00:09:14.385]  They've taken over our elections when it was the deep state stealing the elections and the deep state surveillance.
[00:09:15.246 --> 00:09:19.867]  So now they've shifted completely to the white supremacist are everywhere.
[00:09:20.268 --> 00:09:21.188]  They're under the table.
[00:09:21.228 --> 00:09:22.649]  They're in your closet.
[00:09:22.669 --> 00:09:23.469]  They're under your bed.
[00:09:23.529 --> 00:09:24.429]  They're looking through your window.
[00:09:25.270 --> 00:09:29.271]  And you've got the patriot front group that's obviously feds running around.
[00:09:30.572 --> 00:09:33.533]  Right after Biden comes out with his message.
[00:09:35.234 --> 00:09:35.974]  So it's a big deal.
[00:09:38.243 --> 00:09:38.944]  It's a huge deal.
[00:09:39.084 --> 00:09:43.587]  And so the new thing... Oh, we got a real war with the Russians now, though.
[00:09:43.607 --> 00:09:44.468]  Don't worry, they started that.
[00:09:44.848 --> 00:09:47.390]  But the new thing is white supremacists.
[00:09:47.830 --> 00:09:51.153]  And everyone's guilty of secretly being a white supremacist.
[00:09:51.573 --> 00:10:03.142]  If you want lower taxes, if you don't want open borders, if you don't want critical race theory, if you don't want transgenderism, if you don't want lockdowns, forced injections, that's all listed as white supremacism in the report from June of 2021 that Biden put out.
[00:10:04.384 --> 00:10:14.552]  Over and over again, branding Americans that are loyal and good and care about freedom, including triple the number of blacks voting for Trump, double the number of Hispanics.
[00:10:14.752 --> 00:10:15.913]  You're all white supremacist too.
[00:10:15.953 --> 00:10:18.815]  And now we've seen The View and CNN and all of them.
[00:10:19.195 --> 00:10:21.437]  Oh, you don't have to be white to be a white supremacist.
[00:10:21.677 --> 00:10:22.798]  Oh, no, no, no, no.
[00:10:23.158 --> 00:10:25.900]  You're a white supremacist if you don't want to be a slave.
[00:10:28.305 --> 00:10:31.847]  What they're really doing is attacking America and capitalism and freedom and branding.
[00:10:31.927 --> 00:10:32.387]  It is bad.
[00:10:32.668 --> 00:10:36.590]  Trump said years ago after Charlottesville, next they'll want the American flag, not just the rebel flag.
[00:10:36.810 --> 00:10:38.051]  And now they want the American flag.
[00:10:38.891 --> 00:10:43.174]  They want to undermine the country that enshrines your rights.
[00:10:43.214 --> 00:10:48.177]  Doesn't give you your rights, but it enshrines them, points them out and says, we will protect them.
[00:10:48.837 --> 00:10:49.538]  What's a shrine?
[00:10:50.796 --> 00:10:55.297]  Well, where Jesus was crucified as a shrine, or where George Washington's buried as a shrine.
[00:10:55.317 --> 00:10:56.397]  It's something you protect.
[00:10:56.817 --> 00:10:57.718]  It's something you remember.
[00:10:57.778 --> 00:10:59.378]  It's grandma's grave as a shrine.
[00:10:59.658 --> 00:11:01.439]  It's what a gravestone is, the flowers you put.
[00:11:01.459 --> 00:11:03.539]  Their tomb is a shrine.
[00:11:04.339 --> 00:11:05.179]  A symbol of respect.
[00:11:06.160 --> 00:11:07.560]  The animals won't eat your dead body.
[00:11:07.379 --> 00:11:10.818]  That's where that comes from.
[00:11:10.818 --> 00:11:18.539]   They've even got studies now that some species of monkeys, got some photos of this
[00:11:18.539 --> 00:11:22.019]  coming up, try to bury.
[00:11:21.613 --> 00:11:24.214]  In particular, they're young when they die because they don't want to see them be eaten.
[00:11:24.894 --> 00:11:25.574]  It's respect.
[00:11:26.294 --> 00:11:27.154]  Even monkeys have it.
[00:11:27.995 --> 00:11:29.115]  Do we respect our unborn?
[00:11:29.535 --> 00:11:30.195]  We chop them up?
[00:11:30.955 --> 00:11:33.336]  So again, here's Biden announcing the new hoax.
[00:11:34.036 --> 00:11:34.856]  Russia, here it is.
[00:11:35.256 --> 00:11:36.497]  But not Russia, racism.
[00:11:38.257 --> 00:11:46.099]  White supremacy, as I did in my inaugural address to a single out as the most dangerous terrorist threat to our homeland, is white supremacy.
[00:11:48.484 --> 00:11:50.325]  No, you and the New World Order are the most dangerous threats.
[00:11:50.385 --> 00:11:54.788]  Turning our energy off, race warring us, shipping fentanyl in, human trafficking, turning war on Russia.
[00:11:54.808 --> 00:11:58.211]  And I'm not saying this because I'm a black HBCU.
[00:11:59.632 --> 00:12:01.173]  I say wherever I go.
[00:12:02.254 --> 00:12:04.275]  And if you don't vote for me, you ain't black.
[00:12:05.856 --> 00:12:21.446]   From a guy when he first got elected until about half of his career, 25 years ago, he's been in government for 50 years, longer, was aligning himself With the old South Democrats who were KKK grand wizards and dragons.
[00:12:22.306 --> 00:12:23.466]  I mean, you can't make that up.
[00:12:23.486 --> 00:12:30.308]  It's like, George Soros worked for Hitler, said it was the best time of his life, he loved it, he doesn't apologize, ADL gives him awards.
[00:12:31.108 --> 00:12:34.608]  Robert Byrd, KKK leader, Joe Biden loves him.
[00:12:35.429 --> 00:12:39.029]  It's just, it's just, it gives you a headache is what it does.
[00:12:39.789 --> 00:12:43.030]  These people are the opposite of what they say they are.
[00:12:44.585 --> 00:12:46.667]  They are the opposite of what they say they are.
[00:12:47.507 --> 00:12:49.349]  My grandfather got back from World War II.
[00:12:50.390 --> 00:12:51.571]  His whole family were Democrats.
[00:12:52.031 --> 00:12:53.332]  Someone wouldn't talk to him for years.
[00:12:53.873 --> 00:12:57.656]  He ran for office on the Eisenhower ticket.
[00:12:58.116 --> 00:13:03.120]  Got elected locally in the late 1950s to government in East Texas.
[00:13:04.061 --> 00:13:04.882]  They loved him forever.
[00:13:04.902 --> 00:13:06.343]  He was a county tax assessor.
[00:13:07.884 --> 00:13:09.345]  Poor people didn't pay taxes under him.
[00:13:10.006 --> 00:13:10.646]  Rich people did.
[00:13:11.667 --> 00:13:12.248]  Jerry Jones.
[00:13:13.322 --> 00:13:19.843]  But the point is, is that he was a Republican because he didn't believe in black people not having rights.
[00:13:21.044 --> 00:13:29.646]  And people don't even know that it's the Republicans from Abraham Lincoln to Eisenhower to Jerry Jones that stood up for black people.
[00:13:29.886 --> 00:13:35.167]  And now we get to sit here and literally hear all day long.
[00:13:37.230 --> 00:13:39.351]  From the Deep State Democrats that we're bad.
[00:13:39.711 --> 00:13:40.251]  BS!
[00:13:40.331 --> 00:13:40.891]  You're bad!
[00:13:41.091 --> 00:13:42.432]  And I'm sick of your crap!
[00:13:43.112 --> 00:13:44.233]  And I'm sick of your lies!
[00:13:44.513 --> 00:13:45.773]  We're not white supremacists!
[00:13:46.013 --> 00:13:47.134]  And we're not Russian agents!
[00:13:47.334 --> 00:13:49.054]  We're Americans that want freedom!
[00:13:49.635 --> 00:13:50.315]  And security!
[00:13:50.575 --> 00:13:51.375]  And prosperity!
[00:13:51.595 --> 00:13:52.156]  You jerks!
[00:13:54.617 --> 00:13:55.657]  They're the race baiters!
[00:13:55.697 --> 00:13:56.797]  They're the race controllers!
[00:13:56.897 --> 00:13:59.138]  But... I'm gonna get more into Durham later.
[00:14:01.139 --> 00:14:06.301]  I saw some bone-chilling announcements in the New York Times, The Washington Post, Time Magazine over the weekend.
[00:14:07.489 --> 00:14:08.009]  And we called it.
[00:14:08.029 --> 00:14:09.391]  It wasn't hard to call.
[00:14:10.051 --> 00:14:11.012]  In fact, I was surprised.
[00:14:11.052 --> 00:14:13.494]  The fourth, fifth caller we took a couple of weeks ago.
[00:14:13.814 --> 00:14:15.636]  These articles just came out over the weekend.
[00:14:16.276 --> 00:14:18.058]  Two, three weeks ago, we'll find the clip.
[00:14:18.078 --> 00:14:27.145]  I remember the name of the headline for that part of the show was, Learn Why the WHO Ended the COVID Pandemic.
[00:14:27.546 --> 00:14:30.868]  Just go to Band.Video.infoWorks.com.
[00:14:31.529 --> 00:14:32.009]  Type that in.
[00:14:32.029 --> 00:14:32.330]  There it is.
[00:14:33.587 --> 00:14:35.488]  Learn why the WHO ended the COVID crisis.
[00:14:35.508 --> 00:14:37.029]  75,000 views.
[00:14:37.089 --> 00:14:38.610]  It needs 50 billion views.
[00:14:40.051 --> 00:14:42.632]  Everybody needs to watch it 10 times on the planet.
[00:14:43.693 --> 00:14:44.413]  And I called it.
[00:14:45.334 --> 00:14:48.355]  And I asked listeners, I said, what is the proper answer for why they ended it?
[00:14:48.715 --> 00:14:51.177]  Because they're getting the next pandemic ready.
[00:14:51.197 --> 00:14:51.817]  And here it is.
[00:14:52.397 --> 00:14:53.478]  This emergency is over.
[00:14:53.558 --> 00:15:00.102]  Now it's time to get ready for the next pandemic, says the UN, says the United Nations.
[00:15:01.055 --> 00:15:02.376]  Here's the Time Magazine article.
[00:15:02.476 --> 00:15:03.157]  It's everywhere.
[00:15:03.557 --> 00:15:05.378]  It's time to get ready for the next pandemic.
[00:15:05.718 --> 00:15:06.819]  Yeah, folks, we better get ready.
[00:15:06.839 --> 00:15:10.142]  The same people that launched the last one are going to release something even more deadly.
[00:15:10.542 --> 00:15:11.623]  They've already showed their hand.
[00:15:11.643 --> 00:15:13.404]  We'll tell you more about that when we come back.
[00:15:13.984 --> 00:15:16.566]  And we've got Michael Young, investigative journalist.
[00:15:16.586 --> 00:15:17.787]  We've got Roger Stone.
[00:15:18.047 --> 00:15:19.288]  We got it all today.
[00:15:19.348 --> 00:15:21.130]  I'm Alex Jones, InfoWars.com.
[00:15:21.971 --> 00:15:30.177]  How is it possible that they stuck three separate HIV proteins in these shots and effectively gave the world a vaccine-induced AIDS?
[00:15:30.838 --> 00:15:33.980]  If that happened, all the doctors will tell you that is so.
[00:15:34.601 --> 00:15:39.604]  So how is it possible that they've effectively killed half of the globe and they're still walking around free?
[00:15:40.045 --> 00:15:44.068]  Did you know, Todd, the military is starting to test the members of the military for AIDS?
[00:15:44.088 --> 00:15:44.488]  Yes, I do.
[00:15:45.289 --> 00:15:46.710]  Yes, I do know that.
[00:15:48.323 --> 00:15:50.064]  And sickle cell too, by the way.
[00:15:50.304 --> 00:15:56.787]  And sickle cell as well, because the vaccines have also the propensity to change the shape of red blood cells.
[00:15:56.867 --> 00:16:03.230]  And so now they're showing up with sickle cell, with HIV, with cancers that never existed before.
[00:16:04.751 --> 00:16:10.154]  It was only in 2021 that we found there was an 1100% increase in all-cause morbidity and mortality.
[00:16:10.534 --> 00:16:14.276]  We don't know what those numbers are anymore because the DoD changed them and fudged them.
[00:16:14.776 --> 00:16:20.845]  And I was talking to one of our whistleblowers yesterday, funny enough, and I said, well, how can we track how many pilots are no longer flying because they can't?
[00:16:21.466 --> 00:16:25.472]  And this person effectively said, we can't, because now DMED is worthless.
[00:16:25.532 --> 00:16:27.895]  It's not useful because the numbers are all made up.
[00:16:28.196 --> 00:16:29.578]  We don't even know how to track this now.
[00:16:29.969 --> 00:16:45.295]  Now that they're doing these blood tests and they're looking to see if members of the military who have been vaccinated have AIDS, vaccine-acquired immune deficiency, basically, are they also looking to see if, in fact, some of the members of the military even took the vaccine?
[00:16:45.335 --> 00:16:58.865]   Because, let's face it, There's people out there that'll, for a hundred bucks, thousand bucks, whatever, you can walk into a CVS and they'll take your vaccine, squirt it into the trash can and fill out the form and say, well, they came in for their vaccine, didn't tell, I didn't have to tell you, I put it in their arm.
[00:16:59.266 --> 00:17:01.287]  You know, are they going to be able to determine that?
[00:17:02.608 --> 00:17:03.409]  Yeah, they can.
[00:17:04.210 --> 00:17:09.736]  We did mass spectrometry on both Pfizer and Moderna and we found that each of them contains something called luciferase.
[00:17:10.637 --> 00:17:15.222]  In one of them it's SM-102 and in the other one it's ALC-3015 as key ingredients.
[00:17:15.663 --> 00:17:26.389]   Luciferase is a bioluminescent Ingredient, for lack of a better word, that will, in fact, allow third party onlookers to know whether or not you got the shot.
[00:17:26.429 --> 00:17:33.012]  And I've talked to people who showed up at the border with their fake vaccine cards and were turned away because the border inspectors knew they hadn't had the shots.
[00:17:33.372 --> 00:17:34.453]  They knew remotely.
[00:17:34.773 --> 00:17:37.974]  So the answer to your question is yes, they'll know whether people got the shots or not.
[00:17:38.055 --> 00:17:42.176]  And those who stood up and said, I'm not getting the shots are already getting processed out, right?
[00:17:42.677 --> 00:17:45.018]  That's what we're doing from day to day is trying to help those people.
[00:17:47.179 --> 00:17:50.580]  By the way, the scientists and lawyers you were just listening to are not just saying that.
[00:17:50.620 --> 00:17:54.641]  Let's put on screen BBC, British Broadcasting Company.
[00:17:56.142 --> 00:18:03.524]  From two years ago, Australia had to stop their COVID vaccine because it was causing false HIV response, saying they had HIV.
[00:18:04.345 --> 00:18:13.728]  And now you can pull up mainstream news, the Army Times, 500% increase in HIV positive in the troops.
[00:18:15.267 --> 00:18:16.588]  And the numbers are always a year behind.
[00:18:16.668 --> 00:18:20.469]  Guess the latest numbers.
[00:18:20.489 --> 00:18:21.190]  2021, 2022, halfway through.
[00:18:21.810 --> 00:18:24.992]  So, when did the shots start?
[00:18:25.012 --> 00:18:26.913]  2021, January, in the military.
[00:18:27.433 --> 00:18:29.854]  When did the 500% increase begin?
[00:18:29.994 --> 00:18:30.754]  Immediately.
[00:18:30.774 --> 00:18:55.041]   I don't need to be a pathologist, you know, that's coroners, that's people that know the human body and what causes death or what causes illness, to know that if I walk up to you with a semi-automatic 12-gauge shotgun with double-aught buck, And I shoot you in the head and blow the top of your head off, and then I point it at your chest and unload six more cartridges into you, and you're a bloody mess that you're gonna die.
[00:18:55.061 --> 00:19:02.345]  I don't need to be a pathologist that if I take a machete and cut your head off, that you're gonna die!
[00:19:03.866 --> 00:19:05.707]  But I can interview the pathologist all day.
[00:19:05.867 --> 00:19:06.568]  They have the head.
[00:19:07.751 --> 00:19:19.134]  Of the German Pathologist Society, a year and a half ago, come out and say, we're seeing multi-thousand percent increases in cancer and HIV and death from these damn shots.
[00:19:19.414 --> 00:19:23.555]  They had cancer research facilities in Germany again, but also in England and the U.S.
[00:19:24.035 --> 00:19:34.498]  that found that people that had cancer in remission, lymphoma, leukemia, you name it, that it was turning all of their cancers on when they took it.
[00:19:36.934 --> 00:19:38.595]  So again, that's what's happened.
[00:19:38.615 --> 00:19:39.656]  We've already been hit.
[00:19:41.657 --> 00:19:43.398]  There's ways to mitigate the spike protein.
[00:19:43.539 --> 00:19:46.260]  It also spreads to not just those that have taken the shots.
[00:19:47.241 --> 00:19:48.102]  That's in the literature.
[00:19:48.502 --> 00:19:49.423]  That's in the scientific studies.
[00:19:50.003 --> 00:19:51.044]  This is happening.
[00:19:53.085 --> 00:20:10.825]   I don't need to be a pathologist to know that if I walk up to you, or somebody walks up to you with a gallon of gasoline, and they tie you up against a tree, They pour that gallon of gasoline on you, and they line a match and throw it at you, you're gonna burn up.
[00:20:10.905 --> 00:20:11.625]  You're gonna die.
[00:20:11.646 --> 00:20:17.691]  You're gonna have third degree and beyond burns all over your body, and you might not make it to the hospital.
[00:20:17.711 --> 00:20:20.313]  You'll probably die of shock, but regardless, you're gonna die.
[00:20:20.353 --> 00:20:21.074]  You might live a day.
[00:20:21.995 --> 00:20:25.338]  But that gallon of gas is gonna kill you deader than a hammer.
[00:20:28.661 --> 00:20:30.362]  But the pathologists say the shot's killing you.
[00:20:31.323 --> 00:20:31.984]  Not a vaccine.
