[00:00:00.169 --> 00:00:00.910]  It's official.
[00:01:30.918 --> 00:01:34.637]   I said this the other day that Russia is already saying, Go look at Kiev today.
[00:01:34.334 --> 00:01:35.695]  They started bombing Kiev again.
[00:01:35.975 --> 00:01:36.856]  And then where did they bomb?
[00:01:36.956 --> 00:01:38.756]  Alex, I said it on this program.
[00:01:38.796 --> 00:01:41.257]  I said he is going to try to take Odessa.
[00:01:41.578 --> 00:01:44.759]  Odessa got lit up last night by these kamikaze drones.
[00:01:44.779 --> 00:01:46.560]  They got lit up by missiles.
[00:01:46.900 --> 00:01:52.362]  They are planning to turn Ukraine into a dysfunctional rump state because they do not trust Zelensky.
[00:01:52.422 --> 00:01:58.625]  They know that he is a puppet and they're increasingly looking at the rest of the Western European leaders as puppets as well.
[00:02:03.087 --> 00:02:07.928]  Rallying patriots worldwide in defense of human liberty.
[00:02:08.148 --> 00:02:28.932]  It's Alex Jones.
[00:02:29.072 --> 00:02:29.833]  InfoWars.
[00:02:29.993 --> 00:02:31.993]  Tomorrow's News Today.
[00:02:31.993 --> 00:02:43.493]   Ladies and gentlemen, when I first saw this clip last night, I thought it was a deepfake.
[00:02:43.463 --> 00:02:44.423]  I thought it was a joke.
[00:02:45.144 --> 00:02:50.907]  But then I remembered that he'd said similar things from Ukraine.
[00:02:52.408 --> 00:03:04.245]   Zelensky, the globalist puppet, Said, you don't get your roads, you don't get money, you don't get anything, you don't get pensions.
[00:03:05.186 --> 00:03:08.849]  You give all your money to us for weapons and our pensions and our border.
[00:03:11.290 --> 00:03:14.673]  I'm compositing two different clips where he's said all those things together.
[00:03:15.453 --> 00:03:20.757]  And we're digging up the clip I saw a few months ago, but this is the latest on Fox News last night.
[00:03:20.777 --> 00:03:21.598]  This is real.
[00:03:23.019 --> 00:03:24.160]  This is not a joke.
[00:03:26.377 --> 00:03:47.695]  327 days out from the most historic election in world history, we literally have a totally compromised gay prostitute, completely blackmailed and controlled by the deep state, and a known cokehead like Hunter, who plays pianos with his penis on TV, literally saying, you'll get nothing, here it is.
[00:03:48.756 --> 00:03:51.378]  What do you say to critics who are saying that?
[00:03:53.195 --> 00:04:01.261]  I say, such person from government or mayors, think about the war, think about how to defend our people.
[00:04:02.182 --> 00:04:04.583]  Don't travel through the world each day.
[00:04:05.569 --> 00:04:06.731]  Travel to the front line.
[00:04:07.412 --> 00:04:10.095]  Ask people, ask soldiers what they need.
[00:04:10.556 --> 00:04:10.936]  Do this.
[00:04:11.717 --> 00:04:14.161]  Not build roads for today.
[00:04:14.641 --> 00:04:15.262]  Don't do it.
[00:04:15.342 --> 00:04:21.791]  Spend all your money to the weapon, to the drones, to the society, to the pensions, and etc.
[00:04:22.071 --> 00:04:22.732]  And don't cry.
[00:04:23.837 --> 00:04:24.978]  Because you're leaders.
[00:04:25.438 --> 00:04:26.518]  And that's it.
[00:04:27.099 --> 00:04:32.201]  That's why we are, and that's why we stay, because mostly people are not trying.
[00:04:32.882 --> 00:04:35.623]  People stay and fight against Putin.
[00:04:35.783 --> 00:04:39.445]  And we don't have any enemies in our country.
[00:04:39.685 --> 00:04:42.427]  We can't have time for this.
[00:04:42.827 --> 00:04:43.808]  And we don't have it.
[00:04:44.248 --> 00:04:45.549]  We have only one enemy.
[00:04:46.329 --> 00:04:47.009]  This is Putin.
[00:04:47.510 --> 00:04:47.970]  And that's it.
[00:04:49.326 --> 00:04:51.246]  But you'll stand for democracy going forward?
[00:04:51.266 --> 00:04:52.067]  Yes, of course.
[00:04:52.587 --> 00:04:58.868]  And of course, because we are really defending democracy, and we are really defending freedom.
[00:04:59.788 --> 00:05:03.029]  Mr. President, we appreciate your time, and we'll continue to follow the war.
[00:05:03.528 --> 00:05:04.528]  Thank you so much.
[00:05:04.528 --> 00:05:14.249]  [BLANK_AUDIO]
[00:05:14.249 --> 00:05:18.649]   We can make jokes about this all day, but it's not a laughing matter.
[00:05:18.649 --> 00:05:28.649]  [BLANK_AUDIO]
[00:05:19.795 --> 00:05:33.849]  We just got backhanded by the pimp in the face, knocking a couple teeth out, busting our lip, saying, you are here to completely submit to us.
[00:05:35.130 --> 00:05:35.971]  You are here.
[00:05:37.933 --> 00:05:39.635]  And I don't want to hear you complain.
[00:05:39.815 --> 00:05:40.836]  You back us.
[00:05:40.936 --> 00:05:41.917]  You don't get roads.
[00:05:42.017 --> 00:05:42.738]  You don't get anything.
[00:05:46.431 --> 00:05:49.332]  We don't have any room for debate or discussion about this.
[00:05:49.372 --> 00:05:50.273]  You just get in line.
[00:05:51.153 --> 00:05:52.674]  I want to get a transcript of that interview.
[00:05:53.754 --> 00:05:54.775]  I'm sure there's one already out there.
[00:05:54.795 --> 00:05:56.436]  Get me a transcript of what he said on Fox News.
[00:05:56.936 --> 00:05:58.036]  Hell, get me the whole interview.
[00:05:58.777 --> 00:06:00.157]  Because he said even crazier stuff.
[00:06:00.177 --> 00:06:01.478]  I've watched most of it.
[00:06:03.279 --> 00:06:05.200]  I am speechless.
[00:06:05.260 --> 00:06:08.001]  And you know, you think Alex Jones can't be amazed or shocked by the globalists.
[00:06:08.041 --> 00:06:11.163]  No, this is total arrogance.
[00:06:11.543 --> 00:06:17.020]   And what you just got Was a taste of what he tells his people there.
[00:06:17.080 --> 00:06:19.080]  If you disagree in any way, you go to a forced labor camp.
[00:06:21.521 --> 00:06:24.222]  They're conscripting 65-year-old men for the meat grinder.
[00:06:24.722 --> 00:06:26.803]  They're laundering and stealing massive amounts of money.
[00:06:28.903 --> 00:06:32.585]  And they've banned the Orthodox Church that founded Ukraine and founded Russia.
[00:06:33.525 --> 00:06:34.165]  They've banned it.
[00:06:35.746 --> 00:06:39.867]  He's banned all the opposition parties, including parties that are in alliance with him.
[00:06:40.987 --> 00:06:42.668]  He's taking control of all communications.
[00:06:43.428 --> 00:06:46.210]  He's established a dictatorship, just like Hitler got elected.
[00:06:46.250 --> 00:06:47.190]  Well, he was elected, too.
[00:06:48.491 --> 00:06:50.072]  And he's established a dictatorship.
[00:06:50.092 --> 00:06:50.652]  It's on record.
[00:06:50.692 --> 00:06:52.874]  Even the mayor of Kiev came out and said he's become a dictator.
[00:06:53.414 --> 00:06:55.455]  The word is he'll probably die in a helicopter crash soon.
[00:06:58.056 --> 00:07:00.858]  And the war was never designed to be won.
[00:07:00.898 --> 00:07:03.459]  It was designed for a giant money laundering operation.
[00:07:03.499 --> 00:07:06.141]  Now the German chancellor has come out.
[00:07:07.256 --> 00:07:11.118]  And said that if Ukraine starts to lose, Germany may have to declare an emergency.
[00:07:11.938 --> 00:07:13.919]  So this is all World War III acceleration.
[00:07:14.499 --> 00:07:14.939]  All right!
[00:07:16.440 --> 00:07:19.241]  Vladimir Zelensky is making the rounds in D.C.
[00:07:19.281 --> 00:07:23.803]  to get hundreds of billions of dollars more to launder back through into D.C.
[00:07:24.643 --> 00:07:31.946]  But he keeps an ice cut with his 200-foot yacht and his giant penthouses around the United States, like in places like Miami.
[00:07:33.643 --> 00:07:35.243]  I'm going to play this clip for you right now.
[00:07:35.283 --> 00:07:40.345]  This is Zelensky on Fox News last night with Brett Barrett groveling to him.
[00:07:41.785 --> 00:07:43.125]  And this is a real clip.
[00:07:43.145 --> 00:07:44.066]  This is not a deep fake.
[00:07:44.106 --> 00:07:45.686]  This is not a fraud.
[00:07:46.466 --> 00:07:48.727]  Last night, I was about to go to bed about 10 p.m.
[00:07:48.927 --> 00:07:51.808]  I saw this clip you're about to see and I thought, that's fake.
[00:07:53.108 --> 00:07:54.728]  But it was being put out by mainstream news.
[00:07:54.748 --> 00:07:57.229]  So I went to Fox and found the full interview.
[00:07:57.289 --> 00:07:58.169]  It's like seven minutes long.
[00:07:58.189 --> 00:07:58.709]  We've got that.
[00:07:59.010 --> 00:08:00.510]  He actually said this.
[00:08:02.062 --> 00:08:03.543]  This is not fake, okay?
[00:08:04.544 --> 00:08:09.587]  You do not get roads, you get nothing, you do not question, everything is for us, you get nothing.
[00:08:10.528 --> 00:08:16.672]  And then during the press conference with, Biden didn't know what plan he was on, he goes, we gotta fund Ukraine to defend the US border.
[00:08:16.932 --> 00:08:17.172]  What?
[00:08:18.693 --> 00:08:20.515]  Ukraine's gotta fix our border, that's a quote.
[00:08:21.525 --> 00:08:25.790]  It just went on and on with the insanity, but this is a pimp.
[00:08:26.491 --> 00:08:27.472]  This is a dictator.
[00:08:27.773 --> 00:08:29.895]  He got elected, but he's outlawed the Orthodox Church.
[00:08:29.936 --> 00:08:33.019]  He's outlawed all, not just opposition parties, but parties, period.
[00:08:33.300 --> 00:08:34.541]  He seized control of the media.
[00:08:34.561 --> 00:08:36.263]  They're conscripting men up to age 65 now.
[00:08:39.008 --> 00:08:44.288]   and Biden and now the German Chancellor today, Jack was popping in in a minute, he predicted all this, he was the
[00:08:44.288 --> 00:08:48.338]   first to do it, are escalating to full war with Russia as the October
[00:08:48.338 --> 00:08:49.008]  surprise.
[00:08:49.008 --> 00:08:53.008]  Here's the Zelensky just over the top pimp smack.
[00:08:53.008 --> 00:08:57.008]  What do you say to critics who are saying that?
[00:08:57.008 --> 00:09:06.008]   I say such person from government or mayors think about the war, think about how to defend our people.
[00:09:06.903 --> 00:09:09.328]  Don't travel through the walls each day.
[00:09:10.296 --> 00:09:11.438]  Travel to the front line.
[00:09:12.119 --> 00:09:14.802]  Ask people, ask soldiers what they need.
[00:09:15.263 --> 00:09:15.663]  Do this.
[00:09:16.424 --> 00:09:18.868]  Not build roads for today.
[00:09:19.348 --> 00:09:19.969]  Don't do it.
[00:09:20.049 --> 00:09:26.518]  Spend all your money to the weapon, to the drones, to the society, to the pensions, and etc.
[00:09:26.798 --> 00:09:27.459]  And don't cry.
[00:09:28.547 --> 00:09:29.687]  Because you're leaders.
[00:09:30.168 --> 00:09:31.248]  And that's it.
[00:09:31.808 --> 00:09:34.369]  That's why we are and that's why we stay.
[00:09:34.409 --> 00:09:36.910]  Because mostly people are not trying.
[00:09:37.611 --> 00:09:40.352]  People stay and fight against Putin.
[00:09:40.512 --> 00:09:44.173]  And we don't have any enemies in our country.
[00:09:44.393 --> 00:09:47.155]  We can't have time for this.
[00:09:47.555 --> 00:09:48.535]  And we don't have it.
[00:09:48.955 --> 00:09:50.256]  We have only one enemy.
[00:09:51.056 --> 00:09:51.736]  This is Putin.
[00:09:52.217 --> 00:09:52.697]  And that's it.
[00:09:54.053 --> 00:09:55.854]  But you'll stand for democracy going forward?
[00:09:55.894 --> 00:09:56.774]  Yes, of course.
[00:09:57.315 --> 00:10:03.578]  And of course, because we are really defending democracy, and we are really defending freedom.
[00:10:04.498 --> 00:10:07.740]  Mr. President, we appreciate your time, and we'll continue to follow the war.
[00:10:08.460 --> 00:10:08.680]  Thank you.
[00:10:08.700 --> 00:10:09.881]  Thank you so much.
[00:10:10.001 --> 00:10:12.202]  Don't cry, don't build roads.
[00:10:12.822 --> 00:10:15.403]  Give us everything, everything for the war.
[00:10:16.664 --> 00:10:18.545]  Your leaders need to do what we say.
[00:10:20.703 --> 00:10:22.344]  That is dictator talk right there.
[00:10:22.384 --> 00:10:29.025]  That is disgusting and that is a emblematic of the rotting system that we have.
[00:10:29.045 --> 00:10:33.067]  Its expiration date is just beyond insane and it's way over.
[00:10:33.707 --> 00:10:36.828]  Jack Masovic, formerly Naval Intelligence, incredible journalist and reporter.
[00:10:37.568 --> 00:10:50.612]   I've been predicting a lot of this, so has Steve Bannon, so has Tucker Carlson, but But Jack has been nailing it, saying, no, their October surprise of many, but the jewel in the crown is going to be taking us into full war.
[00:10:50.672 --> 00:10:56.159]  And now Germany's chancellor says they're preparing to declare an emergency if things don't go well in Ukraine.
[00:10:57.380 --> 00:11:01.004]  Germany's taking orders obviously from the folks that run our country.
[00:11:01.725 --> 00:11:03.967]  This is end-of-the-world potential type stuff.
[00:11:04.308 --> 00:11:08.732]  Jack Posobiec, now it's not a prediction that was coming true, it's now come true.
[00:11:09.213 --> 00:11:12.857]  Give us your latest analysis on how we derail nuclear World War III.
[00:11:13.968 --> 00:11:19.469]  Alex, I said this on the program in a few appearances, a series of appearances that I've been doing this week.
[00:11:19.849 --> 00:11:22.270]  I said it's not going to be just the U.S.
[00:11:22.290 --> 00:11:22.790]  directly.
[00:11:22.850 --> 00:11:24.370]  I said it's going to be the U.S.
[00:11:24.850 --> 00:11:33.972]  using their influence over Western Europe, and they are going to declare mobilization of NATO into Ukraine.
[00:11:34.352 --> 00:11:36.152]  Now, where do we go with Olaf Scholz?
[00:11:36.172 --> 00:11:38.293]  Well, I talked about Nord Stream 2.
[00:11:39.073 --> 00:11:45.521]  When Nord Stream 2 occurred, remember Ola Schultz, the Chancellor of Germany, he's got all the receipts on this.
[00:11:45.962 --> 00:11:56.856]  He could come clean tomorrow, Alex, in front of the entire world and tell us definitively who bombed Nord Stream 2, who ordered the bombing, who conducted the operation.
[00:11:57.296 --> 00:12:00.139]  He could tell us the truth and come clean.
[00:12:00.199 --> 00:12:03.242]  He could do the right thing, but he won't because he's terrified.
[00:12:03.602 --> 00:12:10.168]  He's terrified of the CIA and what they will do to him if he comes out and tells the truth.
[00:12:10.468 --> 00:12:11.469]  So what do we see now?
[00:12:11.609 --> 00:12:21.038]  Now suddenly Olaf Scholz, who if you remember early on in this, was saying that he didn't want the war with Ukraine, that he wanted to find some way to have peace with Russia.
[00:12:21.078 --> 00:12:22.099]  He didn't want to send panzers.
[00:12:22.139 --> 00:12:23.380]  He didn't want to send all this stuff.
[00:12:24.195 --> 00:12:24.635]  Tornadoes?
[00:12:24.655 --> 00:12:25.456]  Now it's all flipped.
[00:12:25.576 --> 00:12:26.637]  Now it's all flipped.
[00:12:26.677 --> 00:12:27.838]  It's all flipped around.
[00:12:28.118 --> 00:12:29.579]  And suddenly he's calling for what?
[00:12:29.659 --> 00:12:32.021]  This emergency declaration.
[00:12:32.361 --> 00:12:40.947]  And if he gets the emergency declaration, Alex, that means he will have the ability to do unlimited spending in Germany.
[00:12:41.387 --> 00:12:47.612]  Unlimited spending to mobilize and then send the... Remember, because he knows he doesn't have the votes.
[00:12:47.652 --> 00:12:53.156]  The same way that Biden had to do the 200 million direct transfer yesterday, they called it drawdown funds.
[00:12:53.576 --> 00:12:55.317]  So Biden couldn't get the votes out of the Congress.
[00:12:55.958 --> 00:12:56.498]  He said, fine.
[00:12:56.898 --> 00:12:58.400]  Biden went directly to the U.S.
[00:12:58.440 --> 00:13:02.963]  military, went to the Pentagon, took $200 million from our own U.S.
[00:13:03.043 --> 00:13:06.786]  stockpile and sent that directly to Ukraine.
[00:13:06.926 --> 00:13:12.970]  You see, this is the same thing that Shultz is attempting to do now here, and he will do if he gets this emergency power.
[00:13:13.250 --> 00:13:14.131]  So it's the U.S.
[00:13:14.531 --> 00:13:16.032]  Putting influence on Germany.
[00:13:16.212 --> 00:13:18.253]  They're going to say, the Germans are leading this.
[00:13:18.333 --> 00:13:19.773]  They're the ones that are in charge of it.
[00:13:19.813 --> 00:13:21.414]  We're going to follow their lead.
[00:13:21.714 --> 00:13:26.176]  And Biden will be able to sit back and say, oh, well, I didn't want to do this, but the Germans had to do it.
[00:13:26.576 --> 00:13:32.018]  Olaf Scholz, NATO, NATO troops fighting in Ukraine against the Russian state.
[00:13:33.086 --> 00:13:34.727]  You were just here yesterday.
[00:13:34.787 --> 00:13:36.447]  You said, look for Germany to be key.
[00:13:36.807 --> 00:13:39.528]  They're the most powerful in Europe and you brought up Nord Stream.
[00:13:39.648 --> 00:13:40.268]  So you nailed it.
[00:13:40.729 --> 00:13:41.769]  And so here's the announcement.
[00:13:41.789 --> 00:13:42.569]  Let's be 100% clear.
[00:13:43.310 --> 00:13:50.512]  They're no longer just preparing us for full direct open conflict with Russia because Ukraine is completely lost months and months and months ago.
[00:13:51.372 --> 00:13:53.673]  They are now putting Europe into an emergency.
[00:13:53.693 --> 00:14:00.628]   And if you follow what Biden said almost two weeks ago, he said, He said Putin is going to attack a NATO ally next.
[00:14:00.788 --> 00:14:07.717]  Well, they're now getting ready to basically just call officially Ukraine a NATO ally, even though they've never been in NATO, and that was Putin's red line.
[00:14:08.919 --> 00:14:10.461]  Remember, he said NATO ally.
[00:14:10.721 --> 00:14:11.242]  NATO ally.
[00:14:11.262 --> 00:14:12.063]  What's a NATO ally?
[00:14:12.844 --> 00:14:19.989]  Yes, so what they're doing is, Biden says a week and a half ago, we are going to defend our allies in NATO.
[00:14:20.429 --> 00:14:27.013]  Now, Shultz says we've got to go to a national emergency war footing for allies, which gives him dictatorial power.
[00:14:27.293 --> 00:14:28.374]  So it's not coming.
[00:14:28.654 --> 00:14:31.256]  They now are officially taking the gun off safety, Jack.
[00:14:32.540 --> 00:14:38.605]  Yeah, Alex, I remember, the Germans don't have a great history with when their chancellors declare emergency power.
[00:14:38.685 --> 00:14:47.332]  And I think, I'll tell you, the Russians certainly remember the history of when German chancellors call for emergency powers.
[00:14:48.152 --> 00:14:49.753]  Sometimes they wait for a crisis.
[00:14:49.794 --> 00:14:52.976]  They wait for a fire at something called the Reichstag, maybe.
[00:14:53.196 --> 00:14:53.777]  I don't know.
[00:14:54.197 --> 00:14:55.458]  I'm just being hypothetical.
[00:14:55.498 --> 00:15:06.410]   Look, people need to be very serious about this because the chips are already We're not telling you what we think is going to happen.
[00:15:06.450 --> 00:15:09.294]  We're telling you what is exactly happening right now.
[00:15:09.634 --> 00:15:13.320]  That's why I was able to come on this program yesterday and say, keep an eye on Germany.
[00:15:13.560 --> 00:15:17.706]  Then the first thing, Alex, I woke up this morning, I was looking at Germany and I sent you the message.
[00:15:17.766 --> 00:15:21.418]   I said, look, The Germans are calling for emergency powers.
[00:15:21.458 --> 00:15:23.078]  They're an emergency declaration.
[00:15:23.158 --> 00:15:23.398]  Why?
[00:15:23.698 --> 00:15:24.338]  And think about it.
[00:15:24.618 --> 00:15:29.280]  Germany's in an economic freefall right now because of the Nord Stream 2 situation.
[00:15:29.560 --> 00:15:32.280]  Because their energy sector is completely destroyed.
[00:15:32.520 --> 00:15:34.421]  Their energy inputs that they were getting were done.
[00:15:34.461 --> 00:15:35.161]  You know what that means?
[00:15:35.241 --> 00:15:36.861]  All the German cars, right?
[00:15:36.941 --> 00:15:38.922]  Every single German car brand, the luxury brands.
[00:15:39.222 --> 00:15:44.105]  They're getting the squeeze now, so they're going to be forced directly to deal more with economic deals in China.
[00:15:44.166 --> 00:15:47.828]  Now the CCP comes in, now Xi gets his beak involved there.
[00:15:48.148 --> 00:15:50.550]  Then you get the aircraft, you get the airliners.
[00:15:50.790 --> 00:15:54.072]  Now the EU is going to have to turn economically more towards who?
[00:15:54.493 --> 00:15:55.453]  To China.
[00:15:55.533 --> 00:16:03.859]  So who really wins, who really benefits on both ends of this is China, because they're economically going to reap the windfall from Germany.
[00:16:04.039 --> 00:16:09.857]   But on the military side, We're going to see the US push more for these allies.
[00:16:09.877 --> 00:16:17.200]  You're going to see the push through Germany, and then you're going to see the push through, we don't know who the next Polish Prime Minister is going to be, but it looks like it's going to be Donald Tusk.
[00:16:17.540 --> 00:16:20.421]  And if it is Donald Tusk, you are going to see who this is.
[00:16:20.641 --> 00:16:29.805]  This guy was the President of the EU, he is one of the biggest apparatchiks of the EU, and he will fall directly in line with anything the globalists want.
[00:16:29.825 --> 00:16:35.927]   The globalists are about to take over Poland, So, this is live, but I'm going to put a headline on it and put it out on Twitter, so hopefully 10 million people will watch it.
[00:16:35.947 --> 00:16:37.187]  This is an emergency situation.
[00:16:37.207 --> 00:16:37.928]  What is the headline here?
[00:16:37.948 --> 00:16:38.328]  It's official!
[00:16:38.147 --> 00:16:58.467]   are even the direct actual globalists straight from Brussels.
[00:16:58.542 --> 00:17:02.646]  I mean, there's not a headline crazy enough to describe this because you're right.
[00:17:02.866 --> 00:17:04.168]  It's all moving in that direction.
[00:17:04.208 --> 00:17:05.149]  It's already begun.
[00:17:05.870 --> 00:17:09.614]  Lloyd Austin told Congress last week... This is the pressure of the US neocons.
[00:17:09.914 --> 00:17:13.619]  This is the Axis, as you and I have been talking about all week here, Alex.
[00:17:13.979 --> 00:17:16.121]  Victoria Nuland is running U.S.
[00:17:16.141 --> 00:17:17.022]  foreign policy.
[00:17:17.302 --> 00:17:28.832]  Victoria Nuland, who has said in the middle of the Maidan coup, all the way back in 2014, it was Victoria Nuland who said, F the EU, we'll make them do whatever we tell them.
[00:17:28.952 --> 00:17:29.473]  Guess what?
[00:17:29.813 --> 00:17:32.655]  Victoria Nuland is doing the same exact thing.
[00:17:32.695 --> 00:17:39.161]  Whenever you get her or her husband Kagan involved in any of these things, it ultimately turns towards war.
[00:17:39.301 --> 00:17:41.302]  This is why they hate Trump so much.
[00:17:41.642 --> 00:17:49.506]  Because all of these... And Alex, remember, had Trump not been in office and Hillary had been in office, we would have been in this position six years ago.
[00:17:49.786 --> 00:17:50.906]  We would have been here by 2018.
[00:17:51.006 --> 00:17:51.627]  That's right.
[00:17:51.707 --> 00:17:53.287]  You would be on the brink with Russia.
[00:17:53.307 --> 00:17:53.808]  Trump just hit pause.
[00:17:53.828 --> 00:17:55.148]  And now they're trying to rush it.
[00:17:55.488 --> 00:17:59.787]   Now they're trying to rush it to launch this thing, because this has always been the plans,
[00:17:59.787 --> 00:18:04.048]   because they can see 2024 and the election coming and the patriots that are coming out
[00:18:04.048 --> 00:18:09.826]   in droves from the hills and from the mountains all the way coming down to vote for Trump,
[00:18:09.826 --> 00:18:12.027]  to vote these people the hell out of office.
[00:18:12.027 --> 00:18:15.707]   But they're trying to launch it beforehand because Alex, as we said, if they can get
[00:18:15.707 --> 00:18:20.428]   this emergency situation in, then suddenly they get the funding, they turn up the military
[00:18:20.428 --> 00:18:21.428]  orders.
[00:18:21.428 --> 00:18:22.428]  And look, Russia is responding already.
[00:18:22.428 --> 00:18:26.027]   I said this the other day that Russia is already saying go look, go look at Kiev today.
[00:18:26.023 --> 00:18:27.364]  They started bombing Kiev again.
[00:18:27.664 --> 00:18:28.545]  And then where did they bomb?
[00:18:28.665 --> 00:18:30.445]  Alex, I said it on this program.
[00:18:30.505 --> 00:18:32.946]  I said he is going to try to take Odessa.
[00:18:33.267 --> 00:18:36.448]  Odessa got lit up last night by these kamikaze drones.
[00:18:36.488 --> 00:18:38.269]  They got lit up by missiles.
[00:18:38.589 --> 00:18:44.051]  They are planning to turn Ukraine into a dysfunctional rump state because they do not trust Zelensky.
[00:18:44.111 --> 00:18:50.334]  They know that he is a puppet and they're increasingly looking at the rest of the Western European leaders as puppets as well.
[00:18:51.555 --> 00:18:54.857]  So, Jack, when I ask for the headline, I'm not just wanting a headline.
[00:18:54.937 --> 00:18:57.119]  I'm saying, what do we call this move?
[00:18:57.759 --> 00:19:05.164]  The US and NATO officially move into position to launch direct war against Russia.
[00:19:05.204 --> 00:19:07.286]  I mean, NATO... Mobilize NATO.
[00:19:07.366 --> 00:19:08.927]  Mobilize NATO against Russia.
[00:19:09.528 --> 00:19:10.208]  That's right.
[00:19:10.308 --> 00:19:12.870]  So, the globalist... That's what we're looking at.
[00:19:12.890 --> 00:19:14.831]  We're looking at the mobilization of NATO forces.
[00:19:15.332 --> 00:19:15.992]  That's the headline.
[00:19:16.052 --> 00:19:19.775]  First you need the funding, then you need the equipment, then you need the bodies.
[00:19:19.855 --> 00:19:20.415]  No, that's perfect.
[00:19:20.435 --> 00:19:21.136]  So that's what this is.
[00:19:21.176 --> 00:19:22.357]  I wanted to boil it down.
[00:19:22.377 --> 00:19:23.518]  It's not the headline.
[00:19:23.558 --> 00:19:24.199]  It's what's happening.
[00:19:24.499 --> 00:19:25.260]  So it's official.
[00:19:25.300 --> 00:19:31.725]  Just like 1940, Hitler mobilized for World War Two, and he lined up the troops and got ready.
[00:19:32.085 --> 00:19:33.867]  And so this is U.S.
[00:19:33.887 --> 00:19:36.969]  slash NATO officially mobilizing for direct war with Russia.
[00:19:41.013 --> 00:19:43.475]  Alex, it seems like that's exactly what's in the cards here.
[00:19:43.962 --> 00:19:49.527]  And I warn, I strongly warn that these people, you heard Zelensky on Fox last night!
[00:19:49.827 --> 00:19:53.971]  He said stop paying to build your bridges, stop paying to build your roads.
[00:19:54.011 --> 00:19:55.812]  This guy is an absolute madman.
[00:19:56.092 --> 00:19:59.976]  I said that he, I mean he's clearly on stimulants of some sort, probably illegal narcotics.
[00:20:01.236 --> 00:20:03.477]  He's lacking complete impulse control.
[00:20:03.698 --> 00:20:07.139]  He's going in front of the world and it sounds like he's making a complete fool of himself.
[00:20:07.159 --> 00:20:11.101]  He's saying, don't pay for your schools, don't pay for your roads, don't pay for your defense.
[00:20:11.321 --> 00:20:13.262]  And then he says you have to pay for our pensions.
[00:20:13.322 --> 00:20:16.343]  When he says pensions in there, Alex, people don't even understand this.
[00:20:16.383 --> 00:20:18.224]  He's kind of giving away, he's saying the quiet part out loud.
[00:20:18.424 --> 00:20:20.565]  Because the United States is currently paying U.S.
[00:20:20.585 --> 00:20:25.007]  tax dollars, the people within the sound of my voice inside the United States, you are paying.
[00:20:25.426 --> 00:20:29.786]   for Zelensky's pensions, you're paying for his government officials, you're paying for
[00:20:29.786 --> 00:20:33.105]  their salaries, you are putting money in Zelensky's pocket.
[00:20:33.105 --> 00:20:34.226]  That's coming from you.
[00:20:34.226 --> 00:20:36.705]  He doesn't have any economic activity going on right now.
[00:20:36.705 --> 00:20:38.945]  It's all of the tax base.
[00:20:38.945 --> 00:20:40.865]  You are now the tax base of Ukraine.
[00:20:40.865 --> 00:20:42.346]  Think of that.
[00:20:42.346 --> 00:20:43.346]  Officially.
