[00:00:00.000 --> 00:00:16.359]  [Music]
[00:03:33.489 --> 00:03:35.250]  Trump says he thinks Manhattan D.A.
[00:03:35.350 --> 00:03:38.393]  Alvin Bragg has dropped the case against him.
[00:03:39.694 --> 00:03:42.596]  Trump deletes posts that threatens D.A.
[00:03:42.716 --> 00:03:43.316]  Alvin Bragg.
[00:03:43.777 --> 00:03:45.058]  Why'd he do that?
[00:03:45.078 --> 00:03:46.779]  With an image of himself with a baseball bat.
[00:03:48.680 --> 00:03:50.501]  Like he's in that movie, The Untouchables or something.
[00:03:50.521 --> 00:03:51.681]  We just don't need that, folks.
[00:03:52.121 --> 00:03:53.502]  So I'm very glad Trump deleted that.
[00:03:53.542 --> 00:03:57.043]  I mean, we can not walk right into their trap and call for violence.
[00:03:57.063 --> 00:04:00.124]  That would be really... And he's like, well, they do it all the time.
[00:04:00.544 --> 00:04:02.044]  I understand that.
[00:04:02.805 --> 00:04:05.946]  I mean, the Democrats do a lot of horrible things.
[00:04:05.966 --> 00:04:06.986]  It doesn't mean we have to act like them.
[00:04:07.786 --> 00:04:09.987]  So that's some of what we've got here tonight.
[00:04:11.728 --> 00:04:15.089]  I want to open the phones up, coming up specifically on Trump.
[00:04:15.919 --> 00:04:19.140]  And what you think of him obviously being the massive frontrunner.
[00:04:20.000 --> 00:04:20.900]  And the media is spinning it.
[00:04:20.940 --> 00:04:24.201]  Well, he'll just lose again like two years ago in two years.
[00:04:24.421 --> 00:04:26.421]  Oh, because he stole the election?
[00:04:26.441 --> 00:04:27.101]  I mean, we all know that.
[00:04:27.141 --> 00:04:28.801]  I mean, sure, you say it's not the case.
[00:04:29.621 --> 00:04:30.682]  The evidence is overwhelming.
[00:04:31.322 --> 00:04:33.702]  But can they beat a massive super tsunami?
[00:04:34.462 --> 00:04:43.024]  Because you see, so many Republicans stayed home because they believed the background noise that trust the plan, Trump's invincible, he will win, no problem.
[00:04:43.843 --> 00:04:44.684]  Just trust the plan.
[00:04:44.724 --> 00:04:45.244]  Stay home.
[00:04:45.685 --> 00:04:46.325]  Suck your thumb.
[00:04:46.345 --> 00:04:48.707]  But people now realize that's not the case.
[00:04:49.388 --> 00:04:51.290]  We're covering this and so much more today.
[00:04:51.330 --> 00:04:54.552]  It's a big live Sunday, March 26th transmission.
[00:04:54.372 --> 00:05:11.571]  Stay with us.
[00:05:12.268 --> 00:05:13.730]  You want to stop tyranny?
[00:05:13.950 --> 00:05:15.071]  Well, so does he.
[00:05:15.631 --> 00:05:20.356]  Live from the InfoWars.com studios, it's Alex Jones.
[00:05:22.678 --> 00:05:28.283]  I want to be 100% clear with everybody on this live Sunday, March 26th, 2023 broadcast.
[00:05:31.641 --> 00:05:37.582]  Whether Trump is for real or not, the deep state hates his guts and is scared of him, because they see him as a power rival.
[00:05:39.343 --> 00:05:59.908]  And whether he's 100% real or not, when he gets up and says, we have a world corporate government destroying our borders, our families, our culture that's criminal, and the corporate media is your enemy, and they're trying to devalue the dollar and destabilize our country, and it's us or them, and we either take them out or they take us out politically.
[00:06:01.940 --> 00:06:03.160]  That's all completely true.
[00:06:03.801 --> 00:06:08.642]  And saying that energizes the awakening to levels never before seen.
[00:06:08.662 --> 00:06:15.424]  Because like I told you in the last six months, Houston was not popular to talk about world government, the new world order, even though it was all true.
[00:06:15.984 --> 00:06:21.905]  Now everybody from Russell Brand to Elon Musk to Joe Rogan's on board, to Tucker Carlson.
[00:06:22.546 --> 00:06:23.666]  Tucker's been doing it for a long time.
[00:06:24.554 --> 00:06:26.235]  He's certainly not a Johnny come lately.
[00:06:26.976 --> 00:06:29.918]  But everybody else is starting to be a Johnny come lately, which is fine.
[00:06:29.998 --> 00:06:32.800]  We're really winning right now.
[00:06:33.901 --> 00:06:37.904]  On so many fronts when it comes to hearts and minds, so that's a big deal.
[00:06:38.364 --> 00:06:41.146]  Trump was on fire yesterday in Waco.
[00:06:41.906 --> 00:06:42.987]  And so was Matt Gage.
[00:06:43.027 --> 00:06:44.308]  So was Marjorie Taylor Greene.
[00:06:45.129 --> 00:06:45.709]  I didn't go.
[00:06:45.729 --> 00:06:48.991]  We had some crew there covering it, but I gotta tell you, it was amazing.
[00:06:50.132 --> 00:06:52.134]  More hardcore stuff set at that rally.
[00:06:53.285 --> 00:06:56.813]  That have been said in the last six, seven years of Trump combined.
[00:06:57.895 --> 00:07:01.402]  So Trump is definitely born again hard as they call it.
[00:07:02.064 --> 00:07:02.144]  And.
[00:07:04.833 --> 00:07:06.874]  I think they'll probably try to assassinate him or something.
[00:07:06.894 --> 00:07:07.855]  This is just insane.
[00:07:08.275 --> 00:07:11.457]  I'm mad at him about the poison shots and don't trust him.
[00:07:12.678 --> 00:07:17.000]  But even Jared and his daughter said they're not involved with Trump now to business themselves.
[00:07:17.040 --> 00:07:17.481]  That's good.
[00:07:17.501 --> 00:07:23.184]  It looks like he's got all the Hollywood wannabe scum away from him and is doing a lot better.
[00:07:23.264 --> 00:07:26.906]  Now, I certainly am not delusional, but again, I'm going to say it one more time.
[00:07:27.387 --> 00:07:29.068]  You don't say things like this.
[00:07:31.567 --> 00:07:36.113]  You don't speak truths like this and it not have a huge effect against the enemy.
[00:07:36.774 --> 00:07:40.279]  Somebody that is working for the New World Order does not say stuff like this.
[00:07:41.300 --> 00:07:46.727]  I think all of his kind of reckless statements about death and destruction, we're going to overthrow you and all this.
[00:07:48.376 --> 00:07:49.296]  It's not a good thing.
[00:07:49.316 --> 00:07:54.478]  Could have been better thought out, but it's a good thing when it comes to showing that it's not a good thing in action.
[00:07:55.158 --> 00:08:00.841]  But it's in a way a good thing showing he is completely out of control, meaning they do not control him at all.
[00:08:00.861 --> 00:08:04.422]  I think it's very easy to gauge that and to see that, and that's why they hate him.
[00:08:04.782 --> 00:08:14.608]   Not that he wasn't aligned with them on some issues, but in the main, in general, This is an amazing time to be alive right now.
[00:08:15.328 --> 00:08:16.209]  It's not just Trump.
[00:08:16.649 --> 00:08:22.191]  Populism, nationalism, anti-globalism, pro-free market, pro-God, pro-family.
[00:08:23.212 --> 00:08:26.933]  Information is paramount now all over the world.
[00:08:27.013 --> 00:08:36.498]  People really get, there's a choice between nationalism and populism and freedom and the tyranny of the Great Reset and the New World Order and the UN and all the rest of it.
[00:08:37.941 --> 00:08:38.862]  Simply incredible.
[00:08:39.182 --> 00:08:40.362]  I got a bunch of these clips.
[00:08:40.482 --> 00:08:42.844]  I already played these once when the first little segment.
[00:08:42.864 --> 00:08:43.504]  I'm gonna air them again.
[00:08:43.524 --> 00:08:49.487]  I'm just gonna air them again because they're powerful and I'll air the MTG clip and then the other Trump clip I didn't get to.
[00:08:50.468 --> 00:08:52.609]  But let's air the MTG clip first.
[00:08:53.330 --> 00:08:54.250]  Then let's play Trump.
[00:08:54.270 --> 00:08:57.012]  Either the Deep State destroys America or we destroy the Deep State, which is true.
[00:08:57.732 --> 00:08:59.073]  Trump on the final battle.
[00:08:59.573 --> 00:09:01.234]  And then Trump for the public schools.
[00:09:01.434 --> 00:09:06.237]  And we'll come back from break and hit all the rest of the news and open the phones up and take your calls and so much more tonight.
[00:09:06.257 --> 00:09:06.597]  Stay with us.
[00:09:07.608 --> 00:09:11.510]  Biden and the Democrats have created one dumpster fire after another.
[00:09:12.030 --> 00:09:16.553]  But the most terrifying is the two-tiered injustice system.
[00:09:18.634 --> 00:09:23.356]  Just yesterday, I led an Oversight Committee delegation into the D.C.
[00:09:23.436 --> 00:09:23.876]  jail.
[00:09:25.077 --> 00:09:36.143]  And again, I witnessed the devastating effects on the pretrial January 6th detainees, who were the true political prisoners and are at the mercy of the Biden regime.
[00:09:37.316 --> 00:09:43.139]  Meanwhile, Antifa and BLM domestic terrorists are still out free roaming the streets.
[00:09:44.699 --> 00:09:52.143]  Biden and Merrick Garland are even trying to throw a man in jail for making memes during the 2016 election.
[00:09:53.223 --> 00:09:57.665]  The case of Douglas Mackey should scare every single American.
[00:09:58.626 --> 00:10:02.708]  Without free speech, we can never win the information war.
[00:10:04.278 --> 00:10:19.102]  But the most terrifying thing of all is how the Democrats have weaponized the government against President Trump, all for the crime of beating Hillary Clinton and winning the 2016 presidential election.
[00:10:20.143 --> 00:10:22.183]  We don't consider that a crime, do we?
[00:10:23.604 --> 00:10:24.944]  No, we elected him.
[00:10:25.583 --> 00:10:29.583]   We elected him in 2016 and we also elected him in 2020, didn't we?
[00:10:29.583 --> 00:10:40.143]   But now the radical New York District Attorney Alvin Bragg has initiated yet
[00:10:40.143 --> 00:10:45.423]  another phony witch hunt against President Trump.
[00:10:45.650 --> 00:10:46.230]  That's right.
[00:10:46.471 --> 00:10:46.871]  Boo.
[00:10:48.171 --> 00:10:56.895]  This attack is an egregious weaponization of our justice system designed to influence the 2024 presidential race.
[00:10:57.675 --> 00:11:24.691]   Since before President Trump was sworn in, radical left Democrats, or should we say communist Democrats, Have attacked him with Russia, Russia, Russia, the Mueller hoax, Ukraine, Ukraine, Ukraine, impeachment hoax number one, impeachment hoax number two, the illegal and unconstitutional Mar-a-Lago raid, and now this from the Manhattan DA?
[00:11:25.451 --> 00:11:32.451]   This is nothing but a witch hunt against President Trump and he is completely innocent.
[00:11:32.451 --> 00:11:37.451]  [Cheering]
[00:11:37.451 --> 00:11:44.451]   This is election interference and we refuse to look at it any other way.
[00:11:44.451 --> 00:11:46.451]  [applause]
[00:11:45.689 --> 00:12:03.812]  Radical left communist democrats in the New York District Attorney's Office are politicizing our justice system to influence the 2024 presidential race, but they're really hijacking our freedoms and destroying what it means to be an American.
[00:12:04.692 --> 00:12:06.393]  This is unprecedented.
[00:12:06.853 --> 00:12:09.973]  Never before has a former president been charged.
[00:12:10.494 --> 00:12:12.754]  A former innocent president.
[00:12:14.713 --> 00:12:22.676]  America's enemies are desperate to stop President Trump because he is the only one who can stop them.
[00:12:22.696 --> 00:12:28.978]  He is the only one who can defeat the radical Communist Democrats.
[00:12:32.955 --> 00:12:46.259]  You know, I want you to know, as hard as we work in the House of Representatives, where it's the only place we have Republican control, we cannot accomplish the America First agenda without President Trump in the White House.
[00:12:47.320 --> 00:12:50.221]  We have to take back the Department of Justice.
[00:12:52.541 --> 00:12:57.743]  You have to understand, they're not just coming after President Trump.
[00:12:58.243 --> 00:13:00.104]  They're coming after you.
[00:13:01.630 --> 00:13:05.313]  And President Trump is just the only one standing in their way.
[00:13:08.296 --> 00:13:14.701]  Either the deep state destroys America, or we destroy the deep state.
[00:13:14.882 --> 00:13:16.103]  That's the way it's gotta be.
[00:13:17.824 --> 00:13:19.986]  We're at a very pivotal point in our country.
[00:13:20.747 --> 00:13:39.990]   Either we descend into a lawless abyss of open borders, rampant killings, Super hyperinflation, which is what we have right now, and not coming down, and festering corruption, or we evict Joe Biden and the Democrats from the White House and we make America great again.
[00:13:41.144 --> 00:13:42.725]  Well, I've called for this for decades.
[00:13:42.745 --> 00:13:44.407]  The rest of the clips will come back after the break.
[00:13:45.028 --> 00:13:47.470]  But you cannot argue with the rhetoric.
[00:13:47.910 --> 00:13:50.613]  The rhetoric itself changes the playing field forever.
[00:13:51.073 --> 00:13:55.477]  It's the one thing the enemy can't stand is being identified, as I've told you 5,000 times.
[00:13:55.517 --> 00:13:56.398]  I'm getting chills right now.
[00:13:57.199 --> 00:13:57.419]  So...
[00:13:59.161 --> 00:14:03.183]  When Trump came out against nuclear war, I still had issues with him, but I said he was better than the Santas.
[00:14:03.223 --> 00:14:05.764]  He just went way ahead of the Santas.
[00:14:06.245 --> 00:14:07.165]  And we'll open the phones up.
[00:14:07.185 --> 00:14:08.366]  I know a lot of you are pissed at Trump.
[00:14:08.826 --> 00:14:09.766]  I've been pissed as well.
[00:14:10.147 --> 00:14:14.189]  And I'm certainly not lackadaisical that he's going to save us.
[00:14:14.229 --> 00:14:16.350]  But you cannot lie.
[00:14:17.659 --> 00:14:30.289]  That that type of rhetoric from the President, the former President, the Republican frontrunner, in every poll, 25 to 30 points ahead of DeSantis, 30 points ahead of Biden right now, he would just destroy him completely.
[00:14:31.730 --> 00:14:34.632]  Yeah, they stole the election, but by a margin.
[00:14:35.033 --> 00:14:37.455]  Trump surged so much that they have no way of winning now.
[00:14:37.775 --> 00:14:39.777]  If they held the election next week, he'd win by 30 points.
[00:14:40.417 --> 00:14:41.058]  Everybody knows it.
[00:14:42.020 --> 00:14:43.221]  So, wow.
[00:14:43.321 --> 00:14:45.222]  This is quite the moment, ladies and gentlemen.
[00:14:45.522 --> 00:14:47.224]  The New World Order is in deep crap.
[00:14:47.404 --> 00:14:49.525]  They can't survive talk like this from Trump.
[00:14:49.825 --> 00:14:50.626]  I mean, let me tell you.
[00:14:51.146 --> 00:14:51.647]  We'll be right back.
[00:14:51.466 --> 00:15:03.466]  Stay with us.
[00:15:03.587 --> 00:15:04.728]  I'm your host, Alex Jones.
[00:15:05.428 --> 00:15:06.429]  We'll be here until 6 p.m.
[00:15:06.449 --> 00:15:08.850]  Central when Owen Schroer takes over 6 to 8 p.m.
[00:15:09.290 --> 00:15:10.351]  with Sunday Live.
[00:15:11.011 --> 00:15:12.532]  And of course weekdays, 8 a.m.
[00:15:12.572 --> 00:15:14.493]  Harrison Smith, myself, 11 a.m.
[00:15:14.513 --> 00:15:15.093]  to 3 p.m.
[00:15:15.133 --> 00:15:16.514]  Owen Schroer, The War Room, 3 p.m.
[00:15:16.534 --> 00:15:23.177]  Central, and InfoWars.com, Ford's live show, and across wonderful stations, TV and radio, across the country.
[00:15:23.237 --> 00:15:24.938]  So, I want to give the number out.
[00:15:25.805 --> 00:15:29.889]  I have a ton of other important news and clubs will be interspersing between your phone calls.
[00:15:29.969 --> 00:15:33.873]  But seriously, I am a decisive person.
[00:15:34.854 --> 00:15:37.676]  And I'm almost always cut and dry where I stand.
[00:15:38.717 --> 00:15:41.540]  And I couldn't support Obama or John McCain.
[00:15:42.648 --> 00:15:44.648]  Back in 2008, they were both globalists.
[00:15:44.669 --> 00:15:45.849]  I knew it was a rigged election.
[00:15:46.409 --> 00:15:49.450]  And Obama did win in a landslide because the whole media was behind him.
[00:15:49.750 --> 00:15:51.990]  But John McCain was just as bad and in many ways worse.
[00:15:52.690 --> 00:15:55.811]  Which is hardly worse than Obama, but he's definitely right there with him.
[00:15:55.831 --> 00:15:57.352]  I mean, they're two peas in a pod.
[00:15:58.332 --> 00:16:00.852]  But with Trump, it's not a lesser of two evils.
[00:16:00.892 --> 00:16:02.213]  You know what you've got.
[00:16:02.653 --> 00:16:03.713]  He's got problems.
[00:16:04.393 --> 00:16:05.714]  But the deep state really hates him.
[00:16:05.734 --> 00:16:06.634]  He did a lot of good stuff.
[00:16:06.974 --> 00:16:11.335]  Do we just sit here and let them install somebody else or falsely put Trump in prison?
[00:16:12.546 --> 00:16:20.988]  So, I've been drug kicking and screaming the last year back, very upset with Trump, for the fact that on so many issues he's dead on.
[00:16:21.568 --> 00:16:31.911]  Like not putting us under the UN treaty over our healthcare, and controlling our borders, and bringing jobs back to America, and stopping the fentanyl, and now going after the deep state.
[00:16:31.931 --> 00:16:47.839]   And I really do believe that if he wins, if he gets back in office, he will fire the FBI director, he will fire The head of the Justice Department, day one, he will clean house and put his people in there.
[00:16:48.339 --> 00:16:50.862]  That's why I have to be really honest with you.
[00:16:52.223 --> 00:16:53.324]  I think Trump's for real.
[00:16:53.764 --> 00:16:54.625]  Doesn't mean he's perfect.
[00:16:54.645 --> 00:16:57.447]  Doesn't mean all his actions are what I would do.
[00:16:57.507 --> 00:16:59.309]  But I mean, he really means to be president.
[00:16:59.669 --> 00:17:00.930]  He's really fighting the deep state.
[00:17:01.611 --> 00:17:03.893]  And they see him as a threat to their power.
[00:17:04.473 --> 00:17:05.274]  They see him as a rival.
[00:17:06.548 --> 00:17:08.169]  Ibbott looks like he's about to win again.
[00:17:08.249 --> 00:17:09.210]  I think they're going to shoot him.
[00:17:09.270 --> 00:17:10.530]  I think they're going to blow his airplane up.
[00:17:10.931 --> 00:17:12.111]  And he even said that last week.
[00:17:12.151 --> 00:17:16.494]  He said, well, I'm going to go ahead and just walk right in front of everybody in Manhattan in handcuffs.
[00:17:16.974 --> 00:17:18.015]  If I get killed, so what?
[00:17:18.035 --> 00:17:18.635]  I'll be a martyr.
[00:17:19.636 --> 00:17:23.038]  So he is in that fully committed mode.
[00:17:23.978 --> 00:17:25.639]  I found Jared Kusher disgusting.
[00:17:25.739 --> 00:17:28.040]  I found people worshiping Trump disgusting.
[00:17:28.080 --> 00:17:33.924]  I found all the delusional stuff about how he's invincible and the Q stuff to not be true.
[00:17:35.478 --> 00:17:42.725]  I've got a lot of problems, but comparing Trump to the Democrats is not a lesser of two evils.
[00:17:42.785 --> 00:17:43.665]  It's two different animals.
[00:17:43.686 --> 00:17:44.746]  It's two different things.
[00:17:44.787 --> 00:17:45.447]  But here's the deal.
[00:17:47.749 --> 00:17:49.010]  What do we do other than Trump?
[00:17:49.951 --> 00:17:50.992]  Because I don't think he'll save us.
[00:17:51.052 --> 00:17:53.494]  None of us can individually save ourselves.
[00:17:53.554 --> 00:17:55.776]  All of us work together and through God can.
[00:17:56.550 --> 00:17:59.391]  But I mean, really, obviously they're scared of him and don't want him there.
[00:17:59.451 --> 00:18:01.852]  So do you want him back in?
[00:18:02.132 --> 00:18:03.392]  Or do you like DeSantis?
[00:18:03.673 --> 00:18:04.873]  Or am I wrong?
[00:18:04.953 --> 00:18:05.553]  Am I right?
[00:18:06.394 --> 00:18:08.734]  How do we put pressure on Trump to be more hardcore?
[00:18:09.034 --> 00:18:11.956]  Now it looks like he will be way more hardcore.
[00:18:12.836 --> 00:18:18.658]  That's basically the open discussion I'm having in my own brain that I'd like to share with you because I respect your views.
[00:18:18.698 --> 00:18:19.618]  I respect your ideas.
[00:18:19.978 --> 00:18:21.719]  I love the different angles and points you raise.
[00:18:22.139 --> 00:18:24.160]  So we're talking about one issue tonight.
[00:18:26.618 --> 00:18:30.639]  And that is President Trump as the Republican nominee because he's gonna get it.
[00:18:31.499 --> 00:18:33.460]  They could indict him all day.
[00:18:33.500 --> 00:18:36.200]  That'll take a couple years to get a conviction.
[00:18:37.861 --> 00:18:40.341]  They're having to back off right now because it made him explode in the polls.
[00:18:40.421 --> 00:18:41.522]  I could have told them that would have happened.
[00:18:42.522 --> 00:18:44.062]  I didn't know it would be 28, 30 points.
[00:18:44.082 --> 00:18:46.603]  I thought it'd be like 15, 20 as I said a few weeks ago.
[00:18:46.663 --> 00:18:49.303]  But what are they gonna do?
[00:18:49.723 --> 00:18:52.364]  Because I want Bolsonaro back in.
[00:18:52.384 --> 00:18:53.324]  They stole the election from him.
[00:18:53.344 --> 00:18:54.225]  He isn't perfect either.
[00:18:55.205 --> 00:18:58.430]   I want to see More people like Orban in Europe.
[00:19:00.051 --> 00:19:03.514]  I'd like to see Nigel Farage run for Parliament in the UK.
[00:19:04.915 --> 00:19:06.576]  Not just run for Parliament, ESPN Parliament.
[00:19:07.016 --> 00:19:08.297]  Run for Prime Minister.
[00:19:09.558 --> 00:19:12.721]  So, none of these guys are going to save us individually.
[00:19:13.421 --> 00:19:15.963]  But remember the Japanese Prime Minister was really fighting the New World Order.
[00:19:15.983 --> 00:19:16.784]  He got assassinated.
[00:19:18.365 --> 00:19:19.786]  Was getting ready to run again, reportedly.
[00:19:21.010 --> 00:19:23.011]  So it's a very dangerous position Trump's in.
[00:19:23.051 --> 00:19:27.052]  Make no mistake, the hatred the deep state has of him is very real.
[00:19:27.412 --> 00:19:31.734]  Just by being a supporter, I've experienced insane levels of attacks.
[00:19:33.294 --> 00:19:34.915]  But do not mix the two.
[00:19:35.435 --> 00:19:43.838]  Saying they hate his guts does not mean he's wonderful, does not mean he's infallible, does not mean he doesn't have issues like all of us do.
[00:19:45.253 --> 00:19:46.654]  He's got major blind spots.
[00:19:46.714 --> 00:19:50.838]  Man, we could talk all about those all day, but I'm asking you, what do you think?
[00:19:51.538 --> 00:19:54.401]  And then if you don't like Trump, what is your alternative?
[00:19:54.541 --> 00:20:02.648]  Or if you do like Trump, please just don't tell me everything's handled, it's wonderful, he's playing 10-D chess, he knows all the answers.
[00:20:02.668 --> 00:20:03.768]  Because let me tell you something, he doesn't.
[00:20:05.230 --> 00:20:17.594]   And it's really a positive thing in a way, that obviously he's a wild card and the system hates him, but it's also positive in that When I got up here and promoted DeSantis the last six months, it was to make Trump get better on issues.
[00:20:18.434 --> 00:20:19.335]  I knew he'd be the nominee.
[00:20:19.595 --> 00:20:20.295]  I said that at the time.
[00:20:21.216 --> 00:20:26.178]  But I'm not some loyal opposition that just sits there and opposes things to look good.
[00:20:26.218 --> 00:20:27.939]  I do it to get people to be better.
[00:20:27.959 --> 00:20:30.941]  Because I'm not a person following different leaders.
[00:20:31.141 --> 00:20:34.022]  I'm trying to get issues and policies in.
[00:20:34.583 --> 00:20:36.704]  I'm a action person.
[00:20:36.844 --> 00:20:38.245]  I'm a policy person.
[00:20:38.345 --> 00:20:42.567]  I'm a judge a tree by its fruits person, as Christ told us to be.
[00:20:44.500 --> 00:20:46.681]  But I have seen it many times.
[00:20:47.322 --> 00:20:48.042]  Not all the time.
[00:20:48.683 --> 00:20:49.683]  Like on the vaccine issue.
[00:20:49.723 --> 00:20:50.964]  I had two videos produced.
[00:20:51.464 --> 00:20:52.125]  Got them to Trump.
[00:20:52.845 --> 00:20:54.246]  Talked to the folks at Washington with Trump.
[00:20:54.606 --> 00:20:55.347]  Trump tried to call me.
[00:20:55.407 --> 00:20:55.987]  I missed the call.
[00:20:56.628 --> 00:20:58.249]  He said, I don't want to hear about this vaccine again.
[00:20:58.289 --> 00:20:58.949]  I think it's great.
[00:20:59.609 --> 00:21:01.090]  And if people don't like it, screw them.
[00:21:01.751 --> 00:21:02.391]  Okay, got it.
[00:21:03.372 --> 00:21:14.349]   But on the issue of death and destruction and baseball bats and You know, all this garbage, kind of saber-rattling.
[00:21:14.609 --> 00:21:21.691]  Trump came out and deleted his tweet, or his true social post, Friday, with all the death instruction, baseball bat garbage, because we don't need that.
[00:21:22.071 --> 00:21:26.352]  That opens a major trap up for the globalists to stage events or provocateur and blame us.
[00:21:26.392 --> 00:21:27.373]  I think everybody understands that.
[00:21:27.413 --> 00:21:29.953]  So that's where I'm at on this.
[00:21:30.053 --> 00:21:32.914]  But we do see that we're able to have an effect on Trump.
[00:21:32.974 --> 00:21:35.155]  It's a positive thing, and he's way more hardcore.
[00:21:36.189 --> 00:21:36.890]  That he used to be.
[00:21:36.910 --> 00:21:40.734]  And again, words aren't just words when it's somebody at his level.
[00:21:41.214 --> 00:21:42.876]  This will change the playing field forever.
[00:21:43.256 --> 00:21:47.000]  This will move the needle towards people exposing globalism as being their real enemy.
[00:21:47.220 --> 00:21:51.685]  And once their agenda is realized to be the bane of our existence, it's game over.
[00:21:53.078 --> 00:22:00.404]  So we're moving the ball down the field towards the touchdown in zone very fast.
[00:22:01.285 --> 00:22:05.128]  And I can tell you this is very positive from my perspective.
[00:22:05.449 --> 00:22:06.289]  Maybe you disagree.
[00:22:06.970 --> 00:22:07.891]  I'd like to hear from you.
[00:22:07.711 --> 00:22:19.549]   you. 877-789-2539, 877-789-2539 or 877-789-Alex. If you agree, if you disagree, if you're a
[00:22:19.549 --> 00:22:23.711]   long-time caller, a first-time caller, I don't care whether you're black, white, gay, straight,
[00:22:23.711 --> 00:22:30.030]   tall, short, all I want is you to have a clean phone line and be ready to make your point
[00:22:30.030 --> 00:22:34.430]   because I'm going to hang up on you quick because I respect your time and I will get to the next
[00:22:35.011 --> 00:22:35.491]  877-789-2539.
[00:22:35.511 --> 00:22:41.604]   Also remember, I'm not funded by the Republican Party.
[00:22:41.644 --> 00:22:42.884]  I'm not funded by the Democratic Party.
[00:22:42.904 --> 00:22:45.585]  I'm not funded by Big Money or George Soros or the Easter money.
[00:22:46.226 --> 00:22:51.408]  I am funded by your purchases of products at InfoWarsTour.com, plus their amazing products.
