[00:00:00.000 --> 00:00:02.660]  [BEEPING]
[00:13:02.193 --> 00:13:03.214]  You started college.
[00:13:03.234 --> 00:13:03.754]  Where was that at?
[00:13:04.454 --> 00:13:05.655]  I just went to local community college.
[00:13:05.756 --> 00:13:06.276]  Here in Austin?
[00:13:06.316 --> 00:13:07.658]  I was figuring out what I wanted to do.
[00:13:07.738 --> 00:13:08.238]  Here in Austin?
[00:13:08.398 --> 00:13:08.759]  Absolutely.
[00:13:08.779 --> 00:13:12.883]  But you were already a successful salesman, so then you decided to find your way out of college.
[00:13:12.903 --> 00:13:14.926]  Yeah, I'd had jobs when I was a kid.
[00:13:14.966 --> 00:13:16.147]  My dad had money and stuff.
[00:13:16.167 --> 00:13:18.289]  My parents were successful.
[00:13:19.991 --> 00:13:21.493]  I would say, I want new shoes.
[00:13:21.573 --> 00:13:23.535]  I want to get a new wakeboard.
[00:13:25.076 --> 00:13:28.277]   because we were living on the lake, and my dad would say, well, then go get a job.
[00:13:28.277 --> 00:13:31.356]  So from the time I was about 13, I had jobs.
[00:13:31.356 --> 00:13:34.076]  And then I got into different sales.
[00:13:34.076 --> 00:13:36.876]   But the biggest thing is I was selling gym memberships and stuff
[00:13:36.876 --> 00:13:38.197]  when I was 18.
[00:13:38.197 --> 00:13:40.557]  And I was making $150,000 a year, $200,000 a year.
[00:13:40.557 --> 00:13:44.317]   And then I was going to community college, figuring out I wanted to go to Maine College.
[00:13:44.317 --> 00:13:45.755]  And it was just insane.
[00:13:45.755 --> 00:13:49.796]   I went and sat in on some UT courses on RTF, radio, television, films.
[00:13:49.796 --> 00:13:52.275]   I thought I might want to do that because I wanted to be politically involved.
[00:13:52.275 --> 00:13:53.596]  They were teaching 20-year-old stuff.
[00:13:53.596 --> 00:13:55.796]   I was like, you're not talking about the internet, these classes.
[00:13:55.796 --> 00:13:56.397]  Why am I here?
[00:13:56.397 --> 00:13:58.636]  Like, well, first you got to take all these other classes.
[00:13:58.636 --> 00:14:00.196]  So I--
[00:13:59.844 --> 00:14:01.565]  Started out on AXS TV in 1994.
[00:14:01.625 --> 00:14:03.626]  Got my own show in 95.
[00:14:04.386 --> 00:14:05.346]  Got a website in 97.
[00:14:05.406 --> 00:14:07.187]  Got a local radio show in 96.
[00:14:08.948 --> 00:14:10.208]  Called up satellite companies.
[00:14:10.288 --> 00:14:10.968]  Bought the equipment.
[00:14:10.988 --> 00:14:13.630]  The station let me put in the connection of the satellite.
[00:14:13.970 --> 00:14:18.071]  Syndicated myself when I was... And you're in your early 20s doing... just decided you're going to do all this yourself.
[00:14:18.091 --> 00:14:19.292]  Syndicated myself at 22.
[00:14:19.832 --> 00:14:21.833]  Got on suddenly like 50-something radio stations.
[00:14:21.873 --> 00:14:22.453]  It was insane.
[00:14:22.733 --> 00:14:24.154]  Hit the national news immediately.
[00:14:24.174 --> 00:14:26.175]  Decided to sit us on coffee.
[00:14:26.195 --> 00:14:27.115]  What were you talking about?
[00:14:27.995 --> 00:14:32.776]  Well, instead of selling coffee mugs and newsletters like other talk shows did to supplement their income, I said, I'm going to make films.
[00:14:33.537 --> 00:14:35.757]  And so I would go and show the U.N.
[00:14:35.777 --> 00:14:37.878]  taking over the national parks and show the U.N.
[00:14:37.918 --> 00:14:41.299]  signs and show what that treaty meant, that it was taking control of U.S.
[00:14:41.979 --> 00:14:42.899]  land under U.N.
[00:14:42.939 --> 00:14:44.060]  treaties, kind of like the U.N.
[00:14:45.220 --> 00:14:48.421]  treaty on health care and things that's happening right now.
[00:14:49.021 --> 00:14:50.742]  And so I just basically exploded.
[00:14:51.722 --> 00:14:52.262]  Absolutely.
[00:14:52.081 --> 00:14:57.042]   to the underground scene with conservatives and people that were aware of what was going
[00:14:57.042 --> 00:14:58.042]  on.
[00:14:58.042 --> 00:15:01.641]  In about 1996, I was already reaching millions of people.
[00:15:01.641 --> 00:15:05.961]   And so it's been a long, long-term operation, 29 years on air.
[00:15:05.961 --> 00:15:06.961]  Ever since?
[00:15:06.961 --> 00:15:07.961]  Absolutely.
[00:15:07.961 --> 00:15:12.562]  We've, you know, 9/11 happened, and I questioned 9/11.
[00:15:12.562 --> 00:15:14.162]  And I was on almost 200 radio stations.
[00:15:14.667 --> 00:15:18.410]  I'd been offered, you know, by major companies, you know, the next big Rush Limbaugh-style deal.
[00:15:18.870 --> 00:15:20.011]  I guess Glenn Beck took that deal.
[00:15:20.491 --> 00:15:22.412]  Nothing against him, you know, overall great guy, really smart.
[00:15:23.393 --> 00:15:28.336]  And I went from almost 200 affiliates to 30-something affiliates in one month when 9-11 happened.
[00:15:28.596 --> 00:15:33.659]  And I wasn't for radical Islam, and I believe Islamists were involved, but I knew about the NORAD stand-down.
[00:15:33.699 --> 00:15:34.440]  I knew about Building 7.
[00:15:34.780 --> 00:15:41.184]  I knew about a lot of the stuff that I was talking to police about that were on the ground, that they knew it was coming, bare minimum.
[00:15:41.644 --> 00:15:50.786]  Kind of like, I'm against the attack on Israel, and Hamas is terrible, but something like 85% in major polls of Israelis think the government knew and let it happen now.
[00:15:51.606 --> 00:16:00.249]  So it's the same thing, but when I said that then, the radio network owners I was on, GCN, came to me and they said, listen, we just lost 50 affiliates today.
[00:16:00.088 --> 00:16:20.088]  They're all going to dump you if you don't stop.
[00:16:20.158 --> 00:16:20.898]  Oh, you're so wonderful.
[00:16:21.218 --> 00:16:22.119]  No, you're great.
[00:16:22.459 --> 00:16:25.941]  You're wonderful for keeping us on the air and spreading the word.
[00:16:26.421 --> 00:16:30.583]  Our real power is you, the audience of activists, the men and women in the arena.
[00:16:30.843 --> 00:16:33.324]  And I thank you all and I salute you all for your support.
[00:16:33.484 --> 00:16:40.392]  Look at the huge whistleblowers now going public on the COVID poison shots and on human sex slavery and trafficking.
[00:16:40.452 --> 00:16:47.060]  The globalists are in deep trouble and that's because of good men and women in government in the private sector blowing the whistle.
[00:16:47.160 --> 00:16:52.023]   And the only way the information gets Well, we are the good men and women and we are not doing nothing.
[00:16:52.063 --> 00:16:53.123]  We are taking action.
[00:16:53.143 --> 00:16:54.124]  So, Christmas 2023 is already here.
[00:16:53.943 --> 00:16:58.343]   the articles, taking the videos. It really is changing the world. Thomas Jefferson said
[00:16:58.343 --> 00:17:02.903]   the only way that tyrants can flourish and prevail over humanity is if good men and women
[00:17:02.903 --> 00:17:07.302]   do nothing. Well, we are the good men and women and we are not doing nothing. We are
[00:17:07.302 --> 00:17:14.143]   taking action. So Christmas 2023 is already here. Hard to believe we're just a few weeks
[00:17:14.143 --> 00:17:18.423]   away from Christmas. And that means every year we have the biggest sales the year. But
[00:17:18.423 --> 00:17:22.864]   this is the biggest sale hands down ever, because so many of the products that have
[00:17:22.864 --> 00:17:29.104]   been sold out with supply chain breakdowns and other issues are finally in stock at Infowarsstore.com.
[00:17:29.243 --> 00:17:40.995]  So we have storewide free shipping, double Patriot points, an additional 10% off when you sign up for auto ship on your next order, cancel anytime, and things like X2 and Turbo Force.
[00:17:41.275 --> 00:17:42.456]  Sold out for many months.
[00:17:42.576 --> 00:17:43.457]  X2 for over a year.
[00:17:43.637 --> 00:17:46.340]  Finally back in stock at InfoWarsTore.com.
[00:17:46.360 --> 00:17:48.962]  Then we have Vazobeats that has nitrous oxide.
[00:17:49.042 --> 00:17:53.266]  It produces that in your blood that cleans out your blood and does so much just like Nitric Boost does.
[00:17:53.306 --> 00:17:55.127]  Another great product at InfoWarsTore.com.
[00:17:55.167 --> 00:17:57.749]  They just both do it from two different herbal directions.
[00:17:57.970 --> 00:18:01.112]  Bottom line, ladies and gentlemen, we are changing the world together.
[00:18:01.633 --> 00:18:02.934]  We're having a massive effect.
[00:18:02.974 --> 00:18:07.271]   But even if we weren't, We would still expose evil.
[00:18:07.311 --> 00:18:12.155]  We would still fight evil because God is watching and that's our job.
[00:18:12.476 --> 00:18:13.997]  We don't do this for other people.
[00:18:14.277 --> 00:18:16.119]  We don't do this to look like the best guys around.
[00:18:16.419 --> 00:18:18.241]  We don't do it to show off like we're heroes.
[00:18:19.082 --> 00:18:23.126]  We do it because the children need to be protected and God is watching.
[00:18:23.506 --> 00:18:29.549]   So for myself and the whole crew, I want to thank you all for keeping us on air the last almost 30 years.
[00:18:29.589 --> 00:18:32.937]  It'll be 30 years in April of 2024, just three months away.
[00:18:33.377 --> 00:18:40.136]   And I want to encourage you now all to go to Infowarsstore.com and take advantage of
[00:18:40.136 --> 00:18:41.736]  these amazing products.
[00:18:41.736 --> 00:18:46.817]   I mean up to 60% off on so many of them like Brain Force Plus and Brain Force Ultra.
[00:18:46.817 --> 00:18:47.817]  People ask me which one's better.
[00:18:47.817 --> 00:18:50.057]   There are two different formulas, get different people different.
[00:18:50.057 --> 00:18:51.736]  One's fast acting, only lasts a few hours.
[00:18:51.736 --> 00:18:54.018]  The other's not fast acting, lasts four or five hours.
[00:18:54.018 --> 00:18:55.377]  They're different formulas folks.
[00:18:55.377 --> 00:18:57.337]  So different people like different ones.
[00:18:57.337 --> 00:18:58.817]  Brain Force Plus is great.
[00:18:58.864 --> 00:18:59.885]  Rain Force Ultra is great.
[00:18:59.965 --> 00:19:01.367]  Turbo Force is just over the top.
[00:19:01.467 --> 00:19:02.969]  It's so strong, I can't even take it.
[00:19:03.009 --> 00:19:04.791]  DNA Force Plus, about to sell out.
[00:19:05.131 --> 00:19:05.332]  40% off.
[00:19:05.392 --> 00:19:08.075]  We've got Ultra 12, the highest quality B12, about to sell out.
