[00:00:00.000 --> 00:00:02.080]  (static)
[00:17:47.737 --> 00:17:54.265]  But at the end of the day, it already has way more traffic, way more people, it's avant-garde, it's revolutionary.
[00:17:55.809 --> 00:18:04.076]  It's rebel, it's maverick, and that's what Elon Musk has always said he is, and he's done all these maverick things, and people always say, well, he didn't really do that.
[00:18:04.217 --> 00:18:05.998]  But I went back and researched, and he did do that.
[00:18:06.379 --> 00:18:07.600]  All these incredible successes.
[00:18:07.660 --> 00:18:08.841]  I'm not kissing his ass, it's true.
[00:18:09.341 --> 00:18:21.169]   And the fact that he could take over Twitter, free it, and bring back one of the most demonized people, if not the most demonized, in the world, talk about a witch hunt, shows he put his
[00:18:21.169 --> 00:18:27.338]   money where his mouth is and is the maverick's maverick. I mean, nobody can argue now that this
[00:18:27.338 --> 00:18:29.489]  guy is not cutting edge maverick.
[00:18:29.489 --> 00:18:35.009]   And so I think he understands that that's where this is going. And he's gambling on free humanity.
[00:18:35.009 --> 00:18:37.009]  He's betting.
[00:18:36.231 --> 00:18:37.472]  He's betting on humanity.
[00:18:37.532 --> 00:18:44.636]  So I didn't think that Musk was... I mean, I knew he was a maverick, but I didn't know that he was, like, top gun.
[00:18:44.696 --> 00:18:45.597]  I'm just being serious.
[00:18:46.057 --> 00:18:50.620]  So I said, look, I understand he knows I've been so demonized, so lied about.
[00:18:50.640 --> 00:18:58.665]  They built me into the devil's devil at an emotional level with so many people that they will absolutely come after him.
[00:18:59.662 --> 00:19:01.226]  At a never-before-seen level, this happens.
[00:19:01.646 --> 00:19:09.143]  And the ADL, the CIA, and the Justice Department, and the Southern Primary Law Center and Media Matters, they were already doing it when I was taping the interview like three weeks ago.
[00:19:09.263 --> 00:19:10.365]  But since then...
[00:19:11.378 --> 00:19:16.102]  All those big establishment sponsors who are already being boycotted by the American people, by the way.
[00:19:16.422 --> 00:19:24.668]  So they're losing literally hundreds of billions of dollars in the aggregate because the people are boycotting them, as Elon said.
[00:19:24.888 --> 00:19:28.331]  Well, now they're trying to bully Elon to bully the American people, the people of the world.
[00:19:28.731 --> 00:19:29.832]  So he said, go f*** yourself.
[00:19:29.892 --> 00:19:31.173]  And I can't speak for Elon.
[00:19:31.193 --> 00:19:31.974]  Maybe he'll call in.
[00:19:32.474 --> 00:19:43.581]   But I think as soon as they did that to him, even though he tried to basically work with them, was being very, very fair and, you know, I think really cleaned up, you know, You know, the thing of bots and things like that.
[00:19:44.121 --> 00:19:46.362]  As soon as they doubled down, he said, you know what?
[00:19:47.102 --> 00:19:47.702]  Screw you.
[00:19:47.782 --> 00:19:50.483]  I'll go ahead then and release the cracking.
[00:19:50.763 --> 00:19:54.644]  And it's not that I'm that good on Twitter or that I'm even that great of a talk show host.
[00:19:55.044 --> 00:20:04.087]  It's the symbol of what they built of Alex Jones is now an archetype of the rebel populist and what the establishment fears.
[00:20:04.567 --> 00:20:06.988]  And so what Elon did was really throw down the gauntlet.
[00:20:07.387 --> 00:20:08.188]  But do you think it's enough?
[00:20:08.468 --> 00:20:12.251]  And I'm focusing heavily on censorship because there's a lot of things we're going to discuss here with us for a while.
[00:20:12.852 --> 00:20:16.895]  But I'm focusing on this because I do think it's one of the biggest threats that people are not paying attention to.
[00:20:17.255 --> 00:20:29.245]  To have a small amount of, to see what happened to you, to what happened to Tate as well most recently, a small group of people that can make a decision to not only de-platform someone but essentially almost wipe them out from existence.
[00:20:29.606 --> 00:20:33.069]  Now obviously X and Rumbler are making that difficult for them.
[00:20:35.664 --> 00:20:39.688]  It is a threat to democracy, something that people are not talking about and something that hasn't stopped.
[00:20:39.708 --> 00:20:44.532]  But do you think it's enough for Elon's doing and Rumble's doing on a much smaller scale?
[00:20:46.313 --> 00:20:46.894]  Absolutely.
[00:20:46.934 --> 00:20:50.937]  I mean, what Elon Musk is doing, and I'm not trying to gush here, but it is 1776 2.0.
[00:20:51.277 --> 00:20:53.800]  It is grand.
[00:20:53.820 --> 00:20:55.421]  It is amazing.
[00:20:56.202 --> 00:20:58.243]  You asked the question earlier, you know, is he in danger?
[00:20:58.444 --> 00:20:59.765]  I think Elon's dad is right.
[00:20:59.865 --> 00:21:06.704]   I mean, If you don't think Trump's in danger for what he's doing, and I'm not saying he's perfect, but he's definitely anti-establishment, you're crazy.
[00:21:06.764 --> 00:21:24.519]   If you don't think Elon isn't in physical danger for what he's doing, he is directly taking on the old Rodding corporate mega bank, BlackRock establishment that's trying to bring in a world government, cashless society, social credit score, ESTs, all of this.
[00:21:24.559 --> 00:21:27.860]  And he's trying to create, as he said, an alternate plan for history.
[00:21:28.440 --> 00:21:51.927]   But instead of forcing it down our throats, he's trying to offer people to come to the table and all of us collectively through free market competition, add our two cents and build something that's America 2.0 or America, you know, intergalactic, you know, 100.0.
[00:21:44.985 --> 00:21:51.927]  And so, I mean, I've always liked Elon Musk because I would hear him talking five, six, seven years ago, and I thought that's exactly how I think on so many issues.
[00:21:52.347 --> 00:21:59.989]  I disagree with some things he did, but I've seen his evolution into understanding that you can't work with this establishment anymore.
[00:22:00.349 --> 00:22:02.770]  They're too stagnant.
[00:22:02.830 --> 00:22:05.391]  They're too detached from reality.
[00:22:05.411 --> 00:22:06.191]  They're dangerous.
[00:22:06.751 --> 00:22:07.992]  And it's time for a new guard.
[00:22:08.052 --> 00:22:09.052]  It's time for new leadership.
[00:22:11.764 --> 00:22:12.844]  Or the energy of Donald Trump.
[00:22:13.604 --> 00:22:15.705]  It's that in and of itself threatens the establishment.
[00:22:16.085 --> 00:22:22.026]  They have all these layers of bureaucracy so they can deny culpability for the terrible things they're doing.
[00:22:22.166 --> 00:22:26.807]  And because of opening up X, it's changed the world.
[00:22:26.887 --> 00:22:28.188]  And we've seen the traffic explode.
[00:22:28.208 --> 00:22:29.948]  We've seen the engagement explode.
[00:22:29.988 --> 00:22:34.809]  And we've seen it accelerate the collapse of the other big tech media operations.
[00:22:35.672 --> 00:22:37.774]  Because they can only survive when there's no competition.
[00:22:38.174 --> 00:22:39.615]  And I know Elon doesn't want to collapse them.
[00:22:39.635 --> 00:22:40.656]  He wants to work with them.
[00:22:40.696 --> 00:22:50.164]  But they were trying to collapse the Western system of an open, free society, branding it as a neoliberal, open, free society, when it's really a giant totalitarian fraud.
[00:22:50.204 --> 00:22:54.407]  And so I'm just excited to be here at the dawn of 1776 Part 2.
[00:22:54.487 --> 00:22:55.588]  Now, there's going to be bumps.
[00:22:55.608 --> 00:22:59.291]  There's going to be a lot of problems in the way.
[00:22:59.751 --> 00:23:04.535]  Biden just said last week, and it was confirmed to also be told to Congress by the chairman of the Joint Chiefs of Staff.
[00:23:05.801 --> 00:23:11.045]  That if they do not give another $106 billion to Ukraine, we're going to have U.S.
[00:23:11.065 --> 00:23:12.667]  troops dying soon on the ground.
[00:23:12.707 --> 00:23:14.368]  Your sons, your daughters, your nephews.
[00:23:14.828 --> 00:23:22.955]  That's what Lloyd Austin told Congress in a closed session, but it was told directly by a congressman, word for word, that wrote it down to Tucker Carlson.
[00:23:23.456 --> 00:23:26.398]  And so these people are now threatening nuclear blackmail.
[00:23:26.458 --> 00:23:29.801]  If we don't keep their money laundering operation going, it's got to end.
[00:23:30.362 --> 00:23:31.483]  It's got to stop now.
[00:23:32.764 --> 00:23:34.626]  And the world sees that and the world knows that.
[00:23:34.686 --> 00:23:50.967]  So I think instead of this even being a political movement, it's a worldwide renaissance 2.0 that simply doesn't want to blow the planet up and just wants common sense and wants all the crazy, Hitlerian, Napoleonic, corporate war games to end.
[00:23:51.983 --> 00:23:56.593]  And so I just think that sanity is beginning to flood back into the discourse.
[00:23:56.913 --> 00:24:02.485]  You've got people that are dinosaurs when it comes to tech who don't understand any of it.
[00:24:03.186 --> 00:24:04.966]  And you have a judiciary that's the same.
[00:24:05.466 --> 00:24:07.027]  And so it's the blind leading the blind.
[00:24:07.047 --> 00:24:13.628]  And they don't understand that a new government, a multinational technocracy, has already basically taken the world over.
[00:24:14.068 --> 00:24:15.748]  Now, they're starting to catch up really quick.
[00:24:15.788 --> 00:24:17.349]  But, you know, I know Jack Sposobic's on here.
[00:24:17.869 --> 00:24:19.569]  Jack has been in intelligence.
[00:24:19.589 --> 00:24:21.869]  He's connected to so many things going on.
