[00:00:00.109 --> 00:00:01.030]  They will destroy us?
[00:02:38.016 --> 00:02:39.256]  We didn't seek this out, guys.
[00:02:39.296 --> 00:02:42.237]  We didn't look for the extra work of trying to start a network.
[00:02:43.177 --> 00:02:44.198]  We wanted to do a show!
[00:02:44.958 --> 00:02:46.418]  We wanted to make people laugh.
[00:02:46.798 --> 00:02:50.719]  We wanted to educate and entertain them and try to help save our country.
[00:02:51.219 --> 00:02:53.540]  But so many of you weren't being served.
[00:02:54.000 --> 00:03:03.102]  It was all about scam advertising, dishonest tactics, censorship, playing ball with people that don't share your values, and we couldn't stand idly by while that happened.
[00:03:03.702 --> 00:03:06.462]  They want to cancel every one of you and every one of us.
[00:03:07.123 --> 00:03:11.643]  But because of you, because of Mug Club, they can't touch us.
[00:03:12.304 --> 00:03:13.784]  Let the replatforming begin.
[00:03:16.459 --> 00:03:25.686]  Democrats are afraid of this guy, the liberal media can't stand him, and Big Tech wants to cancel him, but you have made him uncancellable!
[00:03:25.787 --> 00:03:31.787]  Welcome the strange animal himself, Steven Crowder!
[00:03:31.787 --> 00:03:42.787]   You're a strange animal, that's what I know You're a strange animal, that's what I know
[00:03:42.787 --> 00:03:43.787]  That's what I'm talking about!
[00:03:43.787 --> 00:03:47.787]   You're a strange animal, that's what I know What's your name?
[00:03:48.397 --> 00:03:53.180]  Come in with me!
[00:03:53.120 --> 00:03:55.120]  With me!
[00:03:55.120 --> 00:04:01.120]  Fight like hell!
[00:04:01.120 --> 00:04:07.120]  Alright, welcome to the replatforming conference.
[00:04:07.898 --> 00:04:10.079]  We have some members of the press and friends here.
[00:04:10.579 --> 00:04:11.339]  Thanks for coming out.
[00:04:11.419 --> 00:04:13.360]  We'll be taking some questions from them later.
[00:04:14.180 --> 00:04:16.701]  Boy, that was a self-important intro, but thank you guys for putting it together.
[00:04:16.721 --> 00:04:19.303]  I never feel comfortable with that.
[00:04:19.463 --> 00:04:20.243]  I wish I were a rapper.
[00:04:22.372 --> 00:04:31.118]  So, uh, look, just a few minutes we'll be making some major announcements regarding the future of Mug Club, and it's widening to a full-fledged network powered by Rumble.
[00:04:31.138 --> 00:04:40.284]  And what I mean by that is Mug Club, if you go to ladderwithcreditor.com slash mug club now, one portal, and it's a network to many different creators, some of whom we'll announce today and more to come.
[00:04:40.845 --> 00:04:49.110]  So we have announcements regarding new shows, new types of content, new ways to impact the country, this increasingly silly place, and the tyrannical platforms of big tech.
[00:04:50.271 --> 00:04:51.633]  First, let me get into this a little bit.
[00:04:51.733 --> 00:04:54.737]  Replatforming is the title here for a reason.
[00:04:55.879 --> 00:05:11.105]   And because of all these announcements and the people from whom you're about to hear, Replatforming is a story about what's been lost, what's been risked, really, what's been taken from people, and what, starting today, we will all actively begin to regain.
[00:05:11.345 --> 00:05:23.195]  And before that, Mug Club's been around for such a long time that it kind of occurred to me, for some of the folks new here, I haven't done a great job in explaining to you what Mug Club is, what Phase 1, at least, has been up until now, before we get to the new announcements.
[00:05:23.576 --> 00:05:24.817]  It's a simple concept, Mug Club.
[00:05:25.938 --> 00:05:27.339]  We bleed so you don't have to.
[00:05:28.356 --> 00:05:35.684]  We've had people come up and say, hey, you know, I wish I could say some of these things that, you know, you guys can say on there, but I'll get fired from my job.
[00:05:36.264 --> 00:05:37.365]  I don't want you to get fired from your job.
[00:05:38.126 --> 00:05:44.653]  But when you join up, when you give us your dollar, we have to be able to say what it is that you can't say.
[00:05:44.933 --> 00:05:46.214]  Otherwise, we're stealing from you.
[00:05:46.834 --> 00:05:53.242]  If we play ball with big tech, if we decide to take your dollar but then say, we've got to make tens of millions of dollars off YouTube ad revenue, we're screwing you.
[00:05:54.263 --> 00:05:58.968]  So Mug Club is exactly what has allowed us, all of us, to remain completely independent since 2016.
[00:06:00.530 --> 00:06:02.312]  Before that, online revenue was generated by ads.
[00:06:02.332 --> 00:06:02.593]  Okay?
[00:06:02.613 --> 00:06:03.494]  Some inside baseball here.
[00:06:04.278 --> 00:06:07.319]  I knew back then, in order to maintain that, I would have to make compromises.
[00:06:07.459 --> 00:06:18.383]  YouTube, Facebook, they kept telling us what kind of content we were permitted to post, what kind of creators they would be happy to work with, and exactly what kind of people, what kind of conservatives, would be put in the corner.
[00:06:19.503 --> 00:06:26.826]  I couldn't stomach it then, I can't stomach it now, and no one here can, and because of Mug Club, because of you, we don't have to.
[00:06:27.728 --> 00:06:28.288]  Give you some history.
[00:06:28.328 --> 00:06:35.892]  Because of Mug Club, when NBCUniversal, Vox, CNN tried to deplatform all of us, meaning us and you, we survived the Vox Apocalypse.
[00:06:36.653 --> 00:06:39.454]  YouTube, Google said, hey, you're not going to make another dime off ads.
[00:06:39.814 --> 00:06:42.376]  And because of you, Mug Club, we said, fine.
[00:06:42.576 --> 00:06:46.318]  Viewers like you, you know how PBS says that, but really they mean another grant, more money, please?
[00:06:48.035 --> 00:06:55.039]  Because of Mug Club, with zero ad revenue, we were able to host the single most viewed, individually viewed I should say, election stream of 2020.
[00:06:55.759 --> 00:07:12.628]  And because of Mug Club not being beholden to Big Tech's advertising or their guidelines, we were able to cover the voting dumps as they happened, the boarded up polling stations as they happened, the corrupt early calling of states as they happened, and the gaslighting of you from the media and Big Tech for believing your lying eyes and lying ears.
[00:07:12.928 --> 00:07:14.149]  Completely demonetized.
[00:07:14.950 --> 00:07:15.670]  We can keep fighting.
[00:07:16.570 --> 00:07:17.151]  Because of Mug Club.
[00:07:17.950 --> 00:07:23.712]  And when we were banned, by the way, from covering the midterm elections, 2024 kicked off YouTube just a week before happenstance.
[00:07:24.372 --> 00:07:25.152]  YouTube and Google.
[00:07:25.972 --> 00:07:35.375]  Because of Mug Club, we broadcast the single largest individual election livestream to occur on any other platform outside of YouTube, doing it through Rumble and the history of the internet.
[00:07:35.415 --> 00:07:36.355]  Completely demonetized.
[00:07:37.150 --> 00:07:39.932]  We can keep fighting and growing because of Mug Club.
[00:07:40.652 --> 00:07:58.522]  Because of Mug Club, when the entire world went crazy and locked down due to the China virus, and you were going stir-crazy with nowhere to go, and even conservative hosts were suspending their broadcasting or doing it from their basement with a webcam, we were able to be right here with you and instead for an entire month broadcast two-a-days with Mug Club Quarantine.
[00:07:59.082 --> 00:08:00.784]  The entire staff right here from this very studio.
[00:08:01.064 --> 00:08:08.290]  Because of Mug Club, during that same time, we were able to introduce whistleblowers like Dr. Peter McCullough, other practicing biologists to the world.
[00:08:08.771 --> 00:08:10.732]  The very first week of lockdown.
[00:08:11.773 --> 00:08:15.877]  And when we were suspended for daring to question the status quo, we survived.
[00:08:16.137 --> 00:08:17.378]  Completely demonetized.
[00:08:17.899 --> 00:08:18.619]  We can keep fighting.
[00:08:19.340 --> 00:08:20.001]  Because of Mug Club.
[00:08:20.661 --> 00:08:44.026]   And because of Mug Club, when on the very same day, we're making some announcements here today, But think of this, the very same day Alex Jones was deplatformed from YouTube, Google, Facebook, Twitter, Apple, Spotify, along with a warning that anyone hosting him would be suspended themselves, and many of his so-called friends abandoned him, we hosted him immediately, and we wore that suspension with honor.
[00:08:45.063 --> 00:08:46.064]  Completely demonetized.
[00:08:46.665 --> 00:08:47.926]  We can keep fighting because of Mug Club.
[00:08:48.127 --> 00:08:57.978]  And because we did, and because so many of you watched and joined, YouTube reversed course and allowed Alex Jones to appear on programs just as a guest moving forward.
[00:08:58.118 --> 00:09:00.641]  He just wasn't allowed to host a program of his own, they said.
[00:09:00.921 --> 00:09:05.847]  And so, because of Mug Club, we immediately allowed Alex Jones to fill in host for this very show.
[00:09:09.403 --> 00:09:11.526]  And we wore our immediate suspension with pride.
[00:09:12.447 --> 00:09:13.608]  Completely demonetized.
[00:09:13.929 --> 00:09:15.571]  We could keep fighting and growing because of Mug Club.
[00:09:15.811 --> 00:09:27.126]  Mug Club is why we were able to cover the lied-about origins of COVID-19 and the potential side effects of the experimental mRNA injection while it was strictly forbidden, before it was allowed.
[00:09:29.520 --> 00:09:49.148]  And Mug Club is why, when even nearly, not nearly, every mainstream conservative that we can think of said that we lived through the most secure election of our lifetime, which you can count on one hand exceptions, we were able to cover exactly why that was verifiably, irrefutably untrue, while it was strictly, again, forbidden to do so on YouTube and Facebook.
[00:09:50.229 --> 00:09:53.210]  Until YouTube just officially announced that it'll be allowed.
[00:09:54.909 --> 00:09:55.950]  And that's the most important part.
[00:09:56.810 --> 00:09:59.912]  Something that maybe we take for granted and you take for granted.
[00:10:00.752 --> 00:10:03.954]  When I say it's you, it's not just a buzzword.
[00:10:04.713 --> 00:10:10.713]   It's precisely because of you, Mug Club, that these things are now even permissible
[00:10:10.713 --> 00:10:13.193]  on these big tech platforms.
[00:10:13.193 --> 00:10:23.193]  [Applause]
[00:10:23.193 --> 00:10:26.193]  If you heard that voice, there's some foreshadowing.
[00:10:26.423 --> 00:10:27.183]  Son of a bitch.
[00:10:28.404 --> 00:10:30.585]  Because seriously, Mug Club is the tip of the spear.
[00:10:31.245 --> 00:10:40.370]  Mug Club can't, for all of its flaws, and there are many, Gerald, Mug Club cannot be bought, sold, or bargained with.
[00:10:40.570 --> 00:10:41.491]  That's the reputation.
[00:10:41.731 --> 00:10:42.311]  Take it or leave it.
[00:10:42.572 --> 00:10:50.523]   And when an entity like that, when an entity comprised of nothing more than all of you, all of you, You are who we serve.
[00:10:50.763 --> 00:10:51.783]  You are to whom we are beholden.
[00:10:52.124 --> 00:10:56.947]  And you're the driver of billions of views and listeners, cumulatively.
[00:10:57.807 --> 00:11:03.791]  The people who want to silence you, who want to dictate what you hear, who hate everything you stand for, well, guess what?
[00:11:03.971 --> 00:11:05.432]  They can't de-platform us all.
[00:11:06.433 --> 00:11:08.054]  They'd have no one left to do business with.
[00:11:09.255 --> 00:11:15.279]  So now, as a full-fledged network, and the announcements we're about to make, and continue to make, Mug Club is bigger than them.
[00:11:16.112 --> 00:11:17.293]  Mug Club is why we don't need them.
[00:11:18.093 --> 00:11:20.715]  And that's why all of us here are genuinely free.
[00:11:21.015 --> 00:11:24.678]  You, Mug Club, are the reason that they are scared.
[00:11:25.718 --> 00:11:26.319]  And they should be.
[00:11:27.740 --> 00:11:28.801]  Because wait until you see what's next.
[00:11:28.961 --> 00:11:30.021]  This was just phase one.
[00:11:30.041 --> 00:11:37.987]  Hey everyone, this is Steven Crowder and what we're talking about is free speech.
[00:11:42.614 --> 00:11:43.335]  Stephen Crowder.
[00:11:43.355 --> 00:11:44.736]  It's very offensive.
[00:11:45.056 --> 00:11:45.837]  Very offensive.
[00:11:45.917 --> 00:11:47.618]  Yeah, thanks for having me, Stephen.
[00:11:51.902 --> 00:11:56.486]  Piece of living garbage ass dumpster fire!
[00:11:57.827 --> 00:12:01.590]  I can guarantee you, multiple people right here have been raped!
[00:12:01.631 --> 00:12:01.971]  What?
[00:12:02.371 --> 00:12:03.752]  How can you guarantee that?
[00:12:03.572 --> 00:12:21.892]   People call me the Tony Robbins of assassination And I'm a drunk every last damn day my baby come across
[00:12:22.477 --> 00:12:29.583]  When it's a runoff, walkoff, demon baby off, I'll go off with the demon baby.
[00:12:29.643 --> 00:12:30.083]  Ryan Kelly!
[00:12:34.841 --> 00:12:41.985]  My girl wanted me to run an errand, and she goes, take my bike, but it has a basket on the front of it.
[00:12:42.305 --> 00:12:44.987]  I was like, I'm gonna walk, you know?
[00:12:45.207 --> 00:12:48.389]  I just feel like I'm a target for homophobic bandits, you know?
[00:12:52.801 --> 00:12:55.923]  You know, most serial killers are white, but you know why?
[00:12:56.003 --> 00:12:57.884]  To be a serial killer takes a lot of effort.
[00:12:57.904 --> 00:12:59.105]  It's like a full-time job.
[00:13:00.166 --> 00:13:02.047]  Black crime is just quick and simple.
[00:13:02.347 --> 00:13:03.368]  You know that show, The First 48?
[00:13:03.448 --> 00:13:05.729]  They have a new one, The First 48 Seconds.
[00:13:05.608 --> 00:13:15.928]  It's just black crimes.
[00:13:15.976 --> 00:13:17.277]  And I had a racist grandmother.
[00:13:20.750 --> 00:13:22.750]  76 will commence again!
[00:13:22.750 --> 00:13:24.990]  (laughter)
[00:13:24.990 --> 00:13:26.990]  (music)
[00:13:26.990 --> 00:13:28.990]  (music)
[00:13:28.990 --> 00:13:30.990]  (music)
[00:13:30.990 --> 00:13:32.990]  (music)
[00:13:32.990 --> 00:13:34.990]  (music)
[00:13:34.990 --> 00:13:36.990]  (music)
[00:13:36.990 --> 00:13:38.990]  (music)
[00:13:38.990 --> 00:13:40.990]  (music)
[00:13:40.990 --> 00:13:42.990]  (music)
[00:13:42.990 --> 00:13:44.990]  Oh, I'm back.
[00:13:44.990 --> 00:13:46.990]  (laughter)
[00:13:46.990 --> 00:13:50.990]   So, before we get to some of the new announcements new shows, new divisions that we're creating here
[00:13:50.990 --> 00:13:54.990]   and again, you can go to laddarthcreditor.com/mogclub enter in the promo code "replatforming"
[00:13:54.990 --> 00:13:56.990]  you get a Fight Like Hell shirt.
[00:13:56.990 --> 00:13:57.990]  shirt.
[00:13:58.039 --> 00:14:05.765]  I want to give the microphone over to some people who've played a role here at Mug Club and growing this place and, uh, are now going to be playing a bigger role.
[00:14:05.805 --> 00:14:13.110]  So first, uh, this is a man right here with a resume that you rarely find in the, I mean, quote unquote, conservative movement.
[00:14:13.210 --> 00:14:18.093]  So through the last decades, he's had roles in film, television, he's hosted shows, he sold out theaters.
[00:14:20.054 --> 00:14:22.695]  But with Brian Callum, let me tell you a little bit about what he lost.
[00:14:23.475 --> 00:14:25.256]  Because that's what replatforming is about.
[00:14:26.237 --> 00:14:41.043]  In the era of the Me Too Witch Hunt, when people were being falsely accused left and right, he not only had a top ten podcast in the sports world, he not only was a central character on one of ABC's hallmark shows, his role was so popular he was given his own spinoff on ABC in primetime.
[00:14:42.504 --> 00:14:44.405]  Smear campaign later, he lost all of it.
[00:14:44.685 --> 00:14:46.546]  The term cancelled doesn't even cover it.
[00:14:47.520 --> 00:15:08.094]  But now, he's ready to let his freak flag fly, and beyond being in third chair, uh, and appearing in sketches, which he's done, he will be launching his weekly show on September 1st, The Brian Callen Show, but Mug Club will also be producing Brian Callen's next stand-up comedy special, more on that in a minute, one where he can finally pull no punches, show the world everything that he truly is, again, because of Mug Club.
[00:15:07.973 --> 00:15:11.673]  So please welcome to the team, part-timer to full-timer, Mr.
[00:15:11.673 --> 00:15:12.473]  Brian Callum.
[00:15:12.473 --> 00:15:17.473]  [applause]
[00:15:17.473 --> 00:15:20.973]  [inaudible]
[00:15:21.968 --> 00:15:23.589]  Thank you, my fellow Americans.
[00:15:23.729 --> 00:15:25.030]  Thank you, Stephen.
[00:15:25.870 --> 00:15:27.251]  Listen, let's get serious.
[00:15:27.271 --> 00:15:32.895]  There are a lot of bad ideas out there that have very real consequences for our democracy.
[00:15:32.995 --> 00:15:35.777]  It is no longer safe to speak the truth.
[00:15:36.158 --> 00:15:42.382]  It is no longer safe to even question the edicts handed down from the establishment kings.
[00:15:42.702 --> 00:15:46.123]  Gatekeepers today will crush you financially.
[00:15:46.483 --> 00:15:47.523]  They will censor you.
[00:15:47.823 --> 00:15:49.124]  They will de-platform you.
[00:15:49.184 --> 00:15:50.124]  They will label you.
[00:15:50.204 --> 00:15:51.344]  They will vilify you.
[00:15:51.824 --> 00:15:57.686]  The rules grow more specific, weirder, and more plentiful by the day.
[00:15:58.486 --> 00:16:04.487]  And as I speak, you'll even be punished if you stand with traditional beliefs and values.
[00:16:05.487 --> 00:16:07.888]  Well, welcome to the pushback.
[00:16:10.370 --> 00:16:10.770]  See that?
[00:16:11.231 --> 00:16:11.611]  See that?
[00:16:11.631 --> 00:16:13.413]  A lot of people over here.
[00:16:13.453 --> 00:16:14.313]  You can't see them.
[00:16:14.333 --> 00:16:15.655]  You should see that.
[00:16:15.715 --> 00:16:17.196]  How you guys doing in the nosebleeds?
[00:16:17.977 --> 00:16:18.677]  They can't hear me.
[00:16:19.057 --> 00:16:19.418]  Alright.
[00:16:20.479 --> 00:16:25.303]  Steven and the Louder With Crowder family have been battling it out on their own for a long time now.
[00:16:25.603 --> 00:16:34.109]  Well, I am excited to be part of an ever-expanding group of misfits and comics that have had enough and want to join the fight.
[00:16:34.770 --> 00:16:38.512]  The Pushback isn't just about fighting bad ideas with better ideas.
[00:16:38.893 --> 00:16:42.015]  It's not just about shouting into a microphone.
[00:16:42.475 --> 00:16:53.383]  We're here to change hearts and minds, and we are going to do it the way Steven has always done it, with humor, satire, wit, and maybe a little screaming into the microphone.
[00:16:53.723 --> 00:16:54.263]  You know what I'm saying?
[00:16:54.283 --> 00:16:54.844]  A little scream.
[00:16:54.904 --> 00:16:55.544]  A little bit, yeah.
[00:16:55.564 --> 00:16:58.466]  A little anger, once in a while, goes a long way.
[00:16:58.986 --> 00:17:05.610]  We are going to entertain you so hard and so often that you can't help but hear and see the truth.
[00:17:05.850 --> 00:17:07.011]  You can't help it!
[00:17:08.331 --> 00:17:14.335]  There is no one in the conservative space pushing back on the left's terrible ideas with Stephen's level of funny.
[00:17:14.855 --> 00:17:16.676]  No one's even in the same area code.
[00:17:17.036 --> 00:17:21.459]  So when Stephen asked me to join the family, I was like, where do I sign up?
[00:17:22.768 --> 00:17:25.269]  This is must-see pushback.
[00:17:25.869 --> 00:17:30.392]  We are an army of funny people with a point of view, funny with a philosophy.
[00:17:30.712 --> 00:17:33.513]  We are not your grandpa's conservative show.
[00:17:33.973 --> 00:17:38.455]  We ain't the strict chaperone standing in the corner telling everyone not to dance.
[00:17:38.755 --> 00:17:40.656]  The party is here.
[00:17:41.136 --> 00:17:45.456]  This is where you get to laugh, learn, and be heard.
[00:17:45.456 --> 00:17:48.096]  And I am excited to be part of it all.
[00:17:48.096 --> 00:17:57.096]  [Applause]
[00:17:57.133 --> 00:17:57.653]  No, no, you're good.
[00:17:57.693 --> 00:17:58.694]  But they were supposed to be doves.
[00:17:58.714 --> 00:17:59.754]  I wanted to release them.
[00:18:00.094 --> 00:18:00.914]  We're the doves!
[00:18:01.335 --> 00:18:02.235]  There's doves over there.
[00:18:02.275 --> 00:18:03.055]  I wanted doves!
[00:18:03.155 --> 00:18:07.757]  There are doves over there.
[00:18:08.237 --> 00:18:08.757]  Oh, I see.
[00:18:08.797 --> 00:18:09.277]  It actually does.
[00:18:09.337 --> 00:18:11.338]  It says, graphics confetti.
[00:18:13.578 --> 00:18:15.279]  He wasn't lying.
[00:18:15.299 --> 00:18:16.479]  The promo code is... Oh, there we go.
[00:18:19.775 --> 00:18:20.916]  Yeah, and we appreciate it.
[00:18:20.936 --> 00:18:22.237]  We have members of the press and family here.
[00:18:22.497 --> 00:18:26.519]  It's one of those things where we couldn't do this at a venue because, you know, people might shoot me.
[00:18:28.621 --> 00:18:32.043]  And this next guy.
[00:18:32.223 --> 00:18:37.526]  Again, this is before the announcements that we're making, and I'm incredibly excited for some of those, but this is a guy.
[00:18:39.648 --> 00:18:43.830]  Alright, he's going to get mad at me because this is going to be a little sappy.
[00:18:47.495 --> 00:18:47.735]  Okay.
[00:18:48.055 --> 00:18:51.956]  I'm just trying to think if I should even say this because he's going to be like, nah, this kid's a fruitcake.
[00:18:52.456 --> 00:18:53.017]  Say it!
[00:18:54.097 --> 00:18:54.937]  Okay, I can't say that.
[00:18:55.017 --> 00:18:55.697]  I can't say that.
[00:18:55.717 --> 00:18:56.498]  I can't say that.
[00:18:57.438 --> 00:18:58.578]  There's no way I can say this.
[00:18:59.478 --> 00:19:00.519]  There's no way I can say that.
[00:19:00.659 --> 00:19:01.139]  Oh, okay.
[00:19:01.179 --> 00:19:01.459]  All right.
[00:19:01.559 --> 00:19:01.879]  I got it.
[00:19:04.280 --> 00:19:05.340]  And then I'll talk about the comedy special.
[00:19:05.360 --> 00:19:06.220]  You're doing your stand-up special.
[00:19:06.240 --> 00:19:07.581]  When are you filming that, Brian?
[00:19:07.621 --> 00:19:08.381]  Whenever you tell me.
[00:19:08.901 --> 00:19:09.641]  Well, that's not how it works.
[00:19:09.661 --> 00:19:10.221]  I'm just ready to go.
[00:19:10.281 --> 00:19:11.182]  I'm developing it.
[00:19:11.202 --> 00:19:11.922]  All right.
[00:19:12.442 --> 00:19:13.702]  So this next guy, I'm just going to go for it.
[00:19:13.742 --> 00:19:16.532]   They say never meet I apologize in advance.
[00:19:16.552 --> 00:19:17.592]  They say never meet your heroes.
[00:19:18.493 --> 00:19:21.695]  And it's an odd feeling meeting one of your professional idols.
[00:19:21.876 --> 00:19:22.616]  I don't mean idolatry.
[00:19:22.636 --> 00:19:23.457]  I mean professional idols.
[00:19:23.477 --> 00:19:25.118]  This is before some of you guys get upset here.
[00:19:25.919 --> 00:19:31.182]  And actually being in a position where you have anything to offer them of value.
[00:19:31.523 --> 00:19:33.624]  I've had two comedy heroes in my life.
[00:19:34.245 --> 00:19:36.106]  And you've heard me say this back since 2014.
[00:19:36.206 --> 00:19:39.549]  Norm Macdonald and Nick DiPaolo.
[00:19:40.816 --> 00:19:45.398]  Now, in every industry, there's often a person who people think is the man, right?
[00:19:45.418 --> 00:19:49.841]  The person who gets the accolades or the push, as it's called in some entertainment industries.
[00:19:50.141 --> 00:19:53.402]  And then behind the scenes, there's the guy.
[00:19:53.983 --> 00:19:54.943]  There's the actual guy.
[00:19:55.543 --> 00:20:00.266]  And when you ask any of that industry's peers, they would flat out tell you, oh, oh, oh, yeah, he's the guy.
[00:20:01.431 --> 00:20:04.813]  In the world of stand-up comedy, for decades, that guy is Nick DiPaolo.
[00:20:05.513 --> 00:20:14.858]  Nick DiPaolo is not only one of the longest-standing veterans in the industry, he's the guy who some of the world's most famous comedians still call when they need help writing jokes, to this day.
[00:20:15.158 --> 00:20:25.023]  To give you an idea, when Joe Rogan went through his conflict with Carlos Mencia back in the day, and I was watching from Montreal, his primary problem was with unoriginality.
[00:20:25.930 --> 00:20:27.152]  And you can go back and watch this clip.
[00:20:27.473 --> 00:20:31.379]  He talked about how difficult it was to write truly excellent original comedy.
[00:20:31.419 --> 00:20:36.708]  And when he listed examples of the gold standard of people who inspired him, he listed two people.
[00:20:37.149 --> 00:20:39.052]  Dave Chappelle and Nick DiPaolo.
[00:20:39.961 --> 00:20:44.265]  Nick's fatal flaw is that he was just never able to keep his mouth shut.
[00:20:45.346 --> 00:20:52.653]  Nick Napole has always reviled the left, political correctness, or what we know today as cancel culture.
[00:20:52.873 --> 00:21:02.743]  The stories of him going off on some entitled feminist who made the air of heckling him at the Comedy Cellar in New York City, they're still discussed, they're echoed through the halls of that club to this day.
[00:21:03.993 --> 00:21:12.238]  He was cancelled, fired really, before that term exists, from his own radio show at Sirius XM, when a Latinx professor at Fresno State was joy-tweeting that Barbara Bush had died.
[00:21:12.978 --> 00:21:17.621]  Nick DiPaolo did what he does best, and he wrote, I don't know, I hope he's okay, he wrote this tweet in response.
[00:21:19.341 --> 00:21:26.305]  Dear future school shooters, please confine yourselves to college campuses, specifically faculty lounges at Berkeley Fresno State.
[00:21:30.528 --> 00:21:32.649]  It was funny then, and it's funny now.
[00:21:34.963 --> 00:21:37.184]  And he was fired, and he never changed.
[00:21:38.565 --> 00:21:46.110]  This is not a man, just to be clear, who kept his head down, made his bones, and then decided to come out of the closet as some right-wing lunatic for clicks.
[00:21:46.851 --> 00:21:51.474]  This man doesn't own a closet door, and he has always been a right-wing lunatic.
[00:21:51.894 --> 00:21:56.697]  While other people in the industry, right, they would seek his advice from behind the scenes, and I'll say this because he will never say this, okay?
[00:21:57.930 --> 00:22:06.279]  People will seek his advice behind closed doors, and maybe there's some folks out there who you may watch who maybe lift some of his stylings from back in Boston, softening it for a mainstream audience.
[00:22:06.860 --> 00:22:10.764]  This guy was being turned down for roles from venues he's had shows cancelled.
[00:22:11.445 --> 00:22:14.669]  He was even punched in the face at a comedy club by a lesbian broad in Birkenstocks.
[00:22:17.245 --> 00:22:17.746]  It's a true story.
[00:22:17.766 --> 00:22:19.749]  He was on our show the next day with a black eye.
[00:22:20.630 --> 00:22:23.234]  Because he just could never keep his mouth shut.
[00:22:23.674 --> 00:22:31.044]  And the reason that this is the replatforming conference is because this is a story not even about what was lost, but what was taken from someone.
[00:22:32.096 --> 00:22:36.881]  And what, at this moment in time, for the first time, can be regained and will be regained.
[00:22:36.922 --> 00:22:40.760]   and because of all this he was called of course look before you were
[00:22:40.760 --> 00:22:47.091]   racist sexist homophobic you name it for his entire career here at Mug Club and myself
[00:22:47.091 --> 00:22:54.682]   personally we call him the funniest man alive Nick DiPaolo
[00:23:04.402 --> 00:23:12.840]   thank you Kevin And the t-shirt was not my idea.
[00:23:12.880 --> 00:23:13.200]  What is this?
[00:23:13.320 --> 00:23:14.201]  Aria Grande?
[00:23:14.421 --> 00:23:16.102]  You look good.
[00:23:16.202 --> 00:23:17.903]  Yeah.
[00:23:18.003 --> 00:23:19.504]  Great to be here, seriously.
[00:23:20.104 --> 00:23:21.365]  You came along at a good time.
[00:23:22.146 --> 00:23:23.487]  My wife has a coke problem.
[00:23:24.527 --> 00:23:25.148]  A lot of bills.
[00:23:26.549 --> 00:23:27.729]  Got a dog with cataracts.
[00:23:28.190 --> 00:23:28.970]  Steven calls me.
[00:23:29.150 --> 00:23:29.791]  Where do I sign up?
[00:23:31.567 --> 00:23:33.649]  Now, I'm here, obviously, for a few reasons.
[00:23:33.729 --> 00:23:37.412]  First of all, all the jobs dried up in the garment district.
