[00:00:00.330 --> 00:00:00.991]  It's official.
[00:03:18.017 --> 00:03:27.300]  And let's not forget that Biden told us over and over and over again, just like Rachel Maddow, if you've had the shot, you're protected, you can't get it, you can't spread it.
[00:03:27.940 --> 00:03:34.282]  The various shots that people are getting now cover that.
[00:03:34.322 --> 00:03:34.922]  You're okay.
[00:03:35.182 --> 00:03:38.323]  You're not going to get COVID if you have these vaccinations.
[00:03:38.963 --> 00:03:45.147]  And now he said just a week ago when he was in Nevada, oh don't worry, a new shot's coming out that works.
[00:03:45.827 --> 00:03:49.710]  How many times do we have to live through this scam until we wake up?
[00:03:50.470 --> 00:03:54.853]  Mr. President, can you say anything about the uptick of COVID cases and the new variant?
[00:03:55.453 --> 00:03:56.254]  Yes, I can.
[00:03:56.314 --> 00:04:09.589]   Matter of fact, I signed off this morning on a proposal to have To present to the Congress a request for additional funding for a new vaccine that is not necessary, that works.
[00:04:09.629 --> 00:04:20.818]  And tentatively, not decided finally yet, tentatively, it is recommended that, it would likely be recommended that everybody get it, no matter where they got it before.
[00:04:21.741 --> 00:04:25.267]  Now the last controls and lockdowns in the West lasted two years.
[00:04:25.848 --> 00:04:27.070]  In the third world, over three years.
[00:04:27.510 --> 00:04:29.934]  Killed 80 plus million people, the UN estimates, from starvation.
[00:04:30.215 --> 00:04:32.619]  Not the virus, but the lockdowns in the third world.
[00:04:33.140 --> 00:04:35.784]  When the first world collapses, the third world dies.
[00:04:36.795 --> 00:04:41.159]  And so they're bringing this back to have mail-in ballots that are only a year from now.
[00:04:41.840 --> 00:04:45.584]  Less than a year from now, the mail-in ballots will already be in place.
[00:04:45.624 --> 00:04:48.026]  They're already saying, hey, we're bringing them back.
[00:04:48.046 --> 00:04:49.107]  You can't go to the post office.
[00:04:49.147 --> 00:04:49.728]  It's not safe.
[00:04:50.309 --> 00:04:51.670]  This is about election meddling.
[00:04:51.750 --> 00:04:54.453]  It's about Pfizer and Moderna making huge profits.
[00:04:54.473 --> 00:04:55.233]  This is criminal.
[00:04:56.078 --> 00:05:03.966]  They're going to try to gaslight you and tell you nobody's bringing back controls because they don't want opposition to form, but it's happening in front of your face.
[00:05:04.627 --> 00:05:08.411]  I'm on air daily at InfoWars.com for its last show, 11 a.m.
[00:05:08.872 --> 00:05:09.392]  to 3 p.m.
[00:05:09.432 --> 00:05:09.712]  Central.
[00:05:09.752 --> 00:05:11.094]  It's archived at Band.Video.
[00:05:11.554 --> 00:05:20.694]   And while the mainstream, bought-and-paid-for, Bill Gates-controlled corporate media lies to you about what's currently happening now, We tell you the truth about what's coming next.
[00:05:21.154 --> 00:05:40.186]  So join me at InfoWars.com forward slash show, and let's tell them, hell no, we're not submitting, we're not backing down, you don't own our bodies, you're liars, you create a gain of function, you release the virus, and Fauci and Gates and the rest of them should go to prison, not get away with a whole new COVID tyranny power grab.
[00:05:40.766 --> 00:05:46.410]  They bit off more than they could chew, but they had so much success with the last fraud, they're trying it again.
[00:05:47.344 --> 00:05:50.345]  Shame on them the first time they fool us.
[00:05:51.046 --> 00:05:51.706]  You know that saying?
[00:05:52.006 --> 00:05:53.066]  Fool me once, shame on you.
[00:05:53.347 --> 00:05:54.787]  Fool me twice, shame on me.
[00:05:55.107 --> 00:05:57.168]  Well, we're going to win, folks.
[00:05:57.468 --> 00:05:58.929]  InfoWars.com.
[00:05:59.369 --> 00:06:00.069]  Be a patriot.
[00:06:00.450 --> 00:06:01.030]  Wear a mask.
[00:06:01.778 --> 00:06:09.103]  On March 6th, 2001, Alex Jones first predicted the September 11th attack on the World Trade Center.
[00:06:09.283 --> 00:06:19.590]  You've got an element of the FBI and these war game scenarios where they can remote control a 747 and they're going to crash it into the World Trade Center.
[00:06:20.390 --> 00:06:26.495]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:06:27.015 --> 00:06:31.498]  Visit InfoWars.com forward slash show and share the link today.
[00:06:32.499 --> 00:06:39.984]  Omega-3 fatty acids are needed for optimal strength, and they can only be obtained through diet.
[00:06:40.644 --> 00:06:51.071]  They can be found in grass-fed beef, which is why the ruling class is trying to ban it, and they can be found in fish, which are arguably the best source of omega-3s.
[00:06:52.452 --> 00:06:56.536]  But the problem today is finding fish without a high mercury content.
[00:06:57.297 --> 00:07:02.943]  Your best option is our Ultimate Fish Oil and Ultimate Krill Oil at InfowarsStore.com.
[00:07:04.853 --> 00:07:13.017]  Omega-3 fatty acids are essential for both our neurological and cardiovascular systems, our brain and our heart.
[00:07:13.697 --> 00:07:17.759]  They improve mood, mental clarity, and immune function.
[00:07:18.479 --> 00:07:23.141]  Get your essential Omega-3 fatty acids from the best sources available.
[00:07:23.621 --> 00:07:25.902]  Ultimate Fish Oil and Ultimate Krill Oil.
[00:07:26.663 --> 00:07:28.884]  Get some today at InfoWareStore.com.
[00:07:32.728 --> 00:07:35.852]  We interrupt our program to bring you this important message.
[00:07:36.372 --> 00:07:38.575]  All other networks lie to you about what's happening now.
[00:07:39.296 --> 00:07:41.739]  InfoWars tells you the truth about what's happening next.
