[00:00:00.000 --> 00:00:18.000]  [Outro]
[00:09:42.148 --> 00:09:47.130]  Our European friends and partners beyond Europe, more than $110 billion for Ukraine.
[00:09:47.491 --> 00:09:49.312]  So we have the burden sharing that we need.
[00:09:50.513 --> 00:09:54.656]  This is a time to really step up, because if we don't, we know what happens.
[00:09:55.297 --> 00:10:00.361]  Putin will be able to move forward with impunity, and we know he won't stop in Ukraine.
[00:10:01.142 --> 00:10:03.143]  And he may well end up going after a NATO country.
[00:10:03.444 --> 00:10:06.046]  That would bring us in, given our obligations to our NATO allies.
[00:10:06.566 --> 00:10:10.530]  So here, an ounce of prevention is really worth 10 pounds of cure.
[00:10:11.497 --> 00:10:13.797]  Oh, a little Benjamin Franklin quote taken out of context.
[00:10:13.857 --> 00:10:35.682]  So, the West overthrows the Ukrainian government nine years ago, starts the war, kicks the Russians' asses all the way to their border, kicking their own people out, they respond back, and now Zelensky has been, his people have been slaughtered, and now their answer is, oh, it's going quite well, they've done a really good job, let's send more money there when they're now the average age of their conscripts, like, 57 years old?
[00:10:36.642 --> 00:10:37.422]  No, they've lost.
[00:10:39.537 --> 00:10:42.439]  And if Russia was on our border, I would be fully against Russia.
[00:10:43.280 --> 00:10:45.242]  What an insane time to be alive.
[00:10:45.582 --> 00:10:46.603]  Look at some of these headlines.
[00:10:46.923 --> 00:10:48.104]  Top defense official, U.S.
[00:10:48.144 --> 00:10:51.827]  can handle Middle East, Russia, China operations all at once.
[00:10:53.909 --> 00:10:54.289]  U.S.
[00:10:54.369 --> 00:10:57.732]  vetoes Gaza ceasefire, province from arms sales, same day.
[00:10:59.073 --> 00:11:06.537]   Secretary of State Blinken claims Russia will invade NATO countries because Congress Is refusing to pass the 100 million plus aid bill.
[00:11:07.239 --> 00:11:10.645]  Putin strengthens relations with Middle Eastern powers as Biden flounders.
[00:11:11.647 --> 00:11:13.550]  Musk calls out Biden over U.S.
[00:11:13.590 --> 00:11:15.714]  journalists jailed for four or five months.
[00:11:17.523 --> 00:11:18.223]  And it goes on.
[00:11:18.344 --> 00:11:19.464]  Numbers of attacks at U.S.
[00:11:19.504 --> 00:11:21.686]  bases in Iraq and Syria pushes past 80.
[00:11:22.066 --> 00:11:31.232]  And now the Pentagon says, look at this headline, that they can fight more than three wars at once.
[00:11:31.792 --> 00:11:33.313]  Top defense official, U.S.
[00:11:33.453 --> 00:11:38.997]  can handle Middle East, Russia, China operations all at once.
[00:11:40.987 --> 00:11:42.948]  Couldn't handle Vietnam because they wouldn't give up.
[00:11:43.008 --> 00:11:44.730]  Couldn't handle Korea because they wouldn't give up.
[00:11:44.750 --> 00:11:47.011]  I'm not saying the North Koreans were good, they were terrible.
[00:11:47.652 --> 00:11:50.133]  But we can handle China with a million and a half people.
[00:11:50.153 --> 00:11:52.435]  We can handle Russia with the biggest nuclear arsenal.
[00:11:52.455 --> 00:11:56.417]  We can handle the whole Middle East with our collapsing border.
[00:11:56.698 --> 00:12:03.002]  But we can't handle the fentanyl deaths and the suicide and the inflation and the needles and poop everywhere.
[00:12:03.822 --> 00:12:04.023]  No.
[00:12:04.423 --> 00:12:07.485]  America is being positioned into destruction.
[00:12:09.212 --> 00:12:24.226]  And under Trump for four years, no wars, major peace deals, Abraham Accords, North Korean deal, Russians deals, Russia didn't go into Ukraine because Trump said, we're not going to push missiles up to your border, but if you go in, we'll attack you.
[00:12:24.606 --> 00:12:28.430]  And instead, we've seen the absolute opposite since then.
[00:12:29.951 --> 00:12:33.335]  Total escalation into massive war.
[00:12:34.997 --> 00:12:45.120]  Meanwhile, domestically, they are pushing racial division and the UN is pushing racial division like never before in this country.
[00:12:45.140 --> 00:12:46.100]  And I want to explain something.
[00:12:46.120 --> 00:12:48.601]  I know most of you know this, but we have a lot of new listeners today.
[00:12:48.621 --> 00:12:52.742]  I've been number one for three days on Twitter and so many other platforms.
[00:12:53.162 --> 00:12:57.884]  Tens of millions of new people hitting Infowars.com and Band.video and sharing those links.
[00:12:58.804 --> 00:13:18.784]   Barbados demands $4.9 trillion In reparations for former slave-owning countries around the world, nothing about African countries, four of them still with slavery going on, nothing about Africans kidnapping more than 250 million Europeans over a thousand years out of Europe, which is ridiculous.
[00:13:18.804 --> 00:13:22.608]  You can't blame Africans for what their random ancestors did 500, 1,000 years ago.
[00:13:24.790 --> 00:13:35.778]  But the next big thing other than climate change, oh pay big banks money because you're hurting the earth, put fart bags on cows, shut down all the coal plants, is reparations!
[00:13:37.439 --> 00:13:44.964]  Oh, but you pay it to the UN and then they'll pay some black people some money but they got to get on a globalist bank and be sterilized for the money.
[00:13:46.525 --> 00:13:51.309]  It's the plan with the universal basic income, the universal social credit score.
[00:13:52.269 --> 00:14:08.119]   Barbados Prime Minister Mia Motley has urged the UK to pay 4.9 trillion, that's way more than their GDP, in reparations for the transatlantic slave trade, which England ended, by the way, worldwide, in London's speech Wednesday.
[00:14:08.659 --> 00:14:17.003]  She added that talks over how this debt should be repaid will be difficult and will take time, but don't worry, they'll be paid through the UN, it'll take 90% of the money.
[00:14:17.323 --> 00:14:20.945]  I mean, does anybody believe you're actually about to get all these free goodies?
[00:14:22.352 --> 00:14:24.754]  Mark Dice has been at the center of this fight for a long time.
[00:14:25.254 --> 00:14:31.999]  He's come out about 15 minutes on this live Sunday show, and then coming up, two-hour live interview with Elon Musk.
[00:14:32.580 --> 00:14:36.723]  It already happened as soon as he goes live, and we posted the Vandal video, and we'll play it here.
[00:14:36.763 --> 00:14:41.226]  And then Chase Geyser's coming up as well, but you're listening tonight to what they don't want you to hear.
[00:14:41.306 --> 00:14:42.086]  Please spread the word.
[00:14:42.106 --> 00:14:42.547]  We'll be right back.
[00:14:43.672 --> 00:14:51.060]  Less than a day after being reinstated to X, I was on Mario Nafal's number one X Spaces program.
[00:14:51.401 --> 00:14:56.927]  It had over 120,000 people watching at one time, more than 8 million watched it by the time it was over.
[00:14:57.447 --> 00:15:01.972]  Elon Musk came on for more than two hours, and I asked a lot of good questions.
[00:15:02.432 --> 00:15:05.992]   So officially I was the guy getting interviewed, but I turned it around, made it about Elon
[00:15:05.992 --> 00:15:08.753]   Musk because quite frankly he's even more interesting than I am.
[00:15:08.753 --> 00:15:13.312]   We're going to be posting this interview with just my questions, cut down the full interviews,
[00:15:13.312 --> 00:15:15.111]  obviously on Mario's channel.
[00:15:15.111 --> 00:15:16.871]  We'll be posting it to X here in the next few hours.
[00:15:16.871 --> 00:15:23.432]   We'll be playing it on my radio show and TV show tomorrow, 11 a.m. Central, Infowars.com/show.
[00:15:23.432 --> 00:15:28.192]   So for all the people that heard about Infowars but didn't know what we really stood for because
[00:15:28.192 --> 00:15:29.072]  it was misrepresented.
[00:15:29.493 --> 00:15:42.498]  This is your chance to go to mfowards.com forward slash show, band.video, or at realalexjones back on Twitter and actually see what I say, see what I stand for, and see it in context.
[00:15:43.178 --> 00:15:44.118]  At Real Alex Jones.
[00:15:44.158 --> 00:15:45.039]  Please follow us there.
[00:15:45.059 --> 00:15:54.443]  You can also find us where we've still been on air five years after we were deplatformed at InfoWars.com, Ford slash show, Bandai Video, and NewsWars.com.
[00:15:54.463 --> 00:15:55.223]  But this is historic.
[00:15:55.263 --> 00:15:56.344]  It's way bigger than Alex Jones.
[00:15:56.824 --> 00:15:57.904]  This is about Renaissance 2.0.
[00:15:58.905 --> 00:16:00.105]  It's about free speech winning.
[00:16:00.365 --> 00:16:01.586]  It's about the deep state failing.
[00:16:01.946 --> 00:16:03.787]  This is beyond cool.
[00:16:04.347 --> 00:16:12.251]   And again, Elon Musk talks about everything, including subjects he's never I've been asked about before in this interview.
[00:16:12.631 --> 00:16:14.292]  So I'll be on my regular show.
[00:16:14.653 --> 00:16:17.435]  I'll be breaking it down weekdays, 11 a.m.
[00:16:17.495 --> 00:16:17.875]  Central.
[00:16:17.935 --> 00:16:26.781]  But you want to hear the Alex Jones-Elon Musk interview at Band.VideoInfoWars.com and at RealAlexJones on Twitter.
[00:16:27.141 --> 00:16:28.242]  I want to salute the crew.
[00:16:28.302 --> 00:16:30.023]  I want to salute our supporters.
[00:16:30.524 --> 00:16:32.105]  I want to salute the folks that have kept us on air.
[00:16:32.145 --> 00:16:33.766]  Tucker Carlson for interviewing me last week.
[00:16:34.206 --> 00:16:36.367]  They took us over the top and I want to salute Elon Musk.
[00:16:37.288 --> 00:16:39.789]  Freedom of speech is paramount to a free human society.
[00:16:40.129 --> 00:16:40.930]  We're pro-human.
[00:16:41.190 --> 00:16:43.090]  We're on Team Human, as Elon Musk said.
[00:16:43.511 --> 00:16:44.611]  The t-shirt's coming soon.
[00:16:44.951 --> 00:16:45.592]  Team Human.
[00:16:45.932 --> 00:16:47.092]  InfoWars.com.
[00:16:47.392 --> 00:16:49.713]  I'll see you on the front lines of the fight for our future.
[00:16:51.034 --> 00:16:53.775]  Visit InfoWars.com forward slash show.
[00:16:55.996 --> 00:16:58.117]  Well, wild stuff is going on.
[00:16:58.157 --> 00:17:01.338]  You can follow us at RealAlexJones on Twitter.
[00:17:01.358 --> 00:17:02.979]  You say, why does this matter?
[00:17:04.019 --> 00:17:11.581]  They're gonna be able to steal the election if we don't have information and the truth out there, and they are pulling their hair out everywhere.
[00:17:11.601 --> 00:17:13.401]  When they gave us the account back at like 5 a.m.
[00:17:13.421 --> 00:17:14.442]  this morning, I was already up.
[00:17:15.242 --> 00:17:16.842]  They had like 40,000 people on it.
[00:17:16.942 --> 00:17:21.524]  Now it's 1.3 million or whatever at Real Alex Jones, and it's gonna be exciting.
[00:17:21.544 --> 00:17:25.725]  I'm gonna shoot videos starting tomorrow, just like Tucker Carlson did when he got fired off Fox.
[00:17:25.785 --> 00:17:27.145]  I guess they'll get tens of millions of views.
[00:17:28.045 --> 00:17:30.546]  The few videos we already posted today have gotten millions of views.
[00:17:31.346 --> 00:17:32.547]  It's been incredible.
[00:17:33.428 --> 00:17:35.029]  And so the fight is definitely on.
[00:17:35.069 --> 00:17:38.752]  Humanity is not just rolling over and crawling into its grave.
[00:17:38.812 --> 00:17:45.617]  Now, somebody that stood up for free speech and is a great media analyst, Mark Dice, is set to join us coming up.
[00:17:45.717 --> 00:17:55.825]  And tomorrow we're going to have Jack Posobiec, so many others that have been fighting as well and exposing the fact that Biden would try to start a full war with Russia.
[00:17:56.325 --> 00:17:57.947]  He's been saying that for six months, so have I.
[00:17:59.085 --> 00:18:01.167]  As a pretext to try to shut down the election.
[00:18:01.227 --> 00:18:05.351]  So, you know, as fun as it is to say, Oh, I interviewed Elon Musk for two hours a day.
[00:18:05.411 --> 00:18:08.133]  And because I was supposed to be on there being interviewed by him.
[00:18:08.173 --> 00:18:09.374]  And I said, let's turn this around.
[00:18:09.435 --> 00:18:12.337]  Alex Jones is not that interesting compared to Elon Musk.
[00:18:12.397 --> 00:18:17.322]  I said, let's talk about dehumanization, global government, the new world order, the globalist.
[00:18:19.287 --> 00:18:21.549]  The depopulation plan, the chemicals in the water.
[00:18:22.009 --> 00:18:24.251]  I mean, it was spectacular.
[00:18:24.932 --> 00:18:28.475]  And believe me, the corporate media is hoping you don't go dig through it.
[00:18:28.515 --> 00:18:36.722]  But the way Space... Spaces works on Twitter is it goes out live and all these people can be on there.
[00:18:36.742 --> 00:18:37.683]  It really works well now.
[00:18:37.703 --> 00:18:39.204]  It didn't work well until Musk took it over.
[00:18:39.924 --> 00:18:44.008]  And then it kind of just goes out a million or so, watch it, then people really don't take cuts out of it.
[00:18:44.028 --> 00:18:44.989]  It's very hard to download.
[00:18:45.749 --> 00:18:47.171]  Oh, we've almost downloaded it right now.
[00:18:48.129 --> 00:18:51.191]  And so when Chase Geyser takes over at 6 p.m.
[00:18:51.231 --> 00:18:54.752]  Central in an hour and 35 minutes, he'll have clips on that show.
[00:18:55.192 --> 00:18:57.053]  And then tomorrow on my weekday show, 11 a.m.
[00:18:57.093 --> 00:19:04.337]  Central, we'll be playing clips and analyzing this because I think I give myself credit for this.
[00:19:05.998 --> 00:19:08.199]  Ask some of the best questions that Elon Musk has ever been asked.
[00:19:10.140 --> 00:19:11.320]  You can say what you want about Elon Musk.
[00:19:11.420 --> 00:19:13.882]  He's a very important player in all this, so we should be looking at it.
[00:19:14.282 --> 00:19:16.623]  He's definitely taking on the current globalist incarnation.
[00:19:18.311 --> 00:19:21.777]  Alright, what are we fighting against, ladies and gentlemen?
[00:19:21.817 --> 00:19:22.899]  What are we up against?
[00:19:22.979 --> 00:19:24.702]  Why is this so important?
[00:19:25.725 --> 00:19:27.546]  Well, they want an internet ID worldwide.
[00:19:28.446 --> 00:19:29.427]  China's already got it.
[00:19:30.187 --> 00:19:31.508]  Bill Gates and the UN are pushing it.
[00:19:31.908 --> 00:19:36.331]  And they know we have morals, so they go, oh, stop pedophilia, something they're running.
[00:19:37.131 --> 00:19:48.137]  Let's have it where when you look at any major porn site, you've got to enter your ID, your name, your information, and a digital time stamp photo of yourself.
[00:19:49.878 --> 00:19:50.158]  Wow!
[00:19:51.493 --> 00:19:53.655]  Thought the liberals were all for open, free society.
[00:19:54.295 --> 00:19:57.018]  Brits may be forced to take selfie before watching porn.
[00:19:57.839 --> 00:20:00.461]  The government's introduced legislation called Privacy Friendly.
[00:20:03.103 --> 00:20:07.187]  And it says that you will have to take a photo of yourself in a database before you watch porn.
[00:20:07.547 --> 00:20:08.908]  That's all about an internet ID.
[00:20:08.928 --> 00:20:17.556]  That's what Nikki Haley's saying where, oh, anybody that's on the internet has to have an ID to stop porn and hate speech, ladies and gentlemen.
[00:20:18.891 --> 00:20:34.276]   Continuing, beyond shocking, ACLU will represent NRA in free speech Supreme Court case because the Soros combine gave hundreds of millions of dollars the last decade to groups like The American Civil Liberties Union.
[00:20:34.756 --> 00:20:36.637]  They've done nothing to defend against tyranny.
[00:20:36.657 --> 00:20:37.417]  Now they're a joke.
[00:20:37.457 --> 00:20:38.137]  They're obsolete.
[00:20:38.918 --> 00:20:48.542]  So suddenly they're saying, well, these cases where people lose their bank accounts because they're a pro-gun YouTube channel or they're a survival shop, a gun shop, a sporting goods shop.
[00:20:49.082 --> 00:20:53.524]  That's wrong that you're going to ban them selling something legal for their free speech.
[00:20:53.584 --> 00:20:56.785]  So good job to the ACLU.
[00:20:56.845 --> 00:21:02.468]  You're a hundred years late and a trillion dollars short.
[00:21:03.968 --> 00:21:04.748]  There's that report.
[00:21:05.549 --> 00:21:06.529]  Hate hoax foiled.
[00:21:06.569 --> 00:21:07.470]  We see these every day.
[00:21:07.930 --> 00:21:13.233]   Black woman arrested attempting to set fire to MLK Jr.' 's birth home and blaming on white people.
[00:21:13.813 --> 00:21:17.055]  We should give her the Jussie Smollett Award.
[00:21:17.656 --> 00:21:21.078]  Leftists are glad that white American population is declining.
[00:21:21.098 --> 00:21:21.978]  We have a bunch of clips of it.
[00:21:22.038 --> 00:21:25.260]  But get mad when Vivit Ramaswamy points that out.
[00:21:26.812 --> 00:21:32.638]  That ties into Barbados, I mentioned earlier, demands 4.9 trillion reparations from former slave-owning countries.
[00:21:33.119 --> 00:21:38.104]  It's all incredible divide-and-conquer strategies.
[00:21:39.186 --> 00:21:42.789]  We've got hundreds of news articles pulling their hair out.
[00:21:43.270 --> 00:21:46.594]  Tucker praises Alex Jones for years of accurate predictions.
[00:21:48.286 --> 00:21:53.307]  Israel needs two more months to win war, destroy Hamas despite ultimatum by U.S.
[00:21:53.787 --> 00:21:56.088]  and mounting pressure to cease fire.
[00:21:56.568 --> 00:21:57.948]  I want to know why Israel stood down.
[00:21:57.968 --> 00:21:59.408]  I don't support Hamas, can't stand them.
[00:22:00.468 --> 00:22:02.129]  I want to ask, what's the bigger picture here?
[00:22:02.189 --> 00:22:03.289]  Why was there a stand down?
[00:22:03.709 --> 00:22:07.930]  Why did O'Biden give six billion dollars to Iran a month before?
[00:22:07.950 --> 00:22:10.230]  That will all confirm there was an Israeli stand down.
[00:22:10.691 --> 00:22:17.532]   The larger issue is who is playing The different sides off against each other.
[00:22:18.073 --> 00:22:21.416]  That's the big question we've got to be asking and answering here.
[00:22:21.996 --> 00:22:27.741]  Mark Dice joins us in a moment to talk about 2024 election, the censorship, the control, the wars.
[00:22:28.362 --> 00:22:30.023]  The Elon Musk interview, he was part of it.
[00:22:30.864 --> 00:22:31.745]  What's going to happen?
[00:22:31.845 --> 00:22:32.405]  Epic interview.
[00:22:32.445 --> 00:22:35.368]  Vivek Ramaswamy, Mark Dice, General Flynn.
[00:22:37.367 --> 00:22:39.469]  Elon Musk.
[00:22:39.710 --> 00:22:40.691]  The interview was with me.
[00:22:40.711 --> 00:22:41.511]  It was my show.
[00:22:41.531 --> 00:22:45.535]  I was on as a guest, but I was the moderator.
[00:22:46.056 --> 00:22:46.837]  It was crazy.
[00:22:48.198 --> 00:22:49.499]  Absolutely wild.
[00:22:50.621 --> 00:22:51.542]  Jack Posobiec was there.
[00:22:52.651 --> 00:22:53.771]  It was amazing.
[00:22:54.172 --> 00:22:55.672]  But please remember, we're listener supported.
[00:22:55.712 --> 00:23:00.534]  Get a copy of my new book, The Great Awakening, The Plan to Defeat the Globalist, launched next week at Renaissance.
[00:23:00.994 --> 00:23:03.535]  At mfulworldstore.com, we have store-wide free shipping for Christmas.
[00:23:03.955 --> 00:23:07.036]  Double Patriot Points X2 and Turbo Force are back in stock.
[00:23:07.456 --> 00:23:10.217]  Just like our information is amazing, these are amazing products.
[00:23:10.576 --> 00:23:13.217]   and they fund the operation. So thank you all for your support.
[00:23:13.217 --> 00:23:22.737]   If you're shopping now at infowarestore.com or 888-253-3139, 888-253-3139 or infowarestore.com.
[00:23:22.737 --> 00:23:29.057]   TurboForce, back in stock. All right. Well, Vibhik Ramaswamy, myself, Congressman Matt Gates,
[00:23:29.057 --> 00:23:36.336]   Andrew Tate, Mark Dice, we were all there for a two-plus hour. I was supposed to be interviewed,
[00:23:36.336 --> 00:23:43.537]   but once I got on the Big Spaces show on X, I said very early on, I said,
[00:23:43.537 --> 00:23:46.176]   "I really don't want to make this about an interview about Alex Jones."
[00:23:46.381 --> 00:23:47.723]  We've got Elon Musk here.
[00:23:47.783 --> 00:23:53.108]  So I basically interviewed him and had people ask questions to Elon for over, he was there over two hours.
[00:23:53.889 --> 00:23:55.350]  It just ended about an hour ago.
[00:23:55.370 --> 00:23:57.732]  We're going to be posting the full thing to InfoWars.com.
[00:23:58.153 --> 00:23:59.134]  We're downloading it right now.
[00:23:59.194 --> 00:24:00.815]  The format they have is very hard to download.
[00:24:01.215 --> 00:24:02.717]  I'll be playing obviously clips tomorrow.
[00:24:03.697 --> 00:24:13.205]  But I wanted to get Mark Dice, Jack Posobiec, Steve Bannon, and a bunch of other people on the show the next few days.
[00:24:13.546 --> 00:24:14.587]  Because right now we're in the limelight.
[00:24:14.607 --> 00:24:15.828]  Everything we do gets millions of views.
