[00:00:04.622 --> 00:00:08.035]  You're gonna pay somewhere between 20% and 40% less than those other countries.
[00:03:37.557 --> 00:03:40.558]  That's not normal to have 20 shell companies.
[00:03:40.858 --> 00:03:48.700]  These things are not normal and it alludes to not only just widespread corruption, but money laundering, if not influence peddling itself.
[00:03:48.960 --> 00:03:49.720]  That's what we have.
[00:03:49.760 --> 00:03:54.141]  If you can't see that, if you are that blind, I'll turn it over to the attorneys.
[00:03:54.761 --> 00:03:55.442]  People can't see that.
[00:03:55.462 --> 00:03:56.623]  They think it's political revenge.
[00:03:56.643 --> 00:03:58.184]  It's because you don't report on it!
[00:04:00.086 --> 00:04:03.690]  I'm not sure how you know what the American people think, but here's what they might wonder.
[00:04:04.310 --> 00:04:13.907]   Actually, if you're a federal prosecutor, you would be asking yourself, How can there not have been an indictment for a FARA violation against Hunter Biden?
[00:04:14.447 --> 00:04:17.189]  I hate to face public servants, but it is true.
[00:04:17.550 --> 00:04:27.919]  Now that deep state tool Joe Biden has been thrown to the wolves, the country will enter a state of suspension, where foreign power infiltration can thrive.
[00:04:28.159 --> 00:04:36.466]  And once it's all said and done, Joe Biden will go down as the greatest national security threat the United States has ever endured.
[00:04:36.986 --> 00:04:50.181]  Recent actions from the Biden administration have made it clear that they are not only itching to create a digital dollar, but they're willing to trade Americans' right to financial privacy for a surveillance-style CBDC.
[00:04:50.382 --> 00:04:51.821]  John Bowne reporting.
[00:04:51.821 --> 00:05:07.822]  Welcome to the Alex Jones show, folks.
[00:05:07.904 --> 00:05:11.245]  I am your guest host today, Chase Geiser, filling in for the great Alex Jones.
[00:05:11.285 --> 00:05:21.868]  It is an honor and a pleasure to be with you this Sunday night, the Day of Our Lord, a day which is set to be a day of rest, but we are working because we know that the enemy never sleeps.
[00:05:22.488 --> 00:05:24.809]  Lots of crazy news coming in over this weekend.
[00:05:25.689 --> 00:05:33.233]  It's hard to even know where to start, but I think we're going to go ahead and start with the new developments regarding Russell Brand.
[00:05:33.253 --> 00:05:37.835]  Comedian Russell Brand denies rape, sexual assault accusations.
[00:05:38.176 --> 00:05:42.678]  Let's go ahead and go straight to clip seven and see Brand's response, and then we'll dive into the details.
[00:05:44.497 --> 00:05:45.698]  Hello there you Awakening Wonders.
[00:05:45.738 --> 00:05:54.646]  Now this isn't the usual type of video we make on this channel where we critique, attack and undermine the news in all its corruption, because in this story I am the news.
[00:05:54.966 --> 00:05:59.650]  I've received two extremely disturbing letters, or a letter and an email.
[00:06:00.110 --> 00:06:17.223]   One from a mainstream media TV company, one from a newspaper Listing a litany of extremely egregious and aggressive attacks, as well as some pretty stupid stuff, like my community festival should be stopped, that I shouldn't be able to attack mainstream media narratives on this channel.
[00:06:17.504 --> 00:06:26.890]  But amidst this litany of astonishing, rather baroque attacks, are some very serious allegations that I absolutely refute.
[00:06:27.791 --> 00:06:37.497]  These allegations pertain to the time when I was working in the mainstream, when I was in the newspapers all the time, when I was in the movies, and as I've written about extensively in my books, I was very, very promiscuous.
[00:06:37.717 --> 00:06:42.981]  Now during that time of promiscuity, the relationships I had were absolutely always consensual.
[00:06:43.201 --> 00:06:46.023]  I was always transparent about that then, almost too transparent.
[00:06:46.323 --> 00:06:48.944]  And I'm being transparent about it now as well.
[00:06:49.265 --> 00:06:58.370]  And to see that transparency metastasised into something criminal, that I absolutely deny, makes me question, is there another agenda at play?
[00:06:58.890 --> 00:07:02.132]  Particularly when we've seen coordinated media attacks before.
[00:07:02.432 --> 00:07:07.155]  Like with Joe Rogan when he dared to take a medicine that the mainstream media didn't approve of.
[00:07:07.395 --> 00:07:12.539]  And we saw a spate of headlines from media outlets across the world using the same language.
[00:07:12.859 --> 00:07:19.743]  I'm aware that you guys have been saying in the comments for a while, watch out Russell, they're coming for you, you're getting too close to the truth, Russell Brand did not kill himself.
[00:07:20.063 --> 00:07:25.167]  I know that a year ago there was a spate of articles, Russell Brand's a conspiracy theorist, Russell Brand's right wing.
[00:07:25.387 --> 00:07:30.190]  I'm aware of news media making phone calls, sending letters to people I know for ages and ages.
[00:07:30.490 --> 00:07:39.137]   It's been clear To me, or at least it feels to me, like there's a serious and concerted agenda to control these kind of spaces and these kind of voices.
[00:07:39.197 --> 00:07:41.418]  And I mean my voice along with your voice.
[00:07:41.679 --> 00:07:47.383]  I don't mind them using my books and my stand-up to talk about my promiscuous consensual conduct in the past.
[00:07:47.663 --> 00:07:53.127]  What I seriously refute are these very, very serious criminal allegations.
[00:07:53.448 --> 00:08:06.153]   Also, it's worth mentioning that there are witnesses whose evidence Directly contradicts the narratives that these two mainstream media outlets are trying to construct, apparently in what seems to me to be a coordinated attack.
[00:08:06.913 --> 00:08:17.337]  Now, I don't want to get into this any further because of the serious nature of the allegations, but I feel like I'm being attacked and plainly they are working very closely together.
[00:08:17.577 --> 00:08:21.885]  We are obviously going to look into this matter, because it's very, very serious.
[00:08:22.345 --> 00:08:29.417]  In the meantime, I want you to stay close, stay awake, but more important than any of that, if you can, please, stay free.
[00:08:30.916 --> 00:08:38.984]  Comedian and podcaster Russell Brand was accused of rape and sexual assault this week with the actor coming forth to refute the allegations as we just saw in that clip.
[00:08:39.324 --> 00:08:43.968]  According to the Daily Mail, Brand reportedly committed the alleged assault sometime between 2006 and 2013 when he worked for the BBC.
[00:08:43.988 --> 00:08:44.469]  The Mail reports...
[00:08:49.113 --> 00:08:58.315]  Four women have alleged sexual assault occurred between 2006 and 2013 when Brand was working for the BBC Radio 2 and Channel 4 as well as starring in Hollywood films.
[00:08:58.755 --> 00:09:08.836]  The actor and comedian is also facing claims of controlling, abusive, and predatory behavior following a joint investigation by the Sunday Times, The Times, and Channel 4 Dispatches.
[00:09:10.617 --> 00:09:12.277]  Jones came out and said, I stand with Russell Brand.
[00:09:12.477 --> 00:09:15.178]  Alex Jones refutes the Russell Brand rape claims.
[00:09:15.238 --> 00:09:16.958]  Go ahead and see what Alex had to say in Clip 05.
[00:09:21.075 --> 00:09:23.476]  The Matrix is coming after Russell Brandt.
[00:09:24.637 --> 00:09:33.342]  Anybody that challenges the globalists, anybody that challenges Big Pharma, anybody that's popular, that comes out against the establishment is going to be accused of assaulting women.
[00:09:34.203 --> 00:09:40.347]  Now, if you're Jeffrey Epstein's client list, that's as secret as what happened to JFK and the CIA.
[00:09:41.607 --> 00:09:43.128]  I know Russell Brand personally.
[00:09:43.168 --> 00:09:44.668]  I knew him back when he was married to Katy Perry.
[00:09:44.688 --> 00:09:45.849]  He's come on the show a few times.
[00:09:45.869 --> 00:09:47.269]  We've hung out some in Austin.
[00:09:47.750 --> 00:09:53.012]  I've never seen women throw themselves at anybody like with him.
[00:09:54.292 --> 00:09:57.553]  And I mean, I've seen the old footage of Elvis with women pulling their panties off, throwing them.
[00:09:58.034 --> 00:09:58.734]  It's like that, okay?
[00:09:59.174 --> 00:10:04.016]  At restaurants, at one of those events I went to, it was literally women jumping at us, okay?
[00:10:04.696 --> 00:10:05.897]  And he's a big guy in person.
[00:10:07.154 --> 00:10:10.858]  No one ever accused him for the last 15 years of assault.
[00:10:10.878 --> 00:10:11.899]  This thing's a big sweetheart.
[00:10:12.540 --> 00:10:19.988]  And now because he comes out against Big Pharma, he comes out against the Globalist, he comes out against the New World Order, suddenly the allegations are happening to him.
[00:10:20.469 --> 00:10:24.613]  They've had PIs out trying to get women to lie about me for years, but they haven't found a woman to do it yet.
[00:10:25.214 --> 00:10:27.277]  Because I haven't known many women, not like Russell Brand.
[00:10:27.297 --> 00:10:29.659]  This guy's, you know, this guy's a beast.
[00:10:29.699 --> 00:10:30.520]  He's like Errol Flynn.
[00:10:31.201 --> 00:10:36.888]  So that's incoming because they want to punish people and destroy people that decide to stand with humanity.
[00:10:37.329 --> 00:10:38.210]  I stand with Russell Brand.
[00:10:38.250 --> 00:10:39.231]  He's completely innocent.
[00:10:39.251 --> 00:10:44.097]  That's why we have a statute of limitations so people 10 years later can't make stuff up when you're ultra famous.
[00:10:44.617 --> 00:10:45.558]  They're doing it to everybody.
[00:10:45.598 --> 00:10:46.639]  They're doing it to Andrew Tate.
[00:10:46.859 --> 00:10:48.060]  They're trying to do it to Elon Musk.
[00:10:48.080 --> 00:10:48.801]  They're trying to do it to me.
[00:10:48.821 --> 00:10:49.941]  They're trying to do it to Paul Watson.
[00:10:50.462 --> 00:10:52.464]  They're trying to do it to anybody that stands up to them.
[00:10:52.484 --> 00:10:53.905]  But we know who the real predators are.
[00:10:53.925 --> 00:10:58.669]  And that's the globalist start in World War III with open borders and massive human smuggling.
[00:10:59.169 --> 00:11:01.891]  So as for me and my family, we're going to continue to tell the truth.
[00:11:02.432 --> 00:11:04.153]  As for M4, we're going to continue to tell the truth.
[00:11:04.573 --> 00:11:06.155]  And people have to realize this is a pattern here.
[00:11:06.415 --> 00:11:10.158]  Anybody challenges the New World Order, they come out and say you're a sexual assaulter.
[00:11:13.103 --> 00:11:23.047]  You can throw a rock and hit a white guy in the United States that's been falsely accused of sexual assault, especially one who is of political prominence, and even more especially someone who is not of the left.
[00:11:23.346 --> 00:11:27.225]   regardless of whether they're Republican, anyone considered right of center
[00:11:27.225 --> 00:11:31.346]  is susceptible and vulnerable to these false allegations.
[00:11:31.346 --> 00:11:35.105]   And the reason that this vulnerability exists is because they don't have to be true.
[00:11:35.105 --> 00:11:37.927]   All they have to do is allege that you've committed some sort of assault
[00:11:37.927 --> 00:11:38.865]  or some sort of crime.
[00:11:38.865 --> 00:11:42.606]   And even if they come out months later, or even the next day, and correct these articles,
[00:11:42.606 --> 00:11:46.506]   or say that some of the witnesses were found to be lying, or something was not consistent
[00:11:46.506 --> 00:11:49.826]   about the story of these allegations, even if they come out and correct the stories,
[00:11:49.826 --> 00:11:51.406]  the damage is already done.
[00:11:51.406 --> 00:11:53.466]  And this is the narrative of the left.
[00:11:53.466 --> 00:11:57.307]   This is the strategy, the tactic of the left regarding all those on the right.
[00:11:57.307 --> 00:11:58.146]  We'll get more into that.
[00:11:58.146 --> 00:12:02.745]   I wanna talk about how Elon Musk may be set to bring Alex Jones back to Twitter.
[00:12:02.745 --> 00:12:07.785]   He hasn't said so explicitly, but he did say no more canceling, enough is enough.
[00:12:07.979 --> 00:12:15.408]  Tech billionaire and ex-boss Elon Musk's latest indictment against cancel culture has many anticipating the return of radio host Alex Jones to the platform.
[00:12:15.669 --> 00:12:19.574]  He said no more cancelling, and in a now viral post, enough is enough.
[00:12:20.074 --> 00:12:32.104]  In response, I believe, to Ian Miles-Chiong's post, Musk was responding to social media influencer Ian Miles-Chiong calling out the coordinated nature and timing of the rape accusations against popular comedian and podcaster Russell Brand.
[00:12:32.524 --> 00:12:40.170]  Almost immediately, the denizens of X asked if Musk's sentiments meant the return of the most banned man on the internet, Alex Jones.
[00:12:40.931 --> 00:13:02.607]  So Elon hasn't explicitly stated that he would bring Alex Jones back as far as I understand it, but it does seem that he is increasingly perturbed by cancel culture and all of the antagonism against truth, all of the censorship of truth and the defamation of those on the right who are of upstanding character and fighting against the globalist New World Order.
[00:13:02.847 --> 00:13:04.889]  We're gonna cut to break and talk more about this in the next segment.
[00:13:05.389 --> 00:13:09.152]  Before we go to break, I do want to mention the real Red Pill Plus is back at 25% off.
[00:13:11.109 --> 00:13:16.016]  With the dangerous toxins that lie within our water, we know we need to filter out the bacteria.
[00:13:16.036 --> 00:13:21.583]  But as you age, filtering out all of those essential minerals as well can make you tired and slow.
[00:13:21.904 --> 00:13:27.792]  That's why our scientists worked day and night to bring back one of our most powerful supplements, the real Red Pill Plus from InfoWars Life.
[00:13:27.931 --> 00:13:32.051]   This proprietary formula was created to help you get all the important essential and trace
[00:13:32.051 --> 00:13:34.251]  minerals and nutrients your body needs.
[00:13:34.251 --> 00:13:36.450]  Make sure you visit Infowarsstore.com.
[00:13:36.450 --> 00:13:39.690]  Check out the Real Red Pill Plus, which is back at 25% off.
[00:13:39.690 --> 00:13:40.690]  And stick with us, folks.
[00:13:40.690 --> 00:13:47.450]   We will be back after this break with more news on this Sunday Night Live broadcast.
[00:13:47.450 --> 00:13:48.450]  That's tomorrow.
[00:13:48.450 --> 00:13:50.251]  And that is it for us today.
[00:13:50.251 --> 00:13:53.610]  Okay, I don't know.
[00:13:53.769 --> 00:13:55.730]  Whatever it is, it's not right on the teleprompter.
[00:13:55.750 --> 00:13:56.630]  I don't know what that is.
[00:13:56.690 --> 00:13:57.530]  I've never seen that.
[00:13:58.031 --> 00:13:59.631]  We are gonna do InfoWars.
[00:14:00.092 --> 00:14:00.332]  Yeah.
[00:14:00.492 --> 00:14:04.293]  Okay, but... Now, I can't read it.
[00:14:04.313 --> 00:14:05.734]  There's no words on it.
[00:14:06.294 --> 00:14:06.574]  Okay.
[00:14:07.275 --> 00:14:07.615]  Ready?
[00:14:09.115 --> 00:14:10.196]  There's no words there!
[00:14:10.356 --> 00:14:11.296]  To play us out!
[00:14:12.077 --> 00:14:12.657]  What does that mean?
[00:14:12.697 --> 00:14:13.537]  To play us out?
[00:14:15.078 --> 00:14:17.759]  Alex Jones is gonna do a new broadcast.
[00:14:20.400 --> 00:14:20.901]  Alright, go.
[00:14:21.041 --> 00:14:21.161]  Go.
[00:14:22.540 --> 00:14:28.502]  That's tomorrow, and that is it for us today, and we will leave you with a... I can't do it.
[00:14:29.763 --> 00:14:30.583]  We'll do it live.
[00:14:32.624 --> 00:14:33.645]  We'll do it live!
[00:14:34.305 --> 00:14:35.065]  Do it live!
[00:14:35.225 --> 00:14:41.308]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:14:41.868 --> 00:14:46.290]  Visit InfoWars.com forward slash show and share the link today.
[00:14:50.572 --> 00:14:52.958]  Welcome back to the Alex Jones Show.
[00:14:53.058 --> 00:14:56.866]  I am your host today, Chase Geyser, filling in for the great Alex Jones himself.
[00:14:58.558 --> 00:15:05.520]  We've been covering the Russell Brand allegations, which appear to be another example of hogwash lies coordinated from the left.
[00:15:05.940 --> 00:15:15.062]  I was doing a little bit of research on that story, and if you look at the threads of the original posters, they're like, we interviewed hundreds of people over years to corroborate these allegations.
[00:15:15.082 --> 00:15:26.545]  It's like, why are journalists interviewing hundreds of people about whether or not Russell Brand is a sexual assailant and literally doing no journalism whatsoever over the last several years?
[00:15:27.205 --> 00:15:38.312]  Regarding all of the crimes that Hunter Biden obviously committed with actual evidence in his own writing, from his own texts, from his own emails, from the laptop, which they lied about and is actually real.
[00:15:40.213 --> 00:15:55.203]  How many resources are you going to put into whether or not this former Hollywood star and successful podcaster is a sexual assailant when there's a much bigger, more important story regarding Biden corruption that's been going on for over a decade now?
[00:15:56.192 --> 00:15:59.196]  So, I just think that's a piece of evidence that this is a setup.
[00:15:59.336 --> 00:16:08.346]  They were saying they want to get Russell Brand for sexual assault and so they're going to make up a story and find people willing to allege that he committed these crimes.
[00:16:08.767 --> 00:16:12.807]   And the reason they do this is because they know that the more they frame the right wing
[00:16:12.807 --> 00:16:20.147]   as the enemy of the people or as this immoral sort of degenerate basket of deplorables,
[00:16:20.147 --> 00:16:24.147]   as Hillary Clinton would describe us, the more they frame us like this, the more that
[00:16:24.147 --> 00:16:27.387]  they can divide the country against us.
[00:16:27.387 --> 00:16:33.587]   And I had experience with that this week on my very own with my best friend for over 10
[00:16:33.587 --> 00:16:34.587]  years.
[00:16:34.587 --> 00:16:40.707]   I lived with in college for three years, somebody who was in my wedding party, somebody who
[00:16:40.707 --> 00:16:45.346]  I actually officiated the wedding of this person.
[00:16:45.346 --> 00:16:49.747]   And I reached out to my friend and I said, it's probably just me, but I've been getting
[00:16:49.747 --> 00:16:51.427]  a distant vibe from you lately.
[00:16:51.404 --> 00:16:52.225]  Is everything okay?
[00:16:52.866 --> 00:16:54.689]  And this is the response that he sends back to me.
[00:16:55.464 --> 00:16:57.045]  Man, we'll always be old friends.
[00:16:57.545 --> 00:17:00.007]  Our lives have taken us in incredibly different directions.
[00:17:00.407 --> 00:17:05.690]  I try constantly to reconcile my feelings of genuine brotherhood with you while being honest with myself.
[00:17:06.350 --> 00:17:10.633]  I think you, somewhere in the last two to three years, spun too far away.
[00:17:11.173 --> 00:17:17.577]  The people you have decided to align your life with are not people I want associated with me, even by second or third degree.
[00:17:18.177 --> 00:17:27.088]   I do fully respect that it's none of my business and you're providing for your family, and I respect that you've That you're allowed to say whatever you want.
[00:17:27.648 --> 00:17:29.189]  I don't intend to change your mind on anything.
[00:17:29.249 --> 00:17:31.110]  Truly, I know I wouldn't if I tried anyway.
[00:17:31.450 --> 00:17:34.351]  You're much too smart and driven to back down now.
[00:17:34.832 --> 00:17:35.832]  In a way, I respect that.
[00:17:36.052 --> 00:17:39.054]  I just wish I respected how you felt and what you said.
[00:17:39.474 --> 00:17:40.394]  It's just weird for me now.
[00:17:40.514 --> 00:17:46.097]  I realize it seems disingenuous to say I care about you and your family after all of the above, but I do still.
[00:17:46.637 --> 00:17:49.899]  I accept any weirdness as a consequence for saying all of this.
[00:17:50.936 --> 00:17:53.838]  So my friend broke up with me this week because I'm associated with InfoWars.
[00:17:54.539 --> 00:17:57.982]  And there's several things going on here that I think are of interest.
[00:17:58.302 --> 00:18:07.329]  The first thing I want to point out is that this post got 11.3 million impressions on Twitter this week, which did kick my account into monetization.
[00:18:07.369 --> 00:18:13.054]  So although I did lose my friend, I did make $112 on Twitter this week because of it.
[00:18:13.094 --> 00:18:14.415]  So I do appreciate that.
[00:18:14.515 --> 00:18:17.978]  I will be taking my wife on a date in appreciation of the loss of this friendship.
[00:18:18.758 --> 00:18:21.840]  But there's several things going on here that I want to point out.
[00:18:21.860 --> 00:18:26.963]  The first thing is, I think you, somewhere in the last two to three years, spun too far away.
[00:18:27.003 --> 00:18:30.005]  The first thing I want to say is that my politics have always been the same.
[00:18:30.345 --> 00:18:36.609]  I read The Fountainhead by Ayn Rand when I was 17 years old, and that's what kicked me on this journey of individualism versus collectivism.
[00:18:36.909 --> 00:18:38.951]  I'm not a disciple of Ayn Rand by any means.
[00:18:39.011 --> 00:18:39.671]  I believe in God.
[00:18:39.731 --> 00:18:40.912]  She was a devoted atheist.
[00:18:41.332 --> 00:19:05.247]  However, I do believe in her philosophy of objectivism to a large extent and I do believe in individualism over collectivism and doing what is right for you as an individual over compromising your own life and your own integrity for the sake of some state-sponsored altruistic philosophy which is really only designed to empower the globalists and enslave individuals worldwide.
[00:19:06.067 --> 00:19:09.369]  So my politics haven't changed over the last two to three years at all.
[00:19:09.409 --> 00:19:11.450]  My politics haven't really even changed over the last 10 years.
[00:19:11.490 --> 00:19:13.251]  What's changed is the political climate.
[00:19:13.911 --> 00:19:14.771]  That's what's changed.
[00:19:15.051 --> 00:19:25.897]  And ever since Trump lost the election, quote unquote, the political sentiment in the country, the political divide has gotten increasingly heated and it's only going to get worse.
[00:19:26.637 --> 00:19:34.361]  And in the context of the increased political tensions that are going on, the left is deciding to write off the right.
[00:19:35.731 --> 00:19:40.457]  The people you've decided to align with are not people I want associated with me even by second or third degree.
[00:19:40.837 --> 00:19:49.807]  First of all, we're only like six degrees of separation away from anyone, so to not be associated with someone by third degree is almost impossible in the current climate.
[00:19:53.372 --> 00:19:54.132]  And I just...
[00:19:57.455 --> 00:20:09.370]  The shame of it is when you have life experience with somebody for a decade and then you realize that the relationship is so fickle that it was dependent on your politics aligning the whole time.
[00:20:11.229 --> 00:20:14.772]  You realize that maybe your friends weren't even your friends to begin with?
[00:20:15.213 --> 00:20:16.374]  I guess that's the challenging thing of it.
[00:20:16.394 --> 00:20:23.620]  But the reason that I really want to talk about this is not just so that I can gripe publicly about what happened to me, but the fact that it got 11.3 million views.
[00:20:23.861 --> 00:20:31.527]  There were thousands upon thousands of replies of conservative voices saying, oh, my daughter won't speak to me anymore because of my politics.
[00:20:32.308 --> 00:20:34.449]  Or, oh, I lost my friend too of 20 years.
[00:20:34.809 --> 00:20:36.870]  This is not something that's just happening to me.
[00:20:37.190 --> 00:20:41.411]  It's not something that's just happening to political influencers or right-wing influencers.
[00:20:41.452 --> 00:20:46.113]  This is something that is happening to patriotic Americans all the way across the country.
[00:20:46.133 --> 00:20:49.495]  And you got to keep in mind, I knew that my friend here was a Biden supporter.
[00:20:49.555 --> 00:20:50.555]  I knew that he voted for Biden.
[00:20:50.595 --> 00:20:51.915]  I knew that he never voted for Trump.
[00:20:52.236 --> 00:20:52.956]  I didn't care.
[00:20:53.516 --> 00:20:59.682]  Because although I disagreed with him, I knew or assumed that he was doing what he did because of a misunderstanding, right?
[00:20:59.943 --> 00:21:02.425]  He had the right intentions, the right reasons.
[00:21:02.745 --> 00:21:08.731]  I believed he was wrong about those pretenses that he was using in order to make the decision to vote for Biden.
[00:21:08.791 --> 00:21:10.793]  Totally disagreed with him, but we didn't talk about politics.
[00:21:10.833 --> 00:21:12.275]  We just sort of agreed to disagree.
[00:21:12.515 --> 00:21:14.077]  This is not somebody who I was irritating.
[00:21:14.577 --> 00:21:28.970]  With my political views, it wasn't somebody who I was sending memes all the time, it's not somebody who I was badgering about their politics, this is somebody who I was willing to keep in my life because I believed he was a good friend, despite the fact that we disagreed politically.
[00:21:30.531 --> 00:21:43.266]   And the irony of it is, we are constantly called the party of hate, the party of division, the party of intolerance, but their hate for Trump Is greater than our hate for Biden.
[00:21:43.626 --> 00:21:50.730]  I can't think of anybody in the world who I disapprove of more than Biden and his administration, who makes me sick every time to see speak.
[00:21:51.871 --> 00:21:56.933]  But my hate for him was not enough to alienate me from my close friends and family.
[00:21:57.634 --> 00:22:09.000]  But their hate for Trump, their Trump derangement syndrome is so great that they will eradicate people from their lives who have any sort of political difference from them.
[00:22:10.063 --> 00:22:22.328]  My wife and I were doing some research on this and we found that suburban white liberal women are the most likely to cut off friends and family for their political views and I'm afraid that my friend Josh has become a suburban white liberal woman.
[00:22:22.348 --> 00:22:24.269]  Stick with us folks, we will be back after this break.
[00:22:24.309 --> 00:22:30.672]  Make sure you visit InfoWarsStore.com and keep us on the air with some of our great products for you and your loved ones.
[00:22:34.870 --> 00:22:36.974]  Welcome back to the Alex Jones Show, folks.
[00:22:37.154 --> 00:22:40.581]  I am your guest host today, Chase Geiser, filling in for the great Alex Jones.
[00:22:41.523 --> 00:22:46.792]  I know that when you tune in, you always want to see the OG, but it is an honor and a pleasure to be here.
[00:22:48.641 --> 00:22:57.645]  Substituting for him, and to be with you, our incredible guests, I wouldn't rather be speaking to any other audience in the world than this audience right here, right now.
[00:22:57.705 --> 00:23:07.450]  There's a new video out showing a child faced with a choice between cookies and a substantial monetary reward, and it's being highlighted as an example of why children shouldn't be allowed to choose their gender.
[00:23:07.529 --> 00:23:09.529]  Let's go ahead and check out clip four.
[00:23:09.529 --> 00:23:23.368]   Either have $10,000 cash or wait a minute, this two out of the box Oreo cookies.
[00:23:24.299 --> 00:23:25.340]  Oreo.
[00:23:26.301 --> 00:23:26.601]  Huh?
[00:23:27.382 --> 00:23:27.563]  Oreo.
[00:23:28.303 --> 00:23:28.784]  Are you sure?
[00:23:28.804 --> 00:23:30.065]  Yes.
[00:23:30.105 --> 00:23:31.127]  That's $10,000 cash.
[00:23:32.548 --> 00:23:37.093]  You want the Oreo cookies?
[00:23:37.494 --> 00:23:38.014]  Are you sure?
[00:23:38.034 --> 00:23:38.655]  Yes.
[00:23:39.937 --> 00:23:40.938]  Okay, go ahead.
[00:23:42.349 --> 00:23:48.112]  We've got another breaking story that includes a clip of a woman who also would have chosen the Oreos over the $10,000.
[00:23:48.172 --> 00:23:52.095]  Let's go ahead and go straight into clip three, and then we'll dive into the new developments with Dove.
[00:23:54.022 --> 00:24:00.068]  My belief is that we should be centering the voices and experiences of the most marginalized people and communities at all times.
[00:24:00.228 --> 00:24:10.998]  So when I think about what fat liberation looks like to me, it looks like centering the voices and the experiences of those who live in and who maneuver through spaces and institutions in a fat body.
