[00:00:00.169 --> 00:00:07.411]  Elon Musk's brain computer company Neuralink receives FDA approval to launch human clinical trial.
[00:05:21.257 --> 00:05:30.580]  Some of them are which still are embraced by the Ukrainian armies in eastern Ukraine, like the Azov Battalion, the Black Sun logo, and so much more.
[00:05:31.661 --> 00:05:32.381]  But it's frustrating.
[00:05:32.541 --> 00:05:34.162]  Those are leftists.
[00:05:36.224 --> 00:05:39.346]  Socialism is a leftist ideology.
[00:05:39.846 --> 00:05:50.211]  Why do I still have to sit here as an anti-socialist and respond to labels that somehow Nazism is a right-wing value?
[00:05:50.691 --> 00:05:51.551]  It's not.
[00:05:52.171 --> 00:05:55.493]  Socialism is a left-wing value.
[00:05:56.514 --> 00:06:05.209]   The National Socialist Workers Party of Adolf Hitler were the National Socialist Workers Party.
[00:06:05.209 --> 00:06:08.649]  Does that sound like right-wing or left-wing to you?
[00:06:08.649 --> 00:06:12.969]   Socialism is a left-wing ideology, but of course they put that at the top of the
[00:06:12.969 --> 00:06:19.529]   pyramid of far-right radicalization. So they take the worst of what the left is
[00:06:19.529 --> 00:06:24.968]   with the murderous, blood-drenched, socialist, communist regimes of the 20th
[00:06:24.968 --> 00:06:31.929]   century. They take the worst of what the left has to represent and they say nope that's you on the right.
[00:06:31.610 --> 00:06:34.411]  No, it is actually us on the right that defeated the Nazis.
[00:06:34.871 --> 00:06:35.071]  See?
[00:06:36.012 --> 00:06:40.814]  Here we are on this Friday, May 26th, 2023 edition of the Alex Jones Show.
[00:06:41.574 --> 00:06:46.596]  Owen Schroer broadcasting live from the InfoWars World Headquarters in Austin, Texas.
[00:06:48.428 --> 00:06:50.529]  Still on the air.
[00:06:50.989 --> 00:06:52.269]  Thank you, God.
[00:06:53.330 --> 00:06:55.490]  Thank you to the audience.
[00:06:55.930 --> 00:07:03.773]  We are still here fighting tyranny every day, fighting the fake news, the lies, the propaganda aimed against you, targeted at you.
[00:07:06.413 --> 00:07:07.974]  They thought we'd be off air by now.
[00:07:08.014 --> 00:07:12.475]  They thought they could silence us by now, but they haven't.
[00:07:13.836 --> 00:07:26.018]   So now they've ratcheted up with the US government And the American left, they have ratcheted up their attacks on the US citizens, they have ratcheted up their political persecution.
[00:07:27.659 --> 00:07:32.760]  They're at a bit of a stalemate on the censorship issue right now, with Elon Musk taking over Twitter.
[00:07:34.381 --> 00:07:35.061]  But believe me.
[00:07:37.546 --> 00:07:47.636]  Believe me, as we get closer to the 2024 election, ladies and gentlemen, I believe the political persecution will be ramped up and the censorship will be ramped up.
[00:07:47.856 --> 00:07:59.507]  This time, I think the American citizens are more aware of what to be ready for, what to be cautious of.
[00:08:01.104 --> 00:08:09.389]  And if they start rolling out the censorship again and the political persecution again, they will just continue to further expose themselves as the evildoers in this country.
[00:08:09.809 --> 00:08:17.633]  That being the corruption at the FBI, at the DOJ, the Biden administration, and everything else down the line.
[00:08:17.653 --> 00:08:22.196]  Now we're going to be talking more on that subject with Viva Free.
[00:08:23.496 --> 00:08:26.178]  From the Viva Free and Barnes podcast.
[00:08:26.318 --> 00:08:31.042]  So, Attorney Viva Free is going to be joining me to discuss that, as well as some other things.
[00:08:32.103 --> 00:08:33.164]  Viva Fry, thank you.
[00:08:33.624 --> 00:08:34.225]  Thank you, crew.
[00:08:34.845 --> 00:08:35.786]  Apologize to Viva.
[00:08:37.968 --> 00:08:41.651]  Now, one of the big stories this week.
[00:08:41.691 --> 00:08:43.252]  To me, there's two big stories this week.
[00:08:43.972 --> 00:08:48.016]  And I was thinking about just taking calls and asking you, what do you think is the big story?
[00:08:48.896 --> 00:08:50.698]  Once I get rid of all this news on my desk.
[00:08:52.219 --> 00:08:58.981]  The clear-cut corruption with the FBI and the Durham Report, and it's like seemingly nothing can get done.
[00:09:00.422 --> 00:09:08.384]  And we just have to sit here and accept that the FBI is totally corrupt, our government's totally corrupt, and it can be weaponized against you, and you have no recourse, you're doomed.
[00:09:12.105 --> 00:09:22.946]   With the DHS, with, well, rather the DOJ, the FBI, and the IRS, all running cover, all caught, All on record.
[00:09:24.747 --> 00:09:25.868]  Dozens of whistleblowers.
[00:09:25.988 --> 00:09:28.189]  We've heard from, I think, seven whistleblowers on this.
[00:09:28.530 --> 00:09:29.831]  Folks, there might be a hundred.
[00:09:31.712 --> 00:09:35.735]  A lot of these whistleblowers that are coming forward to members of Congress don't want to be known.
[00:09:36.155 --> 00:09:37.376]  They fear for their lives.
[00:09:37.936 --> 00:09:38.397]  Literally.
[00:09:39.618 --> 00:09:42.480]  They are scared for their lives.
[00:09:45.222 --> 00:09:50.866]  About being a whistleblower, calling out the corruption from the Biden crime family, calling out the corruption at the FBI, the IRS, what have you.
[00:09:52.688 --> 00:09:54.270]  I expect there to be more whistleblowers.
[00:09:54.750 --> 00:09:56.172]  I expect more people to go public.
[00:09:56.833 --> 00:10:04.240]  Sadly, I'm not sure what I expect from Republicans in Congress as far as doing the right thing or stopping all of this.
[00:10:06.583 --> 00:10:11.929]  Because they play this game of playing by the rules.
[00:10:13.476 --> 00:10:22.463]  And they still don't realize that playing by the rules is what loses because the Democrats and the corruption in the federal government, they don't play by the rules.
[00:10:23.143 --> 00:10:24.704]  So you're sitting here playing by the rules.
[00:10:24.945 --> 00:10:25.465]  They're not.
[00:10:28.047 --> 00:10:30.349]  You're sitting here shooting free throws from the free throw line.
[00:10:30.669 --> 00:10:32.410]  They're walking up, putting up layups.
[00:10:32.570 --> 00:10:33.851]  You're saying, hey, that's not a free throw.
[00:10:33.871 --> 00:10:34.712]  You're supposed to be at the line.
[00:10:34.732 --> 00:10:36.133]  They're saying, screw you, buddy.
[00:10:36.793 --> 00:10:38.014]  I made more baskets than you.
[00:10:39.095 --> 00:10:40.056]  Well, yeah, you're shooting layups.
[00:10:40.116 --> 00:10:40.776]  I'm shooting free throws.
[00:10:40.796 --> 00:10:41.457]  That's not fair.
[00:10:41.777 --> 00:10:42.578]  Well, that's your fault.
[00:10:44.246 --> 00:10:52.180]  Now I'm hearing mixed reports on what's going on with the debt negotiations with McConnell, excuse me, McCarthy and Biden today.
[00:10:53.274 --> 00:10:54.455]  Biden has another flub.
[00:10:54.935 --> 00:10:58.237]  He goes to Japan, he calls President Yoon, President Loon.
[00:10:59.118 --> 00:11:04.741]  Wow, what an embarrassment, what an insult to Japan from our embarrassment, Joe Biden.
[00:11:05.061 --> 00:11:05.862]  He does it again.
[00:11:06.302 --> 00:11:10.225]  Joe Biden screws up congressman's name and audience during White House event in Rose Garden.
[00:11:10.545 --> 00:11:14.728]  So they're protecting this decrepit old corrupt fool.
[00:11:15.228 --> 00:11:21.372]  They're protecting the so-called President of the United States that can't even wipe his own ass.
[00:11:22.978 --> 00:11:32.605]  And it's him and his son acting as foreign agents illegally, totally being covered up and protected by the FBI, the DOJ, and the IRS.
[00:11:33.005 --> 00:11:42.251]  So we'll be talking with Viva Frye about that, maybe taking your calls on that, as well as the other big story from this week.
[00:11:43.286 --> 00:11:48.774]  Which has to be the pushback against the sexual propaganda aimed at children.
[00:11:49.195 --> 00:11:50.036]  And that's what it is.
[00:11:50.377 --> 00:11:56.866]  And look, I'm not going to obsess over messaging on this because it really doesn't matter.
[00:11:58.755 --> 00:11:59.856]  We know what this is about.
[00:11:59.916 --> 00:12:04.338]  This isn't about adults consenting to whatever it is they want to do in privacy.
[00:12:04.938 --> 00:12:12.302]  This isn't about people that are adults wanting to mutilate their bodies or whatever else they're into sexually.
[00:12:12.362 --> 00:12:13.743]  That's not what this is about.
[00:12:14.063 --> 00:12:25.873]   So I'm not even going to sit here and respond To the left-wing commentary acting like this is transphobia or homophobia or that we're even addressing what adults like to do in their free time in their privacy.
[00:12:26.073 --> 00:12:27.975]  That's not what this is about.
[00:12:28.335 --> 00:12:29.537]  This is about the children.
[00:12:30.157 --> 00:12:37.965]  This is about the sexual propaganda and grooming and abuse of the children by the American left calling it pride.
[00:12:41.095 --> 00:12:47.241]  So I don't even think it's necessary to respond when they just say, you're just transphobic, you're just homophobic.
[00:12:47.621 --> 00:12:48.943]  You know that's not true.
[00:12:49.383 --> 00:12:51.145]  You know that's not what this is about.
[00:12:51.485 --> 00:12:53.007]  You know this is about the children.
[00:12:53.087 --> 00:12:54.028]  Stop lying.
[00:12:55.689 --> 00:12:59.052]  I don't even feel like we have to address that or really be concerned with the messaging.
[00:12:59.112 --> 00:13:00.234]  I think people see through it now.
[00:13:00.294 --> 00:13:01.535]  I think they know what's really going on.
[00:13:02.736 --> 00:13:04.418]  Especially when you see stories like this.
[00:13:05.816 --> 00:13:11.258]  Pride celebration organizers grapple with new Florida laws on drag and transgender rights.
[00:13:11.878 --> 00:13:16.039]  So, in other words, people that host pride parades.
[00:13:16.159 --> 00:13:21.501]  Now, what is the new Florida law that they're talking about?
[00:13:21.541 --> 00:13:29.624]  Well, the new Florida law says you can't do nude or lewd activities in public in front of children.
[00:13:31.044 --> 00:13:50.749]   Which is not even new laws, they just have to Reiterate and re-litigate this stuff now because the American left has turned everything... Like normally you wouldn't be able to show pornographic images to children in a classroom, but if you say it's LGBTQ+, then it's okay.
[00:13:52.347 --> 00:14:12.501]  Normally you wouldn't be able to go up to a child at a library or at a parade or in a restaurant and have a have a man in a in a leotard or in a thong with his bulge or his genitals popping out and him sticking his ass in the air in front of children.
[00:14:12.922 --> 00:14:19.126]  Normally that would already be illegal but when you say it's LGBTQ plus or pride then they are able to get away with it.
[00:14:19.306 --> 00:14:29.862]   Well so DeSantis has just directly addressed this In response to the pride sword and shield that the American left uses to go after children.
[00:14:30.422 --> 00:14:33.083]  And so he says, no, if you want to have your pride parades, that's fine.
[00:14:33.103 --> 00:14:36.865]  There'll be no nudity and there'll be no lewd content directed at children.
[00:14:37.165 --> 00:14:42.487]  And so the pride parade organizers are saying, well, well, I don't know what we're going to do now.
[00:14:45.648 --> 00:14:47.069]  I don't know what we'll do now.
[00:14:47.669 --> 00:14:47.969]  Really?
[00:14:48.009 --> 00:14:49.130]  So I guess that shows you everything.
[00:14:50.670 --> 00:14:56.112]   If they make a rule, You're not allowed to play basketball with a ball.
[00:14:56.652 --> 00:14:59.455]  Well, gee, I guess you don't have a game anymore, do you?
[00:15:00.295 --> 00:15:09.282]  So when you tell the gay pride parade organizers that you're not allowed to have nudity or lewd actions towards children, that's like the ball in basketball.
[00:15:09.522 --> 00:15:10.963]  There's no pride parade now.
[00:15:11.984 --> 00:15:13.385]  They don't know what to do.
[00:15:15.406 --> 00:15:16.988]  We can't be nude in public?
[00:15:17.901 --> 00:15:20.963]  We can't have lewd activity directed towards children?
[00:15:20.983 --> 00:15:23.144]  I don't know what we'll do!
[00:15:23.164 --> 00:15:29.608]  How are we going to have Pride Parade without a nudity or lewd actions at children?
[00:15:30.729 --> 00:15:31.870]  Oh, what will we do?
[00:15:31.890 --> 00:15:32.690]  Oh, the bigotry!
[00:15:33.091 --> 00:15:34.051]  Oh, the intolerance!
[00:15:34.171 --> 00:15:35.912]  Oh, the transphobia, the homophobia!
[00:15:36.793 --> 00:15:46.139]  No, I think it's pretty obvious now what's really going on when they set up Pride sections in the children's aisle and they have Pride toddler apparel.
[00:15:47.796 --> 00:15:52.800]  No, let's not, let's not, let's not be confused.
[00:15:53.380 --> 00:15:55.622]  It's directly targeting the children.
[00:15:57.083 --> 00:16:00.086]  So, those are the two big news stories this week.
[00:16:00.406 --> 00:16:03.408]  We'll have the rest of the news from today on the Alex Jones Show.
[00:16:04.609 --> 00:16:07.592]  So what does it represent?
[00:16:09.383 --> 00:16:22.011]  That gay pride parade organizers don't know how to respond to new legislation from Ron DeSantis that says you can't have nude or lewd activity in public at your parades.
[00:16:22.471 --> 00:16:24.413]  And they're saying, we don't know what to do now!
[00:16:25.533 --> 00:16:31.517]  We thought getting nude in the streets and having lewd activity for children, that's what our pride parades were all about!
[00:16:33.238 --> 00:16:37.001]  That's like saying you are going to play football without the football!
[00:16:38.320 --> 00:16:42.523]  If we can't target children with our nude, lewd activity, we don't have a Pride Parade!
[00:16:43.524 --> 00:16:45.005]  Tells you everything, actually, doesn't it?
[00:16:47.307 --> 00:16:53.572]  Now, the focus has been on Target, but there have been some other stories here, too.
[00:16:53.612 --> 00:16:57.455]  But, ladies and gentlemen, I've got to say, I'm changing my stance now, today.
[00:16:58.413 --> 00:16:59.634]  I'm changing my stance now today.
[00:16:59.694 --> 00:17:00.855]  I didn't realize how bad it was.
[00:17:00.975 --> 00:17:10.041]  As you can see on the screen, look at what conservatives have done to a target in response to the Pride section for kids.
[00:17:10.121 --> 00:17:12.823]  Just look at what they did.
[00:17:12.883 --> 00:17:16.126]  They went into this target and they completely destroyed it.
[00:17:16.506 --> 00:17:27.254]  White supremacists going around target to target and completely destroying it and looting it and leaving it in complete shambles.
[00:17:28.942 --> 00:17:33.775]  And so I think it's time for us to really do some self-reflecting here.
[00:17:35.115 --> 00:17:48.764]  And I think it's time for us to really look at these images that you see on the screen and realize that this type of activity is unacceptable and should not be promoted or endorsed by anyone.
[00:17:48.804 --> 00:17:56.609]  Just look at these white supremacist Christians looting a target, stealing everything, walking out the front door, bashing in the windows.
[00:17:57.430 --> 00:17:59.792]  You can see the damage, you can see the destruction.
[00:18:00.612 --> 00:18:01.776]  You can see the chaos.
[00:18:01.796 --> 00:18:03.200]  Just look at the white supremacists.
[00:18:03.240 --> 00:18:04.745]  Look at the conservative Christians.
[00:18:05.427 --> 00:18:06.790]  Look at the Republican voters.
[00:18:08.271 --> 00:18:11.353]  And so this is all footage that we're just seeing now for the first time.
[00:18:11.434 --> 00:18:12.354]  I can't even believe it.
[00:18:12.855 --> 00:18:16.357]  They just walk right into a target and they just steal anything they want.
[00:18:16.918 --> 00:18:18.179]  They walk right into the target.
[00:18:18.219 --> 00:18:19.540]  They light things on fire.
[00:18:20.140 --> 00:18:23.623]  It causes the fire alarms to go off and the sprinklers to go off.
[00:18:23.643 --> 00:18:28.767]  Then everything in the store gets ruined because of the overflow of water.
[00:18:30.368 --> 00:18:34.371]  I mean, just the lack of respect, the lack of decency.
[00:18:35.972 --> 00:18:41.136]  The violence, the crime, the criminal activity, the just complete destruction of these stores.
[00:18:41.156 --> 00:18:42.196]  Look at these white supremacists.
[00:18:43.077 --> 00:18:44.858]  Look at these homophobes.
[00:18:45.438 --> 00:18:56.125]  Look at these transphobes as they go into Target to protest Pride Month and they steal everything they want and they light the buildings on fire and they loot it.
[00:18:57.345 --> 00:19:25.040]   And so at this point in time, anybody who is not condemning this activity And anybody who is not calling out these white supremacists, and anybody who is not calling out these Christian conservatives and their vile, disgusting behavior in response to Pride Month by looting targets and destroying targets, smashing their windows, burning their stores to the ground, we have to do some serious self-reflecting here, folks.
[00:19:25.060 --> 00:19:27.841]  Look at that white supremacist running out with all that stolen merchandise.
[00:19:28.881 --> 00:19:38.204]  Uh, and so my mind has obviously been changed, and we cannot condone this type of violence at Target in response to Pride Month.
[00:19:38.224 --> 00:19:39.885]  It just, it cannot be had.
[00:19:39.905 --> 00:19:41.525]  I mean, just look at this image.
[00:19:42.025 --> 00:19:45.887]  Look at what the homophobes have done to Target.
[00:19:46.787 --> 00:19:56.273]  Just look at what the conservative Christian Republicans have done to targets, all because of the Pride section for children.
[00:19:56.854 --> 00:20:01.197]  Christian conservatives, Republicans, burning targets to the ground, looting them.
[00:20:02.625 --> 00:20:06.770]  Just total chaos, total destruction, total criminal activity.
[00:20:07.551 --> 00:20:11.396]  And so, folks, we have to call this out.
[00:20:11.436 --> 00:20:15.301]  We have to join the American left in condoning this activity at Target.
[00:20:16.022 --> 00:20:16.823]  It's too much.
[00:20:17.084 --> 00:20:19.086]  It's violent criminal activity.
[00:20:20.177 --> 00:20:25.540]  And it must be stopped in response to the pride displays for kids at Targets.
[00:20:25.620 --> 00:20:27.301]  This violence cannot go on.
[00:20:27.781 --> 00:20:29.662]  This intolerance cannot go on.
[00:20:31.583 --> 00:20:35.625]  Over a hundred Targets had to be shut down because of this activity.
[00:20:35.665 --> 00:20:44.550]  Here it is again, more white supremacist Christian conservatives in response to the pride section for kids stealing and looting and burning and running rampant.
[00:20:45.210 --> 00:20:46.691]  It just must be stopped, folks.
[00:20:47.011 --> 00:20:48.192]  It's just too much.
[00:20:50.166 --> 00:20:51.326]  Oh, oh, what's that now?
[00:20:51.987 --> 00:20:54.267]  I'm sorry, I'm getting some information in my ear here.
[00:20:55.668 --> 00:21:01.350]  Oh, oh, this is not the Pride protests that we're witnessing here?
[00:21:01.370 --> 00:21:09.592]  This is not conservative Christians and Republicans running in and looting Target and doing smash and grabs and burning Targets to the ground in the middle of the night?
[00:21:10.113 --> 00:21:11.173]  Wait, this isn't the Pride?
[00:21:12.810 --> 00:21:13.330]  Protest?
[00:21:14.090 --> 00:21:23.153]  This isn't conservative Christians upset that isn't Target boarding up their windows and doors because the conservatives upset that they're aiming pride propaganda at children?
[00:21:23.733 --> 00:21:24.753]  That's not what this is?
[00:21:24.813 --> 00:21:29.814]  I'm not watching conservative Christians doing smash and grabs at Targets to protest pride?
[00:21:30.915 --> 00:21:31.055]  Oh.
[00:21:32.755 --> 00:21:34.136]  Oh, that's... Oh, I'm sorry.
[00:21:34.196 --> 00:21:34.536]  Wait, what?
[00:21:35.896 --> 00:21:39.417]  Oh, this is... Oh, this is the... These are Democrats?
[00:21:40.506 --> 00:21:44.827]  Wait a second, but I was told, hold on, these are Democrats here?
[00:21:45.368 --> 00:21:47.468]  These are, wait, this is the American left?
[00:21:48.649 --> 00:21:56.251]  Wait, you're telling me I'm watching footage of the American left doing smash and grabs at targets all across the country that resulted in 175 of them closing?
[00:21:57.052 --> 00:22:06.915]  Wait a second, you're telling me I'm looking at liberals from Black Lives Matter and Antifa groups doing smash and grabs and looting runs and targets, completely destroying them?
[00:22:08.442 --> 00:22:09.022]  Wait a second.
[00:22:09.062 --> 00:22:09.502]  Hold on.
[00:22:09.542 --> 00:22:13.464]  But I... But I saw the outrage!
[00:22:14.304 --> 00:22:20.226]  But I saw the outrage from the American left because somebody walked into a Target and said they didn't like the pride section for kids.
[00:22:20.286 --> 00:22:21.466]  I saw the left's outrage.
[00:22:21.846 --> 00:22:23.987]  You're telling me this is how they behave at Target?
[00:22:25.147 --> 00:22:25.547]  Wait a second.
[00:22:25.727 --> 00:22:25.887]  Wait.
[00:22:26.508 --> 00:22:26.908]  You're telling...
[00:22:27.847 --> 00:22:34.890]  Hold on, you're telling me that I am supposed to be listening to these people when it comes to morals and how to protest?
[00:22:35.350 --> 00:22:37.491]  Hold on, I'm confused, this can't be!
[00:22:38.211 --> 00:22:38.511]  No!
[00:22:39.431 --> 00:22:39.691]  No!
[00:22:40.612 --> 00:22:51.816]  Surely, surely I'm being deceived, surely my eyes are not... This isn't, no, this isn't the American left's response to something they didn't like that has nothing to even do with Target!
[00:22:53.365 --> 00:22:55.989]  Oh my gosh, I've... I've been tricked!
[00:22:56.830 --> 00:22:57.671]  I've been had!
[00:22:58.912 --> 00:23:00.915]  I can't even... They got one by me!
[00:23:02.397 --> 00:23:04.760]  This is the American left destroying targets!
[00:23:05.819 --> 00:23:13.342]  This is the Democrat Party promoted activity destroying targets, the smash and grabs, the looting, the breaking of the windows, the fires.
[00:23:14.362 --> 00:23:15.022]  But how?
[00:23:15.483 --> 00:23:20.324]  But they... I... I... But they said that we were bad!
[00:23:21.225 --> 00:23:24.666]  Because a couple people were upset with the Pride section for kids!
[00:23:25.486 --> 00:23:27.247]  I thought that was... that was them?
[00:23:28.627 --> 00:23:30.268]  Wait, that was the American left?
[00:23:31.673 --> 00:23:33.454]  The American left that scolded you?
[00:23:34.475 --> 00:23:37.057]  Because you didn't like a pride section for kids at Target?
[00:23:37.097 --> 00:23:38.678]  The American left that scolded you?
[00:23:38.998 --> 00:23:41.540]  Because you filmed the tuck clothing for children?
[00:23:42.701 --> 00:23:44.222]  The chest binders for children?
[00:23:45.243 --> 00:23:47.404]  The pride for toddlers for children?
[00:23:48.765 --> 00:23:50.887]  The one, wait, that was them?
[00:23:52.828 --> 00:23:53.869]  They were the ones?
[00:23:54.830 --> 00:23:56.031]  Telling you you're bad?
[00:23:57.834 --> 00:23:58.875]  I don't understand!
[00:23:59.535 --> 00:24:00.596]  How could this be?
[00:24:00.676 --> 00:24:01.996]  The American left, no!
[00:24:03.797 --> 00:24:09.420]  And I'm joined by Viva Frye, great lawyer and show host.
[00:24:09.580 --> 00:24:13.762]  The Viva Frye podcast also goes on with Robert Barnes.
[00:24:14.122 --> 00:24:17.304]  VivaBarnesLaw.Locals.com.
[00:24:18.184 --> 00:24:23.827]  And Viva, I mean, there's all kinds of stuff we can talk about today, but let's deal with the elephant in the room.
[00:24:23.887 --> 00:24:26.949]  Let's deal with the big monstrosity that we're all looking at here.
[00:24:28.120 --> 00:24:37.264]  We now know for a fact, it's unequivocal, the FBI, the IRS, the DOJ have been running cover and protection for the Biden crime family.
[00:24:37.664 --> 00:24:42.526]  It is essentially the sword and the shield of the Democrat Party corruption at this point.
[00:24:43.086 --> 00:24:50.369]  Multiple whistleblowers, at least seven on record that we know of, my guess is dozens are still behind the wings waiting to go public.
[00:24:50.789 --> 00:24:54.751]  Viva, you see this, what goes through your head as a lawyer?
[00:24:56.645 --> 00:25:05.792]  I, what goes through my head, I think back to what Alex Jones said when he was on for a sidebar on Wednesday night where he said, they use the same tactics over and over again.
[00:25:05.832 --> 00:25:07.994]  It's the same play in the playbook over and over again.
[00:25:08.795 --> 00:25:11.417]  What's amazing is that it continues to work over and over again.
[00:25:11.797 --> 00:25:25.738]   We've, in recent memory, in the last, it's now seven years, eight years, we've lived through exposing the 2016 Russiagate As a, basically as a disguised coup, if it was disguised at all.
[00:25:25.758 --> 00:25:29.201]  It was a non-violent coup to unseat an elected president.
[00:25:29.261 --> 00:25:42.272]  We now know that that was entirely fabricated by the DNC in collusion with intelligence that was using the media to, you know, leak and launder disinformation to undermine a duly elected president.
[00:25:42.975 --> 00:25:53.060]  Come fast forward to 2020, we now know that intelligence knew that the Hunter Biden laptop, which they told the world was, you know, bore the earmarks of Russia disinformation.
[00:25:53.500 --> 00:26:03.805]  They had had it in their possession since 2019, knew it was legitimate, knew it was authentic, as they were meeting with big tech social media platforms to censor the truth in advance of the 2020 election.
[00:26:04.225 --> 00:26:14.733]   And now we're seeing them handing down sentences in January 6th that, you know, make Putin Look equally bad by comparison, 18 years for Rhodes for seditious conspiracy.
[00:26:15.113 --> 00:26:25.779]  And now we know that basically they've been working with or at the very least to help the Biden family get into power because I guess, you know, you have to destroy democracy in order to preserve it.
[00:26:26.434 --> 00:26:41.268]  Well, correct me if I'm wrong here, too, because I keep seeing this judge now in the Rhodes case, apparently, before he leaves the courtroom, gets a little lecture, like she's his professor or something in a college course, gives him a lecture on stuff.
[00:26:41.849 --> 00:26:43.410]  Is that par for the course?
[00:26:43.430 --> 00:26:44.791]  Have you seen this before as a lawyer?
[00:26:44.831 --> 00:26:48.215]  Like, the judge, like, she's at a lectern lecturing students?
[00:26:50.031 --> 00:27:04.298]  I trained in Quebec, I only did civil law, so I have no experience with criminal or federal American cases, but this is what it looks like, at least to me, and you know, other people can disagree if their experience says otherwise.
[00:27:05.478 --> 00:27:14.624]   This is like, it's like political activism on the bench, and they've gone from being judges to being You know, lecturers of sorts.
[00:27:15.304 --> 00:27:16.464]  I don't think it's normal.
[00:27:16.504 --> 00:27:25.987]  I think what it shows is the deep inherent bias of these judges who are adjudicating in cases where they perceive themselves to have been the victims or the targets.
[00:27:26.287 --> 00:27:35.189]  I mean, everything that we're seeing now out of the judicial system from January 6th, you basically have judges who view themselves as having been the target of the insurrection.
