[00:00:00.029 --> 00:00:01.792]  Drudge Report captured operation.
[00:02:27.625 --> 00:02:31.110]  Supreme Court right now by the media, the attacks on Clarence Thomas and more.
[00:02:31.491 --> 00:02:33.293]  This is a dark day for our republic.
[00:02:33.794 --> 00:02:34.735]  They're making their move.
[00:02:35.919 --> 00:02:43.326]  When all these indictments of Trump blew up in their face and made his approval rating go up even higher, 10, 15 points about Biden, they didn't stop.
[00:02:44.126 --> 00:02:51.953]  So now they're moving, and have been successful in Colorado, to take him off the ballot so you can't vote for him.
[00:02:52.353 --> 00:02:53.494]  The definition.
[00:02:54.435 --> 00:02:56.197]  of stealing an election.
[00:02:56.697 --> 00:02:59.320]  We'll be covering this all live tomorrow at 11 a.m.
[00:02:59.420 --> 00:03:04.084]  Central on the Alex Jones Show at mfulwards.com forward slash show.
[00:03:04.104 --> 00:03:07.407]  You can follow us right here at X. But this is incredible.
[00:03:07.527 --> 00:03:10.149]  And look, it shows what tyrants do throughout history.
[00:03:10.469 --> 00:03:16.675]  When they're cornered, when a bureaucracy, when a coup is exposed, it digs in and it goes for broke.
[00:03:17.235 --> 00:03:18.196]  And this has happened right now.
[00:03:18.536 --> 00:03:25.175]   Remember, they've indicted him Federally for saying the election was stolen in 2020 when there's massive evidence.
[00:03:25.676 --> 00:03:30.538]  But regardless, when you think about that evidence, this is open election meddling.
[00:03:30.578 --> 00:03:34.360]  This is saying you can't vote for who you want to.
[00:03:34.380 --> 00:03:39.023]  And they just did it last year in Brazil, when Bolsonaro questioned the election.
[00:03:40.424 --> 00:03:45.166]  The State Department went down there and got their government to pass a law saying Bolsonaro can't run for president either.
[00:03:45.186 --> 00:03:46.627]  That's what they're doing.
[00:03:46.867 --> 00:03:50.009]  They're telling you who you can and can't vote for.
[00:03:50.925 --> 00:03:53.407]  Infowars.com, tomorrow's news today.
[00:03:53.888 --> 00:03:59.412]  The tyrants are up in your grill, but the good news is humanity's awakened and it's not going along with us.
[00:03:59.832 --> 00:04:04.156]  But 2024, just days away, is going to be spectacularly crazy.
[00:04:05.057 --> 00:04:11.202]  As Dorothy says in The Wizard of Oz, Toto, we're not in Kansas anymore.
[00:04:12.742 --> 00:04:17.987]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[00:04:18.448 --> 00:04:22.712]  Visit InfoWars.com forward slash show and share the link today.
[00:04:24.433 --> 00:04:27.336]  Ladies and gentlemen, it is Wednesday, December 20th, 2023.
[00:04:27.216 --> 00:04:34.216]  20th, 2023. I'm your host Alex Jones. Emergency broadcast.
[00:04:34.441 --> 00:04:38.303]  The Democratic Party is officially establishing a permanent dictatorship in America.
[00:04:38.823 --> 00:04:44.546]  This coup is not just against Trump, but the American people's right to elect who they want to represent them.
[00:04:45.347 --> 00:04:52.490]  A permanent dictatorship with a flimsy ceremonial vestigial election system.
[00:04:53.391 --> 00:04:54.852]  You think they're going to just stop at Trump?
[00:04:55.872 --> 00:04:56.353]  Think again.
[00:04:56.173 --> 00:05:08.651]   320 days 12 hours 56 minutes 12 seconds until judgment day All right, here's the bottom line.
[00:05:09.371 --> 00:05:11.092]  This has never been used against a president.
[00:05:12.332 --> 00:05:13.372]  It's in the 14th Amendment.
[00:05:13.412 --> 00:05:15.232]  I've got the Constitution printed out right here.
[00:05:15.252 --> 00:05:26.235]  Legal experts all agree, unless you're a Democrat, they're lying, that no one could be barred if they're not convicted of insurrection.
[00:05:28.055 --> 00:05:29.436]  They call it an insurrection.
[00:05:29.496 --> 00:05:31.316]  No one's been convicted of an insurrection.
[00:05:32.836 --> 00:05:37.141]  And Trump certainly hasn't been convicted of an insurrection.
[00:05:37.201 --> 00:05:39.062]  So it's just a total fraud.
[00:05:39.103 --> 00:05:45.829]  But you look at the Supreme Court justices in Colorado, they're just a bunch of political hacks.
[00:05:47.391 --> 00:05:53.237]  And all this is going to do is make Trump more popular because they're telling the public, you can't have what you want.
[00:05:53.257 --> 00:05:53.858]  But here's the problem.
[00:05:54.946 --> 00:05:59.730]  The Democratic Party, Hollywood, the mayors all over the country, our congresspeople.
[00:05:59.750 --> 00:06:00.971]  I've got a bunch of news today.
[00:06:01.411 --> 00:06:03.633]  All hell is breaking loose.
[00:06:04.954 --> 00:06:06.355]  It's Wednesday, December 20th.
[00:06:07.496 --> 00:06:13.201]  I come to you from deep in the heart of Texas, Austin, broadcasting and transmitting worldwide.
[00:06:14.402 --> 00:06:19.526]  All right, we have a huge broadcast with a bunch of special guests and all hell breaking loose, as I just said.
[00:06:20.689 --> 00:06:28.293]  On Jeffrey Epstein on the client list and Trump being taken off the ballot by the Democrat Party Supreme Court justices there.
[00:06:28.653 --> 00:06:30.994]  Total election theft in our faces.
[00:06:31.475 --> 00:06:36.257]  Huge news on the battlefronts in Israel and in Europe.
[00:06:37.117 --> 00:06:37.658]  Ukraine.
[00:06:39.178 --> 00:06:43.861]  It's just massive and we're going to do our best to go over all of it today.
[00:06:45.299 --> 00:06:50.041]  Obviously front and center is going to be Trump being taken off the ballot in Colorado.
[00:06:51.202 --> 00:06:54.123]  And then Crenshaw of Texas supporting it.
[00:06:54.463 --> 00:06:55.664]  Oh my God, he's horrible.
[00:06:56.644 --> 00:06:57.765]  But he has an eye patch.
[00:06:57.785 --> 00:06:58.885]  People have a thing for veterans.
[00:06:59.005 --> 00:07:00.806]  I love veterans, but not Benedict Arnold.
[00:07:01.666 --> 00:07:05.388]  I mean, we've got Vivek Ranaswamy saying he's going to withdraw from Colorado ballot.
[00:07:05.828 --> 00:07:07.249]  He said other Republicans should.
[00:07:07.269 --> 00:07:12.431]  To his credit, DeSantis has come out and said the same thing, that he doesn't support what's happening.
[00:07:13.552 --> 00:07:26.858]   We've got Massive news on that front, and then what we do is what other folks don't do, and I wish everybody did this, but we connect it in to the State Department that supposedly oversees elections around the world, unless they're overthrowing your government.
[00:07:26.878 --> 00:07:31.563]  They went down last year and set it up where Bolsonaro has been banned from running for president for eight years.
[00:07:31.603 --> 00:07:32.464]  They admit they were behind that.
[00:07:32.965 --> 00:07:38.050]  And they go around to all these other countries and say, oh, you're outlawing people voting for who they want.
[00:07:38.090 --> 00:07:43.257]   You're pulling Candidates off the ballot, I got a bunch of examples around the world of U.S.
[00:07:43.378 --> 00:07:52.326]  sanctions against Venezuela, other countries, because they're pulling the same communist, totalitarian, fascistic tyranny.
[00:07:53.727 --> 00:07:56.590]  I mean, this is dyed in the wool.
[00:07:56.730 --> 00:07:59.432]  If this was an alcoholic beverage, it's 200 proof tyranny.
[00:07:59.813 --> 00:08:04.197]  It's solid, thoroughbred, triple crown evil.
[00:08:05.387 --> 00:08:08.229]  It is redonkulous how naked it is.
[00:08:08.289 --> 00:08:19.117]  Trump, never convicted of anything, not convicted of insurrection, told people to go peacefully to the Capitol, had a permit for us to be there, but even before he finished speaking, the provocateurs had attacked.
[00:08:20.478 --> 00:08:22.119]  This is so incredible.
[00:08:22.219 --> 00:08:30.365]  So let's just go ahead and plow into this right now, ladies and gentlemen, and I'll show you all the documents, the Constitution, the articles.
[00:08:31.980 --> 00:08:33.082]  Everything that I just mentioned.
[00:08:33.502 --> 00:08:35.064]  I got four stacks on this, breaking.
[00:08:35.625 --> 00:08:38.268]  Colorado Supreme Court disqualifies Trump for the 2024 ballot.
[00:08:38.789 --> 00:08:40.732]  Supreme Court to make final decision.
[00:08:42.287 --> 00:08:43.388]  And it continues here.
[00:08:43.748 --> 00:08:46.111]  Here is the Supreme Court justices in Colorado.
[00:08:46.531 --> 00:08:47.832]  Look at these turds.
[00:08:48.733 --> 00:08:52.336]  Colorado Supreme Court yesterday disqualified Trump from the 2024 ballot.
[00:08:52.797 --> 00:08:54.859]  The legal theories are based on Section 3 of the U.S.
[00:08:54.899 --> 00:09:01.204]  Constitution, 14th Amendment, which states public officials who have engaged in insurrection or rebellion may be disqualified from public office.
[00:09:01.224 --> 00:09:03.707]  But there was no trial, no jury.
[00:09:04.227 --> 00:09:06.950]  Judges don't get to decide unless you're in North Korea.
[00:09:09.312 --> 00:09:12.173]  But oh, a judge is deciding Trump's fate in New York.
[00:09:12.893 --> 00:09:18.115]  Judges found my fate in the Sandy Hook stuff in Texas and Connecticut.
[00:09:19.956 --> 00:09:28.619]  This is judicial tyranny and it is a legal coup by the ambulance chasers over our country.
[00:09:29.200 --> 00:09:32.461]  Just look at those sacks of garbage.
[00:09:33.766 --> 00:09:36.308]  They're totally discrediting the Justice Department.
[00:09:36.328 --> 00:09:38.150]  They're totally discrediting the judiciary.
[00:09:38.190 --> 00:09:39.632]  Not all the judiciary is bad.
[00:09:40.112 --> 00:09:41.333]  I'm not going to say they're all bad.
[00:09:41.433 --> 00:09:49.461]  I know quite a bit are good, but they're getting more and more of their key people in a unanimous Democrat court, and that's the crap you get.
[00:09:49.761 --> 00:09:53.565]  Venezuela-style garbage saying you can't vote for who you want to.
[00:09:54.827 --> 00:09:58.088]  They impeached Trump twice, but it failed to convict him in the Senate.
[00:09:58.789 --> 00:10:03.270]  Arrested and indicted him four X times and charged him 91 plus times.
[00:10:04.331 --> 00:10:09.333]  That didn't work, so now the Colorado Supreme Court has ruled that they are removing him from the 2024 ballot.
[00:10:09.733 --> 00:10:11.454]  It looks like other states will follow.
[00:10:12.876 --> 00:10:14.857]  Saving democracy by ending it.
[00:10:15.697 --> 00:10:21.239]  I have the Trump statement on this that I'm going to read to you.
[00:10:22.159 --> 00:10:25.460]  Trump campaign statement on the Colorado Supreme Court ruling.
[00:10:26.140 --> 00:10:43.986]   Unsurprisingly, the All Democrat-appointed Colorado Supreme Court has ruled against President Trump's supporting a Soros-funded left-wing group's scheme to interfere in an election on behalf of a crooked Joe Biden by removing President Trump's name from the ballot and eliminating the rights of Colorado voters to vote for the candidates of their choice.
[00:10:44.407 --> 00:10:49.527]   Democrat party leaders are in a state of paranoia over the growing dominant
[00:10:49.527 --> 00:10:51.326]  lead president Trump has amassed.
[00:10:51.326 --> 00:10:56.287]   And the polls, they have lost faith in the failed Biden presidency are now
[00:10:56.287 --> 00:10:59.447]   doing everything they can to stop the American voters from throwing
[00:10:59.447 --> 00:11:00.687]  them out of office next November.
[00:11:00.687 --> 00:11:04.567]   The Colorado Supreme court issued a completely flawed decision tonight
[00:11:04.567 --> 00:11:08.647]   and will swiftly file an appeal to the United States Supreme court and a
[00:11:08.647 --> 00:11:13.047]   concurrent request for a stay of this deeply undemocratic decision.
[00:11:13.487 --> 00:11:15.487]  We have full confidence in the U.S.
[00:11:15.178 --> 00:11:15.739]  Supreme Court.
[00:11:16.219 --> 00:11:20.705]  We'll quickly rule in our favor and finally put an end to these un-American lawsuits.
[00:11:21.105 --> 00:11:23.608]  Stephen Cheung, Trump campaign spokesperson.
[00:11:26.672 --> 00:11:31.839]  Biba Free, lawyer, great guy, smart talk show host, said this, and you can look this up, it's true.
[00:11:32.915 --> 00:11:35.597]  Number one, Trump was never convicted of insurrection.
[00:11:35.737 --> 00:11:38.479]  Number two, no one involved in January 6th was convicted of insurrection.
[00:11:38.599 --> 00:11:39.760]  They just said it a million times.
[00:11:40.120 --> 00:11:42.702]  Number three, Trump was never charged with insurrection.
[00:11:42.982 --> 00:11:45.804]  Number four, no one involved in January 6th was charged with insurrection.
[00:11:46.064 --> 00:11:52.669]  Number five, Trump was acquitted on the second impeachment of charges that related to the events of January 6th.
[00:11:53.089 --> 00:11:56.432]  Number six, the 14th Amendment Section 3 does not apply to the President.
[00:11:59.714 --> 00:12:00.635]  Want me to keep going here?
[00:12:02.930 --> 00:12:08.012]  This is absolutely outrageous.
[00:12:08.032 --> 00:12:11.753]  I want to play a clip of Vivek Ramaswamy last night.
[00:12:11.813 --> 00:12:16.435]  He's on the show in an hour and 15 minutes today.
[00:12:16.455 --> 00:12:17.495]  A real leader.
[00:12:18.335 --> 00:12:21.136]  No way he's a sleeper cell or operative, folks.
[00:12:21.516 --> 00:12:22.937]  He's doing devastating.
[00:12:25.100 --> 00:12:26.020]  Damage to the globalists.
[00:12:26.521 --> 00:12:28.802]  You don't do that when you are with them.
[00:12:28.862 --> 00:12:32.443]  You do what Crenshaw just did, and I've got his tweet here.
[00:12:33.283 --> 00:12:36.045]  When Vivek Ramaswamy said, I'm pulling out of Colorado and others should.
[00:12:36.505 --> 00:12:37.505]  Boycotting this fraud.
[00:12:38.265 --> 00:12:38.906]  He said, good.
[00:12:40.586 --> 00:12:42.287]  You should pull yourself off all the ballots.
[00:12:42.887 --> 00:12:44.888]  He supports this evil.
[00:12:46.009 --> 00:12:46.509]  Crenshaw.
[00:12:49.124 --> 00:12:52.786]  He's the biggest liar in the Republican Party and makes me want to throw up.
[00:12:52.806 --> 00:12:55.988]  We need him to be voted out of office.
[00:12:56.008 --> 00:12:57.169]  He is disgusting.
[00:12:58.129 --> 00:13:01.171]  He's a disgusting, disgusting person.
[00:13:01.351 --> 00:13:02.012]  I'll show you that.
[00:13:03.452 --> 00:13:05.974]  Hell, I'll just show it to you right now before I play the Vivint Ramaswani Club.
[00:13:06.834 --> 00:13:11.377]  Ramaswani pledges to withdraw from Colorado ballot amid Trump removal.
[00:13:11.457 --> 00:13:12.538]  And here's Dan Crenshaw.
[00:13:12.858 --> 00:13:15.760]  Maybe he should just withdraw from all the other states too.
[00:13:17.250 --> 00:13:18.591]  And then he's out there supporting this.
[00:13:19.212 --> 00:13:20.192]  Wow!
[00:13:21.333 --> 00:13:33.462]  Dan Crenshaw, the gay pirate, is literally saying you can't vote for who you want.
[00:13:35.104 --> 00:13:38.346]  Man, he is disgusting.
[00:13:39.627 --> 00:13:45.423]   Ron DeSantis, Joins calls against Trump's removal from the Colorado primary ballot.
[00:13:45.503 --> 00:13:47.084]  Good for DeSantis.
[00:13:47.484 --> 00:13:51.326]  DeSantis was great until he got all those neocon advisors and then he went south.
[00:13:51.867 --> 00:13:53.307]  I want to rehabilitate DeSantis.
[00:13:53.347 --> 00:13:54.108]  I want him to stop it.
[00:13:54.788 --> 00:13:55.208]  I like him.
[00:13:56.649 --> 00:13:58.050]  And I just wish it would stop.
[00:13:58.450 --> 00:13:59.871]  But it's not stopping.
[00:14:01.432 --> 00:14:02.332]  We're going to skip this break.
[00:14:02.412 --> 00:14:04.874]  Let's play the Vivek Ramaswamy clip from last night.
[00:14:05.794 --> 00:14:08.316]  And then I'm going to show you the State Department.
[00:14:09.415 --> 00:14:10.416]  Constitution, all of it.
[00:14:10.816 --> 00:14:12.457]  Because we're not like mainstream media here.
[00:14:12.498 --> 00:14:15.139]  We don't just say things and then not show it to you.
[00:14:15.400 --> 00:14:18.922]  We neurotically show you everything.
[00:14:20.824 --> 00:14:22.085]  I was on Crowder's show today.
[00:14:23.045 --> 00:14:24.386]  I was putting myself down.
[00:14:24.406 --> 00:14:25.307]  He said, why are you doing that?
[00:14:25.327 --> 00:14:25.848]  You need to stop.
[00:14:26.068 --> 00:14:26.728]  Well, no, no, no, no.
[00:14:27.869 --> 00:14:28.890]  Because I'm a sinner, folks.
[00:14:28.950 --> 00:14:29.851]  I've made big mistakes.
[00:14:31.091 --> 00:14:41.034]   And I was making the point that Madeleine Albright bragged about tripling sanctions on Iraq that killed 2 million people.
[00:14:41.455 --> 00:14:45.916]  The time she did the interview, it was halfway through it, so she killed a million, half of them children, over the age of 10.
[00:14:46.417 --> 00:14:49.118]  And she said, yeah, we killed them, we'd do it again, it was a good price to pay.
[00:14:49.138 --> 00:14:52.339]  And I said, I've never killed anybody, and I've got to be banned everywhere.
[00:14:52.359 --> 00:14:54.660]  And I went, whoa, whoa, wait, I've actually killed some of my children.
[00:14:55.701 --> 00:14:59.402]  Not proud of it, but I knew what I was doing, I believed the lies, I was a teenager.
[00:14:59.442 --> 00:15:03.004]  Girls are like, you know, I wouldn't push them to have abortions, but they're like, give me 300 bucks.
[00:15:04.665 --> 00:15:05.406]  And I did that.
[00:15:05.426 --> 00:15:08.627]  So I admit that so people that have had abortions can know you can be forgiven.
[00:15:08.908 --> 00:15:09.608]  You can repent.
[00:15:09.988 --> 00:15:10.849]  God will give you a mission.
[00:15:11.689 --> 00:15:13.450]  You're probably gonna go through some hell and pittance.
[00:15:15.431 --> 00:15:18.493]  But, you know, God judges the heart, okay?
[00:15:18.513 --> 00:15:23.656]  I mean, King David sent his best friend off to get murdered on a suicide mission because he was lusting after his wife.
[00:15:23.676 --> 00:15:25.637]  But he later completely repented and it was real.
[00:15:26.017 --> 00:15:27.038]  So God forgave him.
[00:15:28.854 --> 00:15:33.217]  So yeah, I say terrible things about myself that are true because I want you to know I'm real, folks.
[00:15:33.738 --> 00:15:35.079]  And reality is what matters.
[00:15:36.060 --> 00:15:39.362]  And being bonafide and being the real McCoy, we're going to bring that back.
[00:15:40.683 --> 00:15:42.264]  That's what this broadcast is all about.
[00:15:42.524 --> 00:15:45.066]  But that means you've got to be honest when you're wrong.
[00:15:46.227 --> 00:15:48.049]  Because that's an example to others, ladies and gentlemen.
[00:15:49.190 --> 00:15:52.232]  All right, so let's go to this vivid clip that I'll get into the State Department information.
[00:15:53.254 --> 00:16:02.077]  They have just tried to bar President Trump from the Colorado ballot using an unconstitutional maneuver that is a bastardization of the 14th Amendment to our U.S.
[00:16:02.137 --> 00:16:02.838]  Constitution.
[00:16:03.338 --> 00:16:10.521]  This was a provision, Section 3, that was designed to bar Confederate members, people who switched to the Confederacy, from actually being able to serve.
[00:16:10.961 --> 00:16:13.842]  That's very different than what's at issue here, to say the least.
[00:16:14.522 --> 00:16:17.545]  This is a hollowed out husk of what the country was built on.
[00:16:18.145 --> 00:16:25.271]  The basic principle that we the people select our leadership, not the unelected elite class in the back of palace halls.
[00:16:25.651 --> 00:16:28.033]  That's old world Europe, not the United States.
[00:16:28.694 --> 00:16:40.183]  That's why I'm making a pledge today that I will withdraw, I pledge to withdraw from the Colorado GOP primary ballot unless and until Trump's name is restored.
[00:16:41.300 --> 00:16:45.662]  And I demand that Ron DeSantis and Chris Christie and Nikki Haley do the same thing.
[00:16:46.142 --> 00:16:54.246]  Or else these Republicans are simply complicit in this unconstitutional attack on the way we conduct our constitutional republic.
[00:16:54.727 --> 00:16:56.087]  I refuse to be complicit in that.
[00:16:56.428 --> 00:16:57.588]  I think what they're doing is wrong.
[00:16:58.068 --> 00:17:03.211]  And I think it's up to Republicans to step up and stand up with a spine for our country's future.
[00:17:03.731 --> 00:17:04.812]  That's really what's at stake.
[00:17:05.212 --> 00:17:08.894]  Whether we the people actually have a say in deciding who leads this country.
[00:17:09.514 --> 00:17:16.002]  Yes, it would be easier for other Republicans like me who are running in this race to say, hey, if Trump is sidelined, there's our opportunity.
[00:17:16.042 --> 00:17:20.086]  No doubt other candidates are probably privately celebrating with their corporate sponsors.
[00:17:20.487 --> 00:17:21.488]  That's not the right thing to do.
[00:17:22.048 --> 00:17:26.473]  I think the most useful thing that every GOP candidate can do right now is to join me in that pledge.
[00:17:27.014 --> 00:17:32.216]  I'll say that I will withdraw from that Colorado GOP primary ballot until Trump's name is restored.
[00:17:32.616 --> 00:17:38.999]  This belongs to the people, not to the unelected Democratic cabal of judges in Colorado or any other state.
[00:17:39.499 --> 00:17:48.243]  And I demand that Ron DeSantis and Nikki Haley and Chris Christie do the same thing, or else they're complicit in what this security state is trying to do to shut down Trump.
[00:17:48.683 --> 00:17:50.764]  I stand by that and I expect them to do the right thing.
[00:17:52.841 --> 00:18:00.571]  That's Vivek Ramaswamy barreling down the road on his provost coach as a Paul Revere warning the people.
[00:18:00.951 --> 00:18:01.872]  Emergency broadcast.
[00:18:01.892 --> 00:18:04.515]  Democratic Party is officially establishing a permanent dictatorship in America.
[00:18:05.096 --> 00:18:10.182]  This coup is not just against Trump, but the American people's right to elect who they want to represent them.
[00:18:11.553 --> 00:18:14.115]  So I give Vivek, in that little two-minute clip, an A+, a 95.
[00:18:14.456 --> 00:18:22.342]  If he wants a 100, he's got to say it's a permanent deep state coup over America, and this is a red alert, because that's what it is.
[00:18:22.883 --> 00:18:34.913]  And when you're faced with tyranny of this magnitude, we all tend to kind of glaze over it and just back off a little, because it sounds crazy to say we've got a permanent judicial deep state coup attempting to take over.
[00:18:35.514 --> 00:18:36.254]  They pretty much have.
[00:18:36.935 --> 00:18:41.637]   Well, if you don't admit the situation you're in, You're not going to get out of it.
[00:18:43.518 --> 00:18:55.005]  If you're driving down the road, you come to Death Valley, and it says the last gas station, no fuel for 60 miles, no water for 60 miles, and your tank's on E, and you say, well, I'm going to deny what that says.
[00:18:55.065 --> 00:18:55.726]  It's too negative.
[00:18:55.986 --> 00:18:57.847]  I'm going to imagine I've got a full tank of gas.
[00:18:57.987 --> 00:18:59.588]  You're going to run out of gas in the middle of Death Valley.
[00:19:00.589 --> 00:19:03.471]  So it's not negative to admit where you are.
[00:19:03.571 --> 00:19:06.633]  And folks, we are in the hands of a bunch of criminals.
[00:19:06.673 --> 00:19:07.674]  And here's what's really dangerous.
[00:19:08.934 --> 00:19:09.315]  Listen to me.
[00:19:10.342 --> 00:19:13.903]  You think they've taken us this far and pulled all this crazy stuff?
[00:19:14.723 --> 00:19:19.105]  And totally flooded the border and shipped in fentanyl and devalued the dollar and launched all these wars?
[00:19:20.866 --> 00:19:22.426]  And are censoring and surveilling everybody?
[00:19:23.326 --> 00:19:24.807]  And now they're criminally coming after Elon Musk?
[00:19:26.327 --> 00:19:27.828]  Not just in the EU, but here domestically?
[00:19:29.451 --> 00:19:30.831]  They haven't gotten started!
[00:19:31.832 --> 00:19:35.053]  And then if we let them completely take over, boy, then we're really in trouble.
[00:19:35.313 --> 00:19:50.317]  We have a group of maniacs who feel invincible, who get away with all this crap, who are a bunch of arrogant lawyers mainly, who all get together in committees and sneak around behind the scenes and think they can do anything they want to us whenever they want.
[00:19:52.697 --> 00:19:53.457]  We got a problem.
[00:19:53.617 --> 00:19:55.258]  It's like you go to the doctor and you got a big lump.
[00:19:58.089 --> 00:20:00.790]  And they buy them, see, and they go, yeah, this is cancer.
[00:20:00.810 --> 00:20:01.650]  We gotta cut this out.
[00:20:03.471 --> 00:20:06.212]  We got cancer, folks, and I'm not sure we're gonna even make it, okay?
[00:20:06.232 --> 00:20:07.293]  I mean, it's bad.
[00:20:08.913 --> 00:20:13.455]  And what these psychos running things don't get is, I can extrapolate out the different scenarios.
[00:20:13.635 --> 00:20:15.356]  I think most of you can too, probably better than me.
[00:20:17.096 --> 00:20:19.677]  If they were smart, they've already stolen trillions of dollars.
[00:20:19.697 --> 00:20:24.779]  They can still run around at their ski slopes and their villas and their mistresses and all the rest of it.
[00:20:25.060 --> 00:20:26.020]  They're not stopping.
[00:20:28.829 --> 00:20:38.592]  So where they're taking the world to total war and this de-industrialization nightmare plan they've got to control everybody is going to destroy them guaranteed!
[00:20:38.612 --> 00:20:41.133]  It's gonna cause massive wars.
[00:20:41.293 --> 00:20:42.373]  Every analysis shows it.
[00:20:42.694 --> 00:20:43.614]  They're crazy.
[00:20:45.194 --> 00:20:52.197]  But they control the Justice Departments of the Western world and they literally rape children.
[00:20:53.317 --> 00:20:55.838]  Power corrupts, absolute power corrupts, absolutely, as Lord Acton said.
[00:20:57.808 --> 00:21:01.631]  And so they've never been held to account, and so the sky's the limit.
[00:21:01.671 --> 00:21:04.053]  They're all into different stuff, but it's all about deviance.
[00:21:05.514 --> 00:21:07.255]  It's all about seeing what they can get away with.
[00:21:07.755 --> 00:21:12.459]  Oh, take down all these Christian monuments, but oh, a little satanic one gets knocked over and CNN freaks out.
[00:21:15.131 --> 00:21:16.532]  They are degenerates.
[00:21:16.592 --> 00:21:17.552]  They're a death cult.
[00:21:17.913 --> 00:21:18.973]  They're a power cult.
[00:21:19.314 --> 00:21:20.494]  And they're going to destroy us all.
[00:21:20.794 --> 00:21:23.116]  Here's Rachel Maddow.
[00:21:23.136 --> 00:21:24.737]  He's climbed out from under a rock.
[00:21:25.517 --> 00:21:27.438]  And listen to what this guy's got to say.
[00:21:27.499 --> 00:21:27.879]  Here it is.
[00:21:28.599 --> 00:21:30.340]  We're all just trying to absorb this.
[00:21:31.863 --> 00:21:39.946]  I mean, listen, I think in the broad strokes, in terms of our democracy, there are very few magic wands.
[00:21:41.567 --> 00:21:50.170]  There are very few sort of magic spells that you cast that make a complex and difficult problem go away.
[00:21:50.190 --> 00:21:53.672]  It just doesn't happen very often in our political system.
[00:21:54.212 --> 00:21:56.933]  And I think that we shouldn't be under any illusions.
[00:21:58.245 --> 00:22:05.971]  About the character and the partisan inclinations, among other things, of this current Supreme Court as it is constituted.
[00:22:06.871 --> 00:22:11.254]  That said, this is not a crazy thing for a democracy to do.
[00:22:11.334 --> 00:22:16.918]  This is something that was a hallmark of post-war Germany after World War II.
[00:22:16.978 --> 00:22:19.980]  This is something that happened at Jair Bolsonaro in Brazil quite recently.
[00:22:20.301 --> 00:22:28.502]   This is something that our own Congress did in 1868 after our own civil war specifically to preclude anybody from
[00:22:28.502 --> 00:22:31.591]   holding office in this country who had engaged in insurrection against this
[00:22:31.591 --> 00:22:36.361]   country and so it's it's not unheard of but it's it would it would be an
[00:22:36.361 --> 00:22:43.732]   incredible wildcard yeah she knows it's gonna get overturned now oh she's like
[00:22:43.732 --> 00:22:49.906]   oh we just did this to Oh, because he won all over the country, but one city that was evidence of fraud.
[00:22:49.926 --> 00:22:52.447]  So he talked about it, but he still stood down.
[00:22:53.188 --> 00:22:55.348]  And then they bar him from running for office for eight years.
[00:22:56.209 --> 00:23:03.992]  Dems, two months ago, will lift sanctions on Venezuela, but only if Maduro stops disqualifying his political opponents.
