[00:00:00.000 --> 00:00:15.000]  [MUSIC]
[00:02:30.068 --> 00:02:34.329]  We have gotten into it, and I will get into it in a moment.
[00:02:34.749 --> 00:02:36.609]  But now let's move to his death.
[00:02:37.809 --> 00:02:39.030]  He was on suicide watch.
[00:02:39.850 --> 00:02:42.570]  Reportedly, they don't know he tried to kill himself or somebody attacked him.
[00:02:43.351 --> 00:02:44.671]  That's a sign of a cover-up right there.
[00:02:45.751 --> 00:02:50.292]  Then they take him off suicide watch 12 days before he supposedly dies.
[00:02:51.980 --> 00:02:53.922]  None of this is by the book.
[00:02:53.982 --> 00:02:56.564]  In fact, it's all exactly against the book.
[00:02:57.264 --> 00:02:58.325]  Now, let's expand on that.
[00:02:58.725 --> 00:03:09.014]  Looking at the comments on YouTube, the comments on mainstream news stories, the comments on InfoWars.com and NewsWars.com, most people think he's in the Witness Protection Program and that they staged his death.
[00:03:10.086 --> 00:03:27.791]  At a fundamental gut level, I don't really think that's the case because they want to get rid of somebody that has all this information and who's been caught red-handed because dead men tell no tales and it's a threat to all the other witnesses that, hey, you think the Clinton death count at 200-something is big?
[00:03:28.191 --> 00:03:30.052]  You think we won't add your names to that list?
[00:03:30.772 --> 00:03:33.533]  That's why I think Epstein was probably actually killed.
[00:03:34.133 --> 00:03:37.596]  But then, of course, there's the official story that he committed suicide.
[00:03:37.656 --> 00:03:38.936]  That's why we need the video.
[00:03:39.077 --> 00:03:39.697]  But it gets worse.
[00:03:40.578 --> 00:03:46.202]  You know how easy it is to deepfake anything you want, especially with CCTV cameras?
[00:03:46.962 --> 00:03:52.086]  So the truth is, what we really can take away from this is that there's no confidence in the system.
[00:03:52.546 --> 00:04:02.851]  There's no confidence in the establishment and they've been caught lying so many times in so many ways and faking and staging things that it's reasonable for people to think he's in the witness protection program.
[00:04:03.151 --> 00:04:04.992]  It's reasonable to think he committed suicide.
[00:04:05.172 --> 00:04:08.574]  It's reasonable to think that they killed him and said it was a suicide.
[00:04:09.615 --> 00:04:13.076]  It's reasonable to not believe a damn word we're told.
[00:04:13.777 --> 00:04:14.417]  But what do we know?
[00:04:15.658 --> 00:04:18.259]  Trump has said he wanted Epstein investigated years ago.
[00:04:19.096 --> 00:04:20.076]  First time was four years ago.
[00:04:20.116 --> 00:04:21.437]  He's been saying it all over the news.
[00:04:21.797 --> 00:04:26.880]  He's been helping open all of this up, and he's been helping have massive transparency.
[00:04:27.140 --> 00:04:35.563]  But every time the media talks about it, they say, Donald Trump's friend Jeffrey Epstein, who is just a fellow billionaire, they were at parties together off and on publicly for a few years.
[00:04:36.044 --> 00:04:43.547]  Not on the aircraft 20-plus times with Bill Clinton, with children's names blacked out only as initials.
[00:04:44.227 --> 00:04:46.388]  Think about that, ladies and gentlemen.
[00:04:47.049 --> 00:04:49.689]   So again, This isn't about protecting Donald Trump.
[00:04:49.709 --> 00:04:52.191]  It's not about anything that's political.
[00:04:52.412 --> 00:04:54.073]  It's about children, ladies and gentlemen.
[00:04:54.293 --> 00:05:13.209]  And the sick, evil media is sitting there making it all about politicians and people that had almost no connection to Epstein, but not making it about Bill and Hillary Clinton, Israeli Prime Ministers, and all these other people that were on board that aircraft, at that pedophile island, and at other overseas facilities.
[00:05:13.870 --> 00:05:20.350]  Again, I cannot stress enough the two central hubs to this.
[00:05:20.350 --> 00:05:26.389]   A, this guy was running a massive international blackmail sex operation with of age and under
[00:05:26.389 --> 00:05:30.548]   age individuals and this could bring down the entire deep state.
[00:05:30.548 --> 00:05:31.749]  That's why it's so important.
[00:05:31.749 --> 00:05:35.269]  But the second point is no one is buying the official story.
[00:05:35.269 --> 00:05:39.548]   So it shows really a coming of age with the American people and others that they're not
[00:05:39.548 --> 00:05:44.870]   so naive and that all of these shadowy forces can engage in all the censorship they want
[00:05:44.870 --> 00:05:48.470]   and try forever to suppress the truth, but it's all going to come out.
[00:05:48.470 --> 00:05:53.069]   Just like the Bible says, no matter how deep you hide something in the sea, it's going
[00:05:53.069 --> 00:05:58.829]   to get thrown up on the shore and what you are working hardest to cover up will end up
[00:05:58.829 --> 00:06:00.389]  coming out at high noon.
[00:06:00.373 --> 00:06:01.574]  And that's what's happening right now.
[00:06:01.634 --> 00:06:04.176]  So more than ever, no, we've got these guys on the run.
[00:06:04.496 --> 00:06:05.617]  We've got them on their heels.
[00:06:06.198 --> 00:06:07.359]  They're going to pull a lot of crap.
[00:06:07.379 --> 00:06:08.560]  They're going to stage a lot of events.
[00:06:08.920 --> 00:06:14.405]  They've got Hollywood cranked up on high, pushing race war and division between the sexes and demoralization.
[00:06:14.765 --> 00:06:16.326]  The Chai comms are funding the whole thing.
[00:06:16.346 --> 00:06:17.627]  They've bought up 90% of the major agencies.
[00:06:19.929 --> 00:06:29.113]  But the people see through all of this and we're in the process of retaking our country and actually governing ourselves again and getting out of this world government project.
[00:06:29.694 --> 00:06:31.414]  Now again, I'm not here taking credit.
[00:06:32.255 --> 00:06:38.578]  It's just on the record that we were the first and the strongest exposing this international child kidnapping blackmail ring.
[00:06:39.018 --> 00:06:40.258]  And that's why we've been demonized.
[00:06:40.619 --> 00:06:41.959]  That's why they've tried to silence us.
[00:06:42.319 --> 00:06:43.080]  But they failed.
[00:06:43.740 --> 00:06:53.624]  But just yesterday at my hotel, I had a group of five leftists, looked like a bunch of young lawyers, come over in front of my 11-year-old daughter and say, we hope you kill yourself, we hope you die.
[00:06:53.924 --> 00:06:55.644]  And I said, look at how evil you are.
[00:06:55.904 --> 00:07:02.467]  You serve Hillary, you serve the deep state, all this stuff that's going on, you are aiding and abetting it.
[00:07:03.307 --> 00:07:04.968]  And they basically crapped their pants.
[00:07:05.008 --> 00:07:06.948]  And then I said, get behind me, Satan!
[00:07:07.408 --> 00:07:08.829]  And they scurried off like rats.
[00:07:10.282 --> 00:07:11.643]  I was right about the pedophile rigs.
[00:07:11.903 --> 00:07:13.304]  Get on and risk my life to do it.
[00:07:13.484 --> 00:07:14.465]  But that isn't what matters.
[00:07:14.965 --> 00:07:18.768]  If you don't speak out and take action, ladies and gentlemen, you're aiding and abetting these people.
[00:07:19.801 --> 00:07:24.325]  On the airplane out here to San Diego, flying out yesterday morning, we just learned this was happening.
[00:07:24.525 --> 00:07:25.606]  Shot a video out there.
[00:07:26.027 --> 00:07:27.068]  Uploaded to our own system.
[00:07:27.648 --> 00:07:28.289]  And guess what happened?
[00:07:29.089 --> 00:07:34.114]  People on the plane heard us talking, and they said, a bunch of Democrats, they said, that's good!
[00:07:34.754 --> 00:07:36.376]  That's good that Hillary killed Epstein.
[00:07:36.396 --> 00:07:37.897]  Because I was saying, I bet, you know, Hillary's behind it.
[00:07:38.218 --> 00:07:40.119]  That shows you how she's a tough leader.
[00:07:40.319 --> 00:07:41.661]  That's why we needed her in the White House.
[00:07:42.141 --> 00:07:43.763]  And I heard a bunch of other Democrats go, yeah!
[00:07:44.083 --> 00:07:45.224]  Yeah, good, they killed him!
[00:07:46.018 --> 00:07:49.179]  They have converted their general voters to basically Satanists.
[00:07:49.920 --> 00:07:51.360]  It's unbelievable.
[00:07:51.401 --> 00:07:53.902]  They will hope I die in front of my children.
[00:07:54.482 --> 00:08:00.525]  They will cheer, oh, Hillary killed Epstein, because they think they're in on some big powerful thing.
[00:08:01.165 --> 00:08:01.765]  Yeah, you are.
[00:08:01.865 --> 00:08:03.346]  You're in the Satan system.
[00:08:03.626 --> 00:08:06.087]  You're damn right you're dialed into something evil and dark and old.
[00:08:07.748 --> 00:08:13.089]  I'm not serving your God, Left, and all your intimidation and all your threats only make me work harder.
[00:08:13.290 --> 00:08:14.210]  Do you understand that?
[00:08:14.790 --> 00:08:25.973]  And our listeners and viewers, they understand what's happening, and it doesn't matter how much you censor us, they're going to share this video and these links because we've built our own system to cut through your propaganda and to cut through your electronic Berlin Wall.
[00:08:27.013 --> 00:08:30.514]  There's going to be a lot more coming out and a lot more big revelations, so get ready.
[00:08:31.254 --> 00:08:32.095]  Thank you all for watching.
[00:08:31.915 --> 00:08:42.254]  Now, please share this video.
[00:08:42.405 --> 00:08:44.146]  I love tuning in to Owen Schroer.
[00:08:44.506 --> 00:08:45.867]  I love all the other shows we do here.
[00:08:46.268 --> 00:08:47.169]  But I'll be honest with you.
[00:08:48.009 --> 00:08:52.433]  We run during the breaks a lot of news reports because I'm sick of hearing the ads.
[00:08:53.354 --> 00:08:54.995]  So you think you don't want to hear an ad?
[00:08:55.015 --> 00:08:55.836]  I don't want to hear an ad.
[00:08:56.517 --> 00:08:57.277]  But here's the bottom line.
[00:08:58.298 --> 00:08:59.559]  We're barely paying the bills here.
[00:08:59.759 --> 00:09:01.301]  And I want to expand to the face of the globe.
[00:09:01.321 --> 00:09:02.222]  Let's not contract.
[00:09:02.462 --> 00:09:03.242]  I don't want them to win.
[00:09:03.623 --> 00:09:04.103]  So listen.
[00:09:04.443 --> 00:09:05.584]  You've got this guarantee from me.
[00:09:06.533 --> 00:09:09.295]  We sell enough product, we'll have less ads and less plugs.
[00:09:09.635 --> 00:09:12.397]  And we'll expand and really give the globalists around for their money.
[00:09:12.798 --> 00:09:16.540]  But we've got products you already really need, like DNA Force Plus, X2.
[00:09:16.580 --> 00:09:17.821]  These will change your life.
[00:09:18.161 --> 00:09:19.542]  Go check out the turmeric products.
[00:09:19.562 --> 00:09:21.224]  Check out the water filtration, air filtration.
[00:09:21.584 --> 00:09:22.244]  Check it all out.
[00:09:22.264 --> 00:09:23.866]  Whatever you do, take action and know.
[00:09:24.206 --> 00:09:25.807]  Be part of the second American revolution.
[00:09:26.007 --> 00:09:27.208]  Be part of crushing the globalists.
[00:09:27.488 --> 00:09:28.649]  You'll get great products at the same time.
[00:09:28.969 --> 00:09:31.071]  Infowarsstore.com is the umbrella site.
[00:09:31.412 --> 00:09:33.359]  InfoWarsLive.com is the supplement.
[00:09:33.600 --> 00:09:36.711]  Take action now and fund the info war for your own future!
