[00:00:00.029 --> 00:00:00.571]  Oh, no!
[00:05:01.252 --> 00:05:05.534]  Alex Jones here with vital information concerning our nation's fragile food supply.
[00:05:05.934 --> 00:05:11.796]  Folks, there are some truly dangerous trends forming, and I think it's important for my listeners to do three things right away.
[00:05:11.816 --> 00:05:14.117]  Number one, study the past.
[00:05:14.637 --> 00:05:16.398]  History really does repeat itself.
[00:05:17.038 --> 00:05:20.760]  Number two, learn to spot the dangerous food shortage trends.
[00:05:21.897 --> 00:05:24.159]  Number three, take decisive action.
[00:05:24.980 --> 00:05:28.242]  A perfect storm is brewing, or a global food crisis.
[00:05:28.823 --> 00:05:33.547]  That's why I'm telling everyone to read the new book, Rising Prices, Empty Shelves.
[00:05:33.867 --> 00:05:37.330]  Warning signs that trigger the deadliest famines in history.
[00:05:37.870 --> 00:05:40.733]  Don't get caught unprepared when the crisis hits.
[00:05:41.293 --> 00:05:44.916]  This book is only available at risingpricesemptyshelves.com.
[00:05:45.757 --> 00:05:50.018]  You'll also get a free copy of Supermarket Survival, How to Cut Your Grocery Bills in Half.
[00:05:50.679 --> 00:05:54.820]  Again, that website is risingpricesemptyshelves.com.
[00:05:55.320 --> 00:05:58.081]  That's risingpricesemptyshelves.com.
[00:06:00.401 --> 00:06:14.846]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:06:15.871 --> 00:06:19.573]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:06:20.553 --> 00:06:32.579]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:06:33.339 --> 00:06:40.603]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:06:41.283 --> 00:06:50.895]  Be sure to watch our new 7 minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:06:51.656 --> 00:06:54.921]  As well, we are always ready to answer any questions you may have.
[00:06:55.581 --> 00:06:58.705]  That's www.SilverLungs.com
[00:06:59.346 --> 00:07:00.587]  Hi, this is Alex Jones.
[00:07:00.947 --> 00:07:06.749]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[00:07:07.249 --> 00:07:10.871]  So now is the time to express the holiday spirit more than ever.
[00:07:11.271 --> 00:07:15.893]  Consider helping those you love with the most important gift, a supply of delicious
[00:07:15.913 --> 00:07:20.534]  Delicious, easy to fix, and very storable foods from eFoodsDirect.com.
[00:07:20.854 --> 00:07:33.217]  Their holiday gift and family packs start at $99 for a 16-day supply, while their 5-week supply of quick and easy to fix meals includes a personal backpack in case of a grab-and-go emergency.
[00:07:33.537 --> 00:07:39.158]  Order their combo gift pack and you'll save hundreds, plus get free shipping on your entire order.
[00:07:39.418 --> 00:07:41.658]  Call eFoods today at 800-409-5633 or visit them online
[00:07:45.379 --> 00:07:49.023]  At efoodsdirect.com forward slash Alex to find the special.
[00:07:49.283 --> 00:07:55.369]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:07:55.609 --> 00:07:58.052]  You can bet your life on efoodsdirect.
[00:08:00.454 --> 00:08:02.676]  He's the T-Rex of political talk.
[00:08:03.197 --> 00:08:05.980]  Alex Jones on the GCN Radio Network.
[00:08:10.737 --> 00:08:12.238]  Thank you for joining us my friends.
[00:08:12.258 --> 00:08:22.566]  I'm Alex Jones reporting on the road here in northern Arizona on the United Nations globalist takeover of our national parks and other public lands.
[00:08:22.626 --> 00:08:26.449]  I'm retracing some of the steps that I was
[00:08:26.749 --> 00:08:27.589]  I don't know.
[00:08:50.638 --> 00:09:00.789]  A out-of-control police state exercise, and I think that in a few years if this doesn't stop, the National Parks will be like entering an airport with the TSA.
[00:09:02.291 --> 00:09:09.939]  I saw the National Park Rangers, some of them wearing firearms and tasers, walking around with their arms out.
[00:09:11.038 --> 00:09:11.178]  What's
[00:09:28.638 --> 00:09:32.020]  If they're part of Patriot Act compliance, you get 20 questions.
[00:09:32.500 --> 00:09:35.262]  So I'm going to be breaking some of that down later today.
[00:09:35.702 --> 00:09:40.805]  Gerald Salente is going to be joining us coming up here in about 22 minutes from now.
[00:09:41.546 --> 00:09:44.288]  A top trends forecaster who had over six figures over $100,000.
[00:09:46.829 --> 00:09:47.189]  I think?
[00:10:09.353 --> 00:10:10.714]  And that it was then his money.
[00:10:10.794 --> 00:10:14.657]  And they've taken other cash accounts from people as well.
[00:10:14.677 --> 00:10:15.578]  33 plus thousand.
[00:10:15.678 --> 00:10:21.122]  MF Global bought the trading firm that he'd been trading with and using since the early 70s.
[00:10:21.682 --> 00:10:23.163]  And he's never seen anything like this.
[00:10:23.263 --> 00:10:28.267]  And I was watching MSNBC this morning, just an hour and a half ago or so.
[00:10:28.948 --> 00:10:36.193]  And they had the host there anchoring it, talking to the three reporters, Kramer and two other people on the ground at the New York Stock Exchange.
[00:10:36.934 --> 00:10:44.302]  And he was saying, well, what's driving down the market right now, you know, the intel we're getting is there's no confidence now in the government.
[00:10:45.151 --> 00:10:49.092]  There's no confidence now in these companies, especially in futures.
[00:10:49.152 --> 00:10:50.972]  That's why the markets are going down.
[00:10:51.372 --> 00:10:57.814]  We thought that the bankruptcy of MF Global hadn't signaled a new Bear Stearns or type situation in 2008.
[00:10:58.254 --> 00:11:02.055]  But now that the money's missing, they said that they had just misplaced it.
[00:11:02.095 --> 00:11:03.175]  Now they won't say where it went.
[00:11:03.455 --> 00:11:04.835]  This is destroying confidence.
[00:11:05.415 --> 00:11:06.856]  And this is, well, really theft.
[00:11:06.936 --> 00:11:07.496]  That's what this is.
[00:11:07.516 --> 00:11:08.096]  This is theft.
[00:11:08.616 --> 00:11:09.897]  And then he throws it.
[00:11:09.977 --> 00:11:13.140]  I meant to write down his name but couldn't find a pen here in the hotel room.
[00:11:14.241 --> 00:11:18.145]  He throws it to Kramer and the attractive woman and the other guy.
[00:11:19.446 --> 00:11:22.108]  And they just all say, no, it's perfectly fine.
[00:11:22.128 --> 00:11:22.689]  It's no big deal.
[00:11:22.729 --> 00:11:23.630]  It's all just an accident.
[00:11:23.930 --> 00:11:24.771]  Perfectly reasonable.
[00:11:25.271 --> 00:11:31.317]  And then about five minutes later, I'm sitting there reading the newspaper, surfing the web, getting ready for the show, doing research.
[00:11:32.037 --> 00:11:36.061]  And he goes, just to be clear, there's nothing to the rumors that the money was stolen.
[00:11:36.081 --> 00:11:38.503]  No one knows where it is, but it's no big deal, quite normal.
[00:11:38.744 --> 00:11:39.544]  No big deal.
[00:11:40.245 --> 00:11:41.586]  He didn't correct himself.
[00:11:42.027 --> 00:11:46.351]  He just retracted everything by what he said five minutes later.
[00:11:46.411 --> 00:11:50.775]  So somebody got in his ear after the break and said, you listen here, buddy.
[00:11:51.315 --> 00:11:53.277]  And again, I'm not watching many of these financial shows.
[00:11:53.638 --> 00:11:54.378]  I've been on the road.
[00:11:55.359 --> 00:11:59.961]  Shooting video, doing interviews with locals, really learning a lot about what's happening out here out west.
[00:12:00.381 --> 00:12:09.025]  What spurred me to want to do this trip, about six months ago, my parents went out to Montana and Wyoming and visited family, friends, fellow patriots.
[00:12:10.206 --> 00:12:14.788]  And they've just talked about how the government's trying to encroach there and the things that are happening.
[00:12:15.709 --> 00:12:17.409]  So I figured I'd come back out west.
[00:12:17.449 --> 00:12:22.632]  And I'm not going to say the other national parks and places I'm going in the next four days because I don't want them to be waiting for me.
[00:12:23.072 --> 00:12:28.659]  You know, I wanted to go to Carlsbad Caverns, be friendly, be nice, have my wife, have my children.
[00:12:29.620 --> 00:12:31.802]  Richard's with us, helping with the technical stuff.
[00:12:32.903 --> 00:12:36.608]  And I wanted to just come in all friendly and nice and see what it was like.
[00:12:36.808 --> 00:12:39.832]  And I've been to Carlsbad Caverns four times before this.
[00:12:40.252 --> 00:12:41.594]  And it's really a big police state now.
[00:12:42.414 --> 00:13:09.009]  Now, tying in to Gerald Cilente coming up, we're about to get some other news and some recaps, some of the stuff we already mentioned, and get Aaron Dykes' take, who's riding shotgun with us throughout the three hours today, and I certainly appreciate the fantastic job he did and the crew did yesterday with that in-depth breakdown of the censorship of the proof of FEMA camps in America, and also the fact that they're hiding geoengineering, terraforming, chemtrailing, in-plane view.
[00:13:09.049 --> 00:13:11.030]  Amazing job with Aaron Dykes, but I wanted to go over
[00:13:12.170 --> 00:13:12.951]  Some of the news here.
[00:13:13.411 --> 00:13:16.515]  Sprint launches soon to be mandatory emergency alert messages.
[00:13:16.935 --> 00:13:18.457]  We told you years ago this was coming.
[00:13:18.877 --> 00:13:19.958]  Government said they're going to do it.
[00:13:19.978 --> 00:13:23.021]  They're going to commandeer your computer, your cell phone.
[00:13:23.302 --> 00:13:25.184]  Jumbotrons will be everywhere in public.
[00:13:25.484 --> 00:13:29.068]  License plates will be digital that will flash images and alerts.
[00:13:30.609 --> 00:13:34.714]  Cell phones will be mandatory in all new cars and will listen to you inside your car.
[00:13:35.234 --> 00:13:36.375]  How do I know all this is coming?
[00:13:36.735 --> 00:13:40.837]  And of course much of it has now happened because I read the government documents.
[00:13:41.117 --> 00:13:52.622]  Homeland Security three years ago was actually entertaining and recommending to Congress and the federal government that they get funding to pilot taser bracelets on everyone getting on planes.
[00:13:53.102 --> 00:13:54.583]  This is beyond Orwell.
[00:13:55.600 --> 00:14:02.913]  Okay, I know what's coming because I saw the federal purchase orders for Austin alone in 1998 for $844,000 in microphones hidden in lampposts.
[00:14:08.979 --> 00:14:11.540]  Then I learned it went nationwide in the last twelve years or so.
[00:14:11.920 --> 00:14:12.560]  Thirteen years.
[00:14:12.980 --> 00:14:14.501]  Now they're announcing it to the slaves.
[00:14:14.941 --> 00:14:16.321]  We know what we're talking about.
[00:14:16.821 --> 00:14:19.422]  Some people are experts on football or acting trendier.
[00:14:22.143 --> 00:14:22.543]  I don't know.
[00:14:23.203 --> 00:14:25.063]  Acting tough or whatever the general public does.
[00:14:25.664 --> 00:14:26.984]  I'm actually into the real world.
[00:14:27.064 --> 00:14:29.605]  I'm actually into science, quantum mechanics.
[00:14:30.765 --> 00:14:36.887]  I'm into literature, history, astronomy.
[00:14:38.271 --> 00:14:40.513]  Not because I think it's trendy and cool to be into that.
[00:14:40.853 --> 00:14:53.405]  I'm really into giant gas giants exploding and huge coronal mass ejections and gigantic star cluster formations that Hubble Telescope has photographed.
[00:14:53.545 --> 00:14:58.550]  I want to know the secrets of the universe in my limited consciousness, my tiny time to be alive.
[00:14:59.170 --> 00:15:03.114]  I don't want to be filled full of Madison Avenue crud as they sell us slavery.
[00:15:03.594 --> 00:15:18.428]  And because I've made a 20-year study, almost 17 years, it'll be 17 years in February, on air, on AXS TV and then AM and FM, and now today XM, close to 100 AM and FM stations, Global Shortwave, all of it.
[00:15:19.549 --> 00:15:28.575]  I want to infect others with my love of life and that curiosity and that creative spirit that is the creative drive of humanity.
[00:15:28.775 --> 00:15:30.536]  You're either creative or you're destructive.
[00:15:30.997 --> 00:15:36.240]  You're either into love and building and strength or you're into destruction and death.
[00:15:36.480 --> 00:15:38.262]  And all of us have both sides of that in us.
[00:15:38.782 --> 00:15:40.543]  But it's what side do we reach for?
[00:15:40.903 --> 00:15:41.784]  I reach for the light.
[00:15:42.164 --> 00:15:42.925]  I reach for the good.
[00:15:43.205 --> 00:15:43.965]  I reach for the truth.
[00:15:44.426 --> 00:15:45.726]  No matter what comes of all of this.
[00:15:46.807 --> 00:15:52.752]  Huge developments are taking place, and I'll get into this once Salente is on with us, and then more later with Aaron.
[00:15:52.772 --> 00:15:54.674]  We're going to open the phones up in the second and third hour.
[00:15:54.954 --> 00:15:59.017]  We may have Kaiser and Tarpley popping in from Syria.
[00:15:59.057 --> 00:15:59.998]  He wanted to come on today.
[00:16:00.018 --> 00:16:05.703]  He's there reporting, but we weren't able to get a hold of him, and he's also been in zones where snipers are firing on people.
[00:16:05.743 --> 00:16:14.310]  Very, very brave to be facing up to the CIA-slash-Mossad-slash-Wahhabi-Saudi Arabian terror forces that are there on the ground.
[00:16:14.890 --> 00:16:18.213]  But Russian warships enter Syrian waters to prevent a NATO attack.
[00:16:18.233 --> 00:16:19.794]  So we're going to be breaking that down.
[00:16:19.814 --> 00:16:21.215]  We're not saying Syria is good either.
[00:16:21.455 --> 00:16:23.297]  The point is, this is all part of a globalist plan.
[00:16:24.538 --> 00:16:29.922]  But the big news is, there's riots all over Europe as they announce, we're taking part of your pension fund, we're raising your taxes.
[00:16:29.982 --> 00:16:33.585]  Well, that'll bankrupt my restaurant, my hotel, my business.
[00:16:33.725 --> 00:16:34.566]  Sorry, too bad.
[00:16:34.806 --> 00:16:36.307]  It's got to be paid to the bankers.
[00:16:37.308 --> 00:16:40.371]  You've got to go into slavery to them because they created the debt.
[00:16:40.851 --> 00:16:42.812]  And now there's another report up.
[00:16:43.823 --> 00:16:45.243]  That I want to go to.
[00:16:45.783 --> 00:16:52.465]  And that's Germany's secret plan to derail British referendum on EU.
[00:16:52.505 --> 00:16:57.646]  That's London Telegraph, who's also reporting on the globalists admitting they're technocratic dictators.
[00:16:58.267 --> 00:17:07.109]  And in the report, they talk about what Lord Monckton and Nigel Farage, your British member of EU Parliament, have talked about.
[00:17:08.369 --> 00:17:11.370]  75% or more of the laws are not even made
[00:17:12.392 --> 00:17:12.672]  by the
[00:17:33.035 --> 00:17:33.676]  being able to
[00:17:53.957 --> 00:17:59.501]  Are in every power position of every country over there and over the European Union, technocratic bureaucracy.
[00:17:59.842 --> 00:18:05.126]  Aaron Dykes, give us your take on this in a few minutes before break and tell us the news you've got coming up on the other side.
[00:18:06.277 --> 00:18:21.127]  Well, Alex, obviously I am pretty alarmed about the situation in Italy because it's an out-and-out Bilderberg steering member, somebody who's been on the list as far back as I can trace what's going on in Bilderberg from my own perspective, and that's Mario Monti.
[00:18:21.547 --> 00:18:29.832]  Of course, they always have these ready-to-go nicknames, Super Mario, like he's going to save everyone, and he's just openly bringing in all these technocrats.
[00:18:30.312 --> 00:18:33.795]  I love Gerald Salente's quote from a few days ago that a technocrat's just a
[00:18:34.355 --> 00:18:36.437]  Bureaucrat who knows how to cook the books, Alex.
[00:18:36.997 --> 00:18:52.870]  And then even more alarming are the details in this Telegraph article about Merkel's plan to really bring to power this new fund, which they openly say in the article will have the power to take ailing countries into receivership and run their economies.
[00:18:53.490 --> 00:18:56.751]  So it's a complete... Well, sure, that's always the cover.
[00:18:57.052 --> 00:19:00.613]  It's always, oh, it's a bailout for the banks, $887 billion.
[00:19:00.933 --> 00:19:04.034]  Then you learn it's a blank check for the banks to take over the U.S.
[00:19:04.074 --> 00:19:06.636]  Now the Super Congress is making all the major laws.
[00:19:06.936 --> 00:19:11.998]  Bills don't originate in the House from individual members, as they've done for 200-plus years.
[00:19:12.498 --> 00:19:14.079]  Everything is being overwritten.
[00:19:14.299 --> 00:19:17.220]  Alex, Obama's not even signing his own bills now.
[00:19:17.260 --> 00:19:21.362]  He's using a, quote, auto pen, some kind of copied signature, while he's away on business.
[00:19:22.998 --> 00:19:23.619]  Have you seen this?
[00:19:24.539 --> 00:19:25.400]  Yes, it's incredible.
[00:19:25.780 --> 00:19:30.244]  And expanding on this here, and we'll come back and get into more of this, of the rioting happening in Europe.
[00:19:31.205 --> 00:19:33.647]  I want the listeners to think about the magnitude of this.
[00:19:34.188 --> 00:19:45.978]  They're talking about it being a new Euro bond to get them out of trouble, but in the agreement for the bond, the nations waive all their rights in perpetuity, and the UK, who never even entered it to begin with, can't even get a vote on it.
[00:19:46.038 --> 00:19:48.480]  This is a financial military takeover.
[00:19:51.169 --> 00:19:51.949]  All right, we'll be right back.
[00:19:51.989 --> 00:19:54.010]  Ladies and gentlemen, Aaron Dykes, straight ahead.
[00:19:54.450 --> 00:19:56.091]  It's so exciting what's happening.
[00:19:57.291 --> 00:19:59.672]  I mean, it's horrifying, but it's still very, very exciting.
[00:20:00.152 --> 00:20:05.214]  Do you know which 37 crucial food items are going to fly off the shelves when the next disaster hits?
[00:20:05.514 --> 00:20:11.757]  If you don't, you and your family may be without food and waiting in long food lines after a big disaster strikes.
[00:20:11.917 --> 00:20:15.638]  You wouldn't be surprised how many people don't have these food items right now.
[00:20:16.739 --> 00:20:20.300]  123survivalplan.com has set up a For Patriots Only video,
[00:20:20.760 --> 00:20:26.142]  Inside information on the 37 food items that will sell out first when the next disaster strikes.
[00:20:26.382 --> 00:20:35.285]  The video on 123survivalplan.com has crucial information you and your family need to prepare for any disaster, natural or man-made.
[00:20:35.605 --> 00:20:40.267]  And you won't have to be afraid of going hungry or being sent to a FEMA refugee camp.
[00:20:40.487 --> 00:20:45.630]  See the video that over one million other smart patriots have already seen in the last four months.
[00:20:45.890 --> 00:20:46.811]  Prepare now.
[00:20:47.151 --> 00:20:52.774]  Go to 123survivalplan.com and learn which 37 food items you should hoard.
[00:20:52.994 --> 00:20:53.775]  Easy to remember.
[00:20:53.795 --> 00:20:54.375]  123survivalplan.com.
[00:20:54.395 --> 00:20:56.136]  Again, that's 123survivalplan.com.
[00:20:59.838 --> 00:21:05.499]  HempUSA.org has moved and expanded its operations for faster worldwide shipping.
[00:21:05.799 --> 00:21:11.041]  Our product line has grown from 5 to nearly 100 items in less than 5 years.
[00:21:11.321 --> 00:21:15.302]  Our food is grown naturally, always chemical free, not found in stores.
[00:21:15.702 --> 00:21:19.623]  Great for daily intake and perfect for your emergency storage shelter.
[00:21:19.923 --> 00:21:28.585]  Call 908-691-2608 or visit HempUSA.org and see what our powder, seeds and oil can do for you.
[00:21:28.985 --> 00:21:38.251]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:21:38.311 --> 00:21:39.052]  This capitalism?
[00:21:39.112 --> 00:21:45.236]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:21:45.376 --> 00:21:46.197]  Hi, Ted Anderson.
[00:21:46.237 --> 00:21:49.339]  I'm placing a silver dollar in a book explains our monetary system.
[00:21:49.499 --> 00:21:50.299]  Call for your copy 800-686-2237.
[00:21:50.319 --> 00:21:51.660]  It's time to understand the system.
[00:21:51.700 --> 00:21:51.980]  Call 800-686-2237.
[00:21:52.040 --> 00:21:52.301]  That's 800-686-2237.
[00:21:59.285 --> 00:22:04.789]  There are limitless ways to go into business for yourself, but most involve substantial capital and risk.
[00:22:05.149 --> 00:22:08.251]  Our InfoWarsTeam.com operation is different.
[00:22:08.351 --> 00:22:19.658]  We promote premium quality health, energy, and skincare products using dynamic, caring personalities and state-of-the-art media technology to spread a powerful message of health.
[00:22:19.978 --> 00:22:22.038]  Wealth, longevity, and freedom.
[00:22:22.258 --> 00:22:29.500]  This low-cost business opportunity is designed for full-time or part-time so you can work as little or as much as you'd like.
[00:22:29.760 --> 00:22:32.020]  It is you that defines the reward level.
[00:22:32.160 --> 00:22:39.062]  Whether you are seeking a few hundred extra dollars per month or a six or even seven figure annual income, it's up to you.
[00:22:39.322 --> 00:22:40.242]  Want to find out more?
[00:22:40.342 --> 00:22:46.743]  Shoot an email with InfoWars Team in the subject line to InfoWars Team Coordinator, MZ, and tell him a little bit about yourself.
[00:22:47.003 --> 00:22:49.745]  That's the initials MZ at Infowarsteam.com.
[00:22:49.905 --> 00:22:52.167]  That's MZ at Infowarsteam.com.
[00:22:52.367 --> 00:22:56.090]  I only promote products that I truly believe in, and these are phenomenal.
[00:22:56.150 --> 00:22:58.712]  Whatever you do, visit Infowarsteam.com.
[00:22:59.652 --> 00:23:02.895]  Smokers, are you still smoking traditional cigarettes?
[00:23:03.195 --> 00:23:05.717]  Are you still smelling up your clothes and car interior?
[00:23:06.077 --> 00:23:08.559]  Staining your teeth and getting ashes everywhere?
[00:23:09.199 --> 00:23:09.499]  Why?
[00:23:09.840 --> 00:23:13.823]  When you can be smoking or vaping with e-cigarettes by Le Cig.
[00:23:14.163 --> 00:23:25.253]  With Le Cig e-cigarettes revolutionary microelectronic technology, rechargeable battery, and unique replacement cartridges, you'll get all the satisfaction of smoking, but no smoking hazards.
[00:23:25.773 --> 00:23:29.857]  Choose from a wide variety of our new American-made Vapriate e-liquid flavors.
[00:23:30.257 --> 00:23:37.902]  At LeCig.com spelled L-E-C-I-G dot com or call 870-518-4307.
[00:23:38.402 --> 00:23:38.922]  That's 870-518-4307.
[00:23:38.962 --> 00:23:44.786]  LeCig e-cigarettes for today's modern smoker.
[00:23:45.046 --> 00:23:52.050]  Warning, e-cigs may contain nicotine, an addictive substance known to the state of California to cause birth defects or cancer.
[00:23:52.210 --> 00:23:55.492]  Please be aware of the risks associated with e-cigs prior to use.
[00:23:55.692 --> 00:23:58.074]  You must be 18 years or older to purchase.
[00:24:09.009 --> 00:24:27.320]  Wow, where are all those people over the last 50 years that made fun of all these military officers, government agents, and others at first who came out and warned that there was a global financial takeover happening by giant financial institutions?
[00:24:28.520 --> 00:24:42.248]  They wanted to destroy free market capitalism and bring in a crony system where the general public lives in a communal kind of Soviet model, but the globalists are offshore and exempt from it all and siphon the money off to themselves.
[00:24:43.683 --> 00:24:55.172]  And then again, for 16 plus years I've told people, Bank of the World's coming, they'll bankrupt the major regions, the Euro, the North American Union, then the Asian Union, and then say, oh, this is a terrible crisis.
[00:24:55.473 --> 00:24:57.334]  The answer is a mega-union.
[00:24:57.875 --> 00:25:04.260]  And we're entering the next to final phase now in the establishment of this.
[00:25:04.720 --> 00:25:10.505]  And once they have the global government in, they can then, in an orchestrated fashion, shut down the countries even more.
[00:25:11.066 --> 00:25:12.187]  Cut off your resources.
[00:25:12.307 --> 00:25:17.551]  As they've said, in their Plandopolis productions, they even show British school children.
[00:25:17.851 --> 00:25:24.677]  This is a post-industrial world, by design, to make you absolutely poor slaves that cannot resist.
[00:25:24.997 --> 00:25:27.339]  Then they'll say, get sterilized, give you welfare.
[00:25:28.480 --> 00:25:30.503]  Uh, get government approval to have kids.
[00:25:31.043 --> 00:25:32.225]  All of this is coming in.
[00:25:32.265 --> 00:25:33.927]  This is all a public blueprint.
[00:25:34.187 --> 00:25:35.408]  We cover it in Endgame.
