[00:00:33.251 --> 00:00:35.172]  It is Friday, September 23rd, 2011.
[00:14:06.224 --> 00:14:22.864]  And fathers who shave their heads to raise cancer awareness, and all the jogging events and sporting events, and I have friends and family that go to them and, you know, pay money to run in races to donate it, and they'll show some little kids saying, I'm going to die in the next month, please give money to cancer research, on and on and on.
[00:14:24.005 --> 00:14:30.691]  Well, look, all they do with chemotherapy is charge you tens of thousands of dollars a month for cheap bug poison.
[00:14:30.851 --> 00:14:33.193]  That's all it is, is patented bug poison approved.
[00:14:33.954 --> 00:14:41.121]  And they love kids because they can fight and live a long time, so big pharma can suck a lot of money out of them.
[00:14:41.581 --> 00:14:49.108]  You know, instead of just being useful idiots for the New World Order, how about we talk about why breast cancer is tripled, or
[00:14:50.535 --> 00:14:55.038]  Why this is becoming so epidemic worldwide, but especially in the West?
[00:14:56.439 --> 00:14:59.362]  I mean, why don't we actually look at the causes of this?
[00:14:59.382 --> 00:15:00.382]  I mean, here's some of the stories.
[00:15:01.323 --> 00:15:04.665]  Teams across the country lace up for pediatric cancer.
[00:15:05.546 --> 00:15:08.969]  Forty-six mothers shave their heads for childhood cancer awareness.
[00:15:09.029 --> 00:15:12.291]  Young Nuggets fan inspired others during valiant cancer fight.
[00:15:12.871 --> 00:15:16.034]  Race teams run for pediatric cancer.
[00:15:17.466 --> 00:15:21.927]  Well, let's just go over now some of the causes.
[00:15:21.947 --> 00:15:26.888]  60 lab studies now confirm cancer link to a vaccine you probably had as a child.
[00:15:27.728 --> 00:15:29.569]  That, of course, is the polio shot.
[00:15:29.589 --> 00:15:30.609]  And by the way, it's still in there.
[00:15:31.389 --> 00:15:31.909]  Here's another one.
[00:15:31.969 --> 00:15:32.429]  Science.
[00:15:33.489 --> 00:15:35.090]  Polio vaccine linked to cancer.
[00:15:35.770 --> 00:15:40.411]  And that's new scientists, you name it, all reporting on that.
[00:15:41.533 --> 00:15:42.713]  Now let's look at some of the others.
[00:15:42.973 --> 00:15:43.733]  Here's one in Guardian.
[00:15:43.813 --> 00:15:45.694]  Fluoride water causes cancer.
[00:15:45.854 --> 00:15:47.214]  Boys at risk for bone tumors.
[00:15:47.254 --> 00:15:49.675]  Yes, seven-fold increase in boys, three-fold in girls.
[00:15:50.095 --> 00:15:51.135]  Shock research reveals.
[00:15:51.175 --> 00:15:52.295]  That's been out since the thirties.
[00:15:52.375 --> 00:15:53.435]  It's not shock research.
[00:15:53.976 --> 00:15:56.616]  Study links fluoride to bone cancer in men.
[00:15:56.676 --> 00:15:57.776]  WETAB-ND.
[00:15:58.777 --> 00:15:59.597]  On and on and on.
[00:15:59.777 --> 00:16:04.378]  So they've been adding this to the water, along with hundreds of other chemicals, in the cover name of fluoride.
[00:16:04.878 --> 00:16:09.579]  You see, how about instead of giving money to the big pharma companies,
[00:16:10.259 --> 00:16:18.824]  That basically use the cancer research systems as a way to suppress the real cures and treatments and to control the debate and research.
[00:16:19.684 --> 00:16:34.132]  Instead of just being gullible and giving your little girl stuff in bisphenol A cups and giving people the GMO and all the lab studies that gives lab rats cancer and drinking the sodium fluoride and giving them all the shots, how about you actually find out?
[00:16:34.352 --> 00:16:38.835]  Instead of just going, man, let's find a cure, how about we find out what's causing it to begin with?
[00:16:39.355 --> 00:16:47.682]  It's like, let's find out a way if an 18-wheeler runs over you and breaks, you know, 50 bones, let's find a way to fix those bones quicker.
[00:16:48.363 --> 00:16:53.787]  How about we just find out why people are playing in interstate traffic?
[00:16:54.027 --> 00:16:56.289]  See what I'm saying?
[00:16:57.130 --> 00:17:05.757]  Instead of, hey, people are falling off 50-story buildings and dying, let's figure out how to make people bounce better and not die when they hit the bottom.
[00:17:06.077 --> 00:17:07.719]  How about we just don't jump off buildings?
[00:17:08.641 --> 00:17:12.943]  I'm just throwing some analogies out here, or parables right now, to try to get you to think.
[00:17:13.384 --> 00:17:15.625]  Why don't we talk about why it's increasing?
[00:17:15.725 --> 00:17:17.126]  Why it's skyrocketing?
[00:17:18.547 --> 00:17:20.428]  Just so happens I have all these government documents.
[00:17:20.448 --> 00:17:24.130]  We covered the last two nights here, where it's all engineered, where it's eugenics.
[00:17:24.890 --> 00:17:29.393]  Now this is a long clip, and this is from a WGBH.
[00:17:29.493 --> 00:17:33.095]  I remember seeing this online a decade ago, and I can't dig up the original, but we're going to order it.
[00:17:33.735 --> 00:17:34.035]  You name it.
[00:17:34.055 --> 00:17:34.916]  All different types of cancers.
[00:17:35.016 --> 00:17:36.037]  Very powerful information.
[00:17:36.077 --> 00:17:36.537]  Stay with us.
[00:17:59.411 --> 00:18:06.156]  Well, I got an invitation from the Sister Kinney Foundation, you know, which was the opposing foundation, and that was the live virus.
[00:18:06.636 --> 00:18:06.916]  Oh, right.
[00:18:07.276 --> 00:18:10.518]  Yeah, they had jumped on Saban's bandwagon.
[00:18:10.578 --> 00:18:15.982]  And they had asked me to come down and give a talk at the Sister Kinney Foundation meeting.
[00:18:17.083 --> 00:18:20.745]  And I said, it was an international meeting, and I thought, God, what am I going to talk about?
[00:18:20.765 --> 00:18:22.647]  I know what I'm going to do.
[00:18:22.667 --> 00:18:27.270]  I'm going to talk about the detection of non-detectable viruses.
[00:18:28.303 --> 00:18:28.883]  As a topic.
[00:18:29.724 --> 00:18:33.046]  So now I got to have something, you know, that's going to attract attention.
[00:18:34.087 --> 00:18:36.448]  So I thought, gee, that damn SB40.
[00:18:36.608 --> 00:18:39.350]  I mean, that damn evacuating agent that we have.
[00:18:39.390 --> 00:18:41.211]  I'm going to just pick that particular one.
[00:18:41.852 --> 00:18:44.913]  That virus has got to be in vaccines.
[00:18:45.274 --> 00:18:49.576]  And it's got to be in Sabin's vaccine, so I quickly tested it.
[00:18:50.997 --> 00:18:52.118]  Sure enough, it was in there.
[00:18:53.179 --> 00:18:53.719]  And we'll be down.
[00:18:54.429 --> 00:19:00.074]  So now, so I go ahead and... So you just took stocks of Sabin's vaccine off the shelf here at Merck?
[00:19:00.094 --> 00:19:03.017]  Yeah, well it had not been made at Merck, it was made at Merck.
[00:19:03.037 --> 00:19:04.478]  You were making it for Sabin at this point?
[00:19:04.538 --> 00:19:06.180]  Yeah, it was made before I came.
[00:19:06.380 --> 00:19:09.863]  Yeah, but at this point Sabin is still just doing these massive field trials?
[00:19:09.963 --> 00:19:10.263]  Mm-hmm.
[00:19:10.403 --> 00:19:10.623]  Okay.
[00:19:11.244 --> 00:19:12.365]  In Russia and so forth.
[00:19:12.385 --> 00:19:15.047]  So I go down, I talked about the...
[00:19:16.772 --> 00:19:18.353]  The detection of non-technical viruses.
[00:19:18.393 --> 00:19:23.156]  I told Albert... But at this point, Sabin is still just doing these massive field trials.
[00:19:23.777 --> 00:19:24.857]  In Russia and so forth.
[00:19:24.877 --> 00:19:30.881]  So I go down, I talked about the detection of non-technical viruses.
[00:19:30.921 --> 00:19:34.224]  I told Albert, I said, listen, Albert, I said, you know, you and I are good friends.
[00:19:35.144 --> 00:19:38.847]  But I said, I'm going to go down there and you're going to get upset.
[00:19:38.947 --> 00:19:41.889]  But I'm going to talk about a virus that's in your vaccine now.
[00:19:43.035 --> 00:19:44.318]  You're going to get rid of the virus.
[00:19:44.358 --> 00:19:45.079]  Don't worry about it.
[00:19:45.100 --> 00:19:48.246]  You're going to get rid of it.
[00:19:49.449 --> 00:19:51.974]  So, of course, Howard was very upset with me.
[00:19:53.334 --> 00:19:53.975]  What did he say?
[00:19:54.515 --> 00:20:01.541]  Well, he said, basically, that this is just another obfuscation that is going to upset vaccines.
[00:20:01.621 --> 00:20:03.342]  I said, well, you know, you're absolutely right.
[00:20:03.842 --> 00:20:05.684]  But I said, we have a new era here.
[00:20:05.724 --> 00:20:07.425]  We have a new era of detection.
[00:20:07.886 --> 00:20:10.047]  And the important thing is to get rid of these viruses.
[00:20:10.448 --> 00:20:14.331]  Why would he call it an obfuscation if it was a virus that was contaminating vaccines?
[00:20:14.431 --> 00:20:19.535]  Because, well, there are 40 different viruses in these vaccines anyway that we were inactivating.
[00:20:20.883 --> 00:20:23.944]  But you weren't activating the... That's correct.
[00:20:24.024 --> 00:20:24.684]  No, that's right.
[00:20:24.724 --> 00:20:28.445]  But yellow fever vaccine had leukemia virus in it.
[00:20:28.465 --> 00:20:31.826]  You know, this is in the days of very crude science.
[00:20:32.746 --> 00:20:34.266]  So anyway, I went down and talked to him.
[00:20:34.406 --> 00:20:36.987]  I said, well, why are you concerned about it?
[00:20:38.027 --> 00:20:39.247]  I said, well, I'll tell you what I said.
[00:20:39.267 --> 00:20:43.348]  I have a feeling in my bones that this virus is different.
[00:20:43.708 --> 00:20:47.109]  I don't know why to tell you this, but I've been around Bonozo in a long time.
[00:20:47.229 --> 00:20:49.650]  I just think this virus may have some long-term effects.
[00:20:51.269 --> 00:20:52.049]  And he said, what?
[00:20:54.290 --> 00:20:56.011]  Cancer.
[00:20:56.751 --> 00:20:58.092]  I love it.
[00:20:58.132 --> 00:20:58.572]  I love it.
[00:20:58.652 --> 00:20:59.512]  Go ahead.
[00:21:00.732 --> 00:21:00.953]  No.
[00:21:02.273 --> 00:21:07.475]  I said, Albert, I said, you probably think I'm nuts, but I just have that feeling.
[00:21:08.295 --> 00:21:13.077]  Well, in the meantime, we had taken this virus and put it into monkeys and into hamsters.
[00:21:15.558 --> 00:21:15.718]  So,
[00:21:16.596 --> 00:21:27.660]  We had this meeting, and that was sort of the topic of the day, and the jokes that were going around was, gee, we would win the Olympics because the Russians would all be loaded down with tumors.
[00:21:29.781 --> 00:21:31.822]  This is where the vaccine was being tested.
[00:21:31.862 --> 00:21:32.542]  This was it.
[00:21:32.823 --> 00:21:33.943]  Right.
[00:21:34.703 --> 00:21:38.265]  So, and it really destroyed the meeting.
[00:21:38.285 --> 00:21:40.085]  You know, it was a big interruption.
[00:21:40.105 --> 00:21:40.646]  Yeah, right.
[00:21:40.886 --> 00:21:42.466]  So, it was sort of the topic.
[00:21:42.807 --> 00:21:43.087]  Yeah.
[00:21:44.727 --> 00:21:45.948]  Why didn't this get out in the press?
[00:21:46.795 --> 00:21:48.096]  Well, I guess it did.
[00:21:48.176 --> 00:21:49.357]  I don't remember.
[00:21:49.377 --> 00:21:51.198]  We had no press release on it.
[00:21:51.218 --> 00:21:52.419]  Obviously, you don't go off.
[00:21:53.039 --> 00:21:55.901]  This is a scientific affair within the scientific community.
[00:21:57.742 --> 00:22:03.326]  Again, I saw this a decade ago online, and it's since been grabbed and chopped up.
[00:22:04.026 --> 00:22:07.289]  We're going to try to get the original from...
[00:22:08.853 --> 00:22:13.356]  WGBH Public Television, Boston, of Dr. Maurice Helleman.
[00:22:13.657 --> 00:22:21.222]  This is from several decades ago, but again, I saw it online when video was first becoming popular on the web, and that's what people have gotten off the web and caught up.
[00:22:21.242 --> 00:22:23.583]  That's why the quality is so low.
[00:22:24.124 --> 00:22:28.287]  Early video streaming on the web was more like a slideshow, as you know.
[00:22:28.987 --> 00:22:31.849]  But this video has been getting more attention again lately.
[00:22:31.929 --> 00:22:34.831]  But I just want to remind you, in fact, here it is right here.
[00:22:34.851 --> 00:22:35.512]  I had it down here.
[00:22:36.192 --> 00:22:38.415]  Uh, you can go to, uh, give me a document cam shot.
[00:22:38.615 --> 00:22:40.857]  Again, you can find thousands of mainstream news articles.
[00:22:40.897 --> 00:22:45.523]  Here's a new scientist, uh, with the headline, Science Polio Vaccine Linked to Cancer, SV40.
[00:22:45.643 --> 00:22:51.169]  It's just interesting to see the guy, uh, sitting there, uh, making jokes.
[00:22:52.290 --> 00:22:53.171]  About all of this.
[00:22:53.451 --> 00:23:04.276]  And then earlier in the interview he talks about HIV from monkeys they use for vaccines and ha ha ha, it was being tested in Russia and it was killing Russians, so so what?
[00:23:04.896 --> 00:23:07.678]  And it really gives you a mindset into these people.
[00:23:09.539 --> 00:23:11.920]  Because as he said, we didn't even bother to warn anybody.
[00:23:11.960 --> 00:23:12.500]  Just screw it.
[00:23:13.080 --> 00:23:14.241]  Why warn anybody?
[00:23:14.881 --> 00:23:17.703]  Now I want to get to another clip here.
[00:23:19.537 --> 00:23:31.971]  That is from University of Calgary up in Canada where they did an electron microscope scan of what happens when mercury hits brain cells.
[00:23:33.268 --> 00:23:41.012]  And so you've got the sodium fluoride, the mercury, the cancer viruses, all of this, and you wonder why there's all these neurological disorders.
[00:23:41.032 --> 00:23:43.354]  And then it cuts into a local Austin newscast.
[00:23:43.734 --> 00:23:45.535]  It was actually packaged nationally.
[00:23:45.555 --> 00:23:47.296]  This aired on all the local CBS affiliates.
[00:23:47.736 --> 00:23:52.159]  They just read off a teleprompter and have a video package over it, so it has the local view.
[00:23:52.199 --> 00:23:59.042]  But this aired on every CBS station in the country, telling people that mercury is now good for your children's brains.
[00:23:59.082 --> 00:23:59.423]  Here it is.
[00:24:00.222 --> 00:24:06.706]  To better understand Mercury's effect on the brain, let us first illustrate what brain neurons look like, and how they grow.
[00:24:08.047 --> 00:24:15.472]  In this animation, we see three brain neurons growing in a tissue culture, each with a central cell body, and numerous neurite processes.
[00:24:17.233 --> 00:24:22.117]  At the end of each neurite is a growth cone where structural proteins are assembled to form the cell membrane.
[00:24:23.430 --> 00:24:33.933]  Two principal proteins involved in growth cone function are actin, which is responsible for the pulsating motion seen here, and tubulin, a major structural component of the neurite membrane.
[00:24:34.913 --> 00:24:41.815]  Shown here is the neurite of a live neuron isolated from snail brain tissue, displaying linear growth due to growth cone activity.
[00:24:42.890 --> 00:24:54.240]  It is important to note that growth cones in all animal species, ranging from snails to humans, have identical structural and behavioral characteristics, and use proteins of virtually identical composition.
[00:24:57.763 --> 00:25:08.593]  In this experiment, neurons also isolated from snail brain tissue were grown in culture for several days, after which very low concentrations of mercury were added to the culture medium for 20 minutes.
[00:25:10.183 --> 00:25:17.307]  Over the next 30 minutes, the neurite membrane underwent rapid degeneration, leaving behind the denuded neurofibrils seen here.
[00:25:18.267 --> 00:25:27.152]  In contrast, other heavy metals added at this same concentration, such as aluminum, lead, cadmium, and manganese, did not produce this effect.
[00:25:28.772 --> 00:25:35.097]  Shown here is a neurite growth cone stained specifically for tubulin and actin, before and after mercury exposure.
[00:25:35.938 --> 00:25:39.921]  Note that the mercury has caused disintegration of tubulin microtubule structure.
