[00:00:00.009 --> 00:00:00.309]  Got it.
[00:04:49.062 --> 00:04:55.665]  G7 preparing statement to support dollar, EU, in fact, everything that would otherwise collapse tomorrow before Asia Open.
[00:04:56.026 --> 00:04:56.526]  Stay with us.
[00:04:56.546 --> 00:04:58.087]  We'll get into the Navy SEAL situation as well.
[00:04:59.747 --> 00:05:03.388]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:05:03.748 --> 00:05:06.769]  This is our last chance to not relive history.
[00:05:07.009 --> 00:05:11.790]  As they're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:05:11.810 --> 00:05:18.052]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:05:18.192 --> 00:05:20.433]  I think it's incumbent upon all of us
[00:05:20.973 --> 00:05:21.253]  Tim Geithner?
[00:05:21.273 --> 00:05:21.693]  Bernanke?
[00:05:21.794 --> 00:05:22.414]  They're arsonists!
[00:05:22.454 --> 00:05:23.234]  They're asking for more matches!
[00:05:23.555 --> 00:05:25.976]  And the Congress is saying, who do we make the check out to?
[00:05:39.864 --> 00:05:41.726]  Today seems like nobody does care.
[00:05:41.986 --> 00:05:46.790]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:05:47.150 --> 00:05:57.079]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:05:59.561 --> 00:06:04.625]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:06:04.986 --> 00:06:07.248]  Because there's a war on for your mind.
[00:06:11.460 --> 00:06:16.106]  It is Sunday, my friends, the seventh day of August, 2011.
[00:06:16.727 --> 00:06:21.994]  We're going to get into the S&P downgrade of the U.S.
[00:06:22.054 --> 00:06:22.935]  dollar and U.S.
[00:06:23.115 --> 00:06:23.676]  treasuries.
[00:06:23.716 --> 00:06:26.320]  We're going to look at the supposed death of 20-plus
[00:06:27.541 --> 00:06:33.723]  Navy SEALs from SEAL Team 6, something we predicted here in InfoWars Ireland, also predicted.
[00:06:33.743 --> 00:06:36.383]  We have that video up on InfoWars.com.
[00:06:36.403 --> 00:06:46.106]  You know, if the official Bin Laden killing story is a fraud, and it's been proven to be a fraud, a lie, then we have to look at this mysterious event.
[00:06:46.126 --> 00:06:50.547]  And I'll tell you why I believe it stinks to high heaven coming up.
[00:06:51.227 --> 00:06:53.607]  We've got a lot of other important news also.
[00:06:53.687 --> 00:06:55.668]  The El Paso Times and others are reporting.
[00:06:56.468 --> 00:07:14.596]  That in federal court documents have been filed basically proving that the federal government was allowing cocaine to be shipped in the United States while shipping guns to drug cartels that they were arming to knock out the other drug cartels who were not laundering their money through major U.S.
[00:07:14.776 --> 00:07:20.198]  banks like Wells Fargo and Wachovia who are on record now a year ago
[00:07:20.898 --> 00:07:28.579]  ...admitting that they laundered $376 billion in a two-and-a-half-year period and also ran the drug aircraft.
[00:07:29.300 --> 00:07:30.280]  So that's a big story.
[00:07:30.340 --> 00:07:36.901]  We'll be breaking down the $500 billion-a-year industry that the mainstream media tells you the government and big banks aren't involved in.
[00:07:36.921 --> 00:07:43.862]  If you believe that, ladies and gentlemen, then you don't believe Bugs Bunny is a rabbit or that Roger Stolbeck played for the Dallas Cowboys.
[00:07:44.582 --> 00:07:48.163]  Okay, now... Stopping right there.
[00:07:49.249 --> 00:07:53.811]  This is a designed, controlled implosion of our economy.
[00:07:54.631 --> 00:08:07.077]  And I am on record telling you, over and over again the last month, that as soon as they got the quote, the debt ceiling raised, that they were going to go ahead and announce the acceleration of the U.S.
[00:08:07.177 --> 00:08:11.139]  losing its AAA credit rating and what that means.
[00:08:11.839 --> 00:08:13.600]  They have the new super Congress in place.
[00:08:14.620 --> 00:08:30.499]  That on spending bills and on taxing bills, which is basically the real power of the purse, and on cut bills, bills that cut, that now there's no filibusters, there's no amendments, the bills can't start from individual members of the House or Senate.
[00:08:31.039 --> 00:08:34.920]  Now they will come out of this 12-member board with the president as the 13th.
[00:08:35.320 --> 00:08:35.940]  So the Council of 13.
[00:08:36.901 --> 00:08:40.782]  And it's now being admitted that it's undemocratic, it's unconstitutional.
[00:08:41.582 --> 00:08:47.564]  But again, they need that power as the United States is bankrupted and financially conquered through fraud.
[00:08:47.584 --> 00:08:48.244]  So that's coming up.
[00:08:48.284 --> 00:08:48.784]  Now remember,
[00:08:49.364 --> 00:08:58.747]  Geithner said months ago, two months ago, and this is up on Infowars.com, on Fox Business and other channels, he said that the dollar would not be devalued.
[00:08:58.767 --> 00:08:59.948]  He said that the U.S.
[00:09:00.288 --> 00:09:05.310]  would not lose its AAA credit rating when, according to every financial expert out there, the U.S.
[00:09:05.330 --> 00:09:08.271]  has not had a AAA credit rating for many, many years.
[00:09:09.171 --> 00:09:12.112]  Neither do any of the other major currencies, except for the Swiss franc.
[00:09:12.412 --> 00:09:18.414]  They're all being devalued by G20, concerted devaluation, and we'll break down why that's so important.
[00:09:18.454 --> 00:09:20.314]  But the bottom is now falling out.
[00:09:20.614 --> 00:09:24.075]  We've been in a depression for three years, sliding into a deeper one.
[00:09:24.095 --> 00:09:32.138]  They've been covering it up while the bankers hogged almost all the stimulus and bailout money for themselves and took it offshore where it's tax-free.
[00:09:32.538 --> 00:09:35.238]  As you know, most of the Fortune 100 pay zero taxes.
[00:09:35.539 --> 00:09:36.699]  They take the money offshore.
[00:09:37.199 --> 00:09:47.844]  But let's go ahead and play a clip of Tim Geithner, the Treasury Secretary, on Fox Business just a few months ago, saying that there would be no downgrade of the credit rating.
[00:09:47.864 --> 00:09:48.324]  Here it is.
[00:09:48.885 --> 00:09:49.805]  Alright, Connell, thank you.
[00:09:49.825 --> 00:09:51.806]  Mr. Secretary, thanks for joining Fox Business.
[00:09:52.827 --> 00:09:57.829]  Is there a risk that the United States could lose its AAA credit rating, yes or no?
[00:09:58.089 --> 00:09:58.669]  No risk of that.
[00:09:59.010 --> 00:09:59.410]  No risk.
[00:09:59.430 --> 00:09:59.770]  No risk.
[00:09:59.810 --> 00:10:11.939]  Again, if you listen carefully now, you see the leadership of the United States of America, the President, the Republican leadership in both houses, and the Democrats, recognizing now that this is the right thing to do for the economy.
[00:10:12.159 --> 00:10:17.483]  We have to put in place now reforms that bring down our long-term deficits in ways that will help strengthen future growth.
[00:10:17.823 --> 00:10:25.368]  And that's incredibly important recognition by people, and we'd like to put something in place as soon as we can, so we can begin that process.
[00:10:26.673 --> 00:10:31.857]  Now, you can watch the full 7-minute clip at InfoWars.com right now.
[00:10:32.998 --> 00:10:34.359]  It's titled, Flashback.
[00:10:34.419 --> 00:10:35.340]  Geithner said U.S.
[00:10:35.360 --> 00:10:38.622]  would not lose AAA rating after debt limit hike.
[00:10:40.776 --> 00:10:48.101]  You have to understand that we have been signed on under the October 3rd, 2008, quote, banker bailout law.
[00:10:48.821 --> 00:11:00.949]  We have been signed on to $640 plus trillion of the $1.5 quadrillion in growing derivatives, fraud, debt instrument scam, Ponzi garbage.
[00:11:02.430 --> 00:11:10.135]  And that it is impossible for the American people to pay $600 plus trillion, or to pay $40 trillion, or to pay $10 trillion.
[00:11:11.112 --> 00:11:14.354]  Okay, now you hear about our current debt is $14.5 trillion.
[00:11:14.914 --> 00:11:17.856]  Why then are we being told that we're insolvent and bankrupt?
[00:11:18.416 --> 00:11:28.202]  Because we have been signed on, and so has Europe and every other major industrialized country, by our leaders who've been bought and paid for by the big six banks.
[00:11:28.762 --> 00:11:31.104]  We have been signed on to that debt.
[00:11:31.804 --> 00:11:48.055]  And so, as Dr. Paul Craig Roberts, former head of policy at the Department of Treasury, has said, as Dr. Webster Tarpley, economist, has stated, as all of these expert guests in my own research, it's just common sense, have stated, that entire debt limit increase was a dog and pony show.
[00:11:48.636 --> 00:11:53.139]  The Republicans came forward with very small cuts, $2.5 trillion over 10 years.
[00:11:53.159 --> 00:11:53.900]  Give me a break.
[00:11:54.860 --> 00:12:00.343]  The Democrats came in with $1.5 trillion in cuts, most of which didn't start until next year and then over 10 years.
[00:12:01.163 --> 00:12:05.245]  It's total, total, total smoke and mirrors.
[00:12:05.345 --> 00:12:06.765]  It has nothing to do with reality.
[00:12:07.106 --> 00:12:13.428]  So why did they hype up the debt limit increase, something they've done dozens and dozens, like 30-something times in the last two decades?
[00:12:14.069 --> 00:12:16.950]  Why are they making such a big deal out of it?
[00:12:18.629 --> 00:12:22.090]  Well, it wasn't about the actual little debt increase.
[00:12:23.070 --> 00:12:26.111]  It was about what was in that agreement.
[00:12:27.691 --> 00:12:29.892]  Huge tax increases on the middle class.
[00:12:32.793 --> 00:12:37.274]  No real cuts to corporate welfare and defense spending and things like that.
[00:12:39.028 --> 00:13:04.548]  And it gives this board of 12 members, six House, six Senate, with the President as the 13th veto power, that's the Council of 13, couldn't get any more creepy or cryptic, that they now have the power to originate the legislation, and they bring it to the House and Senate, and there is either a up-down vote, and then it goes on to state, this is law now,
[00:13:05.638 --> 00:13:14.328]  It goes on to state that if they don't take the offer they're given by the Council of 13, that then it, quote, reverts to whatever the Council of 13 have shut up.
[00:13:15.128 --> 00:13:17.251]  So that's do what we say or we'll do what we want.
[00:13:18.323 --> 00:13:20.706]  It is incredible authoritarianism.
[00:13:21.547 --> 00:13:33.682]  And as the Associated Press and Huffington Post and New American and Ron Paul and Judge Andrew Napolitano have all stated, it is a new branch of government.
[00:13:38.547 --> 00:13:48.993]  And it is exactly what started happening in the decline of Rome, where a select inter-coterie of Senators teamed up with the Caesars to basically frustrate the will of the rest of the people.
[00:13:50.054 --> 00:13:53.036]  And the Republic is dying, not with a bang, but with a whimper.
[00:13:57.738 --> 00:14:00.100]  So, we're in deep trouble.
[00:14:01.297 --> 00:14:14.428]  Because now, as we predicted, not hard to do, just like three years ago, you give them tens of trillions of dollars, they won't tell Congress where the money went, the big six banks, and then within months, oh, it didn't fix things, we need more.
[00:14:14.588 --> 00:14:15.889]  Oh, it didn't fix things, we need more.
[00:14:16.229 --> 00:14:21.033]  In Europe, in Ireland, in Greece, in Spain, in Portugal, in Italy.
[00:14:21.454 --> 00:14:22.615]  Give us trillions more.
[00:14:23.035 --> 00:14:27.098]  You give them trillions more of your tax money, they don't pay off the derivatives debts.
[00:14:27.819 --> 00:14:33.323]  That the public is signed on to so the economy doesn't, quote, fold because they're too big to fail.
[00:14:35.004 --> 00:14:37.506]  And now they're going into their third round of bailouts in Europe.
[00:14:38.567 --> 00:14:40.088]  Our second round here.
[00:14:40.668 --> 00:14:41.649]  This is how they do it.
[00:14:41.689 --> 00:14:53.437]  This is how they hold you hostage and play on the public's lack of knowledge about how international finance and how fiat currencies and how counterfeit derivative financial instruments operate.
[00:14:54.617 --> 00:14:57.867]  And as, again, as I predicted, this was not hard to see.
[00:14:59.336 --> 00:15:07.882]  The Associated Press, Reuters, the Sunday news shows today, everywhere are saying the Tea Party caused the debt downgrade.
[00:15:08.403 --> 00:15:19.491]  The Tea Party, the people that wanted to audit the Federal Reserve, the people that wanted to get Congress back in control of the purse, the people that want the Constitution and the Second Amendment.
[00:15:19.811 --> 00:15:22.113]  I'm not saying the Tea Party, mainline Tea Party, are perfect.
[00:15:22.493 --> 00:15:24.014]  They're pretty much Republican taken over.
[00:15:24.114 --> 00:15:24.795]  But the point is,
[00:15:26.215 --> 00:15:33.218]  The Republican compromise is $2.5 trillion in cuts over 10 years.
[00:15:33.278 --> 00:15:34.338]  That has nothing to do with this.
[00:15:34.678 --> 00:15:48.784]  We're losing our debt downgrade because S&P and Moody's and others are a revolving door of operatives and corporate officers out of Goldman Sachs, JP Morgan, Bank of England, Citibank, Bank of America.
[00:15:50.345 --> 00:15:51.087]  The Big Six.
[00:15:51.768 --> 00:15:53.892]  But here is the headline.
[00:15:53.912 --> 00:15:56.056]  And we told you this was coming.
[00:15:56.517 --> 00:15:59.022]  White House advisor blames Tea Party for downgrade.
[00:16:01.633 --> 00:16:05.276]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:16:05.596 --> 00:16:13.742]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:16:14.463 --> 00:16:18.506]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:16:19.106 --> 00:16:29.915]  The Silver Lungs Generator infuses the respiratory system with your self-produced nanosilver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:16:30.535 --> 00:16:39.538]  With continued legislation threatening the sale of nanosilver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:16:40.058 --> 00:16:45.100]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:16:45.480 --> 00:16:52.643]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:16:52.963 --> 00:16:55.364]  That's www.silverlungs.com.
[00:16:59.691 --> 00:17:00.832]  A very wealthy U.S.
[00:17:00.872 --> 00:17:07.535]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:17:07.795 --> 00:17:10.096]  He says it will change everything about our lives.
[00:17:10.356 --> 00:17:15.558]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:17:15.739 --> 00:17:18.520]  Now this man has made some outrageous predictions over the years.
[00:17:18.780 --> 00:17:20.841]  The crazy part is, he's usually right.
[00:17:21.081 --> 00:17:27.006]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:17:27.346 --> 00:17:30.528]  In fact, Barron's called his work a dire prophecy.
[00:17:30.708 --> 00:17:36.252]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[00:17:36.493 --> 00:17:37.794]  And it's a real eye-opener.
[00:17:38.134 --> 00:17:39.375]  I can't stress this enough.
[00:17:39.435 --> 00:17:41.977]  You should at least watch this free video online today.
[00:17:42.117 --> 00:17:46.160]  He explains everything you need to know, including simple steps you can take to protect yourself.
[00:17:46.340 --> 00:17:48.362]  You can find the video at www.
[00:17:49.122 --> 00:17:50.823]  End of America 3 dot com.
[00:17:50.943 --> 00:17:53.404]  That's End of America, the number 3 dot com.
[00:17:53.524 --> 00:17:57.265]  Watch the free video at www.EndOfAmerica3.com.
[00:17:57.385 --> 00:17:59.126]  That's EndOfAmerica3.com.
[00:17:59.746 --> 00:18:02.768]  Congratulations to our friends at eFoodsDirect.com.
[00:18:03.088 --> 00:18:07.469]  In August, they celebrate 30 years in the long-term storable food business.
[00:18:07.710 --> 00:18:13.552]  To celebrate, eFoodsDirect.com is offering the lowest price ever on their one-year Freedom Food Supply.
[00:18:13.872 --> 00:18:16.195]  Even less than the price in 1981.
[00:18:16.395 --> 00:18:24.064]  For a limited time, you get 30% off a one-year Freedom Supply, which provides three hearty meals per day for one adult.
[00:18:24.204 --> 00:18:28.489]  The Freedom Supply includes a large variety of fruits and vegetables, dairy,
[00:18:28.729 --> 00:18:29.109]  I'm good.
[00:18:49.875 --> 00:18:50.876]  Now is the time.
[00:18:51.017 --> 00:18:51.277]  Call 800-409-5633.
[00:18:51.297 --> 00:18:53.119]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:18:59.209 --> 00:19:03.452]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:19:03.772 --> 00:19:04.372]  Number one.
[00:19:04.673 --> 00:19:07.835]  New climate legislation could easily double or triple your electric bill.
[00:19:08.095 --> 00:19:08.675]  Number two.
[00:19:08.976 --> 00:19:13.519]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:19:13.859 --> 00:19:14.299]  It's true.
[00:19:14.599 --> 00:19:19.162]  Total government control of electricity in the name of smart grid technology is coming.
[00:19:19.483 --> 00:19:20.023]  Number three.
[00:19:20.303 --> 00:19:23.585]  In some areas of the country, the power grid is dangerously overloaded.
[00:19:23.885 --> 00:19:27.588]  And now, new socialist legislation is only compounding the problem.
[00:19:27.788 --> 00:19:28.329]  Number 4.
[00:19:28.589 --> 00:19:30.951]  Dangerous weather is always a threat to local grids.
[00:19:31.351 --> 00:19:34.734]  Every year, thousands of families lose their power from weather-related outages.
[00:19:35.034 --> 00:19:35.235]  Number 5.
[00:19:35.815 --> 00:19:39.738]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:19:39.959 --> 00:19:44.723]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:19:45.003 --> 00:19:49.045]  You can get more information at www.mysolarbackup.com.
[00:19:49.165 --> 00:19:50.745]  That's mysolarbackup.com.
[00:19:50.966 --> 00:19:53.066]  Remember, the government doesn't own the sun.
[00:19:53.207 --> 00:19:55.808]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:19:55.828 --> 00:20:01.810]  Coast to Coast.
[00:20:02.190 --> 00:20:03.591]  Direct from Austin.
[00:20:04.231 --> 00:20:07.433]  You're listening to the Alex Jones Broadcasting Network.
[00:20:12.287 --> 00:20:15.250]  Crashing through the lies and disinformation.
[00:20:15.871 --> 00:20:19.996]  It's Alex Jones on the GCN Radio Network.
[00:20:23.123 --> 00:20:28.644]  Alright, I'm gonna get into the mysterious shoot-down with at least 20 members of SEAL Team 6 killed.
[00:20:29.384 --> 00:20:38.186]  Coming up, we've also got other news like Google blames human for robot car crash, but all of the human witnesses are saying that what Google says isn't true.
[00:20:38.586 --> 00:20:42.127]  That's right, there's already Google cars driving around without people in them.
[00:20:42.647 --> 00:20:47.748]  It'll totally replace truck drivers, you name it, soon, and they'll show statistics that it's safer, and then make you
[00:20:48.808 --> 00:20:51.469]  Be driven around by the robotic system.
[00:20:51.849 --> 00:20:54.770]  That's all part of the dehumanization coming up.
[00:20:54.790 --> 00:20:55.970]  We're going to be breaking that down.
[00:20:56.090 --> 00:21:05.072]  Also, earlier if you're watching on PrisonPlanet.tv, we stream the radio show also over the web and Living Color at PrisonPlanet.tv.
[00:21:05.092 --> 00:21:11.494]  You saw up on screen we popped Fox News up there for a moment showing huge fires, burning cars, you name it, in London.
[00:21:12.907 --> 00:21:21.922]  And that's after police reportedly shot a unarmed 29-year-old man, and they've been rioting now for two days there.
[00:21:23.131 --> 00:21:27.613]  And I saw another report, and I see these all the time, this is from earlier in the week.
[00:21:27.933 --> 00:21:31.274]  Street vendor beaten to death, riot rocks Chinese city.
[00:21:32.235 --> 00:21:35.476]  And every few days they attack and burn down police stations in China.
[00:21:35.496 --> 00:21:37.797]  They have thousands of riots a year.
[00:21:38.277 --> 00:21:39.738]  Now, here's my question.
[00:21:40.198 --> 00:21:47.841]  What makes Americans different than Brits, who are normally pretty docile, pretty gentlemanly, hence, you know, the Brits are gentlemen.
[00:21:48.741 --> 00:21:53.206]  I guess there's that stereotype or slash soccer hooligans, whichever one you want to pick up on.
[00:21:53.266 --> 00:21:58.552]  But all the time we see people shot and killed or beaten to death by police in the U.S.
[00:21:59.473 --> 00:22:01.956]  and the police then don't even get in trouble when it's on video.
[00:22:03.818 --> 00:22:09.844]  And I keep getting calls about this and comments saying cover it, cover it, even though I probably covered this 15 times.
[00:22:11.544 --> 00:22:20.190]  But it does show folks are outraged by it and now police have spoken out behind the scenes and this has been covered by KFI and other stations out in LA.
[00:22:21.829 --> 00:22:22.049]  I think?
[00:22:53.296 --> 00:22:56.349]  I got a clip of Limbaugh saying Abu Ghraib is letting off some steam.
[00:22:57.703 --> 00:23:24.730]  uh... and so that's the new america i mean uh... and and people by the way his dad is a retired police officer and says he's very ashamed of ever being associated with the uh... police department because he's so shocked that uh... they want him to release the tape nobody's in trouble what two three weeks into this and uh... even though people are now leaking the fact that it is just brutal he just lays there blood just running out and they just like children that think they're playing WWF wrestling
[00:23:25.470 --> 00:23:29.193]  Just start knee-dropping into his neck, blood shooting out.
[00:23:29.553 --> 00:23:34.377]  Reportedly, blood was splattering up to 10 feet away on police officers' faces.
[00:23:34.697 --> 00:23:40.001]  That only seemed to... But I actually support this, because I'm not anti-law enforcement.
[00:23:40.342 --> 00:23:42.824]  And I think that they need to let off some steam.
[00:23:42.844 --> 00:23:46.907]  Of course, I'm being sickeningly sarcastic and illustrating absurdity by being absurd.
[00:23:47.848 --> 00:23:50.530]  The point is, is that we have a lot of good police in this country.
[00:23:51.010 --> 00:23:55.973]  But we also have a lot of really bad police forces where thugs run them and where they can get away with bloody murder.
[00:23:56.394 --> 00:24:00.176]  And it's called tyranny, just like we know there's tyranny in Mexico or North Korea.
[00:24:00.516 --> 00:24:04.259]  And we know that when you live in a tyranny, the tyranny is personified by the uniform.
[00:24:05.660 --> 00:24:11.183]  Once guardians of the Republic, now guardians of the New World Order in many, many cases.
[00:24:12.224 --> 00:24:16.246]  So there I am covering that case again of Kelly Thomas, 37.
[00:24:19.191 --> 00:24:20.572]  No weapons on him, no nothing.
[00:24:21.452 --> 00:24:25.534]  And that's just the end of it, and it was all witnessed by people that also saw it.
[00:24:27.114 --> 00:24:34.717]  And there's grainy footage shot from somebody's cell phone about 60 feet away, and he begs for his dad for a while until he succumbs to gurgling blood.
[00:24:35.237 --> 00:24:40.279]  He's screaming, Daddy, Daddy, help me, and they just keep laughing and tasering and then slaughter him hardcore.
[00:24:40.919 --> 00:24:42.020]  All right, well, there you go.
[00:24:42.600 --> 00:24:45.241]  And don't worry, the banks are going to slaughter your pension funds, police.
[00:24:45.561 --> 00:24:47.562]  You think you've been given all this power for no reason?
[00:24:48.282 --> 00:24:49.763]  I see the reports all over the country.
[00:24:49.803 --> 00:24:53.585]  We're in Texas, in small towns everywhere, the police even go on camera and admit it.
[00:24:54.025 --> 00:24:56.506]  They pull over old women, young people, they don't care.
[00:24:56.866 --> 00:24:58.787]  You got 500 bucks in your wallet, they take it.
[00:24:59.307 --> 00:25:00.948]  You can even have the ATM receipt.
[00:25:01.048 --> 00:25:03.469]  They say, we don't care, we're taking your cash.
[00:25:04.309 --> 00:25:06.650]  And they're so proud, they go on TV and admit it.
[00:25:07.532 --> 00:25:14.857]  And just like in New York, we have footage of police coming up to peaceful demonstrators and saying, we're going to say your bag's a bomb and your camera's a gun.
[00:25:14.877 --> 00:25:16.218]  You're going to go to jail for terrorism.
[00:25:16.719 --> 00:25:16.939]  Leave.
[00:25:16.959 --> 00:25:17.860]  You're not allowed to protest.
[00:25:17.880 --> 00:25:19.041]  And they say, but I even have the permit.
[00:25:19.061 --> 00:25:20.422]  And they say, I don't care.
[00:25:20.582 --> 00:25:21.763]  I'm going to say you got a bomb and a gun.
[00:25:22.719 --> 00:25:24.199]  And they say, OK, I'm leaving.
[00:25:24.219 --> 00:25:27.380]  And the cops let them leave with that on tape.
[00:25:27.500 --> 00:25:33.661]  I mean, again, that is a felony to sit there and say, I will call in a fake bomb threat.
[00:25:34.001 --> 00:25:35.021]  I will have you arrested.
[00:25:35.481 --> 00:25:39.522]  And then grab the camera and say, this is a gun while it's still running and not even care that it's on tape.
[00:25:39.542 --> 00:25:40.582]  And then say, oh, you've agreed to go?
[00:25:40.842 --> 00:25:41.263]  Now leave.
[00:25:41.583 --> 00:25:46.043]  I mean, that is committing hardcore felonies right out in front of everyone.
[00:25:46.303 --> 00:25:48.644]  But see, criminals run America now.
[00:25:49.264 --> 00:25:58.980]  At every major level and so they want a criminal force just like Stalin released the violent prisoners out of prison and made them his top lieutenants.
[00:26:00.041 --> 00:26:01.942]  And that's who government now looks for.
[00:26:02.463 --> 00:26:08.227]  I saw the footage of that raid on a public organic store that had been open for many years.
