[00:00:00.407 --> 00:00:01.507]  We've got it.
[00:15:26.503 --> 00:15:27.944]  Now, what's the bigger issue here?
[00:15:28.404 --> 00:15:42.248]  A precedent has been set under global governance and the UN that Western intelligence agencies go in to any country they want, including Iran, not just Libya, have them start an armed resistance to the government,
[00:15:43.120 --> 00:15:44.581]  Whether that government's legitimate or not.
[00:15:45.462 --> 00:15:54.028]  And then, if the rebels are defeated, America, NATO, and Europe are then committed to bombard and then invade.
[00:15:54.389 --> 00:15:57.191]  This is the beginning of what could be World War III.
[00:15:57.611 --> 00:15:58.372]  We'll break it down.
[00:16:01.579 --> 00:16:08.262]  Alex has told you that the Mideast uprisings over food prices and shortages caused by fuel costs are spreading worldwide.
[00:16:08.603 --> 00:16:10.844]  We're seeing the impact right here in the United States.
[00:16:11.284 --> 00:16:20.088]  Ethanol, that was supposed to reduce petroleum use and fuel prices, hit a 30-month high in February, and pump prices are expected to reach $5 a gallon.
[00:16:20.328 --> 00:16:28.232]  Because of shipping costs, food is being priced out of the reach of millions of Americans, with an expected 35% jump in the next 60 days.
[00:16:28.572 --> 00:16:29.713]  Move quickly while you can
[00:16:29.753 --> 00:16:30.053]  I think so.
[00:17:00.049 --> 00:17:01.150]  A very wealthy U.S.
[00:17:01.190 --> 00:17:07.873]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[00:17:08.154 --> 00:17:10.435]  He says it will change everything about our lives.
[00:17:10.695 --> 00:17:15.858]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[00:17:16.078 --> 00:17:18.859]  Now, this man has made some outrageous predictions over the years.
[00:17:19.119 --> 00:17:21.220]  The crazy part is, he's usually right.
[00:17:21.420 --> 00:17:27.363]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[00:17:27.683 --> 00:17:30.884]  In fact, Barron's called his work a dire prophecy.
[00:17:31.064 --> 00:17:36.587]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[00:17:36.847 --> 00:17:38.147]  And it's a real eye-opener.
[00:17:38.488 --> 00:17:39.648]  I can't stress this enough.
[00:17:39.768 --> 00:17:42.329]  You should at least watch this free video online today.
[00:17:42.449 --> 00:17:43.870]  He explains everything you need to know.
[00:17:44.150 --> 00:17:46.472]  Including simple steps you can take to protect yourself.
[00:18:01.616 --> 00:18:05.259]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:18:05.599 --> 00:18:13.705]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:18:14.466 --> 00:18:18.489]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:18:19.089 --> 00:18:29.918]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:18:30.518 --> 00:18:39.541]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless loyal silver with the Silver Lungs Generator.
[00:18:40.041 --> 00:18:45.103]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:18:45.463 --> 00:18:52.646]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:18:52.946 --> 00:18:55.707]  That's www.SilverLungs.com.
[00:19:00.845 --> 00:19:04.489]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:19:04.869 --> 00:19:07.873]  This is our last chance to not relive history.
[00:19:08.113 --> 00:19:12.898]  As we're finishing off this agenda, they'll be pulling the rug from underneath the Americans at home.
[00:19:12.918 --> 00:19:19.145]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:19:19.305 --> 00:19:21.548]  I think it's incumbent upon all of us
[00:19:22.048 --> 00:19:22.348]  Tim Geithner?
[00:19:22.388 --> 00:19:22.808]  Bernanke?
[00:19:22.888 --> 00:19:23.509]  They're arsonists!
[00:19:23.569 --> 00:19:24.829]  They're asking for more matches!
[00:19:24.849 --> 00:19:27.090]  And the Congress is saying, who do we make the check out to?
[00:19:40.976 --> 00:19:42.817]  Today seems like nobody does care.
[00:19:42.837 --> 00:19:47.860]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:19:48.260 --> 00:19:58.185]  Get your copy of Fall of the Republic on DVD at Infowars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:20:01.226 --> 00:20:04.208]  Coast to Coast, direct from Austin.
[00:20:04.808 --> 00:20:08.030]  You're listening to the Alex Jones Broadcasting Network.
[00:20:13.820 --> 00:20:14.520]  Big Brother.
[00:20:14.800 --> 00:20:16.081]  Mainstream media.
[00:20:16.481 --> 00:20:17.621]  Government cover-ups.
[00:20:17.861 --> 00:20:18.821]  You want answers?
[00:20:19.122 --> 00:20:20.182]  Well, so does he.
[00:20:21.202 --> 00:20:28.424]  It's Alex Jones on the GCN Radio Network.
[00:20:29.404 --> 00:20:31.685]  Let me simplify this.
[00:20:31.805 --> 00:20:38.047]  Let me boil this down very, very simply for any new listeners.
[00:20:40.686 --> 00:20:52.425]  I was at the gas station yesterday afternoon getting gas, and I also went over to the Netflix machine and rented a movie.
[00:20:54.039 --> 00:21:04.303]  To watch with my wife, and when I walked over to the counter, I saw the two guys behind the counter and a bunch of men buying beer, celebrating, going, woo-hoo!
[00:21:04.383 --> 00:21:05.644]  As I walk up, woo-hoo!
[00:21:05.724 --> 00:21:06.284]  Yeah!
[00:21:06.644 --> 00:21:07.825]  Blow up Gaddafi!
[00:21:07.885 --> 00:21:08.325]  Yeah!
[00:21:08.425 --> 00:21:08.865]  Get him!
[00:21:08.965 --> 00:21:09.586]  Yeah!
[00:21:09.686 --> 00:21:10.146]  War!
[00:21:10.206 --> 00:21:11.326]  We feel powerful!
[00:21:11.607 --> 00:21:19.350]  We feel personally big, watching cruise missiles and bombs dropping on some country who they don't know the history of or understand anything about.
[00:21:19.370 --> 00:21:21.751]  They personally felt manly.
[00:21:23.024 --> 00:21:24.145]  I didn't say anything to him.
[00:21:26.506 --> 00:21:32.288]  I just got my ice cream, and my vitamin water, and my movie, and I left.
[00:21:33.329 --> 00:21:34.969]  But now I'm going to address those guys.
[00:21:36.050 --> 00:21:42.253]  Foreign big megabanks, multinational corporations, bigger than most nations' GDP, are ruthless.
[00:21:42.313 --> 00:21:46.815]  They want the trillion-plus dollars of oil left there in Libya.
[00:21:47.575 --> 00:21:51.377]  They prop up dictators all over the world, and then they betray them.
[00:21:52.268 --> 00:21:55.290]  And they don't want to put people who want freedom into those nations.
[00:21:55.610 --> 00:21:58.512]  They want to put other tyrants in that will follow their orders.
[00:21:59.472 --> 00:22:07.316]  The very same banks that are running this are the ones that have used America's credit card that's bankrupt to fund the military bases in 160 plus countries.
[00:22:07.336 --> 00:22:08.077]  Over 3,000 of them, total bases.
[00:22:12.725 --> 00:22:14.047]  They don't care about you.
[00:22:14.368 --> 00:22:20.459]  I know you feel manly watching cruise missiles fire from ships, but get it through your head.
[00:22:20.799 --> 00:22:23.304]  This country has been financially hijacked.
[00:22:24.844 --> 00:22:26.244]  Meanwhile, U.S.
[00:22:26.605 --> 00:22:34.607]  allies, as they call them, are machine-gunning peaceful demonstrators in Yemen, in Bahrain, and many other countries.
[00:22:34.787 --> 00:22:42.549]  Every nation in the Arab League that has been backing these attacks is a Western-backed, neo-colonialist puppet.
[00:22:43.529 --> 00:22:44.950]  And it's all about oil.
[00:22:45.310 --> 00:22:46.410]  And you have the U.N.
[00:22:46.470 --> 00:22:53.252]  Friday passing a resolution, no authorization from Congress, our ceremonial government, more and more,
[00:22:55.071 --> 00:22:58.432]  Not saying a word about U.S.
[00:22:58.692 --> 00:22:59.092]  force.
[00:22:59.693 --> 00:23:03.034]  Hundreds of cruise missiles and now reportedly U.S.
[00:23:03.094 --> 00:23:08.036]  aircraft in the air and French and British bombing Tripoli right now.
[00:23:09.156 --> 00:23:10.337]  This is world government.
[00:23:10.377 --> 00:23:11.757]  What did Obama say in his speech?
[00:23:12.797 --> 00:23:16.039]  He said, well, these are protesters that have been arrested, who've been attacked.
[00:23:16.099 --> 00:23:18.139]  Well, what happened in Brazil?
[00:23:18.179 --> 00:23:19.540]  They had to arrest a bunch of people.
[00:23:20.573 --> 00:23:21.674]  Here's an AP headline.
[00:23:21.734 --> 00:23:23.896]  Anti-war protesters arrested near White House.
[00:23:24.236 --> 00:23:25.297]  They didn't have a permit.
[00:23:25.717 --> 00:23:29.881]  Obama cancels public speech in Rio Square after riots and arrest.
[00:23:30.241 --> 00:23:33.363]  Obama's Brazil presser scrubbed.
[00:23:33.463 --> 00:23:34.464]  No press conference.
[00:23:35.425 --> 00:23:36.946]  Are we going to invade Brazil?
[00:23:37.667 --> 00:23:43.692]  Every time a group of rebels with weapons start shooting police and attacking military,
[00:23:44.719 --> 00:23:47.381]  In Iran or wherever, Indonesia, you name it.
[00:23:47.701 --> 00:23:52.145]  I mean, if the people in Russia rose up, would we then have war with Russia?
[00:23:52.645 --> 00:23:55.527]  Because, oh, they're being mean to their population.
[00:23:55.687 --> 00:23:57.288]  And then it turns out most of it's a lie.
[00:23:57.729 --> 00:23:59.730]  Sure, Gaddafi's a dictator of 41 years.
[00:24:00.331 --> 00:24:02.732]  I don't like Muammar Gaddafi and his clown suits.
[00:24:03.593 --> 00:24:05.874]  But the truth is, he's a hardcore guy.
[00:24:06.314 --> 00:24:10.375]  He handed out a million weapons today to his population to resist this invasion.
[00:24:10.935 --> 00:24:13.595]  The globalists just a week ago said they would never bombard.
[00:24:13.975 --> 00:24:15.176]  They would just have a no-fly zone.
[00:24:15.216 --> 00:24:15.996]  Now they're bombing it.
[00:24:16.456 --> 00:24:18.256]  Then they said they'd never physically invade.
[00:24:18.457 --> 00:24:32.780]  But if you read the UN statement of Friday, and if you listen to Obama's speech and Hillary's speech, they said, you will accept a humanitarian assistance UN force, a military, or we will invade you.
[00:24:34.346 --> 00:24:35.226]  Another war!
[00:24:35.366 --> 00:24:40.107]  Three wars going on that cost over a trillion dollars a year.
[00:24:40.888 --> 00:24:43.188]  The public defense budget's $1.1 trillion.
[00:24:43.308 --> 00:24:45.069]  Off-budget, at least $800 billion.
[00:24:45.409 --> 00:24:46.809]  You're close to $2 trillion there.
[00:24:47.169 --> 00:24:48.849]  Not to mention supplemental funding.
[00:24:49.170 --> 00:24:50.250]  We're going bankrupt.
[00:24:50.450 --> 00:24:52.070]  But the defense contractors don't care.
[00:24:52.090 --> 00:24:52.750]  They're making money.
[00:24:53.210 --> 00:24:54.671]  That's another form of corporate welfare.
[00:24:54.991 --> 00:24:56.231]  I'm not just against the unions.
[00:24:56.531 --> 00:24:58.932]  I'm against the corporate welfare for the defense contractors.
[00:24:59.252 --> 00:25:00.472]  Just like Ron Paul is.
[00:25:00.792 --> 00:25:03.513]  This is an unconstitutional act of war.
[00:25:06.014 --> 00:25:07.697]  And it's all based on lies.
[00:25:07.738 --> 00:25:09.361]  They told us he fled to Venezuela twice.
[00:25:09.441 --> 00:25:09.922]  Wasn't true.
[00:25:10.142 --> 00:25:11.625]  They told us he ran to Zimbabwe.
[00:25:11.665 --> 00:25:12.146]  Wasn't true.
[00:25:12.506 --> 00:25:14.290]  They told us he was going to flee last week.
[00:25:14.350 --> 00:25:14.851]  Wasn't true.
[00:25:16.610 --> 00:25:19.952]  It's now admitted that what was said a month ago wasn't true by the White House.
[00:25:20.032 --> 00:25:23.154]  These rebels are U.S., NATO, British, French funded.
[00:25:23.935 --> 00:25:26.276]  Western commandos have been arrested.
[00:25:27.137 --> 00:25:28.257]  They are in the country.
[00:25:28.798 --> 00:25:30.959]  This whole thing is a fraud and a lie.
[00:25:31.179 --> 00:25:40.285]  This isn't just some simple, mindless, our football team is attacking somebody, and guys at a gas station are going, whoo-hoo, as I walk up with my ice cream.
[00:25:40.665 --> 00:25:43.226]  They're going, yeah, and guys are high-fiving each other over the counter.
[00:25:43.487 --> 00:25:44.767]  Yeah, we're attacking Libya!
[00:25:44.968 --> 00:25:45.168]  Whoo-hoo!
[00:25:45.890 --> 00:25:46.334]  Woo-hoo!
[00:25:46.435 --> 00:25:47.646]  We feel tough right now!
