[00:00:00.009 --> 00:00:00.780]  Radio Network.
[00:04:15.408 --> 00:04:26.110]  London Telegraph, Japan nuclear crisis, evacuees turned away from shelters because the medical personnel are scared to treat them because they're so radioactive.
[00:04:28.137 --> 00:04:35.639]  I mean, the people from the Fukushima region, the prefecture, are so radioactive that they're being turned away all over Japan.
[00:04:36.379 --> 00:04:37.720]  Think there's some radiation going on?
[00:04:38.200 --> 00:04:40.200]  Oh, it's in our milk, but it's not a problem.
[00:04:40.220 --> 00:04:41.521]  It's no big deal.
[00:04:43.201 --> 00:04:47.502]  Another headline, Fukushima radiation doubled Chernobyl outside evacuation zone.
[00:04:48.123 --> 00:04:50.063]  That's outside the evacuation zone.
[00:04:50.403 --> 00:04:53.184]  The Japanese are telling the kids, go to school, even in Fukushima.
[00:04:54.125 --> 00:04:55.850]  Even in the local area.
[00:04:56.531 --> 00:04:58.336]  We're gonna come right back and break it all down.
[00:04:58.536 --> 00:04:59.038]  Stay with us.
[00:04:59.078 --> 00:05:01.343]  Powerful, important transmission lined up today.
[00:05:06.812 --> 00:05:07.713]  Tyranny is here.
[00:05:08.073 --> 00:05:11.777]  The grim future foretold in 1984 has become reality.
[00:05:11.938 --> 00:05:14.220]  It really says that the state is God.
[00:05:14.240 --> 00:05:19.686]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:05:20.106 --> 00:05:26.333]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:05:26.753 --> 00:05:32.318]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:05:32.738 --> 00:05:36.401]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:05:36.922 --> 00:05:40.905]  Prepare to enter the secretive world of emergency dictatorship.
[00:05:41.206 --> 00:05:46.730]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[00:05:47.151 --> 00:05:50.113]  It's only the beginning of the New World Order's hellish plan.
[00:05:50.714 --> 00:05:52.135]  The police state isn't coming.
[00:05:52.695 --> 00:05:53.136]  It's here.
[00:05:53.776 --> 00:06:00.781]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:06:02.962 --> 00:06:08.386]  When you're out on the road, the last place you want to be is on the road.
[00:06:09.607 --> 00:06:14.370]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:06:14.750 --> 00:06:21.475]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:06:23.479 --> 00:06:25.645]  They sew pride in every stitch.
[00:06:27.549 --> 00:06:29.855]  Guarantee you love the way they fit.
[00:06:31.980 --> 00:06:35.863]  They put a Diamond Gusset in the crotch, where you need it most.
[00:06:36.563 --> 00:06:41.187]  Blue Diamond Gussets got it, others don't.
[00:06:41.627 --> 00:06:43.508]  We turn jeans inside out.
[00:06:43.788 --> 00:06:45.290]  Diamond Gusset Jeans.
[00:06:45.570 --> 00:06:48.132]  Made in the USA with unparalleled quality.
[00:06:48.452 --> 00:06:54.716]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection, so you can ride all day with confidence.
[00:06:55.076 --> 00:06:57.298]  Order yours at gusset.com.
[00:06:57.778 --> 00:07:00.961]  Diamond Gusset Jeans got it, others don't.
[00:07:02.196 --> 00:07:06.419]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:07:06.739 --> 00:07:07.019]  Number 1.
[00:07:07.659 --> 00:07:10.801]  New climate legislation could easily double or triple your electric bill.
[00:07:11.082 --> 00:07:11.642]  Number 2.
[00:07:11.942 --> 00:07:16.485]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:07:16.825 --> 00:07:17.286]  It's true.
[00:07:17.586 --> 00:07:22.129]  Total government control of electricity in the name of smart grid technology is coming.
[00:07:22.449 --> 00:07:22.989]  Number 3.
[00:07:23.269 --> 00:07:26.551]  In some areas of the country, the power grid is dangerously overloaded.
[00:07:26.872 --> 00:07:30.554]  And now, new socialist legislation is only compounding the problem.
[00:07:30.754 --> 00:07:31.315]  Number 4.
[00:07:31.555 --> 00:07:33.917]  Dangerous weather is always a threat to local grids.
[00:07:34.318 --> 00:07:37.701]  Every year, thousands of families lose their power from weather-related outages.
[00:07:38.002 --> 00:07:38.542]  Number 5.
[00:07:38.802 --> 00:07:42.707]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:07:42.947 --> 00:07:47.712]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:07:47.992 --> 00:07:52.014]  You can get more information at www.mysolarbackup.com.
[00:07:52.154 --> 00:07:53.715]  That's mysolarbackup.com.
[00:07:53.935 --> 00:07:56.016]  Remember, the government doesn't own the sun.
[00:07:56.196 --> 00:07:58.797]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:07:59.017 --> 00:08:05.340]  He's the T-Rex of political talk.
[00:08:05.861 --> 00:08:08.662]  Alex Jones on the GCN Radio Network.
[00:08:37.625 --> 00:08:38.866]  We are back live.
[00:08:38.926 --> 00:08:43.391]  I barely slid into my chair here out there during the break working on things.
[00:08:44.252 --> 00:08:45.954]  But we are live.
[00:08:45.974 --> 00:08:47.796]  Phil, what's so funny?
[00:08:49.077 --> 00:08:51.579]  Phil is out there acting like he... Do what?
[00:08:53.421 --> 00:08:54.162]  A close call.
[00:08:55.748 --> 00:09:08.557]  And we got all this incredibly serious news, and I was out there during the break working on some other news reports that we're collating, and I barely made it back in live here, but we are now back in the saddle.
[00:09:08.977 --> 00:09:11.799]  Thank you so much for joining us today.
[00:09:11.819 --> 00:09:14.521]  You're still laughing.
[00:09:14.541 --> 00:09:15.522]  What, did something else happen?
[00:09:17.119 --> 00:09:20.722]  Okay, now just everybody's laughing like I'm Yosemite Sam or something.
[00:09:21.603 --> 00:09:23.084]  We are live, ladies and gentlemen.
[00:09:23.184 --> 00:09:31.210]  It is the 31st day of March 2011, and we're going to be live here for the next three hours.
[00:09:31.250 --> 00:09:40.998]  Dr. Webster Tarpley will be joining us coming up, dealing with the fact that it's become a firestorm in the media, and it's being debated all over talk radio now.
[00:09:41.078 --> 00:09:43.440]  Mainline conservatives are finally going, wait a minute.
[00:09:44.790 --> 00:09:51.175]  Ammar al-Awlaki, the head of Al-Qaeda under bin Laden, who runs all the major attacks, is hanging out secretly at the Pentagon.
[00:09:51.575 --> 00:09:53.016]  Fox News Associated Press.
[00:09:53.496 --> 00:10:05.105]  You notice we've been beating this drum for months and now it's finally getting out there because everybody's heard me basically talk about this and others discuss it over the years and we've been made fun of even though we had the facts.
[00:10:05.965 --> 00:10:18.050]  And now they're seeing all these mainstream news headlines about, yes, the core of the fighters are being basically armed by NATO, and they are Al-Qaeda, and they are attacking Qaddafi.
[00:10:18.911 --> 00:10:22.752]  And yes, the airstrikes are killing civilians, but this is liberty.
[00:10:22.852 --> 00:10:26.174]  And people are going, wait a minute, Al-Qaeda is now the good guys?
[00:10:26.554 --> 00:10:33.457]  So coming up in the next hour with Webster Griffin Tarpley, we're going to break all of this down today.
[00:10:35.339 --> 00:10:44.648]  Now, in the meantime, shifting into obviously the most important news, we're going to be going over the radiation now being picked up in milk here in the United States.
[00:10:45.268 --> 00:10:49.392]  We're going to get into Walmart CEO Bill Simon expects inflation.
[00:10:49.432 --> 00:10:51.714]  Inflation's already here, my friends.
[00:10:52.455 --> 00:10:57.780]  We're also going to get into farmers and seed producers launch preemptive strike against Monsanto.
[00:10:59.235 --> 00:11:09.661]  We're also going to get into the fact that they're claiming that they are going to avert a government shutdown with Congress.
[00:11:10.441 --> 00:11:13.062]  But why even worry about a government shutdown?
[00:11:13.162 --> 00:11:16.424]  I mean, why not just have the president run everything and be a dictator?
[00:11:16.464 --> 00:11:22.327]  I mean, he already ordered military strikes because the UN gave him an order and didn't even consult Congress.
[00:11:23.888 --> 00:11:38.986]  We already have the unelected SPP, Security Prosperity Partnership for North American Integration in AU merger board setting most of our policies with Canada and Mexico and trade in the North American continent.
[00:11:39.407 --> 00:11:41.629]  So why is it even an issue?
[00:11:42.998 --> 00:11:43.218]  I don't
[00:12:04.864 --> 00:12:12.833]  Coming up on three weeks tomorrow, we have seen, since March 11th, an ongoing cover-up by the Japanese government.
[00:12:12.893 --> 00:12:25.127]  For two weeks, the Japanese government would not release any radiation numbers from the two prefectures, or the two states, surrounding the Fukushima 6 reactor facility.
[00:12:25.808 --> 00:12:35.338]  Yesterday they reported another reactor seven miles away is now smoking and may be on fire.
[00:12:35.919 --> 00:12:39.423]  Most of the emergency personnel were pulled out more than two weeks ago.
[00:12:39.443 --> 00:12:40.223]  The U.S.
[00:12:40.283 --> 00:12:44.488]  military pulled back to 200 miles away two weeks ago.
[00:12:45.989 --> 00:12:46.870]  Last week the U.S.
[00:12:46.890 --> 00:12:51.514]  military said they may begin forced evacuations of U.S.
[00:12:51.554 --> 00:12:52.674]  personnel and citizens.
[00:12:52.714 --> 00:12:56.217]  We've gotten many calls on and off air saying that indeed the U.S.
[00:12:56.237 --> 00:12:58.619]  military is going to addresses of U.S.
[00:12:58.659 --> 00:12:59.980]  citizens and telling them to leave.
[00:13:00.540 --> 00:13:07.445]  Major corporations, major media outlets from around the world, France, the U.S., you name it, have completely pulled out of Japan.
[00:13:08.246 --> 00:13:16.742]  the government announced two days ago that it's a maximum uh... alert uh... the greatest alert since world war two that they have been under
[00:13:17.802 --> 00:13:26.887]  We know that at least five of the six reactors have either completely exploded, two of the internal containment vessels have been breached.
[00:13:27.688 --> 00:13:45.798]  At the number two reactor, now going back two days ago, or a day and a half ago, plutonium and uranium has leached out through the broken vessel from the huge explosions and fires and has melted through the concrete floor and into the water table below.
[00:13:46.658 --> 00:13:59.968]  That's why they're reporting 100,000 times safe levels of uranium, plutonium, and all the other deadly isotopes of cesium, radioactive iodine.
[00:14:00.068 --> 00:14:01.148]  It is incredible.
[00:14:02.770 --> 00:14:09.554]  And our media is mainly focused on Libya, mainly focused on NCAA, mainly focused on
[00:14:10.749 --> 00:14:19.173]  Issues of little or no significance, and because this radiation is invisible, it's being played down.
[00:14:19.193 --> 00:14:38.322]  But we know a huge cover-up has taken place, and we know as of a week ago, radiation had already gone from Japan over the Pacific, over North America, over the Atlantic, first reaching Iceland, then England, and now Western Europe, going into Eastern Europe, and will soon
[00:14:38.942 --> 00:14:39.282]  It's
[00:14:59.542 --> 00:15:00.123]  We're good to go.
[00:15:19.411 --> 00:15:34.189]  Well, that's not one one thousandth of what it would be like to walk out in your backyard at night to throw some trash in the dumpster, in the trash can, and your dog runs out behind you and scares a skunk, and the skunk sprays you and the dog.
[00:15:35.130 --> 00:15:37.373]  That actually happened to me many years ago.
[00:15:38.257 --> 00:15:55.172]  Now let me tell you, being sprayed directly by a skunk is obviously, conservatively, a thousand times more intense actually being sprayed by a skunk that you've startled than when a car has run one over an hour before and you just drive through and get a whiff of it.
[00:15:56.229 --> 00:16:04.573]  And so basically that's what's happening is the detectors are just barely picking up the skunk stink.
[00:16:04.593 --> 00:16:08.055]  You ever smelled a skunk from really far away and you're like, that's a skunk.
[00:16:08.115 --> 00:16:09.315]  It almost kind of smells good.
[00:16:09.335 --> 00:16:15.938]  A lot of finer French perfumes actually use a little bit of skunk musk in them to carry the scent to the olfactory nerve.
[00:16:15.958 --> 00:16:16.959]  They attach other
[00:16:17.939 --> 00:16:18.880]  Other smells to it.
[00:16:18.900 --> 00:16:21.962]  That's one of the French perfume maker's secrets.
[00:16:23.684 --> 00:16:28.728]  So we're just getting a whiff of Pepe Le Pew's radioactive stench.
[00:16:29.208 --> 00:16:35.754]  Japan is getting a full frontal, 100,000 times safe levels, spray of the skunk in the face.
[00:16:36.869 --> 00:16:38.852]  But the problem is this skunk doesn't spray once.
[00:16:39.372 --> 00:16:49.425]  For three weeks tomorrow, it's exploding, burning, belching out the radioactive skunk stink, and it's going out over the Pacific, and most of it's going in the water.
[00:16:50.438 --> 00:17:08.246]  Then it gets into the krill, it gets into the diatoms, it gets into the plankton that is then eaten by the krill, eaten by the shrimp, eaten by the crabs, eaten by the smaller fish, the anchovies, then eaten by the tuna, then eaten by the humans.
[00:17:08.386 --> 00:17:13.589]  And it bioaccumulates all these different radioactive isotopes and toxins
[00:17:14.549 --> 00:17:19.194]  Because even if some of these isotopes decay quickly, they're still very poisonous, even when they've already decayed.
[00:17:19.215 --> 00:17:26.142]  And then, you're going to be eating that fish, and the media, guaranteed, is going to tell you, don't worry, we're not even testing the fish.
[00:17:27.130 --> 00:17:30.491]  Remember what happened going back more than two weeks ago, just a few days into this.
[00:17:30.912 --> 00:17:38.255]  Aircraft were coming in, commercial aircraft, into Dallas, San Francisco, Chicago, and they were doing radiation testing.
[00:17:38.295 --> 00:17:39.175]  Now they're not even doing it.
[00:17:39.875 --> 00:17:45.938]  And the Geiger counters would go off the chart, on their shoes particularly, and they just said, go, it's fine.
[00:17:46.158 --> 00:17:53.224]  We're not going to have emergency scrubbers that every city has for homeland security, NBC attack, nuclear, chemical, biological.
[00:17:53.624 --> 00:17:57.347]  We're not going to, sorry, we're taking your clothes, we're giving you, you know, something new to wear.
[00:17:57.387 --> 00:17:58.848]  You got to go in this decon.
[00:17:59.088 --> 00:18:01.891]  We're going to scrub you off, you know, with this soap.
[00:18:01.931 --> 00:18:03.432]  You got to get as much of this off.
[00:18:03.972 --> 00:18:07.235]  They're not sitting the shoes and clothes to a nuclear waste dump.
[00:18:07.495 --> 00:18:08.736]  They're just, come on in.
[00:18:09.477 --> 00:18:10.678]  Come on into America.
[00:18:11.684 --> 00:18:25.317]  You know, they'll confiscate your pocket knife, or they'll confiscate your bottled water, or they'll confiscate your laptop and download the contents onto it without a warrant, which the courts have ruled they can't do, but they don't care, they don't stop.
[00:18:25.617 --> 00:18:27.178]  They're going to stick their hands down your pants.
[00:18:27.579 --> 00:18:34.025]  But when you get off an airplane and they had Geiger counters and they showed serious levels of radiation, nothing's going to happen.
[00:18:34.909 --> 00:18:39.774]  They're just going to let that on out to the public because that's part of the policy of, okay, it's in the milk.
[00:18:40.375 --> 00:18:41.877]  Okay, it's getting into the vegetables.
[00:18:42.337 --> 00:18:43.018]  Don't worry about it.
[00:18:43.518 --> 00:18:44.459]  Okay, it's in the fish.
[00:18:44.660 --> 00:18:45.380]  Don't worry about it.
[00:18:46.121 --> 00:18:46.762]  It's low level.
[00:18:46.782 --> 00:18:47.563]  It's not bad for you.
[00:18:47.823 --> 00:18:49.965]  Just like they tell the troops with depleted
[00:18:51.184 --> 00:18:58.731]  Uranium, and they've got Ann Coulter on the fake right, and they've got George Mombiot on the socialist left, calling for world government, saying, hey, we like radiation.
[00:18:58.752 --> 00:19:02.115]  The people of Fukushima, Ann Coulter's out there saying, should be happy.
[00:19:02.455 --> 00:19:03.656]  They're not going to get cancer now.
[00:19:04.577 --> 00:19:07.560]  Really, Fox News, Japan's nuclear rescuers.
[00:19:07.900 --> 00:19:10.123]  Inevitable, some of them may die within weeks.
[00:19:11.462 --> 00:19:13.983]  What did the plant head, when he broke down a week and a half ago, say?
[00:19:14.763 --> 00:19:18.564]  When he started crying, he said, no, there is super high levels of radiation.
[00:19:18.584 --> 00:19:19.804]  This is going to kill a bunch of people.
[00:19:19.925 --> 00:19:20.785]  I can't lie to you.
[00:19:21.165 --> 00:19:22.465]  Oh, guess where he is now?
[00:19:23.105 --> 00:19:24.086]  The guy that broke down.
[00:19:24.506 --> 00:19:27.787]  President of Fukushima Nuclear Power Plant operator hospitalized.
[00:19:28.167 --> 00:19:29.187]  He's been out at the plant.
[00:19:29.627 --> 00:19:33.689]  They're saying, well, we're not going to really say why, but it's high blood pressure and stress, probably.
[00:19:34.129 --> 00:19:34.629]  Yeah, sure.
[00:19:35.848 --> 00:19:44.855]  And there's other reports here that the Japanese government's not releasing info, just like they did with radiation detectors for a few weeks, on exactly what's happening with people who have radiation sickness.
[00:19:45.916 --> 00:19:46.256]  But...
[00:19:50.219 --> 00:19:56.345]  Medical facilities and shelters in the southern area of Japan are refusing the evacuees because of fears of radiation.
[00:19:56.365 --> 00:19:57.666]  We'll just send them to America.
[00:19:58.447 --> 00:20:03.311]  Here, we say, radiation isn't bad for you.
[00:20:03.451 --> 00:20:09.997]  Freedom, the blistering anti-globalist anthem from the rock band, Ravelet.
[00:20:10.358 --> 00:20:13.420]  Blackened thrones have their tombs.
[00:20:21.459 --> 00:20:25.002]  Just one of eleven great songs from their album, Under the Sun.
[00:20:25.243 --> 00:20:27.965]  Available on iTunes and at Ravelyn.com.
[00:20:28.346 --> 00:20:28.766]  R-A-V-E-L-Y-N.
[00:20:28.926 --> 00:20:29.807]  Ravelyn.com.
[00:20:33.090 --> 00:20:35.251]  Spring and a new growing season are here.
[00:20:35.491 --> 00:20:39.313]  Plant a healthy garden easy and fast with OrganicaSeed.com.
[00:20:39.573 --> 00:20:49.938]  Easy because OrganicaSeed.com offers one of the largest online selections of organic, heirloom, non-hybrid, and untreated seeds, as well as tobacco and cotton seeds at low prices.
[00:20:50.178 --> 00:20:51.979]  Go to OrganicaSeed.com.
[00:20:52.099 --> 00:20:56.741]  Spelled O-R-G-A-N-I-C-A Seed.com.
[00:20:56.941 --> 00:20:58.441]  OrganicaSeed.com.
[00:20:58.622 --> 00:21:01.423]  Remember, OrganicaSeed is healthy seed.
[00:21:02.665 --> 00:21:04.987]  They helped to create a New World Order.
[00:21:05.048 --> 00:21:07.250]  We are part of a New World Order.
[00:21:07.370 --> 00:21:10.153]  A New World Order based upon collective action.
[00:21:10.573 --> 00:21:15.338]  Invisible Empire is a damning indictment of the globalists through their own words and documents.
[00:21:15.678 --> 00:21:19.883]  The New World Order really is a tool for addressing a new world of possibilities.
[00:21:20.183 --> 00:21:22.507]  It means all the world under their control.
[00:21:22.527 --> 00:21:25.050]  The United Nations would take over America.
[00:21:25.411 --> 00:21:27.995]  The Trilateral Commission would control the world.
[00:21:28.335 --> 00:21:35.947]  Invisible Empire chronicles how men of power and influence have worked in stealth for centuries to establish an oppressive world government.
[00:21:36.266 --> 00:21:41.527]  I believe, first of all, that we now need nothing short of a world constitution for the global financial system.
[00:21:41.647 --> 00:21:44.468]  Global governance with the establishment of the G20.
[00:21:44.508 --> 00:21:47.948]  So it's going to be an inner ruling elite and then everyone else.
[00:21:48.188 --> 00:21:49.109]  And I got news for you.
[00:21:49.269 --> 00:21:50.569]  You're everyone else.
[00:21:50.589 --> 00:21:51.669]  Invisible Empire.
[00:21:52.089 --> 00:21:56.490]  Secure your copy today at InfoWars.com or PrisonPlanet.com.
[00:21:56.830 --> 00:21:59.951]  Or watch it online in the highest quality at PrisonPlanet.tv.
[00:22:01.741 --> 00:22:05.362]  When making important financial decisions, you should always know the facts.
[00:22:05.662 --> 00:22:09.204]  That's why Midas Resources is willing to pay you to read the facts.
[00:22:09.464 --> 00:22:18.267]  Midas Resources, a team of hand-picked financial specialists with decades of financial experience who are ready to provide you with state-of-the-art, up-to-date financial services.
[00:22:18.647 --> 00:22:22.590]  Midas Resources offers a host of services and stands behind their products.
[00:22:22.891 --> 00:22:27.154]  In fact, if you call and order their free Midas Report, Midas Resources will pay you.
[00:22:27.735 --> 00:22:33.159]  This detailed report will provide you with financial history on the safest and most profitable areas to invest in.
[00:22:33.399 --> 00:22:38.704]  If you read the report, Midas Resources will send you a free Walking Liberty Silver Half Dollar.
[00:22:38.984 --> 00:22:40.025]  So, what are you waiting for?
[00:22:40.285 --> 00:22:46.149]  Get the facts and call Midas Resources toll free at 888-292-2709.
[00:22:46.469 --> 00:22:49.110]  That's 888-292-2709.
[00:22:49.371 --> 00:22:54.734]  And remember, if you read the Midas Report, you'll receive a free Walking Liberty Silver Half Dollar.
[00:23:01.633 --> 00:23:08.338]  Iodine Protection Packs from HempUSA.org are now in stock for immediate delivery worldwide.
[00:23:08.598 --> 00:23:19.326]  Our Iodine Protection Packs include Micro Plant Powder, Green Life Kelp, Red Palm Oil, and our clear Roll-On Iodine that will feed the body the iodine it needs.
[00:23:19.606 --> 00:23:25.171]  All Iodine Protection Packs are in stock, save you money, and ship for free in all 50 states.
[00:23:25.411 --> 00:23:27.833]  Visit HempUSA.org or call 908-691-2608 today!
[00:23:31.095 --> 00:23:40.362]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it lent back at interest, forcing taxes to service debt.
[00:23:40.422 --> 00:23:41.143]  This capitalism?
[00:23:41.223 --> 00:23:47.368]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:23:47.488 --> 00:23:48.308]  Hi, Ted Anderson.
[00:23:48.348 --> 00:23:51.471]  I'm placing a silver dollar in a book explains our monetary system.
[00:23:51.611 --> 00:23:52.411]  Call for your copy 800-686-2237.
[00:23:52.431 --> 00:23:53.752]  It's time to understand the system.
[00:23:53.812 --> 00:23:54.093]  Call 800-686-2237.
[00:23:54.133 --> 00:23:54.413]  That's 800-686-2237.
[00:24:02.739 --> 00:24:07.781]  The Liberty Movement is coming against the Banksters!
[00:24:23.174 --> 00:24:27.418]  The globalists sit above the nations and play us off against each other.
[00:24:28.840 --> 00:24:32.703]  That is the definition of true full-spectrum dominance.
[00:24:32.803 --> 00:24:47.377]  The secret of the New World Order's paradigm of control coming up in the next segment when we document that Al-Qaeda is a creation of the military-industrial complex and the latest on Libya.
[00:24:48.138 --> 00:24:57.325]  But continuing with the incredible news out of Japan and the United States, here's the San Francisco Chronicle.
[00:24:57.785 --> 00:25:00.127]  Low levels of radiation found in the U.S.
[00:25:00.227 --> 00:25:00.487]  milk.
[00:25:01.048 --> 00:25:06.212]  Now remember in two weeks ago, it's almost three weeks tomorrow, but a weekend to the disaster,
[00:25:06.932 --> 00:25:18.107]  The Japanese government was still saying very low levels of radiation, nothing to worry about, but not releasing radiation levels from the two states or prefectures around Fukushima.
[00:25:19.448 --> 00:25:40.880]  When they finally released it, it was 1,600 times, 10,000 times, and now, as of Sunday, 100,000 times safe levels, and we have seen clear evidence of cover-ups at the hospitals, with reports of the citizens upwards of 50 kilometers away getting red-faced, vomiting, bleeding gums, radiation poisoning.
[00:25:41.980 --> 00:25:43.260]  Now we're seeing the articles.
[00:25:43.320 --> 00:25:51.742]  We're seeing the head of the plant break down a week ago and cry, or more than a week ago, and say that, I can't be part of the cover-up, people are going to die.
[00:25:51.762 --> 00:25:55.263]  Now in the news today, Japan's nuclear rescuers.
[00:25:55.303 --> 00:25:57.923]  Inevitable, some of them may die within weeks.
[00:25:58.023 --> 00:26:05.805]  Workers at the disaster-stricken Fukushima nuclear plant in Japan say they expect to die from radiation sickness as a result of their efforts to bring the reactors under control.
[00:26:06.305 --> 00:26:08.206]  The mother of one of the men tells Fox News.
[00:26:08.246 --> 00:26:09.546]  And that's the same calls we're getting
[00:26:10.266 --> 00:26:14.748]  The vomiting, the bleeding in the mouth, it first hits your gums, fast-growing cells.
[00:26:15.609 --> 00:26:20.231]  You ever burned your mouth eating pizza that's too hot and it like heals in a day but your regular skin wouldn't?
[00:26:20.251 --> 00:26:27.015]  It's the fast-growing cells of the intestines and the mucous membranes in the sinus and in the mouth, ladies and gentlemen.
[00:26:27.435 --> 00:26:29.537]  And other areas, other delicate areas of the body.
[00:26:30.078 --> 00:26:45.051]  The so-called Fukushima 50, the team of brave plant workers struggling to prevent a meltdown to four reactors, critically damaged in the March 11th earthquake and tsunami, are being repeatedly exposed to dangerously high radioactive levels as they attempt to bring vital cooling systems back online.
[00:26:45.071 --> 00:26:45.812]  I'm gonna say this again.
[00:26:46.940 --> 00:27:10.074]  Because this is what every nuclear physicist we've interviewed has said, from Dr. Busby, a chemical physicist, Dr. Bob Bowman, three degrees in nuclear physics, former head of the Star Wars program, and many others that we've read in the mainstream press, that yes, background radiation in Europe and North America, where this stuff blew over, is only a little heightened, but that's the general background radiation.
[00:27:10.954 --> 00:27:22.381]  If one microgram of plutonium or uranium that's been splattered all over that area and ejected into the sky gets on a spider web, the upper atmosphere, they have plane tests routinely.
