[00:00:21.894 --> 00:00:24.475]  Good evening, and welcome to the InfoWars Nightly News.
[00:06:31.815 --> 00:06:41.001]  What it'll amount to, it's going to be about a $50 per ticket cost of Chinese flights going to Europe, and a $20 or so cost per ticket, and that's just in the first year.
[00:06:41.041 --> 00:06:43.202]  And of course, we all know how these taxes work.
[00:06:43.603 --> 00:06:45.664]  They always ramp up after every year.
[00:06:45.684 --> 00:06:47.765]  I'm going to go back to the Financial Times article now.
[00:06:48.786 --> 00:06:51.848]  The only country that does support this is the EU.
[00:06:51.868 --> 00:06:55.790]  There's no other countries that are supporting this, and the EU isn't a country, it's a collection of countries.
[00:06:56.551 --> 00:06:57.832]  And I'll go to number three here.
[00:06:58.692 --> 00:07:07.198]  This is a trade barrier in the name of environmental protection and it constitutes an attack on the interest of travelers and international aviation industry, it says in an editorial.
[00:07:07.618 --> 00:07:11.901]  It will be difficult to avoid a trade war focused on carbon tax for airlines.
[00:07:12.841 --> 00:07:23.549]  Connie Hedgegard, Europe's climate commissioner, said on Wednesday that she was very satisfied with the ECJ's ruling and that she expected global airlines to respect European law.
[00:07:24.713 --> 00:07:29.736]  So this is essentially a tax on breathing that the European Union wants to set the precedent for.
[00:07:30.096 --> 00:07:33.979]  That they can say, hey, you're putting off too much carbon, we're going to start charging you more money.
[00:07:34.419 --> 00:07:41.624]  Even though, when you look at the ice core samples from the past, we had more carbon dioxide in the atmosphere hundreds of thousands of years ago.
[00:07:41.884 --> 00:07:42.904]  And there was plenty of life.
[00:07:45.686 --> 00:07:54.010]  This is all about taxing you for breathing, and it's to create this new green Nazi police state that's going to keep everybody oppressed unless you're an insider.
[00:07:54.190 --> 00:07:58.832]  Because I guarantee you, they're not going to be charging these billionaires money to fly around in their private jets.
[00:07:58.952 --> 00:08:00.052]  They're going to be exempt from it.
[00:08:00.112 --> 00:08:01.793]  It's just going to be you paying for it.
[00:08:04.322 --> 00:08:04.823]  Let's go on.
[00:08:04.863 --> 00:08:08.707]  The IMF urges members to boost funding under a 2010 plan.
[00:08:08.987 --> 00:08:18.798]  And basically what this is, is they want, the IMF here is urging their members to start charging you more taxes so they can pay for more of these bailouts to the bigger banks.
[00:08:19.258 --> 00:08:24.344]  It has nothing to do with helping the international economy in any way, unless you're a banker.
[00:08:25.104 --> 00:08:27.866]  Those are the only people that are going to be saved from this.
[00:08:27.886 --> 00:08:35.530]  And I think in Davos they were talking about this last year that they needed a total of $100 trillion and here they're only talking about $755 billion.
[00:08:35.831 --> 00:08:45.516]  But they actually want $100 trillion total in tax money that you're going to have to pay in order to keep these banks afloat and keep these guys living high on the hog.
[00:08:46.497 --> 00:08:48.098]  And now we go to some Ron Paul news.
[00:08:50.325 --> 00:08:56.954]  Newt Gingrich labels Ron Paul's entire support base as people who want to legalize drugs.
[00:08:57.434 --> 00:09:08.208]  So all those people out there that hold Ron Paul signs in the cold, that put Ron Paul signs up, that make Ron Paul phone calls, all the volunteers out there, nothing but a bunch of people who want to legalize drugs.
[00:09:09.178 --> 00:09:10.199]  The allegation is clear.
[00:09:10.219 --> 00:09:23.791]  Newt Gingrich's latest accusation that Ron Paul's volunteer base is people who want to legalize drugs is designated to create the impression that anyone who votes for Paul is at best socially irresponsible or at worst a crack-addled junkie.
[00:09:24.272 --> 00:09:26.033]  And Steve Watson wrote that.
[00:09:26.434 --> 00:09:30.618]  Very apropos, and there you go, there's Newt holding a big fatty right there.
[00:09:30.678 --> 00:09:32.519]  He's an admitted pot smoker.
[00:09:33.480 --> 00:09:37.245]  And he's called for the death sentence for people who have pot.
[00:09:37.966 --> 00:09:40.809]  And this is basically, Newt is part of the system.
[00:09:40.869 --> 00:09:50.901]  So if you're out there voting, or planning on voting for Newt, which not many people are because, you know, when I look around here in Austin, Texas, I don't see Newt Gingrich signs in people's yards.
[00:09:51.201 --> 00:09:52.922]  I don't see new Gingrich bumper stickers.
[00:09:53.042 --> 00:09:54.643]  I don't see new Gingrich t-shirts.
[00:09:55.163 --> 00:10:02.468]  He is a flash in the pan, he is a man of no substance, and he doesn't really have the political support out there.
[00:10:02.548 --> 00:10:10.612]  He may have the Fox News support, and he may have all this big media support, because they want somebody like him in there, because he is for the status quo.
[00:10:11.373 --> 00:10:14.995]  And if you're interested in somebody who's not in the status quo, check out Ron Paul.
[00:10:16.147 --> 00:10:20.670]  Because he is a man that is talking the same ideas 20 years ago.
[00:10:21.170 --> 00:10:26.454]  He's predicted a lot of this stuff was going to happen, especially with the economy and the housing crisis.
[00:10:27.054 --> 00:10:32.298]  And then you got Newt, who made over a million dollars as a consultant for Fannie Mae and Freddie Mac.
[00:10:33.178 --> 00:10:34.260]  That was your tax money.
[00:10:34.861 --> 00:10:47.381]  We all paid Newt collectively over a million dollars to tell Fannie Mae and Freddie Mac who knows what, but they were going in the tubes, so who knows what sort of consultation he gave them.
[00:10:48.442 --> 00:10:52.523]  And now we get to some really spooky news here on genetically modified mosquitoes.
[00:10:53.304 --> 00:10:55.784]  You may remember we played a clip on this show of Bill Gates.
[00:10:56.505 --> 00:11:00.226]  He released mosquitoes into the crowd and made a chuckle about it.
[00:11:00.766 --> 00:11:05.808]  Well now the Activist Post is reporting that genetically modified mosquitoes to be released in the U.S.
[00:11:05.868 --> 00:11:06.848]  for the first time.
[00:11:07.568 --> 00:11:10.869]  And it turns out genetically modified mosquitoes could be released in the U.S.
[00:11:10.929 --> 00:11:11.349]  as early as 2012.
[00:11:13.370 --> 00:11:15.091]  They're actually going to release them in Florida.
[00:11:15.772 --> 00:11:24.316]  Of course, the risks these mosquitoes pose both on the environment as well as the health of all living creatures are highly unknown, leaving everyone with many more questions than answers.
[00:11:24.776 --> 00:11:32.401]  We've already seen how terribly genetic modification can threaten the environment and human health, yet people are still moving forward toward a genetically modified world.
[00:11:32.921 --> 00:11:39.965]  And it goes on to describe that mosquitoes are genetically modified with a gene to kill them unless they're given an antibiotic known as tetracycline.
[00:11:40.845 --> 00:11:43.926]  So, one thing I do know is that bats eat a lot of mosquitoes.
[00:11:44.587 --> 00:11:53.470]  So, who knows what this is going to do to the bat population after they start eating these transgenetic creatures, you know, mosquitoes that are out there.
[00:11:53.870 --> 00:12:00.093]  Who knows what's going to happen once they start breeding with the population, and most of all, who knows what's going to happen once they start biting you.
[00:12:00.453 --> 00:12:02.374]  Are you suddenly going to need tetracycline?
[00:12:02.814 --> 00:12:03.834]  I mean, we don't know.
[00:12:04.234 --> 00:12:05.755]  We don't know what these things are going to do.
[00:12:06.235 --> 00:12:21.862]  So it's definitely not wise to mess with nature, yet you can't tell the mad scientists that who want to terraform the planet with chemtrails and put fluoride in your water so you stay dumb and put a lot of vaccines in your body, which leads us to this next article from CBS Detroit.
[00:12:22.462 --> 00:12:25.984]  FDA clears HIV vaccine for human trials.
[00:12:26.724 --> 00:12:27.605]  Well, I can tell you this.
[00:12:27.945 --> 00:12:36.431]  I did a few drug studies back in college when I needed some money, but you will not find me lining up for this, for human trials for this HIV vaccine.
[00:12:37.191 --> 00:12:51.701]  University of Western Ontario researcher Dr. Chih-Liang Kang said his treatment is the only one to use a whole genetically modified HIV virus that's been killed, of course, much like methods used for polio, rabies, and flu vaccines.
[00:12:53.602 --> 00:12:54.202]  Let me tell you this.
[00:12:56.403 --> 00:13:04.690]  If you look on any vaccine label, you get the insert that comes with it, not the little one sheet that tells you it's perfectly safe.
[00:13:04.770 --> 00:13:08.573]  But if you actually read the label, this is what you need to do for any of these vaccines.
[00:13:09.153 --> 00:13:18.501]  Get the insert, get you a medical dictionary and read what those side effects mean because it's written in all kinds of weird doctor language that you probably won't understand.
[00:13:18.981 --> 00:13:23.345]  But the one sentence that sticks in my mind for every vaccine insert that I've ever read
[00:13:23.965 --> 00:13:33.197]  They all say this, and I'm going to paraphrase, but it's probably the quote, has not been tested for cancerous or mutagenic potential.
[00:13:33.818 --> 00:13:38.884]  That's in every vaccine insert that I read that they wanted to stick into my kids.
[00:13:39.961 --> 00:13:43.804]  Every single one of them has not been tested to see if it causes cancer.
[00:13:43.864 --> 00:13:44.965]  And they do that for a reason.
[00:13:45.425 --> 00:13:55.093]  Because we're going to find out 5-10 years down the road that it is these vaccines that are causing cancer and that's why our vaccine rate is high and so is our cancer rate.
[00:13:55.473 --> 00:14:04.781]  They're right there neck and neck and then you look at countries like Singapore who have a very low vaccine rate and they have a very high or a very low cancer rate to go along with it.
[00:14:05.621 --> 00:14:06.582]  So, there you go.
[00:14:06.722 --> 00:14:11.866]  FDA clears the HIV vaccine for human trials and soon they'll be pushing it down your throat that you need it.
[00:14:13.127 --> 00:14:15.248]  And not to mention, HIV is a bioweapon.
[00:14:16.529 --> 00:14:16.949]  Look it up.
[00:14:18.851 --> 00:14:21.553]  And now let's go to some really disturbing news.
[00:14:21.713 --> 00:14:26.977]  If you weren't disturbed enough by what we just read, in Egypt,
[00:14:28.288 --> 00:14:30.229]  I watched this video today and it's really disturbing.
[00:14:30.249 --> 00:14:42.794]  You have these cops in their global love cop armor, body armor, with their giant sticks, beating up females, kicking females in the face, beating them repeatedly after they're down on the ground, not posing anybody any harm.
[00:14:42.994 --> 00:14:45.516]  They probably weren't posing anybody any harm to begin with.
[00:14:46.836 --> 00:14:52.739]  But protesting their fake government that was backed by western powers.
[00:14:53.735 --> 00:14:54.816]  with this Arab Spring.
[00:15:15.410 --> 00:15:18.512]  There was some music going to this that they're playing in the background too.
[00:15:18.952 --> 00:15:23.714]  But this is severely disturbing and this goes on and on and on.
[00:15:23.954 --> 00:15:27.276]  Here he is kicking this lady in the chest who's completely passed out.
[00:15:27.916 --> 00:15:29.077]  She's not a threat to anyone.
[00:15:30.330 --> 00:15:33.031]  But I noticed they carry very large sticks.
[00:15:33.051 --> 00:15:41.854]  You can see they're large sticks that they carry and you know I really think this just has to do with the fact that these Egyptian police have very small male genitalia.
[00:15:42.395 --> 00:15:50.438]  And so they have to have these giant sticks to make up for that fact and beat on women because they're probably very insecure because their genitalia is so small.
[00:15:51.298 --> 00:15:54.541]  And here they are running in fear because now the populace is fighting back.
[00:15:55.441 --> 00:15:57.002]  And it's just, this is sick.
[00:15:57.122 --> 00:15:59.104]  And this is what goes on here too.
[00:15:59.164 --> 00:16:00.485]  I mean, we're not immune from this.
[00:16:00.525 --> 00:16:04.208]  We've seen peaceful protesters here sprayed with pepper spray.
[00:16:04.648 --> 00:16:05.969]  We've seen them beaten repeatedly.
[00:16:06.750 --> 00:16:08.411]  And this is just a sign of the times.
[00:16:08.491 --> 00:16:12.354]  This is going to increase more and more where stuff like this is going to seem common.
[00:16:12.374 --> 00:16:13.375]  They're going to play it so much.
[00:16:13.395 --> 00:16:14.856]  You're going to see these clips on YouTube.
[00:16:15.316 --> 00:16:17.378]  And then it's not going to seem like it's a big deal after a while.
[00:16:18.379 --> 00:16:20.180]  And you're going to expect it.
[00:16:20.961 --> 00:16:35.310]  And it's just, it's outrageous and you can go read about it on, I think this is thedailymail.co.uk, you can, the headline is Middle East, I can't even read the head, Day of Shame in the Middle East.
[00:16:35.711 --> 00:16:40.054]  Female protesters beaten with metal poles as vicious soldiers drag girls through the streets.
[00:16:40.694 --> 00:16:42.575]  It's completely disgusting and shocking.
[00:16:43.683 --> 00:16:44.764]  Well, it's a sign of the times.
[00:16:44.864 --> 00:16:47.145]  It's what's going to be coming here to this country.
[00:16:47.825 --> 00:16:48.285]  Just wait.
[00:16:48.906 --> 00:16:49.666]  It hasn't already.
[00:16:51.247 --> 00:16:54.228]  Moving on to some Russian-Libyan news.
[00:16:54.288 --> 00:16:57.130]  Russians push to investigate Libyan civilian deaths.
[00:16:57.810 --> 00:16:58.190]  The U.S.
[00:16:58.210 --> 00:16:59.431]  calls it a cheap stunt.
[00:17:00.586 --> 00:17:15.031]  And we reported on this back right when the invasion was happening, right when the rebellion was happening, that black Libyans were going to be targeted by this Al-Qaeda force that NATO had backed, and that special forces were assisting.
[00:17:15.831 --> 00:17:19.232]  And then we go to some shots of a town called Tuairga.
[00:17:21.913 --> 00:17:23.896]  And you can see blacks just laying on the ground.
[00:17:23.936 --> 00:17:24.456]  They're dead.
[00:17:25.598 --> 00:17:26.539]  There's more shots of them.
[00:17:26.559 --> 00:17:29.422]  These are some businesses, black-owned businesses that were burned out.
[00:17:29.862 --> 00:17:33.366]  Here's some blacks that are being taken to detention camps.
[00:17:33.406 --> 00:17:35.169]  And here's more black civilian deaths.
[00:17:35.729 --> 00:17:39.093]  And these are people who weren't fighting the war, who weren't backing either side.
[00:17:40.174 --> 00:17:41.915]  But just happened to be caught in the crossfire.
[00:17:42.315 --> 00:17:43.916]  There's a little boy there.
[00:17:44.696 --> 00:18:00.023]  We also showed some video that McBreen put together that I really didn't want to show again because, although we should see it, the little girl with her jaw blown off and wondering why she was dying a gruesome death.
[00:18:01.824 --> 00:18:08.847]  It's horrible, and there were civilian deaths, and there were a lot of civilian deaths, and NATO and the United States don't want anybody to know about it.
[00:18:09.227 --> 00:18:19.992]  They want to pretend this was an honorable rebellion of people, and we all know it was al-Qaeda, and now you've got one of the governors there in Libya who's now leading the attack into Syria.
[00:18:20.512 --> 00:18:27.235]  So I'm not questioning whether these regimes were good or bad or not, but, you know, putting in al-Qaeda, our supposed enemy, is that good?
[00:18:27.615 --> 00:18:28.835]  Is that what we should be supporting?
[00:18:29.455 --> 00:18:30.016]  I don't think so.
[00:18:31.058 --> 00:18:33.082]  And now we're going to end with a bit of nice news.
[00:18:33.142 --> 00:18:40.938]  Back in 2004, there was a tsunami that went through the Indian Ocean, and this girl was swept away by it.
[00:18:43.024 --> 00:18:46.687]  She survived seven years living with other people and finally made it back to her home.
[00:18:47.828 --> 00:18:49.270]  She was swept away seven years ago.
[00:18:49.330 --> 00:18:55.736]  On Friday she broke down in tears after tracking her parents down who had long lost hope of finding her alive.
[00:18:56.536 --> 00:19:00.960]  She can only remember her grandfather's name saying it was Ibrahim.
[00:19:01.841 --> 00:19:13.454]  And someone tracked the man down by that name and they were unsure if it was actually his granddaughter and then they summoned her and there was a great reunion and you know I guess that just shows the enduring human spirit.
[00:19:14.890 --> 00:19:17.572]  That we have, and that humans have, and that normal people have.
[00:19:18.472 --> 00:19:24.416]  And hopefully we can stand up to these globalists in the coming years because, you know, 2012 is right around the corner.
[00:19:24.476 --> 00:19:25.957]  It's literally a week away.
[00:19:26.857 --> 00:19:28.278]  And we're going to go to break now.
[00:19:28.879 --> 00:19:36.443]  We're going to show you, I guess we showed this yesterday, we premiered it yesterday, but Amy Allen, who's a musician who wrote the Ron Paul theme song back in 2008,
[00:19:38.004 --> 00:19:43.450]  She's going to show you how easy it is to get on your phone and make some calls and support a Ron Paul.
[00:19:43.590 --> 00:19:46.433]  Call Iowa, where the caucus is going to be.
[00:19:47.054 --> 00:19:49.456]  And you can do this on all the states of the upcoming caucuses.
[00:19:49.476 --> 00:19:50.818]  So she shows you how easy it is.
[00:19:50.858 --> 00:19:51.739]  The website's there.
[00:19:51.759 --> 00:19:53.440]  It's really easy to do.
[00:19:53.520 --> 00:19:59.327]  So this holiday season, when you're hanging out at your house with your relatives and you're watching football,
[00:19:59.847 --> 00:20:11.914]  Well, why don't you pull up your laptop or your iPhone and start making some phone calls for Ron Paul and let's see a landslide in Iowa so that the pundits can come back and say, oh, paying no attention to the landslide.
[00:20:11.934 --> 00:20:13.075]  It doesn't mean anything.
[00:20:13.495 --> 00:20:18.978]  You have to vote for Newt Gingrich or Mitt Romney, who was just endorsed by George Bush.
[00:20:20.253 --> 00:20:32.737]  So if you want to, if you vote for Mitt Romney, you're supporting George Bush and all these illegal wars that him and his son and the rest of his ilk have done against our species and the rest of the human population.
[00:20:33.417 --> 00:20:34.297]  So I'm going to leave you with that.
[00:20:34.317 --> 00:20:46.281]  We're going to go to break and we'll be back with one of the makers of a noble lie and one of the veteran retired police officers, Don Browning, who said the FBI threatened him just because he was asking questions.
[00:20:47.552 --> 00:20:49.093]  We'll get to that and a whole lot more.
[00:20:49.113 --> 00:20:50.655]  It's InfoWars Nightly News.
[00:20:51.195 --> 00:20:56.259]  Please consider becoming a member at PrisonPlanet.tv or check us out at InfoWarsNews.com.
[00:20:56.920 --> 00:20:57.220]  Thank you.
[00:21:00.463 --> 00:21:01.264]  What's up, nation?
[00:21:01.364 --> 00:21:08.790]  I'm Amy Allen and I'm here to show you that you can cook dinner while participating in the Phone From Home program for the Ron Paul 2012 campaign.
[00:21:11.087 --> 00:21:11.768]  This is what I'm going to do today.
[00:21:11.788 --> 00:21:13.349]  I'm going to make some potatoes.
[00:21:13.910 --> 00:21:15.271]  I'm going to make some burger sliders.
[00:21:15.411 --> 00:21:20.416]  All while calling Iowa citizens and asking them three questions.
[00:21:20.617 --> 00:21:23.079]  I'm being connected to Ryan Reinking.
[00:21:23.119 --> 00:21:23.840]  Pauline Hawthorne.
[00:21:23.960 --> 00:21:25.321]  Oh my god, I can't pronounce that name.
[00:21:25.582 --> 00:21:28.324]  Hello, is Steve Rumscheider available please?
[00:21:29.465 --> 00:21:31.966]  Hi, is Gerald Putnam available, please?
[00:21:32.166 --> 00:21:34.927]  I'm not gonna totally, you know, be like, infomercial-like.
[00:21:35.027 --> 00:21:37.208]  Oh, it's not really hard sometimes.
[00:21:37.288 --> 00:21:39.069]  I have just three questions for you.
[00:21:39.089 --> 00:21:39.289]  Okay.
[00:21:39.409 --> 00:21:40.489]  People hang up on you or whatever.
[00:21:40.509 --> 00:21:41.390]  That's not very cool.
[00:21:41.770 --> 00:21:47.032]  My name is Amy Allen, and I'm a volunteer helping to conduct a Republican presidential primary poll.
[00:21:47.412 --> 00:21:48.092]  This is so easy.
[00:21:48.212 --> 00:21:50.573]  You could literally do laundry, make dinner.
[00:21:51.013 --> 00:21:55.115]  You could walk the dog, I guess, if you didn't have to be close to the internet.
[00:21:55.595 --> 00:21:56.656]  Go ahead and kick up a notch.
[00:21:56.696 --> 00:21:57.416]  That's a product.
[00:21:57.996 --> 00:21:59.138]  I think this is good.
[00:21:59.618 --> 00:22:00.059]  Hi!
[00:22:00.139 --> 00:22:01.981]  Is Aurora Adams available, please?
[00:22:02.181 --> 00:22:06.666]  All you have to do is go to phone.ronquild2012.com.
[00:22:06.766 --> 00:22:10.671]  It's fulfilling and it's rewarding.
[00:22:10.691 --> 00:22:11.091]  Right, dog?
[00:22:13.814 --> 00:22:14.996]  That's not my dog, by the way.
[00:22:20.615 --> 00:22:27.037]  If you believe in this information and want to support its viral spread, go to the InfoWars store at InfoWars.com.
[00:22:27.317 --> 00:22:28.197]  We've got the new G.I.
[00:22:28.237 --> 00:22:30.178]  Joe InfoWars t-shirts.
[00:22:30.558 --> 00:22:36.660]  We've got the incredible ProPure gravity-fed filters available at InfoWars.com in the store.
[00:22:37.220 --> 00:22:41.581]  We've got a new DVD, Sinus Under Attack, the Don't Tread On Me flag.
[00:22:42.282 --> 00:22:46.223]  We've got all sorts of different bumper stickers to help spread the rebellion virally.
[00:22:46.903 --> 00:22:47.524]  It's all there.
[00:22:47.544 --> 00:22:50.387]  Wristbands, citizen rule books, in every order.
[00:22:50.847 --> 00:22:53.570]  Order online at InfoWars.com today.
[00:22:53.810 --> 00:22:56.854]  The water filters, the canteens, it's all there.
[00:22:57.254 --> 00:22:58.535]  InfoWars.com.
[00:23:00.537 --> 00:23:01.699]  Dr. Ron Paul.
[00:23:02.079 --> 00:23:04.201]  More than 4,000 babies delivered.
[00:23:04.522 --> 00:23:07.385]  A man of faith, committed to protecting life.
[00:23:08.070 --> 00:23:10.692]  Some people need to have a good word said about them.
[00:23:11.713 --> 00:23:15.456]  Ron is the sort of person that his life is his good word.
[00:23:15.656 --> 00:23:19.219]  You know, you just knew that Ron cared about you.
[00:23:19.640 --> 00:23:25.665]  Life begins at conception, in my opinion, and as a result, I love to go to a doctor who felt the same way.
[00:23:25.985 --> 00:23:32.729]  He not only protects unborn life, but he also walks through journeys with women, and he has for years.
[00:23:32.749 --> 00:23:35.610]  I love the fact that he hadn't changed in all these years.
[00:23:35.831 --> 00:23:38.612]  Ron's still the same guy, still saying the same things.
[00:23:39.092 --> 00:23:41.414]  And now, all these years later, still standing his ground.
[00:23:42.170 --> 00:23:44.533]  Ron did not let Washington change him.
[00:23:44.934 --> 00:23:50.862]  It's not hard for someone who is a Christian and who truly believes to stay on the right path.
[00:23:51.163 --> 00:23:53.526]  And I think that's what kind of person Ron Paul is.
[00:23:54.387 --> 00:23:57.031]  America has to have someone like Ron Paul today.
[00:23:57.312 --> 00:23:58.093]  There is no question.
[00:24:08.496 --> 00:24:11.358]  Welcome back to InfoWars Nightly News.
[00:24:11.998 --> 00:24:13.099]  So did you get your laptop?
[00:24:13.159 --> 00:24:13.779]  Are you calling?
[00:24:13.799 --> 00:24:18.962]  Are you going to make some calls for Ron Paul this Christmas season when you're sitting around watching football?
[00:24:22.294 --> 00:24:28.058]  Alright, now we're about to go to our interview with Don Browning and Holland Vanden Heuwenhoff, but first I want to show you a clip.
[00:24:28.158 --> 00:24:41.606]  This is an excerpt from the movie, A Noble Lie, and it's Don Browning talking about the autopsy that was done on, or that wasn't done, on Terrence Yackey, who was one of the officers who got the key to the city.
[00:24:41.686 --> 00:24:42.467]  He was a hero.
[00:24:44.091 --> 00:24:51.938]  And then all of a sudden he ends up dead outside his car on this federal property with a gunshot wound to his head that he probably didn't give himself.
[00:24:51.978 --> 00:24:56.582]  Well, there's probably a 99% chance he didn't give it to himself, yet it was ruled a suicide.
