[00:00:23.157 --> 00:00:24.818]  It's Infowars Nightly News.
[00:05:03.043 --> 00:05:09.408]  That way you're held hostage by the financial fraudsters who say, give us more power or we'll implode your economy.
[00:05:10.329 --> 00:05:13.812]  I know I talk a lot about this, and it's for this reason.
[00:05:14.712 --> 00:05:21.658]  It's because until the public understands how this fraud works, that's hidden in plain view, we have no hope of reversing
[00:05:23.427 --> 00:05:32.951]  The direction we're going in, which is total debt bondage to the mega banks who are telling Europe, you give up all your sovereignty, waive all your rights, and then we'll bail you out.
[00:05:33.371 --> 00:05:36.792]  But then 90 plus percent of the bailout goes to the very banks that are saying this.
[00:05:37.372 --> 00:05:40.314]  Iceland's the only country to figure this out and say no.
[00:05:40.714 --> 00:05:51.118]  And it turned out 90 plus percent, what was it in that case, 92, 93 percent, was owned by the very, or owed by the very mega banks that were lecturing the Icelanders there in Reykjavik.
[00:05:51.898 --> 00:05:56.604]  Okay, continuing here, looking at more of what the big megabanks are up to.
[00:05:57.024 --> 00:05:59.567]  Here's a New York Times article from yesterday.
[00:05:59.627 --> 00:06:01.049]  There was an AFP article today.
[00:06:01.709 --> 00:06:01.990]  U.S.
[00:06:02.130 --> 00:06:05.414]  agents laundered Mexican profits of drug cartels.
[00:06:06.317 --> 00:06:10.580]  Now I've been telling you since February when we noticed in federal court filings that the U.S.
[00:06:10.600 --> 00:06:25.750]  government had declared in Chicago and other areas in different trials of Mexican drug lords that yes, it's true, we're dealing the drugs and laundering the money and shipping guns into Mexico, but we're doing it for national security and so it shouldn't matter.
[00:06:25.790 --> 00:06:33.155]  These Mexican drug cartels that work for us, that one hand didn't know what the other hand was doing, have now indicted.
[00:06:33.495 --> 00:06:35.957]  They should still go to prison even though they followed our orders.
[00:06:38.553 --> 00:06:44.517]  And those mega cartels are waging wars against the other cartels that aren't laundering their money.
[00:06:45.238 --> 00:06:53.083]  And I told you this was going to come out, because since February, ten months ago, this has been in the El Paso Times, Chicago Tribune, but never became a national story.
[00:06:53.583 --> 00:06:55.144]  So now they're hiding it in plain view.
[00:06:55.604 --> 00:07:02.709]  Oh yeah, we did launder some money and deal some drugs, only to learn how this money and drugs were basically transferred around.
[00:07:03.189 --> 00:07:06.332]  As if the masters are learning from their minions.
[00:07:09.073 --> 00:07:15.335]  Continuing, though, if the establishment thinks that they're going to ship guns into Mexico and other areas of the U.S.
[00:07:15.915 --> 00:07:18.856]  to destabilize things and then blame the Second Amendment, think again.
[00:07:19.356 --> 00:07:20.576]  This is the Rubicon.
[00:07:21.276 --> 00:07:22.417]  This is the line in the sand.
[00:07:22.477 --> 00:07:23.957]  The public will not put up with this.
[00:07:24.497 --> 00:07:29.719]  Since Obama got elected in 2008 and became president in January of 2009,
[00:07:30.959 --> 00:07:37.783]  Gun sales have been at a record pace, but now all of those previous records have been shattered in the last two weeks.
[00:07:38.183 --> 00:07:42.325]  Fear of a second Obama term spurs record gun sales.
[00:07:42.365 --> 00:07:45.967]  Single-day firearms purchases hit all-time highs.
[00:07:46.767 --> 00:07:54.753]  So, Homeland Security on record is training the police and military to take on conservatives, libertarians, people that basically aren't communist or collectivist.
[00:07:55.354 --> 00:08:07.943]  And, boy, I wouldn't want your job, because if 1% of the 150 million gun owners decide to not go along with these un-American Nazi-type or Soviet-type authoritarian actions, that's 1,500,000 combatants.
[00:08:10.367 --> 00:08:12.769]  And they're not going to just wait in their house for you to come at 4 a.m.
[00:08:13.290 --> 00:08:13.890]  And you know that.
[00:08:14.390 --> 00:08:15.812]  They're going to come out and they're going to find you.
[00:08:16.192 --> 00:08:23.358]  So my advice to all the people out there is don't be stupid like the Germans were with Hitler or the Russians were with the Soviets.
[00:08:23.839 --> 00:08:26.381]  Say no to this tyranny now and let's reverse this, okay?
[00:08:27.201 --> 00:08:37.791]  Let's not go where this is going because when you start secretly arresting people and get rid of all hope, and people know I could just disappear into a black hole, they're going to start fighting you.
[00:08:38.672 --> 00:08:42.856]  Don't corner a raccoon, a wolf, a human.
[00:08:42.876 --> 00:08:46.479]  I mean, we're the dominant species on this planet.
[00:08:46.519 --> 00:08:52.544]  Just because the globalists play God and have tried to domesticate us, the veneer of civilization is already peeling back.
[00:08:53.746 --> 00:08:55.687]  And this country is at DEFCON 4 right now.
[00:08:56.367 --> 00:08:58.468]  The globalists do want a civil war.
[00:08:59.348 --> 00:09:00.869]  And that is the last thing we need.
[00:09:01.169 --> 00:09:06.111]  We are kicking their butt in the Infowar, just like Gandhi did, let's keep it that way.
[00:09:06.692 --> 00:09:09.933]  But when they start offensively attacking people, the gloves are off.
[00:09:12.065 --> 00:09:13.325]  Never attack offensively.
[00:09:13.886 --> 00:09:17.887]  But if you do start defending yourself defensively, well, as you know, the sky's the limit.
[00:09:18.427 --> 00:09:19.367]  We are at the crossroads.
[00:09:19.807 --> 00:09:21.868]  And if you're a new viewer, don't laugh at this.
[00:09:22.688 --> 00:09:26.369]  Bare testament, go do research into what we've predicted up to this point.
[00:09:26.849 --> 00:09:27.849]  We've been on target.
[00:09:28.190 --> 00:09:32.051]  I'm telling you the next chapters in this designed global takeover.
[00:09:32.671 --> 00:09:34.351]  The globalists don't care if it wrecks things.
[00:09:34.411 --> 00:09:36.232]  They believe you're going to break a few eggs and make an omelet.
[00:09:37.110 --> 00:09:40.333]  They want to dominate things financially with a paramilitary backstop.
[00:09:40.573 --> 00:09:41.394]  It's not going to work.
[00:09:41.754 --> 00:09:45.117]  But they may wreck everything in the process of reaching for power.
[00:09:45.598 --> 00:09:47.800]  Like Napoleon did.
[00:09:47.880 --> 00:09:49.121]  Like so many others did.
[00:09:49.622 --> 00:09:50.843]  Alright, let's continue here.
[00:09:52.641 --> 00:09:55.964]  Truly disgusting piece of news.
[00:09:56.105 --> 00:10:00.729]  Herman Cain has come out and said he endorses Newt Gingrich.
[00:10:01.409 --> 00:10:14.782]  You've got Mr. Council on Foreign Relations, Mr. New World Order, Mr. Open Borders, gun control, carbon taxes, government-run health care, Mr. Establishment,
[00:10:16.363 --> 00:10:25.891]  Being endorsed by the former head of the Atlanta, excuse me, the former head of the Kansas City Federal Reserve, one of the most powerful branches in the private banking cartel.
[00:10:26.231 --> 00:10:28.913]  Of course he's endorsing Newt Gingrich.
[00:10:28.933 --> 00:10:31.656]  It is truly disgusting.
[00:10:33.357 --> 00:10:41.239]  Again, anybody who believes Herman Cain was paying a woman's rent for 13 plus years because he cared about her needs their head examined.
[00:10:41.499 --> 00:10:42.459]  He is a liar.
[00:10:42.519 --> 00:10:43.599]  He lied about Ron Paul.
[00:10:43.639 --> 00:10:44.360]  He lied about others.
[00:10:44.720 --> 00:10:46.920]  He is a puppet and we told you that.
[00:10:47.360 --> 00:10:48.201]  And now it's come out.
[00:10:49.161 --> 00:10:49.361]  It was $9,999.
[00:10:49.801 --> 00:10:52.542]  There was going to be a payroll tax on top of it.
[00:10:52.782 --> 00:10:58.063]  Then they could jack up all of those nights and have the federal government involved in every facet of our lives.
[00:11:00.083 --> 00:11:01.603]  Value-added tax and sales tax?
[00:11:01.623 --> 00:11:03.424]  The Fed's involved in that on top of an income tax?
[00:11:03.764 --> 00:11:04.364]  Give me a break.
[00:11:04.944 --> 00:11:05.804]  Okay, continuing.
[00:11:05.884 --> 00:11:10.905]  Pelosi has come out and said she will reveal information on Genrich when the time is right.
[00:11:11.405 --> 00:11:14.586]  And Genrich made jokes about it, about, sure, give me my Christmas gift.
[00:11:15.746 --> 00:11:25.508]  I mean, this is two crooks who've become enormously wealthy off their insider trading, off their knowledge, off their lobbying, off their broken promises, off of all their activity.
[00:11:27.702 --> 00:11:34.889]  And we've got these two who've been in TV ads promoting carbon taxes that would literally shut down more than half the power in this country.
[00:11:36.070 --> 00:11:40.474]  And Gingrich, when he got caught doing that, said he'd never supported it.
[00:11:40.715 --> 00:11:42.436]  This is how dumb he thinks you are.
[00:11:43.484 --> 00:11:47.686]  So, Gingrich fires back and says, hey, they're an early Christmas gift.
[00:11:48.387 --> 00:11:49.808]  See, he's a ringer, folks.
[00:11:50.468 --> 00:11:57.532]  He was sent in to pose as a libertarian constitutionalist, but his actions, his fruits, show the opposite.
[00:11:57.852 --> 00:12:05.336]  Here's Newt Gingrich bragging on national TV, just a few days after 9-11, about how he
[00:12:07.054 --> 00:12:13.283]  had gotten Homeland Security set up in the CFR Hart-Rudman Commission months before 9-11.
[00:12:13.303 --> 00:12:13.824]  And that's true.
[00:12:14.044 --> 00:12:17.909]  Bill Clinton called for NORTHCOM and Homeland Security in the early 90s.
[00:12:17.949 --> 00:12:18.510]  What was it?
[00:12:19.031 --> 00:12:18.510]  1994.
[00:12:19.351 --> 00:12:21.655]  This has always been a strategic plan.
[00:12:21.975 --> 00:12:23.858]  So here's Genrich, the Consulate Insider.
[00:12:24.798 --> 00:12:28.639]  I think you've got, first of all, I think you've got to give more resources to the intelligence community.
[00:12:28.659 --> 00:12:36.942]  I think you've got to repeal some of the rules that were imposed during the Clinton administration that, for example, blocked you from dealing with people who might have a human rights problem.
[00:12:36.962 --> 00:12:43.044]  By definition, if you're trying to penetrate terrorist cells, you're going to have to deal with people that wouldn't fit, necessarily, the ACLU standard.
[00:12:43.864 --> 00:12:50.369]  I also think that we probably need much better coordination, not just between the FBI and the CIA, but we have U.S.
[00:12:50.769 --> 00:12:58.835]  Department of Agriculture people at every entry port, we have Immigration Service people checking your passport, we have Customs people, we have Border Patrol.
[00:12:59.195 --> 00:13:00.636]  Their computers don't talk to each other.
[00:13:00.956 --> 00:13:02.497]  And we have a substantial problem.
[00:13:02.537 --> 00:13:27.971]  We recommended, in a commission I served on, the Hart-Rudman Commission, creating a Homeland Security Agency and bringing Coast Guard and Border Patrol and Customs and Immigration into one place where they would actually have a central role and a central mission, led by FEMA, because we warned that this incident, as terrible as it is, is smaller than the incidents that we warned about back in March, which we think in the next 10 or 15 years could include chemical and violence.
[00:13:28.371 --> 00:13:40.064]  Alright, so FEMA is to absorb the federal government and unify the crime, and now we learn under FEMA and Homeland Security, the major aid agencies he listed are all dealing drugs and laundering money.
[00:13:40.565 --> 00:13:41.025]  Confirmed.
[00:13:41.265 --> 00:13:45.030]  You've got to have centralization to carry out crime, or the public finds out.
[00:13:46.693 --> 00:13:53.114]  And we've got Newt Gingrich again, this whole act with Nancy Pelosi, like they're fighting with each other.
[00:13:53.174 --> 00:13:57.915]  He's meant to go in there, play the part of a ringer for Obama, just like Bob Dole and Bill Clinton.
[00:13:58.275 --> 00:13:58.715]  Guaranteed.
[00:13:58.955 --> 00:14:00.315]  That's always been his point.
[00:14:00.695 --> 00:14:02.336]  He's part of the Futurist Society.
[00:14:02.636 --> 00:14:03.916]  He's called for socialism.
[00:14:03.936 --> 00:14:05.196]  He's called for an end of the family.
[00:14:05.476 --> 00:14:06.616]  We covered that last week.
[00:14:06.976 --> 00:14:08.217]  It is absolutely incredible.
[00:14:08.477 --> 00:14:12.617]  Now let's move on to another ringer, and that's Donald Trump.
[00:14:12.717 --> 00:14:15.838]  He has dismissed Ron Paul as a joke candidate.
[00:14:16.817 --> 00:14:26.466]  This is a guy, Mr. Casino, Mr. Gives-Twice-As-Much-Money-To-Democrats, Not-A-Republican, Not-A-Conservative, Eminent Domain, Take-All-Ladies Property.
[00:14:26.927 --> 00:14:31.371]  This is a guy who I told you after he, uh, you know, made the, uh...
[00:14:32.352 --> 00:14:41.286]  The whole situation of where Obama was born and the birth certificate looks stupid would then get his casino deals in Illinois, you know, that Rahm is their man in Chicago.
[00:14:41.967 --> 00:14:42.808]  And it's the same deal.
[00:14:42.848 --> 00:14:44.130]  I mean, this guy's a joke.
[00:14:44.450 --> 00:14:46.854]  Since when is he the person that anoints people?
[00:14:47.515 --> 00:14:49.716]  Since when is he the one that runs debates?
[00:14:50.236 --> 00:14:54.717]  They are turning it into a total circus to further discredit everything.
[00:14:55.317 --> 00:14:57.178]  I mean, you are the joke.
[00:14:57.218 --> 00:15:03.619]  He says Trump told NBC's Matt Lauer, Ron Paul's example, that says Iran should have nuclear weapons or are going to have nuclear weapons.
[00:15:04.039 --> 00:15:05.660]  Doesn't even think in terms of Israel.
[00:15:06.100 --> 00:15:08.060]  Really, that's all Ron Paul said.
[00:15:08.640 --> 00:15:14.222]  Israel's own former Mossad chief has said it'll be a, quote, catastrophe two days ago if Israel attacks Iran.
[00:15:15.128 --> 00:15:20.453]  We're going to attack Pakistan that our government under Clinton helped AQ Khan Laboratories develop nukes with?
[00:15:20.473 --> 00:15:23.776]  I mean, our government's been taken over by criminals.
[00:15:23.836 --> 00:15:25.057]  It doesn't care about our interests.
[00:15:25.358 --> 00:15:25.818]  Give me a break.
[00:15:25.858 --> 00:15:28.461]  I'm tired of these guys menacing us with terrorists.
[00:15:28.881 --> 00:15:34.727]  We have a better chance of dying, you know, from a honeybee sting from, you know, so they can take all our rights and keep us safe.
[00:15:35.107 --> 00:15:36.508]  It's a load of bull.
[00:15:37.506 --> 00:15:47.073]  Alright, we're about to go to break, but first I want to get to another elderly woman who says she was exposed at Kennedy Airport, and I'm sure he thinks that's funny.
[00:15:48.474 --> 00:15:56.299]  First lady Lenora Zimmerman, 85 years old, in a wheelchair, taken behind closed doors because she couldn't get up.
[00:15:56.339 --> 00:15:58.001]  They get her up, they take her clothes off.
[00:15:58.920 --> 00:16:02.122]  And then they came out and denied it last week and I knew how they would deny it.
[00:16:02.162 --> 00:16:03.683]  At first they didn't say why it wasn't true.
[00:16:04.023 --> 00:16:10.308]  They've come out today in the news and they've said that it's a procedure, not a strip search.
[00:16:11.929 --> 00:16:15.351]  Okay, so I can stick in your hand in a blender and now it becomes a procedure.
[00:16:15.971 --> 00:16:17.232]  They do this, it's on record.
[00:16:17.252 --> 00:16:19.754]  Remember they said they were going to stop strip searching kids last year.
[00:16:20.014 --> 00:16:20.614]  They still do it.
[00:16:21.435 --> 00:16:23.076]  They're a pack of criminal liars.
[00:16:23.656 --> 00:16:24.297]  They're out of control.
[00:16:24.317 --> 00:16:26.258]  They violate the Constitution every day when they do what they do.
[00:16:30.333 --> 00:16:35.919]  And now a third elderly person has come out and said that the TSA made them strip search in the little room.
[00:16:36.239 --> 00:16:45.548]  See, first it's take your shoes off, then your belt, then answer questions, then go in a radiation machine, then have your genitals grabbed, then, you know, on the outside, then the inside.
[00:16:45.609 --> 00:16:46.830]  Now it's go in the rape room.
[00:16:49.534 --> 00:16:54.458]  But they're saying, it's okay, it's not strip search because we say it's not.
[00:16:54.799 --> 00:16:58.682]  Taking your clothes off, it's like Bill Clinton saying, it depends on what the definition of is is.
[00:16:59.062 --> 00:17:00.363]  It's all lawyer games.
[00:17:02.205 --> 00:17:05.688]  Third elderly South Florida woman says TSA made them strip.
[00:17:06.048 --> 00:17:07.229]  They're on record they do this.
[00:17:08.226 --> 00:17:14.888]  I remember last year when I said they were going in people's pants, the TSA denied it, and then all the videos came out showing it.
[00:17:15.389 --> 00:17:16.469]  Again, here's the wrong quote.
[00:17:16.549 --> 00:17:18.990]  The TSA says no improper strip searches were conducted.
[00:17:19.330 --> 00:17:21.591]  See, first the headline was, we don't do strip searches.
[00:17:21.991 --> 00:17:27.393]  Now it's, no improper strip searches were done, and the protocol was followed.
[00:17:28.493 --> 00:17:32.076]  So, I mean, I guess they can next beat your brains out as long as protocol was followed.
[00:17:32.356 --> 00:17:36.259]  It's all this legalese garbage so you don't realize your rights are being violated.
[00:17:36.279 --> 00:17:39.081]  Your 10th Amendment, your 4th Amendment, your dignity, everything else.
[00:17:39.422 --> 00:17:49.850]  Now, we're going to go to break with this Ron Paul video, this pro-Ron Paul video titled, Imagine China Invades America.
[00:17:51.158 --> 00:17:57.142]  And this video basically breaks down the outlandish scenarios that are unfolding in this country.
[00:17:57.402 --> 00:17:58.583]  We'll be right back after a break.
[00:17:58.643 --> 00:17:59.843]  It's M4 Wars Nightly News.
[00:18:03.486 --> 00:18:12.451]  Imagine for a moment that somewhere in the middle of Texas there was a large foreign military base.
[00:18:13.832 --> 00:18:16.554]  Say Chinese or Russian.
[00:18:18.354 --> 00:18:24.259]  Imagine that thousands of armed foreign troops were constantly patrolling American streets in military vehicles.
[00:18:25.060 --> 00:18:31.025]  Imagine they were here under the auspices of keeping us safe, or promoting democracy, or protecting their strategic interests.
[00:18:31.886 --> 00:18:33.867]  Imagine that they operated outside of U.S.
[00:18:33.967 --> 00:18:36.630]  law and that the Constitution did not apply to them.
[00:18:37.490 --> 00:18:49.312]  Imagine that every now and then they made mistakes or acted on bad information and accidentally killed or terrorized innocent Americans, including women and children, most of the time with little or no repercussions or consequences.
[00:18:49.972 --> 00:18:56.114]  Imagine that they set up checkpoints on our soil and routinely searched and ransacked entire neighborhoods of homes.
[00:18:56.974 --> 00:19:02.955]  Imagine if Americans were fearful of these foreign troops and overwhelmingly thought America would be better off without their presence.
[00:19:03.795 --> 00:19:15.186]  Imagine if some Americans were so angry about them being in Texas that they actually joined together to fight them off in defense of our soil and sovereignty because leadership and government refused or were unable to do so.
[00:19:15.987 --> 00:19:24.736]  Imagine that those Americans were labeled terrorists or insurgents for their defensive actions and routinely killed or captured or tortured by the foreign troops on our land.
[00:19:25.396 --> 00:19:31.220]  Imagine that the occupier's attitude was that if they just killed enough Americans, the resistance would stop.
[00:19:31.501 --> 00:19:38.666]  But instead, for every American killed, ten more would take up arms against them, resulting in perpetual bloodshed.
[00:19:39.407 --> 00:19:43.690]  Imagine if most of the citizens of the foreign land also wanted these troops to return home.
[00:19:44.310 --> 00:19:49.394]  Imagine if they elected a leader who promised to bring them home and put an end to this horror.
[00:19:50.135 --> 00:19:54.718]  Imagine if that leader changed his mind once he took office.
[00:19:55.373 --> 00:20:06.235]  The reality is that our military presence on foreign soil is as offensive to the people that live there as armed Chinese troops would be if they were stationed in Texas.
[00:20:07.975 --> 00:20:14.656]  Shutting down military bases and seeking to deal with other nations with threats and violence is not isolationism.
[00:20:14.717 --> 00:20:16.157]  It is the opposite.
[00:20:16.537 --> 00:20:22.738]  Opening ourselves up to friendship, honest trade, and diplomacy is the foreign policy of peace and prosperity.
[00:20:23.544 --> 00:20:29.569]  It is the only foreign policy that will not bankrupt us in the short order as our current actions most definitely will.
[00:20:30.670 --> 00:20:35.314]  I share the disappointment of the American people in the foreign policy rhetoric coming from the administration.
[00:20:35.334 --> 00:20:45.462]  The sad thing is, our foreign policy will change eventually, as Rome's did, when all budgetary and monetary tricks to fund it are exhausted.
[00:20:49.574 --> 00:20:55.995]  If you believe in this information and want to support its viral spread, go to the InfoWars store at InfoWars.com.
[00:20:56.295 --> 00:20:57.155]  We've got the new G.I.
[00:20:57.195 --> 00:20:59.136]  Joe InfoWars t-shirts.
[00:20:59.516 --> 00:21:05.637]  We've got the incredible ProPure gravity-fed filters available at InfoWars.com in the store.
[00:21:06.177 --> 00:21:10.538]  We've got a new DVD, Scientists Under Attack, the Don't Tread On Me flag.
[00:21:11.238 --> 00:21:15.179]  We've got all sorts of different bumper stickers to help spread the rebellion virally.
[00:21:15.859 --> 00:21:16.499]  It's all there.
[00:21:16.599 --> 00:21:19.361]  Wristbands, citizen rule books, in every order.
[00:21:19.821 --> 00:21:22.522]  Order online at InfoWars.com today.
[00:21:22.782 --> 00:21:25.804]  The water filters, the canteens, it's all there.
[00:21:26.204 --> 00:21:27.565]  InfoWars.com.
[00:21:34.068 --> 00:21:36.149]  What if Chinese troops invaded America?
[00:21:36.849 --> 00:21:37.870]  I can think of another angle.
[00:21:37.990 --> 00:21:40.911]  What if foreign banks took over America in 1913 and have now
[00:21:43.632 --> 00:21:49.480]  Basically, completely rendered the country unrecognizable and used us as an engine of evil worldwide.
[00:21:49.920 --> 00:21:50.501]  What about that?
[00:21:50.541 --> 00:21:51.702]  Because that's what's happened.
[00:21:52.363 --> 00:21:56.389]  And we need to recognize that we've become basically like the Germans in Germany.
[00:21:57.170 --> 00:21:58.591]  Or the Russians under the Communists.
[00:21:58.792 --> 00:22:01.796]  We've got to recognize that this evil is done in our name.
[00:22:03.302 --> 00:22:05.624]  We've got to get the public focused in on real issues.
[00:22:05.864 --> 00:22:10.008]  That's why I didn't sit on my laurels with Infowars.com or prisonpanda.com.
[00:22:10.049 --> 00:22:13.352]  I didn't sit on my laurels with the syndicated radio show and all the films I've made.
[00:22:13.692 --> 00:22:18.116]  Because we're having an effect and reaching millions a day, we started Infowars Nightly News.
[00:22:19.195 --> 00:22:24.417]  We couldn't have done it without you, the subscribers, at Infowarsnews.com and PrisonPlanet.tv.
[00:22:24.717 --> 00:22:34.041]  It is you supporting us and subscribing that allows this to air every night at 7 o'clock Central, weeknights, and then go out to everybody else on the Internet, millions of people watch it a week.
[00:22:34.541 --> 00:22:37.603]  We're developing it for different cable and satellite systems.
[00:22:38.422 --> 00:22:41.783]  And we also air parts of it on the syndicated radio show that reaches three million people a day.
[00:22:42.343 --> 00:22:43.923]  We're doing this because of your support.
[00:22:44.423 --> 00:22:47.104]  We couldn't do it without you, and I want to thank all of you that do subscribe.
[00:22:47.124 --> 00:22:49.564]  If you're not a subscriber, we're running a special through Christmas.
[00:22:50.044 --> 00:22:52.245]  You can get basically close to half a year free.
[00:22:52.285 --> 00:22:55.865]  It's 5.3 months free, or 44% off when you sign up for a year.
[00:22:56.106 --> 00:22:59.926]  We've got some other specials right now, too, at PrisonPlanet.tv.
[00:23:00.426 --> 00:23:02.947]  Okay, let's accelerate into the news here.
[00:23:04.306 --> 00:23:06.526]  No indication Iran shot down U.S.
[00:23:06.566 --> 00:23:06.907]  drone.
[00:23:06.947 --> 00:23:11.467]  That was the news yesterday out of Sky Television, Reuters and others.
[00:23:12.008 --> 00:23:14.628]  Has a 90-foot wingspan, $6 million.
[00:23:16.068 --> 00:23:18.689]  They're also having their different bases bombed over there.
[00:23:19.069 --> 00:23:20.749]  This is probably a weaponized drone.
[00:23:21.149 --> 00:23:22.209]  And the Iranians have it.
[00:23:22.229 --> 00:23:23.850]  They're threatening to shut down the Strait of Hormuz.
[00:23:24.330 --> 00:23:26.650]  It'll send oil to $200 a barrel.
[00:23:26.670 --> 00:23:29.711]  That's about $7 a gallon there at the gas pump.
[00:23:31.446 --> 00:23:36.694]  Just absolutely incredible, but now the Pentagon's come out and says, okay, looks like they do have the drone.
[00:23:38.065 --> 00:23:39.486]  So, Iran has put up with a lot.
[00:23:39.526 --> 00:23:41.647]  I'm not saying they're great, most governments are corrupt.
[00:23:42.187 --> 00:23:45.529]  My point is, we don't want a World War III with these people.
[00:23:45.970 --> 00:23:49.471]  Now, I want to shift gears and look at the real enemy of this country.
[00:23:50.392 --> 00:23:56.955]  This is a Senator Jay Rockefeller quote from more than 15 years ago.
[00:23:57.536 --> 00:24:06.541]  And Senator Jay Rockefeller, the head of the Rockefeller dynasty now, David's passed the baton to him, quips about world domination, Bilderberg, bilateral commission, and rule by the rich.
[00:24:07.501 --> 00:24:09.082]  He's so funny he forgot to laugh.
[00:24:09.102 --> 00:24:16.606]  Lew Rockwell writes, LewRockwell.com writes, by the way, no wonder Pat Buchanan doesn't support Austrian economics.
[00:24:17.887 --> 00:24:22.890]  And this is a roast for Pat Buchanan by Jay Rockefeller.
[00:24:22.910 --> 00:24:26.672]  The full video and the full date and everything is at Infowars.com.
[00:24:26.992 --> 00:24:30.614]  Everything he's saying is actually true here, but they make it a joke.
[00:24:31.214 --> 00:24:31.795]  And look at how
[00:24:33.272 --> 00:24:35.993]  20 years ago, 15 years ago, you got laughed at for this stuff.
