[00:00:21.684 --> 00:00:24.486]  Good evening and welcome to InfoWars Nightly News.
[00:05:23.317 --> 00:05:35.099]  Anything like this, where it would be able to shut off parts of, you know, not being able to access Google or Yahoo, because you did something wrong or you didn't pay enough, is definitely, I think, an infringement on First Amendment rights.
[00:05:35.159 --> 00:05:44.521]  If you were to shut down all telephone lines, if you were to shut down, you know, put a mute on humans in general, that's unconstitutional completely.
[00:05:44.810 --> 00:05:45.970]  I think it would be abused, yeah.
[00:05:46.210 --> 00:05:51.851]  It's hard to know what kind of loopholes they're going to leave in, so what they can shut down with or without permission.
[00:05:52.631 --> 00:06:02.373]  You have an internet bill, it's been called the kill switch bill, that would allow the president to seize control or shut down portions of the internet.
[00:06:02.693 --> 00:06:13.515]  Senator Joe Lieberman, he's one of the proponents of both of these bills that are being introduced, he went as far as saying he wants to model these bills after the great firewall, Chinese version.
[00:06:13.535 --> 00:06:14.535]  What do you think about that?
[00:06:15.035 --> 00:06:18.358]  Uh, honestly, I think that's probably one of the worst ideas I've ever heard.
[00:06:18.498 --> 00:06:23.882]  China goes beyond their way to block anything that they don't see fit.
[00:06:23.922 --> 00:06:36.831]  If you look at all the protests going on right now, I mean, obviously the media is a big, you know, outlet for them, using the internet and things like that, so if you cut that out, then pretty much, then they have no way to contact other groups, you know, and immobilize.
[00:06:36.871 --> 00:06:44.497]  I think the American people should have a fear if people are saying this is going to be the next Chinese firewall, then they should be a little worried about what may or may not be censored.
[00:06:44.617 --> 00:06:46.239]  Yeah, in Egypt, that's what they did.
[00:06:46.299 --> 00:06:47.180]  They attempted to.
[00:06:47.720 --> 00:06:53.947]  Fortunately, the power of the people came through and they set up modems, they set up different ways to get around it.
[00:06:54.427 --> 00:07:02.556]  And that's what, if they actually try and do that to us, as far as we are technologically in the U.S., they'd have some real trouble on their hands.
[00:07:02.976 --> 00:07:07.441]  Everyone needs to realize what's going on and try and do as much as they can to stop it before they take it away.
[00:07:08.413 --> 00:07:23.229]  So if you value your internet freedom, and you don't want the web in the United States to be transformed into an imitation of the censored and policed Chinese version of the internet, call your congressman, call the Senate, and demand that they vote against the internet kill switch.
[00:07:23.710 --> 00:07:26.193]  I'm Darren McBreen for InfoWars Nightly News.
[00:07:27.830 --> 00:07:29.751]  That was a really great segment there by Darren McBrain.
[00:07:29.771 --> 00:07:31.371]  Thank you, Darren, for bringing us that.
[00:07:31.471 --> 00:07:44.316]  Extremely informative and very important because, of course, if they have this internet kill switch in place, it will allow them to seize control of sites like InfoWars, which is, of course, the way you're getting the truth that the mainstream media won't report.
[00:07:44.396 --> 00:07:47.998]  So definitely take action to help stop this bill before it becomes law.
[00:07:48.058 --> 00:07:55.481]  Now moving on, the FBI has been caught lying about its attempt to acquire tracking phone monitoring software
[00:07:56.141 --> 00:07:57.962]  From a firm called Carrier IQ.
[00:07:57.982 --> 00:08:06.966]  It turns out that FBI Director Robert Mueller, he had assured Congress that agents, quote, neither sought nor obtained any information from Carrier IQ.
[00:08:07.526 --> 00:08:20.572]  But Andrew Coward, the Vice President, yes, that's his name, Andrew Coward, Vice President of Marketing for Carrier IQ, then came forward and told the Associated Press that the FBI had indeed contacted them about their technology.
[00:08:21.072 --> 00:08:25.976]  The software is called IQ Agent, and it tracks everything that you do with your smartphone.
[00:08:25.996 --> 00:08:30.499]  It tracks keystrokes and the messages that you send, and it logs them in the phone.
[00:08:30.539 --> 00:08:35.243]  No wonder the FBI was interested in acquiring this software.
[00:08:35.623 --> 00:08:41.488]  And isn't it interesting that the FBI lies about its involvement in masterminding terror plots, even while it
[00:08:42.088 --> 00:08:54.097]  At the same time, is lying about its attempts to acquire tracking software so that it can keep its eyes on you, even though you, the American people, generally don't keep your eyes on what the FBI is doing behind closed doors.
[00:08:54.357 --> 00:08:56.419]  How's that for a living contradiction right there?
[00:08:57.340 --> 00:09:03.785]  Moving on, the Washington Times declares that the gun running Operation Fast and Furious is Obama's Watergate.
[00:09:04.858 --> 00:09:08.200]  Now, of course, this term was probably borrowed from Infowars.
[00:09:08.220 --> 00:09:12.903]  Alex Jones himself has referred to this as Watergate of the modern era.
[00:09:13.343 --> 00:09:22.849]  It turns out that Border Patrol agents are being murdered by the very weapons that Attorney General Eric Holder allowed to be shipped and smuggled into Mexico.
[00:09:23.709 --> 00:09:32.455]  This was part of Operation Fast and Furious, which has now been exposed as a scheme to destroy the Second Amendment by creating fear and creating violence.
[00:09:32.976 --> 00:09:38.179]  Mr. Holder clearly knew about Fast and Furious, reports the Washington Times, and did nothing to stop it.
[00:09:38.659 --> 00:09:47.366]  This is because the administration wanted to use the excuse of increased violence on the border and weapons smuggling into Mexico to justify tighter gun control legislation.
[00:09:48.146 --> 00:09:55.853]  Mr. Holder is fighting ferociously to prevent important internal justice documents from falling into the hands of congressional investigators.
[00:09:55.973 --> 00:10:03.979]  They go on to report, it is the full nature of his, if the full nature of his involvement is discovered, the Obama presidency will be in peril.
[00:10:04.480 --> 00:10:10.105]  Yes, that's because who knows how high this goes up the ladder of power in Washington.
[00:10:10.545 --> 00:10:13.207]  Maybe Eric Holder isn't where this thing ends.
[00:10:14.108 --> 00:10:16.130]  And of course, wasn't it just a few days ago
[00:10:16.830 --> 00:10:26.413]  Right here on InfoWars that Ron Paul suggested in an interview with Alex Jones that Eric Holder should be fired and investigated for possible criminal violations.
[00:10:27.213 --> 00:10:32.995]  Well, if that happens, it would be interesting indeed to see how high that criminality runs in Washington D.C.
[00:10:34.335 --> 00:10:35.716]  Now, moving on.
[00:10:35.756 --> 00:10:39.919]  The growing menace of domestic drones is upon us.
[00:10:39.979 --> 00:10:47.003]  We now have drones that are flying over and watching what we do, even when we're not breaking the law.
[00:10:47.044 --> 00:10:53.388]  These drones, in fact, have now been used to menace ranchers in, was it North Dakota?
[00:10:53.428 --> 00:10:53.668]  Yes.
[00:10:54.468 --> 00:11:00.012]  The Los Angeles Times reported yesterday that local police in North Dakota use a Predator B drone.
[00:11:00.553 --> 00:11:03.795]  This is a military-class drone developed for the military
[00:11:04.635 --> 00:11:11.923]  To locate people and arrest them for refusing to turn over some cattle that had wandered onto their land.
[00:11:13.103 --> 00:11:23.105]  Now, I've got to ask here, you see some of the quotes on screen there, the suspects have refused to turn over the cattle and then the drones came after them so that they were located and then arrested.
[00:11:23.845 --> 00:11:29.826]  If these drones can watch you and your cattle, then they can also watch you and your garden.
[00:11:30.366 --> 00:11:35.407]  Maybe you're growing a secret garden in the backyard and they're going to use these drones to now locate your secret garden.
[00:11:35.747 --> 00:11:41.248]  And I'm not talking about a garden of marijuana, I'm talking about growing heirloom vegetables.
[00:11:42.088 --> 00:11:44.449]  Like Julie Bass tried to do in Michigan.
[00:11:45.210 --> 00:11:50.533]  And then having drones spot that and report you to local food police that shut down your garden.
[00:11:50.553 --> 00:11:57.637]  That's a possible scenario coming in our near future as these drones continue to be rolled out.
[00:11:57.697 --> 00:11:59.538]  Now continuing with the drones.
[00:12:00.399 --> 00:12:01.479]  Oh, another point on that.
[00:12:01.519 --> 00:12:04.201]  Sorry, I wanted to include this note on the drones.
[00:12:05.680 --> 00:12:23.751]  is that the drones have not exactly military drones but other flying aircraft DHS airplanes were used recently to murder 73 civilians in Jamaica and this is what I call a flying robo massacre of innocent people so
[00:12:24.884 --> 00:12:31.409]  If they could be used to kill people in Jamaica, they could certainly be used to conduct a massacre in the United States of America as well.
[00:12:31.790 --> 00:12:42.999]  Now, Iranian engineers claim that they were able to bring down a drone that was flying over them and, of course, gathering intelligence over Iran in preparation for what looks like it's going to be war over there.
[00:12:43.719 --> 00:12:49.023]  But this engineer claims that they essentially hacked the drone using false GPS signals
[00:12:50.134 --> 00:12:54.557]  That then encouraged the drone to land right there in Iran.
[00:12:54.577 --> 00:12:55.638]  They didn't even have to shoot it down.
[00:12:55.678 --> 00:12:56.278]  Here's the quote.
[00:12:56.718 --> 00:13:00.521]  With spoofing, an adversary provides fake GPS signals.
[00:13:01.141 --> 00:13:05.844]  This convinces the GPS receiver that it is located in the wrong place or time.
[00:13:06.725 --> 00:13:13.369]  Remarkably, spoofing can be accomplished without having much knowledge about electronics, computers, or GPS itself.
[00:13:14.833 --> 00:13:15.553]  Isn't that amazing?
[00:13:15.593 --> 00:13:22.076]  So now, let's see, whatever we send over Iran that's unmanned, they can just make it land on their own airstrips.
[00:13:22.136 --> 00:13:28.738]  And then they've got drones that they can take apart and study and perhaps model to make their own drones.
[00:13:28.758 --> 00:13:31.619]  Send them over to the United States or other countries.
[00:13:32.720 --> 00:13:34.200]  Oh man, worse yet for U.S.
[00:13:34.240 --> 00:13:36.081]  forces, here's another quote from The Raw Story.
[00:13:37.145 --> 00:13:43.030]  It's an exploit the Iranians reportedly learned after reverse engineering other drones that they shot down.
[00:13:43.430 --> 00:13:47.113]  Gaining a key bit of leverage against not just drones but virtually any U.S.
[00:13:47.173 --> 00:13:52.077]  military hardware that depends on the same easily exploited signals.
[00:13:52.838 --> 00:13:59.863]  This is very concerning because it means that the billions that we are spending on our military, what are they doing with this money?
[00:13:59.903 --> 00:14:06.148]  Are they buying off-the-shelf hardware from Radio Shack and putting it in these drones and then launching it over Iran just to be hacked?
[00:14:06.969 --> 00:14:12.850]  By some garage electronics engineers who are able to broadcast fake GPS signals?
[00:14:13.970 --> 00:14:14.830]  That doesn't seem right.
[00:14:15.310 --> 00:14:19.591]  I think somebody's being overcharged for this hardware and I think, I think it's the taxpayers.
[00:14:19.851 --> 00:14:20.291]  What do you think?
[00:14:20.311 --> 00:14:22.572]  Alright, I wanted to get this story in.
[00:14:22.612 --> 00:14:31.873]  This is about, speaking of technology and weapons, this is about a new weapon that will suffocate protesters with low frequency speakers.
[00:14:32.593 --> 00:14:35.114]  We call it the Darth Vader death grip weapon.
[00:14:36.272 --> 00:14:37.613]  Activist Post is reporting this.
[00:14:38.113 --> 00:14:44.097]  It's a crowd control tool that uses sound waves, and it comes out of a Raytheon patent.
[00:14:44.418 --> 00:14:53.064]  It's a new type of, quote, riot shield, they say, that creates a pulse pressure wave that resonates the upper respiratory tract of a human.
[00:14:54.175 --> 00:14:57.758]  Hindering breathing and eventually incapacitating the target.
[00:14:58.178 --> 00:15:02.861]  And we were talking about this in the studio here and saying it would also prevent you from screaming.
[00:15:03.482 --> 00:15:04.102]  Yes, indeed.
[00:15:04.122 --> 00:15:06.584]  If you can't breathe, you can't scream.
[00:15:06.704 --> 00:15:13.369]  So that way the people with the video cameras trying to get video to send to InfoWars about these protests
[00:15:13.649 --> 00:15:15.911]  You can't even get people screaming on video anymore.
[00:15:15.931 --> 00:15:18.792]  They're all incapacitated by this Darth Vader weapon.
[00:15:19.073 --> 00:15:27.458]  Isn't it interesting that the police state that we're now living in is resorting to weapons that really are just like the dark evil forces coming out of Star Wars?
[00:15:28.118 --> 00:15:31.281]  I mean, it's a little funny, but quite sad and pathetic.
[00:15:31.301 --> 00:15:32.862]  A bit horrifying as well.
[00:15:33.362 --> 00:15:35.944]  Let's hope they don't try to use that on us anytime soon.
[00:15:37.236 --> 00:15:38.177]  Non-lethal weapons.
[00:15:38.798 --> 00:15:39.819]  Who knows what they're going to do with these?
[00:15:39.839 --> 00:15:40.019]  Okay.
[00:15:40.600 --> 00:15:44.165]  Republican Tea Party diva Bachmann attacks Ron Paul.
[00:15:44.665 --> 00:15:49.151]  In the latest debate, Bachmann said that Ron Paul is going to put us in danger.
[00:15:49.331 --> 00:15:49.551]  Why?
[00:15:49.952 --> 00:15:51.954]  Because he doesn't want to attack Iran.
[00:15:53.616 --> 00:15:58.161]  And she said that we gotta go after Iran because if we don't, one of our cities could blow up.
[00:15:58.241 --> 00:15:59.122]  I'm paraphrasing, of course.
[00:15:59.142 --> 00:16:01.485]  Let's get to the exact quote of the story.
[00:16:08.533 --> 00:16:15.256]  In fact, Ahmadinejad said the regime occupying the holy city of Jerusalem will, quote, vanish from the page of Times.
[00:16:15.736 --> 00:16:19.517]  He did not say that Iran will wipe Israel off the map.
[00:16:19.917 --> 00:16:21.878]  He didn't even mention Israel by name.
[00:16:21.898 --> 00:16:23.319]  This is from an InfoWars article.
[00:16:24.199 --> 00:16:31.702]  Even though, even though he didn't say that, this is the justification for candidates like Bachmann to go after Ron Paul for not attacking Iran.
[00:16:31.942 --> 00:16:45.327]  Ron Paul just wants to keep us out of these conflicts, bring our troops home, and enforce the Constitution, which requires a congressional declaration of war before we engage in these military acts of aggression against other countries.
[00:16:46.047 --> 00:16:48.688]  Hasn't Ron Paul been doing great in the recent debates?
[00:16:48.728 --> 00:16:52.671]  Just lighten it up with the truth about freedom and liberty and the Constitution.
[00:16:52.731 --> 00:16:53.131]  It's great.
[00:16:53.471 --> 00:16:57.833]  Even his opponents are now acknowledging how well Ron Paul is doing in the debates.
[00:16:58.894 --> 00:17:03.576]  Now, next we have Congress overturns incandescent light bulb ban.
[00:17:04.197 --> 00:17:05.357]  Yeah, you knew this one was coming.
[00:17:05.377 --> 00:17:06.098]  They were pushing for it.
[00:17:06.118 --> 00:17:10.680]  The Republicans in Congress were trying to reverse this ban that was passed in 2007.
[00:17:12.438 --> 00:17:17.764]  They struck a new deal Thursday that overturns these rules that were going to go into effect next year.
[00:17:18.225 --> 00:17:20.387]  And this was part of a 1,200-page, $915 billion spending bill.
[00:17:24.264 --> 00:17:26.626]  That is going to be signed into law very soon.
[00:17:26.646 --> 00:17:33.970]  They have to sign the spending bill, so they just sort of inserted this lightbulb ban reversal bill, or language inside that bill.
[00:17:34.230 --> 00:17:35.591]  So now, hey, we get our lights back!
[00:17:36.331 --> 00:17:37.492]  Isn't that great?
[00:17:38.813 --> 00:17:43.095]  For all of you who have been hoarding lightbulbs, you can now relax.
[00:17:43.556 --> 00:17:53.682]  You'll be able to buy them a little bit longer, and as one of the crew members here, hey, we may even have a little bit of light left by which to read the remaining shreds of the Bill of Rights, if all this continues.
[00:17:55.404 --> 00:17:58.906]  Here's some natural news articles, by the way, about compact fluorescent lights.
[00:17:58.926 --> 00:18:02.928]  We wrote about this last year and how even CFLs are loaded with mercury.
[00:18:03.448 --> 00:18:13.373]  So this whole effort to try to push compact fluorescent lights on us as energy efficiency, well, this was rooted in a kind of contamination agenda for our environment anyway.
[00:18:13.933 --> 00:18:22.677]  You can read a lot more about that at naturalnews.com, where I serve as the editor when I'm not here having fun with the crew at the InfoWars Nightly News.
[00:18:23.357 --> 00:18:32.142]  It is crazy sometimes, some of the stories that we see coming across our desks, and we all have to laugh about it before and after the tapings of these shows.
[00:18:32.602 --> 00:18:34.143]  So, continuing now, we have...
[00:18:35.222 --> 00:18:36.923]  Internet architects oppose U.S.
[00:18:37.103 --> 00:18:38.403]  online piracy bills.
[00:18:38.463 --> 00:18:39.284]  This is a big deal.
[00:18:39.304 --> 00:18:47.887]  80 experts who have spoken out about the dangers of the Stop Online Piracy Act, the SOPA.
[00:18:47.907 --> 00:18:51.629]  80 different experts have given an open letter to Congress.
[00:18:51.669 --> 00:18:54.090]  These are engineers, inventors, and software developers.
[00:18:54.890 --> 00:19:00.275]  And in this letter they express concern about the bills introduced in the Senate and the House of Representatives.
[00:19:00.335 --> 00:19:04.838]  In fact, everybody who understands the basic fundamentals of liberty is against this.
[00:19:05.559 --> 00:19:07.300]  But guess who's for the bill?
[00:19:07.340 --> 00:19:08.481]  Of course, Hollywood.
[00:19:08.982 --> 00:19:11.944]  Yes, and the music industry and the Chamber of Commerce.
[00:19:12.525 --> 00:19:19.451]  They want this internet kill switch so that if you're accused of any kind of piracy, even linking to a site that's engaged in piracy,
[00:19:20.171 --> 00:19:20.571]  The U.S.
[00:19:20.611 --> 00:19:23.414]  government can seize your web domain.
[00:19:23.454 --> 00:19:25.535]  They can take down your entire server.
[00:19:26.096 --> 00:19:28.638]  Take you offline without due process.
[00:19:29.517 --> 00:19:33.798]  Isn't that interesting that so much is happening in America today now without due process?
[00:19:34.578 --> 00:19:53.704]  Just as the NDAA wants to strip away due process from you, the individual, strip away your right to a trial by jury, your right to face your accuser, your right to even know what you're being charged with, this SOPA wants to take away the rights of websites to exist on the internet and to fight any kind of censorship attempt with due process.
[00:19:54.955 --> 00:19:59.018]  I guess due process is no longer trendy in America these days, huh?
[00:19:59.839 --> 00:20:02.821]  That's a sad commentary on the situation, but alright, moving on.
[00:20:02.881 --> 00:20:10.946]  California regulators are now committing acts of economic sabotage, in my opinion, against organic pastures.
[00:20:11.767 --> 00:20:12.568]  Yeah, here's what they did.
[00:20:12.628 --> 00:20:26.763]  Now, Organic Pastures, you may remember, is led by Mark McAfee, and he was outspoken against the raids, the armed raids on Rawsome Foods, where they sold organic milk, and raw milk, and raw cheese, and watermelons, and other foods like that.
[00:20:26.843 --> 00:20:28.384]  But now, the state of California
[00:20:29.305 --> 00:20:31.508]  is apparently setting up organic pastures.
[00:20:31.568 --> 00:20:33.390]  They've shut them down for many weeks.
[00:20:33.830 --> 00:20:44.543]  Cost them who knows how much money, maybe hundreds of thousands of dollars as an estimate, but they claim that organic pastures milk was sickening children in California with E. coli.
[00:20:45.063 --> 00:20:49.964]  Well, it turns out that when this milk was tested, there was no E. coli in the milk whatsoever.
[00:20:50.345 --> 00:21:07.909]  So it was another kind of false flag attack on the raw milk industry, targeting organic pastures and Mark McCarthy with this act of economic sabotage, or you might call it state-sponsored economic terrorism, conducted by the state of California as payback.
[00:21:08.490 --> 00:21:09.250]  Yeah, payback.
[00:21:09.910 --> 00:21:15.833]  Against these people that stand up for raw milk as a real food in California.
[00:21:15.853 --> 00:21:17.954]  Can you believe that's happening these days?
[00:21:17.974 --> 00:21:22.456]  It's economic terrorism funded by the state of California.
[00:21:22.757 --> 00:21:23.217]  Unbelievable.
[00:21:23.737 --> 00:21:24.497]  Now moving on.
[00:21:24.658 --> 00:21:26.919]  Have you seen those pink Bibles for sale?
[00:21:27.967 --> 00:21:39.396]  Well, it turns out that some of the money from these pink Bibles goes to none other than the Susan G. Komen for the Cure organization that then hands over a portion of this money to Planned Parenthood!
[00:21:40.077 --> 00:21:40.737]  That's right!
[00:21:41.298 --> 00:21:45.001]  It goes from the Bible to Komen to Planned Parenthood!
[00:21:45.381 --> 00:21:47.743]  So if you're out there buying these pink Bibles, watch out!
[00:21:48.664 --> 00:21:55.910]  It turns out that the LifeWay Christian Resources organization, which is, in fact, part of the Southern Baptist Convention,
[00:21:56.886 --> 00:22:00.551]  They've now stopped selling the Pink Bibles as this information went public.
[00:22:01.212 --> 00:22:08.884]  Now, in their defense, they did say that this money from Komen was only used by Planned Parenthood to conduct mammograms.
[00:22:09.909 --> 00:22:18.275]  Well, even if that's true, and who knows, maybe they're lying to us about that, but even if that's true, mammograms cause breast cancer, folks.
[00:22:18.675 --> 00:22:22.238]  Mammograms irradiate your breasts and your heart tissue.
[00:22:23.018 --> 00:22:29.343]  And if you get enough mammograms, over time you will get breast cancer, sooner or later, because that's what radiation does to your DNA.
[00:22:29.383 --> 00:22:31.725]  It causes mutations that lead to cancer.
[00:22:32.285 --> 00:22:37.469]  I can't believe that they would use Bibles, or the sales of Bibles, to promote procedures
[00:22:38.269 --> 00:22:42.511]  Give women cancer or possibly fund abortions in America.
[00:22:42.952 --> 00:22:44.332]  Absolutely ridiculous.
[00:22:45.673 --> 00:22:47.394]  Now, moving on.
[00:22:47.714 --> 00:22:52.517]  After Pink Bibles, we have some good news that has taken place.
[00:22:53.378 --> 00:22:56.199]  We have a man in, what city is this in?
[00:22:56.239 --> 00:22:58.320]  The Ex-Con in Detroit, I believe.
[00:22:58.360 --> 00:23:00.822]  He found a wallet with a thousand dollars of cash in it.
[00:23:01.693 --> 00:23:04.095]  And he returned it to its rightful owner!
[00:23:04.595 --> 00:23:05.275]  Yes, indeed.
[00:23:05.355 --> 00:23:10.699]  Inside the wallet, reports MyFoxDetroit, was enough cash to tempt even the most honest person.
[00:23:11.019 --> 00:23:14.501]  A thousand bucks in cash, credit cards, and a man's identification.
[00:23:15.002 --> 00:23:18.084]  And he turned it in and gave it back to its rightful owner.
[00:23:18.104 --> 00:23:30.752]  That's good news about honest citizens in America, especially in contrast to people like John Corzine, who found a few billion dollars in cash in customer accounts and decided to steal it for himself.
[00:23:31.232 --> 00:23:39.902]  Yeah, you got a guy just out of jail that's giving the money back and yet you have these wealthy globalists who are stealing billions and so far getting away with it.
[00:23:40.623 --> 00:23:41.183]  It's incredible.
[00:23:41.603 --> 00:23:49.585]  Now, that's it for the news wrap for tonight, but stay tuned because we have just an extraordinary interview coming up with the creators of A Noble Lie.
[00:23:49.845 --> 00:23:53.946]  This is the documentary that you'll want to see, available right here from the InfoWars store.
[00:23:54.346 --> 00:23:57.767]  Alex Jones interviews these creators in the segment coming up next.
[00:23:58.087 --> 00:24:00.107]  But first, I've got one more item for you here.
[00:24:00.607 --> 00:24:03.228]  I have written a commentary, an editorial.
[00:24:04.344 --> 00:24:09.589]  About the NDAA, I felt so strongly about this, and I wanted to bring you this special commentary.
[00:24:10.891 --> 00:24:16.016]  We don't use teleprompters here on InfoWars Nightly News, so I'm going to be reading this to you on paper.
[00:24:16.056 --> 00:24:21.401]  This is word-for-word, exactly as I wanted you to hear it, so please bear with me as I bring you this editorial.
[00:24:21.501 --> 00:24:26.827]  I hope you agree it's a strong commentary against those who would support this NDAA.
[00:24:27.227 --> 00:24:27.607]  Here it is.
[00:24:28.922 --> 00:24:37.113]  With the passage of the National Defense Authorization Act, America has set a dark course down a path that can only lead to its downfall.
[00:24:38.101 --> 00:24:58.790]  Absent the natural law rights granted to the people by our Creator, and now subjected to secret military kidnappings, detainment, torture, and assassinations by our own government, we the people are seen only as subservient assets to a system of such moral and financial corruption that it screams out for abolishment.
[00:25:00.103 --> 00:25:16.935]  If we are judged by the government we keep, then in the passage of this NDAA, we have failed at our most fundamental task, to refresh the tree of liberty from time to time, not with the blood of patriots and tyrants, but with the wisdom and the foresight to avoid such bloodshed.
[00:25:18.160 --> 00:25:34.231]  This moral failure will haunt us for years to come, and it will curse upon the hands of those who stood silently and said nothing the blood of their fellow Americans who will die at the hands of the tyrants, emboldened and empowered by the wickedness of this NDAA.
[00:25:35.272 --> 00:25:44.358]  Those who voted for it and who signed it have now placed a spiritual debt upon their souls, not merely for their conscious betrayal of the people,
[00:25:45.580 --> 00:25:50.642]  But for their contempt for the Divine Creator from which these natural law rights eternally spring.
