[00:00:00.009 --> 00:00:01.982]  This is Alex Jones.
[00:04:42.915 --> 00:04:46.536]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:04:46.876 --> 00:04:54.998]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:04:55.738 --> 00:04:59.779]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:05:00.359 --> 00:05:11.181]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:05:11.801 --> 00:05:20.824]  With continued legislation threatening the sale of nanosilver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:05:21.324 --> 00:05:26.386]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:05:26.746 --> 00:05:33.929]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:05:34.229 --> 00:05:36.630]  That's www.silverlungs.com.
[00:05:42.230 --> 00:05:45.834]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:05:46.234 --> 00:05:49.257]  This is our last chance to not relive history.
[00:05:49.477 --> 00:05:54.281]  As they're finishing off this agenda, they'll be pulling the rug from underneath the Americans at home.
[00:05:54.301 --> 00:06:00.547]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:06:00.667 --> 00:06:02.910]  I think it's incumbent upon all of us
[00:06:03.450 --> 00:06:03.730]  Tim Geithner?
[00:06:03.750 --> 00:06:04.191]  Bernanke?
[00:06:04.211 --> 00:06:04.591]  They're arsonists!
[00:06:04.611 --> 00:06:05.372]  They're asking for more matches!
[00:06:05.392 --> 00:06:06.432]  And the Congress is saying...
[00:06:21.144 --> 00:06:22.185]  Who do we make the check out to?
[00:06:22.345 --> 00:06:24.187]  Today seems like nobody does care.
[00:06:24.487 --> 00:06:29.291]  And right now in Washington, D.C., we have seen a fall of the republic.
[00:06:29.631 --> 00:06:38.758]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:06:40.760 --> 00:06:45.003]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:06:45.323 --> 00:06:45.944]  Number one.
[00:06:46.224 --> 00:06:49.386]  New climate legislation could easily double or triple your electric bill.
[00:06:49.667 --> 00:06:50.227]  Number two.
[00:06:50.527 --> 00:06:55.071]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:06:55.411 --> 00:06:55.851]  It's true.
[00:06:56.151 --> 00:07:00.715]  Total government control of electricity in the name of smart grid technology is coming.
[00:07:01.035 --> 00:07:01.575]  Number three.
[00:07:01.856 --> 00:07:05.138]  In some areas of the country, the power grid is dangerously overloaded.
[00:07:05.438 --> 00:07:09.141]  And now, new socialist legislation is only compounding the problem.
[00:07:09.341 --> 00:07:09.882]  Number 4.
[00:07:10.122 --> 00:07:12.504]  Dangerous weather is always a threat to local grids.
[00:07:12.884 --> 00:07:16.287]  Every year, thousands of families lose their power from weather-related outages.
[00:07:16.567 --> 00:07:16.788]  Number 5.
[00:07:17.368 --> 00:07:21.291]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:07:21.512 --> 00:07:26.276]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:07:26.556 --> 00:07:30.579]  You can get more information at www.mysolarbackup.com.
[00:07:30.719 --> 00:07:32.300]  That's mysolarbackup.com.
[00:07:32.520 --> 00:07:34.602]  Remember, the government doesn't own the sun.
[00:07:34.762 --> 00:07:37.364]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:07:37.384 --> 00:07:43.788]  He's the T-Rex of political talk.
[00:07:44.289 --> 00:07:47.011]  Alex Jones on the GCN Radio Network.
[00:07:53.482 --> 00:07:57.286]  It is Tuesday, the third day of May 2011.
[00:07:57.406 --> 00:08:14.142]  We're going to be breaking down all of the different developments surrounding the May Day reported killing of the chief boogeyman, Osama bin Laden, and the fact that all over the global media and domestic media...
[00:08:15.248 --> 00:08:28.677]  A lot of people are questioning the dumping at sea, the fake photo they first released, and then later had to admit was fake when alternative media pointed out it was a Photoshop the media put out almost three years ago.
[00:08:28.697 --> 00:08:43.848]  We're going to be going over all of it today, but also what we're not looking at while we're busy, obsessed on President Obama kicking off his reelection campaign with this latest fairy tale.
[00:08:44.690 --> 00:08:46.171]  What's happening at the U.S.
[00:08:46.231 --> 00:08:46.731]  Treasury?
[00:08:46.831 --> 00:08:47.992]  Big developments there.
[00:08:48.052 --> 00:08:49.693]  What's happening to the dollar?
[00:08:49.753 --> 00:08:51.775]  The stock market plunging today.
[00:08:53.676 --> 00:09:00.200]  The fact that the neocon media is saying, see, we're going to have five, six, seven dollar a gallon gas.
[00:09:00.821 --> 00:09:02.622]  We need to focus on security.
[00:09:03.202 --> 00:09:09.686]  And if there's a terror attack, the American people won't be as worried about what's happening to the economy.
[00:09:10.527 --> 00:09:13.029]  And if you study this, the global architects that have worked for
[00:09:14.596 --> 00:09:22.194]  90 plus years since 1913 to position the United States into total bankruptcy and receivership to kill our free market system.
[00:09:26.371 --> 00:09:29.753]  They really stand to gain from staged terror attacks.
[00:09:30.354 --> 00:09:34.696]  And on Sunday night and Monday morning, so many people were saying, oh my gosh, it's great.
[00:09:34.716 --> 00:09:38.119]  I can carry my shampoo with me on a trip.
[00:09:38.159 --> 00:09:41.501]  I don't have to go buy shampoo everywhere I fly, everywhere I go.
[00:09:41.521 --> 00:09:44.763]  I don't have to have the TSA stick their hands down my pants.
[00:09:44.803 --> 00:09:47.485]  I don't have to have them download what's on my laptop.
[00:09:48.085 --> 00:09:49.626]  I don't have to answer all their questions.
[00:09:49.666 --> 00:09:51.087]  And the media said, no, no, no, no, no, no.
[00:09:51.447 --> 00:09:52.048]  You don't get it.
[00:09:52.608 --> 00:09:56.991]  We're going to have more TSA checkpoints on highways, at bus terminals, at train stations.
[00:09:57.772 --> 00:09:59.754]  We're going to be spying on you more.
[00:10:01.295 --> 00:10:07.099]  Here are the new four leaders of Al-Qaeda, Lockheed, Gadahn, and the two others.
[00:10:07.240 --> 00:10:09.882]  Of the four they're putting on the news, three born in America.
[00:10:11.061 --> 00:10:12.762]  All three of them known to be trained at U.S.
[00:10:12.802 --> 00:10:19.526]  military bases, hanging out at the Pentagon, protected, running the real attacks in the U.S.
[00:10:19.566 --> 00:10:21.928]  with mentally ill Muslim extremist Patsy's.
[00:10:22.628 --> 00:10:24.649]  We have the eyewitnesses of the U.S.
[00:10:24.689 --> 00:10:32.875]  government getting the underwear bomber on the plane for two years, protecting Major Hassan, knowing the attack was coming, a lockie commanding him.
[00:10:33.415 --> 00:10:34.616]  Congress wants the documents.
[00:10:35.316 --> 00:10:35.817]  C.I.A.
[00:10:35.877 --> 00:10:36.397]  says no.
[00:10:36.437 --> 00:10:37.038]  How does C.I.A.
[00:10:37.098 --> 00:10:39.621]  say no to Congress and the Homeland Security Committee?
[00:10:40.021 --> 00:10:41.022]  Things are upside down.
[00:10:41.103 --> 00:10:41.923]  That's the government.
[00:10:42.504 --> 00:10:45.568]  That's the Congress with the National Security Act that created them.
[00:10:46.829 --> 00:10:48.371]  This is the tail wagging the dog.
[00:10:49.172 --> 00:10:49.992]  It's like the U.N.
[00:10:50.032 --> 00:10:52.655]  launching the New Libyan War and Obama not even consulting Congress.
[00:10:52.976 --> 00:10:55.539]  It's about training you to accept this.
[00:10:58.271 --> 00:11:03.372]  And so it's a fact that the hijackers, in quotes, were trained at U.S.
[00:11:03.392 --> 00:11:04.813]  military bases, that U.S.
[00:11:04.893 --> 00:11:08.194]  embassies in Saudi Arabia were ordered to give them visas into the U.S.
[00:11:08.274 --> 00:11:10.014]  even though they came up on the terror watch list.
[00:11:10.454 --> 00:11:16.196]  I've interviewed the head of the visa section from Jeddah, Mr. Springman, going back nine years ago now.
[00:11:17.956 --> 00:11:21.777]  People say, well, why are you just coming out and saying this is a lie?
[00:11:21.817 --> 00:11:25.438]  Why are you coming out and saying that this is a PR stunt?
[00:11:26.311 --> 00:11:29.472]  Well, just look at the way it's all crafted and scripted.
[00:11:30.792 --> 00:11:31.672]  Just look at it.
[00:11:32.392 --> 00:11:33.693]  Look at how it was rolled out.
[00:11:34.453 --> 00:11:35.693]  Look at how it's being pushed.
[00:11:35.733 --> 00:11:38.254]  Look at the agenda they're piling onto it.
[00:11:39.594 --> 00:11:40.414]  But it's not just that.
[00:11:40.774 --> 00:11:43.015]  How many times have we been lied to?
[00:11:43.815 --> 00:11:46.875]  How many terror attacks have turned out to be fake?
[00:11:48.036 --> 00:11:53.517]  How many Pentagon and Joint Chiefs of Staff documents do we have to get where they stage the Gulf of Tonkin?
[00:11:54.943 --> 00:11:56.123]  To get us into Vietnam.
[00:11:57.784 --> 00:11:58.484]  How many times?
[00:11:59.584 --> 00:12:01.564]  How many Operation Northwoods do we have to see?
[00:12:01.824 --> 00:12:06.605]  How many WikiLeaks releases of Army training manuals for Black Op Army Captains?
[00:12:08.065 --> 00:12:13.346]  Not all Army Captains specialized Black Op Army Captains on how to stage a false flag.
[00:12:13.706 --> 00:12:22.728]  They teach these Navy SEALs and Delta Force and Special Ops people how to do dirty tricks, how to stage events.
[00:12:24.926 --> 00:12:33.070]  Delta Force, even above the SEALs, where they take the best from the different military disciplines and put them into these fused groups.
[00:12:33.570 --> 00:12:44.495]  Delta Force, when they graduate, and this has been declassified, they had to cancel this part of the test because now it's known by people that are trying to get into the Delta Force.
[00:12:46.129 --> 00:13:01.462]  At the end of the month-long rigors and the psychological warfare they have to go under to make sure they can't be cracked easily, then they're given Machiavelli's The Prince and they have 12 hours to read it and then write an essay.
[00:13:02.222 --> 00:13:12.245]  And if they say the end justifies the means, and you've got to be evil to protect good, and torture is good, and lying is good, because at the end of the day, we're the good guys.
[00:13:12.685 --> 00:13:13.905]  That's the devil's trick, folks.
[00:13:14.406 --> 00:13:14.946]  Read the Bible.
[00:13:15.246 --> 00:13:27.449]  That's pure... Whether you believe the Bible or not, the point is that's always culturally been seen as the main system of deception.
[00:13:27.949 --> 00:13:29.850]  That, oh, just be evil for good sake.
[00:13:31.036 --> 00:13:45.620]  And if they write the essay and say that they will be evil for good sake, that they will lie for good sake, that they will torture for good sake, that they will dissemble, that they will stage terror attacks, then they go, welcome to the Delta Force Squadron.
[00:13:46.360 --> 00:13:49.881]  Now, if they answer it wrong, they say, we're gonna have you in logistics.
[00:13:50.921 --> 00:13:55.102]  We're gonna send you to Fort Bragg and you're gonna basically push pencils all day.
[00:13:56.583 --> 00:13:57.783]  See, this is the real world.
[00:13:58.931 --> 00:14:07.974]  And when you read the writings of these retired CIA people like Kermit Roosevelt who staged Operation Ajax with staged terror attacks to overthrow the Iranian government in 53, that's declassified.
[00:14:08.394 --> 00:14:17.838]  When I've been at events and had CIA guys come over and get in my face and then later, you know, pass messages through people about, you don't live in the real world.
[00:14:18.218 --> 00:14:19.559]  You don't know how the world really works.
[00:14:19.619 --> 00:14:21.600]  You don't understand what we have to do.
[00:14:21.840 --> 00:14:23.761]  We have to be more evil than the other side.
[00:14:23.821 --> 00:14:29.924]  We have to take every system they might use and make it our own or somebody else bad will take control of it.
[00:14:30.504 --> 00:14:36.907]  We have to bring the drugs in or somebody else will and then they'll get the money and the power and then that evil group will overtake us.
[00:14:37.367 --> 00:14:38.388]  It's circular logic.
[00:14:39.304 --> 00:14:42.589]  Oh, is that why you push worldwide to keep drugs illegal?
[00:14:43.150 --> 00:14:53.748]  No, if you didn't want Al-Qaeda, Taliban having the opium and making the money off of it, you would decriminalize it so that the price would plummet and then there'd be no business in it.
[00:14:55.131 --> 00:15:03.694]  But instead, you go in and boost production and control it, and then think we're so dumb now, because this stuff can't be hidden anymore, that they come out in the BBC.
[00:15:04.495 --> 00:15:17.840]  I told you a year before, I saw Geraldo Rivera with the Army, excuse me, Marine Corps Colonel, going, yeah, we help grow it, we give them the opium, we give them the fertilizer, and we help them protect it.
[00:15:18.829 --> 00:15:26.092]  I heard BBC with the same narrative about, well, if we don't grow it and help ship it out, Al-Qaeda and Taliban will get the money.
[00:15:27.192 --> 00:15:31.353]  And I almost ran off the road, not because I didn't know that, but because they were admitting it.
[00:15:32.094 --> 00:15:35.495]  And then I couldn't ever find it on the BBC website, the report.
[00:15:35.815 --> 00:15:47.339]  Well, then we did find, because listeners called, the YouTube a year later of Geraldo Rivera going, yeah, America, we grow the opium.
[00:15:48.194 --> 00:15:49.474]  You see, because they can't hide it.
[00:15:49.755 --> 00:15:52.396]  How many CIA aircraft crashing with cocaine on board?
[00:15:53.196 --> 00:15:58.878]  I mean, one of the biggest heads of the drug cartels on trial in Chicago.
[00:15:58.918 --> 00:16:04.280]  It comes out in federal court last week, the documents that he said, I work for the U.S.
[00:16:04.300 --> 00:16:04.680]  government.
[00:16:04.740 --> 00:16:05.720]  He's trying to call witnesses.
[00:16:05.760 --> 00:16:06.981]  He's saying, I work for you.
[00:16:07.041 --> 00:16:08.661]  How dare you do this to me?
[00:16:08.701 --> 00:16:09.962]  How dare you double cross me?
[00:16:11.101 --> 00:16:17.685]  That's like how Turner released the documents in federal court when he was threatening judges and people and state judges went ahead and prosecuted him.
[00:16:18.025 --> 00:16:21.567]  And the Fed to control the case went ahead and charged him as well and took it away from state court.
[00:16:22.447 --> 00:16:27.810]  And in there, he released the documents and the judge released it and it was national security memorandums.
[00:16:27.830 --> 00:16:32.453]  He was the highest level national intelligence FBI asset.
[00:16:33.674 --> 00:16:35.695]  Well, you could tell he was an FBI asset.
[00:16:36.758 --> 00:16:45.986]  He was there to talk about violence every night and get away with it and attack yours truly every day and try to hype up the army of white supremacists that work for the feds and don't even know it, most of them.
[00:16:46.306 --> 00:16:47.427]  And I've seen this over and over again.
[00:16:47.627 --> 00:16:48.848]  I told you 10 years ago he was.
[00:16:48.868 --> 00:16:52.091]  Folks, I know a globalist agent when I see it.
[00:16:52.251 --> 00:16:53.912]  I live this stuff, okay?
[00:16:54.573 --> 00:16:55.734]  I experience it.
[00:16:56.194 --> 00:16:57.776]  I know of what I speak.
[00:16:58.979 --> 00:17:09.768]  And so, you have all these declassified instances of where our government, supposed government, has staged events, staged massacres, blamed it on people, going back to Vietnam.
[00:17:12.550 --> 00:17:18.475]  The Quiet American is a fictional account, book and film, but it's based on real events that happened.
[00:17:18.495 --> 00:17:27.723]  You have the CIA in there, you know, in the late 50s, getting ready for the main war, trying to back up the French, and they're staging terror attacks in markets, blowing kids up to blame it on the communists.
[00:17:28.510 --> 00:17:34.872]  I mean, if you want to see it in a fictional way, that tends to wake people up better than reality because they can't deal with reality.
[00:17:35.273 --> 00:17:36.753]  Go watch that movie, The Quiet American.
[00:17:37.894 --> 00:17:43.596]  And then understand what we're dealing with and stop being naive.
[00:17:44.236 --> 00:17:46.257]  The globalists are bringing America down.
[00:17:46.297 --> 00:17:54.680]  They're killing the dollar by design to consolidate and to take a wealthy, uppity, powerful, armed
[00:17:55.200 --> 00:17:58.323]  ...population and make us servile, broke slaves.
[00:17:58.823 --> 00:17:59.224]  It's on.
[00:17:59.444 --> 00:18:01.346]  The world government's openly being announced.
[00:18:01.406 --> 00:18:05.530]  It's been built behind the scenes, but now they've unveiled it as the solution.
[00:18:06.050 --> 00:18:09.033]  Everything is happening right now, geopolitically.
[00:18:10.995 --> 00:18:15.239]  And they come out with a, uh, we dumped him in the ocean, and here's a photo.
[00:18:15.359 --> 00:18:16.800]  Oh, you noticed that's fake?
[00:18:16.920 --> 00:18:18.602]  Okay, we'll give you another photo.
[00:18:20.779 --> 00:18:28.921]  Well, you can go rent Forrest Gump and see Forrest Gump shaking hands 15 years ago, and you can't tell it's a fake, with President Kennedy.
[00:18:29.181 --> 00:18:30.001]  Folks, it's not real.
[00:18:30.041 --> 00:18:31.081]  Forrest Gump's not real.
[00:18:31.821 --> 00:18:33.242]  He didn't shake hands with Kennedy.
[00:18:34.042 --> 00:18:34.882]  None of it is real.
[00:18:36.162 --> 00:18:39.763]  When you see a talking chihuahua on Taco Bell commercials, folks, that's not real.
[00:18:39.783 --> 00:18:47.285]  I mean, if you go see the talking rabbit in Hop that looks completely real, you can't tell it's fake.
[00:18:49.298 --> 00:18:50.840]  That rabbit is not real, folks.
[00:18:51.981 --> 00:18:52.522]  I'm sorry.
[00:18:53.883 --> 00:18:58.809]  You can watch Santa Claus computer-morphed movies that are out, and it looks like a real person.
[00:18:59.670 --> 00:19:00.330]  It's not real.
[00:19:00.971 --> 00:19:08.360]  The Grinch that stole Christmas with, you know, the actor, Carrie.
[00:19:09.537 --> 00:19:10.138]  It's not real.
[00:19:10.699 --> 00:19:12.581]  And you're going, yes, we know it's not real.
[00:19:12.921 --> 00:19:18.669]  The point is they think you're stupid with this and the timing and the lies and all of it.
[00:19:19.049 --> 00:19:20.511]  We know this is fake.
[00:19:21.793 --> 00:19:22.394]  I mean, it's like.
[00:19:24.977 --> 00:19:29.840]  If you get a zit on your face, and you go, that's a zit on my face, it's there.
[00:19:29.900 --> 00:19:31.061]  It's proof.
[00:19:31.301 --> 00:19:33.222]  Let's see, they won't give you proof.
[00:19:33.262 --> 00:19:34.442]  They won't give you the body.
[00:19:34.763 --> 00:19:35.523]  It's in the ocean.
[00:19:35.563 --> 00:19:36.324]  That's the end of it.
[00:19:36.364 --> 00:19:36.964]  Don't debate it.
[00:19:37.284 --> 00:19:38.045]  Don't discuss it.
[00:19:38.785 --> 00:19:40.226]  And torture, by the way.
[00:19:40.706 --> 00:19:41.086]  It's good.
[00:19:41.506 --> 00:19:43.647]  Spring and a new growing season are here.
[00:19:43.907 --> 00:19:47.729]  Plant a healthy garden easy and fast with OrganicaSeed.com.
[00:19:47.969 --> 00:19:58.334]  Easy because OrganicaSeed.com offers one of the largest online selections of organic, heirloom, non-hybrid, and untreated seeds, as well as tobacco and cotton seeds at low prices.
[00:19:58.574 --> 00:20:00.435]  Go to OrganicaSeed.com.
[00:20:00.495 --> 00:20:05.137]  Spelled O-R-G-A-N-I-C-A Seed.com.
[00:20:05.357 --> 00:20:06.838]  OrganicaSeed.com.
[00:20:07.018 --> 00:20:09.819]  Remember, OrganicaSeed is healthy seed.
[00:20:10.951 --> 00:20:12.032]  Hi, this is Ted Anderson.
[00:20:12.192 --> 00:20:16.595]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:20:16.755 --> 00:20:22.479]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:20:22.579 --> 00:20:25.981]  Gold has outperformed paper investments, yet no word about IRAs.
[00:20:26.221 --> 00:20:28.823]  If you would like to have gold for your retirement, call 800-686-2237.
[00:20:28.923 --> 00:20:33.846]  Don't get left behind by rising inflation and low returns.
[00:20:33.986 --> 00:20:34.227]  Call 800-686-2237.
[00:20:34.247 --> 00:20:35.628]  Secure your future and call 1-800-686-2237.
[00:20:41.011 --> 00:20:50.234]  Economists, politicians, and even the average citizen can agree we may only be days or weeks away from the next terrible event that could literally change the face of life as we know it.
[00:20:50.254 --> 00:21:02.679]  Learn the secrets of the world's top survival and preparedness experts at the DFW Marriott in Dallas, Texas for the 2011 International Survival and Preparedness Conference on Memorial Day weekend, May 28th through 30th.
[00:21:02.819 --> 00:21:06.440]  Register at survivalist.com or toll free 866-437-6570 before time runs out.
[00:21:06.460 --> 00:21:07.361]  That's survivalist.com.
[00:21:10.942 --> 00:21:14.905]  If you breathe, eat, or drink, your body's pH balance is at risk.
[00:21:15.185 --> 00:21:24.271]  Micronized activated zeolite is the only product of its kind on the market that can balance pH levels and offset immediate and long-term effects of nuclear fallout.
[00:21:24.291 --> 00:21:28.634]  100% natural, safe, and gentle enough for children, animals, and pregnant women.
[00:21:28.774 --> 00:21:32.176]  Activated zeolite available at RadiationFix.com or call 619-249-2574.
[00:21:32.216 --> 00:21:33.177]  RadiationFix.com or call 619-249-2574.
[00:21:41.222 --> 00:21:42.443]  Hi, this is Alex Jones.
[00:21:42.703 --> 00:21:43.604]  The real U.S.
[00:21:43.744 --> 00:21:48.868]  unemployment rate is now 22%, and not 9%, like what we are told by the mainstream media.
[00:21:49.048 --> 00:21:53.712]  The primary instinct of unemployed Americans is to go to college and seek a higher education.
[00:21:53.852 --> 00:21:59.436]  But all across America, students are graduating with hundreds of thousands of dollars in debt and no jobs.
[00:21:59.816 --> 00:22:07.642]  Most college graduates are now admitting that they would have been better off getting a job at Walmart or McDonald's than having their lives destroyed by student loans.
[00:22:07.982 --> 00:22:17.809]  Our friends at the National Inflation Association are getting ready to release College Conspiracy, the world's most comprehensive documentary ever produced about America's college education system.
[00:22:18.049 --> 00:22:25.094]  To be among the first to see College Conspiracy, sign up for the free NIA newsletter today at www.inflation.us.
[00:22:25.834 --> 00:22:29.795]  NIA believes that college education is the largest scam in American history.
[00:22:29.995 --> 00:22:34.496]  College Conspiracy will expose the facts and truth about the education system here in the U.S.
[00:22:34.716 --> 00:22:39.558]  Sign up for free today at inflation.us to be among the first to see College Conspiracy.
[00:22:39.998 --> 00:22:46.219]  Don't you just laugh every time the news plays another story about a foreclosure bank or attorney under investigation bankrupted or being sued?
[00:22:46.600 --> 00:22:52.101]  Zero Debt has a program that stops foreclosure guaranteed for at least two years without payments or attorneys.
[00:22:52.381 --> 00:22:57.886]  In fact, we show our members how to get the banks to pay their taxes and insurance while they stonewall the bank's collection process.
[00:22:58.046 --> 00:23:02.610]  We show you how it's possible to quiet the title in your name by using the bank's very own foreclosure process.
[00:23:02.811 --> 00:23:04.232]  Loan modification is a joke.
[00:23:04.392 --> 00:23:08.015]  The banks use that to take your money with nothing in return and keeping you in default.
[00:23:08.215 --> 00:23:09.276]  You've heard our ad before.
[00:23:09.356 --> 00:23:11.999]  We are not investors, bankers, attorneys, or real estate agents.
[00:23:12.179 --> 00:23:15.381]  We are a group of people just like you that are sick and tired of the housing crash.
[00:23:15.621 --> 00:23:18.583]  And we've helped thousands avoid foreclosure since 1993.
[00:23:18.863 --> 00:23:21.705]  Get free help now from ZeroDebtGuaranteed.com.
[00:23:21.845 --> 00:23:24.086]  Or call to talk with others who have already used our system.
[00:23:24.226 --> 00:23:29.889]  We'll show you how to save tens of thousands of dollars by using the foreclosure process to your advantage and save your home.
[00:23:30.069 --> 00:23:30.290]  Call 800-477-9256.
[00:23:30.310 --> 00:23:30.350]  800-477-9256.
[00:23:30.370 --> 00:23:31.210]  Or visit ZeroDebtGuaranteed.com.
[00:23:31.230 --> 00:23:32.491]  Guaranteed to stop foreclosure.
[00:24:04.891 --> 00:24:20.582]  I almost got back a little late here in the broadcast chair because I just got the call back from Dr. Steve Pchenik, the number two guy under Henry Kissinger at the State Department, who worked with bin Laden, who knows Osama bin Laden.
[00:24:21.943 --> 00:24:23.464]  And he said, Alex, you're doing a very good job.
[00:24:23.524 --> 00:24:24.685]  I'm listening to the show right now.
[00:24:25.505 --> 00:24:29.671]  Of course, we had him on in 2002 in April.
[00:24:30.032 --> 00:24:35.199]  He broke down that the intel that bin Laden was dead and was frozen on ice to be rolled out later.
[00:24:35.379 --> 00:24:40.526]  Now, I was then told by two other White House sources the exact same thing, and people couldn't believe it.
[00:24:41.067 --> 00:24:50.391]  Even though we had Pchenik on record, then suddenly Madeleine Albright, Walter Cronkite, Theresa Hines-Carrie, and scores of other top Democrats came out and said, Bush, we know you got him frozen.
[00:24:50.771 --> 00:24:52.852]  Don't stage his death and roll him out.
[00:24:53.092 --> 00:24:56.153]  So they pulled it off the table and waited with that ace card.
[00:24:56.793 --> 00:25:00.337]  And you notice Obama's got the same Secretary of Defense, Robert Gates.
[00:25:00.377 --> 00:25:01.339]  It's all the same crew.
