[00:00:07.236 --> 00:00:13.459]  In the 1950s, Universal Pictures put out a classic sci-fi horror film, The Thing.
[00:11:18.937 --> 00:11:19.877]  The facts are in.
[00:11:20.097 --> 00:11:28.682]  Please, for your own sake and the sake of our species, let's not let these control freak psychopaths mutilate and vandalize
[00:11:29.659 --> 00:11:38.265]  And irrevocably damage the biosphere and the ancient genetic system of this planet so they can be on a power trip and play God.
[00:11:40.107 --> 00:11:41.868]  Look at the fruits of the New World Order.
[00:11:42.649 --> 00:11:45.230]  Most cancers have more than tripled in the last two decades.
[00:11:45.791 --> 00:11:49.974]  Diabetes has doubled in the last decade.
[00:11:52.327 --> 00:11:56.551]  All sorts of new cancers that never existed before are now appearing.
[00:11:57.612 --> 00:12:09.544]  Scores of vaccines have been found to be implanted with sterilants, cancer viruses, microplasms, nanotech microplasms that are purely artificial.
[00:12:11.323 --> 00:12:37.222]  The United States has the highest rates of every major cancer in the world, including breast cancer, and the system always talks about giving more money when you buy food or go to a movie to try to create cures for breast cancer, instead of finding out why it's all skyrocketing, why pancreatic cancer is skyrocketing, and why the system is trying to block vitamins and minerals from the public.
[00:12:38.764 --> 00:12:39.024]  Again,
[00:12:41.496 --> 00:12:52.844]  The globalist might as well be a space alien from 15 trillion miles away who crashed in Antarctica and got dug up and wants to wreck this planet and totally genetically absorb it.
[00:12:54.665 --> 00:12:55.966]  Like John Carpenter's The Thing.
[00:12:56.607 --> 00:12:57.347]  Might as well be.
[00:12:59.268 --> 00:13:08.435]  The globalist covered up the fact that Fukushima was many times Chernobyl and that the radiation levels were rising all across the United States.
[00:13:10.171 --> 00:13:18.554]  And so the EPA's response was just to raise the level of isotopes, in some cases 100,000 times what they said was previously safe.
[00:13:19.254 --> 00:13:29.878]  This is the type of self-destructive, truly demonic, is the only word to describe it, behavior that we see coming out of the ruling class.
[00:13:31.439 --> 00:13:39.122]  And it's time for people infected by cynicism and by hatred of life to really ask yourself,
[00:13:40.319 --> 00:13:41.940]  Is this what you want to be part of?
[00:13:42.301 --> 00:13:46.444]  The things that the globalists create are malformed abominations.
[00:13:46.824 --> 00:13:48.726]  The entire biosphere is being absorbed.
[00:13:49.266 --> 00:13:51.408]  It may already be irreversible.
[00:13:51.988 --> 00:13:56.072]  The life cycle of these rats and mice and guinea pigs is just a few years.
[00:13:57.473 --> 00:14:08.662]  And within three generations, near total infertility and addled mental retardation, total deformities, stillbirths, just a wreck species.
[00:14:13.615 --> 00:14:17.416]  We are eating the same stuff, but on average, we have offspring every 20 years.
[00:14:18.496 --> 00:14:28.478]  And already look at the mental retardation, all the new problems, all the new cancers, the diseases, and we are just one generation into this.
[00:14:29.558 --> 00:14:39.060]  The mercury alone in the vaccines, major study shows, is causing massive irrevocable DNA damage
[00:14:40.319 --> 00:14:48.426]  That we're already seeing in this generation, if you're 25 years or so, the numbers are off the chart, but it's damaging the eggs of the girls that are being born now.
[00:14:50.187 --> 00:14:54.651]  And they've got cadaver studies on young children that have died, young girls, and they've looked at their eggs.
[00:14:56.653 --> 00:14:57.734]  They're nearly infertile.
[00:15:00.956 --> 00:15:08.603]  If an alien from a foreign planet wanted to come in and infiltrate and destroy humanity, it couldn't do a better job than the globalists have done.
[00:15:12.640 --> 00:15:13.219]  You've been warned.
