[00:00:00.049 --> 00:00:01.230]  More on corruption.
[00:04:41.969 --> 00:04:44.130]  I mean, they got stuff right out of Terminator.
[00:04:44.431 --> 00:04:45.171]  Heck worse.
[00:04:45.831 --> 00:04:47.692]  I mean, we're in so much trouble.
[00:04:48.693 --> 00:04:51.815]  And the globalists are getting to the point where they don't even need the troops anymore.
[00:04:52.175 --> 00:04:56.117]  It's gonna be shelf-aware robots and drones, and that's in the Washington Post.
[00:04:56.418 --> 00:04:57.438]  They're already testing them.
[00:04:57.458 --> 00:05:01.160]  They're already drones in the air that make the decision on who to kill.
[00:05:01.921 --> 00:05:02.361]  Stay with us.
[00:05:07.438 --> 00:05:08.960]  Hi folks, this is Alex Jones.
[00:05:09.160 --> 00:05:14.205]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:05:14.465 --> 00:05:15.846]  Saving means to make money.
[00:05:16.007 --> 00:05:24.795]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:05:25.536 --> 00:05:32.621]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:05:33.061 --> 00:05:40.686]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:05:41.066 --> 00:05:45.989]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:05:46.309 --> 00:05:48.470]  Getting a free catalog is easy by calling 800-340-7091.
[00:05:51.232 --> 00:05:54.156]  Or see Calvin on the web at FiveStarSoap.com.
[00:05:54.457 --> 00:05:56.760]  Take charge of your health now by calling 800-340-7091.
[00:05:56.820 --> 00:05:58.943]  Or see Calvin on the web at FiveStarSoap.com.
[00:06:07.381 --> 00:06:11.004]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:06:11.404 --> 00:06:14.427]  This is our last chance to not relive history.
[00:06:14.647 --> 00:06:19.431]  As we're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:06:19.451 --> 00:06:25.676]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:06:25.836 --> 00:06:28.078]  I think it's incumbent upon all of us
[00:06:28.618 --> 00:06:28.898]  Tim Geithner?
[00:06:28.918 --> 00:06:29.338]  Bernanke?
[00:06:29.439 --> 00:06:30.019]  They're arsonists!
[00:06:30.039 --> 00:06:30.859]  They're asking for more matches!
[00:06:31.220 --> 00:06:33.621]  And the Congress is saying, who do we make the check out to?
[00:06:47.509 --> 00:06:49.350]  Today, it seems like nobody does care.
[00:06:49.370 --> 00:06:54.412]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:06:54.793 --> 00:07:03.917]  Get your copy of Fall of the Republic on DVD at Infowars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:07:05.973 --> 00:07:07.194]  Hi, this is Alex Jones.
[00:07:07.574 --> 00:07:13.356]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[00:07:13.877 --> 00:07:17.478]  So now is the time to express the holiday spirit more than ever.
[00:07:17.898 --> 00:07:21.080]  Consider helping those you love with the most important gift.
[00:07:21.480 --> 00:07:27.163]  A supply of delicious, easy to fix, and very storable foods from eFoodsDirect.com.
[00:07:27.483 --> 00:07:30.604]  Their holiday gift and family pack start at $99 for a 16-day supply.
[00:07:32.905 --> 00:07:39.852]  All their five-week supply of quick and easy-to-fix meals includes a personal backpack in case of a grab-and-go emergency.
[00:07:40.172 --> 00:07:45.777]  Order their combo gift pack and you'll save hundreds, plus get free shipping on your entire order.
[00:07:46.058 --> 00:07:48.280]  Call eFoods today at 800-409-5633 or visit them online.
[00:07:51.963 --> 00:07:53.704]  You're going to want to take notes today.
[00:07:53.724 --> 00:07:54.825]  I beg you to
[00:08:21.963 --> 00:08:36.756]  Write down what we're going to cover, the basic points, and then go research it for yourself, because information of this incredible import, of this magnitude, is so important.
[00:08:37.476 --> 00:08:50.067]  I have said, Ron Paul has said, other constitutional scholars like Bruce Fine have said, Mr. Turley, a constitutional scholar, has said, countless others have looked at this legislation.
[00:08:52.213 --> 00:08:56.174]  That has passed the House and Senate that Obama says he'll sign, but hasn't yet.
[00:08:56.194 --> 00:08:59.334]  It's like the calm before the storm.
[00:09:00.174 --> 00:09:06.816]  He's hesitating dropping the sword of Damocles and escalating this into a whole new level.
[00:09:07.036 --> 00:09:11.116]  And I think that's because there's a lot of behind-the-scenes jockeying in the power structure.
[00:09:11.156 --> 00:09:17.157]  Do they really want to give the President, because that's what this says, absolute power of Kim Jong-il.
[00:09:17.977 --> 00:09:19.838]  It says the President can kill any U.S.
[00:09:19.878 --> 00:09:20.758]  citizen they want.
[00:09:22.065 --> 00:09:25.772]  In fact, I meant to play that turtley clip from C-SPAN last night on the Nightly News.
[00:09:25.792 --> 00:09:27.295]  The guys got it ready, but we never played it.
[00:09:27.636 --> 00:09:31.023]  You guys go ask Dude to give you the turtley clip to play later in the hour.
[00:09:31.043 --> 00:09:32.525]  He'll know the one or two.
[00:09:36.186 --> 00:09:37.307]  I mean, this is on record.
[00:09:37.647 --> 00:09:38.928]  Kill any U.S.
[00:09:38.968 --> 00:09:40.309]  citizen in the U.S.
[00:09:40.369 --> 00:09:42.290]  or anywhere else anytime they want.
[00:09:42.370 --> 00:09:47.134]  No judge, no jury, no discussion, no need of proof, no one above the president.
[00:09:47.814 --> 00:09:49.756]  Absolute dictator.
[00:09:50.416 --> 00:09:56.540]  Now, Bush signed executive orders, and Congress went along with it, for PDD 51 and the accompanying
[00:09:58.644 --> 00:10:04.247]  Other numbers to other federal agencies because they had executive orders and presidential decision directives.
[00:10:04.828 --> 00:10:05.828]  The PDD is 51.
[00:10:06.089 --> 00:10:20.858]  There's an executive order that accompanies it, saying that for any crises, including economic or unnamed crises, the president can suspend Congress and run the entire U.S.
[00:10:20.998 --> 00:10:21.398]  government.
[00:10:25.450 --> 00:10:40.306]  So the presidency, though the presidency is a puppet position by the special interests, the big mega banks, Goldman Sachs, JP Morgan, a handful of others, the system is hesitating on this because I think
[00:10:42.228 --> 00:10:47.311]  Even the global controllers are saying, should we actually give a president this much power?
[00:10:47.531 --> 00:10:48.452]  We already control him.
[00:10:48.652 --> 00:10:51.114]  The Congress already does whatever we say, and are a bunch of tyrants.
[00:10:51.514 --> 00:10:53.015]  We've got dirt on all these people.
[00:10:53.575 --> 00:10:54.716]  Do we want to?
[00:10:55.557 --> 00:11:05.263]  Because see, they've actually worked to weaken the office of the presidency in the public mind, while strengthening the power that the unelected bureaucracy has under the executive.
[00:11:06.305 --> 00:11:07.566]  That's what Nixon was all about.
[00:11:07.926 --> 00:11:15.670]  Certainly not a good guy, but he was not a total globalist, and he was not going along with a lot of their operations, and it's come out.
[00:11:16.291 --> 00:11:27.117]  We've interviewed people who have gotten the documents, it's even in a lot of mainstream reports, that they decided to go ahead and leak stuff on him from the plumbers, and to break in at the Watergate to bring him down.
[00:11:27.737 --> 00:11:33.500]  And that's why you saw that happen, because the power structure wanted to bring down Richard Nixon and weaken the presidency.
[00:11:33.861 --> 00:11:37.082]  Bill Clinton was put in there and dragged the presidency through the mud.
[00:11:38.944 --> 00:11:54.973]  So, they want the power of a dictatorship, but they want it through the oligarchy, the plutocratic councils and combines to give the president this power.
[00:11:57.290 --> 00:11:58.390]  And this is not rhetoric.
[00:11:58.490 --> 00:12:01.331]  It is supreme dictator status.
[00:12:01.912 --> 00:12:06.833]  Even kings of old who said that they had their power as the divine right of blood.
[00:12:07.474 --> 00:12:12.075]  And the whole French Norman line believes they were descended of Christ from Mary Magdalene.
[00:12:12.315 --> 00:12:13.796]  That's the whole Merovingian line.
[00:12:14.196 --> 00:12:25.980]  The Queen of England was sworn in, christened, coronated on the stone of Abraham and believes that she is of the blood of Christ and all this stuff.
[00:12:26.460 --> 00:12:27.781]  These people think they're God.
[00:12:28.221 --> 00:12:37.024]  Even they had to issue some kangaroo reasons for why they were going to execute you or put you in the tower and sign an order.
[00:12:37.684 --> 00:12:44.207]  This says the president need not even tell anyone and can do whatever they want and not even have proof of anything.
[00:12:45.527 --> 00:12:48.908]  It is absolute dictatorship.
[00:12:51.729 --> 00:12:53.230]  It's Kim Jong-il level.
[00:12:54.679 --> 00:13:08.869]  And so Obama said he was going to sign it last Thursday and then last Friday and then suddenly there were news articles Obama set to sign NDAA today and then it was tomorrow and then now people are saying well what's your statement are you going to sign it?
[00:13:08.889 --> 00:13:17.494]  Because Obama had said he wasn't going to sign it but then his lawyers are like because we don't need to have this signed he already has this power we'll kill U.S.
[00:13:17.514 --> 00:13:18.555]  citizens whatever we want.
[00:13:18.775 --> 00:13:19.776]  You saw those announcements.
[00:13:20.396 --> 00:13:21.697]  We'll arrest whoever we want.
[00:13:21.737 --> 00:13:22.898]  We'll spy on whoever we want.
[00:13:23.198 --> 00:13:24.339]  We'll do whatever we want.
[00:13:26.400 --> 00:13:28.402]  So we saw all of that unfolding.
[00:13:31.444 --> 00:13:37.690]  And then we learned, oh, Obama demanded the provision to arrest, kill, do whatever he wants, torture U.S.
[00:13:37.730 --> 00:13:38.170]  citizens.
[00:13:39.832 --> 00:13:41.693]  And so now something's going on here.
[00:13:42.494 --> 00:13:45.516]  And we'll continue to watch it very, very closely.
[00:13:48.219 --> 00:13:52.603]  Now, separately, integrating in with all of this, you've got Newsweek,
[00:13:53.479 --> 00:13:58.924]  With the headline, governments, local governments armed by Homeland Security to wage war.
[00:14:00.043 --> 00:14:01.364]  Remember that headline yesterday?
[00:14:01.964 --> 00:14:02.864]  Preparing for war.
[00:14:02.904 --> 00:14:12.688]  I've got three other articles today where local governments with tanks, wheeled vehicles, machine guns, combat robots, training for war.
[00:14:13.168 --> 00:14:14.789]  And by the way, we've gotten the manuals.
[00:14:15.229 --> 00:14:16.809]  Al-Qaeda isn't in the manual.
[00:14:17.110 --> 00:14:22.312]  Okay, it's John Deere, cap wearing, overall wearing rednecks.
[00:14:22.472 --> 00:14:23.192]  Good old boys.
[00:14:23.612 --> 00:14:25.573]  People that can skin a buck run a trot line.
[00:14:26.573 --> 00:14:28.174]  You see the drones already targeting?
[00:14:29.810 --> 00:14:39.892]  People that, quote, are living on 3,000 acre farm compounds with their families and who, quote, want to be left alone and, quote, aren't paying their property tax.
[00:14:40.453 --> 00:14:45.914]  See, nobody's going to be able to pay their property tax except the one-tenth of one percent when they're done with this global depression.
[00:14:46.514 --> 00:14:47.754]  They're going to come take everything.
[00:14:48.735 --> 00:14:51.455]  And a lot of people are going to say, I'm going to sit here on my farm.
[00:14:51.955 --> 00:14:52.616]  It's paid off.
[00:14:52.956 --> 00:14:54.636]  The property tax is unconstitutional.
[00:14:54.676 --> 00:14:56.337]  Hadn't been around but the last 60 years.
[00:14:56.797 --> 00:14:57.617]  I'm not going to pay it.
[00:14:58.627 --> 00:15:02.449]  And they're going to send military in to kill you.
[00:15:03.169 --> 00:15:04.290]  I've been to the urban drills.
[00:15:04.430 --> 00:15:05.371]  I've shot video.
[00:15:05.651 --> 00:15:07.172]  They practice killing farmers.
[00:15:08.732 --> 00:15:12.554]  That's who they practice to have war with under the new Rural Council.
[00:15:12.835 --> 00:15:14.495]  Go look it up on the whitehouse.gov.
[00:15:14.756 --> 00:15:16.396]  Who is at the head of the Rural Council?
[00:15:16.837 --> 00:15:18.958]  The Department of Defense and Homeland Security.
[00:15:20.031 --> 00:15:21.193]  And you talk about creepy.
[00:15:21.313 --> 00:15:27.303]  I mean, deploying plainclothes military as liaisons creeping around your small town.
[00:15:27.624 --> 00:15:29.687]  Now there's a good side effect to this.
[00:15:30.882 --> 00:15:36.965]  The military is completely freaking out right now and saying Alex Jones is 100% right.
[00:15:37.186 --> 00:15:38.146]  We apologize.
[00:15:38.166 --> 00:15:39.087]  You were always right.
[00:15:39.307 --> 00:15:42.409]  They're apologizing to all the other members that told them this years ago.
[00:15:42.709 --> 00:15:44.710]  They are all getting right behind Ron Paul.
[00:15:45.050 --> 00:15:46.291]  They're all getting chills right now.
[00:15:46.431 --> 00:15:47.471]  I mean, this is treason.
[00:15:48.112 --> 00:15:50.993]  This is foreign banks that have taken over Europe and the U.S.
[00:15:51.234 --> 00:15:58.498]  In Europe, they're saying we're going to send in paramilitary tax collectors in Portugal, in Spain, in Ireland, in Greece.
[00:15:59.508 --> 00:16:08.751]  And they're saying, on top of all your other taxes, over 70% on average in Greece in taxes, we're now putting a new 20% VAT on all your restaurants and other tourism spots.
[00:16:09.892 --> 00:16:16.354]  And Europeans aren't even, I've got articles today, aren't even buying new electronics.
[00:16:16.754 --> 00:16:18.035]  They're going into a depression.
[00:16:18.235 --> 00:16:19.335]  The tourism's dying.
[00:16:20.116 --> 00:16:22.677]  And the Greeks and others are saying, we're not going to pay it.
[00:16:23.037 --> 00:16:26.218]  And so the EU says, then we're going to come and arrest you.
[00:16:27.568 --> 00:16:28.628]  They're like, we can't pay!
[00:16:28.828 --> 00:16:30.969]  And they're like, that's the plan, Jack!
[00:16:31.729 --> 00:16:43.291]  You think when California passed, this year, a 20 plus percent carbon tax on all their major industries, that they didn't know that would send California into cardiac arrest?
[00:16:44.251 --> 00:16:46.292]  This is by design!
[00:16:47.972 --> 00:16:51.113]  You think when King John and Robin Hood's time, that's a true story,
[00:16:52.227 --> 00:17:01.391]  Did you know that when he was bankrupting everybody and driving the villagers into the woods, starving to death, that he was an idiot?
[00:17:01.451 --> 00:17:02.572]  No, he wasn't an idiot!
[00:17:03.598 --> 00:17:17.854]  He was going into Saxon areas that he'd never totally broken and trying to completely drive them into revolt so he had a reason to kill them and remove the Saxon lords that he thought weren't completely loyal to him.
[00:17:18.495 --> 00:17:23.761]  It's called a scorched earth policy and I'm not gonna sit here and get off and do an entire story here.
[00:17:24.602 --> 00:17:34.792]  But they were Norman, who'd come into the South, and they were still engaged in a Cold War against Saxon, who they hadn't completely routed out of the entire, uh, Imperium.
[00:17:35.453 --> 00:17:35.973]  Or Kingdom.
[00:17:37.515 --> 00:17:38.416]  But again, I digress.
[00:17:39.895 --> 00:17:42.918]  Now here's the big news that ties into all of this.
[00:17:43.880 --> 00:17:54.071]  While the military and the police, and sadly the police, they can find the types in many cases that get off on this and buy into the propaganda, the police are who you gotta worry about.
[00:17:54.091 --> 00:17:56.053]  A lot of them are waking up too, but not like the military.
[00:17:57.775 --> 00:18:00.218]  They've been taught a disdain for the public and the rest of it, many of them.
[00:18:02.460 --> 00:18:08.582]  Our training for all-out war against the population, and that's now all over mainstream news, because they've got to get ready to let you know.
[00:18:09.283 --> 00:18:10.603]  They're not going to hide this anymore.
[00:18:10.803 --> 00:18:12.164]  They're not going to hide the world government.
[00:18:12.484 --> 00:18:16.726]  They're going to sell it, though, a private banking world government, as what's going to get food back on your table.
[00:18:16.746 --> 00:18:18.486]  Of course, it'll just make things worse.
[00:18:18.546 --> 00:18:19.086]  It's designed to.
[00:18:19.106 --> 00:18:20.487]  It's a post-industrial model.
[00:18:22.388 --> 00:18:26.729]  The deeper you get your arm into this thing, and they tell you, well, just stick your arm in a little bit deeper.
[00:18:26.749 --> 00:18:27.370]  That'll fix it.
[00:18:27.710 --> 00:18:29.070]  The more you can't get out of it.
[00:18:29.110 --> 00:18:29.790]  You understand that?
[00:18:30.071 --> 00:18:30.831]  It's called a trap.
[00:18:31.872 --> 00:18:34.673]  The globalists are in control because they don't want to make things nice.
[00:18:34.973 --> 00:18:36.113]  Because they don't play by rules.
[00:18:36.373 --> 00:18:37.794]  Because they want to wreck everything.
[00:18:38.154 --> 00:18:39.214]  So they're on top of it.
[00:18:39.975 --> 00:18:49.678]  What a big major corporate raiders do, you know, in movies, they're based on a composite of true stories like Wall Street with Charlie Sheen and Michael Douglas.
[00:18:50.058 --> 00:18:50.778]  You know, great movie.
[00:18:51.658 --> 00:18:54.599]  It's based on composites of real people.
[00:18:56.040 --> 00:18:58.621]  And in that, they go into like a $5 billion company
[00:19:00.086 --> 00:19:19.243]  And they wreck it and implode it just so they can sell off everything and get the pension funds and make a big profit right then instead of having something that lasted 20 more years and gave thousands of people jobs because the CEO wants that quick profit right then off of wrecking it and moves on to the next thing.
[00:19:19.904 --> 00:19:21.745]  They're not trying to have a healthy tree.
[00:19:22.126 --> 00:19:24.268]  They want to chop it down and use it for firewood.
[00:19:25.896 --> 00:19:30.200]  They don't want the tree to be there for shade for animals and things that live in the forest.
[00:19:30.420 --> 00:19:36.445]  They want to cut it down to throw in their siege engine to roll it down the road towards the next town they're going to burn.
[00:19:36.465 --> 00:19:38.326]  That's the model.
[00:19:39.187 --> 00:19:51.758]  Now when I come back, probably one of the biggest things we've ever reported because this confirms the military is going to man the camps and that they're preparing for war.
[00:19:51.818 --> 00:19:53.579]  The general public is designated as red
[00:19:55.120 --> 00:20:01.329]  Government, what federal family as Janet Reno Napolitano calls it, is blue.
[00:20:01.929 --> 00:20:03.091]  Just like in Afghanistan.
[00:20:03.371 --> 00:20:05.314]  Our troops are blue, Al Qaeda is red.
[00:20:06.570 --> 00:20:10.373]  HempUSA.org brings you pure camembert powder.
[00:20:10.593 --> 00:20:24.283]  This revolutionary powder contains 50 times the vitamin C of an orange, mixes with any juice or liquid, has 227 servings per container, and is made from naturally grown camembert berries, not chemically produced in a laboratory.
[00:20:24.623 --> 00:20:26.584]  Order camembert powder today.
[00:20:26.825 --> 00:20:35.491]  Call 908-691-2608 or visit HempUSA.org and see what our powder, seeds, and oil can do for you.
[00:20:35.891 --> 00:20:36.952]  Hi, this is Ted Anderson.
[00:20:37.132 --> 00:20:41.515]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:20:41.695 --> 00:20:47.399]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:20:47.499 --> 00:20:50.921]  Gold has outperformed paper investments, yet no word about IRAs.
[00:20:51.141 --> 00:20:53.743]  If you would like to have gold for your retirement, call 800-686-2237.
[00:20:53.863 --> 00:20:58.786]  Don't get left behind by rising inflation and low returns.
[00:20:58.926 --> 00:20:59.207]  Call 800-686-2237.
[00:20:59.227 --> 00:21:00.568]  Secure your future and call 1-800-686-2237.
[00:21:06.051 --> 00:21:11.053]  We all know that Berkey water purification systems are the most trusted name in water filtration.
[00:21:11.253 --> 00:21:20.398]  As an authorized Berkey dealer for over six years and serving thousands of satisfied customers, the Berkey guy offers amazing specials for Berkey water filtration systems.
[00:21:20.618 --> 00:21:34.664]  The Berkey light systems include a set of self-sterilizing and re-cleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:21:34.944 --> 00:21:42.896]  Order the Berkey Light System today, complete with two black Berkey elements for only $231, and the Berkey Guy will ship your order free of charge.
[00:21:43.076 --> 00:21:48.644]  With the purchase of a Berkey Light, the Berkey Guy is also offering a set of fluoride and arsenic filters for only $39.99.
[00:21:50.066 --> 00:21:52.209]  That's over 30% off the retail price.
[00:21:52.410 --> 00:21:53.331]  Call the Berkey guy at 1-877-886-3653.
[00:21:53.351 --> 00:21:53.551]  That's 1-877-886-3653.
[00:21:53.571 --> 00:21:54.352]  Or order online at GoBerkey.com.
[00:21:54.372 --> 00:21:55.053]  That's GoBerkey.com today!
[00:22:05.709 --> 00:22:09.751]  You don't need me to tell you that humanity is in a deep crisis.
[00:22:10.151 --> 00:22:11.371]  Everyone can feel it.
[00:22:11.652 --> 00:22:20.095]  We know a tectonic struggle is now taking place between the forces of freedom and those who love darkness, bondage, and enslavement.
[00:22:20.555 --> 00:22:23.697]  Yes, my friends, evil is rising.
[00:22:23.977 --> 00:22:24.857]  But take heart.
[00:22:24.877 --> 00:22:28.539]  For every action, there is an equal and opposite reaction.
[00:22:28.819 --> 00:22:33.801]  Recently, New World Order operative Hillary Clinton admitted they're losing the info war.
[00:22:34.221 --> 00:22:37.762]  We are in an information war, and we are losing that war.
[00:22:38.062 --> 00:22:39.502]  The globalists are scared.
[00:22:39.782 --> 00:22:40.782]  They've overreached.
[00:22:41.122 --> 00:22:44.263]  The future of the info war is in your hands.
[00:22:44.623 --> 00:22:46.623]  Join PrisonPlanet.tv.
[00:22:46.883 --> 00:22:52.864]  Download the thousands of special video reports, e-books, and more, and get them out to everyone you know.
[00:22:53.044 --> 00:22:59.785]  Continue to spread the word about the broadcast on YouTube, Facebook, Twitter, and every other globalist propaganda platform.
[00:23:00.005 --> 00:23:02.186]  We are going to use their system against them.
[00:23:02.286 --> 00:23:03.546]  The Info War now.
[00:23:06.968 --> 00:23:10.690]  That's the sound of your door being kicked in by an intruder with a single kick.
[00:23:12.010 --> 00:23:17.193]  That's the sound of the same door now protected by the Door Sentinel at MySafeDoor.com.
[00:23:17.333 --> 00:23:20.915]  Go to MySafeDoor.com right now and watch the amazing video.
[00:23:21.075 --> 00:23:25.877]  At MySafeDoor.com, you'll learn how to turn your home into a fortress with the Door Sentinel.
[00:23:26.498 --> 00:23:27.138]  16 kicks later...
[00:23:28.823 --> 00:23:31.151]  And the door sentinel is still holding strong.
[00:23:31.331 --> 00:23:32.636]  MySafeDoor.com.
[00:23:32.736 --> 00:23:34.261]  That's MySafeDoor.com.
[00:23:35.046 --> 00:23:36.127]  Hi, this is Ted Anderson.
[00:23:36.287 --> 00:23:40.670]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:23:40.850 --> 00:23:46.554]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:23:46.654 --> 00:23:50.076]  Gold has outperformed paper investments, yet no word about IRAs.
[00:23:50.296 --> 00:23:52.918]  If you would like to have gold for your retirement, call 800-686-2237.
[00:23:53.018 --> 00:23:57.941]  Don't get left behind by rising inflation and low returns.
[00:23:58.081 --> 00:23:58.362]  Call 800-686-2237.
[00:23:58.382 --> 00:23:59.723]  Secure your future and call 1-800-686-2237.
[00:24:41.961 --> 00:24:51.786]  You've got a decision to make, and quite frankly, the tyranny we face is disgusting and horrible, but this is what life's all about.
[00:24:52.487 --> 00:24:56.209]  You should, quite frankly, thank your lucky stars that you're alive today.
[00:24:56.289 --> 00:24:56.889]  I know I do.
[00:24:57.590 --> 00:25:03.413]  Because these great challenges are what make us or break us in this life that is a test.
[00:25:04.754 --> 00:25:08.136]  And we are facing even greater evil than our forebearers did.
[00:25:09.329 --> 00:25:14.993]  And we have been hit with every psychotronic brainwashing chemical system you can imagine.
[00:25:15.714 --> 00:25:22.578]  And so I want to apologize here on air that I've called people that are dumbed down and that laugh at us idiots and zombies.
[00:25:23.939 --> 00:25:32.606]  They are brainwashed victims and some of them are replicably damaged to a point of no return and we should say a prayer for them and I mean that.
[00:25:33.513 --> 00:25:42.800]  We should say a prayer for people that have been overrun by this system that the psychological warfare chiefs, the scientific dictators, have established.
[00:25:43.701 --> 00:25:51.126]  And it's up to us that have persevered through this and have been somewhat immune or more resistant.
[00:25:51.626 --> 00:26:01.694]  It is up to us, the strong, to protect the weak from these bullies that have a global scorched earth eugenics policy facing our society.
[00:26:03.476 --> 00:26:07.977]  Now, coming up in the next segment, I'm going to get to this article from C-SPAN.
[00:26:10.137 --> 00:26:20.840]  The second most cited law professor in the country, Jonathan Turley, talks about the fact that this does allow the killing of U.S.
[00:26:20.900 --> 00:26:22.540]  citizens, secret torture and arrest.
[00:26:22.580 --> 00:26:23.660]  That's actually what's in the bill.
