[00:00:22.591 --> 00:00:26.354]  Welcome, ladies and gentlemen, to another edition of InfoWars Nightly News.
[00:03:43.033 --> 00:03:54.044]  The solar wind, you get things like the magnetosphere and the magnetotail, which comes back behind sort of the way the downwind of the planet, if you will, from the sun itself.
[00:03:54.624 --> 00:04:05.695]  In any case, this dynamic of the Earth's motion, solar radiation, the interplay of all the various factors of the planet are looked at in separate
[00:04:06.235 --> 00:04:09.818]  Independent individual science, not really looked at an integrated science.
[00:04:09.838 --> 00:04:13.921]  How do all those systems work together and what do they create in outcomes?
[00:04:14.421 --> 00:04:21.886]  But as we look at HAARP, the primary idea is to affect the Cyanosphere and then affect these magnetic field lines.
[00:04:21.966 --> 00:04:30.152]  And ideally, you want to affect those magnetic field lines at the closest place to which they intersect the planet, which happens to be at the poles.
[00:04:30.593 --> 00:04:35.016]  And in the case of where Alaska sits on a map, very near
[00:04:35.456 --> 00:04:35.977]  We're good to go.
[00:04:48.732 --> 00:04:56.761]  We're going to be talking about an area above the Earth's surface, about 30 miles above the Earth's surface, moving out several hundred miles beyond that, the ionosphere.
[00:04:57.582 --> 00:04:59.124]  It's a highly charged area.
[00:04:59.825 --> 00:05:06.132]  It filters out cosmic radiation, various particle streams, that without it would make life impossible on the planet.
[00:05:06.653 --> 00:05:22.979]  Now, one of the ideas behind HAARP, which is an array or field of antennae here in Alaska, 180 antennae in the array today, it fires or concentrates, focuses radio frequency energy that it literally sends up
[00:05:23.479 --> 00:05:39.352]  into a relatively narrow beam affecting the magnetic field lines in one instance where the energy is normally naturally flowing from the South Pole coming up arching high above the equator then coming back into the North Pole with the energy flowing from South to North.
[00:05:39.773 --> 00:05:49.381]  What happens is those magnetic field lines act as wave guides so you can pump energy out of HAARP focus it on those magnetic field lines and then it
[00:05:49.961 --> 00:05:59.949]  Screws itself, if you were to be able to see it, would look like a corkscrewing motion where the energy is actually moving now from north to south using the magnetic field lines as a waveguide.
[00:06:00.309 --> 00:06:03.232]  Now what would that do, essentially?
[00:06:03.932 --> 00:06:09.757]  If you had, for instance, an intercontinental ballistic missile that gets fired from China to the U.S.
[00:06:10.017 --> 00:06:15.701]  and it traverses those magnetic field lines with those charged particles racing along them,
[00:06:16.762 --> 00:06:34.273]  Using them as waveguides that would create a virtual shield around the planet so any of those incoming objects, intercontinental ballistic missiles, any satellites that happen to reverse those areas or any other electronically sensitive equipment would be destroyed almost instantly.
[00:06:34.733 --> 00:06:40.015]  And so when you think about HAARP, there's a couple of ways to look at it.
[00:06:40.175 --> 00:06:45.616]  One is manipulation of those field lines, those magnetic field lines, which actually have been mapped.
[00:06:45.656 --> 00:06:56.760]  And if you look at some of the ways those are mapped is barium particles are injected into the upper atmosphere and lower ionosphere using barium laden rockets.
[00:06:56.820 --> 00:07:03.102]  What those create when you inject radio frequency energy is air glow, where you get this sort of light up effect.
[00:07:03.542 --> 00:07:10.987]  So you can actually see this corkscrewing motion around those magnetic field lines and serving as waveguides.
[00:07:11.007 --> 00:07:15.630]  In fact, they did that test a number of years ago in Alaska.
[00:07:16.071 --> 00:07:25.117]  And they do these from time to time just more or less to illustrate what they think theoretically should happen is actually happening in place and at the time of the experiments.
[00:07:26.858 --> 00:07:32.683]  Harp as an array of antenna can be focused and concentrated.
[00:07:32.703 --> 00:07:37.868]  You've got to think about this in a much different way than normally how radio frequency energy behaves.
[00:07:37.948 --> 00:07:50.219]  If you think about a radio broadcast antenna, a broadcasting radio frequency energy, that energy dissipates or spreads out very rapidly from the point of broadcast, the antenna,
[00:07:50.919 --> 00:08:02.570]  out into the atmosphere, and the further away you get, the less dense, the less concentrated is that radio frequency energy, which is why radio stations eventually fade out over distance.
[00:08:03.131 --> 00:08:15.323]  On the other hand, what HAARP does is by firing this array or field of antennas, you imagine firing them in such a way as to create kind of a corkscrewing motion, a cyclotron resonance is what it's called,
[00:08:15.643 --> 00:08:20.885]  When you think about HAARP, think about it as a mechanism on the ground that's designed to interact directly or plug into those magnetic field lines.
[00:08:38.110 --> 00:08:38.350]  I think?
[00:08:55.387 --> 00:08:57.928]  Because the big energy is contained in the natural environment.
[00:08:57.948 --> 00:09:09.452]  The idea is, if we understand enough about how these mechanisms work, then we can trigger various cascading effects where it sort of builds on the energy that's naturally in place.
[00:09:09.812 --> 00:09:19.855]  And so, when you think about HAARP, not just in the effect of magnetic field lines, but another opportunity to manipulate energetic systems within the Earth has to do with the ionosphere itself.
[00:09:19.935 --> 00:09:23.817]  And imagine that ionosphere is a bubble around the Earth,
[00:09:24.697 --> 00:09:25.897]  Several hundred miles thick.
[00:09:26.297 --> 00:09:28.898]  Again, starting about 30 miles off the Earth's surface.
[00:09:29.338 --> 00:09:31.739]  Now, that's a highly charged area.
[00:09:31.899 --> 00:09:33.559]  Tremendous amount of energy potential there.
[00:09:33.579 --> 00:09:43.202]  In fact, some will remember a number of years ago, there was a shuttle experiment with a drug, a tether, a dangling wire through the ionosphere to see what would happen.
[00:09:43.622 --> 00:09:54.265]  And energy was picked up as it moved because when you move something, a conductor through an electric field that's as charged as the ionosphere, it actually begins to move current.
[00:09:54.606 --> 00:09:55.108]  Which it did.
[00:09:55.148 --> 00:09:58.764]  It shunted that current straight into the shuttle and the animals blew it out of the sky.
[00:10:00.836 --> 00:10:13.042]  The thing that came out of that that didn't get widely talked about was the amount of energy produced could be useful, for instance, for keeping a low-orbiting space platform in orbit around the planet.
[00:10:13.122 --> 00:10:28.710]  Being able to charge it up by just tapping the energy by the fact that it's orbiting the planet and moving through the ionosphere would be one way to charge up these kinds of space-based platforms, whether they were for weapon systems or running low-orbiting satellites.
[00:10:28.750 --> 00:10:29.911]  But basically moving
[00:10:31.352 --> 00:10:45.905]  Energy into space in normal like shuttle payloads is prohibitively expensive, very difficult to pull off to any great degree, but if you could create an energy source sufficient to run these kinds of systems,
[00:10:46.805 --> 00:10:52.630]  Then you eliminate all kinds of logistical problems, and you're able to keep these things aloft for great deals of time.
[00:10:53.091 --> 00:11:04.281]  Part of the HAARP idea was, if you could focus radio frequency energy, you could even concentrate it and send energy directly to the same kind of low-orbiting space platforms, as an example.
[00:11:05.041 --> 00:11:09.943]  One of the other thoughts with HAARP systems are the actual heating of the ionosphere.
[00:11:10.383 --> 00:11:18.425]  And when it's heated, because this energy is concentrated, what happens is the ionosphere then lifts up, moves out several hundred kilometers.
[00:11:18.765 --> 00:11:26.528]  Now imagine if you're a satellite drifting through space where there's no atmosphere, and all of a sudden you hit a column of atmosphere.
[00:11:27.408 --> 00:11:34.130]  What will happen is it creates friction and that friction causes that satellite to burn up and all of a sudden you've got a satellite down.
[00:11:34.170 --> 00:11:45.914]  When you turn the instrument off, everything goes back to normal and you have plausible deniability on a satellite going down because nobody knows this kind of technology generally exists.
[00:11:46.334 --> 00:11:53.416]  Now the other place you can use it in that same application, imagine that column going out several hundred miles into space.
[00:11:54.416 --> 00:11:56.877]  From its normal atmospheric level way down here.
[00:11:57.038 --> 00:12:01.340]  Now you've got an incoming comet or asteroid coming in from outer space.
[00:12:01.580 --> 00:12:02.701]  Tremendous velocity.
[00:12:02.741 --> 00:12:08.083]  Now normally those objects, when they hit our atmosphere, they again encounter tremendous friction.
[00:12:08.484 --> 00:12:12.726]  They burn up and most objects just dissipate before they ever hit the surface.
[00:12:13.854 --> 00:12:34.378]  But big objects, the kinds of objects people are worried about, if you could, say, go from 30 miles of atmosphere to 200 miles of atmosphere, almost seven times as much distance, and project a trajectory downward, what you're able to do in that instance is literally allow those larger objects to burn up
[00:12:34.978 --> 00:12:36.499]  Way before they hit the Earth.
[00:12:36.559 --> 00:12:54.293]  In fact, the Strategic Studies Institute in London in reviewing Soviet research on this very same technology was suggesting that it could be used for an anti, not an anti-satellite technology so much as an anti-asteroid or comet based technology.
[00:12:55.134 --> 00:12:57.875]  But all of those things also create a side effect.
[00:12:57.895 --> 00:13:08.040]  When you move that much atmosphere up into space, and it's about 30 miles diameter, these columns, so imagine 30 miles in diameter and a couple hundred miles up.
[00:13:08.481 --> 00:13:18.886]  Well, below that are pressure systems, high pressure, low pressure systems, and jet streams, all of which can be altered by the manipulation of the ionosphere in this way.
[00:13:19.346 --> 00:13:28.934]  And that then creates downstream weather effects that cannot be modeled, that cannot accurately be predicted, and therein lies huge problems.
[00:13:28.974 --> 00:13:41.304]  When you start to manipulate by technology applications to create one effect, you might inadvertently create a number of other effects, as is the case with HAARP.
[00:13:42.403 --> 00:13:53.133]  Looking at sort of where are these facilities, you know here in Alaska we have one at Gokanna which is about 250 miles northeast of Anchorage.
[00:13:53.674 --> 00:13:59.199]  Then going across Canada there's a number of these facilities that are controlled by the Canadian government.
[00:13:59.239 --> 00:14:01.201]  Rosalie Bertel has reported on those.
[00:14:02.562 --> 00:14:04.143]  Then there is one that sits
[00:14:06.065 --> 00:14:15.011]  Right up here in Northern Norway, and this is run by the Max Planck Institute, and then there are five old transmitters in the former Soviet Union.
[00:14:15.071 --> 00:14:17.853]  Literally, when you look, they go around the globe.
[00:14:18.754 --> 00:14:26.999]  These can be used in conjunction with each other, triangulating to hit the same point, creating unique and different resonance effects, and creating even more power.
[00:14:27.560 --> 00:14:30.602]  Flipping the planet upside down in Antarctica,
[00:14:31.062 --> 00:14:49.905]  China put in a facility a couple years ago to begin working in this technology and then Aerocebo Puerto Rico in the southeastern off the coast in the southeastern United States also has a facility that's been retrofitted to essentially do the same thing as HAARP.
[00:14:58.419 --> 00:15:04.921]  Ionosphere heaters, which are what these were previously called, actually originated in the former Soviet Union.
[00:15:05.341 --> 00:15:12.623]  People remember them from the 1970s when they created what was called the Woodpecker signal, and it was exactly as it sounded.
[00:15:13.383 --> 00:15:17.344]  It was this weird static that was rhythmic and coherent, man-made.
[00:15:18.224 --> 00:15:29.811]  Ham operators picked it up all over the world, and because they could triangulate where it was coming from, they isolated the location of these five transmitters in Russia, or the former Soviet Union.
[00:15:30.331 --> 00:15:41.798]  And those transmitters were associated with health effects in Oregon, power failures in central Canada, and a number of other anomalous phenomena in the 1970s.
[00:15:42.798 --> 00:15:44.900]  And those were the predecessors of HAARP.
[00:15:46.843 --> 00:15:49.165]  It's the very same technology with a modern twist.
[00:15:49.205 --> 00:15:55.870]  The old transmitters would take 15 minutes to reset the frequency because you had to readjust all these antenna.
[00:15:56.570 --> 00:16:01.334]  Now, with HAARP, it's done in milliseconds by adjusting the software.
[00:16:01.934 --> 00:16:03.856]  So very efficient.
[00:16:03.896 --> 00:16:05.036]  You can change things.
[00:16:05.056 --> 00:16:06.858]  You can cause them to do different things.
[00:16:06.918 --> 00:16:09.200]  It's not a big project in terms of reset.
[00:16:09.700 --> 00:16:11.301]  And it's a small expenditure.
[00:16:11.341 --> 00:16:18.447]  I mean, HAARP, they've spent $100 million on, which in military terms is like cab fare.
[00:16:18.647 --> 00:16:20.388]  It's not even cab fare.
[00:16:20.828 --> 00:16:27.774]  It's the snowflake in the pile of snow out front that we walk through in the course of all this.
[00:16:28.919 --> 00:16:37.647]  But when you look at the impact of each of these technologies that we've touched on today, it's not the same game anymore.
[00:16:37.748 --> 00:16:45.355]  These are earth-shaking technologies, the very technologies that will either transform or enslave.
[00:16:55.760 --> 00:17:07.210]  Most science, at least in the U.S., is developed, most of the high science anyway, is developed through military research labs, military contracts, and some contracts to the National Science Foundation.
[00:17:07.250 --> 00:17:21.843]  But all of the military work, and much of the work done by the National Science Foundation and others, represent compartmentalization, separation of the sciences in small bits and pieces, so basically one side doesn't know what the other is doing.
[00:17:22.404 --> 00:17:23.144]  In fact, the first
[00:17:24.005 --> 00:17:44.929]  The first paper I ever presented at 19 was on the contrasting sort of our approach of compartmentalization in our approach to science, and the Russian approach, the Soviet approach at that time, which was to use generalists, take people from all disciplines, integrate them into the same room, so that you could develop the higher ordered thinking.
[00:17:45.029 --> 00:17:49.370]  Because then you brought all of these various disciplines, even when they didn't seem to fit,
[00:17:49.870 --> 00:17:56.195]  You brought them together and they tended to feed off of each other in a way that built better and more comprehensive science.
[00:17:56.255 --> 00:18:08.843]  In fact, as it relates to electromagnetic exposures, the science developed in the Soviet Union said, and they set the regulations, not that they enforced them, but they at least had them on the books, they were a thousand times more stringent than the U.S.
[00:18:08.883 --> 00:18:12.106]  standards in the same areas because of that integrated approach.
[00:18:12.546 --> 00:18:16.129]  When you look at the productive capacity of the USSR during the Cold War,
[00:18:16.789 --> 00:18:19.492]  They couldn't produce their way, you know, into an outhouse.
[00:18:20.173 --> 00:18:20.854]  It was a mess.
[00:18:21.434 --> 00:18:23.617]  But what they could do is compete on science.
[00:18:23.657 --> 00:18:31.586]  And the way they competed on science with us, and were able to not only excel in some areas, surpass us in others, and stay up with us in most,
[00:18:32.307 --> 00:18:35.109]  Was by integrated science, as opposed to compartmentalization.
[00:18:35.489 --> 00:18:39.131]  It's cheaper, it's more efficient, and it yields usually better results.
[00:18:39.591 --> 00:18:40.132]  On the U.S.
[00:18:40.172 --> 00:18:41.452]  side, we do the opposite.
[00:18:41.492 --> 00:18:49.717]  We continue that model of compartmentalization to the detriment of really good science, and at a huge, huge economic cost.
[00:18:50.678 --> 00:18:58.102]  The duplication within that system, the cost of man hours within that system, and the waste that's created in that system.
[00:18:58.302 --> 00:19:01.624]  Now what does that all mean in the broader context of
[00:19:02.224 --> 00:19:05.606]  You know, the U.S.
[00:19:05.966 --> 00:19:11.428]  spends in the regular defense budget somewhere around $700 billion a year, which is a big number.
[00:19:12.389 --> 00:19:14.810]  You know, we've got a couple of wars going on on top of that.
[00:19:15.310 --> 00:19:19.972]  The Chinese spend about $70-80 billion is what our intelligence tells us.
[00:19:20.272 --> 00:19:21.833]  At least that's what's publicly released.
[00:19:22.313 --> 00:19:31.444]  When you run inefficient science, and the Chinese don't run inefficient science, they steal everything they can that's already been developed and then take it from there.
[00:19:31.984 --> 00:19:34.447]  And they do it at rice bowl wages.
[00:19:34.687 --> 00:19:38.292]  You know, they're not paying top flight scientists quarter million, half a million a year.
[00:19:38.852 --> 00:19:43.894]  and salary and benefits and they're not paying Davis-Bacon wage rates to build ships.
[00:19:44.854 --> 00:19:58.519]  They're building them for a bowl of rice and what you get in China for 70 billion is what you get in the US for probably far in excess of what we actually spend because you can't measure it in dollars or currencies.
[00:19:58.879 --> 00:20:07.582]  You have to measure it in productive output and what the Chinese are doing with their productive output is making sure that they can move millions
[00:20:08.502 --> 00:20:08.922]  I think?
[00:20:28.629 --> 00:20:28.789]  I don't
[00:20:43.982 --> 00:20:47.644]  Cold liquids plant every 18 months from start to finish.
[00:20:48.005 --> 00:20:57.051]  They have so many planned online, their objective is to be free of the West in terms of contributions to basic natural resources.
[00:20:57.171 --> 00:21:01.954]  What are they doing with all the trillions of US debt that they're collecting?
[00:21:02.234 --> 00:21:04.756]  What are they doing with all the dollars that they're collecting?
[00:21:05.560 --> 00:21:06.741]  They're going around the world.
[00:21:07.241 --> 00:21:18.108]  They're outbidding Western companies by outbidding us on mining opportunities, the venture capital opportunities, the rare earths and mineral opportunities, and all those plays all over the world.
[00:21:18.148 --> 00:21:19.809]  They're outbidding everyone.
[00:21:20.149 --> 00:21:21.169]  And why are they doing it?
[00:21:21.530 --> 00:21:23.691]  Why would you want to hold a bunch of U.S.
[00:21:23.771 --> 00:21:26.613]  paper right now that you know is going to be dropping in value?
[00:21:27.133 --> 00:21:28.814]  You're better off buying the commodities.
[00:21:28.834 --> 00:21:39.480]  You know, when the market fell apart and copper hit $1.30, $1.30 a pound, which was the lowest it had been in years, the Chinese bought more then than they ever bought in their history.
[00:21:39.840 --> 00:21:46.684]  And they bought it all the way up until it blew through the old record price by 10% while the economy is still in the toilet in the U.S.
[00:21:46.745 --> 00:21:47.125]  and Europe.
[00:21:47.705 --> 00:21:50.047]  And commodity prices are breaking through the roof.
[00:21:50.427 --> 00:21:54.510]  And all those investments those Chinese made with all those cheap U.S.
[00:21:54.550 --> 00:21:56.351]  dollars, well they still had a little bit of value.
[00:21:56.772 --> 00:22:02.055]  And we all thought they were nuts for paying 10, 20 percent more than the market said those assets were worth.
[00:22:02.896 --> 00:22:03.837]  What a deal they made!
[00:22:04.682 --> 00:22:07.664]  on all those commodities, not just what was already finished.
[00:22:07.684 --> 00:22:09.306]  What does it mean just copper alone?
[00:22:09.346 --> 00:22:17.172]  There's eight days worth of copper in warehouses in the world to fulfill eight days worth of global demand right now, today.
[00:22:17.652 --> 00:22:21.395]  That's how underproducing we are in that specific commodity.
[00:22:21.856 --> 00:22:27.220]  Zinc, Nickel are in similar situations where there's very limited supplies on hand.
[00:22:27.720 --> 00:22:31.163]  Rare Earths is even worse and all of those are controlled by China.
[00:22:31.703 --> 00:22:33.144]  When you start to think about
[00:22:34.005 --> 00:22:41.969]  Earth-penetrating tomography as a technology for locating underground mineral resources as an example, oil and gas resources.
[00:22:42.489 --> 00:22:53.594]  Some of that technology was tested and it was tested in over 20 states on a number of wells that were drilled by Halliburton back in the 80s and into the 90s.
[00:22:53.994 --> 00:22:58.496]  And what they looked at was using a very simple method of earth-penetrating tomography.
[00:22:58.836 --> 00:22:59.717]  They were able to look
[00:23:00.357 --> 00:23:16.456]  And with absolute 99.9% accuracy, grade and quantity and quality of oil and gas layers through the earth, matching up perfectly against actual drill logs from when they physically drilled those wells.
[00:23:17.137 --> 00:23:18.577]  Using this type of technology.
[00:23:18.637 --> 00:23:27.920]  Now imagine and remember what we were talking about earlier about the public owns energy resources in most instances in Alaska, in all instances are publicly owned.
[00:23:28.440 --> 00:23:43.904]  But if you could with certainty image the underground geologic structures and know exactly where oil and gas is, now you no longer have risk associated with the drilling activity, which is why everyone says, you know, we ought not to be in the energy business.
[00:23:44.424 --> 00:23:52.950]  But when you can define where those deposits are, then you can maximize or optimize what you get on the lease, because now everyone has good information.
[00:23:52.991 --> 00:23:55.172]  People want to bid on that lease competitively.
[00:23:55.192 --> 00:23:59.055]  You're going to optimize the public's return on those resources.
[00:23:59.515 --> 00:24:10.864]  So using our technology for doing some things maybe makes a lot of sense, but there's lots of ways to do earth-penetrating tomography and identify those mineral resources and oil and gas resources.
[00:24:11.265 --> 00:24:14.878]  Harp is one of those technologies that perhaps we could use in this way.
[00:24:23.137 --> 00:24:30.121]  When Skylab launched the first time, we realized that, back in the 70s, we realized that it created a hole in the ozone layer.
[00:24:30.722 --> 00:24:36.365]  And everybody watched it, you know, and they said, oh, after a few hours it all filled in and everything went back to normal.
[00:24:36.866 --> 00:24:38.046]  But think about this now.
[00:24:38.206 --> 00:24:39.547]  I mean, think about it as a practical matter.
[00:24:39.587 --> 00:24:46.612]  The Earth is turning, you make a hole, everything's moving, eventually it gets filled in, or it appears to get filled in.
[00:24:47.192 --> 00:24:48.373]  Maybe it did, maybe it didn't.
[00:24:49.053 --> 00:24:57.360]  Think about if I dip a cup of water out of a pond, and all the water levels back out.
[00:24:57.600 --> 00:24:58.541]  Did it fill back up?
[00:24:58.581 --> 00:25:02.904]  Well, if I keep dipping those cups of water out of that pond, eventually there is no pond.
[00:25:04.346 --> 00:25:07.188]  But it sure looks flat and level with just a couple dipped out.
[00:25:07.688 --> 00:25:09.049]  So what was it?
[00:25:09.089 --> 00:25:11.511]  Skylab creates an ozone hole.
[00:25:12.392 --> 00:25:16.294]  How many billions of cans of aerosol would have had to get up there?
[00:25:16.774 --> 00:25:18.836]  And it didn't start down here, you know.
[00:25:19.256 --> 00:25:28.241]  It started up there, where you actually delivered particulate material to the place that you're trying to affect and created a chemical reaction.
[00:25:28.261 --> 00:25:36.145]  3,000 satellite and rocket launches, over 3,000 worldwide, did more for the ozone depletion on the planet, I assure you.
[00:25:36.545 --> 00:25:39.587]  than all the air spray that everybody ever discharged.
[00:25:40.267 --> 00:25:42.289]  And again, nobody takes any responsibility.
[00:25:42.369 --> 00:25:48.092]  Blame it on the guy with the aerosol can, while governments stand back and go, we didn't do anything here.
[00:25:49.133 --> 00:25:51.314]  This is the problem, and the arrogance of it all.
[00:25:51.414 --> 00:25:57.878]  And often it's the case where the other guy is blamed for something that our own government has done.
[00:25:57.938 --> 00:26:04.042]  In fact, if you look at environmental issues generally, virtually all the Superfund sites, 90% of them,
[00:26:05.583 --> 00:26:06.063]  We're good to go.
[00:26:27.099 --> 00:26:29.320]  How to dial it up a little more efficiently.
[00:26:29.621 --> 00:26:36.745]  How to control those outcomes with a more precision and a more higher resolution as our science advances.
[00:26:44.773 --> 00:26:54.876]  We've written the book, Controlling the Human Mind, and we wrote and produced the video, Mind Control, which Alex has carried for years.
[00:26:55.897 --> 00:26:58.057]  And I always consider that the most important work.
[00:26:58.678 --> 00:27:03.399]  Even when you associate some of the mind effects things with harp, they're big and they're important.
[00:27:04.059 --> 00:27:10.802]  But as we got more into that subject, it became, for me, the most compelling and important work that we've published.
[00:27:12.122 --> 00:27:29.189]  Because the idea of interfering with human consciousness, this idea of being able to interfere with free will, if you will, something that even God will not do in most religious traditions, interfere with free will, is now within the capability of man.
[00:27:30.160 --> 00:27:31.061]  Should man do it?
[00:27:31.241 --> 00:27:32.503]  I say absolutely not.
[00:27:32.783 --> 00:27:48.759]  Again, thinking about personal liberty and personal freedom, the basic premise of the First Amendment of the Constitution, the right of free speech, the right of assembly, the right of free expression of religion, all of those presuppose a fundamental right, the freedom to think.
[00:27:49.932 --> 00:27:53.414]  That's the First Amendment, because it presupposes all of that.
[00:27:53.774 --> 00:27:57.576]  Without the freedom to think, none of the other liberties matter at all.
[00:27:58.736 --> 00:28:00.457]  And this is the century that we're in.
[00:28:00.877 --> 00:28:04.719]  The CIA, actually the work in this goes before the CIA.
[00:28:04.759 --> 00:28:12.723]  You go back to the work at Harvard, work being done at the hypnotherapy labs at Harvard in the 1920s by a guy named Estabrook.
[00:28:13.303 --> 00:28:19.886]  And Esterbrook had this idea that you could create what we would call today the Manchurian Candidate.
[00:28:19.906 --> 00:28:29.089]  You know, some super spy that would be pre-programmed to do destruction or gather intelligence and if captured would have absolutely no knowledge of any of it.
[00:28:29.850 --> 00:28:31.891]  Well, he started this work in the 20s.
[00:28:32.491 --> 00:28:34.932]  By the 1930s his work was classified.
[00:28:35.885 --> 00:28:42.530]  By the 1960s, the material he had published, he acknowledged that he created these super spies.
[00:28:42.930 --> 00:28:49.675]  That he spent nine to ten months, and one out of five people were subject to this level of programming.
[00:28:50.155 --> 00:28:59.542]  Where he would subject them to nine to ten months of programming, where he literally split the personality into two separate human beings within the same body.
[00:29:00.202 --> 00:29:07.744]  Programming one to be the super spy, where they could function in another country without detection, and if captured would have no memory of their true self.
[00:29:08.224 --> 00:29:17.626]  And yet when they return to the United States, this altered consciousness could be re-triggered to remember everything they collected in the foreign country and their true self.
[00:29:18.206 --> 00:29:21.927]  The problem is, you can't put Humpty Dumpty back together again.
[00:29:22.047 --> 00:29:27.408]  Once you fracture a human being in this way, you've effectively destroyed them forever.
[00:29:27.849 --> 00:29:29.509]  He believed this was a good idea.
[00:29:29.969 --> 00:29:44.961]  And he advanced this technology in the same material that he published advancing the idea that using LSD to alter people's consciousness for mind control experiments was legitimized and reasonable and a good thing.
[00:29:45.361 --> 00:29:47.283]  That's what he wrote in his published work.
[00:29:47.563 --> 00:29:58.712]  At the same time, the Central Intelligence Agency later was revealed to be experimenting with LSD on 8,000 men and women in the armed services alone, not to mention the civilian sector.
[00:29:59.412 --> 00:30:06.956]  This came out in a congressional report that was on activities within the CIA right after Watergate.
[00:30:07.016 --> 00:30:08.117]  Remember Watergate?
[00:30:08.177 --> 00:30:14.721]  There's ex-CIA operatives breaking into this building for the bag men of the Nixon administration.
[00:30:14.741 --> 00:30:18.883]  Well, there are no ex-CIA guys, number one, unless they're dead.
[00:30:19.323 --> 00:30:23.166]  And number two, the fact is when they got caught,
[00:30:23.826 --> 00:30:28.109]  What they got caught doing were mind control experiments.
[00:30:28.169 --> 00:30:38.837]  The church committees and the Congress actually heard the testimony as the CIA busied themselves shredding the documents because they acknowledged over 140 programs under MK Alternate sub-programs.
[00:30:41.639 --> 00:31:04.038]  That were directly involved in the manipulation of human behavior using chemical means and electromagnetic means and one of the organizations they worked through at the time was the Mankind Research Association operated out of Bethesda, Maryland which was a front for Navy intelligence organizations and the Central Intelligence Organization developing
[00:31:04.839 --> 00:31:09.223]  Mind control technologies and an understanding of what those would be about.
[00:31:09.343 --> 00:31:16.429]  More than a Manchurian candidate, manipulating people over huge geographic areas for very specific outcomes.
[00:31:16.990 --> 00:31:26.298]  At the same time, they were engaged in a great deal of research on what they called paraphysics, or parapsychology, or ESP in those days.
[00:31:27.185 --> 00:31:37.289]  A number of those reports prepared as far as our analysis of Eastern Europe that were eventually released under the Freedom of Information Act are posted on our website.
[00:31:37.349 --> 00:31:43.392]  You can go and look there and you'll see hundreds of pages of these declassified documents that are heavily redacted.
[00:31:43.432 --> 00:31:47.293]  I mean, a lot's blacked out, but you get a general sense of what we were doing.
[00:31:47.333 --> 00:31:48.914]  And here's what they discovered.
[00:31:49.913 --> 00:31:57.741]  And it's not in the published work, it's not in the other videos, it's not in that material, but here's the conclusions after all of it.
[00:31:58.062 --> 00:32:06.310]  And I met the Northwest Field Director, got to know him real well over the years, of the Mankind Research Association, the kind of stuff they were doing back in the 70s.
