[00:00:06.190 --> 00:00:12.232]  Yes, my friends, you've got the right radio broadcast.
[00:04:18.391 --> 00:04:32.376]  And if we make it through this hurdle, our species has got an incredible chance to go to the next level and live the things that God talks about in the Bible about the eye has not seen, the ear has not heard, the things God has in store for us.
[00:04:32.376 --> 00:04:35.418]  So on this special Christmas transmission,
[00:04:36.331 --> 00:04:39.774]  December 25th, 2011.
[00:04:39.774 --> 00:04:48.801]  I thank you for joining us and I thank you for being part of our family as we battle for human liberty, as we struggle against tyranny.
[00:04:48.801 --> 00:04:50.782]  The Spirit of 1776 versus the Mindset of 1984.
[00:04:50.782 --> 00:04:51.923]  Stay with us.
[00:05:00.714 --> 00:05:02.436]  Hi folks, this is Alex Jones.
[00:05:02.436 --> 00:05:07.742]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:05:07.742 --> 00:05:09.284]  Saving means to make money.
[00:05:09.284 --> 00:05:18.054]  The Calbin Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:05:18.795 --> 00:05:26.339]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:05:26.339 --> 00:05:34.343]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:05:34.343 --> 00:05:39.566]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:05:39.566 --> 00:05:41.727]  Getting a free catalog is easy by calling 800-340-7091.
[00:05:44.508 --> 00:05:47.713]  Or see Calvin on the web at FiveStarSoap.com.
[00:05:47.713 --> 00:05:49.957]  Take charge of your health now by calling 800-340-7091.
[00:05:49.957 --> 00:05:52.221]  Or see Calvin on the web at FiveStarSoap.com.
[00:06:07.450 --> 00:06:08.591]  We're good to go.
[00:06:42.059 --> 00:06:44.822]  We have not preempted this radio transmission.
[00:06:44.822 --> 00:06:59.535]  It's a special Christmas edition of InfoWars.
[00:06:59.535 --> 00:07:05.841]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:07:12.746 --> 00:07:15.848]  50,000 unstoppable watts.
[00:07:15.848 --> 00:07:17.830]  I don't know, we're on over 100 AM at FM station.
[00:07:17.830 --> 00:07:22.453]  That's a lot more than 50,000 unstoppable watts.
[00:07:22.453 --> 00:07:23.353]  We are here.
[00:07:23.353 --> 00:07:26.255]  It is Christmas Day.
[00:07:26.255 --> 00:07:31.479]  Our republic is in great peril, but for every action there is an equal and opposite reaction.
[00:07:31.479 --> 00:07:37.082]  As tyranny rises, liberty rises to meet it, and we are here at a historic crossroads.
[00:07:37.082 --> 00:07:37.443]  It is
[00:07:38.615 --> 00:07:42.838]  Christmas Day, 2011.
[00:07:42.838 --> 00:07:44.579]  Thank you for joining us.
[00:07:44.579 --> 00:08:02.010]  Coming up in the next few segments, historian and economist Webster Griffin Tarpley is joining us to look at the expanding euro implosion and devaluation of their currency, how that is affecting the dollar, the larger finance capital strategy to bring in world government.
[00:08:02.010 --> 00:08:04.291]  Webster Tarpley, coming up.
[00:08:04.291 --> 00:08:06.893]  And then we have a surprise economics
[00:08:07.233 --> 00:08:09.254]  So we are here with this premiere, not encore,
[00:08:34.229 --> 00:08:37.292]  Premier transmission Christmas Day 2011.
[00:08:37.292 --> 00:08:40.155]  And certainly, man, time just speeds up faster and faster.
[00:08:40.155 --> 00:08:47.783]  I remember sitting at my grandparents' knee or out fishing with grandpa or whatever and he talked about how fast life speeds up.
[00:08:48.849 --> 00:08:50.431]  It certainly does.
[00:08:50.431 --> 00:08:56.076]  It seems like just a few minutes ago that I started out almost 17 years ago on talk radio.
[00:08:56.076 --> 00:08:57.037]  And here we are.
[00:08:57.037 --> 00:09:06.827]  It seemed like just yesterday that I learned about the New World Order and a plan to set up a global banking dictatorship through Ponzi schemes and derivatives.
[00:09:06.827 --> 00:09:07.568]  And here we are.
[00:09:07.568 --> 00:09:08.228]  It's all happening.
[00:09:09.689 --> 00:09:16.612]  And 2011, I just got used to saying 2011 a few months ago, and I gotta get used to saying 2012!
[00:09:16.612 --> 00:09:19.933]  Coming up here in just five, six days from now.
[00:09:19.933 --> 00:09:35.280]  And you know, I know that a lot of people would never do a show on Christmas Day, or wouldn't take the time out to record a show for Christmas Day, but I know there's a lot of people out there on Christmas who
[00:09:36.806 --> 00:09:40.529]  Well, are concerned about what's happening to our country.
[00:09:40.529 --> 00:09:46.854]  I know I certainly am, and it's going to take a lot of effort, including an extra effort, to awaken the public.
[00:09:46.854 --> 00:09:54.759]  The public's willing to hear the truth now because things have gotten so crazy, but they've got to learn the full truth, the whole truth and nothing but the truth.
[00:09:54.759 --> 00:10:00.444]  And, you know, as for me, I want to know the real truth, no matter how horrible, so I can make preparation for it.
[00:10:00.444 --> 00:10:01.444]  As Patrick Henry said,
[00:10:02.145 --> 00:10:04.247]  Kind of butchered his full quote, but you can look it up.
[00:10:04.247 --> 00:10:06.588]  It's very eloquent prose.
[00:10:06.588 --> 00:10:12.793]  If you give me liberty or give me death speech, the war has already begun.
[00:10:12.793 --> 00:10:15.315]  Why sit we here idle?
[00:10:15.315 --> 00:10:25.003]  Okay, before we go to Tarpley here, we broke a big news story because the Department of Defense whistleblower contacted us
[00:10:27.200 --> 00:10:33.587]  And said, hey, you need to go to the official Pentagon and Homeland Security websites.
[00:10:33.587 --> 00:10:36.831]  They've got the sections where they put out bits.
[00:10:36.831 --> 00:10:38.492]  And this is this is open source.
[00:10:38.492 --> 00:10:42.857]  This is not classified, though it is listed sensitive.
[00:10:42.857 --> 00:10:46.121]  And you're worried about FEMA camps, concentration camps.
[00:10:46.809 --> 00:11:03.723]  You've got congressional hearings, Alex, where they admit they've done this, and legislation to expand it, and urban warfare drills, and all these politicians on CNN calling for army on the streets to stop crime, and the National Defense Authorization Act, where the government claims they have the right to arrest citizens and even kill citizens.
[00:11:03.723 --> 00:11:05.244]  In fact, you have that Jonathan Turley clip ready?
[00:11:05.985 --> 00:11:07.846]  Let's go ahead and play that.
[00:11:07.846 --> 00:11:11.008]  Well, then he sent me the link.
[00:11:11.008 --> 00:11:11.788]  He and his wife did.
[00:11:11.788 --> 00:11:13.049]  Then I had him on the show.
[00:11:13.049 --> 00:11:14.009]  He went ahead and went public.
[00:11:14.009 --> 00:11:16.491]  He said, these are, his name's Joe Joseph.
[00:11:16.491 --> 00:11:19.793]  These are the times to go public when you're facing this level of stuff.
[00:11:19.793 --> 00:11:21.073]  He's got a high level security clearance.
[00:11:21.073 --> 00:11:24.815]  He didn't give us any of that information, but he just pointed out open source stuff.
[00:11:24.815 --> 00:11:32.580]  And after we posted this on InfoWars.com, the Department of Defense pulled it within one hour and put a notice up about
[00:11:33.573 --> 00:11:37.396]  It being, well, people shouldn't post classified material, they said.
[00:11:37.396 --> 00:11:38.677]  We have the notice and everything.
[00:11:38.677 --> 00:11:40.018]  Here it is, exclusive.
[00:11:40.018 --> 00:11:41.480]  Military to designate U.S.
[00:11:41.480 --> 00:11:46.784]  citizens as enemy during collapse, period.
[00:11:46.784 --> 00:11:56.051]  And then there's quotes by Obama they put out two weeks ago at the whitehouse.gov saying anybody that angers or upsets anyone is helping Al Qaeda.
[00:11:57.034 --> 00:12:06.436]  So now, criticizing the corrupt government, or Fast and Furious, or Corzine, the Democratic operative, and billions of missing dollars, you can be arrested and disappeared.
[00:12:06.436 --> 00:12:12.937]  Now, they think that this intimidation will make people shut up, and they're calling for open web censorship and talk radio.
[00:12:12.937 --> 00:12:15.337]  Are we men or are we mice?
[00:12:15.337 --> 00:12:16.478]  Don't you get it?
[00:12:16.478 --> 00:12:21.379]  When you bend over to the tyrants and ask them to put handcuffs on you, you don't get out of it.
[00:12:21.379 --> 00:12:23.159]  The only way out of this is manning up.
[00:12:25.285 --> 00:12:29.550]  And then within an hour of it, government censors document revealing plans to wage war on Americans.
[00:12:29.550 --> 00:12:43.407]  Within an hour of posting FEMA contingency, continuity of government plans, PDF, pre-bid notice, deep-sixed, and they actually say the Pentagon will run the FEMA camps and the American people are designated as the enemy, period.
[00:12:44.423 --> 00:12:51.149]  And that the military, it's all blue-red, standard stuff like Afghanistan, they wear transponders to know the good guys from the bad guys.
[00:12:51.149 --> 00:13:01.399]  And the federal family is, Janet Reno Napolitano has called them, they're the good guys against us and they're going to eat out our substance.
[00:13:01.399 --> 00:13:02.460]  Unbelievable.
[00:13:02.460 --> 00:13:06.244]  And they work for the big foreign banking cartels taking over Europe and the US.
[00:13:06.244 --> 00:13:06.684]  Now here is
[00:13:07.955 --> 00:13:18.242]  Mr. Turley, top constitutional scholar on C-SPAN, saying, hey, the NDAA also allows, and this is what Obama's saying, for them to kill any U.S.
[00:13:18.242 --> 00:13:20.423]  citizens in America, no judge, no jury.
[00:13:20.423 --> 00:13:26.247]  This is something Kim Jong-il or Hitler would dream of, and they don't even put that on paper, they just do it.
[00:13:26.247 --> 00:13:31.151]  So, here it is, the Sovietization of America.
[00:13:31.151 --> 00:13:36.374]  President Obama just stated that he is going to maintain a policy that he can
[00:13:36.374 --> 00:13:43.779]  He can have any American citizen killed without any charge, without any review, except his own.
[00:13:43.779 --> 00:13:50.403]  If he's satisfied that you are a terrorist, he says that he can kill you anywhere in the world, including the United States.
[00:13:50.403 --> 00:13:54.586]  Two of his aides were just at a panel a couple of weeks ago, and they reaffirmed.
[00:13:54.586 --> 00:14:00.690]  They believe that American citizens can be killed on the order of the President anywhere, including the United States.
[00:14:00.690 --> 00:14:03.852]  That has left civil libertarians' heads exploding.
[00:14:06.195 --> 00:14:10.964]  We've had three polls in the last year and they all show the same thing.
[00:14:10.964 --> 00:14:17.557]  The American people say that they are more afraid of the government than they are outside forces like terrorists.
[00:14:19.309 --> 00:14:34.423]  Well there you have it, and Ron Paul gave a stump speech a couple days ago in Iowa where he's leading the pack still despite all the demonization and establishment hand-wringing and telling the public he can't win and the public doesn't buy the mind control anymore of these fraudsters.
[00:14:34.423 --> 00:14:42.931]  He pointed out that Congress and the media keeps lying and saying the NDAA, National Defense Authorization Act, doesn't affect citizens when the subsections clearly say it.
[00:14:43.772 --> 00:14:50.239]  We played last week, over and over again, five different senators who co-sponsored it and wrote it.
[00:14:50.239 --> 00:15:00.069]  Carl Levin, Lieberman, Lindsey Graham, McCain, all saying, yes, it affects citizens.
[00:15:01.127 --> 00:15:02.828]  And we want citizens to be scared.
[00:15:02.828 --> 00:15:03.649]  And you want a lawyer?
[00:15:03.649 --> 00:15:06.170]  You don't get one, Lindsey Graham said.
[00:15:06.170 --> 00:15:07.791]  We might dig those up and play those later.
[00:15:07.791 --> 00:15:08.772]  I played them over and over again.
[00:15:08.772 --> 00:15:17.257]  I mean, you can just type in Senator Levin and Mitch, you know, that says Obama was the one that wanted the secret arrest, you know, disappearance section.
[00:15:17.257 --> 00:15:18.738]  And you can pull up those videos.
[00:15:18.738 --> 00:15:21.260]  So this is how dumb they think we are.
[00:15:21.920 --> 00:15:30.862]  And so here we are, in Illinois and in Louisiana, the state reps are calling for military on the streets to, quote, patrol things to stop crime.
[00:15:30.862 --> 00:15:37.444]  Because the guns on the streets, you mean the ones the ATF shipped into Mexico and into Indiana and Florida?
[00:15:37.444 --> 00:15:39.485]  They're destabilizing America.
[00:15:39.485 --> 00:15:40.965]  They've got to be dealt with.
[00:15:40.965 --> 00:15:42.645]  We've got to wake up.
[00:15:42.645 --> 00:15:46.386]  We've got a bunch of criminals in charge with armies of criminals working for them.
[00:15:46.386 --> 00:15:48.547]  Most people in government aren't bad, but they're naive.
[00:15:49.927 --> 00:15:51.290]  So have a merry, merry Christmas.
[00:15:51.290 --> 00:15:52.553]  We'll be right back.
[00:15:52.553 --> 00:15:53.034]  Stay with us.
[00:16:01.061 --> 00:16:05.085]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:16:05.085 --> 00:16:08.329]  This is our last chance to not relive history.
[00:16:08.329 --> 00:16:13.134]  As they're finishing off this agenda, they'll be pulling the rug from underneath the Americans at home.
[00:16:13.134 --> 00:16:19.521]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:16:19.521 --> 00:16:21.763]  I think it's incumbent upon all of us
[00:16:22.244 --> 00:16:22.504]  Tim Geithner?
[00:16:22.504 --> 00:16:22.684]  Bernanke?
[00:16:22.684 --> 00:16:23.085]  They're arsonists!
[00:16:23.085 --> 00:16:23.825]  They're asking for more matches!
[00:16:23.825 --> 00:16:25.506]  And the Congress is saying, who do we make the check out to?
[00:16:41.198 --> 00:16:48.487]  Today seems like nobody does care and right now in Washington DC we have seen a fall of the republic.
[00:16:48.487 --> 00:16:57.678]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[00:16:59.660 --> 00:17:01.281]  Hi, this is Alex Jones.
[00:17:01.281 --> 00:17:07.566]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[00:17:07.566 --> 00:17:11.609]  So now is the time to express the holiday spirit more than ever.
[00:17:11.609 --> 00:17:14.751]  Consider helping those you love with the most important gift.
[00:17:15.171 --> 00:17:21.174]  A supply of delicious, easy-to-fix, and very storable foods from efoodsdirect.com.
[00:17:21.174 --> 00:17:33.879]  Their holiday gift and family packs start at $99, or a 16-day supply, while their 5-week supply of quick and easy-to-fix meals includes a personal backpack in case of a grab-and-go emergency.
[00:17:33.879 --> 00:17:39.442]  Order their combo gift pack, and you'll save hundreds, plus get free shipping on your entire order.
[00:17:39.742 --> 00:17:50.011]  Call eFoods today at 800-409-5633 or visit them online at efoodsdirect.com forward slash Alex to find the special.
[00:17:50.011 --> 00:17:55.936]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:17:55.936 --> 00:17:58.298]  You can bet your life on eFoods Direct.
[00:18:00.666 --> 00:18:02.368]  Hi folks, this is Alex Jones.
[00:18:02.368 --> 00:18:07.675]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:18:07.675 --> 00:18:09.218]  Saving means to make money.
[00:18:09.218 --> 00:18:18.009]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:18:18.730 --> 00:18:26.273]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:18:26.273 --> 00:18:34.276]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:18:34.276 --> 00:18:39.498]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:18:39.498 --> 00:18:41.659]  Getting a free catalog is easy by calling 800-340-7091.
[00:18:44.440 --> 00:18:47.665]  Or see Calvin on the web at FiveStarSoap.com.
[00:18:47.665 --> 00:18:50.028]  Take charge of your health now by calling 800-340-7091.
[00:18:50.028 --> 00:18:52.151]  Or see Calvin on the web at FiveStarSoap.com.
[00:18:59.346 --> 00:19:00.646]  Hi, this is Alex Jones.
[00:19:00.646 --> 00:19:06.248]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:19:06.248 --> 00:19:11.250]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:19:11.250 --> 00:19:11.730]  It's true.
[00:19:11.730 --> 00:19:16.292]  Seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:19:16.832 --> 00:19:22.056]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:19:22.056 --> 00:19:24.377]  They call it a Survival Seed Bank.
[00:19:24.377 --> 00:19:29.180]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:19:29.180 --> 00:19:30.301]  And here's the best part.
[00:19:30.301 --> 00:19:33.363]  These seeds have not been genetically modified in any way.
[00:19:33.363 --> 00:19:36.986]  And you actually get enough seeds to plant a full acre crisis garden.
[00:19:36.986 --> 00:19:40.168]  So visit them today at survivalseedbank.com.
[00:19:40.168 --> 00:19:42.389]  That's survivalseedbank.com.
[00:19:42.389 --> 00:19:43.310]  Or give them a call at 877-327-0365.
[00:19:46.952 --> 00:19:51.193]  That's 877-327-0365.
[00:19:51.193 --> 00:19:56.014]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:19:56.014 --> 00:20:00.535]  This is Alex Jones for survivalseedbank.com.
[00:20:00.535 --> 00:20:07.357]  Coast to coast, direct from Austin, you're listening to the Alex Jones Broadcasting Network.
[00:20:33.289 --> 00:20:34.710]  Yeah, that's the little drummer boy.
[00:20:34.710 --> 00:20:37.953]  More Christmas music.
[00:20:37.953 --> 00:20:39.334]  I love Christmas.
[00:20:39.334 --> 00:20:43.838]  Yeah, I wish we had the, the, the drum, the little drummer boy.
[00:20:45.638 --> 00:20:50.541]  Instead of the drums of war, last week, of course, the Israeli newspapers and U.S.
[00:20:50.541 --> 00:20:55.964]  papers said that Obama has told his advisors they may have to go ahead and strike Iran.
[00:20:55.964 --> 00:21:00.127]  We've had the chairman of the Joint Chiefs of Staff come out and say, oh, we can easily attack Iran.
[00:21:00.127 --> 00:21:02.729]  I just think they don't understand that.
[00:21:02.729 --> 00:21:06.391]  You've got the Iranians threatening to shut down the Strait of Hormuz.
[00:21:06.391 --> 00:21:08.912]  You've got the globalists wanting a political diversion.
[00:21:09.895 --> 00:21:12.556]  They're now claiming Iran carried out 9-11?
[00:21:12.556 --> 00:21:14.577]  I thought it was Iraq!
[00:21:14.577 --> 00:21:15.758]  Never Saudi Arabia, though.
[00:21:15.758 --> 00:21:17.818]  That's the gallant little ally.
[00:21:17.818 --> 00:21:19.119]  So we've got all of this happening.
[00:21:19.119 --> 00:21:26.342]  We have Europe in full economic implosion, as predicted by our economics experts we interview frequently.
[00:21:26.342 --> 00:21:27.182]  And you have the U.S.
[00:21:27.182 --> 00:21:30.364]  in actually worse financial shape once the contagion comes here.
[00:21:30.364 --> 00:21:35.046]  And you have the government passing the NDAA to secretly arrest citizens for any reason.
[00:21:36.984 --> 00:21:44.048]  We played you, Jonathan Turley, constitutional law scholar and professor saying it allows the killing of citizens and secret torture.
[00:21:44.048 --> 00:21:45.829]  That's all public.
[00:21:45.829 --> 00:21:49.331]  And they're preparing for total COG collapse.
[00:21:49.331 --> 00:21:55.934]  And we've got the FEMA documents I just mentioned that are up on the sites, where they say the military will run every facet of our lives.
[00:21:55.934 --> 00:21:57.975]  They are designated as blue force.
[00:21:57.975 --> 00:22:01.457]  The American people as red force, just like in Afghanistan, the enemy.
[00:22:02.057 --> 00:22:05.625]  So we're listed as the Taliban, basically, across the board.
[00:22:05.625 --> 00:22:07.188]  But the military is waking up to this.
[00:22:07.188 --> 00:22:10.194]  Webster, Griffin, Tarpley, economist, also doctor of history.
[00:22:11.604 --> 00:22:12.724]  Well, here at the end of 2011, we have a general
[00:22:41.124 --> 00:22:50.332]  Admission by people who are in or near the world, well the Anglo-American financier elite in particular.
[00:22:51.104 --> 00:23:10.657]  Madame Lagarde of the International Monetary Fund has now said we are in a world depression, or close to a world depression, and we have the Keynesian sort of left wing of the Democratic Party economist Paul Krugman in the New York Times saying it's time to admit that we are in a depression.
[00:23:11.577 --> 00:23:14.280]  Congratulations to these two figures.
[00:23:14.280 --> 00:23:16.722]  They have understood that we're in a depression.
[00:23:16.722 --> 00:23:27.331]  Only 39 months into the depression, or more, this depression really started in 2007 with the bankruptcy of Countrywide Bank.
[00:23:28.031 --> 00:23:33.193]  And then the bankruptcy of Northern Rock, the British bank, in the fall of the year.
[00:23:33.193 --> 00:23:37.015]  And then, of course, by September 2008, with all the U.S.
[00:23:37.015 --> 00:23:44.238]  banks, starting with Lehman Brothers, going belly up, there was no doubt that we were in a breakdown crisis of imperialism.
[00:23:44.238 --> 00:23:46.079]  It's a world derivatives panic.
[00:23:46.079 --> 00:23:53.302]  It's a disintegration of the existing monetary financial arrangements of the world.
[00:23:53.302 --> 00:23:56.383]  And that then, once again, gets us into this three-phase
[00:23:57.443 --> 00:24:02.605]  I would suggest everybody always keep prominently in their heads.
[00:24:02.605 --> 00:24:13.108]  The 1930s shows us the progression from a world depression and collapse of living standards and destruction of much of civilization as it had existed.
[00:24:13.108 --> 00:24:19.150]  You then go into a phase of authoritarianism, dictatorship, fascism.
[00:24:19.150 --> 00:24:21.870]  It's what's associated with Germany in 1933, Hitler, and so forth.
[00:24:24.418 --> 00:24:31.944]  And then from there, once any and all opposition to wars has been wiped out, you then drift towards a world war.
[00:24:31.944 --> 00:24:37.929]  Now we're essentially living through this stuff telescoped so that it's hitting us.
[00:24:37.929 --> 00:24:49.739]  And by the way, you wrote books on this over a decade ago, I'm not just tooting your horn, predicting it with precision because we know these cycles, we know what this group of oligarchs, and this is literally the grandchildren of them, do.
[00:24:50.700 --> 00:24:59.104]  When they're facing total collapse and jail, like Corzine and others, they will launch giant wars to make everybody rally around them.
[00:24:59.104 --> 00:25:04.666]  Right, and of course it's an entire system, so this is what we're dealing with now.
[00:25:04.666 --> 00:25:11.829]  We're seeing the depression phase telescoped together with the dictatorship phase, and that is this
[00:25:13.030 --> 00:25:19.616]  This lunatic fascist law that we've now got, that Barack Obama has the right to arrest anybody or to kill anybody.
[00:25:19.616 --> 00:25:33.568]  Now, these were things that Bush, in effect, already did, but now it's becoming more explicit, and the resistance, which would normally come from people around the American Civil Liberties Union and people like this,
[00:25:34.068 --> 00:25:48.777]  This is relatively muted, almost paralyzed, because Obama does it under left cover, whereas if you had somebody like Bush doing it under right-wing cover, then it would be easier to get people to get riled up.
[00:25:48.777 --> 00:25:53.260]  So, just the question now is, what do you do about this?
[00:25:53.260 --> 00:25:58.283]  And I think people have got to understand, you're dealing in a kind of political warfare.
[00:25:59.083 --> 00:26:03.585]  And you've always got to be careful to have your own strategy and stick to that.
[00:26:03.585 --> 00:26:16.249]  In other words, if you simply respond to what Wall Street does to you and what Wall Street does to you through the Obama regime that they control, then you're going to be running after a million different things.
[00:26:16.249 --> 00:26:18.150]  In other words, you're going to be going after the cape.
[00:26:18.810 --> 00:26:20.352]  And not the Matador.
[00:26:20.352 --> 00:26:23.175]  And the Matador, of course, is Wall Street.
[00:26:23.175 --> 00:26:24.036]  Now let's be clear.
[00:26:24.036 --> 00:26:27.500]  People say, wait a minute, Obama's for Occupy Wall Street.
[00:26:27.500 --> 00:26:28.621]  That's all smoke and mirrors.
[00:26:28.621 --> 00:26:36.790]  When you say Wall Street, you mean the mega six banks and brokerage firms that are actually waging war against everybody else.
[00:26:36.790 --> 00:26:40.534]  They are the ultimate crony capitalist insider monopoly men.
[00:26:40.964 --> 00:26:56.156]  Sure, we're talking about, at the somewhat lower level, we have these political operatives like Soros, who controls the left, and the Koch brothers, or Koch brothers as they like to be called, putting on airs, they control the right wing or the reactionary.
[00:26:56.656 --> 00:26:58.957]  Rule by finance capital oligarchs.
[00:27:23.022 --> 00:27:25.104]  The enemy is these bankers.
[00:27:25.104 --> 00:27:43.495]  And again, the question is, if this machine is coming at you, if you simply go running after everything that they do, for example, if you focus on the fact that they're, you know, oppressing people and they're harassing people at airports, then you're going to make that the issue.
[00:27:43.495 --> 00:27:46.217]  And unfortunately, this is not going to get to the causes.
[00:27:46.217 --> 00:27:48.058]  You have to understand the causes.
[00:27:48.058 --> 00:27:48.839]  And the causes...
[00:27:49.639 --> 00:27:50.220]  We're good to go.
[00:28:04.380 --> 00:28:04.820]  Quite right.
[00:28:04.820 --> 00:28:14.704]  So the idea is you've got to do something to break the inordinate power of Wall Street finance capital and of the City of London.
[00:28:14.704 --> 00:28:20.506]  Now, we just had a very interesting case of this in terms of what it might be, right?
[00:28:20.506 --> 00:28:25.908]  We had the Occupy Wall Street, which has now pretty much come to an end.
[00:28:25.908 --> 00:28:30.770]  And I would say this is now a tragic catalogue of lost opportunities.
[00:28:31.030 --> 00:28:40.034]  Yeah, well it was a proto-movement that they tried to hijack, and instead, when they couldn't hijack it, the Soros people, they just had the police, uh, you know, bash their brains.
[00:28:40.034 --> 00:28:41.735]  I think it's a little bit more complex.
[00:28:41.735 --> 00:28:43.195]  Stay there, stay there, we gotta go on a break.
[00:28:43.195 --> 00:28:47.077]  It's the Christmas edition premiere transmission with Webster Tarpley.
[00:28:47.077 --> 00:28:48.398]  We have other guests coming up.
[00:28:48.398 --> 00:28:48.838]  Stay with us.
