[00:00:27.202 --> 00:00:29.084]  You wanted it, you've got it.
[00:03:07.750 --> 00:03:18.335]  We're going to look at Gardasil, the flu shot, the big Hollywood movies coming out to scare everybody into submission, like Contagion with Matt Damon and others.
[00:03:18.395 --> 00:03:19.055]  That's coming up.
[00:03:20.456 --> 00:03:32.952]  Excerpts of an interview I did with Hollywood and TV legend Ed Asner on Building 7 and the controlled demolition that was the 9-11 attacks that is coming up later in this transmission.
[00:03:33.613 --> 00:03:37.678]  But first, let's go ahead and get into the economy.
[00:03:39.724 --> 00:03:46.647]  Kurt Nemo on Monday wrote an article saying that Ben Bernanke was going to announce basically QE3 through this new TWIST program.
[00:03:47.368 --> 00:04:00.474]  And Kurt, by reaching and researching IMF and World Bank documents, was able to predict that it would be called TWIST, or basically going back to an early 1960s program to manipulate the bond market.
[00:04:01.074 --> 00:04:05.096]  And the stock market responded today by plunging by 391 points.
[00:04:09.608 --> 00:04:11.710]  Or technically, 400 points.
[00:04:12.830 --> 00:04:14.972]  The global markets also tumbled by 4%.
[00:04:16.733 --> 00:04:21.437]  And Zoellick, the head of the World Bank, said that the world is now in the danger zone.
[00:04:23.078 --> 00:04:38.610]  And the grand poobah of globalism, George Soros, who said during the 2008 crisis that he was having a great crisis, fleecing governments and the general population with his insider knowledge, has now told us that we're already in a double-dip recession.
[00:04:39.170 --> 00:04:49.317]  Well, every economist I've talked to has documented that we never left the recession, and a recession for more than a year with the type of job losses we've had is really a depression.
[00:04:49.357 --> 00:04:55.441]  So we've been in a depression now for more than three years, so we don't need that Nazi sympathizer.
[00:04:56.241 --> 00:05:01.982]  And supporter who sold out his own people, George Soros, to tell us that we are in a recession.
[00:05:02.882 --> 00:05:06.203]  Continuing, obviously, stocks ended down lower.
[00:05:06.823 --> 00:05:07.984]  And why is all of this?
[00:05:08.024 --> 00:05:17.766]  Well, Moody's yesterday downgraded big banks on changes of policy, downgraded Bank of America, Citigroup, Wells Fargo, and others.
[00:05:18.246 --> 00:05:22.887]  So the system downgraded itself as an attempt to panic the public.
[00:05:23.487 --> 00:05:33.493]  The head of the IMF, based out of France, came out and said yesterday, unless there's more hyperinflationary moves in QE3, that the world would basically go into a depression.
[00:05:34.034 --> 00:05:38.777]  Now, the very same banksters did this in 2008, back in October.
[00:05:38.797 --> 00:05:43.800]  They said, give us unlimited trillions in taxpayer money or there'll be a depression.
[00:05:44.661 --> 00:05:48.449]  Every few years they run the same scam over and over again and again.
[00:05:48.951 --> 00:05:53.722]  Here is this article by Kurt Nemo that came out a few days ago.
[00:05:55.043 --> 00:06:10.056]  Dealing with this, and Kurt wrote another article, Operation Twist and Shout, Fed launches stealth attack on pensions, and he breaks down how QE3 and this new long-term U.S.
[00:06:10.096 --> 00:06:14.600]  Treasury bond will actually destroy the value of U.S.
[00:06:14.640 --> 00:06:15.521]  pensions including
[00:06:16.061 --> 00:06:18.823]  The government pension system known as Social Security.
[00:06:19.303 --> 00:06:31.170]  Peter Schiff, who I interviewed today on the radio, told MSNBC today, and we have the article up at Infowars.com, that the Fed will turn to QE3 and failed bid to prevent economic depression.
[00:06:31.750 --> 00:06:44.517]  And that's basically what this twist will do by pushing people into long-term bonds that will induce banks to loan out more money, which will cause inflation, which is another form of QE3.
[00:06:46.826 --> 00:07:04.981]  Continuing with this news, there's a big census report out that recession is taking a major toll on young adults and that there is massive unemployment in the youth population, much higher than it is in other groups.
[00:07:05.702 --> 00:07:08.524]  So that's basically it with the economic news.
[00:07:09.545 --> 00:07:11.386]  We're seeing the private banking cartel
[00:07:12.367 --> 00:07:22.410]  Tell the Europeans that either you give up all national sovereignty that's left to the IMF and World Bank and allow a financial dictatorship to be established or
[00:07:23.865 --> 00:07:27.249]  You're going to basically face total economic implosion.
[00:07:27.729 --> 00:07:37.080]  The problem is every time you give in to these terroristic financial threats, you were simply incrementally brought into greater levels of economic bondage and depression.
[00:07:37.481 --> 00:07:43.307]  Best to go ahead and write off the 1.5 quadrillion in derivatives that have been created.
[00:07:44.028 --> 00:07:59.921]  And destroy the globalist bankers no matter how painful it is and then rebuild from that point because the path we're being taken down is clearly wreck and ruin and leads us into a Weimar Republic type scenario with a global government, a private global government run by the banksters.
[00:08:00.941 --> 00:08:07.286]  Now getting into other news, I know Aaron Dyke sitting in for me on Monday night on InfoWars Nightly News broke this down.
[00:08:08.720 --> 00:08:17.024]  And since then we've sent out Darren McBrain and Rob Jacobson to file a report with the good, the bad and the ugly here in Austin.
[00:08:17.384 --> 00:08:19.726]  Some people are aware of this as a police state power grab.
[00:08:19.826 --> 00:08:25.228]  Others are willing to give up their liberty for security, but of course Benjamin Franklin pointed out you'll get neither.
[00:08:25.709 --> 00:08:28.970]  When you give up liberty, you get tyranny.
[00:08:29.631 --> 00:08:31.452]  But I wanted to show you this graph.
[00:08:34.493 --> 00:08:35.874]  USA Today had a vote
[00:08:37.028 --> 00:08:43.213]  Do you agree with the NFL's head-to-toe pat-down, the groping of your wife's breasts, the grabbing of your genitals?
[00:08:43.794 --> 00:08:52.581]  And if you add up the numbers, only 11% agreed with the TSA, police state, groping.
[00:08:52.601 --> 00:08:55.303]  4% said, don't tase me, bro.
[00:08:56.724 --> 00:09:02.206]  Forty-eight percent said this is an invasion of privacy, and thirty-seven percent said they would just stay home.
[00:09:02.646 --> 00:09:06.528]  So if you average that together, eighty-five percent are against it.
[00:09:07.068 --> 00:09:11.150]  And we find that eighty-five percent want to abolish the private fellow reserve.
[00:09:11.790 --> 00:09:17.512]  We find that over eighty-five percent, right at about ninety, don't believe the official JFK story.
[00:09:18.532 --> 00:09:22.174]  Over and over again, Angus and Reed, New York Times poll, five years ago,
[00:09:23.808 --> 00:09:26.390]  83% believe the government's covering up the truth of 9-11.
[00:09:27.851 --> 00:09:32.095]  In every poll, I don't believe just one poll or two polls or five polls or a hundred polls.
[00:09:32.696 --> 00:09:44.827]  In thousands of polls that we track day-to-day, week-to-week, year-to-year, in thousands of polls, over 80% of the population, well, hell, Congress has a 9% approval rating.
[00:09:45.107 --> 00:09:46.969]  That's 91% don't agree with the system.
[00:09:47.549 --> 00:09:55.232]  But in thousands of polls, above 80% don't buy a damn thing they're told by this pack of known liars.
[00:09:55.592 --> 00:09:56.532]  And that's the good news.
[00:09:56.892 --> 00:10:01.394]  The awakening has happened, but people just don't have confidence in themselves yet.
[00:10:01.714 --> 00:10:05.515]  They don't feel like they're the majority.
[00:10:05.555 --> 00:10:06.995]  They don't feel like they're in the right.
[00:10:07.536 --> 00:10:11.437]  They feel like they're in the minority, which isn't true.
[00:10:12.557 --> 00:10:17.300]  But a minority who's in the right is the majority, as Barry Goldwater said.
[00:10:17.660 --> 00:10:23.203]  He also said that when you're talking about fighting tyranny, silence isn't golden, it's yellow.
[00:10:23.923 --> 00:10:28.486]  And with that, I want to go to this report filed by Infowars.com.
[00:10:28.546 --> 00:10:31.948]  Reporters on the NFL grope downs taking place.
[00:10:32.188 --> 00:10:39.292]  And then coming up, Sherry Tenpenny, the doctor, breaking down what's happening with the vaccine carnage.
[00:10:39.952 --> 00:10:42.214]  And then we will also get to Ed Asner.
[00:10:42.774 --> 00:10:45.295]  Stay with us after we talk to Darren McBrain.
[00:10:45.316 --> 00:10:46.636]  Darren McBrain, tell us what's happening.
[00:10:47.757 --> 00:10:48.397]  Thank you, Alex.
[00:10:49.018 --> 00:10:58.684]  Recently, Homeland Security announced that they will extend their Stasi-style grope downs on innocent law-abiding American citizens who simply want to watch a football game.
[00:10:59.084 --> 00:11:07.450]  Now, we're here at DKR Stadium in the heart of Austin, Texas, to ask football fans how they feel about the new Homeland Security pat-downs.
[00:11:08.499 --> 00:11:14.563]  Having people pat down before they come in, I don't think that would, like the cost and benefit doesn't make sense.
[00:11:14.804 --> 00:11:23.130]  If they have to wait in this big crowd and big lines and then still get checked just to go in to see like their favorite players, it might create some personal problems.
[00:11:23.670 --> 00:11:26.314]  I feel like people are always going to find a way if they want to do bad things.
[00:11:26.714 --> 00:11:38.329]  If someone really wants to do something, most likely they're going to do it and they're going to find a way to sneak it through, but the more roadblocks you put up there, I guess the harder it's going to be, the more you might deter somebody from trying.
[00:11:38.689 --> 00:11:40.310]  Really, I think it's kind of going overboard.
[00:11:40.870 --> 00:11:41.810]  I'm not really for it.
[00:11:41.950 --> 00:11:45.051]  I don't think that it really will get anything accomplished.
[00:11:45.311 --> 00:11:55.015]  You know, you had the guy who tased the individual, and that situation was... It was big, and I don't want to get tased, so in a way, it's... Hey, that's security.
[00:11:55.375 --> 00:11:56.175]  It's what needs to happen.
[00:11:56.235 --> 00:11:58.616]  But in another way, it's really intrusive.
[00:11:59.099 --> 00:12:06.243]  Having Homeland Security at the entrance of the gates could potentially make it safer, but I also feel like it's a violation of privacy.
[00:12:06.403 --> 00:12:16.388]  Last Friday, Alex Jones called for a boycott of the NFL in his attempt to prevent America from continuing down its path to becoming a nightmare police state.
[00:12:16.528 --> 00:12:18.549]  Don't be part of this ritual of corruption.
[00:12:18.970 --> 00:12:23.492]  Boycott it, and even if you don't, go to NFL games, talk about boycotting it.
[00:12:23.652 --> 00:12:31.495]  This USA Today poll on September 16th clearly demonstrates that most Americans disagree with these aggressive procedures.
[00:12:31.995 --> 00:12:35.037]  But the federal government and Homeland Security don't care.
[00:12:35.617 --> 00:12:42.780]  Even though it's a clear violation of our constitutionally guaranteed Fourth Amendment rights, they're moving forward with their plans.
[00:12:43.140 --> 00:12:58.548]  You know a lot of privacy advocates are in an outrage as far as, and this goes with the TSA and airports as well, about children that are being subjected to the same pat-downs and where do you draw the line and what's your feelings about, you know, taking your kids to a football game and they have to be patted down as well.
[00:12:59.116 --> 00:13:13.561]  I can understand the reasoning for doing that, just because terrorist attacks can come through any ways and they would do anything just to get whatever accomplished, but I think that at football games, doing that to children is just a little bit over the line.
[00:13:13.581 --> 00:13:15.362]  I don't think children need to be pat down.
[00:13:16.141 --> 00:13:20.104]  It would be an arbitrary age, around 13, I think would be acceptable.
[00:13:20.204 --> 00:13:24.286]  Underneath that age, I think you should give children their space.
[00:13:24.467 --> 00:13:32.952]  Yeah, if you've got kids with you, especially, you know, you bring your son, your daughter, I don't know, it's a nice feeling that, okay, a little bit of a hassle slowed the line down, but I feel safe.
[00:13:33.833 --> 00:13:42.278]  I would hope that, you know, reasonable minds would prevail, and they would just say, you know, an 8-year-old kid is not going to be carrying a bomb of some sort.
[00:13:42.879 --> 00:13:44.300]  I would hope it doesn't get that far.
[00:13:44.400 --> 00:13:45.541]  If I have something where
[00:13:46.661 --> 00:13:51.244]  I don't feel like I should be touched, or I had a situation where I've been touched before and I didn't appreciate that one.
[00:13:51.644 --> 00:13:57.128]  I'm clearly not going to appreciate somebody who feels like they deserve to have to do it for security reasons.
[00:13:57.168 --> 00:14:00.109]  Like, that's not a good reason to be that intrusive to my body.
[00:14:00.570 --> 00:14:09.535]  The unholy alliance between the NFL and the federal government is merely the next stop on the road to transforming America into one giant prison camp.
[00:14:09.955 --> 00:14:11.396]  A tremendous price to pay.
[00:14:11.797 --> 00:14:15.459]  And as you can see, most people don't feel it makes them any safer.
[00:14:16.059 --> 00:14:18.900]  I'm Darren McBreen for InfoWars Nightly News.
[00:14:19.381 --> 00:14:20.381]  Alex, back to you.
[00:14:20.961 --> 00:14:21.441]  Thank you.
[00:14:21.782 --> 00:14:22.422]  Thank you, Darren.
[00:14:23.642 --> 00:14:24.603]  Did you hear the one guy?
[00:14:24.643 --> 00:14:25.643]  It's a nice feeling.
[00:14:26.384 --> 00:14:32.846]  Yeah, it's a great feeling to watch men and women grab your three-year-old daughter and actually check their crotch.
[00:14:33.247 --> 00:14:34.287]  No, that's a horrible feeling.
[00:14:35.228 --> 00:14:38.949]  You'll basically let these people violate your basic rights.
[00:14:39.729 --> 00:14:44.772]  Now I want to hit some interesting science news before I get into the really hardcore news here tonight.
[00:14:45.714 --> 00:14:48.936]  And that's that the speed of light has been broken by scientists.
[00:14:49.937 --> 00:15:03.006]  It is the most famous scientific equation of all time, and all but last night it emerged that Einstein's theory of relativity may be wrong.
[00:15:03.906 --> 00:15:12.972]  And it goes on to say that scientists at CERN claim that they have measured particles faster than light.
[00:15:15.026 --> 00:15:15.667]  Think about that.
[00:15:17.648 --> 00:15:20.251]  I have no doubt that there are particles faster than light.
[00:15:20.831 --> 00:15:26.316]  I mean, hell, 60-something years ago they were telling the public that the speed of sound couldn't be broken.
[00:15:27.498 --> 00:15:28.519]  But CERN
[00:15:30.669 --> 00:15:37.057]  Refused to release documents, but they got leaked, proving that global warming was not man-made, and that it was mainly solar radiation.
[00:15:37.297 --> 00:15:37.637]  Duh!
[00:15:37.938 --> 00:15:39.500]  The sun heating the earth.
[00:15:39.540 --> 00:15:42.323]  I don't need scientists to tell me that common sense.
[00:15:42.803 --> 00:15:45.406]  So unfortunately, I can't believe a word that comes out of CERN.
[00:15:46.488 --> 00:15:50.653]  But no doubt, you know, just because Einstein tells us nothing's faster than light.
[00:15:52.005 --> 00:15:52.586]  Give me a break.
[00:15:53.747 --> 00:15:55.809]  Every scientist that comes along knows it all.
[00:15:56.389 --> 00:15:58.672]  So I thought we would cover that information.
[00:15:58.872 --> 00:15:59.933]  Very, very interesting.
[00:16:00.293 --> 00:16:04.938]  I love to believe CERN, but these are the same folks that tell me that Al Gore is the second coming of Christ.
[00:16:04.978 --> 00:16:08.522]  So unfortunately, I'm not going to be able to buy into that right now.
[00:16:09.577 --> 00:16:13.800]  Now, getting back into some other important news here today.
[00:16:14.780 --> 00:16:22.625]  Mr. Cameron, the Prime Minister of England, who loves puppies, so war is okay, has gone to the United Nations.
[00:16:22.685 --> 00:16:23.005]  The U.N.
[00:16:23.045 --> 00:16:23.485]  agrees.
[00:16:24.066 --> 00:16:38.294]  The new model of global corporate colonialism is to use Western nations' money and blood to empower their corporate takeover of the world, and all they've got to do is go fund in Syria
[00:16:39.155 --> 00:16:55.445]  Or in Libya, or in Egypt, or anywhere else, or the Ivory Coast for that matter of Africa, to fund rebels who go around murdering and killing people, and then have the UN invade in the name of defending the rebels.
[00:16:56.246 --> 00:17:04.691]  But I saw another headline today, the one in Telegraph, about NATO is stationing drones all over North Africa, including Libya, to bomb other countries to fight Al-Qaeda.
[00:17:05.762 --> 00:17:21.706]  But it's admitted that Al Qaeda was the rebel group the British, French, and NATO put in, who've been given control of Tripoli and now the rest of the country, and the fighting is still going on with Qaddafi forces, but they told us a month ago the fighting was over, so it must be true.
[00:17:22.347 --> 00:17:34.210]  Again, this is this Orwellian minefield of different conflicting lies, and as a good little globalist, I guess we're all supposed to just buy into all these contradictions of logic, but I'm sorry I can't do it.
[00:17:35.174 --> 00:17:43.522]  Now, getting into another article here, Patrick Henningsen wrote another story about this from fullwars.com, and he links to statements by the Iraqi government here.
[00:17:43.942 --> 00:17:44.683]  Now the U.S.
[00:17:44.763 --> 00:17:50.248]  puppet regime in Iraq is calling for a regime change in Syria.
[00:17:52.090 --> 00:17:57.816]  I'm no fan of Assad and what's happening in Syria, but this is now six months of the West trying to fund
[00:17:59.432 --> 00:18:03.393]  Al-Qaeda groups to overthrow the secular government there.
[00:18:03.834 --> 00:18:06.534]  So there is literally no end to this.
[00:18:07.035 --> 00:18:21.560]  And why shouldn't the big multinational corporations that want the oil and want the drug routes and want the rebuilding contracts to rebuild the country, why shouldn't they use American and British and European tax money to do this?
[00:18:22.420 --> 00:18:24.181]  Again, all this is done in our name.
[00:18:24.541 --> 00:18:26.201]  We get the political blame for it.
[00:18:26.581 --> 00:18:27.942]  We pay for it.
[00:18:29.076 --> 00:18:31.018]  And then the bankers just sit up there and laugh at us.
[00:18:31.878 --> 00:18:33.900]  What an incredible fraud.
[00:18:34.841 --> 00:18:35.362]  Think about that.
[00:18:35.382 --> 00:18:38.144]  The UN is completely morally bankrupt.
[00:18:38.584 --> 00:18:39.225]  A hundred percent.
[00:18:39.765 --> 00:18:47.372]  They now back invasions of countries when Western governments foment rebel forces to try to take it over.
[00:18:47.712 --> 00:18:50.995]  That's the excuse for air bombardments and ground forces.
[00:18:51.256 --> 00:18:55.800]  And then we're told this isn't war because a Nobel Peace Prize winner is leading it.
[00:18:56.815 --> 00:19:02.081]  Truly, we've reached the Orwellian maxim of war is peace, freedom is slavery, ignorance is strength.
[00:19:03.314 --> 00:19:12.221]  All right, I want to get to this piece before we get to this Ed Asner interview and then come back with Dr. Sherry Tenpenny for a full in-depth interview with some breaking news.
[00:19:13.022 --> 00:19:28.354]  I was aware of this from reading government documents and I put the research in the film, Endgame, Blueprint for Global Enslavement, which I believe is my greatest work to date in 16 plus years of research and journalism and activism and commentary.
[00:19:29.443 --> 00:19:34.552]  I was aware of this from mentions in memoirs and government documents but never the full image.
[00:19:35.153 --> 00:19:39.921]  The Daily Mail reports on recently declassified documents.
[00:19:39.941 --> 00:19:41.764]  First I'm going to play a clip from Endgame here in a moment.
[00:19:43.433 --> 00:19:52.320]  Where what was known as the Red Empire, or the British Empire, that was the dominant force in the 1930s in the world, that the U.S.
[00:19:52.440 --> 00:19:59.905]  government at certain levels, including the Army and Department of War, they weren't as Orwellian then, they called it the Department of War, not the Department of Defense.
[00:20:01.869 --> 00:20:10.417]  They wanted to attack England and all of England's possessions around the world in Africa, the Pacific, South America, you name it.
[00:20:10.978 --> 00:20:13.400]  We're talking about the Virgin Islands, British Virgin Islands.
[00:20:13.740 --> 00:20:16.543]  They wanted to go in and just nerve gas all the Brits.
[00:20:17.532 --> 00:20:20.375]  Our government realized that, hey, this is the empire.
[00:20:20.796 --> 00:20:22.157]  We want to become the new empire.
[00:20:22.177 --> 00:20:25.440]  The people that run our government show you the elitist mindset.
[00:20:26.241 --> 00:20:29.184]  And they said, we want to just go ahead and attack.
[00:20:29.325 --> 00:20:29.685]  Here it is.
[00:20:29.745 --> 00:20:31.367]  War on the Red Empire.
[00:20:31.387 --> 00:20:37.874]  How America planned to attack on Britain in 1930s with bombing raids and chemical weapons.
[00:20:39.400 --> 00:20:47.226]  Details of an amazing American military plan for an attack to wipe out a major part of the British Army are today revealed for the first time.
[00:20:48.647 --> 00:20:58.474]  And it reports in the early 1930s this was proposed and was the battle plan until Roosevelt came to power in 1933 and then made a deal with the British.
[00:20:58.854 --> 00:21:02.476]  And that's exactly what I've gleaned from deep historical research.
[00:21:03.385 --> 00:21:06.987]  That the Bushes, the Rockefellers, they're all on record funding Hitler.
[00:21:07.608 --> 00:21:13.812]  And Smedley Butler, two-time Congressional Medal of Honor winner, he was in line to be the Commandant of the Marine Corps.
[00:21:14.212 --> 00:21:17.214]  The fascists came to him and said, you've overthrown all these countries.
[00:21:17.254 --> 00:21:20.736]  Guatemala, he overthrew more than 15 countries himself.
[00:21:21.236 --> 00:21:23.338]  They came to him and they said, we want to overthrow America.
[00:21:23.398 --> 00:21:24.358]  You'll be the dictator.
[00:21:24.618 --> 00:21:25.779]  You're going to link up with Hitler.
[00:21:25.799 --> 00:21:26.580]  He really likes you.
[00:21:28.201 --> 00:21:29.782]  And Butler said, I'm not going to do that.
[00:21:30.976 --> 00:21:32.997]  And went on record, we're going to play you a newsreel clip of that.
[00:21:33.377 --> 00:21:36.298]  And they had the McCormick-Dickstein Committee hearings, all this came out.
[00:21:36.598 --> 00:21:51.362]  The Bushes were about to be arrested at the start of World War II, so they started the different systems where they had Hollywood folks go, you know, give speeches and play music for the troops, so that they would be seen as patriotic.
[00:21:51.682 --> 00:21:57.404]  But they were the main agents, along with the Brothmans and others in North America.
[00:21:58.747 --> 00:22:04.517]  Just absolutely incredible information.
[00:22:05.238 --> 00:22:10.927]  And so, as I pointed out in the endgame, America made a decision to go with the Fabian Socialist.
[00:22:11.860 --> 00:22:18.346]  And even though Churchill claimed he was anti-socialist, he was really backed by the Fabian Socialists, and so this deal was made.
[00:22:18.806 --> 00:22:22.309]  And the King of England, Edward VIII, had to advocate.
[00:22:22.710 --> 00:22:23.731]  He had to step down.
[00:22:23.791 --> 00:22:26.493]  He was in Germany when World War II started.
[00:22:26.833 --> 00:22:28.014]  He had to step down.
[00:22:29.162 --> 00:22:31.243]  as the king of England because he'd supported Hitler.
[00:22:31.263 --> 00:22:33.364]  Of course he was a German prince, so why wouldn't he?
[00:22:33.745 --> 00:22:44.410]  So this is just the incredible information that right before this happened the United States was going to actually attack England and all of its possessions and take over the British Empire.
[00:22:44.890 --> 00:22:49.993]  Instead the two merged and America became the British Empire and that's the New World Order.
[00:22:50.333 --> 00:22:54.996]  But it wasn't that they were anti-Hitler because they were anti-extermination and world government.
[00:22:55.456 --> 00:23:07.602]  It was that they wanted to run it and run it covertly through the vaccines and other globalist programs, as is reported in the 1948 British report on population.
[00:23:07.622 --> 00:23:10.003]  All right, let's go ahead and go to that clip from Endgame.
[00:23:10.263 --> 00:23:21.228]  Congressional Medal of Honor winner Major General Spendly Butler went public in 1934 exposing an attempt by the robber barons to launch a military overthrow of the United States.
[00:23:22.068 --> 00:23:35.198]  The war hero testified to the McCormick-Dickstein Committee in Congress that some of the most powerful men in America had tried to recruit him to lead a military coup so they could set up National Socialism in the United States.
[00:23:43.991 --> 00:23:56.718]  I appeared before the Congressional Committee, the highest representation of the American people under subpoena, to tell what I knew of activities, which I believe might lead to an attempt to set up a fascist dictatorship.
[00:23:57.318 --> 00:24:03.862]  I was supposed to lead an organization of 500,000 men, which would be able to take over the functions of government.
[00:24:04.842 --> 00:24:07.604]  The fascists had also made deep inroads in England.
[00:24:08.885 --> 00:24:10.445]  And then I go through all that evidence.
[00:24:10.906 --> 00:24:16.687]  This film has been out now for four years, and it was Brown Brother Harriman that were the main drivers.
[00:24:16.747 --> 00:24:23.329]  It was the Harrimans that were the main drivers, along with other elitist families in all of this, including the Rothschilds.
[00:24:23.369 --> 00:24:26.489]  You'd think, why would the Rothschilds be funding Hitler and the British?
[00:24:26.989 --> 00:24:28.230]  That's how you take over.
[00:24:28.270 --> 00:24:29.590]  It's called full-spectrum dominance.
[00:24:30.030 --> 00:24:32.671]  You fund both sides and let them kill each other and go into debt.
[00:24:33.371 --> 00:24:36.514]  So you're thinking black, white, up, down.
[00:24:36.554 --> 00:24:39.336]  You're thinking pro-Islam, anti-Islam.
[00:24:39.837 --> 00:24:40.217]  No, no, no.
[00:24:40.497 --> 00:24:42.399]  It's the clash of civilizations.
[00:24:42.499 --> 00:24:45.121]  It's the playing people off against each other.
[00:24:45.622 --> 00:24:48.244]  That's what this is really all about.
[00:24:48.724 --> 00:24:51.087]  And what an incredible report that's now come out.
[00:24:51.727 --> 00:24:54.909]  And it just verifies our deep research into these matters.
[00:24:55.429 --> 00:24:58.371]  This is the type of information you get with InfoWars Nightly News.
[00:24:58.991 --> 00:25:11.218]  A group of people dedicated to reality, not to fake left-right paradigms, scoring points and bashing Democrats, or scoring points and bashing Republicans, and being part of some gang psychology.
[00:25:11.718 --> 00:25:14.239]  We are part of the reality movement.
[00:25:14.740 --> 00:25:17.001]  We are all about real information.
[00:25:17.561 --> 00:25:33.892]  Now I want to play a clip from a couple days ago because it's very newsworthy of the former head of the Screen Actors Guild, award-winning actor, TV, film, you name it, Ed Asner, breaking down Building 7, the key smoking gun of the controlled demolition of 9-11.
[00:25:33.992 --> 00:25:41.597]  Then we're going to come back with a conclusion on in-depth report with Dr. Sherry Tenpenny on Big Pharma's desperate move.
[00:25:41.657 --> 00:25:44.999]  It's fleeing forward for forced inoculation.
[00:25:45.380 --> 00:25:45.880]  Stay with us.
[00:25:45.940 --> 00:25:47.261]  It's InfoWars Nightly News.
[00:25:48.603 --> 00:25:50.605]  What do you think the biggest smoking gun of 9-11 is?
[00:25:50.705 --> 00:25:54.030]  Well, Building 7.
[00:25:56.433 --> 00:26:01.459]  Building 7 being brought down without having been damaged to that extent.
[00:26:02.300 --> 00:26:06.105]  I think that they want to make sure nobody shoots their mouth off.
[00:26:07.094 --> 00:26:09.755]  And if eventually they do, then they'll probably end up dead.
[00:26:10.015 --> 00:26:12.416]  They made the Japanese Prime Minister resign.
[00:26:13.096 --> 00:26:18.497]  The heads of Tokyo Electric heads rolled in Japan.
[00:26:18.537 --> 00:26:20.118]  Some people committed suicide over it.
[00:26:20.138 --> 00:26:21.018]  Yeah.
[00:26:21.118 --> 00:26:24.199]  But here they got promoted for standing down, Ed.
[00:26:24.559 --> 00:26:34.922]  You know, the amazing thing about 9-11 in its totality is that this greatest country in the world with the greatest, strongest defense in the world
[00:26:35.885 --> 00:26:41.028]  We've had this horrendous obscenity done to them on 9-11.
[00:26:42.369 --> 00:26:46.912]  So we supposedly had gatekeepers, watchmen, protecting us.
[00:26:48.153 --> 00:26:51.315]  Why has not one single person been punished?
[00:26:52.756 --> 00:26:55.437]  Unless we bomb the city, we can't save it.
[00:26:55.457 --> 00:26:58.119]  So we've got to level.
[00:26:59.130 --> 00:27:03.111]  Bring down to a level of clear understanding and begin again.
[00:27:03.231 --> 00:27:08.753]  And I don't know how much destruction that entails, but we need a change in this country.
[00:27:09.113 --> 00:27:10.853]  What's your view on the JFK assassination?
[00:27:11.573 --> 00:27:15.414]  Well, I think that there probably was some government complicity there.
[00:27:15.435 --> 00:27:24.317]  So Mark Lane defended Willis Cargo and he won because he was able to prove that E. Howard Hunt
[00:27:25.712 --> 00:27:40.878]  Uh, and I imagine other, uh, he was able to do also that other CIA gentlemen were all over the area at the, uh, JFK assassination.
