[00:00:00.009 --> 00:00:00.289]  Got it.
[00:06:26.633 --> 00:06:34.317]  I'm Alex Jones coming to you from deep in the heart of Texas, Austin, Texas, blasting out on satellite Global Shortwave.
[00:06:34.877 --> 00:06:39.520]  And I know the Sunday show more than 60 AM and FM affiliates.
[00:06:39.860 --> 00:06:46.563]  Number one radio talk show streamed on the web, according to Shoutcast and other barometers.
[00:06:46.683 --> 00:06:48.764]  Thank you so much for joining us.
[00:06:48.804 --> 00:06:51.866]  Of course, I also come back weekdays 11 a.m.
[00:06:52.006 --> 00:06:52.606]  to 2 p.m.
[00:06:53.146 --> 00:06:54.387]  Central Time.
[00:06:55.127 --> 00:06:55.267]  OK.
[00:06:56.448 --> 00:07:00.273]  Coming up at the start of the next segment, I've got a special report.
[00:07:00.493 --> 00:07:05.659]  Ron Paul addresses plans for civil unrest detention camps.
[00:07:06.480 --> 00:07:09.003]  That's one of the reports we filed this weekend.
[00:07:09.464 --> 00:07:13.749]  We have some audio and videotape with Ron Paul discussing the FEMA camps.
[00:07:13.789 --> 00:07:15.471]  That's posted up at
[00:07:16.559 --> 00:07:19.581]  Infowars.com and PrisonPlanet.com.
[00:07:19.621 --> 00:07:23.202]  Ron Paul, they're setting the stage for violence in this country.
[00:07:23.703 --> 00:07:38.330]  Asked by Infowars correspondent Robert Wannick on video if he was concerned about the National Emergency Centers Establishment Act that officially funds the FEMA camps.
[00:07:39.449 --> 00:07:46.272]  And if there was a danger of Americans being held in the camps for martial law, Ron Paul responded, yeah, that's their goal.
[00:07:46.632 --> 00:07:52.375]  They're setting up the stage for violence in this country, no doubt about it, responded Paul.
[00:07:52.835 --> 00:08:02.740]  And so I wanted to go over why this is being established and set up, A, and B, how it's going to be rolled out.
[00:08:04.179 --> 00:08:11.724]  We have in this article mainstream news this week going, there are emergency centers for you because of the recession and the depression.
[00:08:11.785 --> 00:08:14.947]  We just now thought of this.
[00:08:16.226 --> 00:08:34.073]  You see, tyrants can't implode societies to consolidate control and to enrich themselves without having a secret police, without having a red terror, without having a black, uniformed, jack-booted enforcement system.
[00:08:34.983 --> 00:08:41.789]  These are absolutely cold-blooded multinational corporations that compete with each other at a very vicious level.
[00:08:42.129 --> 00:08:43.610]  They're absolutely ruthless.
[00:08:44.210 --> 00:08:47.313]  And our naivete has allowed this to unfold.
[00:08:47.833 --> 00:08:57.001]  So I'm going to get into the history of the development of internment camps for Japanese-Americans, Italian-Americans, German-Americans.
[00:08:57.721 --> 00:08:59.182]  Hundreds of thousands that were held.
[00:08:59.283 --> 00:09:00.624]  Their land, by the way, taken.
[00:09:01.864 --> 00:09:15.013]  Many Italians, Germans, and Japanese, even though their sons were serving in the military, if you get out of the camp, if you serve in the military, they had their fishing boats take on their property, some of the most valuable areas of San Francisco.
[00:09:15.033 --> 00:09:18.615]  A lot of folks, of course, were tortured to death in the camps here in the United States.
[00:09:19.356 --> 00:09:24.960]  So, you need to understand that when you don't have a Bill of Rights and Constitution, it turns loose great evil.
[00:09:25.780 --> 00:09:29.503]  And we already have the largest prison population in the world.
[00:09:29.663 --> 00:09:30.423]  Not per capita.
[00:09:30.824 --> 00:09:31.104]  No, no.
[00:09:31.324 --> 00:09:33.946]  We have more than China with a billion and a half people.
[00:09:34.386 --> 00:09:35.627]  We're only 310 million.
[00:09:36.408 --> 00:09:37.468]  And it's only getting worse.
[00:09:37.588 --> 00:09:39.650]  See, we have a predatory economy now.
[00:09:40.070 --> 00:09:41.131]  We don't have a free market.
[00:09:42.293 --> 00:09:54.543]  It's being gobbled up by the predatory insider crony capitalist system that is only capitalist in name, where insiders operate and totally rule society.
[00:09:55.363 --> 00:10:03.229]  So that report is coming up and then I'll get into your calls and more detail on the other news we have here in front of us.
[00:10:04.190 --> 00:10:06.232]  Speaking of crony capitalism,
[00:10:07.432 --> 00:10:16.697]  I remember the Drudge Report linked to our articles back in February, back on February 4th.
[00:10:18.155 --> 00:10:21.976]  And it became a big national news story and was discussed on the Sunday news shows.
[00:10:22.636 --> 00:10:31.058]  And it was the first time I've ever had the White House actually address us and attack this radio show and say that we're insane liars.
[00:10:32.059 --> 00:10:35.460]  Remember this headline from February 4th?
[00:10:35.920 --> 00:10:39.621]  Obama agenda to bankrupt power plants triggers blackouts.
[00:10:39.681 --> 00:10:42.121]  Remember the freezing weather across the U.S.
[00:10:42.201 --> 00:10:43.742]  and record blackouts?
[00:10:44.902 --> 00:10:50.508]  And then a day later, WhiteHouseAttacksPrisonPlanet.com report on blackouts.
[00:10:51.669 --> 00:10:53.731]  And you can go read the White House report.
[00:10:54.291 --> 00:11:00.658]  Their communications director, Dan Pfeiffer, came out and said we were completely insane.
[00:11:01.943 --> 00:11:09.070]  The problem was we were linking to the Texas Power Commission and others' reports.
[00:11:09.290 --> 00:11:16.737]  All we did was also have family that work at power plants, and I have a lot of listeners that work at them.
[00:11:17.970 --> 00:11:24.737]  I've known even under Bush, and now accelerating under Obama in the last two and a half years, they didn't let new plants open.
[00:11:24.797 --> 00:11:26.999]  They shut down a lot of existing plants.
[00:11:27.399 --> 00:11:40.292]  There's a $3 billion plant, total, you heard me, $3 billion, in Corpus Christi, one of the biggest in the country, that the EPA still hasn't allowed to open in the last year.
[00:11:41.241 --> 00:11:44.543]  And it was the same in Kansas and Missouri and Oklahoma and California.
[00:11:44.783 --> 00:11:54.647]  You saw the reports with the cold weather this year that, well, people are using more heat and we should have built more power plants because the population growing.
[00:11:55.488 --> 00:11:57.669]  And so we're having these blackouts.
[00:11:58.089 --> 00:12:01.470]  I mean, that's what the power companies said were happening.
[00:12:03.351 --> 00:12:04.412]  And that's what unfolded.
[00:12:05.232 --> 00:12:09.094]  And the reason I mentioned this story first
[00:12:10.385 --> 00:12:13.047]  Is because it's back in the news today.
[00:12:14.489 --> 00:12:16.090]  This is out of the journal Sentinel.
[00:12:16.190 --> 00:12:19.033]  Utilities warn of higher rates because of pollution rules.
[00:12:19.793 --> 00:12:28.401]  Nothing comes out of the coal power plants but water vapor and carbon dioxide that plants live off of and then they put off oxygen.
[00:12:28.701 --> 00:12:32.645]  Humans exhale carbon dioxide and Bill Gates has said humans are bad for exhaling it.
[00:12:32.925 --> 00:12:34.286]  Part of the atmosphere of the planet.
[00:12:34.586 --> 00:12:36.188]  Part of the symbiotic system.
[00:12:36.208 --> 00:12:37.169]  The carbon cycle
[00:12:39.676 --> 00:12:44.080]  By the way, I covered this Friday and some people didn't believe me, so I'm going to re-pull it out of the stack later.
[00:12:44.501 --> 00:12:56.233]  The London Guardian did go with the report that NASA officially has said that space aliens are going to attack the United States and the entire planet if we don't pay carbon taxes to Al Gore.
[00:12:56.733 --> 00:12:58.795]  That is not satire, that is not a joke.
[00:12:58.935 --> 00:13:01.298]  I know it's insane, but do not blame me.
[00:13:03.168 --> 00:13:05.552]  Do not blame me, because it sounds insane.
[00:13:06.052 --> 00:13:07.615]  That's how dumb they think you are.
[00:13:07.655 --> 00:13:08.656]  There it is, London Guardian.
[00:13:08.737 --> 00:13:11.721]  Aliens may destroy humanity to protect other civilizations.
[00:13:11.801 --> 00:13:15.167]  A scientist rising greenhouse emissions could tip off aliens.
[00:13:15.707 --> 00:13:18.331]  We are rapidly expanding threat warns of NASA report.
[00:13:18.952 --> 00:13:22.554]  And they say, pay money to the Rothschilds that own the big climate exchange with Al Gore.
[00:13:22.574 --> 00:13:24.315]  And that's who publicly owns it.
[00:13:24.335 --> 00:13:26.256]  Just type in Rothschilds Climate Exchange.
[00:13:26.697 --> 00:13:28.758]  Pay them to breathe or aliens will kill us.
[00:13:28.898 --> 00:13:31.700]  And the NASA report says the aliens may strike any minute.
[00:13:31.740 --> 00:13:40.425]  I mean, ladies and gentlemen, I'm not the conspiracy theorist for being right 99% of the time and knowing how things work, okay?
[00:13:42.326 --> 00:13:42.626]  All right.
[00:13:45.028 --> 00:13:47.169]  They're shutting down power plants all over the country.
[00:13:48.442 --> 00:13:50.584]  They've shut down two in the last decade here in Austin.
[00:13:51.024 --> 00:13:52.485]  One of them was a city-owned utility.
[00:13:53.386 --> 00:14:03.613]  Now, why would big, mega power companies like General Electric, who was given a waiver in February from their own rules that they wrote?
[00:14:04.874 --> 00:14:11.039]  Some of their former top people run the greenhouse gas section of the EPA.
[00:14:12.418 --> 00:14:23.204]  Just like Monsanto runs all the major Food and Drug Administration positions, or the Goldman Sachs, JP Morgan have all the Federal Reserve honchos and Treasury Secretaries.
[00:14:24.084 --> 00:14:25.585]  This is a mafia operation.
[00:14:26.906 --> 00:14:29.427]  And they're given a total waiver on all their plants.
[00:14:29.447 --> 00:14:31.108]  So they're building new ones.
[00:14:31.588 --> 00:14:35.791]  If you get them to build your plant and pay them protection money, then you are given a waiver.
[00:14:36.849 --> 00:14:43.436]  But the head of the Energy Department said just a few months ago, quote, massive numbers of plants will be shut down.
[00:14:44.137 --> 00:14:45.979]  He went on to say they're looking at shutting down over 300.
[00:14:46.119 --> 00:14:48.302]  Now, that's going to do two things.
[00:14:49.042 --> 00:14:53.027]  That's going to more than double, and I'm talking about the next two years, your power cost.
[00:14:53.067 --> 00:14:54.749]  You've already seen them go up more than double.
[00:14:56.605 --> 00:14:58.306]  And it's going to cause rolling blackouts.
[00:14:58.326 --> 00:15:02.948]  We're going to be like Romania, or Venezuela, or Iran now.
[00:15:02.968 --> 00:15:04.188]  We're going to be a third world country.
[00:15:04.809 --> 00:15:07.030]  And your power is going to go off a lot.
[00:15:08.230 --> 00:15:14.273]  See, this is what dictatorships and corrupt systems are all about, is total and complete domination.
[00:15:15.555 --> 00:15:20.179]  They'd rather sell you less for more, and only have a few insiders involved.
[00:15:21.200 --> 00:15:25.063]  So here is the Journal Sentinel, utilities warned of higher rates because of pollution rules.
[00:15:25.903 --> 00:15:30.067]  Here is the Washington Post, getting ready for a wave of coal plant shutdowns.
[00:15:30.407 --> 00:15:32.149]  That provides 51% of our power.
[00:15:34.611 --> 00:15:43.078]  And I've got a new one here, where the news breaks down new greenhouse gas rules to cause rolling blackouts.
[00:15:44.187 --> 00:15:45.710]  So, you know what?
[00:15:45.730 --> 00:15:52.221]  I'm going to finish up with how mafia government works in the next segment.
[00:15:52.241 --> 00:15:55.706]  Well, you saw thousands of companies get waivers from Obama from the health care.
[00:15:56.448 --> 00:15:56.688]  See?
[00:15:59.833 --> 00:16:02.856]  Congratulations to our friends at eFoodsDirect.com.
[00:16:03.176 --> 00:16:07.539]  In August, they celebrate 30 years in the long-term storable food business.
[00:16:07.780 --> 00:16:16.266]  To celebrate, eFoodsDirect.com is offering the lowest price ever on their one-year Freedom Food Supply, even less than the price in 1981.
[00:16:16.467 --> 00:16:24.153]  For a limited time, you get 30% off a one-year Freedom Supply, which provides three hearty meals per day for one adult.
[00:16:24.293 --> 00:16:26.635]  The Freedom Supply includes a large variety
[00:16:26.835 --> 00:16:31.480]  Of fruits and vegetables, dairy, legumes, grains, sprouting seeds and more.
[00:16:31.660 --> 00:16:34.603]  Plus you get a generous supply of their quick fix meals.
[00:16:34.903 --> 00:16:39.187]  This is the most complete, extensive and affordable unit they have ever offered.
[00:16:39.468 --> 00:16:49.738]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex and get 30% off a one year food supply if you have ever considered getting a supply.
[00:16:49.938 --> 00:16:50.939]  Now is the time.
[00:16:51.099 --> 00:16:51.760]  Call 800-409-5633.
[00:16:53.301 --> 00:16:58.705]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:16:59.786 --> 00:17:05.150]  When you're out on the road, the last place you want to be is on the road.
[00:17:06.451 --> 00:17:11.195]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:17:11.575 --> 00:17:18.301]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:17:20.302 --> 00:17:22.624]  They sow pride in every stitch.
[00:17:24.366 --> 00:17:26.708]  Guarantee you love the way they fit.
[00:17:28.806 --> 00:17:32.669]  Put a diamond gusset in the crotch where you need it most.
[00:17:33.389 --> 00:17:36.512]  Blue diamond gussets got it.
[00:17:37.212 --> 00:17:38.053]  Others don't.
[00:17:38.453 --> 00:17:40.334]  We turn jeans inside out.
[00:17:40.614 --> 00:17:42.096]  Diamond gusset jeans.
[00:17:42.396 --> 00:17:44.958]  Made in the USA with unparalleled quality.
[00:17:45.278 --> 00:17:51.522]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection so you can ride all day with confidence.
[00:17:51.902 --> 00:17:54.124]  Order yours at gusset.com.
[00:17:54.604 --> 00:17:56.646]  Diamond gusset jeans got it.
[00:17:56.966 --> 00:17:57.847]  Others don't.
[00:18:00.362 --> 00:18:04.647]  Alex Jones here with vital information concerning our nation's fragile food supply.
[00:18:05.068 --> 00:18:10.935]  Folks, there are some truly dangerous trends forming, and I think it's important for my listeners to do three things right away.
[00:18:11.495 --> 00:18:13.257]  Number one, study the past.
[00:18:13.778 --> 00:18:15.520]  History really does repeat itself.
[00:18:16.161 --> 00:18:19.905]  Number two, learn to spot the dangerous food shortage trends.
[00:18:21.007 --> 00:18:23.269]  Number three, take decisive action.
[00:18:24.110 --> 00:18:27.372]  A perfect storm is brewing, or a global food crisis.
[00:18:27.933 --> 00:18:32.677]  That's why I'm telling everyone to read the new book, Rising Prices, Empty Shelves.
[00:18:32.997 --> 00:18:36.400]  Warning signs that trigger the deadliest famines in history.
[00:18:36.980 --> 00:18:39.862]  Don't get caught unprepared when the crisis hits.
[00:18:40.402 --> 00:18:44.364]  This book is only available at risingpricesemptyshelves.com.
[00:18:44.885 --> 00:18:49.147]  You'll also get a free copy of Supermarket Survival, How to Cut Your Grocery Bills in Half.
[00:18:49.828 --> 00:18:53.950]  Again, that website is risingpricesemptyshelves.com.
[00:18:54.450 --> 00:18:56.612]  That's risingpricesemptyshelves.com.
[00:18:59.602 --> 00:19:14.072]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:19:15.072 --> 00:19:18.755]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:19:19.764 --> 00:19:31.756]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:19:32.516 --> 00:19:39.783]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:19:40.464 --> 00:19:50.071]  Be sure to watch our new 7 minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:19:50.852 --> 00:19:54.114]  As well, we are always ready to answer any questions you may have.
[00:19:54.774 --> 00:19:57.877]  That's www.SilverLungs.com
[00:20:00.393 --> 00:20:03.314]  Coast to coast, direct from Austin.
[00:20:03.994 --> 00:20:08.075]  You're listening to the Alex Jones Broadcasting Network.
[00:20:17.516 --> 00:20:25.798]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones on the GCN Radio Network.
[00:20:27.958 --> 00:20:33.411]  Okay, we're going to look at FEMA Camp USA and the proof that
[00:20:34.605 --> 00:20:41.547]  The federal government, owned by foreign banks through fraud, is preparing for a total collapse, depression scenario.
[00:20:41.907 --> 00:20:43.968]  The Pentagon admits they're preparing for it.
[00:20:44.728 --> 00:20:55.771]  And the first lockup of roving hordes that the public will beg to be locked up, because the minute the welfare crowd doesn't get their paycheck, they're going to riot.
[00:20:56.392 --> 00:21:00.473]  Then the precedent will be set to have the military on the streets.
[00:21:02.373 --> 00:21:15.258]  And then the staged events will begin as a pretext to go after the political resistance to the complete economic designed implosion of the United States.
[00:21:15.839 --> 00:21:20.000]  It has to be destroyed once and for all to bring in the new system.
[00:21:20.020 --> 00:21:30.405]  That's why they're doing these culturally shocking things like having TSA actually stick their hands down many people's pants or having cameras in school bathrooms.
[00:21:30.985 --> 00:21:38.550]  Or having public schools announce, yes, we're washing your children over laptops in the shower when they're at home in Philadelphia.
[00:21:39.031 --> 00:21:42.933]  This is all being done to absolutely break your will.
[00:21:43.634 --> 00:21:48.837]  That's why Bloomberg and AP come out and say, yeah, the government took the veterans' death benefits for the last 12 years.
[00:21:49.138 --> 00:21:53.761]  They secretly made a deal to allow insurance companies to steal their life insurance they paid for.
[00:21:54.582 --> 00:22:02.377]  Yeah, they're going to go ahead and slash in half people who've served in the military for 20 years or more and have their 50% pension.
[00:22:02.677 --> 00:22:03.659]  You're not going to be getting it.
[00:22:04.460 --> 00:22:06.484]  Besides, even if you get it, it's going to be devalued.
[00:22:08.311 --> 00:22:20.399]  And they've done the psychological warfare actuaries that they know a lot of 50, 60, 70, 80-year-old vets, marines and people, are going to get violent, and they're going to use that to start arresting everybody.
[00:22:21.119 --> 00:22:22.780]  The globalists are sitting offshore.
[00:22:23.440 --> 00:22:27.523]  They don't care if cops and military get chewed up fighting old cops and military.
[00:22:28.444 --> 00:22:31.986]  Again, the globalists, people think of things in a two-dimensional warfare model.
[00:22:33.274 --> 00:22:42.441]  of black against white, black checkers or red checkers versus black checkers, or white chess pieces versus black chess pieces.
[00:22:42.901 --> 00:22:44.042]  No, no, no, no, no, no, no.
[00:22:44.422 --> 00:22:54.069]  The globalists for thousands of years fund all sides of conflicts, sometimes three or four sides, but people don't want to get that.
[00:22:54.490 --> 00:22:57.432]  They think of it as Ford, Chevy, Coke, Pepsi.
[00:22:58.772 --> 00:23:01.033]  Dallas Cowboys, Washington Redskins.
[00:23:01.673 --> 00:23:07.015]  And because of that, because of that, we're going to get hurt real, real bad.
[00:23:07.716 --> 00:23:12.237]  I'm sorry, I said I'd get into the FEMA camps and how they're going to get us to the FEMA camps.
[00:23:12.657 --> 00:23:14.878]  Oh, you're going to be begging to go to the FEMA camps.
[00:23:16.359 --> 00:23:19.120]  This isn't going to be like with Hitler or Stalin where you don't want to go.
[00:23:19.440 --> 00:23:22.721]  The way they're going to advertise it is you're going to be fighting to get into them.
[00:23:23.928 --> 00:23:27.811]  I first discovered this going to Urban Warfare Drills 12 years ago.
[00:23:28.912 --> 00:23:31.473]  And I guess in some cases 14 years ago.
[00:23:31.694 --> 00:23:37.138]  And they would always have the role players screaming, I'm an American, you can't take my rights, let me into the camp.
[00:23:38.519 --> 00:23:45.484]  Oh yes, but once you're in the camp, well, you are biometrically scanned and troublemakers are taken to a special area.
[00:23:46.965 --> 00:23:48.966]  And that's, lo and behold, what they said with the
[00:23:50.959 --> 00:23:53.180]  Emergency Centers Establishment Act.
[00:23:53.580 --> 00:24:00.322]  They said that this is going to be an area, and it'll have its own jail and things, where people that are homeless en masse go.
[00:24:01.162 --> 00:24:05.723]  And see, we already have right at 50 million people on food stamps.
[00:24:05.743 --> 00:24:08.664]  They say 45, but there's another 5 million or so on supplemental.
[00:24:08.684 --> 00:24:12.285]  In fact, it's really above 50 million now.
[00:24:12.585 --> 00:24:14.806]  Those are digital food lines.
[00:24:15.286 --> 00:24:17.186]  Those are people with food line cards.
[00:24:17.206 --> 00:24:19.127]  50 million.
[00:24:21.348 --> 00:24:23.789]  And see, they're still going to get their creds put on those.
[00:24:24.129 --> 00:24:26.990]  They're just not going to buy Jack Diddley's squat.
[00:24:27.530 --> 00:24:29.170]  And these are entitled people.
[00:24:31.791 --> 00:24:33.652]  And what do you think they're going to do?
[00:24:34.252 --> 00:24:35.792]  Well, they're going to start rioting.
[00:24:36.292 --> 00:24:37.913]  You think this summer's been bad?
[00:24:38.053 --> 00:24:40.454]  I predict next summer you're going to see major fireworks.
[00:24:40.794 --> 00:24:44.155]  You know, I predicted riots all over Europe two years ago.
[00:24:44.755 --> 00:24:45.335]  This year.
[00:24:47.120 --> 00:24:56.807]  Oh, I'm sorry, I was getting into the crony insiders and how our economy is going from a true free market to a total insider operation.
[00:24:57.528 --> 00:25:07.795]  If you read the founding fathers writings or you read Americana right up until the last 50 years, everything was about how the big boys collude together to shut down the little people.
[00:25:08.896 --> 00:25:10.717]  And that doesn't even mean in business.
[00:25:10.817 --> 00:25:15.681]  I mean, they will, Big Agra openly writes laws to shut down small farms and ranches.
[00:25:17.634 --> 00:25:28.420]  Insurance companies wrote the health care law to make 35 million people get their product and to let insurance companies and HMOs control what doctors can do for care to lower the standard.
[00:25:28.500 --> 00:25:29.421]  Bill Gates admitted that.
[00:25:29.741 --> 00:25:31.202]  He said, yeah, we do need to kill Grandma.
[00:25:31.322 --> 00:25:33.183]  Remember the cover of Newsweek?
[00:25:33.523 --> 00:25:34.604]  The case for killing Granny?
[00:25:34.864 --> 00:25:36.945]  I know it sounds crazy, but it was on the cover.
[00:25:37.325 --> 00:25:38.126]  Bill Gates said it.
[00:25:38.871 --> 00:25:39.972]  Don't give grandma treatment?
[00:25:40.593 --> 00:25:42.115]  Take care of ten teachers.
[00:25:42.756 --> 00:25:45.198]  Telling you that somebody loses, you win.
[00:25:45.719 --> 00:25:49.203]  The minute you have that attitude, civilization falls.
[00:25:51.025 --> 00:25:55.170]  The minute you give in to corruption, just a little bit, suddenly it races through the system.
[00:25:58.899 --> 00:26:00.200]  Yeah, I thought everybody was like me.
[00:26:00.240 --> 00:26:14.856]  I mean, I come from both sides of my family, Christian, hard-working, Protestant-type people who just wouldn't cheat anybody out of a nickel, pull over and... I mean, I remember being a kid and going, Dad, please don't stop.
[00:26:14.996 --> 00:26:15.557]  Please, no.
[00:26:15.877 --> 00:26:19.441]  He stopped and tried to change every person's tire that was broken down.
[00:26:21.636 --> 00:26:22.856]  Road trips were hell.
[00:26:23.737 --> 00:26:26.598]  A few times people tried to rob him in the last few years, so he stopped.
[00:26:26.958 --> 00:26:30.279]  That's all part of the collapse of society, but I come from goody two-shoes, you know?
[00:26:30.719 --> 00:26:31.420]  I'm a weirdo!
[00:26:32.140 --> 00:26:42.184]  You see, I grew up, and when I saw cops dealing drugs going to high school in Dallas, I got mad and spoke about it, so they let my dad know, we're gonna kill your son if you don't leave town, and we moved to Austin.
[00:26:43.704 --> 00:26:47.506]  I guess I've kind of got a Serpico-type lifestyle history.
[00:26:48.326 --> 00:26:50.787]  We had Frank Serpico, the legendary detective on Friday,
[00:26:53.476 --> 00:26:57.338]  So see, I guess this is what America wants.
