[00:00:26.220 --> 00:00:27.080]  Thank you for joining us.
[00:06:13.413 --> 00:06:16.555]  The future of the info war is in your hands.
[00:06:16.996 --> 00:06:18.977]  Join PrisonPlanet.tv.
[00:06:19.177 --> 00:06:25.141]  Download the thousands of special video reports, e-books, and more, and get them out to everyone you know.
[00:06:25.361 --> 00:06:32.186]  Continue to spread the word about the broadcast on YouTube, Facebook, Twitter, and every other globalist propaganda platform.
[00:06:32.326 --> 00:06:34.408]  We are going to use their system against them.
[00:06:34.588 --> 00:06:48.396]  The InfoWars now goes into high gear.
[00:06:49.117 --> 00:06:49.697]  We are back.
[00:06:49.737 --> 00:06:52.339]  You're watching an InfoWars.com special report.
[00:06:53.237 --> 00:06:55.958]  We're about to interview a very interesting gentleman.
[00:06:55.978 --> 00:06:56.838]  He's a journalist.
[00:06:56.938 --> 00:06:57.798]  He's an author.
[00:06:58.198 --> 00:07:00.099]  He's also an extreme traveler.
[00:07:00.819 --> 00:07:04.800]  He interviewed the head of the Northern Alliance just weeks before he was killed.
[00:07:05.420 --> 00:07:08.001]  He was inside Afghanistan right before 9-11.
[00:07:08.481 --> 00:07:18.683]  He is journalist Pepe Escobar, and his book, Globalism, How the Globalized World is Dissolving into Liquid War, is an absolute must-read.
[00:07:19.144 --> 00:07:20.744]  Pepe, thank you so much for joining us.
[00:07:21.789 --> 00:07:23.209]  Great talking to you, Alex.
[00:07:24.010 --> 00:07:32.933]  Well, you have been reporting for Asia Times that Al-Qaeda has taken over Tripoli and is being handed the nation.
[00:07:33.293 --> 00:07:40.275]  The LA Times even admits that the leaders of most of the rebellion are actual jihadi Al-Qaeda fighters.
[00:07:40.635 --> 00:07:42.996]  What can you tell us from your decade-plus research?
[00:07:44.488 --> 00:07:50.414]  Look, I have to confirm, a lot of us came to this information different ways, of course.
[00:07:51.034 --> 00:07:58.642]  The LA Times, for instance, The Independent in London, Alsharq Al-Assad in the Middle East, and myself, but we got to the same conclusion.
[00:07:59.262 --> 00:08:05.949]  The top military guys in Tripoli, in the southwest mountains, southwest of Tripoli,
[00:08:06.489 --> 00:08:11.410]  And in Syranica, in Benghazi and Derna, they are all Al-Qaeda linked.
[00:08:11.830 --> 00:08:20.632]  This means they were and they are still part of the Libyan Islamic Fighting Group, LIFG.
[00:08:21.073 --> 00:08:27.414]  This is a jihadi organization founded in the 90s to fight against Gaddafi, basically.
[00:08:27.434 --> 00:08:35.336]  They wanted to turn, especially Syranica, eastern part of Libya, into an Islamic state and to bring down the central government in Tripoli.
[00:08:36.176 --> 00:08:46.049]  Obviously, Qaddafi having that absolutely hardcore intelligence service system that he had, they were fought, they had to leave the country.
[00:08:46.109 --> 00:08:48.472]  Many went to Afghanistan and then to Iraq.
[00:08:48.873 --> 00:08:53.899]  That was the case of the famous guy of the moment, Abdul Hakim Belhadj.
[00:08:54.640 --> 00:08:58.821]  He trained in Afghanistan in the late 90s, early 2000s.
[00:08:59.561 --> 00:09:01.822]  He was trained in a camp north of Kabul.
[00:09:03.182 --> 00:09:06.162]  Then, after 9-11, he disappeared from Afghanistan.
[00:09:06.242 --> 00:09:07.523]  He went to Southeast Asia.
[00:09:08.123 --> 00:09:12.484]  He was arrested by the CIA in Malaysia in 2003.
[00:09:12.864 --> 00:09:20.866]  He was tortured in Bangkok in one of those extraordinary renditions, special CIA prisons all over the world.
[00:09:20.926 --> 00:09:22.266]  There was one in Bangkok.
[00:09:23.306 --> 00:09:28.009]  Then he was handed back to Libyan intelligence, Libyan security.
[00:09:28.429 --> 00:09:31.732]  And he stayed in Libya for the past six years or so.
[00:09:32.674 --> 00:09:57.960]  But, in 2010, there was a deal between the Qaddafi government and these guys from the LIFG especially, over 200 terrorists, let's put it this way, 214 to be exact, and they were freed after they wrote a document more than 400 pages long confessing their sins and saying that jihad was over and of course they would start, you know,
[00:09:58.860 --> 00:10:00.361]  working with the Qaddafi government.
[00:10:00.881 --> 00:10:04.083]  So this happened March 2010, last year.
[00:10:05.023 --> 00:10:15.789]  After that, these guys disappeared and they surfaced in Benghazi and in Derna, early this year after the first demonstrations in Cyrenaica, in February this year.
[00:10:16.529 --> 00:10:20.471]  And some of them are now in military command posts.
[00:10:21.191 --> 00:10:24.113]  Some were trained by US Special Forces, like the
[00:10:24.853 --> 00:10:33.500]  The Southwestern tribe, Berber tribe contingent that went to Tripoli like eight, nine days ago and took over Tripoli.
[00:10:33.840 --> 00:10:39.925]  The military commander was Bill Hodge and there were other LIFG guys, Al-Qaeda linked with him.
[00:10:40.345 --> 00:10:47.907]  But these guys, they were trained in the Southwest mountains by US Special Forces, so the US knows exactly who's dealing with.
[00:10:48.247 --> 00:10:53.388]  And everybody, the French intelligence, British SAS, they know they're dealing with these guys.
[00:10:53.988 --> 00:10:59.870]  And you don't need a PhD in Germany to know there's going to be blowbacks sooner or later, Alex.
[00:11:00.677 --> 00:11:14.622]  Well certainly, are we going to end up having a new Al Qaeda base of operations, similar to Afghanistan, that will then menace Europe, the Mediterranean, and is that what the military-industrial complex is looking for?
[00:11:15.202 --> 00:11:27.306]  Use their old ally from the Russian war, now against Qaddafi, and then later, a few years down the road, oh there has to be a new invasion, fresh meat for the war machine to deal with Al Qaeda.
[00:11:27.326 --> 00:11:28.727]  I mean this is just like 1984.
[00:11:29.887 --> 00:11:32.648]  Never at war with East Asia, always at war with East Asia.
[00:11:33.569 --> 00:11:34.549]  Always, exactly.
[00:11:34.609 --> 00:11:35.170]  No, you're right.
[00:11:35.310 --> 00:11:45.995]  Always at war, and this could happen within the next few weeks or months, assuming, which is practically certain, that this hardcore Islamist cannot be part
[00:11:46.420 --> 00:11:50.906]  of a transitional government in Libya, or the next government for that matter.
[00:11:51.267 --> 00:11:58.557]  In fact, Belhadj last week, one week ago, last Tuesday, he said on the record that he wants Sharia law for Libya.
[00:11:58.577 --> 00:11:59.218]  Can you imagine?
[00:11:59.799 --> 00:12:01.721]  So, Al-Qadhafi, OK,
[00:12:03.120 --> 00:12:07.203]  Hardcore, old world, Cold War style dictator.
[00:12:07.284 --> 00:12:08.204]  We all know that.
[00:12:08.525 --> 00:12:11.027]  But, he's a very clever guy as well.
[00:12:11.087 --> 00:12:17.072]  From the beginning he was saying this was an Al-Qaeda linked and foreign based intervention.
[00:12:17.112 --> 00:12:17.952]  Well we know!
[00:12:18.013 --> 00:12:18.433]  We know!
[00:12:18.513 --> 00:12:19.934]  And he was absolutely right!
[00:12:20.134 --> 00:12:26.580]  Because his intelligence services dealt with these guys on a daily basis and they were imprisoned by the regime.
[00:12:27.227 --> 00:12:30.551]  Well that was my next question because you've been studying this for more than a decade.
[00:12:31.592 --> 00:12:46.728]  I remember back in 96, it later came out in the BBC, that the West had tried to use Al Qaeda to kill Gaddafi because Gaddafi was the first person to put an Interpol warrant out for Osama Bin Laden.
[00:12:47.549 --> 00:12:54.571]  And it turns out now that from the beginning, the rebels were financed by the West, by NATO, by the U.S.
[00:12:55.551 --> 00:12:57.092]  And so what's the endgame here?
[00:12:57.152 --> 00:13:00.373]  Is there anything legitimate about this revolution in Libya?
[00:13:00.753 --> 00:13:08.915]  Or was it, what it appears to be, the West starting this from the beginning and using Al-Qaeda fighters to start this?
[00:13:10.171 --> 00:13:11.832]  Yes, it's true.
[00:13:11.952 --> 00:13:16.774]  There was a legitimate component of the so-called uprising.
[00:13:17.595 --> 00:13:21.177]  This is a movement called February 17th Movement.
[00:13:21.397 --> 00:13:30.982]  A lot of young people, unemployed people, some with good diplomas, by the way, the Google generation living in Eastern Libya, they were trying to rise against the regime again.
[00:13:31.222 --> 00:13:36.184]  And they had some legitimate demonstrations in early February, mid-February in Benghazi.
[00:13:36.524 --> 00:13:36.985]  But then,
[00:13:37.785 --> 00:13:49.570]  These demonstrations were hijacked by this compound, this motley crew of Gaddafi defectors, Al-Qaeda Islamists, British Special Forces, French intelligence.
[00:13:51.041 --> 00:14:03.009]  This was one of the openings, but it was not an opening itself because the war or the military coup d'etat, if we can put it this way, was concocted last year and guess where?
[00:14:03.129 --> 00:14:03.729]  In France.
[00:14:04.390 --> 00:14:06.231]  The whole thing started in October 2010.
[00:14:07.412 --> 00:14:13.096]  Gaddafi's chief of protocol, a guy called Nouri Mesmari, he defected, he went to Paris,
[00:14:13.496 --> 00:14:15.298]  He was approached by French intelligence.
[00:14:15.639 --> 00:14:24.949]  He said he was in contact with hardcore military personnel, especially in Benghazi, but he also had contacts in Tripoli with possible defectors.
[00:14:25.350 --> 00:14:29.134]  They started to organize what would be a military coup, and they said, look, we need a
[00:14:30.063 --> 00:14:31.964]  Popular component for all this?
[00:14:32.005 --> 00:14:40.771]  The popular component was the February 17th movement because they start to be instigated by a number of sources.
[00:14:40.851 --> 00:14:43.574]  Okay, let's start playing demonstrations for February.
[00:14:43.834 --> 00:14:45.395]  So when the demonstrations happened,
[00:14:45.655 --> 00:14:51.597]  I don't know if many people in America may not remember this, but Sarkozy recognized the Council from the beginning, already in February.
[00:14:51.617 --> 00:14:52.157]  One of France's
[00:15:09.202 --> 00:15:11.183]  Most disgusting characters.
[00:15:11.523 --> 00:15:12.603]  I happen to know this guy.
[00:15:12.623 --> 00:15:13.704]  He's Bernard-Henri Lévy.
[00:15:14.084 --> 00:15:17.825]  He's a left-bank intellectual, Nouveau philosopher, and all that.
[00:15:18.105 --> 00:15:20.046]  This guy went to Benghazi.
[00:15:20.166 --> 00:15:21.626]  He met with the council.
[00:15:21.826 --> 00:15:26.728]  He called Sarkozy from Benghazi and said, look, we need to recognize these people immediately.
[00:15:26.748 --> 00:15:28.128]  They are the legitimate government.
[00:15:28.408 --> 00:15:37.151]  So Sarkozy, before anybody else, before the UN, before resolution, whatever, recognized these people and started sending French intelligence and
[00:15:38.407 --> 00:15:43.792]  You know, covert operation officers to Benghazi to link with these people already there.
[00:15:44.233 --> 00:15:46.995]  So this, from the beginning, was the French War.
[00:15:47.195 --> 00:15:48.677]  The Americans and the Brits came later.
[00:15:49.177 --> 00:15:51.840]  The French and the British redacted the UN Resolution 1973.
[00:15:52.561 --> 00:15:56.544]  The Americans came on board because they also saw an opening.
[00:15:57.225 --> 00:16:02.709]  But there are so many reasons that Gaddafi was isolated that it was impossible.
[00:16:03.250 --> 00:16:04.951]  He reached an end of the line.
[00:16:04.971 --> 00:16:09.835]  In fact, I'm writing, as we speak, a story of what red lines Gaddafi crossed.
[00:16:09.855 --> 00:16:11.056]  There were so many!
[00:16:11.256 --> 00:16:13.558]  He could go forever lining them up, you know.
[00:16:14.298 --> 00:16:18.941]  In summation, give me your research take on why this happened.
[00:16:18.961 --> 00:16:23.844]  We know he was trying to unify Africa, create their own currency, their own water supply.
[00:16:24.265 --> 00:16:36.432]  He was a dictator, but whether it was because of his arrogance or because he cared, he was building up Libya from a backwater to the most wealthy per capita in Africa.
[00:16:36.452 --> 00:16:39.654]  That's why so many African nations are still defending him.
[00:16:40.415 --> 00:16:42.136]  So I want you to speak to why they went after him.
[00:16:42.156 --> 00:16:43.157]  But then in closing,
[00:16:43.797 --> 00:16:44.778]  Where is this going to go?
[00:16:44.838 --> 00:16:53.664]  We were told this was done because there was a humanitarian disaster with a few protesters being killed because it was confirmed a lot of them were operatives and were violent.
[00:16:53.744 --> 00:16:54.784]  I'm not defending what happened.
[00:16:55.045 --> 00:16:57.166]  The point is, all of them weren't just protesters.
[00:16:57.646 --> 00:17:00.108]  Now, most of the country without power, water.
[00:17:00.688 --> 00:17:04.451]  We know there are confirmed reprisals against black Libyans.
[00:17:04.871 --> 00:17:07.233]  They're just dragging them out of their houses and killing them.
[00:17:07.673 --> 00:17:09.755]  No doubt the Qaddafi forces are engaged in some
[00:17:10.635 --> 00:17:15.058]  Some reprisals against people as well, but it's not on a racial issue.
[00:17:15.098 --> 00:17:16.920]  So where is this going?
[00:17:16.960 --> 00:17:22.103]  I mean, did Europe want to knock this country back into the Stone Age like they did Serbia?
[00:17:22.404 --> 00:17:29.509]  Is this the Western powers following that policy of de-industrializing any country that isn't part of Western Europe or the United States?
[00:17:31.035 --> 00:17:36.119]  Well, basically, Alex, Libya has to be sold to the rest of the world as an example.
[00:17:36.579 --> 00:17:41.503]  So you don't antagonize the Bank of International Settlements in Switzerland.
[00:17:41.563 --> 00:17:43.325]  You don't antagonize Western bankers.
[00:17:43.385 --> 00:17:47.108]  You don't antagonize European corporations, or Americans for that matter.
[00:17:47.488 --> 00:17:49.610]  You don't nationalize our oil industry.
[00:17:49.910 --> 00:17:56.193]  You don't invest in humanitarian projects in sub-Saharan Africa, as Gaddafi was doing.
[00:17:56.413 --> 00:18:00.295]  There is, you mentioned, and there is a very strong racial element as well.
[00:18:00.795 --> 00:18:08.259]  Libya now is turning more into an Arab country, perhaps an Arab emirate, than an African country.
[00:18:08.659 --> 00:18:16.663]  Prejudice against blacks in Libya is enormous, even before, especially from people in the eastern part of Libya, in Syrenica.
[00:18:17.123 --> 00:18:21.785]  There's a report in The Independent today, my friend Patrick Colburn, one of the best reporters in the world.
[00:18:22.065 --> 00:18:28.928]  He talks exactly about racial prejudice from the rebels, let's put it this way, against blacks.
[00:18:29.348 --> 00:18:36.671]  And it doesn't matter if they have been living for 10, 15 years with a residence permit, legal job, you know, education.
[00:18:36.991 --> 00:18:37.632]  It doesn't matter.
[00:18:37.652 --> 00:18:43.174]  They see sub-Saharan black Africans in block as mercenaries.
[00:18:43.274 --> 00:18:44.975]  This is horrible, the repercussions.
[00:18:45.555 --> 00:18:46.716]  It can be horrendous.
[00:19:03.948 --> 00:19:05.269]  It's not even an issue here.
[00:19:26.809 --> 00:19:41.839]  It's true, but you know, at least it's, let's put it this way, it's a start when you have a Reuters story, or it's in one page twelve, be it whatever, New York Times or Washington Post, at least now they're talking about it because there were massacres on both sides.
[00:19:42.240 --> 00:19:49.945]  And now we have to talk about the fact that there have been massacres against black Africans, basically committed by people from Eastern Libya.
[00:19:50.205 --> 00:19:50.666]  Exactly.
[00:19:50.686 --> 00:19:55.791]  Qaddafi's people, it's been shown, are killing personnel that they had in prisons.
[00:19:55.831 --> 00:19:57.212]  And that's wrong and is a war crime.
[00:19:57.532 --> 00:20:01.636]  But just to go out and randomly have no proof and just kill people is incredible.
[00:20:01.896 --> 00:20:05.140]  Pepe Escobar, incredible information in closing from your
[00:20:05.660 --> 00:20:13.004]  Over a decade traveling around Central Asia, Middle East, covering this, being the first to break a lot of information that turns out to be very accurate.
[00:20:13.044 --> 00:20:19.768]  Later, from your sources and studying this, where is Libya going to end up in six months, a year?
[00:20:19.828 --> 00:20:31.395]  Because there's many tribes, they're all in reprisal attacks now, and the country that's been basically built up and industrialized, what's going to happen to this huge population?
[00:20:32.557 --> 00:20:47.624]  Look, looking at the facts on the ground and trying to extrapolate in a very realistic manner, we can say that there's a very strong possibility of two guerrilla wars in Libya within the next six months.
[00:20:48.264 --> 00:20:54.631]  One would be Qaddafi forces against a weak TNC-based government in Tripoli.
[00:20:55.052 --> 00:21:02.459]  To answer this question you must know how many tribes are actually supporting Libya and how many tribes Qaddafi can buy.
[00:21:03.140 --> 00:21:04.901]  Within the next few weeks or months.
[00:21:05.361 --> 00:21:30.869]  The second possibility is a guerrilla war by these Al-Qaeda linked guys, the Islamists, the LIFG people, against NATO, in case they are sidelined from power in Tripoli, and in case they start viewing pure blowback once again, that this is a foreign invasion and we're going to have NATO troops, or even if we have troops from the Emirates or from Qatar, they're going to be foreign troops, occupation troops.
[00:21:30.889 --> 00:21:32.370]  So you're talking about triple cross?
[00:21:33.373 --> 00:21:33.733]  I'm sorry?
[00:21:33.853 --> 00:21:44.396]  You're talking about a triple-cross, double-cross Qaddafi that tried to make deals seven years ago and come out of the cold and give up his WMDs, then bring in Al-Qaeda, double-cross them again.
[00:21:45.516 --> 00:21:46.636]  Yes, absolutely.
[00:21:47.376 --> 00:21:56.159]  So we're going to have a twin guerrilla war against a weak central government, against the NATO or Qatari Emirates occupation forces.
[00:21:56.679 --> 00:22:01.360]  We're going to have a tribal war because the tribes who rebelled against Qaddafi
[00:22:02.227 --> 00:22:15.574]  There are still very, very strong tribes that are behind him, including the Warfala tribe, which is the largest in Libya, almost one million people, and Gaddafi's wife, who just was spotted in Algeria yesterday, she belongs to the Warfala tribe.
[00:22:15.994 --> 00:22:21.437]  So, can you imagine a scenario of tribal civil guerrilla war at the same time in Libya?
[00:22:21.678 --> 00:22:24.459]  I'm not saying it's going to happen, but it's very possible.
[00:22:24.479 --> 00:22:25.780]  Let's talk again in six months.
[00:22:26.400 --> 00:22:26.980]  Absolutely.
[00:22:27.021 --> 00:22:29.922]  Well, thank you so much, Pepe Escobar, for joining us.
[00:22:30.203 --> 00:22:33.044]  I know you write for Asia Times and your book's out.
[00:22:33.465 --> 00:22:35.286]  Are there any sites people should visit to learn more?
[00:22:36.417 --> 00:22:49.783]  No, basically, I'll write for Al Jazeera as well, but you can imagine how difficult it is to write for Al Jazeera at the moment, when Qatar and Saudi Arabia are involved in a counter-revolution in the Persian Gulf, so it's very tricky.
[00:22:50.484 --> 00:22:59.608]  I bet, yeah, they've certainly been big time involved helping put in propaganda to lead to this in Libya, and I tell you,
[00:23:00.965 --> 00:23:18.491]  As this thing unravels and unfolds and this humanitarian crisis deepens, we have to all ask ourselves, this new model of globalization where they go in and fund rebels to go after the central government, then the West comes in and backs them, this is definitely a new form of dirty war.
[00:23:19.491 --> 00:23:21.872]  And we haven't even talked about NATO's role, Alex.
[00:23:22.032 --> 00:23:23.532]  We could go on forever on that as well.
[00:23:24.012 --> 00:23:26.053]  Briefly, one minute on NATO's role.
[00:23:27.242 --> 00:23:29.664]  Because NATO wants the Mediterranean as a NATO lake.
[00:23:29.944 --> 00:23:36.088]  This was approved last December in a summit in Lisbon, part of the guidelines of NATO until 2020.
[00:23:37.529 --> 00:23:40.951]  So Libya was out of the grid, just like Syria is.
[00:23:41.332 --> 00:23:47.056]  That's why a lot of people who know how NATO works are saying, sooner or later there's going to be a NATO intervention in Syria.
[00:23:47.416 --> 00:23:50.378]  Because Syria has a Russian naval base,
[00:23:50.778 --> 00:23:54.760]  And Syria is not part of NATO or not part of any partnership with NATO.
[00:23:54.960 --> 00:24:04.823]  NATO wants to control the Mediterranean for the West, more or less recolonize Northern Africa, especially now with Libya as a kind of NATO protectorate.
[00:24:05.463 --> 00:24:14.567]  And AFRICOM, which is the Pentagon's African command, finally is going to have a base in Africa, because for the moment they are in Stuttgart, Germany, because nobody in Africa wanted them.
[00:24:14.787 --> 00:24:16.247]  Now they can have their own base in Libya.
[00:24:16.747 --> 00:24:17.988]  So the circle is closed.
[00:24:18.988 --> 00:24:19.708]  Well, you're right.
[00:24:19.729 --> 00:24:26.713]  Again, over two years ago, we covered in the Obama deception that there would be invasions of North Africa because that was the Pentagon plan.
[00:24:27.514 --> 00:24:29.355]  I mean, they hide all of this in plain view.
[00:24:29.635 --> 00:24:33.698]  Now they've got all those modern military bases, airfields, water supplies.
[00:24:34.138 --> 00:24:42.003]  Look out, Africa, because they're going to start the CIA-funded coups and rebel forces are about to spill into all of the country.
[00:24:42.704 --> 00:24:45.506]  And now all of Africa is another globalist battlefield.
[00:24:45.526 --> 00:24:47.747]  Pepe Escobar, thank you so much for your amazing insights.
[00:24:47.767 --> 00:24:48.428]  Thank you, Alex.
[00:24:49.008 --> 00:24:49.608]  Great pleasure.
[00:24:49.628 --> 00:24:50.209]  Thanks very much.
[00:24:50.269 --> 00:24:51.330]  Great pleasure talking to you.
[00:24:52.070 --> 00:24:55.592]  Well, that was our extended interview with Pepe Escobar.
[00:24:55.852 --> 00:24:57.694]  We're going to go to break and come back with more.
[00:24:57.994 --> 00:24:59.535]  It's InfoWars Special Report.
[00:25:00.117 --> 00:25:04.138]  You don't need me to tell you that humanity is in a deep crisis.
[00:25:04.559 --> 00:25:05.759]  Everyone can feel it.
[00:25:06.039 --> 00:25:14.482]  We know a tectonic struggle is now taking place against the forces of freedom and those who love darkness, bondage, and enslavement.
[00:25:14.922 --> 00:25:18.083]  Yes, my friends, evil is rising.
[00:25:18.363 --> 00:25:19.224]  But take heart.
[00:25:19.424 --> 00:25:22.925]  For every action, there is an equal and opposite reaction.
[00:25:23.205 --> 00:25:28.187]  Recently, New World Order operative Hillary Clinton admitted they're losing the info war.
[00:25:28.607 --> 00:25:32.209]  We are in an information war, and we are losing that war.
[00:25:32.449 --> 00:25:33.830]  The globalists are scared.
[00:25:34.170 --> 00:25:35.190]  They've overreached.
[00:25:35.510 --> 00:25:38.652]  The future of the info war is in your hands.
[00:25:39.092 --> 00:25:41.073]  Join PrisonPlanet.tv.
[00:25:41.273 --> 00:25:47.276]  Download the thousands of special video reports, e-books, and more, and get them out to everyone you know.
[00:25:47.456 --> 00:25:50.878]  Continue to spread the word about the broadcast on YouTube, Facebook,
[00:25:51.038 --> 00:25:54.221]  Twitter and every other globalist propaganda platform.
[00:25:54.401 --> 00:25:56.523]  We are going to use their system against them.
[00:25:56.683 --> 00:25:59.506]  The InfoWar now goes into high gear.
[00:26:11.371 --> 00:26:19.155]  Anti-tyranny activist and reporter Luke Radowsky confronted the owner of the World Trade Center complex, Larry Silverstein.
[00:26:19.495 --> 00:26:24.938]  He questioned him in front of the corporate whore media about why he had ordered the demolition of Building 7.
[00:26:25.819 --> 00:26:30.081]  Then he confronted the media and asked them, why haven't you been asking these important questions?
[00:26:30.801 --> 00:26:32.942]  Again, this is not one of the Twin Towers.
[00:26:33.283 --> 00:26:34.943]  This is a building that fell just moments ago.
[00:26:34.963 --> 00:26:36.084]  It had been burning for hours.
[00:26:36.504 --> 00:26:37.745]  There's Building 7, 47 stories down to the ground.
[00:26:40.026 --> 00:26:43.368]  World Trade Center 7 has been the Achilles heel of the U.S.
[00:26:43.409 --> 00:26:45.650]  government's official fable about 9-11.
[00:26:46.191 --> 00:26:50.694]  How could a 47-story building collapse at free-fall speed into its own footprint?
[00:26:51.174 --> 00:26:57.759]  The government does not offer an explanation, as there is nothing relating to World Trade Center 7 in the 9-11 Commission Report.
[00:26:58.579 --> 00:27:06.145]  Larry Silverstein, owner of the towers, claims he gave the order to pull it, which is an industry term used by the explosive demolition industry.
[00:27:07.126 --> 00:27:08.987]  If this medicine does this part,
