[00:00:24.116 --> 00:00:25.017]  I'm Alex Jones.
[00:07:51.713 --> 00:07:56.736]  Not to serve the dark side, because they always burn their own minions.
[00:07:56.796 --> 00:08:00.178]  Now, let's turn a bit farther afield to Afghanistan.
[00:08:00.618 --> 00:08:04.881]  You've heard in the last two days there's rocket attacks, guerrilla attacks on the U.S.
[00:08:05.421 --> 00:08:08.803]  Embassy in Kabul, there in Afghanistan.
[00:08:09.483 --> 00:08:15.426]  And what's really happening is you've got tribes that have their own opium fields burned by U.S.
[00:08:15.446 --> 00:08:17.388]  forces, but then select
[00:08:19.008 --> 00:08:20.649]  Groups are allowed to grow their opium.
[00:08:20.669 --> 00:08:23.430]  That's why troops go in and say, are you part of our group?
[00:08:23.530 --> 00:08:26.051]  And if you're not, they burn your fields.
[00:08:26.571 --> 00:08:31.013]  And so basically it's a drug war over 500 billion a year in opium.
[00:08:31.033 --> 00:08:37.095]  92% of world opium production comes out of Afghanistan alone.
[00:08:37.775 --> 00:08:40.637]  Pre-invasion 10 years ago, only about 11%.
[00:08:42.924 --> 00:08:47.567]  So it's up, I don't know, nine, tenfold, close to that.
[00:08:47.587 --> 00:08:52.070]  And it's the same thing with Vietnam, opium production exploding into the U.S.
[00:08:52.090 --> 00:08:54.612]  These are wars over illegal drugs.
[00:08:54.632 --> 00:08:58.974]  You make them legal, you take the profit out, the situation ends overnight.
[00:08:59.235 --> 00:09:00.435]  And we've got a couple clips here.
[00:09:00.755 --> 00:09:06.739]  The first one is ABC News from a year ago, in case you're a new viewer and doubting us, whitewashing it.
[00:09:06.899 --> 00:09:07.160]  U.S.
[00:09:07.200 --> 00:09:11.823]  military is concerned, they don't like helping grow opium, protecting it, helping ship it out.
[00:09:12.623 --> 00:09:13.646]  And so they've spoken out.
[00:09:13.726 --> 00:09:18.275]  So the government's response is just throw it in everybody's face and go, okay, we're helping grow the opium.
[00:09:18.296 --> 00:09:19.338]  We're helping ship it out.
[00:09:20.099 --> 00:09:21.182]  Let's go ahead and move along.
[00:09:21.222 --> 00:09:22.384]  So here's that clip from ABC News.
[00:09:23.578 --> 00:09:30.164]  The Taliban finances much of its operations by selling opium, which is grown from poppies, which are right now being harvested.
[00:09:30.704 --> 00:09:31.585]  So, here's the question.
[00:09:31.645 --> 00:09:36.089]  Why are American troops now helping Afghan farmers grow that opium?
[00:09:36.349 --> 00:09:40.612]  In western Kandahar, poppy farmers score, till, harvest their crop.
[00:09:41.033 --> 00:09:43.195]  And the Americans do nothing to stop them.
[00:09:43.575 --> 00:09:45.096]  Can you show me which farming field is yours?
[00:09:45.116 --> 00:09:48.838]  Because if it isn't part of our crew, we're burning it.
[00:09:48.858 --> 00:09:49.619]  Don't make cut.
[00:09:49.639 --> 00:09:50.039]  Shut it down.
[00:09:59.085 --> 00:10:01.827]  And that's why soldiers ignore and encourage the farmers.
[00:10:02.227 --> 00:10:03.768]  Ignore and encourage!
[00:10:04.169 --> 00:10:05.089]  Farmers would blame the U.S.
[00:10:05.109 --> 00:10:08.052]  for their poverty and turn toward the Taliban.
[00:10:08.532 --> 00:10:15.037]  If we secure them having a good harvest, now they're going to get paid for all their hard work, and then we can deal with the trafficking afterwards.
[00:10:17.122 --> 00:10:19.243]  We can deal with the trafficking afterwards.
[00:10:19.283 --> 00:10:20.684]  The whole country's Taliban.
[00:10:21.024 --> 00:10:22.025]  It's a bunch of tribes.
[00:10:22.625 --> 00:10:23.886]  But they know Americans are dumb.
[00:10:24.066 --> 00:10:27.408]  It's like our media claims Al-Qaeda is based in Iran.
[00:10:27.588 --> 00:10:28.488]  Those are Shiites.
[00:10:28.809 --> 00:10:31.790]  They're arch enemies of the Saudi Arabian Wahhabist.
[00:10:33.511 --> 00:10:36.053]  But I don't know the soccer teams in Pakistan, do you?
[00:10:37.233 --> 00:10:39.615]  Just like we don't know who the players are over there.
[00:10:40.275 --> 00:10:42.957]  They just completely play us as idiots.
[00:10:43.297 --> 00:10:44.938]  But it got worse with Geraldo Rivera.
[00:10:44.958 --> 00:10:46.279]  You can watch the whole clip online.
[00:10:46.319 --> 00:10:49.101]  Just type in, Geraldo Rivera, U.S.
[00:10:49.141 --> 00:10:50.041]  government growing opium.
[00:10:50.301 --> 00:10:52.503]  They give him the fertilizer, security.
[00:10:54.130 --> 00:10:58.897]  And then load it on and fly it here and we'll deal with the trafficking when your dumb kid uses it.
[00:10:59.138 --> 00:11:02.503]  We'll throw them in a private prison owned by big banks that launder the drug money.
[00:11:02.823 --> 00:11:03.624]  Let's play that clip.
[00:11:04.586 --> 00:11:09.834]  These troops have confiscated 10,000 pounds of opium before the profit reached the Taliban.
[00:11:10.614 --> 00:11:14.138]  And in a sense, you're watching as this opium is being grown.
[00:11:14.178 --> 00:11:15.980]  I know it grinds at your gut.
[00:11:16.140 --> 00:11:16.680]  Oh yes, it grinds.
[00:11:16.720 --> 00:11:17.601]  How do you deal with it?
[00:11:17.761 --> 00:11:19.102]  What are you doing about it?
[00:11:19.183 --> 00:11:20.824]  Well, frankly, this is a part of their culture.
[00:11:21.164 --> 00:11:24.207]  So, while it might grind in my gut, it's what they do.
[00:11:25.228 --> 00:11:29.552]  We provide them security, we're providing them resources, and we're providing them alternatives.
[00:11:29.933 --> 00:11:30.053]  Oh!
[00:11:30.073 --> 00:11:31.134]  They're doing the good thing.
[00:11:31.214 --> 00:11:34.437]  Dave, Blayden, and Allison, back to you guys in New York.
[00:11:34.637 --> 00:11:37.861]  He just explains it better than we can ever read in any paper.
[00:11:37.901 --> 00:11:39.202]  What a dilemma it is.
[00:11:40.363 --> 00:11:42.986]  They make so much money off the opium per yard there.
[00:11:43.006 --> 00:11:45.068]  They make so much money compared to those other crops.
[00:11:45.088 --> 00:11:45.629]  This is the group thing.
[00:11:45.649 --> 00:11:46.850]  It sounds great in theory.
[00:11:46.870 --> 00:11:49.693]  And Geraldo says this predicament that these politicians have put these guys into.
[00:11:49.713 --> 00:11:50.454]  Oh, predicament!
[00:11:50.554 --> 00:11:54.418]  Tell them, hey, make a lot less money than the heroin you could be making with the poppy.
[00:11:54.498 --> 00:11:55.519]  And they can't destroy it.
[00:11:55.719 --> 00:11:55.940]  Right.
[00:11:58.248 --> 00:12:01.250]  Again, Pat Tillman wrote home about this, they had to kill him.
[00:12:01.650 --> 00:12:08.054]  Troops were calling me, we were covering it, but yeah, we guard it, we give them the fertilizer, it's loaded on C-130, shipped to America.
[00:12:08.614 --> 00:12:11.656]  So the system said, look, we'll just throw it in your face.
[00:12:13.097 --> 00:12:22.042]  I was listening to Bloomberg Radio this morning, and they were going, yeah, Europe's imploding, we're setting up a banking dictatorship, ha ha ha, but are Americans going to get concerned?
[00:12:22.062 --> 00:12:24.464]  And the host said, no, Americans are dumb.
[00:12:26.846 --> 00:12:32.069]  Most Americans don't have a passport and don't know where Europe is, and they began cackling like witches.
[00:12:33.070 --> 00:12:43.377]  By being ignorant, by thinking politics and the world doesn't matter, you become a willing dupe, a willing slave in this.
[00:12:43.777 --> 00:12:44.838]  You become a joke.
[00:12:45.799 --> 00:12:47.160]  And I know our viewers care.
[00:12:47.680 --> 00:12:49.561]  You're awake and informed, some of you more than I am.
[00:12:49.902 --> 00:12:52.964]  We've got to reach out to these sheeple, or none of us have any future.
[00:12:53.384 --> 00:13:12.616]  Speaking of somebody that stood up, LAPD detective who had witnessed narcotics trafficking, the CIA tried to recruit him, Mike Rupert, exposed the CIA back in the late 1990s and his work and Gary Webb's work and others led to a congressional investigation where on C-SPAN the CIA admitted, yeah, we ship cocaine into America.
[00:13:13.251 --> 00:13:20.022]  I will tell you, Director Deutsch, as a former Los Angeles police narcotics detective, that the agency has dealt drugs throughout this country for a long time.
[00:13:22.110 --> 00:13:29.092]  Director Deutsch, I will refer you to three specific agency operations known as Amadeus, Pegasus, and Watchtower.
[00:13:29.552 --> 00:13:32.973]  I have Watchtower documents heavily redacted by the agency.
[00:13:33.493 --> 00:13:44.176]  I was personally exposed to CIA operations and recruited by CIA personnel who attempted to recruit me in the late 70s to become involved in protecting agency drug operations in this country.
[00:13:44.736 --> 00:13:47.897]  I have been trying... Well, there's Mike Rupert!
[00:13:49.206 --> 00:13:58.348]  You know, the good news here is when good people stand up, we do start reversing this course, but we're talking about trillions of dollars a year total in keeping drugs illegal.
[00:13:59.189 --> 00:14:05.730]  It's time to decriminalize, it's time to treat it like a disease, and then if people do want to be addicts, they get it cheap, they don't break in your house.
[00:14:06.211 --> 00:14:11.592]  More than 70% of the Justice Department admits of crimes in this country are drug-related.
[00:14:13.493 --> 00:14:15.314]  It's time to decriminalize all of it.
[00:14:15.835 --> 00:14:17.796]  Treat it like the illness it is.
[00:14:18.777 --> 00:14:21.318]  That's not just the InfoWars Nightly News analysis.
[00:14:21.718 --> 00:14:23.039]  That's common sense.
[00:14:23.119 --> 00:14:33.967]  The bigger the drug war gets, the more drugs, the more crime, the more police state is on our streets, and now they're converting the police state over to the political commissar, political cops.
[00:14:34.647 --> 00:14:39.110]  Arresting people like we showed last night for speaking out on street corners and handing out flyers.
[00:14:39.670 --> 00:14:41.211]  This is the opposite of freedom.
[00:14:41.672 --> 00:14:43.213]  It is pure tyranny.
[00:14:44.316 --> 00:14:48.408]  Now, I want to get into slavery because that's what this is.
[00:14:48.508 --> 00:14:50.855]  We have four million Americans behind bars.
[00:14:52.034 --> 00:14:57.457]  More than 10 million people in any one year on probation paying all these fines and fees.
[00:14:58.178 --> 00:15:04.021]  We are a nation of slaves, but the entire world is going under globalist bondage.
[00:15:04.402 --> 00:15:06.603]  Not just debt slaves, but physical slaves.
[00:15:06.983 --> 00:15:14.608]  Not just sex slaves, but DynCorp and Halliburton, it's turned out, actually run slave factories where people live in basically dog cages.
[00:15:16.089 --> 00:15:17.390]  This is what we're talking about.
[00:15:18.110 --> 00:15:20.692]  And it has to be faced.
[00:15:22.682 --> 00:15:28.314]  Our reporter has filed a key analysis on this issue.
[00:15:28.735 --> 00:15:30.558]  Here's this report with John Bowne.
[00:15:32.011 --> 00:15:42.355]  Time Magazine reports, despite more than a dozen international conventions banning slavery in the past 150 years, there are more slaves today than at any point in human history.
[00:15:43.035 --> 00:15:54.520]  More than 500 mostly small-scale trafficking syndicates, Nigerian, Chinese, Indian, and Russian, among others, collude and corrupt police officials to enslave local victims.
[00:15:55.520 --> 00:16:01.023]  Obama has pledged to make the fight to abolish modern-day slavery a top foreign policy priority.
[00:16:02.063 --> 00:16:02.743]  But the U.S.
[00:16:02.863 --> 00:16:10.106]  currently spends more in a single day fighting drug trafficking than it does in an entire year fighting human trafficking.
[00:16:10.626 --> 00:16:11.587]  According to the U.S.
[00:16:11.627 --> 00:16:26.593]  Department of Health and Human Services, after drug dealing, human trafficking, both sex trafficking and trafficking for forced labor, is tied with the illegal arms industry as the second largest criminal industry in the world today.
[00:16:27.413 --> 00:16:29.334]  And it is the fastest growing.
[00:16:30.254 --> 00:16:38.156]  There are an estimated 600,000 to 800,000 children, women and men, trafficked across international borders annually.
[00:16:38.856 --> 00:16:45.957]  Approximately 80% of human trafficking victims are women and girls, and up to 50% are minors.
[00:16:46.958 --> 00:16:53.339]  The total market value of illicit human trafficking is estimated to be in the excess of $32 billion.
[00:16:54.739 --> 00:16:58.140]  Sex trafficking is an engine of the global AIDS epidemic.
[00:16:59.082 --> 00:17:03.247]  And of course, we can detach ourselves from these mind-numbing statistics.
[00:17:03.587 --> 00:17:15.941]  Simply turn on our TVs and escape to an illusion of celebrity lifestyles selling us their mythical realities as we all eat from the vicarious trough of slop we are fed by our masters.
[00:17:17.503 --> 00:17:18.565]  Our masters, you ask?
[00:17:20.040 --> 00:17:38.710]  In 2009, Foreign Policy Magazine ran an article entitled, The Next Big Thing, Neo-Medievalism, arguing that the power of nations is declining and being replaced by corporations, wealthy individuals, the sovereign wealth funds of monarchs, and city-state regions.
[00:17:40.154 --> 00:17:46.440]  At what point will we wake up sharing the same hardships as these slaves in third world countries?
[00:17:47.060 --> 00:17:49.362]  John Bowne, InfoWars Nightly News.
[00:17:49.843 --> 00:17:51.044]  Great job, John.
[00:17:51.064 --> 00:17:53.826]  Again, I've got to say something right here.
[00:17:54.387 --> 00:17:56.669]  My team is doing such a great job.
[00:17:57.149 --> 00:18:01.393]  I'm so proud of the work we're doing, the hard-hitting reports every night here.
[00:18:02.414 --> 00:18:05.716]  We couldn't have done this without PrisonPlanet.TV subscribers.
[00:18:06.598 --> 00:18:10.001]  And we're trying to add more and more audio and video formats.
[00:18:10.021 --> 00:18:12.422]  We're trying to get more and more information out.
[00:18:14.144 --> 00:18:18.667]  Quite frankly, this is a real gamble for me to go to this next level.
[00:18:19.087 --> 00:18:20.088]  It is a jump forward.
[00:18:20.668 --> 00:18:24.912]  That's why I need your support as PrisonPlanet.tv members more than ever.
[00:18:25.332 --> 00:18:27.293]  Please spread the word about this transmission.
[00:18:27.934 --> 00:18:30.256]  Please buy your friends and family memberships.
[00:18:30.836 --> 00:18:35.560]  You know, we've got it set where you can have six people sign in with the same username and passcode.
[00:18:36.417 --> 00:18:39.579]  So, tell your friends and family to tune in, to watch it, to try it out.
[00:18:39.599 --> 00:18:54.165]  We're going to start a new thing tomorrow where we're going to send yesterday's show out as a file to people that are members of the InfoWars insider free news email every Wednesday that's posted up at InfoWars.com.
[00:18:54.185 --> 00:18:55.866]  You can go there to sign up for it for free.
[00:18:56.426 --> 00:18:57.627]  I just want to reach people.
[00:18:57.747 --> 00:18:59.528]  I just want to fight these criminals.
[00:19:00.008 --> 00:19:00.969]  I just want to be free.
[00:19:01.889 --> 00:19:04.770]  And it's strange that that is seen as extremist nowadays.
[00:19:04.850 --> 00:19:10.313]  It's weird to want to be free and not want to be ruled by corrupt people.
[00:19:11.673 --> 00:19:14.574]  Now, one of the biggest things we face is the technocracy.
[00:19:15.415 --> 00:19:22.277]  And I want to go to this report filed by Rob Jacobson and Darren McBrain that deals with Facebook.
[00:19:22.878 --> 00:19:30.401]  You know, the head of Facebook, whenever his users found out that he was selling their personal data, called him a bunch of dumb effers.
[00:19:31.673 --> 00:19:33.456]  He's like, they trust us, these idiots.
[00:19:33.516 --> 00:19:36.801]  See, these parasites get off on using your trust.
[00:19:37.261 --> 00:19:39.405]  They get off on not having basic humanity.
[00:19:39.965 --> 00:19:41.608]  They're the people ruining our world.
[00:19:42.048 --> 00:19:45.313]  Google spying on people, being CIA funded.
[00:19:46.630 --> 00:19:47.410]  Twitter, all of them.
[00:19:47.710 --> 00:19:49.011]  And we're on all these systems.
[00:19:49.371 --> 00:19:50.711]  We use their system against them.
[00:19:51.071 --> 00:19:52.852]  But let's be honest about what they are.
[00:19:53.632 --> 00:19:56.653]  Anything the system promotes, you better bet, is parasitic.
[00:19:57.313 --> 00:20:00.934]  And we know they're tied in with CBS TV, with face scanning to make it popular.
[00:20:01.354 --> 00:20:06.256]  We know they're getting people to log in now by identifying old past friends from high school.
[00:20:06.676 --> 00:20:08.056]  This is super creepy.
[00:20:08.476 --> 00:20:10.657]  And it ties into this high-tech panoptagon.
[00:20:11.297 --> 00:20:16.019]  I think we've titled this piece Facebook Face Scanners of the New World Order.
[00:20:16.599 --> 00:20:30.283]  Then, at the end of the piece, we're going to break and coming back with an extended interview with Mike Adams on solar flares and the Pentagon even saying it could cause hundreds of nuclear meltdowns if not thousands.
[00:20:31.044 --> 00:20:34.925]  We're going to get into the Gardasil situation and so much more coming up.
[00:20:35.385 --> 00:20:37.468]  It's InfoWars Nightly News.
[00:20:37.608 --> 00:20:48.861]  If you believe in this information and want to help make it become even more effective, you support us and you buy war bonds in the InfoWars against tyrants by subscribing at PrisonPlanet.tv.
[00:20:49.241 --> 00:20:50.323]  Here is the report.
[00:20:50.754 --> 00:20:56.758]  Recently, as a reporter for InfoWars, I tried to log back into Facebook and it wouldn't let me.
[00:20:57.039 --> 00:21:04.344]  It wanted me to identify myself not with my passcode, but by showing me obscure pictures of my friends and family.
[00:21:04.844 --> 00:21:12.370]  I had the feeling that it had something to do with testing their face recognition technology, and then I saw this article in the Wall Street Journal.
[00:21:13.257 --> 00:21:24.906]  We know governments are quietly using face scanning cameras on street corners and in airports, and they have license plate scanners, but how are they going to get the public to openly accept a surveillance society?
[00:21:25.407 --> 00:21:35.595]  Well, Facebook recently teamed up with CBS to promote their new fall drama, Person of Interest, to condition people to opt-in to their face recognition program.
[00:21:35.935 --> 00:21:41.660]  They know who these people are and what their names are, and they want you to confirm it for them.
[00:21:41.900 --> 00:21:48.365]  Sure, the security measure confirms who I am, but it also confirms for them who my friends and family are.
[00:21:48.826 --> 00:21:52.509]  So I went out to the street to find out what people had to say about all this.
[00:21:52.809 --> 00:22:01.896]  I tried to log on from a different computer that I never used before, and Facebook prompted me to say, look, we want you to go through a series of face recognition.
[00:22:01.936 --> 00:22:05.339]  Yeah, the questions, and like showing you the pictures of your friends and stuff.
[00:22:07.961 --> 00:22:09.242]  Yeah, yeah.
[00:22:10.682 --> 00:22:16.445]  I guess it's just a privacy and like more of a protective measure because I know people's accounts get hacked a lot.
[00:22:16.945 --> 00:22:20.907]  So maybe they're trying to actually help us out by giving us a little quiz.
[00:22:20.927 --> 00:22:25.829]  I think I know what you're talking about where they show you pictures and it's like oh is this this person and you're supposed to confirm it.
[00:22:26.349 --> 00:22:28.430]  Yeah, I think that's really weird.
[00:22:28.871 --> 00:22:34.794]  I know it's used as a tool just to make it easier to tag people, but I've never heard of it being used to get you to, like, get back into your page.
[00:22:34.814 --> 00:22:42.678]  Do you feel comfortable with the fact that Facebook is data mining all your personal and private information, including, you know, your friends' and family's activities?
[00:22:43.939 --> 00:22:50.323]  I mean, I can't say that that's comfortable, but I think anything that you put up on the Internet is up for public scrutiny.
[00:22:50.523 --> 00:22:51.964]  I'm not comfortable with that at all.
[00:22:53.755 --> 00:23:00.383]  Although I know they're doing it and I wonder exactly what they're doing with all the information.
[00:23:00.403 --> 00:23:06.110]  The government agencies realize that it's a good way to pick up on things that they don't like or especially illicit activities.
[00:23:06.290 --> 00:23:10.836]  You should keep your settings on private and you should be careful with what you post on there.
[00:23:11.246 --> 00:23:15.289]  It's easier to monitor people on Facebook than it is to tap people's phones, I think, to a certain degree.
[00:23:15.349 --> 00:23:18.972]  Anything you put up on the public sphere, I think, is essentially public information.
[00:23:19.092 --> 00:23:28.119]  Just with the internet in general, we are getting more used to, like, our business being out there and just getting used to, I guess, our privacy diminishing a little bit.
[00:23:28.980 --> 00:23:32.062]  I'm just not gonna be very informative on Facebook anymore.
[00:23:32.082 --> 00:23:34.064]  Ugh, no.
[00:23:37.503 --> 00:23:45.165]  Some people are concerned that Facebook might be used to acclimate the public into accepting a surveillance society.
[00:23:45.525 --> 00:23:49.126]  I think it is getting us acclimated to a surveillance world.
[00:24:01.889 --> 00:24:05.170]  That sounds a bit 1984 and creepy.
[00:24:05.770 --> 00:24:13.372]  People are getting really used to sharing all kinds of information, putting everything about their entire life online.
[00:24:13.492 --> 00:24:18.953]  We're putting a lot of information in a public sphere and that information is accessible to anyone.
[00:24:19.173 --> 00:24:21.054]  I think it's definitely acclimating people.
[00:24:21.494 --> 00:24:28.976]  Who knows if that could be used for good to hold us to a higher standard or for something else.
[00:24:29.656 --> 00:24:31.076]  It's really about what we do with it.
[00:24:31.276 --> 00:24:36.677]  I personally love Facebook and it's just a way for me to keep in contact with my friends who live all over the world.
