[00:00:22.728 --> 00:00:25.810]  Welcome to tonight's InfoWars Nightly News broadcast.
[00:03:40.900 --> 00:03:54.810]  But they did get everyone out of the park, all their tents, belongings, and they brought in the sanitation workers who said we're going to disinfect the hell out of this place, calling it a safety hazard and so forth and so on, saying it was a haven for criminals.
[00:03:55.311 --> 00:04:02.035]  We have some of the video now from Luke Radowski of We Are Change's coverage of the ousting of the occupiers.
[00:04:02.055 --> 00:04:06.278]  All persons must temporarily leave the park.
[00:04:11.375 --> 00:04:12.456]  We're good to go!
[00:04:41.034 --> 00:04:46.677]  So they're pushing them out here, and then we have another clip where they're beating people in tents and pushing other people back.
[00:04:47.357 --> 00:04:51.159]  And we're going to show you coming up, too, where they have the sound cannons waiting and ready to go.
[00:04:53.760 --> 00:05:03.164]  And so you'll hear some of the protesters chanting, reciting the First Amendment, which certainly should apply even over these civil codes, but that's the very premise the police are using.
[00:05:04.915 --> 00:05:06.696]  This is a protest.
[00:05:06.757 --> 00:05:09.799]  This is a protest.
[00:05:09.839 --> 00:05:11.140]  This is a protest.
[00:05:11.180 --> 00:05:15.003]  This is a protest.
[00:05:15.063 --> 00:05:16.324]  This is a protest.
[00:05:16.384 --> 00:05:20.007]  This is a protest.
[00:05:20.027 --> 00:05:22.389]  This is a protest.
[00:05:30.492 --> 00:05:43.998]  And then, as if it wasn't enough to violate the First Amendment of the actual occupiers, we also have a clip of them pushing the various press members back, including Luke, who was repeatedly told he had to move further and further down the sidewalk and away from what was going on.
[00:05:44.018 --> 00:05:45.318]  Now, let's play that clip, too.
[00:05:45.338 --> 00:05:47.459]  You have to leave.
[00:05:47.479 --> 00:05:49.280]  You cannot block the roadway.
[00:05:49.320 --> 00:05:51.461]  You will be arrested.
[00:05:51.641 --> 00:05:53.402]  All day!
[00:05:54.102 --> 00:05:54.562]  All week!
[00:05:54.922 --> 00:05:56.103]  Occupy Wall Street!
[00:05:59.502 --> 00:06:00.522]  Occupy Wall Street!
[00:06:00.542 --> 00:06:00.902]  All day!
[00:06:00.922 --> 00:06:01.202]  All week!
[00:06:01.282 --> 00:06:02.223]  Occupy Wall Street!
[00:06:30.051 --> 00:06:33.995]  Yes, you can see here that this part of the crowd is almost all journalists.
[00:06:34.075 --> 00:06:35.756]  Everybody's got cameras clicking away.
[00:06:36.157 --> 00:06:38.319]  They're being pushed back by police also.
[00:06:38.859 --> 00:06:44.444]  Of course, all these people, regardless of what you may think of their views, are completely protected by the First Amendment.
[00:06:44.865 --> 00:06:48.548]  Except when they're not in a de facto clampdown from the New York police.
[00:06:48.928 --> 00:06:51.671]  But of course, it was not just isolated in New York.
[00:06:51.751 --> 00:06:52.712]  It happened everywhere.
[00:06:53.152 --> 00:06:54.774]  Among other places, Oakland.
[00:06:54.874 --> 00:06:59.298]  In fact, it happened in at least 18 cities where there were Occupy protests going on.
[00:06:59.779 --> 00:07:08.568]  And Washington's blog puts together how Homeland Security coordinated the 18-city police crackdown on Occupy protesters.
[00:07:09.128 --> 00:07:16.276]  And chief among that is the Oakland mayor, Gene Kwan, who admitted there was a coordination, there was a conference call
[00:07:16.836 --> 00:07:17.397]  We're good to go.
[00:07:41.237 --> 00:07:41.577]  Yeah, I think so.
[00:07:41.637 --> 00:07:53.844]  I mean, you know, a lot of people wanted to urge the removal and that they would, you know, use excuses like the criminal elements supposedly showing up, supposedly gang activity, the presence of homeless people just seeking food and all the rest of it.
[00:07:54.264 --> 00:07:57.425]  But what you really got here is a federal coordinated
[00:07:58.746 --> 00:08:20.995]  Quote, advised to seek a legal reason during these conference calls that focused on zoning laws and existing curfew rules to skirt the protection of the First Amendment, the first among the Bill of Rights, which were not to be violated for any reason instead of any reason you could think of, as you see here in this disgusting crackdown on Occupy protest.
[00:08:21.515 --> 00:08:22.935]  And it happened all at once.
[00:08:23.135 --> 00:08:27.257]  And it's just disgusting that Homeland Security has, in fact, been turned against the people
[00:08:27.657 --> 00:08:37.080]  They started off at the beginning of the Patriot Act with violating the Fourth Amendment and so forth and so on, down to the TSA searches, and now it's down to the First Amendment.
[00:08:38.200 --> 00:08:44.982]  I guess the Second Amendment's really all that's left, but I'm sure Homeland Security will find a way to come after that as well.
[00:08:45.522 --> 00:08:47.423]  And there's more articles confirming it.
[00:08:47.483 --> 00:08:48.783]  Wonkett reported on it.
[00:08:48.823 --> 00:08:49.903]  Surprise, surprise.
[00:08:49.943 --> 00:08:52.164]  Homeland Security coordinated the crackdown.
[00:08:53.004 --> 00:08:54.305]  You've got the Examiner.
[00:08:55.585 --> 00:09:05.812]  Who spoke to someone in the Justice Department who confirmed that indeed it was Homeland Security who coordinated these conference calls among the police chiefs and mayors of these various cities.
[00:09:06.312 --> 00:09:09.154]  So we'll look more into that as it continues to develop.
[00:09:09.554 --> 00:09:17.339]  In other Homeland Security and Department of Justice news, the Department of Justice is trying to make it a crime to quote lie on the internet.
[00:09:17.919 --> 00:09:37.276]  And here Kurt Nemo reports on how they plan to use the Computer Fraud and Abuse Act to possibly punish not only serious cybercrime or hacking incidences, but people who simply lie or provide false information, violating terms of service of third parties on the Internet.
[00:09:37.877 --> 00:09:40.960]  And they give the example in Digital Trends of
[00:09:41.721 --> 00:09:48.128]  Reporting a fake name on Facebook, lying about your weight on a dating site, or using Google if you're under the age of 18.
[00:09:49.770 --> 00:09:57.359]  So not only does this have the potential to criminalize ordinary behavior, it's also a ready-made excuse to crack down on political activity.
[00:09:57.879 --> 00:09:59.561]  Which we know irks the system.
[00:09:59.601 --> 00:10:03.745]  They've been trying to take on supposed conspiracy websites in numerous ways.
[00:10:04.486 --> 00:10:12.575]  We know the Department of Defense, among others, have been deployed to counter conspiracy theorists and take them on in the cyber world.
[00:10:12.915 --> 00:10:18.942]  We know people like Cass Sunstein have called for disruption and outright infiltration of conspiracy theorist groups.
[00:10:19.402 --> 00:10:23.326]  And now they just have another tool they can use to crack down on that or any other group.
[00:10:23.346 --> 00:10:24.207]  We're all at risk.
[00:10:24.647 --> 00:10:35.617]  It's definitely one of those hang-together, hang-separate situations as they really try to bring in new levels of tyranny as they try to shut down what was once the Wild West of the Internet.
[00:10:36.117 --> 00:10:43.264]  And it's going to become very corporate, and Alex has reported on all of that Internet 2.0 plan already, so we'll see what happens there.
[00:10:43.744 --> 00:10:56.348]  Now, we have more news coming up, but right now we have the first part of that exclusive interview with Immortal Technique, and he's really been someone who's been out there on the 9-11 issue, on a lot of other important issues.
[00:10:56.408 --> 00:11:02.390]  He was extremely critical of Bush during his years, and let's just see what he has to say now.
[00:11:02.410 --> 00:11:04.911]  Don't make you a hero.
[00:11:05.011 --> 00:11:06.251]  Roared to ground zero.
[00:11:06.311 --> 00:11:07.691]  The devil crept into heaven.
[00:11:07.972 --> 00:11:09.112]  God overslept on the 7th.
[00:11:09.192 --> 00:11:12.093]  The New World Order was born on September 11th.
[00:11:14.980 --> 00:11:17.661]  Of all the things that are happening, what tops the list right now?
[00:11:17.701 --> 00:11:23.144]  It's very difficult to pick just one thing that tops the list of things that are happening in the world now.
[00:11:23.444 --> 00:11:30.088]  I think an interesting thing to look at is America's foreign policy that really hasn't changed under Obama, as was promised.
[00:11:30.668 --> 00:11:39.613]  In fact, I think being that the Republicans in the 2012 race are focusing so much on the economy, it's kind of
[00:11:42.722 --> 00:11:42.982]  I think?
[00:11:59.230 --> 00:12:08.117]  Sort of push and pull between Republicans and Democrats for show about what they're going to do about the Wall Street situation.
[00:12:09.398 --> 00:12:16.084]  Occupy Wall Street has definitely had its impact on the process, but I think it's going to take a little bit more than just them.
[00:12:16.124 --> 00:12:22.529]  They're going to need to push through specific policy or to pressure individuals who are in power enough to make a decision.
[00:12:22.949 --> 00:12:27.273]  So I think between that internal struggle and the outward foreign policy issues,
[00:12:29.014 --> 00:12:33.218]  There's definitely plenty to worry about or concern yourself with if you look at the global field.
[00:12:34.359 --> 00:12:47.369]  I've been visiting as many occupiers as I possibly can on the road for this Martyr Tour and I think one of the things that's most striking to me is how even though they're trying to work more and more cohesively on
[00:12:49.599 --> 00:12:49.799]  I think so.
[00:13:04.927 --> 00:13:07.888]  That specific county or region which they should deal with.
[00:13:08.488 --> 00:13:11.569]  I think that's very important and I see them continuously doing that.
[00:13:11.649 --> 00:13:25.753]  Whether it's homelessness, drug abuse, things that may not be solely relegated to where they're from but that they have to deal with on a local level and not just a federal quote-unquote war on drugs blanket on everything.
[00:13:25.773 --> 00:13:27.554]  You know it's very personable.
[00:13:28.114 --> 00:13:31.435]  When people get help there they're getting from someone whose first name they know.
[00:13:32.492 --> 00:13:39.698]  When they're talking about these horrible issues of homelessness or homeless families, these are people that have also lost their home.
[00:13:40.218 --> 00:13:48.284]  They're talking to people who can identify with their struggle, not some government agency that's faceless and really lives in a dimension without compassion.
[00:13:49.145 --> 00:14:03.857]  Any group that poses a significant amount of collateral or can raise leverage against any government agency is going to try to be co-opted by just about anybody, whether it's far left or far right or what even designates that
[00:14:04.878 --> 00:14:30.019]  That title, you know, that's up for grabs too when it comes to these, because you may find factions of a group which are less inclined to be in line with the complete strategy, but say, okay, I've been working with this guys, whether it's a left-wing group or a right-wing group for 10, 20 years, I haven't seen the results I want, here's the raw power and energy of a very, very active and aggressive group of people that are
[00:14:30.640 --> 00:14:31.000]  I think so.
[00:14:51.673 --> 00:14:52.553]  We're good to go.
[00:15:10.539 --> 00:15:18.130]  And when I say educated, it just doesn't mean that they paid an overpriced bill for a piece of paper with their name on it.
[00:15:18.210 --> 00:15:26.982]  Some of them are individuals that have built an incredible reserve of knowledge about the Fed, you know, about the history of the Fed and when it started.
[00:15:27.603 --> 00:15:28.504]  How to get off of it.
[00:15:28.684 --> 00:15:31.486]  You know, people that have ideas about how to change the system.
[00:15:32.066 --> 00:15:33.827]  That I think, you know, bear mention.
[00:15:33.847 --> 00:15:37.170]  There should also be a conversation, I think, in private.
[00:15:37.330 --> 00:15:45.135]  Not all of the conversations that Republicans, Democrats, or even people who run this show or run any business have been completely in public.
[00:15:45.555 --> 00:15:49.498]  Sometimes for the integrity and for the protection of the individuals that work for it.
[00:15:49.958 --> 00:15:54.502]  Sometimes for the protection of the message so it doesn't become marginalized, sabotaged, or diluted.
[00:15:55.382 --> 00:15:56.943]  They do things behind closed doors.
[00:15:57.023 --> 00:16:01.387]  And I told the people from the very beginning that those type of actions were going to need to take place.
[00:16:01.767 --> 00:16:07.031]  Not in the vein of government secrecy to protect government.
[00:16:07.768 --> 00:16:12.390]  But rather to make sure that, you know, innocent people don't end up being victimized.
[00:16:13.110 --> 00:16:22.074]  I think it's important for people to realize that the only thing that this movement is really, really at its heart trying to do is make America a more honest country.
[00:16:22.414 --> 00:16:24.735]  Is make America a less corrupt country.
[00:16:25.315 --> 00:16:32.258]  You know, now of course there's always going to be some nut with a sign that says, you know, aliens are coming or repent, it's the last day.
[00:16:32.738 --> 00:16:36.760]  But at the end of the day, we know what the core message of the Occupy People is.
[00:16:37.160 --> 00:16:51.446]  So regardless of who has an issue with it or who has a problem with it, you know, you can reserve your commentary and your anger until the 2012 election when it really comes down to it, which we're right about at the doorstep of.
[00:16:53.308 --> 00:17:02.054]  Well, I mean, I'm not an economist, so I can't tell people how to balance their budget, or I can't come with a bunch of promises that I'm not capable of fulfilling.
[00:17:02.074 --> 00:17:11.921]  But I think what I can tell people is this, that in every situation where you have massive amounts of government corruption,
[00:17:13.399 --> 00:17:16.181]  You can't rely on the people who broke the system to fix it.
[00:17:16.201 --> 00:17:26.827]  You know, you can't rely on overpaid Congress who doesn't really see a problem other than the fact that their constituency is angry, not actually the suffering of the people.
[00:17:27.467 --> 00:17:31.810]  And I'm not going to speak for all of them, but for the vast majority that have done absolutely nothing.
[00:17:32.403 --> 00:17:38.611]  You know, it's funny that some of them want to blame the President as if they have some solution to the problem themselves.
[00:17:39.312 --> 00:17:42.897]  I'm not saying that the President's way is the most efficient or the right way.
[00:17:43.297 --> 00:17:47.983]  I'm just saying that they offer no other solution, even when we talk about any other topic.
[00:17:49.265 --> 00:17:49.945]  It's immigration.
[00:17:50.605 --> 00:17:52.007]  Deport 12 million people.
[00:17:52.067 --> 00:17:52.927]  That's not feasible.
[00:17:52.947 --> 00:17:53.908]  That's not possible.
[00:17:54.528 --> 00:17:55.909]  It's physically impossible.
[00:17:57.010 --> 00:17:58.891]  It would collapse the American economy.
[00:17:59.712 --> 00:18:07.518]  It plays into the idea that you don't understand the history of this country because not all European Americans came through Ellis Island.
[00:18:08.318 --> 00:18:12.542]  Not all of this country was gotten through a legal means.
[00:18:12.682 --> 00:18:20.289]  In fact, most of it was stolen land from Native American people that if you drive from Louisiana to Houston, you'll see they did absolutely nothing with.
[00:18:20.949 --> 00:18:22.851]  So what's the point of stealing it from a bunch of people?
[00:18:23.111 --> 00:18:25.974]  When I say stealing, I know that red-blooded Americans get angry.
[00:18:26.014 --> 00:18:28.716]  Some of them get even have a violent response to it.
[00:18:28.736 --> 00:18:30.137]  How could you say we stole anything?
[00:18:30.718 --> 00:18:32.579]  No one in this country has ever done anything wrong.
[00:18:33.300 --> 00:18:33.580]  Really?
[00:18:34.281 --> 00:18:35.802]  Because we use nice words for things.
[00:18:36.342 --> 00:18:42.687]  So when you say a pilgrim or a settler, you don't think of a land stealer, an invader, a robber, a thief.
[00:18:44.268 --> 00:18:44.509]  You know?
[00:18:44.529 --> 00:18:47.051]  I deprive the woman of her virginity.
[00:18:47.711 --> 00:18:48.712]  No, you're a rapist.
[00:18:48.992 --> 00:18:49.492]  That's what you are.
[00:18:50.686 --> 00:18:56.970]  So I think when we get rid of the mythology of America, then we begin to understand a clearer reaction to it.
[00:18:57.250 --> 00:19:01.113]  In terms of the Occupy Movement, I think that's something that's incredibly important.
[00:19:01.153 --> 00:19:07.958]  Going back to the very beginning of how all this started, and seeing the different reaction that people have towards the fiscal crisis.
[00:19:08.018 --> 00:19:15.443]  Some people say, oh, it's all these, you know, people who are living below their means, that tried to buy extra houses when they shouldn't have.
[00:19:15.463 --> 00:19:20.206]  Oh, okay, you mean the uneducated class of individuals that
[00:19:20.986 --> 00:19:33.855]  As they're referred to by, you know, people on Fox or whatever, that we place the blame solely on them, or the predatory lenders who know everything about business, who've been doing this to people for 30 or 40 years.
[00:19:34.155 --> 00:19:35.076]  Who's more to blame?
[00:19:35.516 --> 00:19:47.484]  You know, the sucker who walks in thinking, damn, I'm gonna be able to give my family a nicer home, and here's a guy who's explaining it to me, and it all sounds like it's gonna work out, when in reality, here's this snake oil salesman,
[00:19:48.385 --> 00:19:51.186]  Telling you that everything's gonna be great, and it's really not.
[00:19:51.887 --> 00:19:52.127]  You know?
[00:19:52.327 --> 00:19:56.869]  At some point, if America truly is the country it is, it has to confront people like that.
[00:19:57.189 --> 00:20:02.332]  And it has to make sure that it doesn't allow its citizenry to be taken advantage of in that way.
[00:20:07.910 --> 00:20:09.072]  And we're about to go to break.
[00:20:09.132 --> 00:20:13.337]  We'll have more with Immortal Technique coming up in the second half, as well as more news.
[00:20:13.698 --> 00:20:20.407]  But I wanted to first tell you about the PrisonPlanet.tv specials we have going on from now until Christmas.
[00:20:20.908 --> 00:20:21.829]  There's two different ones.
[00:20:22.089 --> 00:20:24.052]  One is an Alex Everything special.
[00:20:24.132 --> 00:20:25.434]  They're called the Info Warrior.
[00:20:25.774 --> 00:20:26.195]  We're good to go.
[00:20:44.654 --> 00:20:50.277]  Under this Patriot offer here for $39.95, 44% off of the normal price.
[00:20:50.717 --> 00:20:55.059]  And we always offer discounts, but never one this good, except during the Christmas special.
[00:20:55.419 --> 00:20:56.760]  So we hope you'll check that out.
[00:20:56.820 --> 00:21:00.001]  That is one of the main ways you help support this broadcast.
[00:21:00.361 --> 00:21:01.582]  And we're trying to reach more people.
[00:21:01.622 --> 00:21:09.806]  We're trying to bring you diverse voices, not even people we always agree with everything they say, but we are trying to undermine the mainstream corporate
[00:21:10.106 --> 00:21:10.608]  We're good to go.
[00:21:10.628 --> 00:21:10.768]  I think?
[00:21:21.724 --> 00:21:28.145]  If you believe in this information and want to support its viral spread, go to the InfoWars store at InfoWars.com.
[00:21:28.426 --> 00:21:29.306]  We've got the new G.I.
[00:21:29.346 --> 00:21:31.286]  Joe InfoWars t-shirts.
[00:21:31.666 --> 00:21:37.768]  We've got the incredible ProPure gravity-fed filters available at InfoWars.com in the store.
[00:21:38.328 --> 00:21:42.689]  We've got a new DVD, Sinus Under Attack, the Don't Tread on Me flag.
[00:21:43.389 --> 00:21:47.330]  We've got all sorts of different bumper stickers to help spread the rebellion virally.
[00:21:48.010 --> 00:21:48.651]  It's all there.
[00:21:48.751 --> 00:21:49.312]  Wristbands.
[00:21:49.412 --> 00:21:50.393]  Citizen rule books.
[00:21:50.773 --> 00:21:51.514]  In every order.
[00:21:51.974 --> 00:21:54.677]  Order online at InfoWars.com today.
[00:21:54.938 --> 00:21:55.758]  The water filters.
[00:21:55.799 --> 00:21:56.579]  The canteens.
[00:21:57.280 --> 00:21:57.961]  It's all there.
[00:21:58.361 --> 00:21:59.262]  InfoWars.com.
[00:22:06.058 --> 00:22:07.059]  We are back from break.
[00:22:07.099 --> 00:22:11.183]  I'm still Aaron Dyk sitting in on this InfoWars Nightly News transmission.
[00:22:11.564 --> 00:22:21.854]  Now in other news about how the Feds know best, we have Homeland Security's linked group now training citizens in Colorado that their best pal could be a terrorist.
[00:22:22.375 --> 00:22:26.999]  And it goes on to explain how there's a course in quote-unquote
[00:22:27.940 --> 00:22:47.197]  Uh, community awareness programming that is funded by this organization and they produced a video previously saying that buying gold is a suspicious activity and a number of other ordinary kinds of events and it's a woman named Diana Woodson and she's training people basically that, you know,
[00:22:48.178 --> 00:23:08.786]  Says here an ex-marine from Lakewood whose wife gives him the evil eye when he's sizing up potential threats at Denver Airport as a problem, as well as a scenario where a New Yorker refuses to ride on subways and spends as little time as possible in high-rise buildings, so setting this whole atmosphere of being paranoid wherever you are, and then it goes on
[00:23:10.467 --> 00:23:15.250]  To explain how this course teaches you that even your closest neighbor could be a terrorist.
[00:23:15.490 --> 00:23:18.092]  It's not going to be the person you think it's going to be, said Woodson.
[00:23:18.412 --> 00:23:20.073]  He's your best neighbor, your best pal.
[00:23:20.113 --> 00:23:21.774]  He doesn't always look like the bad guy.
[00:23:22.114 --> 00:23:23.775]  It could be someone unassuming.
[00:23:24.115 --> 00:23:28.818]  And that's a course called Counterterrorism Education Learning Lab, or CEL.
[00:23:28.838 --> 00:23:32.140]  A little term they throw around to make it sound tough.
[00:23:32.780 --> 00:23:44.231]  And I think we have here some clips from the previous video they produced on how buying gold is so evil, where they got John Elway, another talented NFL guy, to work for Homeland Security.
[00:23:44.750 --> 00:23:47.513]  I'm reminded of the morning of September 11th, 2001.
[00:23:48.413 --> 00:23:53.798]  I remember turning on the television and saying, how can this possibly be happening in the United States of America?
[00:23:54.298 --> 00:23:57.661]  Well, it's something that we're going to have to deal with the rest of our lives.
[00:23:58.322 --> 00:24:07.410]  The horrific events of September 11th and the Oklahoma City bombing have made it clear that terrorism is not only a very real threat abroad, but also right here at home.
[00:24:08.131 --> 00:24:11.594]  Anyone can become a victim of terrorism, anytime, anywhere.
[00:24:12.318 --> 00:24:18.424]  Some terrorists even gain employment to monitor day-to-day activities to gather detailed information about their target.
[00:24:19.005 --> 00:24:23.029]  Have you ever been on a bus or a light rail and noticed a bag that has been left unattended?
[00:24:23.629 --> 00:24:28.975]  This could be an example of a terrorist determining how long it takes for people or security to respond.
[00:24:29.915 --> 00:24:36.541]  Terrorists not only need to raise money, but they also need to transfer and spend it in a way that doesn't bring attention to themselves.
[00:24:37.101 --> 00:24:44.007]  There are many signs to watch out for, such as witnessing an unusually large transaction that's paid for with cash or gift cards.
[00:24:45.008 --> 00:24:51.193]  Any of these surveillance methods may be a sign that something isn't right, and you should report it to the kayak.
[00:24:53.112 --> 00:24:58.496]  It's important for all of us to realize when a terrorist incident occurs, it affects everyone.
[00:24:59.277 --> 00:25:06.142]  You can make a difference in helping stop an attack by being able to recognize the eight signs of terrorism and alert the authorities.
[00:25:06.982 --> 00:25:12.627]  If you or a family member sees any sort of suspicious activity, you shouldn't attempt to stop a suspect.
[00:25:13.067 --> 00:25:15.869]  Rather, report it immediately by calling 911 or the kayak.
[00:25:17.859 --> 00:25:24.764]  So there you have it, just more implication that if you're selling gold or talking to your neighbors or trying to sell something second-hand, that could be suspicious.
[00:25:25.184 --> 00:25:32.969]  This is all about supposedly training people to trust the federal government, Homeland Security, and not trusting the people you actually know.
[00:25:33.310 --> 00:25:36.892]  And notice how, too, it's not about Muslim terrorists infiltrating the country.
[00:25:37.292 --> 00:25:40.795]  It's about targeting, watching, surveilling, being paranoid of
[00:25:41.275 --> 00:25:41.595]  I don't know.
[00:25:57.262 --> 00:25:59.005]  The stranger is the federal government.
[00:25:59.045 --> 00:26:00.687]  The stranger is Homeland Security.
[00:26:00.727 --> 00:26:01.688]  You don't know those people.
[00:26:02.149 --> 00:26:07.917]  It's statistically known what kind of creeps fill up those agencies.
[00:26:07.997 --> 00:26:11.061]  Meanwhile, you need to count on your neighbors and the people you actually know.
[00:26:11.381 --> 00:26:13.204]  That's all we really have in this world.
[00:26:13.864 --> 00:26:23.834]  We also have the Special Ops commander who says the SEAL raid book is a lie because it goes against the just ridiculous official account of the killing of Bin Laden.
[00:26:23.874 --> 00:26:24.795]  It's just not true.
[00:26:24.815 --> 00:26:25.615]  A U.S.
[00:26:25.635 --> 00:26:30.340]  Special Operations Command spokesman, Colonel Tim Nye, said it's not how it happened.
[00:26:30.940 --> 00:26:52.207]  So even though they staged the Situation Room photo with Obama, Hillary and the other gaggle of people, even though they threw the body overseas without any, over into the ocean without any evidence, even though their own account was repeatedly debunked and witnesses on the ground said a lot of other things happened, this account can't be true either.
[00:26:52.367 --> 00:26:53.347]  It's really kind of a
[00:26:53.847 --> 00:26:55.648]  As this suggests, choose your own adventure.
[00:26:55.688 --> 00:27:06.816]  Choose the story you want to believe because no evidence has ever been put forward that Bin Laden had anything to do with 9-11 or really that he was even killed here in this special operation.
[00:27:06.856 --> 00:27:11.259]  You've seen SEAL Team 6 take a lot of losses without a lot of explanation.
[00:27:11.659 --> 00:27:19.384]  And here again from this far guy that they're saying not to trust is another account of the helicopter crashing during the raid.
[00:27:19.765 --> 00:27:22.787]  We got that again from witnesses on the ground in Pakistan.
[00:27:24.007 --> 00:27:24.988]  You choose what to believe.
[00:27:25.028 --> 00:27:26.368]  I'm sure it'll be the federal government.
[00:27:26.989 --> 00:27:30.570]  We also have a update on the Occupy protests.
[00:27:30.910 --> 00:27:39.134]  They have reclaimed, some of them anyway, their place in Zuccotti Park, and they're planning to have a larger protest tomorrow, Thursday.
[00:27:39.894 --> 00:27:44.037]  And they've also got a lot of lawyers backing them up, telling them that they do have a right to re-enter.
[00:27:44.377 --> 00:27:45.278]  We'll see what happens there.
[00:27:45.358 --> 00:27:47.899]  We do hope it remains peaceful on both sides.
[00:27:48.240 --> 00:28:03.109]  We know there could be provocateurs within the protest groups, and we know police, unfortunately, have a tendency to overreact sometimes, especially when they've been given orders to regard people as not really within their rights to simply protest under the First Amendment.
[00:28:03.830 --> 00:28:08.733]  We take you now to more from our exclusive Immortal Technique interview.
[00:28:09.073 --> 00:28:23.690]  There definitely are people that are fed up with how it is, so they're looking at alternative forms of media, whether it's this or any other.
[00:28:23.930 --> 00:28:27.394]  And at the same time, you have to realize, not every one source of media
[00:28:27.734 --> 00:28:28.554]  We're good to go.
[00:28:56.662 --> 00:29:02.366]  The ones that are appearing on cable television or the ones that appear even as satire like the Daily Show.
[00:29:03.066 --> 00:29:03.907]  What's the whole point of it?
[00:29:03.967 --> 00:29:06.329]  To ask questions that people aren't normally asking.
[00:29:06.669 --> 00:29:07.890]  What's the point of this program?
[00:29:08.130 --> 00:29:11.432]  To ask questions that you won't hear normally on mainstream media.
[00:29:11.752 --> 00:29:15.094]  Now are people going to criticize it and say that it's a conspiracy theory?
[00:29:15.495 --> 00:29:15.895]  Sure!
[00:29:16.015 --> 00:29:18.857]  Because they've never understood what a conspiracy really is.
[00:29:19.297 --> 00:29:19.577]  You know?
