[00:00:21.135 --> 00:00:22.336]  We're making history.
[00:04:10.518 --> 00:04:11.579]  Liberty's effective.
[00:04:13.081 --> 00:04:17.825]  And it's only when you bullies get out of control that good people go ahead and stand up and stomp your ass.
[00:04:18.165 --> 00:04:19.527]  I'm sorry, just thought I'd add that.
[00:04:22.045 --> 00:04:33.696]  But this whole VeriSign situation, and the internet kill switch, and the cyber security takeover system, that's only one small piece of the larger system.
[00:04:34.536 --> 00:04:47.908]  So that's what I want to talk about with you tonight, right now, is just a snapshot, and we'll do further pieces on this in the future, of what the cashless society means to our culture, and to our society.
[00:04:49.493 --> 00:05:06.646]  When everything is cashless, when everything is digital, it allows them to surveil what you're doing, track what you're doing, but also tax you and also increase prices on things that they know people absolutely want and are demanding.
[00:05:07.206 --> 00:05:10.029]  You know, you've seen Bank of America and now a bunch of other banks announce
[00:05:10.888 --> 00:05:13.430]  That they're going to start charging you for checking accounts.
[00:05:13.910 --> 00:05:16.892]  Just two years ago, over 75% were free checking accounts.
[00:05:17.372 --> 00:05:20.294]  Now it's 45% in 2011.
[00:05:20.894 --> 00:05:25.957]  Even though they're using your money, for every dollar you have in the bank, they can loan out 10 or more.
[00:05:26.718 --> 00:05:33.262]  The big bankers don't need that anymore because they've got the tens of trillions of your taxpayer bailout money that they're going to loan you in interest.
[00:05:33.282 --> 00:05:35.523]  They don't need your money in the bank anymore.
[00:05:35.543 --> 00:05:39.806]  That's why Bank of America, Wells Fargo and others are laying off customer service people.
[00:05:40.686 --> 00:05:41.367]  Service sector.
[00:05:42.607 --> 00:05:48.171]  They only use the crony capitalist free market system to destroy our society.
[00:05:48.751 --> 00:05:49.672]  Now they're done with that.
[00:05:49.712 --> 00:05:52.914]  They're moving on to the post-industrial phase right now.
[00:05:53.834 --> 00:06:03.621]  And we put together some montage of articles here where they're trying to force people on to automatic transfers, automatic payments of their paycheck.
[00:06:04.361 --> 00:06:14.635]  And again, as everything phases from cash being basically demonized and obsolete over to digital, over to cashless, now they can add all the fees for using a debit card, $5.
[00:06:15.016 --> 00:06:17.399]  Or add it for using a credit card, $5.
[00:06:17.759 --> 00:06:20.283]  Or add it for having a bank account.
[00:06:21.443 --> 00:06:28.745]  And this is a system where there's no underground market, there's no basic freedom, there's no anonymity or privacy.
[00:06:29.225 --> 00:06:34.167]  It's total and complete control over the whole society.
[00:06:34.867 --> 00:06:38.368]  And guess who is pushing the banker dream?
[00:06:39.248 --> 00:06:39.828]  Herman Cain.
[00:06:40.509 --> 00:06:41.089]  I learned
[00:06:42.318 --> 00:06:43.558]  We'll pause it right there for now.
[00:06:44.159 --> 00:06:58.143]  I learned 16 years ago that the Federal Reserve had a plan and was promoting through Federal Reserve pitchmen and economists to have a sales tax and a VAT on top of an income tax.
[00:06:59.738 --> 00:07:05.142]  And then they had Herman Cain, former head of the Federal Reserve, one of their spokesmen, out of Kansas City, promoted for years.
[00:07:06.203 --> 00:07:09.706]  And they had Neil Bortz promoted, but always promised, we'll get rid of the income tax too.
[00:07:10.146 --> 00:07:15.090]  Well, now they've admitted they're going to come in with two new taxes, VAT and sales tax.
[00:07:15.410 --> 00:07:20.614]  Same thing, the European Central Bank, owned by the same private bankers that our Federal Reserve is, are now bringing in.
[00:07:21.295 --> 00:07:23.937]  This is a pure austerity tax.
[00:07:25.848 --> 00:07:28.109]  paid directly to the bankers.
[00:07:28.870 --> 00:07:33.312]  Remember, they started the income tax in 1913 only for the top 1%.
[00:07:33.352 --> 00:07:36.634]  They used that 99 versus the 1% propaganda again.
[00:07:37.495 --> 00:07:41.357]  But then by World War II, it was an automatic withholding, but it was only a temporary war tax.
[00:07:41.617 --> 00:07:42.537]  But it wasn't temporary.
[00:07:42.998 --> 00:07:47.580]  And once they cut the income tax down to 9%, then they could jack it up later.
[00:07:47.800 --> 00:07:50.542]  They could jack up the VAT, they could jack up the sales tax.
[00:07:50.862 --> 00:07:51.663]  But more importantly,
[00:07:52.643 --> 00:07:56.946]  A federal surveillance over all manufacturing, all value-added.
[00:07:57.666 --> 00:07:59.247]  I mean, in England it's over 20% now.
[00:07:59.407 --> 00:08:00.208]  In Europe, same thing.
[00:08:02.309 --> 00:08:03.590]  There's one to raise it now in Europe.
[00:08:04.470 --> 00:08:07.732]  That gives full federal surveillance over every transaction.
[00:08:07.973 --> 00:08:09.454]  You think the IRS is bad now?
[00:08:09.814 --> 00:08:13.076]  Having to fill out forms once a week, all the loopholes and garbage?
[00:08:13.896 --> 00:08:16.398]  And then there's a sales tax over every transaction.
[00:08:16.438 --> 00:08:17.919]  They're saying the poor will be exempt.
[00:08:18.479 --> 00:08:21.641]  So, you've got to swipe a card when you buy, tracking what you did.
[00:08:21.661 --> 00:08:24.822]  I mean, can you imagine the nightmare of bureaucracy?
[00:08:25.102 --> 00:08:28.084]  How about we get rid of the income tax that we didn't have until 1913?
[00:08:28.444 --> 00:08:32.206]  We got the income tax a la the Federal Reserve the same year.
[00:08:32.946 --> 00:08:40.010]  And 100% of it, even Ronald Reagan's commission shows, goes to pay for the interest on the debt created by the Federal Reserve.
[00:08:40.210 --> 00:08:42.011]  And so, of course, a Federal Reserve spokesman
[00:08:42.841 --> 00:08:48.328]  He gets up there and makes a few conservative sounds and talks bad about Obama and says he hadn't lived the black experience.
[00:08:48.828 --> 00:08:51.652]  And Herman Cain is more of an authentic American black man than Obama.
[00:08:53.074 --> 00:08:53.814]  But the point is...
[00:08:55.526 --> 00:09:06.729]  That even though Herman Cain doesn't have a Ivy League mystique to him, he has a very charismatic, kind of black, good old boy mystique to him, kind of like a Ross Perot.
[00:09:07.429 --> 00:09:08.690]  He is no Ross Perot.
[00:09:09.010 --> 00:09:15.592]  He is the former head, not some junior member, of one of the most powerful branches of the private Federal Reserve.
[00:09:15.632 --> 00:09:19.693]  I mean, he is a made man in the private bankster cartel.
[00:09:20.453 --> 00:09:23.414]  And he's up there going, I've got a 999 plan for you.
[00:09:23.994 --> 00:09:34.656]  And he says in the debate tonight, I know I'll be attacked on my 999, but I'm going to go after Romney for his socialist health care plan that Obama used.
[00:09:34.956 --> 00:09:36.636]  The Federal Reserve endorsed that.
[00:09:36.837 --> 00:09:40.457]  They've endorsed the socialist Occupy Wall Street movement.
[00:09:41.097 --> 00:09:44.758]  They want to collectivize and get everybody under their control and siphon off most of the money.
[00:09:46.659 --> 00:09:47.819]  And so, think about it.
[00:09:49.028 --> 00:10:01.219]  Only some bamboozling fake conservative could come in and pose as a Ron Paul but actually work for the Federal Reserve and deliver them that new all-controlling tax over all human activity they want.
[00:10:01.719 --> 00:10:02.980]  Two new federal taxes?
[00:10:03.340 --> 00:10:05.802]  VAT and a sales tax?
[00:10:06.263 --> 00:10:09.025]  We had some other articles up there about how devastating the
[00:10:10.146 --> 00:10:12.328]  The VAT or a sales tax will be to this country.
[00:10:12.768 --> 00:10:13.929]  Look, we built this nation.
[00:10:13.949 --> 00:10:15.050]  I like what Ron Paul says.
[00:10:15.870 --> 00:10:28.699]  And meanwhile, you've got the other two Republican so-called frontrunners, people like Mitt Romney, promoting carbon taxes that are selectively enforced to shut down non-insider coal power plants.
[00:10:28.720 --> 00:10:29.580]  They're totally clean.
[00:10:30.601 --> 00:10:32.903]  In England, it's already massively increased their power.
[00:10:33.183 --> 00:10:33.923]  But they don't care.
[00:10:33.943 --> 00:10:38.647]  This is another tax paid directly to global corporations through government power.
[00:10:39.227 --> 00:10:47.249]  And America, if you elect Herman Cain or Barack Obama again, or Mitt Romney, or Rick Perry, you get what you deserve.
[00:10:48.029 --> 00:10:49.669]  The people perish for lack of knowledge.
[00:10:49.749 --> 00:10:51.389]  Ron Paul's got the constitutional record.
[00:10:51.790 --> 00:10:52.790]  He predicted all of this.
[00:10:53.090 --> 00:10:54.230]  He's anti-federal reserve.
[00:10:54.470 --> 00:11:03.772]  And if you want to elect a federal reserve, made, mafia Don, head of the four-state area, based around Kansas City, go ahead, slit your wrist.
[00:11:04.645 --> 00:11:06.506]  I know, you like to fail, you like to get conned.
[00:11:06.686 --> 00:11:07.066]  I got it.
[00:11:07.746 --> 00:11:08.126]  I got it.
[00:11:08.706 --> 00:11:09.506]  I got it, don't worry.
[00:11:10.226 --> 00:11:12.387]  We're going to continue to move forward to defeat the globalists.
[00:11:13.547 --> 00:11:30.592]  Now I want to get into Chris Harkonnen-Christie, the obese Baron Harkonnen, floating around, and his fellow corporate Malthusian guys that want to cut all the benefits but never cut the corporate welfare and the tens of trillions of banker bailout.
[00:11:31.412 --> 00:11:38.419]  Chris Christie has now endorsed Mitt Romney, who was praised by Al Gore for wanting carbon taxes and wrote the Obama plan.
[00:11:38.659 --> 00:11:40.420]  And again, conservatives, mainline ones, love it!
[00:11:41.277 --> 00:11:51.963]  I mean, they love being conned, they love being gang-raped, they love cashless societies, they love fluoride in their water, just like Obama idiots loved being conned by Obama and thought they'd get free cars and free houses from him.
[00:11:52.643 --> 00:11:58.586]  You've got Baron Harkin and Christie endorsing, I guess, Fahd Rabbani and Romney.
[00:11:58.987 --> 00:12:02.689]  A little silly Dune analogy, if you're not aware of it, you haven't read the novels.
[00:12:02.889 --> 00:12:04.830]  The movie's pretty stupid, but so what.
[00:12:05.230 --> 00:12:08.032]  The point is, there you go, you love it, you got it.
[00:12:09.033 --> 00:12:12.976]  Again, they've sent out multiple shills to keep you away from Ron Paul.
[00:12:13.656 --> 00:12:16.118]  And, oh, and Chris Christie Grady cut welfare.
[00:12:16.398 --> 00:12:17.138]  Not for the rich!
[00:12:17.959 --> 00:12:19.140]  I'm all for free market.
[00:12:19.180 --> 00:12:21.861]  Just, I'm tired of rich people getting my tax money.
[00:12:21.881 --> 00:12:22.822]  That's where most of it goes.
[00:12:22.862 --> 00:12:24.623]  It doesn't go to the poor welfare mom.
[00:12:25.023 --> 00:12:30.647]  She's just a ticking time bomb for the bankers that if she doesn't get her welfare check, you know, her family's going to burn down half the city.
[00:12:31.107 --> 00:12:32.628]  She works for the bankers and doesn't know it.
[00:12:33.108 --> 00:12:35.490]  I'd rather be free and not be on the plantation.
[00:12:35.550 --> 00:12:38.152]  But, again, fat ass, uh, excuse me.
[00:12:39.315 --> 00:12:43.317]  That piece of trash Christie and that piece of trash Romney, they got better plans for America.
[00:12:44.718 --> 00:12:47.739]  I know they want to gang rape you and you want it so, but it's not me, okay?
[00:12:47.759 --> 00:12:48.560]  It's the Republic.
[00:12:49.060 --> 00:12:51.241]  Just because you vote for tyranny doesn't mean I gotta go along with it.
[00:12:52.068 --> 00:12:53.089]  Okay, okay.
[00:12:53.129 --> 00:12:53.749]  Let's move on.
[00:12:53.769 --> 00:12:56.091]  Hank Williams got persecuted.
[00:12:56.811 --> 00:12:57.932]  Everybody's favorite hillbilly.
[00:12:58.613 --> 00:13:02.275]  He got persecuted for talking about Obama being a tyrant, the Republicans being evil.
[00:13:02.295 --> 00:13:03.336]  That's the real reason he got in trouble.
[00:13:03.376 --> 00:13:04.237]  He said he hates them all.
[00:13:04.257 --> 00:13:07.759]  He pointed out that 89% of Americans hate Congress, both parties.
[00:13:08.239 --> 00:13:10.761]  But he's come out with a very rebellious anti-New World Order.
[00:13:10.801 --> 00:13:11.682]  Don't tread on me.
[00:13:12.022 --> 00:13:13.023]  I'll keep my guns.
[00:13:13.043 --> 00:13:13.743]  That's the way it is.
[00:13:14.044 --> 00:13:14.724]  And that's what we need.
[00:13:14.764 --> 00:13:18.407]  I'm glad he didn't completely capitulate and bend over and apologize a hundred times.
[00:13:18.687 --> 00:13:19.868]  He came out and said, go to hell.
[00:13:19.888 --> 00:13:20.788]  You can keep the change.
[00:13:20.828 --> 00:13:21.569]  I'll keep my liberty.
[00:13:21.949 --> 00:13:23.193]  So we salute Hank Williams Jr.
[00:13:24.850 --> 00:13:33.817]  And continuing on along, moving on along here as they would say, I want to get to the Occupy Wall Street people.
[00:13:34.858 --> 00:13:41.343]  We have now confirmed in multiple videos in Matt Medina in San Antonio and Adam Kukesha in D.C., the Democrats have now taken it over.
[00:13:41.384 --> 00:13:42.805]  George Soros has now taken it over.
[00:13:43.105 --> 00:13:44.426]  No Ron Paul signs allowed.
[00:13:44.746 --> 00:13:47.548]  No filming of their public meetings out in the town square allowed.
[00:13:47.929 --> 00:13:51.372]  Even though they don't have the right to tell you no filming, they still come up and henpeck you until you shut up.
[00:13:51.852 --> 00:13:53.894]  They're men henpecking you, if you know what I mean.
[00:13:55.255 --> 00:13:57.016]  One guy looks like Pig Nose Freddy or something.
[00:13:57.856 --> 00:14:05.202]  And just all of this going on, just mindless idiots attacking capitalism, free market, when it's the global corporate board that wants to get rid of that.
[00:14:06.446 --> 00:14:08.148]  We have that report.
[00:14:08.488 --> 00:14:15.393]  Speaking of people that know what's going on, to explain this video you're about to see, I was at the In the Fed rally, that's still going on by the way.
[00:14:15.713 --> 00:14:20.257]  People are occupying it up in Dallas, so get out there today or tomorrow to support them.
[00:14:20.617 --> 00:14:21.858]  A few dozen are out there right now.
[00:14:22.579 --> 00:14:24.100]  And the cops were kind of laughing.
[00:14:24.160 --> 00:14:27.162]  They suddenly came up with barriers and put us in a cage, about 400 of us.
[00:14:27.563 --> 00:14:29.364]  So I came over and I said, you know, I'm leaving now.
[00:14:29.945 --> 00:14:35.189]  But I said, you know this Federal Reserve funded Hitler and they put fluoride in your water and cancer viruses and vaccines.
[00:14:35.589 --> 00:14:36.430]  The cops were laughing.
[00:14:36.470 --> 00:14:37.210]  I said, listen here.
[00:14:38.591 --> 00:14:39.311]  I'm not laughing.
[00:14:39.531 --> 00:14:43.294]  I said, cancer's tripled the last few decades, diabetes, all these things.
[00:14:43.934 --> 00:14:44.875]  I said, it's not funny.
[00:14:44.895 --> 00:14:45.515]  They were laughing.
[00:14:45.555 --> 00:14:50.458]  I said, when your wife or kids die or you die prematurely from this, remember I warned you.
[00:14:50.838 --> 00:14:56.521]  And the one cop went over and talked to the head cop and was very upset later.
[00:14:56.561 --> 00:14:57.502]  I didn't catch it on tape.
[00:14:57.522 --> 00:14:58.663]  I can't believe he said that to me.
[00:14:58.683 --> 00:15:01.805]  It was very extreme and I thought he was threatening my kids.
[00:15:02.165 --> 00:15:03.426]  No jackass
[00:15:04.306 --> 00:15:04.726]  Excuse me.
[00:15:05.407 --> 00:15:05.667]  No.
[00:15:06.028 --> 00:15:09.190]  I was trying to warn you, like, don't play in traffic.
[00:15:09.751 --> 00:15:10.592]  I'm your friend.
[00:15:11.192 --> 00:15:13.474]  And nothing frustrates me more than you not getting it.
[00:15:13.754 --> 00:15:19.359]  But as I'm talking to him, and we've got some iPhone video of it that's not that good, it'll cut to that.
[00:15:20.376 --> 00:15:24.060]  As I'm talking to him, this guy goes, yeah, like my son.
[00:15:24.120 --> 00:15:30.587]  I'm going, it's gone from one in, you know, uh, 25,000, 30 years ago to one in 58 has autism.
[00:15:31.228 --> 00:15:32.669]  I mean, you go to the movies now with your kids.
[00:15:32.729 --> 00:15:38.656]  It's like the whole three rows are kids that are just like autistic and been seriously hurt by this stuff.
[00:15:40.635 --> 00:15:43.997]  And he said, yeah, my son got damaged.
[00:15:44.017 --> 00:15:46.698]  And he told the story off record before he went to video.
[00:15:46.718 --> 00:15:47.578]  It was freaking me out.
[00:15:47.598 --> 00:15:53.521]  Not off record, but not on camera about, yeah, the two and a half year old running around talking, giggling, happy to give him that round of shots.
[00:15:53.581 --> 00:15:55.982]  Suddenly, you know, convulsions, you know, not being able to talk.
[00:15:57.643 --> 00:15:58.784]  Whatever, it happens to all the kids.
[00:16:00.529 --> 00:16:01.890]  I'm tired of it, you murderers.
[00:16:02.070 --> 00:16:06.713]  And I just want to warn you, cops, you're under attack just like us, even if you think you're part of the system.
[00:16:07.273 --> 00:16:09.495]  That's the final domino in this matrix to fall.
[00:16:09.835 --> 00:16:11.216]  You're under the same attack.
[00:16:11.256 --> 00:16:12.737]  And I'm sorry reality's scary.
[00:16:13.317 --> 00:16:14.798]  I told you the government was shipping drugs in.
[00:16:14.838 --> 00:16:18.520]  I told you the government was shipping guns into Mexico years ago, six years ago.
[00:16:18.740 --> 00:16:19.681]  It's now on mainstream news.
[00:16:19.961 --> 00:16:21.162]  I know what I'm talking about.
[00:16:22.014 --> 00:16:23.135]  I live in the real world.
[00:16:23.375 --> 00:16:24.776]  I'm here offering the red pill.
[00:16:25.497 --> 00:16:30.040]  Now, if you want to crawl up the hind end of the New World Order, because you think it's warm and safe there, go ahead.
[00:16:30.861 --> 00:16:32.102]  I should really make this a family show.
[00:16:32.122 --> 00:16:33.043]  We've got a lot of folks watching.
[00:16:33.883 --> 00:16:36.585]  It's just the time is short, and I don't have time to screw around anymore.
[00:16:37.206 --> 00:16:41.969]  And hearing this little kid and his dad talk about what happened to him.
[00:16:44.371 --> 00:16:48.154]  See, Pol Pot lined up people and shot them.
[00:16:48.174 --> 00:16:49.415]  They were educated and intelligent.
[00:16:49.655 --> 00:16:51.397]  The globalists just try to damage us all.
[00:16:52.435 --> 00:16:53.196]  They soft kill us.
[00:16:53.496 --> 00:16:54.276]  Let's go to the clip.
[00:16:55.597 --> 00:16:58.799]  Alright, we're here at In The Fed, October 7th, 2011.
[00:16:58.919 --> 00:17:00.921]  And we've been here about three hours.
[00:17:00.961 --> 00:17:02.362]  I was getting ready to go get on the bus.
[00:17:03.242 --> 00:17:05.544]  I was getting ready... In The Fed.
[00:17:05.884 --> 00:17:10.127]  I was getting ready to get on the bus and drive down to Houston where we are tomorrow and then San Antonio the next day.
[00:17:11.088 --> 00:17:14.210]  And I walked over to the police, some of which were smiling, but others which were laughing.
[00:17:14.990 --> 00:17:18.352]  And I said, listen, autism was 30 years ago 1 in 25,000.
[00:17:18.392 --> 00:17:18.653]  Now it's 1 in 58.
[00:17:21.636 --> 00:17:23.458]  Brain degenerative stuff is off the charts.
[00:17:23.478 --> 00:17:24.259]  Cancer's tripled.
[00:17:24.620 --> 00:17:26.162]  Diabetes has tripled in a decade.
[00:17:26.662 --> 00:17:29.946]  I've got all the government documents where they're killing us, and some of the cops were laughing.
[00:17:30.366 --> 00:17:33.090]  I was warning them about their families, because they're not going to listen now.
[00:17:34.211 --> 00:17:41.660]  But, as more and more people get sick in this soft kill system that the globalists have launched, people are going to wake up.
[00:17:48.408 --> 00:17:51.611]  Our life cycle is 20 years per generation.
[00:17:52.751 --> 00:18:01.658]  So remember, when your children die of cancer, sterile, and this poor child brain damaged by the shots, remember, remember, remember to wash your face.
[00:18:01.718 --> 00:18:03.440]  Remember this wasn't a joke.
[00:18:03.620 --> 00:18:08.383]  Remember when you're lowering your kid into the grave, or when your wife died at 35 of cancer.
[00:18:09.244 --> 00:18:09.964]  They did it.
[00:18:10.765 --> 00:18:11.986]  They did it all.
[00:18:12.026 --> 00:18:13.547]  You understand that?
[00:18:14.968 --> 00:18:15.489]  Hey, how you doing?
[00:18:15.509 --> 00:18:16.289]  God bless you, buddy.
[00:18:16.309 --> 00:18:16.890]  Hey, God bless you.
[00:18:17.728 --> 00:18:30.451]  An example is within three generations of guinea pigs and rats, with all the major GMO crops, there's almost complete sterilization and massive mental retardation in all mammal species fed three generations of major GMO crops.
[00:18:31.291 --> 00:18:32.432]  This is done on purpose.
[00:18:32.512 --> 00:18:35.635]  This is the globalists, the White House scientists already said they want to put stuff in the food.
[00:18:36.355 --> 00:18:45.322]  But the chemical bioweapon they've launched on little boys, I was over here telling the cops, warning them, because we're all in this together, and people that feel like they're part of the system don't understand.
[00:18:45.823 --> 00:18:48.565]  And it was kind of funny to some of them, others took it serious.
[00:18:48.965 --> 00:18:50.727]  And this gentleman said, no, right here, my son.
[00:18:51.347 --> 00:18:52.248]  Now, 1 in 25,000, 1 in 58.
[00:18:52.288 --> 00:18:52.749]  Cancer, tripled.
[00:18:56.513 --> 00:18:59.334]  They're killing us, and I've covered all the documents, all the plans.
[00:18:59.574 --> 00:19:00.774]  It's all declassified.
[00:19:01.054 --> 00:19:03.255]  But people can't face up what they're doing to us!
[00:19:03.715 --> 00:19:05.315]  HIV was created, everything.
[00:19:06.175 --> 00:19:08.936]  They learned, the Nazis just mowed people down with tanks.
[00:19:09.356 --> 00:19:10.837]  Now they put it in your food and your water.
[00:19:11.097 --> 00:19:12.357]  The fluoride, all of it.
[00:19:13.017 --> 00:19:13.837]  It is incredible.
[00:19:14.458 --> 00:19:15.958]  It is absolutely incredible.
[00:19:16.238 --> 00:19:21.659]  And so this gentleman came over and volunteered for he and his son, his son's autistic, to talk about what vaccines did.
[00:19:21.699 --> 00:19:22.840]  Sir, tell us your name and what happened to you.
[00:19:22.860 --> 00:19:23.200]  Here's the mic.
[00:19:23.780 --> 00:19:33.702]  My name is Jimmy Beckway, and several years ago, Shawn Michael here, my second son, who's 10 years old, he received a vaccine, and a little while later, he started exhibiting symptoms of autism.
[00:19:34.142 --> 00:19:42.444]  And according to the MD who's treating him alternatively, it was definitely the vaccines which caused this, and you can do research on the internet anywhere and find out about it, what all it's doing.
[00:19:42.824 --> 00:19:49.146]  Like Alex said, now one in every 58 children is autistic, there has to be something going on, and it is the vaccines.
[00:19:49.426 --> 00:19:53.527]  When I first had Evan diagnosed with autism, there wasn't much of anything.
[00:19:53.647 --> 00:19:58.908]  I had to find out about biomedical treatment on the internet after I typed in autism on Google.
[00:19:59.448 --> 00:20:06.930]  And out three years later now, there's three books and many thousands of children getting better because of biomedical treatment.
[00:20:07.090 --> 00:20:10.551]  Jane, one of those books... There's so much focus to this problem.
[00:20:11.152 --> 00:20:15.699]  And, uh, kind of that's why I'm here is I want to bring as much focus as we can to this problem.
[00:20:15.759 --> 00:20:19.505]  I will never give either one of my two children a vaccine again as long as I live.
[00:20:19.865 --> 00:20:22.590]  Even if it means my death, I will not give them a vaccine.
[00:20:26.863 --> 00:20:36.068]  Respectable, mainstream, professional, entirely intelligent people are now realising for themselves that this is affecting their families.
[00:20:36.128 --> 00:20:41.491]  You know, if autism doesn't affect you now then it certainly will in the future because the numbers are going up so quickly.
[00:20:42.111 --> 00:20:52.417]  So people are coming to the realisation in the saddest, most tragic possible way and that is a personal experience of the problem and it's just too big now to brush under the carpet.
[00:20:53.015 --> 00:20:54.456]  People ask why I'm not scared of you.
[00:20:54.936 --> 00:20:55.677]  How could I be?
[00:20:55.977 --> 00:20:58.339]  We're going to defeat you murderers and we know what you're doing.
[00:20:58.979 --> 00:21:02.322]  And you are going to be defeated and humanity is going to rise up and there's going to be a Nuremberg.
[00:21:02.602 --> 00:21:04.123]  And you're all going to pay for what you've done.
[00:21:04.323 --> 00:21:07.426]  You think it's cute what you've done?
[00:21:07.946 --> 00:21:10.048]  We see you and more of us see you every day.
[00:21:10.428 --> 00:21:13.410]  And vengeance and justice is coming for you Nazi murderers.
[00:21:13.690 --> 00:21:14.491]  You understand that?
[00:21:14.831 --> 00:21:16.012]  For all the killing you've done?
[00:21:16.352 --> 00:21:18.374]  You're going to pay for it and we know who you are.
