[00:00:23.697 --> 00:00:24.638]  Thank you for joining us.
[00:06:49.554 --> 00:06:51.836]  Yeah, I think carbon dioxide is definitely dangerous.
[00:06:51.916 --> 00:06:58.782]  Otherwise there wouldn't be any, like, rules and laws to prevent it being... What do plants breathe?
[00:07:00.343 --> 00:07:01.084]  Carbon dioxide.
[00:07:01.604 --> 00:07:04.006]  Carbon dioxide is turned into oxygen by plants.
[00:07:05.447 --> 00:07:05.908]  So, I mean...
[00:07:07.429 --> 00:07:09.151]  We're... I mean, it has to be in the world.
[00:07:09.211 --> 00:07:11.393]  Obviously, it's not all dangerous.
[00:07:12.094 --> 00:07:16.518]  Carbon dioxide isn't a dangerous gas, but when there's too much of it, it's a problem.
[00:07:16.959 --> 00:07:26.569]  Carbon dioxide, even though it's a natural gas consumed by plants, can be dangerous because, well, everyone says it has to do with global warming.
[00:07:26.989 --> 00:07:29.470]  Behind me is the Holly Street Power Plant.
[00:07:29.710 --> 00:07:34.371]  It was partially closed in 2004 and officially shut down in 2007.
[00:07:35.152 --> 00:07:38.633]  Now it's simply a reminder of Austin's energy independence.
[00:07:39.393 --> 00:07:46.716]  What do you think about the fact that General Electric, one of Obama's biggest donors, that they get a waiver and they will not be subject to the regulations?
[00:07:46.736 --> 00:07:48.576]  That sounds like politics and lobbyists' web work.
[00:07:48.956 --> 00:07:49.937]  I mean, it's government, right?
[00:07:50.797 --> 00:07:51.337]  No surprise.
[00:07:51.357 --> 00:07:51.737]  Sounds plausible.
[00:07:52.117 --> 00:07:52.838]  Yeah, it sounds plausible.
[00:07:52.858 --> 00:07:53.778]  There's no surprise about that.
[00:07:54.278 --> 00:07:56.420]  General Electric doesn't need any favors from anybody.
[00:07:56.440 --> 00:07:58.381]  They're a multi-billion dollar corporation.
[00:07:58.641 --> 00:08:06.287]  Are you aware that some of these new regulations are also shutting down power plants and this is causing some of the rolling blackouts throughout Texas?
[00:08:06.668 --> 00:08:08.089]  No, I wasn't familiar with that actually.
[00:08:08.109 --> 00:08:09.610]  I didn't realize that was going on.
[00:08:09.890 --> 00:08:12.192]  Lobbyists make a lot of money making striking these deals.
[00:08:12.752 --> 00:08:13.973]  There's a lot of things that we don't know.
[00:08:14.574 --> 00:08:19.157]  And how government, you know, the tax breaks, the incentives, loopholes, you name it.
[00:08:19.598 --> 00:08:21.159]  So I think it's just one more to add to the list.
[00:08:22.318 --> 00:08:30.063]  Well, as you can see, Alex, the people here in Austin, they're aware that their utility rates are going up, but they're not sure of the real cause.
[00:08:30.783 --> 00:08:33.645]  This is Darren McBrain with InfoWars Nightly News.
[00:08:34.465 --> 00:08:35.346]  All right, thank you, Darren.
[00:08:36.647 --> 00:08:37.067]  Wow!
[00:08:38.388 --> 00:08:39.829]  I mean, what do you say to that?
[00:08:40.469 --> 00:08:45.452]  We're going to do some other pieces here in Austin, where we're going to go out and say, should we ban dihydrogen monoxide?
[00:08:45.472 --> 00:08:46.713]  We've done them before, years ago.
[00:08:47.353 --> 00:08:50.095]  And over 90% of people say, yeah, ban it right now.
[00:08:51.553 --> 00:08:56.635]  And even after you tell them that dihydrogen monoxide is water, they still say ban it.
[00:08:57.416 --> 00:09:00.157]  If the government says it, it must be reasonable.
[00:09:00.917 --> 00:09:02.878]  Ladies and gentlemen, they've done ice core samples.
[00:09:02.898 --> 00:09:09.201]  In the last 200,000 years, we've had 14 times higher carbon dioxide than we have right now.
[00:09:09.241 --> 00:09:14.023]  The truth is, they've done studies, if carbon dioxide was doubled, the Sahara would be a jungle.
[00:09:15.922 --> 00:09:19.045]  We are in a carbon dioxide starve situation.
[00:09:19.766 --> 00:09:26.814]  And the globalists have chosen carbon dioxide, part of the life cycle, part of the carbon cycle, oxygen, carbon dioxide, sunlight and water.
[00:09:27.194 --> 00:09:28.315]  You got to have those four things.
[00:09:28.836 --> 00:09:30.458]  So they can tax breathing.
[00:09:30.538 --> 00:09:33.821]  I saw a New York Times article years ago saying, yes, we're going to tax breathing.
[00:09:33.841 --> 00:09:34.902]  You'll pay your money to Al Gore.
[00:09:34.942 --> 00:09:35.303]  It's good.
[00:09:37.014 --> 00:09:49.597]  I'm sorry, there's a lot of real environmental issues I'm concerned about, like Fukushima still melting down, belching radiation, or genetic engineering splicing spiders and goats, or my corn having pesticide put into it.
[00:09:50.058 --> 00:09:52.538]  I personally, I've had enough.
[00:09:53.519 --> 00:09:56.379]  Now, ladies and gentlemen, this special report is just getting started.
[00:09:56.399 --> 00:10:01.801]  We're going to come back from break and get into the latest on Obama's plunging poll numbers.
[00:10:03.413 --> 00:10:11.408]  Ron Paul's exploding poll numbers, and we'll talk to Ron Paul's former Chief of Staff, no other than Lou Rockwell, on the other side.
[00:10:11.849 --> 00:10:12.711]  Please stay with us.
[00:10:13.011 --> 00:10:13.793]  It's InfoWars.
[00:10:13.913 --> 00:10:14.534]  Special Report.
[00:10:15.216 --> 00:10:19.257]  You don't need me to tell you that humanity is in a deep crisis.
[00:10:19.658 --> 00:10:20.878]  Everyone can feel it.
[00:10:21.158 --> 00:10:29.601]  We know a tectonic struggle is now taking place against the forces of freedom and those who love darkness, bondage, and enslavement.
[00:10:30.041 --> 00:10:33.202]  Yes, my friends, evil is rising.
[00:10:33.482 --> 00:10:34.343]  But take heart.
[00:10:34.543 --> 00:10:38.024]  For every action, there is an equal and opposite reaction.
[00:10:38.324 --> 00:10:43.306]  Recently, New World Order operative Hillary Clinton admitted they're losing the info war.
[00:10:43.726 --> 00:10:47.308]  We are in an information war, and we are losing that war.
[00:10:47.569 --> 00:10:48.970]  The globalists are scared.
[00:10:49.290 --> 00:10:50.290]  They've overreached.
[00:10:50.631 --> 00:10:53.753]  The future of the info war is in your hands.
[00:10:54.213 --> 00:10:56.174]  Join PrisonPlanet.tv.
[00:10:56.375 --> 00:11:02.359]  Download the thousands of special video reports, e-books, and more, and get them out to everyone you know.
[00:11:02.559 --> 00:11:06.001]  Continue to spread the word about the broadcast on YouTube, Facebook,
[00:11:06.161 --> 00:11:09.366]  Twitter and every other globalist propaganda platform.
[00:11:09.506 --> 00:11:11.629]  We are going to use their system against them.
[00:11:11.789 --> 00:11:14.613]  The InfoWar now goes into high gear.
[00:11:25.560 --> 00:11:38.450]  Coming up, we're going to be looking at the latest developments in North Africa, Libya, Tripoli, Gaddafi's latest defiant threats against the West, and the fact that our new ally is Al-Qaeda.
[00:11:39.251 --> 00:11:42.273]  But first, I wanted to talk about President Obama.
[00:11:42.913 --> 00:11:51.660]  President Obama was sold as this outsider, a guy that was going to get the job done, end the war, stop the torture, and deal with those pesky central bankers.
[00:11:51.740 --> 00:11:53.161]  Well, since he's gotten in,
[00:11:54.639 --> 00:11:57.360]  I've learned that lo and behold he works for who?
[00:11:57.800 --> 00:11:58.640]  Financing!
[00:11:59.000 --> 00:12:01.301]  Goldman Sachs, JP Morgan, Bank of America.
[00:12:01.781 --> 00:12:03.262]  He's their man.
[00:12:03.862 --> 00:12:05.462]  And the American people have woken up to him.
[00:12:06.043 --> 00:12:11.264]  He now has the lowest approval rating of any president two and a half years into their first term.
[00:12:12.104 --> 00:12:13.365]  So what is the system doing?
[00:12:13.945 --> 00:12:19.547]  Well, they've got Rick Perry coming out saying he wants to get rid of the Fed and trying to sound like Ron Paul.
[00:12:20.247 --> 00:12:28.531]  But if you look at the different Gallup polls that are out there, it is Ron Paul that trails Obama if the election was held today, the 2012 election,
[00:12:29.591 --> 00:12:30.251]  It was held today.
[00:12:30.652 --> 00:12:33.133]  Ron Paul is only one point behind him.
[00:12:33.213 --> 00:12:38.115]  Ron Paul does the best with Democrats, progressives and others.
[00:12:38.636 --> 00:12:41.697]  And Perry is trailing Obama by three points.
[00:12:41.797 --> 00:12:45.459]  So this new world order puppet, Barack Obama,
[00:12:45.799 --> 00:12:46.059]  I think so.
[00:13:03.867 --> 00:13:18.018]  On all things Ron Paul and how America can get behind this true constitutionalist is the editor-in-chief of LewRockwell.com, none other than Lew Rockwell, who also of course served as Ron Paul's chief of staff.
[00:13:18.078 --> 00:13:24.743]  So, it doesn't get any better than Ron Paul, but if there has to be a second brightest spot in the universe, it's Lew Rockwell.
[00:13:25.023 --> 00:13:26.484]  Lew, thank you for joining us tonight.
[00:13:27.105 --> 00:13:28.066]  Alex, great to be with you.
[00:13:29.372 --> 00:13:31.573]  So much is happening out of the gates.
[00:13:32.513 --> 00:13:33.593]  Can Ron Paul win?
[00:13:34.453 --> 00:13:35.474]  Yeah, Ron Paul can win.
[00:13:35.934 --> 00:13:47.977]  And in fact, the fear that the media is exhibiting by first trying to put the blackout on him, then of course demonizing him and then blacking him out, shows that they are very afraid.
[00:13:48.390 --> 00:13:52.396]  He's talking about issues that are resonating with the American people as never before.
[00:13:52.836 --> 00:14:01.809]  Issues that threaten the establishment, everything from the Pentagon to the CIA to the Federal Reserve to the bankocracy and all the rest of the power elite in Washington.
[00:14:01.829 --> 00:14:03.231]  They're being threatened.
[00:14:03.591 --> 00:14:04.172]  They're worried.
[00:14:04.728 --> 00:14:16.394]  And they wouldn't be paying, you know, they wouldn't be saying anything about Ron Paul, Rush Limbaugh, Hannity, Bill O'Reilly, all the rest of these people, would not be denouncing him if he didn't threaten the apparatus that they're part of.
[00:14:16.894 --> 00:14:31.421]  So, he can win, and as you say, he's moving up in the polls, he's moving up slowly, but he's moving up organically, he's getting more and more people, young people especially, but people of all ages, in all different states, not only in this country, but around the world,
[00:14:31.840 --> 00:14:36.562]  People are Ron Paulians in every country, so this is an international movement.
[00:14:37.422 --> 00:14:42.944]  It bodes so well for the American future, as we face, of course, terrible economic and other kinds of troubles.
[00:14:43.364 --> 00:14:46.725]  But this is the bright spot in America today, is the Ron Paul movement.
[00:14:47.475 --> 00:14:52.978]  And of course, I was being somewhat sarcastic and devil's advocate when I said, can he win?
[00:14:53.538 --> 00:14:56.060]  I mean, in every poll, he's in the top three candidates.
[00:14:56.080 --> 00:15:00.082]  New Gallup poll out today shows him in third place.
[00:15:00.102 --> 00:15:01.843]  Some have shown him in second place.
[00:15:02.003 --> 00:15:03.544]  Others in first place.
[00:15:03.684 --> 00:15:06.946]  And it's this mantra of telling the public he can't win.
[00:15:07.566 --> 00:15:10.748]  I'm sure you saw that Pure Research piece that Pew put out.
[00:15:11.568 --> 00:15:20.811]  Last week, showing that indeed, Ron Paul has gotten less coverage than any other candidate, and most of the coverage has been negative.
[00:15:20.831 --> 00:15:22.432]  Well, that right there is an endorsement.
[00:15:22.792 --> 00:15:29.775]  If Limbaugh's saying he'll destroy the Republican Party, I saw what you wrote, well, you know, good if it destroys the official Republican Party.
[00:15:30.035 --> 00:15:30.835]  Yeah, that'd be good news.
[00:15:31.435 --> 00:15:36.419]  Yeah, so that's the proof right there that the whole establishment is coming after him.
[00:15:36.439 --> 00:15:41.442]  I mean, that's the proof right there that he's the man for the job, not just his long record of being a constitutionalist.
[00:15:41.962 --> 00:15:43.684]  Well, as we know, George H.W.
[00:15:43.724 --> 00:15:46.245]  Bush refers to Rush Limbaugh as our boy.
[00:15:46.726 --> 00:15:53.670]  And indeed he is, you know, he is part of that, the Bush establishment, country club, Republican apparatus.
[00:15:54.671 --> 00:16:00.455]  But the more that people get to know Ron, I believe, by the way, the media stuff is backfiring on them.
[00:16:00.851 --> 00:16:06.818]  Because people who are paying attention realize just how unfair this is, and they want to know, well, why is he being targeted?
[00:16:07.159 --> 00:16:17.531]  So once they look at Ron, once they see his YouTubes, of course, where they saw him in person, when they read his articles, read his books, this is the most learned guy running for president
[00:16:18.180 --> 00:16:19.681]  In a very, very long time.
[00:16:19.701 --> 00:16:21.101]  Maybe we have to go back to Jefferson.
[00:16:21.381 --> 00:16:22.422]  I mean, he's so well-read.
[00:16:22.442 --> 00:16:23.582]  He understands economics.
[00:16:23.622 --> 00:16:24.662]  He understands history.
[00:16:25.062 --> 00:16:27.323]  He understands everything about what's going on in this country.
[00:16:27.583 --> 00:16:32.825]  He's so much smarter than Rick Perry, Bachmann, Romney, the rest of these guys.
[00:16:33.105 --> 00:16:35.266]  He just is intellectually head and shoulders above them.
[00:16:35.286 --> 00:16:36.767]  Of course, in character, too.
[00:16:37.247 --> 00:16:39.848]  And as people get to know him, they flock to him.
[00:16:40.288 --> 00:16:43.329]  So, it's quite an extraordinary moment in American history.
[00:16:43.929 --> 00:16:50.839]  And I think it's why we have to be fundamentally optimistic because so many young people have just had it with the system.
[00:16:51.200 --> 00:16:52.442]  They know there's a problem.
[00:16:53.223 --> 00:16:58.691]  I just saw a wonderful YouTube put together by some kids last night where it's people all over the country
[00:16:59.249 --> 00:17:01.311]  Saying, you know, we know there's a problem.
[00:17:01.351 --> 00:17:03.272]  We don't believe what the government is saying.
[00:17:03.292 --> 00:17:04.914]  We don't believe what the media is saying.
[00:17:05.354 --> 00:17:07.196]  Only Ron Paul is telling us the truth.
[00:17:07.736 --> 00:17:09.678]  And so, you know, we need to change.
[00:17:09.718 --> 00:17:10.478]  We need some hope.
[00:17:10.819 --> 00:17:12.020]  Not like Obama.
[00:17:12.580 --> 00:17:17.384]  We don't need any more bankocracy, the two-party bankocracy of the Democrats and the Republicans.
[00:17:17.644 --> 00:17:18.585]  We need something different.
[00:17:19.026 --> 00:17:26.392]  So Ron Paul is, again, he's scaring the pants off the establishment, and that's very good news.
[00:17:27.281 --> 00:17:51.349]  Well I agree with you and just about a week ago the Daily Show came out and really pointed out that there was a open campaign to ignore Ron Paul or they were forced to cover him say well he can't win and since the dam is broken on the attempt to cover up Ron Paul and since it backfired I now see them shifting gears and
[00:17:52.689 --> 00:17:55.192]  I fear that we're going to see Aqua Buddha attempts.
[00:17:55.652 --> 00:17:59.255]  We're going to hear that Ron Paul assassinated Lincoln.
[00:17:59.756 --> 00:18:02.499]  We're going to hear that he blew up the Lusitania that he started.
[00:18:03.039 --> 00:18:05.742]  Well, that he crucified Christ.
[00:18:05.802 --> 00:18:08.644]  But I saw that again backfire when they tried it on Rand.
[00:18:09.065 --> 00:18:14.590]  What's your political instinct, Lew, on the next way they're going to try to go after Ron Paul?
[00:18:14.650 --> 00:18:16.232]  And will it be effective?
[00:18:17.220 --> 00:18:18.201]  I don't think it'll be effective.
[00:18:18.221 --> 00:18:23.863]  Of course, it's the old Gandhi line about, you know, first they ignore you, then they attack you, then you win.
[00:18:24.424 --> 00:18:37.650]  So it's a, this is just going along with what they usually do, but as we know from polls, as we know from everybody that we talk to ourselves, and you're especially in touch with so many people, nobody trusts the mainstream media.
[00:18:38.420 --> 00:18:39.501]  Nobody believes them.
[00:18:40.561 --> 00:18:49.705]  The new media, like the Alex Jones Show, people have trust in, but nobody trusts NBC, CBS, ABC, Fox, and the rest of these, at least not most Americans don't.
[00:18:50.145 --> 00:18:54.607]  So when they see these people going after somebody, it makes them ask, what's right about him?
[00:18:55.167 --> 00:19:07.652]  So again, all you have to do is direct people to Ron, to his YouTubes, his writings, his website, and the website's about him, and people love him, and they have hope.
[00:19:08.570 --> 00:19:13.756]  And they no longer feel, not that Ron is giving us any soft soap.
[00:19:14.056 --> 00:19:19.603]  We know we've got serious economic troubles, very serious economic troubles and other sorts of troubles ahead.
[00:19:20.023 --> 00:19:23.407]  But as Ron explains to us, we can have a way out of it.
[00:19:23.687 --> 00:19:24.949]  There is a way out of it.
[00:19:25.229 --> 00:19:26.710]  We don't have to have this forever.
[00:19:26.750 --> 00:19:35.734]  There is a path to economic growth, to prosperity, to human flourishing, against all the people who, of course, are against human flourishing.
[00:19:35.754 --> 00:19:41.456]  The warmongers, the money counterfeiters, the bankers, and all the rest of the power elite.
[00:19:41.976 --> 00:19:45.338]  So, they're going to smear him.
[00:19:45.358 --> 00:19:46.619]  They're going to libel him.
[00:19:46.639 --> 00:19:48.259]  They're going to toss mud at him.
[00:19:48.739 --> 00:19:52.201]  But, you know, they talked about Reagan being the Teflon candidate.
[00:19:52.628 --> 00:19:58.292]  Actually, Ron Paul's a Teflon candidate, not because the stuff just doesn't stick to him.
[00:19:58.692 --> 00:20:11.320]  And it's because when people look at him, I remember in a previous congressional election where his opponent said he's against the drug war, he wants heroin dispensaries at the public schools, at the elementary schools, so the kids can take heroin.
[00:20:11.781 --> 00:20:14.622]  Well, of course, nobody believes that stuff.
[00:20:15.063 --> 00:20:19.225]  They look at Ron Paul, they listen to him, they get a sense of the kind of man he is.
[00:20:19.266 --> 00:20:21.367]  Now, you don't get that from any kind of politician.
[00:20:22.147 --> 00:20:25.049]  A regular politician, maybe you just think he's a slippery guy.
[00:20:25.549 --> 00:20:34.694]  People listen to Ron Paul and they think, well, you know, this is a wise man, this is a man who knows, this is a man who's brilliant, and who's actually got hope for the future.
[00:20:35.934 --> 00:20:39.096]  So I think the campaign is not going to work.
[00:20:39.196 --> 00:20:42.297]  Again, it's going to backfire, just like the blackout backfired.
[00:20:42.718 --> 00:20:47.400]  More and more Americans, you know, the more they examine Bachmann,
[00:20:47.768 --> 00:20:54.350]  Or Perry, or Romney, or Chris Christie, or Palin, or any of those other people they're talking about, let alone Jeb Bush.
[00:20:54.690 --> 00:20:57.030]  I mean, the other people they're talking about maybe getting in the race.
[00:20:57.271 --> 00:20:58.211]  They're all pygmies.
[00:20:58.711 --> 00:21:04.132]  They're moral pygmies, they're intellectual pygmies, against a very great man, Ron Paul.
[00:21:04.312 --> 00:21:06.153]  Well, they're undoubtedly political hacks.
[00:21:07.228 --> 00:21:19.820]  I mean, they're just complete political fake creatures who constantly flip-flop, and I don't want to dwell too long on this, but Rick Perry, who pledged not to run, of course broke the pledge, was all about piquing interest in the reluctant hero.
[00:21:20.301 --> 00:21:27.007]  He's a guy for forced inoculations, NAFTA superhighways, Al Gore's former chief of staff in Texas,
[00:21:27.728 --> 00:21:30.549]  And this, now the media is saying, is the frontrunner.
[00:21:30.969 --> 00:21:39.893]  And I just say, shame on America if you go for another Obama type, another Rick Perry, another packaged plastic Ken doll, if they don't choose Ron Paul.
[00:21:39.913 --> 00:21:46.756]  But briefly, your take on Rick Perry, and then the fact that Ron Paul is really the man of the hour.
[00:21:47.056 --> 00:21:57.240]  He predicted with precision, along with you and others, exactly what would happen with the inflation tax and so much more, and your view on the upcoming death of the dollar.
[00:21:58.322 --> 00:22:00.926]  Well, I think, first of all, as to Rick Perry, there are many things to say about him.
[00:22:00.986 --> 00:22:06.434]  To me, the key thing that stands out in my mind is the fact that in Texas he's known as Gardasil Rick.
[00:22:06.835 --> 00:22:14.006]  And that's because he took money from the Merck drug company, as did the Republican Party of Texas and all the Republican politicians down there.
[00:22:14.426 --> 00:22:21.431]  To force a very dangerous and untested HPV vaccine on every sixth grade girl in public school in Texas.
[00:22:21.832 --> 00:22:43.028]  The fact that this man, you know, talks about the Obama mandate, the fact that this guy would have used government force, and of course a huge rip-off for Merck, I mean, hundreds of dollars per shot, these girls had to have multiple shots, causing so many illnesses, happened in England too, the fact that this guy would have used the power of the governorship in return for bribes,
[00:22:43.468 --> 00:22:49.213]  Maybe they're legal bribes, or they're still bribes, to force this dangerous vaccine on little girls.
[00:22:49.613 --> 00:22:50.454]  What a criminal!
[00:22:50.714 --> 00:22:51.495]  What a monster!
[00:22:51.875 --> 00:23:04.006]  I mean, Rick Perry... I mean, all these politicians, of course, are criminals and monsters, the regular politicians, but Perry really stands out as, it seems to me, a first-class creep, a totalitarian, as you say.
[00:23:04.704 --> 00:23:07.246]  Trans-Texas Highwayman, all the various things he's done.
[00:23:07.506 --> 00:23:16.274]  This guy is just... I'm not worried at all about Perry, because as the word gets out about who he really is, he's going to go nowhere.
[00:23:16.655 --> 00:23:19.197]  I don't think Americans are ready for another George W. Bush.
[00:23:19.867 --> 00:23:22.509]  And he's just, he's another clown like Bush.
[00:23:22.810 --> 00:23:27.934]  But he's trying to become Ron Paul, saying that the Federal Reserve is almost treasonous.
[00:23:27.974 --> 00:23:30.456]  Well, no, it's a private offshore corporation.
[00:23:30.496 --> 00:23:31.938]  It's looking out for itself.
[00:23:32.378 --> 00:23:33.359]  How is that treasonous?
[00:23:33.459 --> 00:23:37.983]  Isn't it really treasonous that Congress and others have let them do this to our country?
[00:23:38.043 --> 00:23:39.884]  And he's trying to become Ron Paul.
[00:23:40.084 --> 00:23:46.230]  And I think it shows how powerful the message of liberty is that you and others and Ron Paul have been real standard-bearers for.
[00:23:46.650 --> 00:23:47.130]  We're good to go.
[00:24:01.468 --> 00:24:04.551]  Job number one, I think, is to expose the Rick Perry hoax.
[00:24:05.152 --> 00:24:14.761]  Well, I think that's right, but you know what, as you say, it is a tribute to Ron that he feels, correctly so, that by denouncing the Federal Reserve and denouncing Ben Bernanke, it's good politics.
[00:24:15.221 --> 00:24:23.389]  So this is because, Ron, you know, I've been interested in the Fed for a very long time, and I can tell you people's eyes would glaze over when you tried to discuss it.
[00:24:23.809 --> 00:24:25.611]  Ron Paul made the Fed interesting.
[00:24:26.052 --> 00:24:30.475]  He made Americans aware that we're being ripped off by the Federal Reserve and its associated banks.
[00:24:31.075 --> 00:24:38.159]  And so that the establishment said, well, Rick Perry really damaged himself when he said that about Bernanke and the Fed.
[00:24:38.460 --> 00:24:39.540]  Actually, he didn't, of course.
[00:24:39.560 --> 00:24:40.401]  He helped himself.
[00:24:41.301 --> 00:24:42.102]  But he is a fake.
[00:24:42.502 --> 00:24:43.163]  He's a phony.
[00:24:43.543 --> 00:24:45.124]  He's trying to steal Ron Paul's thunder.
[00:24:45.144 --> 00:24:46.605]  But I think it's not going to work.
[00:24:47.305 --> 00:24:48.806]  Ron Paul is the real deal.
[00:24:49.126 --> 00:24:52.028]  And as I can testify myself for having worked
[00:24:52.551 --> 00:24:52.871]  I think so.
[00:25:15.683 --> 00:25:19.704]  And they are bringing about, of course, as you pointed out, the death of the dollar.
[00:25:20.845 --> 00:25:36.269]  We face, it's a horror, we don't know the timing, and the dollar is going to be strengthened probably by all the continuing troubles that the banks are giving the European countries and destroying the euro.
[00:25:36.909 --> 00:25:39.170]  But we're going to see much higher inflation here.
[00:25:40.050 --> 00:25:42.871]  It's going to be horrific, probably going to be worse than the 1970s.
[00:25:44.329 --> 00:25:47.011]  But again, we don't have to have that permanently.
