[00:00:11.052 --> 00:00:14.796]  Hey guys, Rob Dew here from InfoWars Nightly News and I want to talk about solutions.
[00:03:19.420 --> 00:03:23.621]  Here's what advocate Dr. Margaret Flowers had to say about the health insurance system in New York State.
[00:03:24.041 --> 00:03:30.563]  I think, looking at our Blue Cross program here, and what they found was that about one out of every five claims was denied just randomly.
[00:03:30.963 --> 00:03:34.364]  Like if five claims come in, they just pull one out and say they're not going to pay this one.
[00:03:34.625 --> 00:03:45.748]  And we have evidence of this in New York from people that worked in these claim offices, that if there was a certain level area of the city, lower income area, they would deny those claims because they knew people didn't have the resources to fight back.
[00:03:46.548 --> 00:03:50.329]  All the more reason to get out of a system that wasn't even designed to help you in the first place.
[00:03:50.349 --> 00:03:53.570]  A little over a year ago, me and my wife had the same problem.
[00:03:53.930 --> 00:04:02.112]  I saw insurance as a scam, I was sick and tired of paying the high premiums and the deductibles that you can never reach, and then we heard from a neighbor about a program called Samaritan Ministries.
[00:04:02.552 --> 00:04:07.013]  It was started back in 1994 by Ted Penninger from his home in Washington, Illinois.
[00:04:07.293 --> 00:04:14.815]  The group has since grown to 36,000 member households participating, and they have around $9 million available each month to meet health care needs.
[00:04:15.655 --> 00:04:17.596]  They don't consider themselves health insurance.
[00:04:17.836 --> 00:04:19.676]  What they call it is health sharing.
[00:04:19.836 --> 00:04:20.657]  And here's how it works.
[00:04:21.197 --> 00:04:30.460]  Health sharing is a biblical approach to paying for health care based on passages such as Galatians 6 verse 2, which says, So each member commits to sending a set share amount each month.
[00:04:30.500 --> 00:04:34.301]  These shares are sent directly through the mail from one household to another member with needs.
[00:04:42.003 --> 00:04:49.281]  Samaritan Ministries uses a database that randomly matches shares to needs so that sharing is coordinated and that shares go to the appropriate members with the needs.
[00:04:50.379 --> 00:04:55.840]  Our share by the way is just a little over four hundred dollars and that covers a family of five and that's what we pay per month.
[00:04:56.460 --> 00:05:02.301]  One section which I like on their website is called accountability which is a word you do not see on many major health insurance sites.
[00:05:03.021 --> 00:05:11.503]  So I'm taking money out of this bloated giant bureaucracy that we call health care and the insurance system and sending my money directly to people to help them with their medical needs.
[00:05:11.643 --> 00:05:15.884]  It's a great way to participate in your community and just help one another plus
[00:05:16.624 --> 00:05:18.865]  When you need to use the services, they're there for you.
[00:05:19.505 --> 00:05:23.047]  And by participating in this, I get to bypass those Obamacare fines.
[00:05:23.407 --> 00:05:30.570]  That's right, Samaritan Ministries and a few others I'm going to mention are grandfathered in so they're not beholden to the laws of Obamacare.
[00:05:31.291 --> 00:05:38.374]  Now they do have a questionnaire and a few forms they want you to fill out and they want you to attend church and you have to have your application and any claims signed by a pastor.
[00:05:38.914 --> 00:05:41.535]  So if you don't attend church, you might want to find one in your area.
[00:05:41.875 --> 00:05:45.537]  And also, you need to take a long look at SamaritanMinistries.org.
[00:05:45.557 --> 00:05:49.939]  It's got all the questions, everything you can answer that I couldn't possibly get to in this report.
[00:05:50.740 --> 00:05:55.422]  Earlier this year, we had an unfortunate incident and it cost us over $600 in medical bills.
[00:05:55.922 --> 00:05:58.863]  After filling out the forms and sending everything in, we got over $500 back.
[00:06:00.504 --> 00:06:07.773]  This was our first experience using Samaritan Ministries, but let me tell you, I feel good about using it and I think you should check it out and really give it a try.
[00:06:07.793 --> 00:06:10.036]  It's a great way to get out of this Obamacare system.
[00:06:11.465 --> 00:06:17.507]  So this is one way you can get out of the system, stop feeding it, take away its fuel, thereby taking away its power.
[00:06:17.667 --> 00:06:19.207]  It's a great way to do it.
[00:06:19.247 --> 00:06:20.668]  Now I'm going to describe a few more here.
[00:06:21.108 --> 00:06:25.349]  The article, Opting Out of Obamacare Through Medical Sharing Ministries, focuses on MediShare.
[00:06:25.750 --> 00:06:29.771]  Founded in 1993, MediShare historically grew at roughly 10% a year.
[00:06:30.111 --> 00:06:36.393]  Since Obamacare passed in 2010, the growth has ticked up to about 15%, as some Americans look to end-run the mandate.
[00:06:36.573 --> 00:06:44.299]  About 150,000 people are members of medical sharing ministries and 60,000 of them belong to MediShare, according to MediShare President CEO Tony Meggs.
[00:06:45.020 --> 00:06:50.564]  The Obamacare fee exemption requires health sharing ministries to have been in operation before December 31st, 1999.
[00:06:51.905 --> 00:06:59.251]  So if you're looking at one that's been around since the 2000s, you may want to take a quick look because they're probably not going to be able to opt out of this Obamacare fee system.
[00:07:00.472 --> 00:07:02.974]  So we've looked at Samaritan Ministries and MediShare.
[00:07:03.254 --> 00:07:06.396]  The final one here is called LibertyHealthShare.org.
[00:07:06.877 --> 00:07:10.199]  They call their system a tried and true cost sharing method that works.
[00:07:10.819 --> 00:07:15.062]  Liberty HealthShare is a reorganization of an existing group that has been sharing costs since 1988.
[00:07:15.222 --> 00:07:18.705]  They have been operating successfully for decades because it works.
[00:07:19.145 --> 00:07:22.608]  During that period, over $20 million has been shared to meet each other's costs.
[00:07:23.048 --> 00:07:28.132]  Medical cost sharing is currently being used by thousands of families nationwide meeting their health care costs each month.
[00:07:29.229 --> 00:07:30.349]  And you can look on their website.
[00:07:30.389 --> 00:07:33.991]  They have sections like person-to-person sharing, how the funds are used.
[00:07:34.591 --> 00:07:36.792]  They also talk about accountability, which I think is great.
[00:07:37.052 --> 00:07:42.394]  And they have three different option levels you can get into, so I suggest you check those out and see if they meet your needs.
[00:07:43.971 --> 00:07:57.684]  And finally, there's a group out there called GreenInsurance.com, which sets itself up as a co-op, and they have a couple membership levels, and they offer to provide up to 100% alternative medicine coverage for services like acupuncture, cleansing, detoxing, even massage.
[00:07:58.024 --> 00:08:04.310]  But this site looks brand new, so I don't think it's going to qualify for that Obamacare exemption, but you may want to call them and find out, or send them an email.
[00:08:05.475 --> 00:08:06.995]  So there are alternatives out there.
[00:08:07.315 --> 00:08:08.936]  I'm using one of them, and it works for me.
[00:08:08.956 --> 00:08:13.457]  It lets me opt out of Obamacare, and let me tell you, that is one way to defeat the system.
[00:08:14.057 --> 00:08:14.737]  Thanks for watching.
[00:08:14.998 --> 00:08:21.119]  Be sure to subscribe to this channel and share this video to everybody you know, especially if they're looking for a way to get out of Obamacare.
[00:08:21.499 --> 00:08:27.121]  And in the comments section, I'd like you to write if you're using a health-sharing service, which one you're using, and if it works for you.
[00:08:27.541 --> 00:08:31.602]  And if you're a government-paid troll, please tell us how that government-paid health insurance is working out for you.
[00:08:32.489 --> 00:08:38.420]  And if you're interested in taking control of your own health, check out InfoWarsLife.com for a complete line of nutraceutical products.
[00:08:39.001 --> 00:08:40.764]  This has been Rob Doo for InfoWars Nightly News.
[00:08:41.085 --> 00:08:42.448]  Thank you and stay healthy!
[00:08:43.280 --> 00:08:50.242]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[00:08:50.462 --> 00:08:59.805]  At InfoWars Life, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[00:09:00.105 --> 00:09:08.088]  You don't have to be a doctor to know the fall and winter months are the most dangerous time of year in North America when it comes to you and your family's health.
[00:09:08.368 --> 00:09:17.817]  Infowarslife.com is very excited to announce our biggest run yet of silver bullet colloidal silver exclusively available at Infowarslife.com.
[00:09:18.017 --> 00:09:24.883]  Now Infowarslife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[00:09:25.143 --> 00:09:34.909]  Now more than ever it's important to stock up on high quality silver bullet from Infowarslife.com and to help others during Christmas by teaching them about the powerful benefits of silver.
[00:09:35.169 --> 00:09:39.511]  Secure your silver bullet today at Infowarslife.com or by calling toll free 888-253-3139.
[00:09:43.018 --> 00:09:46.879]  The average person's life is filled with unexpected challenges.
[00:09:47.639 --> 00:09:53.860]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[00:09:54.020 --> 00:10:03.042]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[00:10:03.402 --> 00:10:08.223]  Supercharge and conquer your world at InfoWarsLife.com or call 1-888-253-3139.
[00:10:17.005 --> 00:10:17.070]  Hmm.
