[00:00:14.838 --> 00:00:17.559]  I'm Joe Biggs with InfoWars.com.
[00:04:10.609 --> 00:04:12.270]  But they want to tell you that you're going to be okay.
[00:04:12.911 --> 00:04:16.574]  And it's just, it's something that you have to take into your own consideration.
[00:04:16.854 --> 00:04:17.915]  You've got to wash your hands.
[00:04:17.955 --> 00:04:25.221]  You've got to make sure that you're being mindful of the people you talk to, what you're doing, the things that you're touching, not touching your mouth.
[00:04:25.981 --> 00:04:28.583]  Keep some hand sanitizer in your pocket and just be safe.
[00:04:29.384 --> 00:04:33.327]  Watch our reports and continue to get information on this as it happens.
[00:04:33.687 --> 00:04:35.829]  I'm Joe Biggs with InfoWars.com.
[00:04:47.435 --> 00:04:51.357]  You are watching the InfoWars Nightly News which airs 7 p.m.
[00:04:51.417 --> 00:04:53.899]  Central at InfoWarsNews.com.
[00:04:54.119 --> 00:05:01.003]  Members can share their passcodes with up to 11 other people and your support is helping us defend liberty worldwide.
