[00:00:01.386 --> 00:00:06.994]  With all those sneezy people and the Jenny McCrackens of the world not vaccinating their babies?
[00:03:29.206 --> 00:03:36.531]  My mom and my now ex-wife went and then after that, for example, his uncle, my brother-in-law, came up to stay with him a while.
[00:03:37.251 --> 00:03:37.971]  And he noticed.
[00:03:37.991 --> 00:03:39.672]  He goes, Sean just didn't what he used to be.
[00:03:39.692 --> 00:03:40.692]  He used to be real friendly.
[00:03:40.712 --> 00:03:41.873]  He'd run up and talk to people.
[00:03:42.253 --> 00:03:45.414]  And he went through a period where he didn't want to talk to people or make eye contact.
[00:03:45.474 --> 00:03:46.895]  And he's, he is coming around.
[00:03:46.935 --> 00:03:47.915]  He's doing better now.
[00:03:48.235 --> 00:03:50.376]  But he's still exhibiting many symptoms of autism.
[00:03:58.004 --> 00:04:05.850]  The globalists have controlled the mainstream media for a long time, but now they're expanding, making the weaponization even more vicious and deceptive.
[00:04:06.130 --> 00:04:08.171]  All the major networks are state-run.
[00:04:08.351 --> 00:04:10.993]  We are partnering this year with the NFL.
[00:04:11.053 --> 00:04:15.156]  The NFL has become a political weapon against the Second Amendment and pushes Obamacare.
[00:04:15.476 --> 00:04:18.639]  MSNBC tells us that our children belong to the state.
[00:04:18.659 --> 00:04:25.904]  We have to break through our kind of private idea that kids belong to their parents or kids belong to their families and recognize that kids belong to whole communities.
[00:04:26.084 --> 00:04:37.150]  The brainwashing media machine has been turned up on high and it's time for humanity to double down on the true people's media and strike back against the tyrants that are destroying our civilization with their lies and fraud.
[00:04:37.350 --> 00:04:38.711]  We are the resistance.
[00:04:39.011 --> 00:04:40.351]  You are the resistance.
[00:04:40.732 --> 00:04:42.272]  You are the info war.
[00:04:42.452 --> 00:04:46.575]  It is more important than ever to realize that we are not the alternative media.
[00:04:46.775 --> 00:04:48.416]  We are the true media.
[00:04:48.576 --> 00:04:51.157]  The establishment dinosaur press is dying.
[00:04:51.237 --> 00:04:54.901]  We are in an information war and we are losing that war.
[00:04:55.001 --> 00:04:59.125]  Join us at InfoWarsNews.com and PrisonPlanet.tv.
[00:04:59.345 --> 00:05:02.208]  Members can share their memberships with up to 11 people.
[00:05:02.308 --> 00:05:09.895]  By subscribing, you will literally be buying war bonds in the Info War to expand our operation in the face of the tyrants.
[00:05:10.195 --> 00:05:11.917]  Join us at PrisonPlanet.tv.
