[00:00:01.800 --> 00:00:01.940]  I think.
[00:06:34.519 --> 00:06:53.956]  The second one, another tweet entitled, the truth finally revealed about Syria's insurgency, which is what we just showed you, which included a link from our story yesterday, was a compendium of videos showing how rebel insurgents were responsible for massacres, beheadings, and other acts of brutality, as well as staging fake massacre and death videos to falsely implicate the Syrian government.
[00:06:54.677 --> 00:06:59.160]  And there's the Twitter page right there where you can actually see the actual tweets that went out.
[00:06:59.981 --> 00:07:01.001]  Under Al Jazeera.
[00:07:01.522 --> 00:07:04.162]  So I'd like to give a special thanks out to the Syrian Electronic Army.
[00:07:04.242 --> 00:07:14.066]  Thank you for putting out the truth through the mainstream media or one of its arms, Al Jazeera, and attempting to show people what is really going on, or at least giving both sides of the story.
[00:07:14.526 --> 00:07:18.747]  I'm sure both sides are at fault in some way or another, and it's a conflict that we shouldn't get involved in.
[00:07:19.307 --> 00:07:20.408]  But you know what's going to happen.
[00:07:20.428 --> 00:07:26.530]  We're going to commit our troops and our resources to that and start another regime change and install our puppets
[00:07:27.349 --> 00:07:31.712]  That eventually won't do our bidding, so we'll have to send another army in to clean up that mess.
[00:07:32.933 --> 00:07:35.014]  Moving on, the fog of info war.
[00:07:35.074 --> 00:07:39.257]  DARPA wants to bust whistleblowers with disinformation technology.
[00:07:39.677 --> 00:07:40.818]  That's from Steve Watson.
[00:07:41.809 --> 00:07:48.716]  And DARPA wants to stop whistleblowers before they can leak any data by enticing them with fake documents and information that will reveal their identities.
[00:07:48.737 --> 00:07:50.078]  I wonder how much they spent on that.
[00:07:51.039 --> 00:08:03.472]  In a recent paper for the DoD's Technological Research Arm, contractors note that they have constructed a prototype for automatically generating and distributing believable misinformation, and then tracking access and attempted misuse of it.
[00:08:04.153 --> 00:08:06.874]  We call this disinformation technology.
[00:08:07.254 --> 00:08:08.334]  The paper continues.
[00:08:08.914 --> 00:08:09.594]  That's what they're going to do.
[00:08:09.614 --> 00:08:18.996]  They're going to spend their time creating, you know, blueprints or fake papers or fake government documents that then will get put out there.
[00:08:19.576 --> 00:08:20.176]  We'll pick it up.
[00:08:20.216 --> 00:08:23.257]  Maybe other sites will pick it up and then they can come out and say, oh, no, that was disinformation.
[00:08:23.277 --> 00:08:24.357]  That's not even really true.
[00:08:24.877 --> 00:08:25.637]  So who knows?
[00:08:25.857 --> 00:08:27.698]  Nobody's going to believe anything that comes out anymore.
[00:08:27.738 --> 00:08:28.858]  So it works for them twofold.
[00:08:28.878 --> 00:08:32.979]  A secrecy expert, Steve Aftergood, had this comment.
[00:08:33.499 --> 00:08:49.671]  He says, if only researchers devoted as much ingenuity to combating spurious secrecy and needless classification, shrinking the universe of secret information would have a better way to simplify the task of securing the remainder, after Good noted in his email to Danger Room.
[00:08:50.052 --> 00:08:57.718]  The DARPA approach seems to be based on the assumption that whatever is classified is properly classified and that leaks may occur randomly throughout the system.
[00:08:58.458 --> 00:09:01.681]  But neither of those assumptions is likely to be true, he noted.
[00:09:02.597 --> 00:09:03.497]  So, there you go.
[00:09:03.537 --> 00:09:13.222]  Your government's going to spend a lot of money to create a bunch of BS that may or may not get reported just so they can find the people who are good people out there and who would turn in that information.
[00:09:13.722 --> 00:09:14.802]  But it's interesting.
[00:09:15.083 --> 00:09:16.503]  What if they didn't see that information?
[00:09:16.523 --> 00:09:18.364]  What if it's like, you know, the U.S.
[00:09:18.404 --> 00:09:23.766]  government drops babies in acid to see how quickly they'll dissolve and they put that information out there?
[00:09:24.006 --> 00:09:27.848]  Well, that's information anybody would put out there, any reasonable thinking human being.
[00:09:29.449 --> 00:09:31.730]  So they're going to go around and then single out those people
[00:09:32.935 --> 00:09:37.520]  And probably prosecute them for blowing, you know, government secrets and all that other nonsense.
[00:09:38.441 --> 00:09:38.981]  It's crazy.
[00:09:39.482 --> 00:09:42.005]  Now on today's show, Alex had me in there.
[00:09:42.045 --> 00:09:44.047]  He was talking about this story here.
[00:09:44.407 --> 00:09:48.551]  TSA demands bizarre new power to test drinks purchased in airports.
[00:09:49.423 --> 00:09:55.404]  This is something that I actually witnessed, Alex had witnessed it, but I guess we're so used to that kind of stuff going on.
[00:09:55.925 --> 00:09:56.865]  Anyway, here's the quote.
[00:09:57.225 --> 00:10:08.627]  Rules on taking liquids through airport security passed in the aftermath of the highly dubious attempted liquid bombing incident in 2006, which completely collapsed in court, have already been savaged as pointless and unnecessary.
[00:10:08.987 --> 00:10:15.009]  Mothers are forced to drink their own breast milk in a procedure that seems to be designed to achieve little else than humiliating the traveler.
[00:10:15.649 --> 00:10:25.977]  And one incident earlier this year, working mother Amy Strand was even made to pump breast milk into her empty feeding bottles before being allowed through security.
[00:10:27.543 --> 00:10:29.545]  So, and I'd actually witnessed something like this.
[00:10:29.605 --> 00:10:37.995]  I'd witnessed a line of people, we're about to get on our flight, and it, you know, it happens right as we're, they're calling our number to get on, you know, another cattle call situation.
[00:10:38.396 --> 00:10:42.841]  They start wanting to come up to travelers like, open up your drink, let me see, let me see what you got there.
[00:10:43.261 --> 00:10:46.165]  So here's a little bit of what we talked about today on the Alex Jones Show.
[00:10:46.605 --> 00:10:51.991]  I saw Rob Dude down by the water cooler and he said, oh yeah, you know, you have us fly a lot to interviews.
[00:10:52.011 --> 00:10:52.992]  We see that all the time.
[00:10:53.452 --> 00:10:58.637]  Well, next time get footage of it because all the time I saw the new zombie rounds they're selling.
[00:10:59.741 --> 00:11:04.165]  Like three months ago, all it is is a super double-aught buck, basically military-type buckshot.
[00:11:05.326 --> 00:11:06.787]  It does have a bigger kick when you pull the trigger.
[00:11:07.327 --> 00:11:08.949]  And I thought, man, that's a good news article.
[00:11:09.009 --> 00:11:10.490]  I bought some to have the guys do it.
[00:11:10.510 --> 00:11:12.231]  And a month later, it was big national news.
[00:11:12.752 --> 00:11:16.395]  We've got to go with our instincts, not just to get big national news, but what's important.
[00:11:16.615 --> 00:11:18.556]  That's probably why I never did anything with the zombie rounds.
[00:11:18.596 --> 00:11:19.437]  Why is that really important?
[00:11:19.657 --> 00:11:24.081]  Well, it shows how they're getting into this whole zombie culture and what they program people to start to behave like.
[00:11:24.301 --> 00:11:26.504]  They're making a zombie theme park in Detroit right now.
[00:11:26.624 --> 00:11:27.205]  Exactly.
[00:11:27.386 --> 00:11:28.427]  And that was my next point.
[00:11:28.467 --> 00:11:29.929]  I meant to cover that on Monday.
[00:11:30.350 --> 00:11:35.377]  But on this TSA front, it's about mindlessly doing what they say.
[00:11:35.417 --> 00:11:37.060]  They now even do searches at the gate.
[00:11:37.941 --> 00:11:39.363]  Why did I never videotape that?
[00:11:39.483 --> 00:11:40.525]  Because that's never been on the news.
[00:11:41.105 --> 00:11:48.910]  I mean, they do swabbing, but you have seen what I'm talking about, but you saw something I haven't seen, where people beg to prove they're Minions.
[00:11:49.010 --> 00:11:49.290]  Right.
[00:11:49.450 --> 00:11:51.752]  And see, that's the behavior they're looking for, Stockholm Syndrome.
[00:11:52.032 --> 00:11:52.913]  Tell folks what you saw.
[00:11:53.033 --> 00:11:54.273]  It was literally bizarre.
[00:11:54.393 --> 00:11:57.696]  Waiting in line to get in, it was a Southwest Airlines flight, and they had the TSA.
[00:11:57.736 --> 00:11:58.356]  Do you remember where?
[00:11:58.376 --> 00:11:58.916]  Do you remember where?
[00:11:59.176 --> 00:11:59.737]  It was in Austin.
[00:12:00.217 --> 00:12:01.718]  It was in Austin, we were taking off somewhere.
[00:12:01.738 --> 00:12:05.380]  I think I was with Aaron, probably with Aaron because we traveled the most together.
[00:12:05.400 --> 00:12:12.985]  And I remember seeing the cart, and they walk up to someone and say, sir, let me check your drink.
[00:12:13.025 --> 00:12:16.688]  And they hold the little slip over it, whatever it's got.
[00:12:16.708 --> 00:12:18.149]  It detects for bomb residue.
[00:12:18.169 --> 00:12:19.289]  And they hold that over the drink.
[00:12:19.810 --> 00:12:21.070]  And they say, OK, you can cap it up.
[00:12:21.090 --> 00:12:22.171]  And they did it to somebody else.
[00:12:22.231 --> 00:12:23.532]  And then this old lady walks up.
[00:12:23.572 --> 00:12:24.893]  She says, can you test mine?
[00:12:25.233 --> 00:12:27.414]  I mean, it's literally this little old lady voice.
[00:12:27.535 --> 00:12:28.315]  I couldn't believe it.
[00:12:28.795 --> 00:12:34.840]  You know, we're actually walking to get on the plane, and I didn't want to, you know, obviously I didn't want to get drug into a surgery.
[00:12:34.940 --> 00:12:37.741]  I would have taped it, but next time I'll just tape it, and we'll just let the chips fall where they may.
[00:12:37.761 --> 00:12:38.222]  Well, I mean, it's easy.
[00:12:38.242 --> 00:12:41.504]  Just get it up and get the footage out of it, because people... Because, I mean, this is now, quote, breaking.
[00:12:41.544 --> 00:12:43.165]  I've seen this at least for three years.
[00:12:43.285 --> 00:12:44.306]  Oh, yeah, yeah.
[00:12:44.406 --> 00:12:50.370]  This was a while back, because I haven't traveled in a while, and it was sort of in the middle of when we were traveling, you know.
[00:12:50.450 --> 00:12:54.353]  It was when I was on that JAG getting video of everybody for, like, two films I never made.
[00:12:54.913 --> 00:12:55.273]  Exactly.
[00:12:55.313 --> 00:12:56.794]  Well, we just aired all the interviews anyways.
[00:12:56.814 --> 00:12:57.914]  It was a lot of good interviews.
[00:12:58.194 --> 00:13:05.918]  I mean, and you know, what I like about that is that we usually when we do a video, our DVD, they don't get to see the whole interview.
[00:13:06.038 --> 00:13:07.278]  You know, they get to see like parts of it.
[00:13:07.298 --> 00:13:10.560]  Well, here you get to see the whole thing and a lot of information that people are putting out there.
[00:13:10.580 --> 00:13:12.741]  Well, that's why people, that's why they haven't made a film in two years.
[00:13:13.681 --> 00:13:15.122]  I mean, we make films every week.
[00:13:15.142 --> 00:13:16.742]  They're like 20 minutes long, an hour long.
[00:13:16.762 --> 00:13:18.223]  We're just blasting in all directions.
[00:13:18.263 --> 00:13:19.603]  Production quality's even higher.
[00:13:19.623 --> 00:13:21.784]  It's just blasting, blasting, blasting.
[00:13:22.044 --> 00:13:26.906]  But I do need to make a film just because they get seen 30, 40 million times instead of a half million, million times.
[00:13:27.186 --> 00:13:31.788]  But you add up all the little films, it's more views, which is what I want, is to get the word out.
[00:13:32.328 --> 00:13:34.429]  But the films, it does have this event feeling.
[00:13:34.769 --> 00:13:37.130]  For whatever reason, people see it as a film.
[00:13:37.430 --> 00:13:38.431]  It's time to go watch it.
[00:13:38.471 --> 00:13:39.311]  Get everybody together.
[00:13:39.591 --> 00:13:40.192]  Yeah, yeah.
[00:13:40.212 --> 00:13:41.633]  But I mean, every day is a film.
[00:13:41.753 --> 00:13:44.695]  Every day is, you know, we have like some days three hour long nightly news now.
[00:13:45.136 --> 00:13:47.798]  You know, I watched Dreams of My Real Father this morning.
[00:13:47.838 --> 00:13:48.619]  I got up at seven.
[00:13:48.679 --> 00:13:49.520]  I'm like, well, nobody's up.
[00:13:49.560 --> 00:13:50.300]  I'm going to watch this.
[00:13:50.340 --> 00:13:50.861]  And I watched it.
[00:13:50.901 --> 00:13:52.042]  I was blown away by it.
[00:13:52.482 --> 00:13:53.563]  I really... You've been so busy.
[00:13:54.864 --> 00:13:56.065]  You know why I was flipping out then?
[00:13:56.425 --> 00:13:57.105]  Yeah, exactly.
[00:13:57.125 --> 00:14:06.031]  By the way, we have in the TSA shirts, not just in the Fed shirts, available at InfoWars.com, InfoWarsShop.com, that supports us.
[00:14:06.651 --> 00:14:09.473]  And the reason I say that is we have Dreams of My Real Father.
[00:14:09.693 --> 00:14:11.554]  It's not even on sale until July 24th.
[00:14:12.435 --> 00:14:16.657]  We got contacted by the filmmaker and they've been allowed to sell it early.
[00:14:16.697 --> 00:14:18.018]  I don't know why they just dropped that.
[00:14:18.298 --> 00:14:21.000]  I never even asked the guy, why are you letting me sell it first?
[00:14:22.475 --> 00:14:23.636]  He knows you're at the tip of the spear.
[00:14:23.656 --> 00:14:28.180]  I mean, I guess that's a good thing for everybody, because we've got a big gas tank to fill around here.
[00:14:28.720 --> 00:14:32.003]  Infowarshop.com or 888-253-3139.
[00:14:32.223 --> 00:14:32.763]  But good.
[00:14:33.544 --> 00:14:35.285]  It's good now that this is breaking.
[00:14:35.325 --> 00:14:37.047]  I mean, I'm not like, oh, this has gone on three years.
[00:14:37.988 --> 00:14:40.950]  It's finally local news covers it, so now it's real.
[00:14:41.030 --> 00:14:42.411]  Now we're allowed to talk about it.
[00:14:42.471 --> 00:14:42.711]  Right.
[00:14:42.872 --> 00:14:45.654]  Because KJCT8 said so.
[00:14:46.194 --> 00:14:46.915]  They gave us permission.
[00:14:47.575 --> 00:14:49.717]  I mean, remember TSA for years said, we don't grope.
[00:14:50.017 --> 00:14:50.978]  Oh, you just go down in the pants.
[00:14:50.998 --> 00:14:51.839]  I mean, that's not groping.
[00:14:52.520 --> 00:15:01.884]  So that was a little interesting back and forth me and Alex had on that, and if you see that out there of TSA testing people right as they're trying to board the plane testing their liquids, shoot some video of it.
[00:15:01.904 --> 00:15:04.945]  Send it to us at either robd at Infowars.com.
[00:15:05.245 --> 00:15:07.226]  You know, of course, put it on YouTube and send us the link.
[00:15:07.366 --> 00:15:12.268]  We'd love to give you those hits, and especially if something like that were to get on Drudge.
[00:15:12.969 --> 00:15:14.249]  Moving on to the war on drugs.
[00:15:16.310 --> 00:15:18.371]  Actually, before I go to this article, I want to play you.
[00:15:19.661 --> 00:15:24.604]  This testimony came out, this is from Michelle Leahart.
[00:15:24.724 --> 00:15:25.844]  She's the head of the DEA.
[00:15:25.884 --> 00:15:31.127]  So we're going to play this first clip, and then we're going to come back and read the story that it's based on.
[00:15:31.147 --> 00:15:31.847]  So here's that clip.
[00:15:32.428 --> 00:15:38.391]  Is crack worse for a person than marijuana?
[00:15:40.632 --> 00:15:44.074]  I believe all illegal drugs are bad.
[00:15:44.134 --> 00:15:48.316]  Is methamphetamine worse for somebody's health than marijuana?
[00:15:50.031 --> 00:15:51.992]  I don't think any illegal drug is good for you.
[00:15:52.012 --> 00:15:56.075]  Is heroin worse for someone's health than marijuana?
[00:15:57.616 --> 00:16:00.858]  Again... I mean, either yes, no, or I don't know.
[00:16:00.958 --> 00:16:03.360]  I mean, if you don't know, you can look this up.
[00:16:03.400 --> 00:16:03.880]  You should know.
[00:16:03.900 --> 00:16:06.322]  This is the Chief Administrator for the Drug Enforcement Agency.
[00:16:06.382 --> 00:16:07.883]  I'm asking you a very straightforward question.
[00:16:08.223 --> 00:16:11.305]  Is heroin worse for someone's health than marijuana?
[00:16:12.552 --> 00:16:14.874]  All illegal drugs are bad.
[00:16:15.014 --> 00:16:16.175]  Does this mean you don't know?
[00:16:16.815 --> 00:16:18.677]  Heroin causes an addiction.
[00:16:19.057 --> 00:16:20.058]  Okay.
[00:16:20.078 --> 00:16:22.920]  It causes many problems.
[00:16:23.000 --> 00:16:25.802]  It's very hard to kick.
[00:16:25.882 --> 00:16:29.264]  So does that mean that the health impact of heroin is worse than marijuana?
[00:16:29.284 --> 00:16:30.045]  Is that what you're telling me?
[00:16:31.146 --> 00:16:33.508]  I think you're asking a subjective question.
[00:16:33.608 --> 00:16:34.429]  No, it's subjective.
[00:16:34.909 --> 00:16:37.171]  Just looking at the science, this is your area of expertise.
[00:16:37.271 --> 00:16:40.835]  I'm a layperson, but I've read some of the studies and I'm aware of it.
[00:16:40.855 --> 00:16:46.039]  I'm just asking you as an expert in the subject area, is heroin or someone's health in marijuana?
[00:16:47.387 --> 00:16:59.557]  I'm answering as a police officer and as a DEA agent that these drugs are illegal because they are dangerous, because they are addictive, because they do hurt a person's health.
[00:16:59.577 --> 00:17:01.579]  So heroin is more addictive than marijuana?
[00:17:02.079 --> 00:17:03.500]  Is heroin more addictive than marijuana?
[00:17:03.761 --> 00:17:04.802]  In your experience?
[00:17:05.022 --> 00:17:08.525]  Generally, the properties of heroin, yes, it's more addictive.
[00:17:08.625 --> 00:17:10.566]  Is methamphetamine more addictive than marijuana?
[00:17:14.009 --> 00:17:15.630]  So all illegal drugs are bad?
[00:17:16.556 --> 00:17:18.257]  All illegal drugs are bad, no matter what they are.
[00:17:18.377 --> 00:17:20.058]  They're bad, they're bad, they're all bad the same.
[00:17:20.098 --> 00:17:20.899]  They're just bad.
[00:17:20.959 --> 00:17:28.383]  That's the only thing she could get out of her mouth in that testimony with the Democratic Congressman from Colorado.
[00:17:28.964 --> 00:17:32.506]  But now, well, I guess the other arm of the government doesn't know what one's doing.
[00:17:32.546 --> 00:17:37.009]  So from Raw Story, government-sponsored study destroys DEA's classification of marijuana.
[00:17:38.314 --> 00:17:56.164]  A government-sponsored study published recently in the Open Neurology Journal concludes that marijuana provides much-needed relief to some chronic pain sufferers, and more clinical trials are desperately needed, utterly destroying USDA's classification of the drug as having no medical uses.
[00:17:57.776 --> 00:18:08.041]  While numerous prior studies have shown marijuana's usefulness for a host of medical conditions, none have ever gone directly at the DEA's placement of marijuana atop the schedule, which is Schedule 1 of controlled substances.
[00:18:08.762 --> 00:18:24.330]  This study, sponsored by the State of California and conducted by the University of California's Center for Medical Cannabis Research, does precisely that, driving a stake into the heart of America's continued war on marijuana by calling Schedule 1 placement simply not accurate and not tenable.
[00:18:26.118 --> 00:18:30.442]  So I guess you could say that was a DEA fail in her little classification there.
[00:18:32.164 --> 00:18:44.336]  And moving on also, it says, as the DEA describes it, drugs listed in Schedule 1 have no currently accepted medical use and treatment in the United States and therefore may not be described, administered, or dispensed for medical use.
[00:18:44.796 --> 00:18:48.239]  Well, as you know, hemp was used for
[00:18:49.158 --> 00:18:55.920]  You know, a couple centuries in this country to making rope, paper, you can eat the seeds, you can do all kinds of things with it.
[00:18:56.400 --> 00:19:04.101]  Actually, Daimler made his engines to run on hemp fuel oil before he was mysteriously killed.
[00:19:05.222 --> 00:19:06.622]  But that's a whole other story.
[00:19:07.382 --> 00:19:09.483]  So you can read the rest of that on Raw Story.
[00:19:09.503 --> 00:19:10.783]  It was very interesting.
[00:19:11.463 --> 00:19:14.744]  And here's a second part of that testimony where
[00:19:16.176 --> 00:19:26.499]  The congressman is interviewing the DEA head, who makes $167,000 a year, by the way, to look like that and keep giving those same answers.
[00:19:26.519 --> 00:19:28.499]  Here he's talking about prescription drugs.
[00:19:28.919 --> 00:19:29.960]  So we're going to roll that clip.
[00:19:30.840 --> 00:19:34.481]  Your top priority, I believe you indicated to us, is abuse of prescription drugs.
[00:19:34.921 --> 00:19:39.422]  Is one of the main classifications of prescription drugs painkillers that you're concerned about?
[00:19:40.062 --> 00:19:40.602]  That's correct.
[00:19:40.862 --> 00:19:42.823]  And are those painkillers addictive?
[00:19:43.720 --> 00:19:45.322]  Yes, they are very addictive.
[00:19:45.783 --> 00:19:51.289]  Are those painkillers more addictive than marijuana?
[00:19:51.309 --> 00:19:57.216]  All illegal drugs are in Schedule 1 are addictive.
[00:19:58.234 --> 00:20:07.244]  Well, again, this is a health-based question, and I know you obviously have a law enforcement background, but I'm sure you're also familiar, given your position, with the science of the matter.
[00:20:07.884 --> 00:20:13.630]  And I'm asking, again, clearly your agency has established the use of prescription drugs as the top priority.
[00:20:14.491 --> 00:20:17.795]  Is that, therefore, an indication that prescription drugs are more addictive than marijuana?
[00:20:20.376 --> 00:20:22.718]  All illegal drugs are addictive.
[00:20:22.858 --> 00:20:27.202]  Okay, your agency has established abuse of prescription drugs as its top priority.
[00:20:27.242 --> 00:20:28.623]  You've indicated as much to us.
[00:20:28.984 --> 00:20:33.087]  Does that mean that abuse of prescription drugs is a greater threat to the public health than marijuana?
[00:20:34.408 --> 00:20:47.720]  Because it's an emerging threat, because people are turning to prescription drugs faster than any other drug, that is why we prioritize it.
[00:20:48.976 --> 00:20:54.259]  Okay, so now we know that the DA's top priority is prescription drugs and how they're spread out.
[00:20:54.299 --> 00:20:55.880]  That's her top priority, is what she said.
[00:20:57.300 --> 00:21:00.582]  But caught on video, Long Beach Pot Shop Raid.
[00:21:01.002 --> 00:21:07.686]  And a raid on a marijuana dispensary in Long Beach was caught on video showing officers smashing surveillance cameras and stepping on a suspect.
[00:21:08.328 --> 00:21:11.389]  Moves that prompted accusations of the officer's excessive force.
[00:21:11.889 --> 00:21:12.590]  There you can see him now.
[00:21:12.610 --> 00:21:14.450]  They're going to put their foot right on his neck.
