[00:00:15.299 --> 00:00:18.540]  You want to stand up in the info war?
[00:08:20.807 --> 00:08:27.229]  What happened was the, if you recall our previous reports, they actually hooked up a diesel truck's exhaust
[00:08:28.067 --> 00:08:32.972]  And exposed test subjects to very high levels of diesel exhaust.
[00:08:33.232 --> 00:08:39.778]  Levels that the EPA's director, Jackson, has gone on congressional record saying are lethal to people.
[00:08:40.339 --> 00:08:42.621]  They did this without sufficient informed consent.
[00:08:42.661 --> 00:08:43.662]  There was no written consent.
[00:08:43.702 --> 00:08:50.929]  As a matter of fact, they sought out people who were asthmatics, elderly, had other health conditions to exacerbate it.
[00:08:51.485 --> 00:08:58.548]  And it appears that they were quite willing to let human subjects get very sick in order to justify greater regulation.
[00:08:58.868 --> 00:09:08.253]  But the good news is that the Congress is now alert, and it looks like there's going to be some hearings on this, as well as the individual lawsuit by ATI, Environmental Law Center.
[00:09:09.693 --> 00:09:15.516]  And finally, in other news, President Obama appears to be getting re-election support from world leaders.
[00:09:17.587 --> 00:09:26.132]  Venezuelan President Hugo Chavez, after winning a fourth term earlier this month, reportedly said that he would vote for Obama, and the President would likely vote for him.
[00:09:26.153 --> 00:09:35.098]  Venezuelan President Hugo Chavez, after winning a fourth term earlier this month, reportedly said he would vote for Obama, and that he thought the President would likely vote for him.
[00:09:36.019 --> 00:09:45.105]  And in June, Mariala Castro, daughter of Cuban President Raul Castro, said in a CNN interview, as a citizen of the world, I would like Obama to win.
[00:09:46.047 --> 00:09:57.070]  Now we have Vladimir Putin saying that the re-election of Obama could improve political relations between the two companies, and called Obama a, quote, genuine person who really wants to change much for the better.
[00:09:58.210 --> 00:10:07.172]  Well, we know that Obama was mentored by Marxists like Frank Davis and Bill Ayers, and we know now that he has the support of many Marxist world leaders.
[00:10:08.237 --> 00:10:10.738]  And we know also that Obama returned the favor.
[00:10:10.778 --> 00:10:19.602]  If you recall, in Honduras, there was a Marxist attempt to take over power in Honduras, and it was supported by Chavez.
[00:10:20.422 --> 00:10:28.326]  And the Obama administration and Secretary of State Hillary Clinton supported the Marxists against the Honduran government.
[00:10:29.346 --> 00:10:30.387]  Well, that's it for the news.
[00:10:31.127 --> 00:10:35.829]  Our daily quote is, Indian policy has now been brought down upon the American people
[00:10:36.508 --> 00:10:39.849]  And the American people are the new Indians of the 21st century.
[00:10:40.609 --> 00:10:42.630]  That's Russell Means, who died today at the age of 72.
[00:10:42.670 --> 00:10:47.872]  We would like to thank you for your support of our 48-hour Money Bomb.
[00:10:48.412 --> 00:10:52.934]  We're nearly at $500,000 now, and more money will be coming in through the mail.
[00:10:53.814 --> 00:11:03.698]  If you'd like to make a contribution, or if you'd like to see some of the great interviews that Alex and other people conducted during the 48 hours, you can go to infowarsmoneybomb.com.
[00:11:05.552 --> 00:11:06.873]  Stay with us until after the break.
[00:11:06.933 --> 00:11:11.634]  We have Alex Jones' last interview with Russell Means, conducted earlier this year.
[00:11:12.855 --> 00:11:17.797]  If you would like to see more of this type of content, you can become a subscriber to PrisonPlanet.tv.
[00:11:18.497 --> 00:11:24.880]  And you can get a 15-day free trial where you can have all the access that you would normally have with a full paid membership.
[00:11:25.460 --> 00:11:28.821]  If you get a full paid membership, it helps to support our operations here.
[00:11:30.002 --> 00:11:31.843]  And that's it for the news portion of our program.
[00:11:32.263 --> 00:11:32.863]  I'm David Knight.
[00:12:02.856 --> 00:12:07.381]  Alex Jones here with a message that could revolutionize health in this country.
[00:12:07.661 --> 00:12:13.507]  Going back about a year and a half ago, I began to learn about the incredible health effects of longevity products.
[00:12:13.907 --> 00:12:16.249]  Erin Dykes lost 92 pounds.
[00:12:16.630 --> 00:12:19.513]  We're going to show you some before and afters.
[00:12:19.933 --> 00:12:21.714]  Aaron, break down what happened.
[00:12:21.734 --> 00:12:22.294]  Your story.
[00:12:22.574 --> 00:12:27.636]  I've worked really hard with diet and exercise to try to lose weight, but I just didn't get the results.
[00:12:27.676 --> 00:12:28.557]  It just didn't happen.
[00:12:28.857 --> 00:12:31.438]  Then I saw what you were doing with Infowarsteam.com.
[00:12:31.918 --> 00:12:35.720]  I wasn't even trying to lose weight, but I got it because I wanted to feel better energy.
[00:12:35.760 --> 00:12:36.340]  I wanted that nutrition.
[00:12:36.460 --> 00:12:42.246]  I didn't even understand how that could kickstart my own weight loss goals, but the products did that for me.
[00:12:42.606 --> 00:12:50.373]  I found myself suddenly losing weight, more energetic, wanting to exercise, wanting to eat the right foods, and they don't even advertise it as weight loss!
[00:12:50.674 --> 00:13:00.002]  I want to challenge our radio listeners to go to Infowarsteam.com, sign up as a distributor, and get wholesale pricing discounts at Infowarsteam.com.
[00:13:05.560 --> 00:13:08.421]  My friends, Alex Jones here with a very important announcement.
[00:13:08.821 --> 00:13:14.664]  We are launching a new salvo in the info war, because there is a war on for your mind.
[00:13:15.304 --> 00:13:25.569]  You know that the globalists are trying to get everybody online, and only online, so they can control and surveil information, and also erase books, videos, whatever they want to, en masse.
[00:13:26.349 --> 00:13:31.473]  That's why we're launching our answer to the internet kill switch, InfoWars Magazine.
[00:13:31.893 --> 00:13:38.338]  The first issue, we printed over 90,000 copies of the September issue, and it sold out in less than two days.
[00:13:38.918 --> 00:13:44.002]  So get your copy of the new technocratic elite issue today before it sells out.
[00:13:44.502 --> 00:13:54.970]  Again, we cover from the technocratic social engineers' own words, their own admissions, their plan to take over our society and replace us with robots.
[00:13:55.270 --> 00:14:01.574]  But we don't just stop with the rise of the robots and the end of humanity, or will humanity survive the singularity?
[00:14:02.014 --> 00:14:07.237]  We get into the government buying now 1.6 billion bullets against the American people.
[00:14:07.577 --> 00:14:13.240]  We get into big sister surveillance of this magazine and my website, Infowars.com.
[00:14:13.700 --> 00:14:18.283]  We cover QE3 and what hyperinflation means to you and your family.
[00:14:18.743 --> 00:14:23.068]  Whatever you do, don't look back later and wish that you would have taken action.
[00:14:23.469 --> 00:14:24.590]  Take action now.
[00:14:24.710 --> 00:14:28.195]  People have never been more ready for this information.
[00:14:28.255 --> 00:14:32.180]  People have never been this hungry, starving for the truth.
[00:14:32.820 --> 00:14:36.946]  And it is contained in the new issue of InfoWars Magazine.
[00:14:37.406 --> 00:14:38.647]  This is a time capsule.
[00:14:39.247 --> 00:14:41.048]  It is so important we get it out to everyone.
[00:14:41.428 --> 00:14:47.371]  If you subscribe now for 12 issues, we will give you the first issue absolutely free.
[00:14:47.411 --> 00:14:50.952]  So that's 13 issues for our 13 colonies.
[00:14:51.352 --> 00:14:53.373]  Part of restoring the spirit of 1776 worldwide.
[00:14:55.487 --> 00:15:02.948]  Again, go to infowarstore.com and order 10 packs, up to 100 packs at cost and give them out to people in your area.
[00:15:03.228 --> 00:15:05.449]  The response last month was incredible.
[00:15:05.769 --> 00:15:10.090]  People are hungry to actually hold this information in their hands.
[00:15:11.130 --> 00:15:17.411]  You can also subscribe and get 12 issues delivered to your door and get the first inaugural issue free.
[00:15:18.351 --> 00:15:23.832]  I'm Alex Jones, thanking all of you for your support and making our operation a huge success.
[00:15:35.780 --> 00:15:45.322]  You know, the American people, for too long, have been an irresponsible, free people.
[00:15:46.602 --> 00:15:53.924]  And even generation to generation, as they've become less free, they don't recognize it.
[00:15:54.344 --> 00:15:56.845]  They have lost the ability of critical thought.
[00:15:57.765 --> 00:16:02.106]  In order to regain critical thought, all you have to do is read your Constitution.
[00:16:03.123 --> 00:16:07.708]  And then look at the laws that govern you, especially from the federal perspective.
[00:16:10.831 --> 00:16:22.182]  It's unconscionable to allow your freedoms to be taken away decade after decade after decade, year after year.
[00:16:23.303 --> 00:16:25.125]  And I'm very proud of this, by the way.
[00:16:25.305 --> 00:16:26.907]  My nation, the Lakota,
[00:16:27.964 --> 00:16:34.365]  We're the first nation to militarily defeat the United States of America on the field of battle.
[00:16:35.165 --> 00:16:38.866]  And that resulted in the 1868 Sioux Treaty.
[00:16:41.586 --> 00:16:57.209]  Be that as it may, what has happened after they economically forced us into these prisoner war camps by destroying our food supply and our right of passage in our own land,
[00:16:58.991 --> 00:17:06.957]  They confined us to these and then they began practicing and perfecting their colonial tactics.
[00:17:09.139 --> 00:17:20.527]  What has happened is now America, because of the irresponsibility of your forebearers and the irresponsibility of yourselves, you are now on one huge Indian reservation.
[00:17:21.248 --> 00:17:24.250]  All policies, all policies,
[00:17:25.322 --> 00:17:37.025]  We're bred and born and birthed on an Indian reservation and then exported to the world and now comes back on the backs of the American people.
[00:17:38.065 --> 00:17:41.786]  You have a near perfect document.
[00:17:44.807 --> 00:17:48.747]  In the words of Benjamin Franklin in 1744,
[00:17:52.318 --> 00:17:59.041]  To a collection of colonists discussing freedom, he said to them, and I quote,
[00:18:14.306 --> 00:18:18.809]  So, they're talking about the Iroquois Confederacy, and that's where the Constitution comes from.
[00:18:19.289 --> 00:18:32.417]  Because in 1988, on the eve of the 200 year anniversary of the Constitution, it was a unanimous thank you by the Congress of the United States.
[00:18:32.457 --> 00:18:36.680]  They sent, in writing, to the Six Nations Iroquois Confederacy.
[00:18:38.120 --> 00:18:43.331]  Thanking them for their input into the Constitution and the formation of the United States of America.
[00:18:43.652 --> 00:18:47.259]  So you see, the Constitution is Indian law, and that's why I love it.
[00:18:53.803 --> 00:18:58.688]  That's a short excerpt from Welcome to the Reservation with Russell Means.
[00:18:59.168 --> 00:19:11.981]  Last year, some of my crew traveled to the Lakota Nation to talk to the iconic actor and political activist, human rights activist, and I think it's one of the best
[00:19:12.762 --> 00:19:21.131]  You know, overall works out there really showing you what Russell Means stands for, not what the controlled corporate media and others say.
[00:19:21.552 --> 00:19:25.136]  And I'm proud of the work that we did with that and the great job that Russell did.
[00:19:25.576 --> 00:19:27.759]  Of course, he really doesn't need much of an introduction.
[00:19:27.779 --> 00:19:32.564]  The LA Times has described him as the most famous American Indian since Sitting Bull and Crazy Horse.
[00:19:33.605 --> 00:19:44.047]  He, of course, led the 71-day armed takeover of the sacred grounds of Wounded Knee, while the FBI and others poured in tens of thousands of rounds of ammo at them.
[00:19:44.807 --> 00:19:54.389]  He also joined the longest walk in 78 to protest the new tide of anti-Indian legislation, including the forced sterilization of Indian women.
[00:19:54.869 --> 00:19:59.370]  George Herbert Walker Bush headed all that up, and then went to China to carry out the operation there.
[00:20:00.630 --> 00:20:05.292]  He also, of course, has been in dozens and dozens of famous movies and is an iconic individual.
[00:20:05.692 --> 00:20:11.095]  And he's helped lead the movement for the Lakota Nation to declare independence.
[00:20:11.635 --> 00:20:12.836]  And that's had a lot of success.
[00:20:13.096 --> 00:20:16.297]  And he has, the doctors told him he was basically a goner.
[00:20:16.357 --> 00:20:17.418]  He's defeated cancer.
[00:20:18.338 --> 00:20:19.078]  Just amazing.
[00:20:19.118 --> 00:20:21.059]  So there's so much to talk about with Russell.
[00:20:21.359 --> 00:20:24.840]  You know, right as we got him on here during the break, I said, what do you want to talk about?
[00:20:24.860 --> 00:20:32.202]  You know, the cancer, the NDAA, police state, the new wars, you know, all the things that are going on.
[00:20:32.222 --> 00:20:37.264]  And he said, well, I want to get into the upcoming economic collapse.
[00:20:37.284 --> 00:20:40.204]  And that's certainly happening right now.
[00:20:40.244 --> 00:20:43.625]  So we'll get into that first with Russell Means joining us from his home.
[00:20:43.926 --> 00:20:45.206]  Russell, great to have you on with us.
[00:20:46.536 --> 00:20:47.016]  Thank you.
[00:20:47.136 --> 00:20:48.597]  Great to be with you again.
[00:20:49.997 --> 00:20:54.519]  So much has happened, but you predicted many years ago this economic implosion.
[00:20:54.599 --> 00:20:55.059]  It's here.
[00:20:55.559 --> 00:20:57.940]  You got criticized for not worshipping Obama.
[00:20:58.360 --> 00:21:01.821]  Now it's been proven that he's owned by the same people as Bush and others.
[00:21:02.581 --> 00:21:04.222]  You're being vindicated yet again, Russell.
[00:21:06.863 --> 00:21:09.143]  It wasn't hard at all.
[00:21:09.383 --> 00:21:12.864]  It's pretty easy to figure out which way America is going.
[00:21:15.686 --> 00:21:22.009]  You know, it's called a country founded on deceit will die by deceit.
[00:21:23.650 --> 00:21:41.319]  And with all the broken treaties, which is a violation of the Constitution, and then the ongoing violations of the Constitution against the American people starting in the 1870s, even before that in the 1840s, when they when they created the corporation.
[00:21:42.282 --> 00:21:48.966]  And then on to 1913, to the New Deal, on and on and on.
[00:21:49.126 --> 00:21:55.850]  As we go through American history, we see how they continue to put the handcuffs on American people.
[00:21:56.391 --> 00:21:57.571]  And now it's complete.
[00:21:58.192 --> 00:22:00.473]  We're a police state, no doubt about it.
[00:22:01.614 --> 00:22:05.056]  And the American people haven't risen up yet.
[00:22:05.476 --> 00:22:11.440]  I don't understand it, and I condemn it, but, you know, occupying a public park,
[00:22:12.313 --> 00:22:17.515]  Is not a meaningful strategy to get something done.
[00:22:19.196 --> 00:22:29.001]  It's it's with the impending economic collapse because based on the greed of the 1% the Wall Streeters.
[00:22:30.521 --> 00:22:32.182]  In collusion with the government.
[00:22:33.363 --> 00:22:35.083]  And corporate America.
[00:22:36.204 --> 00:22:38.105]  You know this year alone.
[00:22:39.245 --> 00:22:40.966]  Now since Obama took over.
[00:22:42.079 --> 00:22:49.723]  We've had about a 24, 23 percent inflation rate over the three years.
[00:22:50.743 --> 00:22:54.986]  Well, in the coming year, it's going to jump to 30 percent for this year.
[00:22:55.006 --> 00:22:57.267]  30 added percent.
[00:22:59.968 --> 00:23:11.174]  The reasons why is because the United States of America has lost the ability of having the U.S.
[00:23:11.254 --> 00:23:11.614]  dollar
[00:23:13.576 --> 00:23:24.268]  Be the international money utilized in all transactions on the international level of goods and services.
[00:23:25.869 --> 00:23:30.354]  Because of that, the Fed cannot continue printing money.
[00:23:30.434 --> 00:23:31.635]  They could only print money.
[00:23:33.766 --> 00:23:33.826]  Wow.
[00:23:49.901 --> 00:23:59.228]  Now, with the Fed printing funny money that has no backing, and at the same time, it's a vicious little cycle up there on Wall Street.
[00:23:59.829 --> 00:24:04.532]  The Fed is buying T-bills, which are worthless, and then issuing money.
[00:24:05.493 --> 00:24:12.058]  So, the trillion-dollar debt that everyone's talking about, yes, that hurts.
[00:24:12.798 --> 00:24:16.041]  It has to be dealt with immediately, but it's too late.
[00:24:16.901 --> 00:24:17.582]  It's too late.
[00:24:18.522 --> 00:24:25.125]  The coming 30% inflation rate is going to... What's going to happen in America?
[00:24:26.466 --> 00:24:29.087]  You're going to see trucks hijacked on the highway.
[00:24:29.707 --> 00:24:30.488]  Food trucks.
[00:24:31.268 --> 00:24:39.472]  You're going to see chaos in the South, in the Northwest, all over America.
[00:24:40.412 --> 00:24:42.773]  No longer will immigration be an issue.
[00:24:43.373 --> 00:24:46.535]  No longer will anything else be an issue except
[00:24:47.812 --> 00:24:51.094]  The worst of times, the worst of American times.
[00:24:51.555 --> 00:25:02.742]  And now you can't criticize the federal government without going, disappearing, going to Guantanamo or some like prison.
[00:25:03.802 --> 00:25:14.109]  And speaking of Guantanamo, that policy was derived strictly from American Indian policy.
[00:25:15.592 --> 00:25:23.016]  It started in the Seminole Wars and it continued with the Apache Wars and the wars with my people.
[00:25:24.037 --> 00:25:24.537]  We won!
[00:25:25.097 --> 00:25:27.699]  And of course the deceit set in.
[00:25:28.899 --> 00:25:42.507]  All I'm saying right now is we know the history, we know the contemporary times, and yet because of the impending collapse,
[00:25:44.522 --> 00:25:50.688]  With the cycle of money, of the Fed issuing money.
[00:25:52.770 --> 00:25:56.234]  That is why it's called funny money.
[00:25:57.255 --> 00:26:03.201]  It's called funny money because the dollar is no longer the international currency.
[00:26:04.202 --> 00:26:04.763]  Therefore,
[00:26:06.129 --> 00:26:14.537]  Because of all other currencies being changed to dollars so they can buy goods and services throughout the international community.
[00:26:16.359 --> 00:26:27.089]  What we have now is people are creating alliances to buy with their own monies or with gold.
[00:26:28.340 --> 00:26:32.744]  Or they're creating money like the Arab Emirates and the Middle East.
[00:26:32.784 --> 00:26:35.206]  The Arabs are starting to create their own currency.
[00:26:35.266 --> 00:26:37.367]  India just announced they're going to stop using the dollar.
[00:26:37.407 --> 00:26:38.148]  That's a big deal.
[00:26:38.828 --> 00:26:40.990]  Yes, they're buying their oil from Iran.
[00:26:41.010 --> 00:26:44.213]  And it's done with gold.
[00:26:45.734 --> 00:26:54.681]  Now, what's going to happen in America, because of this funny money, and it's a vicious cycle there, inside Wall Street,
[00:26:55.512 --> 00:27:08.762]  Where the Fed is buying up worthless T-bills, and then issuing money because they bought up all these savings, and then they're funding the banks with more money.
[00:27:09.142 --> 00:27:12.164]  It's just a vicious cycle that's suicidal.
[00:27:13.525 --> 00:27:19.669]  And that's why inflation's going to raise 30% this year alone, versus the 24% under Obama in three years.
[00:27:19.689 --> 00:27:19.950]  So you see,
[00:27:25.836 --> 00:27:29.617]  The country's going to become a calamity of chaos.
[00:27:30.477 --> 00:27:35.979]  You're going to have trucks hijacked on the highways, food trucks hijacked on the highways.
[00:27:36.379 --> 00:27:40.741]  It's going to be a dangerous time in America, and it's going to begin at the end of this year.
[00:27:42.921 --> 00:27:46.584]  Uh, in Argentina 10 years ago, or 11 years ago, the same thing happened.
[00:27:46.604 --> 00:27:49.726]  They were very wealthy, but they had the same inflation happen.
[00:27:49.806 --> 00:27:52.787]  And, you know, you're always extremely well-read, you're always up to the minute.
[00:27:53.408 --> 00:27:59.812]  Uh, the Davos meeting, as you know, the big global banksters are meeting in Europe, and they're actually saying George Soros and others.
[00:28:00.612 --> 00:28:07.734]  That total collapse, worst time in history, worse than when George Soros was even involved as a trader in World War II.
[00:28:08.094 --> 00:28:09.335]  He's actually saying that.
[00:28:10.515 --> 00:28:13.576]  All these other big bankers are saying that.
[00:28:13.596 --> 00:28:18.478]  And they've covered up the inflation so far, but you're right, it's now accelerating.
[00:28:18.818 --> 00:28:24.840]  And their answer is homeland security drills, practicing to lock up the general public,
[00:28:26.700 --> 00:28:30.683]  They're in the news again saying, arrest people that criticize the government.
[00:28:31.343 --> 00:28:34.766]  They were detaining Rand Paul and groping Ron Paul at the airport.
[00:28:34.786 --> 00:28:38.428]  And Rush Limbaugh said, well they don't want war, so they're terrorists.
[00:28:38.448 --> 00:28:39.609]  I mean, he actually said this.
[00:28:40.249 --> 00:28:47.694]  So they're sending up trial balloons now to actually use the National Defense Authorization Act on the American people.
[00:28:47.734 --> 00:28:48.454]  And as you said,
[00:28:49.415 --> 00:29:12.181]  For decades, and I've studied the history, it's true what you're saying, Hitler, the British, all of it, used their concentration camp models and their city lockdown models that they've used in Fallujah and Iraq and other areas, was all beta tested here, and now isn't it fitting in a sick way that everything that was pioneered here in the United States is now going to come back on everybody?
[00:29:13.161 --> 00:29:13.901]  On everybody.
[00:29:15.043 --> 00:29:18.730]  And that's why I mentioned that famous saying about D.C.
[00:29:18.931 --> 00:29:20.554]  The country founded on D.C.
[00:29:21.315 --> 00:29:22.478]  will die by D.C.
[00:29:23.239 --> 00:29:27.047]  And this country, you know, it's a very disparate country.
[00:29:27.791 --> 00:29:42.319]  You have the South, you have New England, you have the mid-Atlantic states, you have the Great Lakes, you have Texas, you have the Southwest, the West Coast, the Northern Plains, the Southern Plains, etc., etc.
[00:29:42.379 --> 00:29:53.465]  We have a very disparate country that's far from really being unified as a nation-state because of our lack of culture.
[00:29:54.546 --> 00:29:56.367]  Now, when we have
[00:29:57.409 --> 00:30:00.071]  A lack of culture, there goes the value system.
[00:30:01.072 --> 00:30:07.497]  And the value system in America is one of convenience.
[00:30:09.218 --> 00:30:13.121]  Everyone in America will do anything for convenience.
[00:30:14.088 --> 00:30:20.774]  Like your Apples, you know, you own about five different kinds of computers that you can carry around on your person.
[00:30:21.234 --> 00:30:22.355]  That's ridiculous.
[00:30:23.136 --> 00:30:33.865]  I've seen them in the airplanes, you know, they carry out, they have an iPhone, they have a book, they have a Kindle book, it's... and then their computer.
[00:30:34.385 --> 00:30:35.026]  It's crazy.
[00:30:36.027 --> 00:30:37.908]  This country of convenience.
[00:30:38.549 --> 00:30:41.111]  They will allow this country to do anything.
[00:30:43.234 --> 00:30:49.319]  against the Constitution, and then they opt for convenience.
[00:30:50.019 --> 00:31:06.031]  Well, we do have, and I really, really, really am afraid for Ron Paul, because he's the only one talking about the Constitution, and the best parts of it, by the way,
