[00:00:21.676 --> 00:00:24.639]  Good evening and welcome to InfoWars Nightly News.
[00:08:40.412 --> 00:08:51.975]  And you can find more information on what stage those different bills are at in your particular state by visiting the website 10thAmendmentCenter.com.
[00:08:53.860 --> 00:08:58.744]  Military top brass tell troops not to march in Ron Paul rally.
[00:08:59.605 --> 00:09:13.297]  An email leaked by multiple active duty personnel shows that the military has issued a warning to troops encouraging them not to take part in the upcoming Veterans for Ron Paul 2012 march in Washington on Monday.
[00:09:14.258 --> 00:09:35.489]  Quote, this is from the email, as a reminder, active duty personnel are prohibited by DoD Directive 1344.10 paragraph 4.1.2.10 from marching in a partisan political parade regardless of whether they are in uniform or civilian clothes reads the email which was sent from a navy.mil address
[00:09:36.329 --> 00:09:40.672]  And eventually found its way to the organizer Adam Kokesh, who of course is featured on this show.
[00:09:41.573 --> 00:10:04.271]  And you can go to infowars.com, read the full email, but in this email they add that even non-active duty and retired military, of course this whole march is veterans for Ron Paul, it's about, you know, mainly people who have retired from the military, even they cannot march according to this intimidation tactic by the military.
[00:10:06.292 --> 00:10:09.293]  Even if they're not in uniform, they can't march.
[00:10:09.453 --> 00:10:14.934]  It says they cannot be seen to be endorsing a candidate, which of course is impossible.
[00:10:15.334 --> 00:10:18.055]  That's what the march is all about, endorsing Ron Paul.
[00:10:18.475 --> 00:10:26.477]  So the military is basically threatening people who've been out of the military for years, veterans, that they can't publicly support Ron Paul.
[00:10:28.092 --> 00:10:49.787]  And so again, despite the fact that Ron Paul has the most financial support from the military out of all the Republican candidates combined, more than Obama, more than everybody else put together, Romney, Gingrich, all of them, the top brass are trying to prevent Ron Paul from being seen in the eyes of the American people as having the support of the military.
[00:10:50.828 --> 00:10:59.651]  And so it's fine, you know, to have Barack Obama doing a photo op with the troops, but God forbid should veterans who've been retired for years have anything to do with Ron Paul.
[00:11:00.851 --> 00:11:08.433]  And of course this is not the first time that the Army has tried to sabotage and intimidate people for partaking in a Ron Paul rally.
[00:11:08.914 --> 00:11:15.616]  Remember the End the Fed rallies of 2008, which of course were organized by Ron Paul supporters.
[00:11:15.696 --> 00:11:16.476]  Ron Paul himself
[00:11:17.176 --> 00:11:17.697]  I don't
[00:11:35.640 --> 00:11:42.524]  Free exercise of the First Amendment as a potential terrorist threat during which the army were ready to be mobilized.
[00:11:43.084 --> 00:11:47.647]  So again, they're trying to pull the same stunt with this Ron Paul march on Monday.
[00:11:47.687 --> 00:11:52.770]  So, I mean, people should, of course, not be intimidated by these tactics.
[00:11:53.550 --> 00:11:58.697]  You know, they're not going to court-martial thousands of people who are not even active duty in the military anymore.
[00:11:59.217 --> 00:12:10.131]  And so we encourage everyone who can make it to attend the March Veterans for Ron Paul, which begins at the Washington Monument, 12 noon and ends 3 p.m.
[00:12:10.351 --> 00:12:12.294]  at the White House on Monday.
[00:12:13.942 --> 00:12:21.985]  Next story, Israel, US exploit false flag attacks ramp up propaganda campaign, reports CurtNemo, InfoWars.com.
[00:12:22.446 --> 00:12:34.811]  In the wake of the amateurish terror attacks in India, Georgia and Thailand earlier in the week, Israel has ramped up its propaganda campaign to demonize Iran and Hezbollah by warning its citizens about the dangers of travel.
[00:12:35.371 --> 00:12:45.040]  Quote, Iran and Hezbollah are continuing to try to carry out other attacks on targets abroad, said a nameless counter-terrorism official, without offering details or credible evidence.
[00:12:45.100 --> 00:12:48.423]  That means asking Israelis abroad to be vigilant.
[00:12:48.823 --> 00:12:57.711]  And this ties in with an article that I wrote yesterday entitled, Iran teams up with Al-Qaeda, claims dubious telegraph report.
[00:12:58.311 --> 00:12:58.751]  I don't know.
[00:13:21.568 --> 00:13:25.211]  Brush aside the fact that Al-Qaeda and Iran are mortal enemies.
[00:13:25.651 --> 00:13:35.337]  Let's discount the fact that Al-Qaeda spokespeople like Zawahiri and the late al-Zarqawi routinely denounce Iran in public.
[00:13:36.178 --> 00:13:42.822]  And who is it in actual fact that's been funding and training Al-Qaeda affiliated groups to carry out terror attacks?
[00:13:43.163 --> 00:13:48.186]  Who is it that's been funding and training Al-Qaeda rebels to take over Libya and Syria?
[00:13:48.606 --> 00:13:49.487]  I'll give you a clue.
[00:13:49.707 --> 00:13:50.788]  It isn't Iran.
[00:13:52.097 --> 00:14:09.984]  NBC News, remember, reported last week, this is the same story we've been reporting for years, they just confirmed it via US officials, that groups with direct ties to Al-Qaeda, and specifically the group MEK, are carrying out bombings and assassinations in Iran.
[00:14:10.344 --> 00:14:14.146]  And this is being bankrolled and directed from Israel.
[00:14:14.306 --> 00:14:19.848]  This, of course, is the same group, MEK, that's been backed financially by the United States since at least 2007.
[00:14:21.809 --> 00:14:38.300]  So while Israel and the US are admittedly funding and training Al-Qaeda linked groups to attack Iran, the corporate media, the same media who sold you weapons of mass destruction, Niger Yellow Cake and phony 45 minute warnings before the invasion of Iraq,
[00:14:40.475 --> 00:14:55.714]  Now they're saying that Iran has teamed up with Al-Qaeda, even when the US government's publicly airlifting the same Al-Qaeda rebels who helped them overthrow Gaddafi, who have turned Libya into a hellhole, airlifting them into Syria to take down Assad.
[00:14:56.843 --> 00:15:05.454]  And yet all along reporting that it's Iran that's teamed up with Al-Qaeda, when in fact, in your face, it's the US and Israel, as ever.
[00:15:06.275 --> 00:15:11.582]  And bearing all that in mind, this also ties into this story which broke just a few hours ago.
[00:15:12.483 --> 00:15:41.779]  Fox News Feds Arrest Man Allegedly Heading To US Capital For Suicide Mission After Sting Investigation Authorities Have Arrested A Man Allegedly On His Way To The US Capital For What He Thought Would Be A Suicide Attack On One Of The Nation's Most Symbolic Landmarks Fox News Has Learned Exclusively The Man In His 30s And Of Moroccan Descent Was Dabbed Following A Lengthy Investigation By The FBI Initiated After He Expressed Interest In Conducting An Attack It's Unclear
[00:15:42.119 --> 00:15:47.410]  How the FBI learned of his aspirations, though he came onto the radar screen of law enforcement in early December.
[00:15:48.112 --> 00:15:52.481]  So they say it's... unclear how the FBI learned of his aspirations.
[00:15:52.521 --> 00:15:52.641]  Well...
[00:15:54.013 --> 00:15:55.314]  Fox News, I'll give you a hint.
[00:15:55.814 --> 00:16:04.459]  Do you think for a second that this is just like almost every other single terror bust that the FBI has been involved in since 9-11?
[00:16:05.520 --> 00:16:12.124]  That the FBI provided him with the means, the radicalization and the training to go ahead with this?
[00:16:12.784 --> 00:16:14.906]  And it's actually in the article itself.
[00:16:15.686 --> 00:16:20.671]  That it's another fabricated terror plot run from beginning to end by the FBI.
[00:16:21.231 --> 00:16:29.159]  Quote, the man thought undercover FBI agents assisting him in his plot were associates of Al-Qaeda.
[00:16:30.444 --> 00:16:39.034]  And it goes on to admit that the FBI provided him with a disabled gun during their ongoing operation, Fox News has learned.
[00:16:39.475 --> 00:16:45.241]  And then it says also that the guy had fake explosives, which the FBI knew were duds.
[00:16:45.401 --> 00:16:46.543]  Well, how did they know?
[00:16:46.563 --> 00:16:48.685]  Because they gave them to him!
[00:16:49.426 --> 00:16:51.327]  Just like every other similar case.
[00:16:52.287 --> 00:17:05.394]  And I'm sure, just like the bizarre incident in Bangkok, which had no connection to the Iranian government, it turned out, but the Israelis claimed it did anyway, that this, again, will be further used to grease the skids for an attack on Iran.
[00:17:06.354 --> 00:17:11.656]  Just like the completely manufactured Saudi Ambassador assassination plot.
[00:17:11.696 --> 00:17:18.559]  Remember, Tony Schafer came out and said that the FBI, his sources in the FBI, had no information on it whatsoever.
[00:17:19.379 --> 00:17:28.482]  It was a ridiculous, ludicrous concoction that a used car salesman was going to start assassinating Saudi ambassadors in America.
[00:17:29.663 --> 00:17:32.784]  And again, that was used to grease the skids to demonize Iran.
[00:17:34.059 --> 00:17:34.780]  As will this.
[00:17:34.800 --> 00:17:37.901]  I mean, you can add it to the growing list of contrived terror plots.
[00:17:38.482 --> 00:17:40.783]  Underwear bomber again in focus yesterday.
[00:17:40.863 --> 00:17:41.644]  No passport.
[00:17:41.684 --> 00:17:43.405]  Well-dressed man helps him get on the plane.
[00:17:43.465 --> 00:17:46.506]  State Department ordered by the CIA to let him on.
[00:17:47.547 --> 00:17:49.488]  Toronto 18 in Canada.
[00:17:49.868 --> 00:17:52.170]  Bunch of mental incompetence.
[00:17:52.230 --> 00:17:57.433]  The Royal Canadian Mounted Police gave them the fertilizer explosive via their informant.
[00:17:57.933 --> 00:17:58.453]  Miami 7.
[00:17:59.594 --> 00:18:02.395]  Supposedly going to attack the Sears Tower in Chicago.
[00:18:02.836 --> 00:18:06.757]  Semi-retarded gangbangers, provocateur from start to finish by the FBI.
[00:18:07.658 --> 00:18:12.120]  The Bronx plot to blow up synagogues and bring down airliners in New York.
[00:18:12.780 --> 00:18:14.361]  Ringleaders, two potheads.
[00:18:14.901 --> 00:18:20.344]  Given fake explosives and an inactive missile by the FBI.
[00:18:20.624 --> 00:18:22.565]  Notice a trend emerging here.
[00:18:22.985 --> 00:18:25.746]  Fort Dix 2007 plot to kill soldiers.
[00:18:26.227 --> 00:18:27.687]  FBI informants again.
[00:18:28.048 --> 00:18:29.869]  The key figures behind the operation.
[00:18:29.909 --> 00:18:32.050]  They planted and nurtured the plot.
[00:18:33.007 --> 00:18:37.750]  And you can go down the list, whether it's England, Canada, US, same thing every time.
[00:18:38.131 --> 00:18:43.154]  Authorities provoke, provocateur, nurture the plot from beginning to end.
[00:18:44.195 --> 00:18:49.579]  And in the US, every single major terror bust has been a case of entrapment, which is exactly what this appears to be.
[00:18:50.711 --> 00:18:59.683]  The plot is, you know, completely fabricated by the FBI, foisted upon some poor, retarded individual who's given fake explosives and arrested.
[00:19:00.444 --> 00:19:06.012]  And, you know, it's the 21st century version of Marinus van der Lubbe and the Reichstag.
[00:19:06.673 --> 00:19:10.795]  And this is why the TSA gets to put its hands down your pants.
[00:19:10.815 --> 00:19:14.936]  This is why the FBI's spying on your Facebook and Twitter posts.
[00:19:15.477 --> 00:19:19.058]  And this is why the DHS is recruiting Americans to spy on each other.
[00:19:19.578 --> 00:19:22.379]  And it's one big fabricated hoax.
[00:19:23.480 --> 00:19:25.801]  The war on terror is contrived nonsense.
[00:19:26.241 --> 00:19:35.505]  And this Moroccan patsy that Fox News is excitedly reporting about is just the latest chapter in this work of fiction.
[00:19:37.054 --> 00:19:46.042]  Just before we sign off here, I encourage all of you who are watching this on YouTube to sign up at PrisonPlanet.tv and get your subscription.
[00:19:47.023 --> 00:19:50.026]  Years and years of multimedia archives now available.
[00:19:50.046 --> 00:19:52.669]  Of course, you get the Alex Jones Show live video.
[00:19:53.229 --> 00:19:54.010]  We're good to go.
[00:20:23.192 --> 00:20:26.317]  That's going to do it for this edition of InfoWars Nightly News.
[00:20:26.377 --> 00:20:30.502]  I've been your host, Paul Joseph Watson, and we'll see you on the next edition.
[00:20:30.583 --> 00:20:31.083]  Take care!
[00:20:41.257 --> 00:20:43.718]  Why don't you never answer that question, sir?
[00:20:43.758 --> 00:20:47.801]  Newt, never answer that question.
[00:20:47.821 --> 00:20:51.303]  Why do you keep dodging questions about the Bohemian Grove up to you, Newt?
[00:20:51.323 --> 00:20:52.864]  Why do you keep dodging questions?
[00:20:53.044 --> 00:20:56.286]  Hey, Mr. Speaker, what did you do at the Bohemian Grove?
[00:20:56.326 --> 00:20:57.607]  Good to see you, Mr. Speaker.
[00:20:57.647 --> 00:20:58.727]  I like photographers, I'm one.
[00:21:05.211 --> 00:21:07.732]  How come you keep dodging questions about the Bohemian Grove, sir?
[00:21:07.792 --> 00:21:09.173]  I should have to, God bless you.
[00:21:09.253 --> 00:21:09.734]  Oh, sorry.
[00:21:09.874 --> 00:21:11.615]  You'd seriously, why all the secrecy?
[00:21:11.675 --> 00:21:16.137]  If all the rest will be rain, the fires shall have its will of thee, and all the winds may vary with thy dust.
[00:21:33.325 --> 00:21:33.765]  Bring fire!
[00:22:03.322 --> 00:22:05.943]  You know, it's nice to know that there's some people who have fantasy lives.
[00:22:06.363 --> 00:22:07.484]  That have nothing to invest in.
[00:22:07.844 --> 00:22:09.064]  Nice to have you here.
[00:22:09.084 --> 00:22:09.444]  Bye bye.
[00:22:09.724 --> 00:22:10.605]  You can't answer the question?
[00:22:10.625 --> 00:22:11.965]  You can't?
[00:22:12.145 --> 00:22:13.066]  Can't you answer the question?
[00:22:13.446 --> 00:22:18.008]  See you later.
[00:22:18.268 --> 00:22:28.752]  I know you consider yourself a Catholic, but what happens when you worship Moloch at the Bohemian Grove?
[00:22:39.255 --> 00:22:43.298]  New York Post says that male prostitutes were shipped in into the Bohemian Grove.
[00:22:47.062 --> 00:22:52.686]  Can you tell us what happens there?
[00:22:52.987 --> 00:22:54.168]  You actually believe all this, John?
[00:22:54.508 --> 00:22:57.350]  Bill Clinton said that Republicans run around naked in the woods there.
[00:22:57.370 --> 00:22:58.611]  Did you say the Bohemian Club?
[00:22:58.691 --> 00:22:58.772]  Yeah.
[00:22:59.852 --> 00:23:03.796]  That's where all those rich Republicans go out and stand naked against redwood trees, right?
[00:23:06.320 --> 00:23:08.581]  I've never been to the Bohemian Club, but you ought to go.
[00:23:08.601 --> 00:23:09.321]  It'd be good for you.
[00:23:09.361 --> 00:23:10.121]  Get some fresh air.
[00:23:12.561 --> 00:23:14.682]  And you don't want to know what Richard Nixon said about the place.
[00:23:14.722 --> 00:23:17.802]  The Bohemian Grove, that I attend, one time at a time.
[00:23:18.263 --> 00:23:19.783]  The Easterseers and the others have come there.
[00:23:20.423 --> 00:23:23.244]  But it is the most faggot goddamn thing you will ever hear.
[00:23:23.304 --> 00:23:25.024]  I never imagined the San Francisco crowd would go there.
[00:23:25.044 --> 00:23:26.464]  It's just terrible.
[00:23:26.484 --> 00:23:29.985]  I mean, I don't want to see the hands of everybody in San Francisco.
[00:23:30.305 --> 00:23:31.265]  That's the place you attended.
[00:23:31.305 --> 00:23:32.286]  It's a secret society.
[00:23:32.346 --> 00:23:33.946]  Can you tell us at least who invited you?
[00:23:36.206 --> 00:23:38.852]  You know, it's nice to know that there's some people who have fantasy lives.
[00:23:39.072 --> 00:23:40.235]  It's not fantasy, it's true.
[00:23:40.255 --> 00:23:41.337]  They have nothing to invest in.
[00:23:41.357 --> 00:23:42.359]  Nice to meet you, bye bye.
[00:23:42.640 --> 00:23:43.823]  You can't answer the question.
[00:23:44.043 --> 00:23:44.424]  You can't?
[00:23:44.705 --> 00:23:45.967]  You can't answer the question.
[00:23:45.987 --> 00:23:46.749]  See you later.
[00:23:50.566 --> 00:23:52.368]  Greetings, fellow InfoWarriors.
[00:23:53.008 --> 00:24:00.735]  Alex Jones here, announcing the first of many trips that I'm going to take across this wonderful United States that we live in.
[00:24:01.056 --> 00:24:10.965]  And we get so busy here at InfoWars.com, the nightly news, the daily radio show, the documentary films, and all the other things we're doing that I tend to never go out and give speeches anymore.
[00:24:11.365 --> 00:24:15.108]  And I've got a lot of ideas bubbling around in my head about the history of the New World Order.
[00:24:15.388 --> 00:24:16.789]  What makes them tick and how to defeat them.
[00:24:17.089 --> 00:24:19.471]  So I'm titling this key speech I'm going to give.
[00:24:19.971 --> 00:24:21.672]  It'll run around two hours long.
[00:24:22.293 --> 00:24:24.074]  Blueprint to Defeat the New World Order.
[00:24:24.334 --> 00:24:30.098]  And we're also going to have a surprise premiere of a short documentary film we've been working on at the event.
[00:24:30.519 --> 00:24:32.640]  First off, I'm going to be going to Dallas, Texas.
[00:24:33.061 --> 00:24:34.602]  Sunday, February 19th, 2012.
[00:24:34.762 --> 00:24:37.464]  To the historic Lakewood Theater.
[00:24:38.044 --> 00:24:42.252]  And the next Sunday, February 26th, I'm going to be in Orlando, Florida.
[00:24:42.913 --> 00:24:48.583]  You can find out more about the events and buy tickets at infowars.com forward slash events.
[00:24:49.520 --> 00:24:52.962]  Now, unfortunately, every event I've ever had, we've had to turn people away.
[00:24:53.563 --> 00:24:57.485]  So get your tickets early at InfoWars.com forward slash events.
[00:24:57.785 --> 00:24:59.747]  There's a lot of crazy stuff going on in this world.
[00:25:00.447 --> 00:25:02.989]  The craziest of all is this explosive awakening.
[00:25:03.669 --> 00:25:05.430]  I can't wait to meet you and shake your hand.
[00:25:05.871 --> 00:25:07.852]  I'll see you in Dallas and I'll see you in Orlando.
[00:25:08.513 --> 00:25:10.454]  InfoWars.com forward slash events.
[00:25:23.786 --> 00:25:25.707]  Welcome back to InfoWars Nightly News.
[00:25:25.987 --> 00:25:29.968]  I'm your fill-in host, Rob Dew, and I'd like to thank Paul Watson for covering the news portion.
[00:25:29.988 --> 00:25:34.630]  I was watching him do that, and there's just a couple other things that I thought of.
[00:25:35.730 --> 00:25:43.573]  I remember reading a Chuck Baldwin article from a few years ago when he was talking about Virginia passing the NDAA nullification legislation.
[00:25:44.213 --> 00:25:48.894]  And, you know, Virginia Governor Bob McDonald says he's on record of opposing the legislation.
[00:25:48.914 --> 00:25:49.575]  Well, here's why.
[00:25:50.635 --> 00:25:51.496]  What is going to tell you this?
[00:25:52.157 --> 00:25:53.358]  We got another graphic there.
[00:25:53.418 --> 00:25:55.821]  He is on the Council of Governors that Obama started.
[00:25:55.841 --> 00:25:57.884]  He picked out ten governors, two of which aren't even...
[00:26:00.011 --> 00:26:04.235]  You know, Puerto Rico, I don't believe has been named a state yet.
[00:26:04.375 --> 00:26:06.977]  But anyway, Governor Bob McDonald's right there.
[00:26:07.838 --> 00:26:12.762]  So that's why you're not going to see him going against the President who picked him to be on this council.
[00:26:13.042 --> 00:26:26.173]  That's all about political kickbacks and that Council of Governors is supposedly to create a Republican-Democrat coalition that comes together to help enforce all the laws that us regular people really don't like.
[00:26:27.629 --> 00:26:38.812]  And furthermore, just this past break, you watched Lew Grodowski confronting Newt Gingrich five times in one video, and he's completely ignoring him when he talks about Bohemian Grove.
[00:26:38.832 --> 00:26:48.615]  And then we showed the other video that he did a couple months ago, when Newt was kind of in his ascendancy, and now he's kind of floundering in last place, far behind everyone.
[00:26:48.995 --> 00:26:50.435]  But, you know, right here we have the book.
[00:26:50.755 --> 00:26:51.856]  It was sent in from a listener.
[00:26:51.916 --> 00:26:54.276]  This is the Annals of Bohemian Grove, 87 to 96.
[00:26:56.377 --> 00:26:58.759]  Okay, and you've got all these pictures.
[00:26:58.779 --> 00:26:59.900]  There's a cremation of care.
[00:27:00.060 --> 00:27:03.323]  There's Jimmy Carter who came on, also Jack Kemp.
[00:27:04.003 --> 00:27:09.268]  And then there you got Newt inside the book and you got the two bushes together like father like son.
[00:27:09.288 --> 00:27:12.610]  And here's another picture we found.
[00:27:13.211 --> 00:27:14.972]  You go to this overhead dot cam shot.
[00:27:16.493 --> 00:27:19.015]  Here's Newt Gingrich with John O'Connor in 1995.
[00:27:19.816 --> 00:27:25.340]  So there he is right there in the book, in the flesh.
[00:27:26.570 --> 00:27:27.171]  It's Nudie.
[00:27:27.611 --> 00:27:28.873]  Alright, he goes to the grove.
[00:27:28.933 --> 00:27:39.785]  He may not want to admit it, and he didn't even kind of slide off the question by saying, oh, haha, we go there to have gentleman fun, you know, we go there for a gentleman's parties and all that other stuff.
[00:27:39.845 --> 00:27:40.365]  No, no, no.
[00:27:41.466 --> 00:27:43.809]  He goes there, they do Luciferian worshipping.
[00:27:45.074 --> 00:27:45.695]  Ceremonies.
[00:27:46.496 --> 00:27:47.538]  Worshipping stone owls.
[00:27:48.679 --> 00:27:50.342]  And he doesn't want you to know about it.
[00:27:50.382 --> 00:27:58.032]  He wants to pretend that he's a great man and that you should vote for him for president because he's going to build a moon base and whatnot.
[00:27:58.672 --> 00:28:03.456]  One final article, Alex covered this a little bit today, and this was Kurt Haskell brought this to my attention.
[00:28:04.037 --> 00:28:05.418]  Trinity Speakers say U.S.
[00:28:05.498 --> 00:28:09.601]  must share sacrifice, and this is from the San Antonio Express.
[00:28:09.621 --> 00:28:14.385]  So you got Alan Simpson and Erskine Biles, couple of fossil
[00:28:17.226 --> 00:28:19.047]  Well, I'll just read it right here.
[00:28:19.087 --> 00:28:20.047]  Simpson, a former U.S.
[00:28:20.067 --> 00:28:31.450]  Senator from Wyoming, and Bowles, the White House Chief of Staff under Clinton, say the only way to get the country's finances on a sustainable path is a combination of cutting costs, increasing taxes, and encouraging economic growth.
[00:28:32.730 --> 00:28:37.391]  Now, increasing taxes and encouraging economic growth, well, that's not going to happen.
[00:28:37.551 --> 00:28:40.272]  You can't encourage economic growth by increasing taxes.
[00:28:40.292 --> 00:28:41.232]  That's already been proven.
[00:28:41.974 --> 00:28:45.977]  Putting everything from Social Security benefits to defense spending and Medicare on the table.
[00:28:46.598 --> 00:28:46.938]  Guess what?
[00:28:46.958 --> 00:28:48.519]  They're not going to put defense spending on the table.
[00:28:48.539 --> 00:28:51.762]  They're going to put your Social Security and your Medicare on the table.
[00:28:52.582 --> 00:29:08.175]  And Simpson & Balspork Tuesday morning is part of the Trinity University's Policymaker Breakfast Series, zinging a series of jokes and one-liners at an audience of about 500 with a serious message and words politicians use such as shared sacrifice.
[00:29:10.151 --> 00:29:18.335]  They say if the country doesn't act, the financial markets will eventually raise the cost of credit, likely turning on a dime and moving without warning, as is happening in Europe.
