[00:00:22.435 --> 00:00:25.559]  Hello everyone, welcome to the InfoWars Nightly News.
[00:02:48.927 --> 00:02:50.808]  So, it really is a life term.
[00:02:52.489 --> 00:02:56.371]  I understand that there were five witnesses called to the stand.
[00:02:56.831 --> 00:02:59.273]  What did any of the other victims, did they have anything to say?
[00:03:01.996 --> 00:03:03.857]  We weren't really called to the stand.
[00:03:03.897 --> 00:03:09.779]  What happened was every victim of this crime had a chance to make a statement before sentencing.
[00:03:10.199 --> 00:03:16.601]  So only five people decided to do that out of 289 passengers, I think.
[00:03:16.841 --> 00:03:17.541]  Imagine that.
[00:03:17.921 --> 00:03:18.761]  Yeah, imagine that.
[00:03:19.521 --> 00:03:21.402]  And Lori and I were two of the five.
[00:03:21.802 --> 00:03:23.563]  So besides us, there were only three others.
[00:03:25.751 --> 00:03:28.892]  Judge Edmonds put a limit on it that we can only talk five minutes each.
[00:03:29.532 --> 00:03:37.554]  So I've been making a very, very compacted statement to try and fit it into five minutes, you know, that I wrote earlier this week.
[00:03:37.634 --> 00:03:44.316]  And I, you know, I gave my statement today, basically ripping on the government as I've been doing for two years now.
[00:03:45.496 --> 00:03:49.117]  And that statement is posted on our website, Infowars.com.
[00:03:49.297 --> 00:03:56.459]  Also remember that you posted in your blog back in 2011 that you decided not to file a lawsuit.
[00:03:56.579 --> 00:03:57.479]  Can you tell us why?
[00:03:58.980 --> 00:04:02.721]  Yeah, you know, that was a really, really, really hard decision.
[00:04:02.941 --> 00:04:04.221]  I went back and forth on it.
[00:04:05.322 --> 00:04:06.782]  I'm going to file and I'm not going to file.
[00:04:06.802 --> 00:04:08.082]  I'm going to file and I'm not going to.
[00:04:08.482 --> 00:04:09.983]  And every time I'd work on the case,
[00:04:11.323 --> 00:04:16.948]  I would figure out that it was much, much, much more time-consuming than I thought it would be.
[00:04:16.968 --> 00:04:24.335]  You know, I thought it'd be fairly simple and every time I'd look into it, you know, there'd be this law and that law and this law.
[00:04:24.355 --> 00:04:30.781]  I mean, we're talking about international law, aviation law, things I know nothing about and I was spending a ton of time on it.
[00:04:31.641 --> 00:04:35.164]  And that was one of the reasons, but also,
[00:04:37.760 --> 00:04:46.402]  When the NDAA was passed a month or so ago, I was really not happy with the reaction by the American public.
[00:04:46.502 --> 00:04:52.443]  I thought, to me, the NDAA is maybe the worst law ever, well, up there with the Patriot Act anyway.
[00:04:53.923 --> 00:05:01.885]  I thought there should have been picketing in the streets, people going crazy in Washington over this, and there was basically nothing, and that got me thinking, well,
[00:05:02.793 --> 00:05:07.576]  Does anybody really care if I file a civil suit against the government in the Underwear Bomber case?
[00:05:07.636 --> 00:05:15.060]  And my, you know, my thinking was, no, except for the people that are already caring about what I do.
[00:05:15.761 --> 00:05:17.402]  And so that was reason number two.
[00:05:17.502 --> 00:05:18.462]  And reason number three,
[00:05:19.525 --> 00:05:34.573]  Was that President Obama appointed a bipartisan commission to study the economy and they came out with a report about two months ago or three months ago and every single person that was in the committee
[00:05:35.393 --> 00:05:36.955]  Indicated that the U.S.
[00:05:37.135 --> 00:05:40.018]  government would collapse, and the U.S.
[00:05:40.038 --> 00:05:43.601]  would collapse economically no later than fall 2013.
[00:05:46.424 --> 00:05:52.550]  Obviously if I had filed a lawsuit against the government, it would most likely take longer than that, number one.
[00:05:52.570 --> 00:05:53.190]  Number two,
[00:05:54.221 --> 00:06:08.074]  It got me thinking that maybe instead of spending so much time on the lawsuit, I need to spend time preparing to move to Costa Rica, as I've planned for several years, and save as much money as I can to do that.
[00:06:08.554 --> 00:06:10.336]  So it's a combination of all those things.
[00:06:11.172 --> 00:06:17.693]  Well sure, and fortunately, at least by going up there and giving your statement, I mean you are getting some national attention.
[00:06:17.733 --> 00:06:19.614]  The Detroit Press has quoted you.
[00:06:21.254 --> 00:06:35.977]  They also say that you still believe, and this is in the Detroit Press today, that Kurt Haskell said he still believes a federal agent gave Abdulmutallabab a defective bomb to carry out on the plane to create an incident
[00:06:36.477 --> 00:06:37.158]  Yeah, a couple things.
[00:06:37.178 --> 00:06:39.079]  One, you know, when I made my statement today,
[00:07:06.619 --> 00:07:08.881]  Judge Edmonds was not happy with me.
[00:07:09.101 --> 00:07:13.125]  She was pissed that I made my statement today and said what I did.
[00:07:14.086 --> 00:07:18.450]  Obviously... Did anybody warn you not to make this statement beforehand?
[00:07:18.510 --> 00:07:21.193]  Or did you get any kind of bad, you know, vibe?
[00:07:21.213 --> 00:07:22.634]  Like, man, I shouldn't be doing this?
[00:07:22.734 --> 00:07:25.297]  Or how was the climate when you went in there?
[00:07:25.922 --> 00:07:28.203]  I didn't tell anyone what I was going to say.
[00:07:29.143 --> 00:07:29.483]  Nobody.
[00:07:29.503 --> 00:07:32.284]  Except for your show.
[00:07:32.364 --> 00:07:37.865]  I did tell your show with instructions to not post my statement on the internet after I gave it for that reason.
[00:07:38.225 --> 00:07:43.126]  I didn't want anyone to know what I was going to say because I thought Judge Edmonds might try and stop me.
[00:07:43.886 --> 00:07:45.707]  Now, when I gave my statement,
[00:07:48.163 --> 00:07:55.285]  I intentionally wanted to get some sympathy in the hopes that Judge Edmonds would not cut me off.
[00:07:55.985 --> 00:08:08.268]  So what I did is I thanked the person that saved my life, who is also there today, the flight attendant that put out the fire, which kind of choked me up a little, to get some sympathy so that she would not cut me off.
[00:08:08.388 --> 00:08:09.468]  And she did not cut me off.
[00:08:10.488 --> 00:08:11.529]  Uh, which was my goal.
[00:08:11.709 --> 00:08:13.850]  But she was very, very, very pissed.
[00:08:14.131 --> 00:08:14.611]  I could tell.
[00:08:15.672 --> 00:08:18.613]  And she, Lori gave her speech after I did.
[00:08:19.494 --> 00:08:27.759]  And Judge Edmonds asked her before she went up there if she was going to talk about the government being involved before she got up there.
[00:08:28.420 --> 00:08:29.761]  So, that was kind of funny.
[00:08:30.341 --> 00:08:35.644]  About the case itself though, one thing still really bothers me and that's, you know,
[00:08:37.606 --> 00:08:42.692]  Umar pleaded guilty to a mandatory life sentence.
[00:08:42.712 --> 00:08:44.253]  So why would you do that?
[00:08:44.774 --> 00:08:48.718]  Not only that, nobody pleads guilty to a mandatory life sentence.
[00:08:48.758 --> 00:08:50.860]  If you take a plea deal, there's some give and take.
[00:08:52.642 --> 00:08:56.266]  You take a lesser charge, or maybe there's some leniency in your sentence.
[00:08:57.187 --> 00:08:58.128]  There was nothing there.
[00:08:59.189 --> 00:09:04.394]  The plea deal was taken five days after he announced that I'd be testifying on his behalf.
[00:09:04.554 --> 00:09:05.014]  I remember.
[00:09:06.095 --> 00:09:10.438]  Five days later, he takes a plea to a mandatory life sentence.
[00:09:10.839 --> 00:09:11.419]  No way!
[00:09:11.880 --> 00:09:14.582]  No way does that happen without something else going on here.
[00:09:14.662 --> 00:09:15.502]  I don't know what it is.
[00:09:17.264 --> 00:09:17.964]  I don't believe it.
[00:09:19.085 --> 00:09:23.049]  I think there's some kind of deal going on that we don't know about that isn't being reported.
[00:09:25.623 --> 00:09:26.664]  I don't know what it is, though.
[00:09:26.984 --> 00:09:37.891]  Not only that, but Anthony Chambers, the standby attorney, told me that there were very lenient plea deals on the table all along, going back over a year.
[00:09:38.351 --> 00:09:46.637]  So why would someone turn down a lenient plea deal to take a plea knowing you'd get mandatory life sentence with no chance of parole?
[00:09:47.157 --> 00:09:49.398]  That's the question I really want answered right now.
[00:09:49.639 --> 00:09:51.320]  You know, we'll never get an answer, but...
[00:09:52.017 --> 00:09:52.497]  Yeah, true.
[00:09:52.557 --> 00:09:54.979]  And he was obviously influenced in some way.
[00:09:55.019 --> 00:09:57.520]  Well, we certainly thank you for joining us.
[00:09:58.360 --> 00:09:59.681]  We appreciate you coming forward.
[00:10:00.541 --> 00:10:08.966]  Your involvement in the case has undoubtedly shed light on possible government complicity, and without you speaking out, the historical details would have never seen the light of day.
[00:10:09.046 --> 00:10:13.568]  So I admire your courage, and may the Lord protect you, sir.
[00:10:14.701 --> 00:10:15.582]  Thanks a lot.
[00:10:16.522 --> 00:10:20.425]  Okay, so once again, the Patsy gets life in prison.
[00:10:20.645 --> 00:10:21.886]  No big surprise there.
[00:10:22.466 --> 00:10:27.390]  Continuing with our top headlines, Big Sis admits that the U.S.
[00:10:27.450 --> 00:10:39.839]  does not face a terror threat from Iran or Hezbollah, despite all the hype drummed up by the establishment media about a scary Iranian or Hezbollah attack on soft targets in the United States.
[00:10:40.339 --> 00:10:45.820]  The Department of Homeland Security has admitted that there is no specific threat facing the country.
[00:10:46.300 --> 00:10:52.922]  DHS boss Janet Dungbeetle Napolitano was obliged to admit that no such threat exists.
[00:10:53.302 --> 00:10:56.282]  She said, however, that there is a threat that bears watching.
[00:10:56.662 --> 00:11:08.585]  Meanwhile, CNN and the establishment media have enthusiastically hyped Israel's terror narrative by running reports and stories speculating an attack on Jewish targets inside the United States.
[00:11:09.565 --> 00:11:15.687]  The medical establishment is firing patients who refuse big pharma, big government vaccines.
[00:11:16.067 --> 00:11:31.792]  This is an article posted in the Wall Street Journal where they mention a study of Connecticut pediatricians published last year says that some 30% or 133 doctors said that they had asked a family to leave their practice for vaccine refusal.
[00:11:31.852 --> 00:11:32.632]  Can you imagine?
[00:11:33.252 --> 00:11:41.599]  And a recent survey of 909 Midwestern pediatricians found that 21% reported discharging families for the same reason.
[00:11:42.240 --> 00:11:43.901]  Well, now two can play at that game.
[00:11:44.442 --> 00:11:52.729]  If your doctor or pediatrician wants to inject you and your children with toxic chemicals, then you fire them and find yourself another doctor.
[00:11:53.309 --> 00:11:56.853]  I suggest that, well, you can learn more about the dangers of vaccines.
[00:11:56.913 --> 00:12:00.215]  Go to vactruth.com, do the research yourself.
[00:12:01.017 --> 00:12:03.033]  I'm sure you'll make the right decision.
[00:12:04.778 --> 00:12:11.982]  Now before we start talking about false flag terrorism, I want to take you to a piece that was put together by our very own John Bowne.
[00:12:12.322 --> 00:12:26.191]  He's a very talented writer and producer here at InfoWars.com, and he's going to educate us on the Hegelian dialectic, and he's focusing on the psychology behind government-sponsored terrorism.
[00:12:26.511 --> 00:12:31.514]  The global banking cartel has used one tried-and-true process to create wars,
[00:12:32.174 --> 00:12:35.575]  Rob us of our currency and eat away at our substance.
[00:12:36.615 --> 00:12:42.037]  This process of control over the masses is called the Hegelian dialectic.
[00:12:43.197 --> 00:12:43.757]  So what is it?
[00:12:44.497 --> 00:12:46.238]  And how is it being used today?
[00:12:47.778 --> 00:12:56.020]  German philosopher George Wilhelm Friedrich Hegel devised a dialectic, or method to resolve a disagreement between outcomes.
[00:12:56.320 --> 00:12:59.241]  The dialectic is made up of three attributes.
[00:13:00.319 --> 00:13:02.562]  Thesis, an idea or opinion.
[00:13:03.503 --> 00:13:06.928]  Antithesis, the opposite idea or opinion.
[00:13:07.408 --> 00:13:12.555]  And synthesis, the alchemic process to bring together a wanted change.
[00:13:13.516 --> 00:13:16.780]  It is commonly referred to as order out of chaos.
[00:13:17.748 --> 00:13:20.749]  and is waged against the masses in many forms.
[00:13:21.170 --> 00:13:28.533]  Saul Alinsky, self-avowed Marxist, proponent of the Hegelian dialectic, published this in Rules for Radicals.
[00:13:29.053 --> 00:13:37.817]  Any revolutionary change must be preceded by a passive, affirmative, non-challenging attitude toward change among the mass of our people.
[00:13:38.077 --> 00:13:46.121]  They must feel so frustrated, so defeated, so lost, so futureless in the prevailing system,
[00:13:46.781 --> 00:13:51.287]  That they're willing to let go of the past and chance the future.
[00:13:51.908 --> 00:14:03.364]  George Bush became the hero of 9-11 simply due to the fact that he was the president, and then rammed through legislation that threatened our liberties as we all complacently stood by and allowed it to happen.
[00:14:04.662 --> 00:14:06.503]  A manufactured crisis occurs.
[00:14:06.923 --> 00:14:07.343]  Thesis.
[00:14:08.003 --> 00:14:13.685]  George Bush answers it by rallying public opinion and becoming the host of the tragedy.
[00:14:14.346 --> 00:14:15.146]  Antithesis.
[00:14:15.586 --> 00:14:18.227]  Thus owning the crisis through synthesis.
[00:14:18.647 --> 00:14:20.028]  Equilibrium is attained.
[00:14:20.828 --> 00:14:23.849]  All of the once separate parts of the plan are joined together.
[00:14:24.089 --> 00:14:31.472]  In this example, the Patriot Act acting as the equilibrium on the desired road to tyrannical fascism in America.
[00:14:32.079 --> 00:14:33.600]  They're too good at what they're doing.
[00:14:33.940 --> 00:14:35.722]  They create the crisis on record.
[00:14:35.762 --> 00:14:36.783]  They sell the fraud.
[00:14:37.063 --> 00:14:38.564]  Then they say, give us more power.
[00:14:38.844 --> 00:14:41.926]  Give up your sovereignty, Europe, America, and we'll fix it.
[00:14:41.946 --> 00:14:43.468]  But then it only implodes faster.
[00:14:43.808 --> 00:14:48.011]  They make bigger bonuses, but they're destroying their own golden goose.
[00:14:48.091 --> 00:14:49.632]  They're hacking it open greedily.
[00:14:49.652 --> 00:14:53.415]  When it's given them a golden egg every morning, they think there's eggs inside.
[00:14:54.556 --> 00:14:58.719]  I think the point you made of this, because they're on record creating this to consolidate power.
[00:14:58.779 --> 00:14:59.580]  They've bragged about it.
[00:15:00.740 --> 00:15:09.122]  Those memos have been made public by Goldman Sachs and others, but they're going to fry things so badly the bankers are all running to private islands with their own security teams.
[00:15:09.162 --> 00:15:20.005]  I mean, like, they want to rule everything so much and have just so many digits in their bank accounts that they're going to devalue the value of the digits through their sheer greed.
[00:15:21.185 --> 00:15:22.065]  That is a possibility.
[00:15:22.245 --> 00:15:23.986]  And if you look at the Hegelian dialectic,
[00:15:24.819 --> 00:15:31.904]  If that crisis at the beginning spins out of control, they lose the tail end of the dialectic, don't they?
[00:15:33.445 --> 00:15:35.166]  There will be no synthesis at the end.
[00:15:35.186 --> 00:15:36.427]  They'll be lucky if they survive.
[00:15:36.927 --> 00:15:43.152]  Another method to manipulate the masses is the use of two opposing views to attain the desired view.
[00:15:43.412 --> 00:15:45.954]  Politician A espouses the first view.
[00:15:46.721 --> 00:15:49.302]  Politician B counters with a different view.
[00:15:49.782 --> 00:15:54.663]  A clear example of this was the debate over the unconstitutional NDAA Bill of 2012.
[00:15:56.083 --> 00:16:12.208]  I strongly believe that the United States government should not have the ability to lock away its citizens for years and perhaps decades without charging them and providing a heightened level of due process.
[00:16:13.840 --> 00:16:16.082]  We don't pick up citizens.
[00:16:16.863 --> 00:16:27.431]  We don't incarcerate them for 10 or 15 or 20 years or until hostilities end and no one knows when they will end.
[00:16:28.044 --> 00:16:31.207]  Without giving them due process of law.
[00:16:31.748 --> 00:16:43.479]  The great concern that we have now in terms of the security of the homeland is from so-called homegrown terrorists, radicalized Americans.
[00:16:44.260 --> 00:16:48.805]  So these people, in my opinion, have taken sides.
[00:16:49.445 --> 00:16:50.426]  They've joined the enemy.
[00:16:51.307 --> 00:17:14.152]  And to have this body, at this time, as the threat of homegrown terrorism rises, saying, no, they can't be treated as enemy combatants, not only doesn't make sense, and is totally unresponsive to the facts that I've just described,
[00:17:15.032 --> 00:17:26.013]  President Obama threatened to veto the bill as long as it contained the section concerning due process, and then quickly changed his mind before the final version was voted through Congress.
[00:17:27.176 --> 00:17:35.103]  Obama then told the media that the version he had signed was revised to eliminate any threat to freedom of American citizens.
[00:17:35.563 --> 00:17:50.255]  Even though this was not true, and the bill gives extraordinary powers to detain American citizens without a trial, the media synthesized Obama's lie by claiming that Obama will not use the powers he now has.
[00:17:50.956 --> 00:17:58.826]  The desired result is synthesized by mainstream media as they turn a blind eye to the debate.
[00:17:59.527 --> 00:18:05.795]  The American people cave into the lie because the process it is attached to seems so familiar.
[00:18:06.536 --> 00:18:08.659]  John Bowne, InfoWars Nightly News.
[00:18:11.298 --> 00:18:13.520]  And that brings us to our next segment.
[00:18:14.020 --> 00:18:21.686]  There are literally hundreds of examples throughout history of government-sponsored terrorism known as false flag operations.
[00:18:22.147 --> 00:18:30.794]  And chances are that the United States and Israel plan on orchestrating such an event to be blamed on Iran as a pretext for war.
[00:18:31.354 --> 00:18:32.135]  It is a fact
[00:18:32.475 --> 00:18:42.499]  That virtually every single war since the Spanish-American War of 1898 has included the use of a false flag operation as an excuse to enter into conflict.
[00:18:42.819 --> 00:18:46.041]  But unfortunately the lies have been covered after the fact.
[00:18:46.421 --> 00:18:49.342]  Too late to prevent mass death and destruction.
[00:18:49.882 --> 00:18:59.989]  In 1953, the CIA and British intelligence staged terror attacks to overthrow the democratically elected leader of Iran, Mohammad Mossadegh.
[00:19:00.469 --> 00:19:06.133]  Mossadegh had nationalized Iran's oil fields and denied British petroleum a monopoly.
[00:19:06.453 --> 00:19:06.753]  U.S.
[00:19:06.813 --> 00:19:19.582]  and British intelligence operatives launched a successful coup d'etat and overthrew the Iranian government, replacing the regime with a ruthless dictatorship while seizing control of Iran's oil supplies.
[00:19:19.582 --> 00:19:19.853]  We're good.
[00:19:21.681 --> 00:19:23.522]  1964, U.S.
[00:19:23.562 --> 00:19:29.845]  warships were apparently attacked by North Vietnamese PT boats, an incident that kicked off the U.S.
[00:19:29.905 --> 00:19:31.826]  involvement in the Vietnam War.
[00:19:32.226 --> 00:19:36.308]  The attack was a staged event that never actually took place.
[00:19:36.648 --> 00:19:48.334]  What followed was an excuse by President Lyndon Johnson to dramatically expand the scale of the Vietnam War, ultimately at the cost of 3 or 4 million dead Vietnamese and 58,000 Americans.
[00:19:52.102 --> 00:19:52.402]  June 8, 1967.
[00:19:52.683 --> 00:20:04.553]  The USS Liberty, an American naval vessel sailing off the coast of Gaza, was suddenly and deliberately attacked by naval and air forces of Israel.
[00:20:04.893 --> 00:20:14.962]  The well-coordinated attack, which lasted for hours, resulted in the deaths of 34 crewmen, 170 injured, and catastrophic damage to the ship.
[00:20:15.422 --> 00:20:18.084]  One of the most highly decorated vessels in U.S.
[00:20:18.164 --> 00:20:18.605]  history.
[00:20:19.005 --> 00:20:24.150]  Egypt was to be blamed for the attack, to serve as a pretext to drag the U.S.
[00:20:24.270 --> 00:20:26.732]  and her allies into war in the Middle East.
[00:20:27.132 --> 00:20:34.358]  If not for the heroic efforts of the ship's captain and his brave crew, the Liberty would have faced almost certain destruction.
[00:20:34.939 --> 00:20:43.186]  The truth about Israel's attack and subsequent White House cover-up continues to be officially concealed from the American people to this day.
[00:20:45.222 --> 00:20:51.326]  Now in recent weeks, we have seen a massive buildup in the Persian Gulf by both the United States and Britain.
[00:20:51.706 --> 00:20:52.746]  Meanwhile, U.S.
[00:20:52.826 --> 00:20:58.670]  and Israeli intelligence sources are officially warning of domestic terror attacks inside the U.S.
[00:20:58.930 --> 00:20:59.610]  and Israel.
[00:21:00.031 --> 00:21:05.133]  And if a conflict is to ignite in the Persian Gulf, it is highly likely that the U.S.
[00:21:05.294 --> 00:21:09.556]  or Israel will use a false flag operation to kick things off.
[00:21:10.056 --> 00:21:11.957]  And that brings us to our quote of the day.
[00:21:13.218 --> 00:21:26.814]  Ask yourself, would a government that has lied us into two wars and is working to lie us into an attack on Iran, shrink from staging terrorist attacks in order to remove opposition to its agenda?
[00:21:27.154 --> 00:21:31.979]  And that was by Paul Craig Roberts, the former Secretary to the Treasury in the Reagan administration.
[00:21:32.620 --> 00:21:36.523]  Also known as the father of Reaganomics and a frequent guest on our show.
[00:21:36.903 --> 00:21:47.550]  I actually think he was referring to the Bush administration when he made that statement, but I'm sure Craig Roberts wouldn't put it past the Obama administration to carry out a false flag terror attack as well.
[00:21:48.030 --> 00:21:53.854]  But, you know, I mean, they're both run by the same offshore banking cartels and the military industrial complex.
[00:21:54.594 --> 00:21:56.676]  Meet the new boss, same as the old boss.
[00:21:57.748 --> 00:22:00.530]  Now, that does it for the first half of our show.
[00:22:00.570 --> 00:22:06.374]  We're going to go to break, but when we come back, I'm going to interview author Matthew Stein.
[00:22:06.534 --> 00:22:13.498]  He's the author of When Disaster Strikes, a comprehensive guide for emergency planning and crisis survival.
[00:22:13.978 --> 00:22:15.700]  We're going to discuss the unthinkable.
[00:22:16.440 --> 00:22:18.562]  Surviving a nuclear disaster.
[00:22:18.942 --> 00:22:19.783]  So stick with us.
[00:22:19.803 --> 00:22:21.624]  This is information I'm sure you're going to want to see.
[00:22:21.684 --> 00:22:24.867]  It could very well one day save your life and the lives of your loved ones.
[00:22:25.347 --> 00:22:28.070]  Matt Stein, when we return, right after this.
[00:22:33.155 --> 00:22:36.737]  We were brought up loving our country and our Constitution.
[00:22:36.757 --> 00:22:40.399]  That in the United States of America, we were free.
[00:22:41.519 --> 00:22:44.360]  And that's an attitude that we've tried to instill in our children.
[00:22:44.380 --> 00:22:48.062]  I met my wife while in the Air Force.
[00:22:48.162 --> 00:22:49.883]  I was a combat pilot in Vietnam.
[00:22:50.483 --> 00:22:52.264]  I served in Desert Storm as a commander.
[00:22:53.665 --> 00:22:57.347]  When I graduated from the Academy, I took the oath of office.
[00:22:58.227 --> 00:23:02.089]  And as a commander, I administered that oath to many people.
[00:23:04.463 --> 00:23:12.388]  Now I wonder about the understanding people have of our Constitution, and I think about our candidates for President of the United States.
[00:23:14.350 --> 00:23:30.740]  It's interesting to see the support Ron Paul gets from the military, and if we think back to the Code of Conduct, and people raising their right hand that they were going to support and defend the Constitution of the United States, why would those same people
[00:23:31.986 --> 00:23:34.429]  Support in great numbers on Paul.
[00:23:36.371 --> 00:23:40.255]  I think it's because they know that he supports the Constitution of the United States.
[00:23:41.220 --> 00:23:43.140]  It doesn't mean you have to go to war to do it.
[00:23:43.160 --> 00:23:56.283]  It means you have to understand what the Constitution is and be a supporter inside of your own country, whether you're in the military or not, of that Constitution and make the United States strong.
[00:23:57.383 --> 00:23:58.984]  And Ron Paul does that.
[00:23:59.524 --> 00:24:00.284]  That's his feeling.
[00:24:00.364 --> 00:24:01.104]  That's his thrust.
[00:24:01.824 --> 00:24:09.266]  And that's why if you look at the percentages that support him in the military, it's huge.
[00:24:10.126 --> 00:24:10.686]  Why is that?
[00:24:11.387 --> 00:24:12.928]  Because they've raised their right hands.
[00:24:13.368 --> 00:24:16.770]  And they're putting their lives on the line for us here in the United States.
[00:24:17.391 --> 00:24:19.032]  And they know that Ron Paul does the same.
[00:24:25.805 --> 00:24:27.607]  Greetings, fellow InfoWarriors.
[00:24:28.247 --> 00:24:35.994]  Alex Jones here, announcing the first of many trips that I'm going to take across this wonderful United States that we live in.
[00:24:36.295 --> 00:24:46.204]  And we get so busy here at InfoWars.com, the nightly news, the daily radio show, the documentary films, and all the other things we're doing that I tend to never go out and give speeches anymore.
[00:24:46.624 --> 00:24:50.347]  And I've got a lot of ideas bubbling around in my head about the history of the New World Order.
[00:24:50.647 --> 00:24:52.028]  What makes them tick and how to defeat them.
[00:24:52.328 --> 00:24:54.710]  So I'm titling this key speech I'm going to give.
[00:24:54.730 --> 00:24:56.931]  It'll run around two hours long.
[00:24:57.532 --> 00:24:59.313]  Blueprint to Defeat the New World Order.
[00:24:59.593 --> 00:25:05.337]  And we're also going to have a surprise premiere of a short documentary film we've been working on at the event.
[00:25:05.778 --> 00:25:07.899]  First off, I'm going to be going to Dallas, Texas.
[00:25:08.300 --> 00:25:09.841]  Sunday, February 19th, 2012.
[00:25:10.001 --> 00:25:12.723]  To the historic Lakewood Theater.
[00:25:13.283 --> 00:25:17.485]  And the next Sunday, February 26th, I'm going to be in Orlando, Florida.
[00:25:18.145 --> 00:25:23.808]  You can find out more about the events and buy tickets at infowars.com forward slash events.
[00:25:24.775 --> 00:25:28.197]  Now, unfortunately, every event I've ever had, we've had to turn people away.
[00:25:28.818 --> 00:25:32.720]  So get your tickets early at Infowars.com forward slash events.
[00:25:33.040 --> 00:25:35.002]  There's a lot of crazy stuff going on in this world.
[00:25:35.682 --> 00:25:38.224]  The craziest of all is this explosive awakening.
[00:25:38.924 --> 00:25:40.665]  I can't wait to meet you and shake your hand.
[00:25:41.106 --> 00:25:43.107]  I'll see you in Dallas and I'll see you in Orlando.
[00:25:43.768 --> 00:25:45.709]  Infowars.com forward slash events.
[00:25:59.182 --> 00:26:00.382]  And we are back.
[00:26:00.502 --> 00:26:01.763]  Thank you for joining us.
[00:26:01.863 --> 00:26:04.164]  This is the Info Wars Nightly News.
[00:26:04.524 --> 00:26:08.745]  Once again, I'm your host, Darren McBreen, sitting in tonight for Alex Jones.
[00:26:09.105 --> 00:26:19.789]  Now, before we talk with Matthew Stein, I want to play a short video clip that I found on the NASA.gov, their official website, and it is a guide to solar flares.
[00:26:20.189 --> 00:26:24.951]  I thought it would be a good educational piece to share with our viewers before we start the interview.
[00:26:25.311 --> 00:26:26.011]  Let's take a look.
[00:26:31.320 --> 00:26:37.504]  Solar flares may seem like faraway events, but they can damage satellites and even ground-based technologies and power grids.
[00:26:38.445 --> 00:26:47.131]  Every 11 years, as the Sun reaches its maximum activity, they become bigger and more common, and that increases the chances that one will significantly affect Earth.
[00:26:48.071 --> 00:26:49.773]  So what are these solar eruptions?
[00:26:51.215 --> 00:26:57.120]  A solar flare is basically an explosion on the surface of the sun, ranging from minutes to hours in length.
[00:26:57.800 --> 00:27:02.804]  Large flares can release enough energy to power the entire United States for a million years.
[00:27:04.065 --> 00:27:08.449]  Flares happen when the powerful magnetic fields in and around the sun reconnect.
[00:27:09.310 --> 00:27:15.395]  They are usually associated with active regions, often seen as sunspots, where the magnetic fields are strongest.
[00:27:16.414 --> 00:27:18.435]  Flares are classified according to their strength.
[00:27:18.815 --> 00:27:23.396]  The smallest ones are B class, followed by C, M, and X, the largest.
