[00:00:01.615 --> 00:00:02.358]  We've got it brother!
[00:09:32.233 --> 00:09:35.415]  Because you see, I am broadcasting from behind enemy lines.
[00:09:36.356 --> 00:09:59.691]  The establishment sees the United States as done, as captured, as run by the big megabanks, the big Ponzi scheme operators that have created the thousands, I said thousands, of trillions of dollars in fake financial instruments and bought our politicians
[00:10:01.806 --> 00:10:05.667]  For less than one millionth of it.
[00:10:07.228 --> 00:10:17.230]  In fact, I've had a lot of political analysts on who pointed out that the average politician in Congress can be bought for a couple hundred thousand dollars on a major issue.
[00:10:22.192 --> 00:10:23.272]  And these companies
[00:10:25.714 --> 00:10:38.659]  Can go spend a couple hundred thousand dollars per politician, per key politician, campaign chairman, and others, and then have government shut down their competition, or give them a government contract worth tens of billions of dollars.
[00:10:39.760 --> 00:10:48.323]  And so they literally buy them for pennies, for special interest.
[00:10:50.464 --> 00:10:56.087]  And you see, I've made it my life's work to discover who are those special interests?
[00:10:56.908 --> 00:10:59.169]  And what have they set up?
[00:10:59.249 --> 00:11:00.750]  And what is their endgame?
[00:11:00.810 --> 00:11:02.051]  And what makes them tick?
[00:11:02.211 --> 00:11:12.217]  And I went and read the publications, and the books, and the white papers, and the academic communiques between these different groups.
[00:11:13.298 --> 00:11:19.722]  And overall, they are eugenicist adherents.
[00:11:21.786 --> 00:11:24.128]  That is, they follow the science of eugenics.
[00:11:24.769 --> 00:11:29.253]  I know for new listeners, when you think eugenics, think Hitler.
[00:11:30.074 --> 00:11:31.635]  But Hitler didn't invent eugenics.
[00:11:31.675 --> 00:11:34.277]  He was one manifestation of eugenics.
[00:11:35.779 --> 00:11:43.426]  And our entire world, in their own words, is a laboratory.
[00:11:46.874 --> 00:11:48.775]  I was at my parents a couple hours ago.
[00:11:48.795 --> 00:11:51.936]  I took my children over there to visit with them and drop them off.
[00:11:54.277 --> 00:12:02.521]  And we were debating when I go out to Florida next month to give some speeches at some radio stations and things, whether I would take them to Disney World.
[00:12:05.083 --> 00:12:09.325]  And I know it's a commercial thing and exploitive and all that.
[00:12:09.365 --> 00:12:10.046]  I understand that.
[00:12:10.306 --> 00:12:12.247]  The point is, you know, do you go experience that?
[00:12:12.987 --> 00:12:14.588]  As my parents took me to experience it.
[00:12:15.268 --> 00:12:17.229]  And we're having a debate about the biometrics.
[00:12:17.349 --> 00:12:20.831]  My dad's saying, you know, it's just about having you opt in to finger scan and all that.
[00:12:21.051 --> 00:12:22.312]  They're already face scanning you.
[00:12:23.112 --> 00:12:23.972]  And I said, of course.
[00:12:24.392 --> 00:12:27.273]  But I said, the point is, is that I just don't want to be around it.
[00:12:27.513 --> 00:12:29.574]  But obviously it's being expanded out from there.
[00:12:30.094 --> 00:12:35.696]  And I said, the whole thing is obviously a Department of Defense laboratory, because everything else is through DARPA.
[00:12:36.536 --> 00:12:41.598]  And I had my iPhone, which itself is a DARPA-projected creation.
[00:12:42.058 --> 00:12:46.740]  And I said, here, let's type in Department of Defense Laboratory Disney Biometrics.
[00:12:48.040 --> 00:12:50.161]  Because I'd already seen some of that back in the mid-90s.
[00:12:52.386 --> 00:13:01.955]  And I typed in Biometrics Disney, and I found the Electronic Frontier Foundation and other groups, but also found Disney press releases.
[00:13:02.395 --> 00:13:13.386]  And again, I already knew this, even though I had only small pieces of it over a decade the last time I looked at it, I already knew it was a Department of Defense laboratory.
[00:13:14.855 --> 00:13:22.338]  Sure enough, they're all Department of Defense laboratories, their cruise ships are, and it says it's a Department of Defense deal.
[00:13:22.918 --> 00:13:34.342]  They have this new Disney USA, where when you go stay at the, not just Disney World, but this other facility, when you go stay at Disney USA, it's an interactive laboratory.
[00:13:37.976 --> 00:13:47.380]  And when you go on the cruise ship, it face scans you, but you get to feel uppity and big that it talks to you like something out of Minority Report.
[00:13:47.400 --> 00:13:53.603]  And of course, they already had technology that face scans you and active billboards before that movie even came out.
[00:13:53.903 --> 00:14:00.406]  They had that stuff developed when Philip K. Dick was out in San Francisco writing Minority Report in the 1970s.
[00:14:06.550 --> 00:14:12.162]  The truth is PKD and people like that were actually hanging around with the Silicon Valley people.
[00:14:12.723 --> 00:14:16.671]  Everything we've been allowed to see is at least 30 years old.
[00:14:16.731 --> 00:14:18.054]  That's what I'm trying to get across to you.
[00:14:19.164 --> 00:14:21.266]  And my dad's like, really, it's Department of Defense.
[00:14:21.386 --> 00:14:22.867]  And I went and typed that in.
[00:14:23.227 --> 00:14:26.069]  Disney, Department of Defense Laboratory.
[00:14:26.209 --> 00:14:26.589]  Boom!
[00:14:26.829 --> 00:14:27.390]  Whole thing.
[00:14:28.170 --> 00:14:31.953]  Human tracking testing system.
[00:14:31.993 --> 00:14:34.015]  But so were the grocery stores, the big ones.
[00:14:34.515 --> 00:14:35.816]  So were the malls.
[00:14:36.696 --> 00:14:37.117]  All of it.
[00:14:38.258 --> 00:14:42.480]  I mean, I've been given the tours of the University of Texas Psychology Department.
[00:14:42.501 --> 00:14:44.502]  Over 90% of it's DARPA funded.
[00:14:47.284 --> 00:14:47.964]  And in there,
[00:14:49.190 --> 00:14:52.072]  Again, first time I got a tour of it, like 15 years ago.
[00:14:52.092 --> 00:15:02.057]  See, it turns out Disney is testing the Prison City model for the Department of Defense since their first official contract in 1996.
[00:15:03.177 --> 00:15:09.401]  And the guys have pulled up some documents for people watching on PrisonPlanet.tv, but you can actually just type in 1996, it'll pull it up.
[00:15:10.021 --> 00:15:11.622]  Because, see, Disney is a city.
[00:15:12.512 --> 00:15:18.797]  And so the model of tracking people going into Disney World since 96 was the model they used in Fallujah.
[00:15:19.118 --> 00:15:21.159]  Thumb scanning, face scanning, and entering it.
[00:15:21.760 --> 00:15:23.101]  It's the model at the airport.
[00:15:24.302 --> 00:15:29.146]  But just to get you ready for prisoner training, then they put their hands on you as well.
[00:15:29.827 --> 00:15:30.888]  It's all dog training.
[00:15:31.128 --> 00:15:36.492]  And again, I've covered one one millionth of the data I've got, okay?
[00:15:36.532 --> 00:15:36.873]  Literally.
[00:15:38.024 --> 00:15:39.365]  I mean, you understand that, right?
[00:15:39.845 --> 00:15:45.530]  So, so, so, the only way we're going to beat this technocracy is realizing it's there.
[00:15:45.630 --> 00:15:49.633]  And if you're a new listener, like, yeah, right, the Department of Defense Disney, go look it up.
[00:15:49.753 --> 00:15:50.493]  They're not hiding it.
[00:15:50.513 --> 00:15:51.254]  They're very proud of it.
[00:15:52.415 --> 00:15:55.217]  And it's the model for everything being a giant prison.
[00:15:56.718 --> 00:16:00.801]  To make sure you drink your sodium water, sodium fluoride water, and, you know, the rest.
[00:16:01.923 --> 00:16:07.288]  When you're out on the road, the last place you want to be is on the road.
[00:16:08.569 --> 00:16:13.353]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:16:13.713 --> 00:16:20.519]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:16:22.440 --> 00:16:24.642]  They sew pride in every stitch.
[00:16:26.524 --> 00:16:28.826]  Guarantee you'll love the way they fit.
[00:16:30.819 --> 00:16:34.821]  They put a diamond gusset in the crotch where you need it most.
[00:16:35.522 --> 00:16:38.643]  Blue diamond gussets got it.
[00:16:39.364 --> 00:16:40.164]  Others don't.
[00:16:40.584 --> 00:16:42.465]  We turn jeans inside out.
[00:16:42.745 --> 00:16:44.246]  Diamond gusset jeans.
[00:16:44.526 --> 00:16:47.088]  Made in the USA with unparalleled quality.
[00:16:47.408 --> 00:16:53.671]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection so you can ride all day with confidence.
[00:16:54.031 --> 00:16:56.253]  Order yours at gusset.com.
[00:16:56.733 --> 00:16:58.774]  Diamond gusset jeans got it.
[00:16:59.114 --> 00:16:59.975]  Others don't.
[00:17:05.430 --> 00:17:06.350]  Tyranny is here.
[00:17:06.690 --> 00:17:10.251]  The grim future foretold in 1984 has become reality.
[00:17:10.612 --> 00:17:12.832]  It really says that the state is God.
[00:17:12.852 --> 00:17:18.294]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:17:18.714 --> 00:17:24.996]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:17:25.396 --> 00:17:30.938]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:17:31.358 --> 00:17:35.059]  Police State 4 chronicles the sickening depth to which our Republic has fallen.
[00:17:35.539 --> 00:17:39.521]  Prepare to enter the secretive world of emergency dictatorship.
[00:17:39.822 --> 00:17:45.305]  Body scanners, sound cannons, citizen spies, stage terror and cameras on every street corner.
[00:17:45.765 --> 00:17:48.727]  It's only the beginning of the New World Order's hellish plan.
[00:17:49.327 --> 00:17:50.768]  The police state isn't coming.
[00:17:51.308 --> 00:17:51.808]  It's here.
[00:17:52.429 --> 00:17:59.233]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[00:18:02.267 --> 00:18:03.769]  Hi folks, this is Alex Jones.
[00:18:03.989 --> 00:18:08.994]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:18:09.294 --> 00:18:10.655]  Saving means to make money.
[00:18:10.836 --> 00:18:19.604]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:18:20.345 --> 00:18:27.450]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:18:27.870 --> 00:18:35.495]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:18:35.875 --> 00:18:40.798]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:18:41.118 --> 00:18:43.279]  Getting a free catalog is easy by calling 800-340-7091.
[00:18:46.041 --> 00:18:48.966]  Or see Calvin on the web at FiveStarSoap.com.
[00:18:49.266 --> 00:18:51.570]  Take charge of your health now by calling 800-340-7091.
[00:18:51.590 --> 00:18:53.774]  Or see Calvin on the web at FiveStarSoap.com.
[00:19:00.990 --> 00:19:04.791]  Did you ever think you'd be where you are, a decade into the 21st century?
[00:19:05.111 --> 00:19:06.992]  Record foreclosure rates for homes.
[00:19:07.392 --> 00:19:08.873]  If not yours, your neighbor's.
[00:19:09.253 --> 00:19:11.774]  Thankful for the unemployment check since you were laid off.
[00:19:12.214 --> 00:19:18.696]  And placing your child's name on the angel tree in hopes of a Christmas gift, along with thousands of other Americans.
[00:19:19.216 --> 00:19:22.439]  Did you ever think your future would feel this out of control?
[00:19:22.459 --> 00:19:27.383]  The fact is, in all this craziness, there's only one thing you can control.
[00:19:27.663 --> 00:19:28.925]  Your greatest dependency.
[00:19:29.205 --> 00:19:30.226]  Your food supply.
[00:19:30.626 --> 00:19:34.489]  Make 2012 the year you take control by getting prepared.
[00:19:34.810 --> 00:19:39.834]  eFoods Direct introduces the best way to build your food supply in the 21st century.
[00:19:40.054 --> 00:19:42.796]  Get a 21-day supply of food free with purchase.
[00:19:43.037 --> 00:19:43.297]  Call 800-409-5633.
[00:19:45.959 --> 00:19:48.661]  You're listening to the Alex Jones Broadcasting Network.
[00:20:11.567 --> 00:20:16.653]  From the front lines of the Information War, it's Alex Jones.
[00:20:26.223 --> 00:20:29.387]  Yeah, I'm not gonna spend all day on Disney World.
[00:20:30.765 --> 00:20:38.390]  But I did notice that Obama's going to Disney World next week and they're going to shut most of it down for his lordship and his wife and children.
[00:20:38.931 --> 00:20:49.779]  But that's all part of this other fraud, this facade, this fantasy land that we see here on the cover of this week's Time Magazine, Obama's World, an exclusive interview.
[00:20:50.689 --> 00:20:54.170]  By Mr. Bilderberg Group attendee Fareed Zarkaria.
[00:20:54.750 --> 00:20:57.431]  And it's all about how Obama actually runs things.
[00:20:58.171 --> 00:21:18.196]  You see, the true social engineers, the true owners of our world want you to really believe the buck stops with a teleprompter reading lawyer who runs absolutely nothing and is a mouthpiece of the political interest and financial interest that put him in power and financed him with over a billion dollars in the 2008 campaign.
[00:21:19.196 --> 00:21:27.764]  You notice who he just appointed as the finance head in the White House, getting rid of the old, from the famous mob family, Daley.
[00:21:27.784 --> 00:21:35.391]  They hired the last head of Bain Capital, who replaced Mitt Romney.
[00:21:36.994 --> 00:21:48.384]  The guy who supports abortion, carbon taxes, open borders, gun control, and rote Obamacare that Republicans are being told by the paid-for mouthpieces is the guy they've got to elect.
[00:21:48.944 --> 00:21:58.312]  Or they can choose Newt Gingrich, who Politico's reporting called for censorship of the Internet in 2006, supports carbon taxes,
[00:21:58.692 --> 00:22:00.433]  World government, an end of the family.
[00:22:00.794 --> 00:22:03.976]  Don't believe me, just type Newt Gingrich supports an end of the family, end of sovereignty.
[00:22:04.196 --> 00:22:05.097]  He'll pull up his quotes.
[00:22:05.117 --> 00:22:09.700]  I mean, I've actually read the foreword to the Toffler's book where he said it all.
[00:22:10.561 --> 00:22:11.461]  Better find out.
[00:22:12.602 --> 00:22:14.303]  Better find out what's really going on here.
[00:22:16.045 --> 00:22:24.711]  But my point is that the social engineers, first and foremost, want you dependent on the system.
[00:22:26.650 --> 00:22:32.918]  They don't like farmers, they don't like ranchers, they don't like people that know how to skin a buck and run a trot line.
[00:22:32.938 --> 00:22:34.981]  Because a country boy can't survive.
[00:22:35.602 --> 00:22:43.452]  They want you in big, compact cities working for a handful of megacorporations who are authoritarian and anti-human.
[00:22:45.399 --> 00:22:56.429]  And the Fortune 100 themselves are financed, owned, and run by the six big megabanks globally, who on record, again, have the licensure through fraud.
[00:22:58.766 --> 00:23:02.668]  To create unlimited currency and credit whenever they want.
[00:23:03.148 --> 00:23:13.934]  So imagine, you've got ultra-rich fraudsters who don't go to jail like Bernie Madoff or die after sentencing like Ken Lay, who by the way created carbon taxes with Al Gore in 1995, look it up.
[00:23:14.535 --> 00:23:16.836]  Those are low-level guys that end up getting burned.
[00:23:16.856 --> 00:23:28.182]  The system sacrifices a few in this whole system occasionally to make the public think the bad guys are being punished, but it's always a mid-level nobody like Bernie Madoff.
[00:23:28.686 --> 00:23:31.448]  Bernie Madoff steals 50, 60 billion dollars.
[00:23:32.589 --> 00:23:46.180]  The globalists steal trillions and trillions and trillions and trillions and then have the bought and paid for dinosaur, sewer rat, sewer line mainstream media.
[00:23:47.270 --> 00:23:58.414]  Tell you that the very megabanks that engineered the fraud that we've bailed out, that are too big to fail, they're now the people in Europe, the U.S., and everywhere else that tell us what to do.
[00:23:59.715 --> 00:24:01.795]  And that tell us what our future is going to be.
[00:24:02.956 --> 00:24:16.281]  And have armies of little fake futurists out there running around telling us everything's random and the world's all up for grabs and... The truth is... everything.
[00:24:17.702 --> 00:24:24.366]  At the base level is engineered within confines, within a grid.
[00:24:25.006 --> 00:24:33.231]  And there is randomness within that, but that is all basically predictively scanned through Google and other systems.
[00:24:33.431 --> 00:24:35.172]  I don't mean you searching Google.
[00:24:35.572 --> 00:24:38.113]  That's what you think the function is.
[00:24:38.153 --> 00:24:40.775]  When you go to Google, it's getting
[00:24:42.628 --> 00:24:52.431]  All the data on you, what you're into, what you read, where you go, how much money you've got, your sexual habits, what you eat, what you're thinking.
[00:24:54.972 --> 00:25:03.075]  When you order a pizza from a large pizza chain, it's been on record for eight years that they run your background and sell that data to the government.
[00:25:03.905 --> 00:25:07.447]  And then if there's any warrants out for you, they put it in a file for the government to know.
[00:25:07.807 --> 00:25:08.328]  Don't believe me?
[00:25:08.368 --> 00:25:09.949]  Just look up USA Today on that.
[00:25:10.389 --> 00:25:12.210]  Scofflaws get caught ordering pizzas.
[00:25:13.871 --> 00:25:15.512]  The point is, you're given an iPhone.
[00:25:15.552 --> 00:25:16.513]  You go pay for it.
[00:25:17.273 --> 00:25:18.714]  You're made to line up for it.
[00:25:18.754 --> 00:25:26.539]  They don't manufacture enough or create the Christmas toy phenomenon of stampedes for the slave-produced product.
[00:25:27.319 --> 00:25:27.860]  You get it.
[00:25:29.220 --> 00:25:33.363]  You think that it's trendy, a totem or logo of power.
[00:25:35.683 --> 00:25:37.504]  It's so fun, it's the latest thing.
[00:25:39.365 --> 00:25:43.547]  Now there's the USA Today article, Missouri tracks scofflaws via pizza delivery database.
[00:25:45.408 --> 00:25:48.030]  You didn't get the right to remain silent when you ordered that pizza, did you?
[00:25:48.050 --> 00:25:59.476]  I mean, I would tell the childlike public 15, 16 years ago that all cell phones are tracked in real time illegally by the government, but back then the public was told the NSA didn't exist.
[00:25:59.536 --> 00:26:00.997]  I actually had national news
[00:26:03.068 --> 00:26:08.472]  14, 15 years ago, repeatedly say I was insane that the NSA didn't exist.
[00:26:08.832 --> 00:26:10.493]  Oh, now you all know it exists!
[00:26:10.793 --> 00:26:12.334]  Because now they're ready to tell you.
[00:26:12.855 --> 00:26:15.136]  They always tell you decades after it's in place.
[00:26:15.877 --> 00:26:17.218]  And echelon and the rest of it.
[00:26:18.579 --> 00:26:26.344]  And yuppies and people that don't have a respect for themselves, they think that if they just deny something's happening, that gives them power over it.
[00:26:28.550 --> 00:26:36.235]  And so one day, none of this exists, but as soon as the establishment announces it exists, oh, it exists, but that's okay, because they're given a reason for it existing.
[00:26:37.496 --> 00:26:39.978]  Kind of like the cancer viruses they put in your vaccines.
[00:26:41.900 --> 00:26:45.162]  And I get emails and letters, people on the street go, well, there are too many people.
[00:26:45.462 --> 00:26:45.842]  Oh, really?
[00:26:45.882 --> 00:26:48.204]  Well, do you like dying of cancer, young?
[00:26:48.224 --> 00:26:49.705]  You like your kid dying of it?
[00:26:51.086 --> 00:26:52.027]  Oh, no, no, no.
[00:26:52.207 --> 00:26:55.809]  Oh, see, you were imagining you were part of the elite.
[00:26:56.550 --> 00:26:57.811]  But see, you aren't, see?
[00:27:00.657 --> 00:27:01.597]  It's very, very sick.
[00:27:02.117 --> 00:27:13.440]  And that's why it's very, very sick when I hear grown men and adults getting all, uh, exercised and excited about the football game or about the basketball game or about golf.
[00:27:13.500 --> 00:27:15.761]  And it made me say, Oh my gosh, did you see this?
[00:27:15.821 --> 00:27:17.641]  And they have all the little factoids and everything.
[00:27:17.881 --> 00:27:20.302]  And I'm like, why don't you get some factoids about
[00:27:22.085 --> 00:27:32.208]  Global governance, or about the post-industrial world that the technocrats are setting up, or about binary weapon systems in your food, water, and vaccines.
[00:27:33.089 --> 00:27:35.329]  Why don't you find out what a binary weapon system is?
[00:27:35.709 --> 00:27:39.391]  Why don't you just type in Rockefeller Foundation Sterilants and Vaccines?
[00:27:39.411 --> 00:27:41.791]  I mean, you'll be on their foundation website.
[00:27:42.152 --> 00:27:43.552]  They've got it all public.
[00:27:43.792 --> 00:27:46.013]  They think you're so stupid, it's all public!
[00:27:47.045 --> 00:27:49.206]  Why your 30-year-old wife can't have a kid?
[00:27:50.046 --> 00:27:52.307]  Or why you got prostate cancer at 40?
[00:27:55.068 --> 00:27:59.449]  Or why you've got all those spinal problems from the sodium fluoride?
[00:28:00.569 --> 00:28:03.650]  Or why your 7-year-old son just got diagnosed with bone cancer?
[00:28:05.531 --> 00:28:07.471]  Or why all the birth defects are so high?
[00:28:07.491 --> 00:28:12.393]  You know, you have that kid who's got all those organs malformed?
[00:28:12.713 --> 00:28:15.374]  You think you might want to know who did it?
[00:28:18.342 --> 00:28:22.266]  You might want to know why all this is happening, but no, you don't.
[00:28:23.448 --> 00:28:30.195]  Because there's this pretty, shiny, sparkly, fake glitter Las Vegas New World Order system.
[00:28:32.455 --> 00:28:41.400]  The fake cities of Las Vegas and Disney and the cruise ships and the biometrics and all of these little contained artificial environments.
[00:28:41.741 --> 00:28:43.482]  Why does the Department of Defense study those?
[00:28:43.522 --> 00:28:54.508]  Because they're going to turn the whole world into a Times Square, where you're bombarded by the brainwashing, where you're bombarded by the propaganda, where you are a prisoner.
[00:28:55.729 --> 00:28:56.429]  Brainwashed.
[00:28:57.330 --> 00:28:57.710]  Not me.
[00:28:57.790 --> 00:28:58.711]  I've seen reality.
[00:28:58.811 --> 00:29:00.292]  I've seen what the controllers see.
[00:29:01.340 --> 00:29:05.583]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:29:05.903 --> 00:29:06.504]  Number one.
[00:29:06.804 --> 00:29:09.966]  New climate legislation could easily double or triple your electric bill.
[00:29:10.227 --> 00:29:10.807]  Number two.
[00:29:11.087 --> 00:29:15.651]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:29:15.991 --> 00:29:16.431]  It's true.
[00:29:16.731 --> 00:29:21.295]  Total government control of electricity in the name of smart grid technology is coming.
[00:29:21.595 --> 00:29:22.155]  Number three.
[00:29:22.436 --> 00:29:25.718]  In some areas of the country, the power grid is dangerously overloaded.
[00:29:26.018 --> 00:29:29.721]  And now, new socialist legislation is only compounding the problem.
[00:29:29.921 --> 00:29:30.462]  Number 4.
[00:29:30.702 --> 00:29:33.064]  Dangerous weather is always a threat to local grids.
[00:29:33.464 --> 00:29:36.847]  Every year, thousands of families lose their power from weather-related outages.
[00:29:37.147 --> 00:29:37.368]  Number 5.
[00:29:37.948 --> 00:29:41.871]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:29:42.092 --> 00:29:46.856]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:29:47.136 --> 00:29:51.159]  You can get more information at www.mysolarbackup.com.
