[00:00:13.131 --> 00:00:13.331]  I think.
[00:12:06.039 --> 00:12:17.990]  I'm ashamed that I didn't listen to the voices warning me in the last six months and pointing out this trail of many betrayals that we've been witnessing leading up to this larger betrayal.
[00:12:18.491 --> 00:12:24.136]  Ron Paul, you know that tens of millions of Americans have broken their backs
[00:12:25.117 --> 00:12:31.959]  Out there knocking on doors and making phone calls and donating and giving money and fighting on the internet for you because you were no compromise.
[00:12:32.660 --> 00:12:38.662]  And now to engage in old-fashioned political merger with Romney and all the things he's done.
[00:12:40.299 --> 00:12:44.702]  Even if you have a good reason for it, it's not going to sell with your constituents.
[00:12:45.142 --> 00:12:50.786]  And to watch you mortally wounding the movement that you helped build is very, very sad.
[00:12:51.266 --> 00:12:54.509]  But again, liberty moves forward, people are waking up.
[00:12:55.600 --> 00:13:03.545]  It's just that I wanted Campaign for Liberty and your dynasty that you helped create politically to move forward and be even stronger in the future.
[00:13:03.585 --> 00:13:07.108]  That's why I encouraged Rand when nobody was supporting him to run for the Senate.
[00:13:07.928 --> 00:13:11.211]  His first contributions came from my audience in Kentucky.
[00:13:11.751 --> 00:13:18.616]  The people that first made up his original campaign staff were my listeners who moved from Texas and other areas up there to support you.
[00:13:19.096 --> 00:13:21.278]  Then the Republican insiders tried to sabotage you.
[00:13:21.298 --> 00:13:22.299]  Then the Democrats did.
[00:13:22.600 --> 00:13:28.986]  And later, when you beat them, they came to you with a handout, and you began to walk down that road with them.
[00:13:29.447 --> 00:13:31.809]  It's not too late, Rand, to turn back.
[00:13:32.109 --> 00:13:33.971]  It's not too late, Ron, to turn back.
[00:13:34.432 --> 00:13:36.013]  Don't destroy yourselves.
[00:13:36.434 --> 00:13:38.376]  You have been warned.
[00:13:39.097 --> 00:13:40.738]  I live here in the grassroots.
[00:13:41.800 --> 00:13:42.941]  Where the rubber meets the road.
[00:13:43.562 --> 00:13:47.725]  And I'm telling you, what you're doing has gone over like a lead zeppelin.
[00:13:47.945 --> 00:13:49.447]  You're going to be betrayed.
[00:13:49.767 --> 00:13:50.988]  You're from Washington.
[00:13:51.328 --> 00:14:01.397]  You guys claim to be statesmen and not politicians, but you're jumping in bed with some of the most duplicitous, oily people the world has ever seen that are bought and paid for by the big mega banks.
[00:14:01.697 --> 00:14:03.499]  It's time to put the chips on the table.
[00:14:03.979 --> 00:14:08.563]  The people that made you what you are politically today are all watching.
[00:14:09.384 --> 00:14:11.145]  And you're getting a second chance.
[00:14:12.065 --> 00:14:12.666]  Don't blow it.
[00:14:12.726 --> 00:14:20.069]  From a friend and a supporter, I'm Alex Jones signing off from the front lines of the Infowar, Austin, Texas.
[00:14:26.792 --> 00:14:30.034]  The choice is up to you, Rand Paul and Ron Paul.
[00:14:30.614 --> 00:14:32.495]  But if you continue to go down this path,
[00:14:33.900 --> 00:14:43.649]  Anybody who's got any political understanding can understand that when you go from principle to politics, I mean look at those votes, 90 plus percent are very, very angry at you.
[00:14:43.689 --> 00:14:46.171]  Just on that video I've seen polls showing the same numbers.
[00:14:46.492 --> 00:14:51.096]  When you go from principle to politics, you lose the allure that you had.
[00:14:51.556 --> 00:14:54.279]  It was your father's principled constitutional stand.
[00:14:55.660 --> 00:14:56.922]  That made him so popular.
[00:15:14.963 --> 00:15:16.043]  Just watch, just watch.
[00:15:16.083 --> 00:15:20.085]  If you don't reverse course now, I already said it in the video, so I'm done talking about it.
[00:15:20.365 --> 00:15:24.446]  We'll discuss it with Gerald Cilente coming up this evening.
[00:15:24.886 --> 00:15:26.567]  Shifting gears, lawsuit.
[00:15:26.707 --> 00:15:34.990]  TSA claims it can lie to the public in responses to lawsuits, lie about radiation, lie about aerobic.
[00:15:35.510 --> 00:15:36.390]  All they do is lie.
[00:15:36.650 --> 00:15:44.393]  They're the globalist occupation army here to acclimate us to the total police state takeover.
[00:15:45.379 --> 00:15:47.580]  And so, what do you expect to happen?
[00:16:02.056 --> 00:16:03.577]  And I hope that's not what's happening here.
[00:16:03.597 --> 00:16:04.538]  But it doesn't look good.
[00:16:04.558 --> 00:16:06.580]  Let's go ahead and go to that clip.
[00:16:48.986 --> 00:16:49.826]  Oh, shit!
[00:17:04.164 --> 00:17:04.624]  No, Rand.
[00:17:04.824 --> 00:17:05.045]  No.
[00:17:05.265 --> 00:17:05.805]  No, Ron.
[00:17:05.845 --> 00:17:06.786]  Not Mitt Romney.
[00:17:07.406 --> 00:17:07.686]  No.
[00:17:08.967 --> 00:17:09.487]  Not that.
[00:17:10.748 --> 00:17:11.109]  Why?
[00:17:11.129 --> 00:17:13.410]  Mitt Romney's for carbon taxes, world government.
[00:17:14.050 --> 00:17:15.872]  Works for the foreign banks.
[00:17:15.912 --> 00:17:16.192]  Why?
[00:17:17.333 --> 00:17:18.373]  Jesse Benton said so.
[00:17:18.413 --> 00:17:20.935]  He told me I... I would be president.
[00:17:21.015 --> 00:17:29.280]  I... Of all of the stuttering people that give me advice, I... Why, though?
[00:17:29.360 --> 00:17:29.681]  Why?
[00:17:29.741 --> 00:17:29.981]  I mean...
[00:17:33.244 --> 00:17:34.824]  I shouldn't make a sick joke out of this.
[00:17:35.765 --> 00:17:39.306]  Look, I'm not selling out my integrity, okay?
[00:17:39.826 --> 00:17:42.786]  Just because I can get invited to the White House later or whatever, I can care less.
[00:17:42.806 --> 00:17:49.068]  In fact, I would pay money to not be invited to the White House, unless it was the restoration of the Republic.
[00:17:50.648 --> 00:17:53.329]  Enough of that, enough of that, enough of that.
[00:17:54.249 --> 00:17:57.850]  Bill, we're about a day into this and haven't seen any response.
[00:17:59.147 --> 00:18:00.288]  Haven't seen any response.
[00:18:00.328 --> 00:18:01.549]  Yeah, there's the new American flag.
[00:18:02.130 --> 00:18:03.411]  That's the new American handshake.
[00:18:03.671 --> 00:18:04.372]  Government minion.
[00:18:04.512 --> 00:18:05.353]  Let me see your testicles.
[00:18:05.373 --> 00:18:06.074]  Let me crush them.
[00:18:06.794 --> 00:18:10.018]  Get your children in here with known pedophiles, and that's who they hire as the commanders.
[00:18:12.140 --> 00:18:15.643]  I forget the point I was even going to make about the whole Ron Paul, Rand Paul thing.
[00:18:16.364 --> 00:18:20.067]  Okay, let's get into the bankers raping everyone, speaking of TSA.
[00:18:21.528 --> 00:18:22.088]  Exclusive!
[00:18:22.128 --> 00:18:33.972]  Spain poised to request EU bank aid, which is made up of zeros and ones by the private banking cartel, and the more they get in debt, the more real assets they get, and the debt's the bankers' debt to begin with that got the countries into debt.
[00:18:34.192 --> 00:18:47.996]  The bankers create the derivatives, have the countries sign on too big to fail, then say, you're in debt to us, who they bailed out, the bankers give them more fiat money, and then raise the taxes, bankrupting the economy more, to consolidate the economy so the bankers can take over the real assets.
[00:18:48.865 --> 00:18:49.425]  Pretty simple.
[00:18:49.986 --> 00:18:52.087]  But it's so over the top, how do you deal with it?
[00:18:52.228 --> 00:19:01.174]  How many years did we tell you, and our guests tell you, Robert Chapman, countless others, that it would go Ireland, Greece, Spain on right through Europe, right through Asia, and right to the U.S.?
[00:19:01.495 --> 00:19:03.876]  It's a global depression to consolidate wealth.
[00:19:04.136 --> 00:19:05.498]  We have all their own documents.
[00:19:06.138 --> 00:19:06.658]  Here's another one.
[00:19:06.758 --> 00:19:11.722]  IMF reporting to show Spanish banks need $40 billion in aid, just to begin with.
[00:19:12.863 --> 00:19:16.306]  Again, to bail out the banks they already bailed out, but now they're indebted to the banks.
[00:19:17.745 --> 00:19:19.126]  That's how the scam works.
[00:19:20.747 --> 00:19:23.208]  Yeah, 40 billion euros, about the same as a dollar.
[00:19:23.989 --> 00:19:27.971]  Now continuing, here is the Detroit newspaper.
[00:19:28.032 --> 00:19:33.255]  City officials, Detroit will go broke in a week if consent deal lawsuit isn't withdrawn.
[00:19:34.468 --> 00:19:39.109]  And the globalists, the feds, are trying to bankrupt them over chicken feed.
[00:19:39.890 --> 00:19:40.130]  $35 million.
[00:19:40.150 --> 00:19:41.690]  They want to bulldoze one-third of the city.
[00:19:42.170 --> 00:19:47.132]  We paid $22 billion in taxpayer money to ship General Motors to China and Brazil.
[00:19:47.752 --> 00:19:51.693]  And then now, as the country implodes, private corporations are taking it over.
[00:19:51.993 --> 00:19:54.234]  Same thing now in Rhode Island.
[00:19:54.514 --> 00:19:57.855]  Saying no more voting, no more city council in a big city in Rhode Island.
[00:19:57.875 --> 00:19:58.456]  You can look it up.
[00:19:58.736 --> 00:20:00.636]  We're now run by foreign banks.
[00:20:01.276 --> 00:20:02.557]  All right, continuing here.
[00:20:03.885 --> 00:20:17.732]  With today's daily quote, speaking of how they get us into artificial debt to control us, this is by Plato, all the gold which is under or upon the earth is not enough to give in exchange for virtue.
[00:20:18.732 --> 00:20:20.733]  And that is certainly true.
[00:20:21.353 --> 00:20:32.899]  And one final point that I wanted to make, you know, maybe I was subconsciously remembering that Plato quote when I gave the quote that was picked up online years ago, that all the gold in the hills
[00:20:33.772 --> 00:20:39.916]  Is worthless compared to good friends and family you can trust in a time of crisis.
[00:20:40.477 --> 00:20:44.219]  It was a better quote than that that came off the top of my head, but you get the gist.
[00:20:44.559 --> 00:20:51.144]  All the gold in the hills is not as valuable as good friends and family you can trust, I think was the basic quote.
[00:20:52.964 --> 00:20:54.505]  You know what, I'll cover this on Monday.
[00:20:55.686 --> 00:21:04.671]  We now have an Ask Alex video we put out weekly at PlanetInfoWars.com and in that I was asked about Obama and Law of the Sea Treaty and Executive Orders.
[00:21:04.731 --> 00:21:07.713]  And yes, indeed, he isn't going to sign an Executive Order.
[00:21:07.753 --> 00:21:10.674]  He signed one two years ago, basically saying the U.N.
[00:21:10.694 --> 00:21:13.476]  can take over all our waterways, including lakes and streams and rivers.
[00:21:14.296 --> 00:21:15.677]  You can find that out, Executive Order 13,547.
[00:21:15.717 --> 00:21:17.038]  Just like he says we're under U.N.
[00:21:17.058 --> 00:21:19.299]  treaties to shut down power plants.
[00:21:22.581 --> 00:21:23.903]  Even though Congress didn't pass it.
[00:21:24.945 --> 00:21:27.949]  So that's all at planetinfowars.com.
[00:21:27.989 --> 00:21:36.882]  Get organized for disillusioned by the worship of Mitt Romney and being told you should be respectful of the Republican Party leadership and shut up.
[00:21:37.615 --> 00:21:40.898]  Well, we're still fighting on at planetinfowars.com.
[00:21:41.278 --> 00:21:49.344]  Gerald Solente is coming up, but you saw our live streaming for five days at Bilderberg with the thousands that came out to protest over the five days.
[00:21:49.404 --> 00:21:53.167]  As much as 700 at one time, but over the five days, well over 2,000, 2,500 I would estimate.
[00:21:55.448 --> 00:22:12.992]  And you saw a lot of our low-res live streams here at PrisonPlanet.tv and also at InfoWars.com, but here is some of the high-res stuff we shot that we just got downloaded off the tapes, interspersed with some of the archives of the live streams that Rob Jacobson put together today.
[00:22:13.012 --> 00:22:21.534]  So we're going to show you some of the highlights of Bilderberg 2012, the People's LRAD and more, and then we're going to go right into our interview with Gerald Cilente.
[00:22:21.814 --> 00:22:22.294]  Stay with us.
[00:22:27.930 --> 00:22:30.552]  This is a criminal gathering!
[00:22:30.832 --> 00:22:40.198]  You are on notice by the people of the United States to get the hell out of our country!
[00:22:40.258 --> 00:22:43.320]  Alright, just keep your cameras at waist level but keep rolling here.
[00:22:43.340 --> 00:22:47.442]  Go ahead and pull up right over here.
[00:22:47.522 --> 00:22:48.383]  Pleasure meeting you.
[00:22:55.652 --> 00:22:56.813]  Hey Richard, how you doing, buddy?
[00:22:56.833 --> 00:22:57.674]  I'm good, how's it going?
[00:22:57.954 --> 00:22:58.454]  Pretty good.
[00:22:58.935 --> 00:22:59.235]  You are?
[00:22:59.715 --> 00:23:00.336]  I'm Alex Jones.
[00:23:00.376 --> 00:23:01.036]  Nice to meet you, sir.
[00:23:01.056 --> 00:23:03.198]  How can I help you?
[00:23:03.258 --> 00:23:10.403]  Well, we are guests at this hotel and I just got into town and they had told me that they were getting a room somewhere else.
[00:23:10.423 --> 00:23:14.466]  Unfortunately, the hotel is having some renovations done so we don't have any... Oh!
[00:23:14.927 --> 00:23:24.134]  We don't have any rooms for you and I believe Mr. Soles did tell you that and being private property, the restaurant's not open today and we don't have any rooms for you so I'm going to have to ask you to leave.
[00:23:24.582 --> 00:23:25.423]  Okay, I'll go.
[00:23:25.443 --> 00:23:27.025]  Can I get my voucher for my room?
[00:23:27.765 --> 00:23:29.828]  The room has been taken care of for the first night over.
[00:23:29.868 --> 00:23:31.309]  Okay, can I have a map for it, please?
[00:23:31.389 --> 00:23:32.030]  Sure, no problem.
[00:23:32.050 --> 00:23:32.591]  I'll be right back.
[00:23:32.651 --> 00:23:33.031]  Thank you.
[00:23:33.051 --> 00:23:34.793]  Can you please stop recording me?
[00:23:35.093 --> 00:23:37.596]  Well, I mean, this is a public commons.
[00:23:38.016 --> 00:23:39.238]  This is semi-public commons.
[00:23:39.258 --> 00:23:39.938]  This is private property.
[00:23:39.978 --> 00:23:43.082]  We're the signs of getting filmed, because we'll leave if that's the case.
[00:23:43.242 --> 00:23:45.524]  But I need you to have me a courier delivered over to my other place.
[00:23:48.820 --> 00:23:49.821]  This is private property.
[00:23:49.841 --> 00:23:55.327]  I don't understand why you're filming me and why you're taking pictures of the hotel.
[00:23:55.387 --> 00:23:56.669]  I'm asking you to leave.
[00:23:57.169 --> 00:23:58.151]  You're not leaving.
[00:23:58.191 --> 00:23:59.772]  I'm going to get you your mask at the hotel.
[00:23:59.792 --> 00:24:04.618]  I won't be back on your property until four years later when you have it here again if America still exists.
[00:24:21.570 --> 00:24:21.970]  Thank you.
[00:24:21.990 --> 00:24:25.392]  Hey, will you say hi to David Rockefeller and Queen Beatrix for me?
[00:24:25.792 --> 00:24:28.253]  Hope they're not coming back with their renovations.
[00:24:33.530 --> 00:24:34.511]  That is very sweet of you.
[00:24:34.651 --> 00:24:35.451]  Can I shake your hand?
[00:24:35.471 --> 00:24:35.871]  Yes, you may.
[00:24:36.032 --> 00:24:36.532]  Thank you.
[00:24:36.852 --> 00:24:37.792]  These guys are the mafia.
[00:24:37.872 --> 00:24:43.935]  If you want to give me any intel later, once you see how evil they are, or if Hillary says don't look her in the eyes, you can always contact me at Infowars.com.
[00:24:43.955 --> 00:24:46.677]  Don't worry, the rest of your staff will be as well.
[00:24:47.037 --> 00:24:48.177]  Thank you very much.
[00:24:48.537 --> 00:24:49.078]  Thank you, Mr. Jones.
[00:24:49.238 --> 00:24:51.639]  Thank you, because no one ever helps us until after they meet those monsters.
[00:24:52.099 --> 00:24:52.479]  Bye!
[00:24:52.719 --> 00:24:54.840]  Then we get everything, including all the paperwork.
[00:24:55.621 --> 00:24:57.802]  Say, how did the NSA operating illegally in all your rooms as well?
[00:24:58.669 --> 00:24:58.849]  Bye.
[00:24:58.929 --> 00:24:59.230]  Thank you.
[00:24:59.390 --> 00:24:59.710]  Thank you.
[00:24:59.890 --> 00:25:01.832]  Well, we've got way over 500 people.
