[00:00:03.917 --> 00:00:04.517]  Hi, welcome.
[00:03:39.662 --> 00:03:41.863]  And the government doesn't admit chemtrailing, so it doesn't exist.
[00:03:41.903 --> 00:03:44.284]  Now, Israel has 400 nuclear weapons at least.
[00:03:44.304 --> 00:03:45.465]  I can't see you, you can't see me.
[00:03:45.505 --> 00:03:47.006]  Their own people have said so.
[00:03:47.866 --> 00:03:57.695]  Commentators also have employed the term in reference to situations where non-nuclear, non-Israel actors such as Saddam Hussein, Yasser Arafat, or Hezbollah have threatened conventional weapons retaliation.
[00:03:58.856 --> 00:04:00.358]  Samson brought the whole temple down.
[00:04:00.958 --> 00:04:01.899]  You know the story, okay.
[00:04:02.280 --> 00:04:07.504]  I was correct, but I'm not, I'm not, you know, sure of everything.
[00:04:07.524 --> 00:04:08.505]  I always have to double-check.
[00:04:08.565 --> 00:04:09.006]  Okay, go ahead.
[00:04:09.335 --> 00:04:10.596]  Well, one quick thing.
[00:04:10.656 --> 00:04:16.920]  I feel like Max probably could do that, and I'm just sure that maybe we'll hit it back with some other facts that you've got.
[00:04:17.040 --> 00:04:17.960]  Max could do what?
[00:04:18.521 --> 00:04:20.162]  The guy that asked the question on the Samson.
[00:04:20.182 --> 00:04:22.523]  Oh, but I mean, what is his specific question?
[00:04:23.064 --> 00:04:23.504]  Hold on one second.
[00:04:23.524 --> 00:04:24.425]  We're going to keep rolling.
[00:04:24.805 --> 00:04:25.725]  My wife is calling.
[00:04:25.745 --> 00:04:27.927]  We'll do this on air now, unedited.
[00:04:28.247 --> 00:04:29.228]  Hey, honey, how you doing?
[00:04:32.750 --> 00:04:33.810]  I am taping something.
[00:04:34.031 --> 00:04:35.131]  I'm taping the Ask Alex.
[00:04:35.151 --> 00:04:36.012]  I'll be done in about 15 minutes.
[00:04:36.052 --> 00:04:37.533]  Can I call you back, or is it an emergency?
[00:04:40.488 --> 00:04:41.472]  Yeah, go eat without me.
[00:04:41.492 --> 00:04:42.275]  I'm gonna have to stay late.
[00:04:42.315 --> 00:04:42.616]  I love ya.
[00:04:44.380 --> 00:04:44.560]  Hi.
[00:04:44.580 --> 00:04:46.441]  There you go, multitasking.
[00:04:46.461 --> 00:04:47.662]  This is how hard we work here.
[00:04:48.002 --> 00:04:50.123]  Most media outlets like one thing a week, not us.
[00:04:50.143 --> 00:04:51.144]  We're just continuing.
[00:04:51.164 --> 00:04:52.344]  Nope.
[00:04:52.384 --> 00:04:55.306]  In fact, Chris, can I have a glass of water, please?
[00:04:55.346 --> 00:04:55.666]  Thank you.
[00:04:56.106 --> 00:04:56.406]  No problem.
[00:04:56.426 --> 00:04:57.587]  All right, let's continue.
[00:04:57.607 --> 00:04:58.828]  I already added too many of those.
[00:04:58.848 --> 00:04:59.708]  Okay.
[00:04:59.808 --> 00:05:00.669]  Infowarsteam.com.
[00:05:00.689 --> 00:05:00.829]  Sorry.
[00:05:00.889 --> 00:05:01.409]  Yeah, exactly.
[00:05:01.429 --> 00:05:01.889]  Infowars.
[00:05:02.650 --> 00:05:11.995]  Brianna asks you, she says, hey Alex, can you cover RFID implementation in the Obamacare bill and discuss if there's anything about non-vaccinating too?
[00:05:13.197 --> 00:05:23.864]  Okay, look, everybody freaked out about a section in the legislation, it's a terrible bill, that said, oh my gosh, it funds putting chips in us.
[00:05:23.964 --> 00:05:29.408]  And it does fund all these medicalized chips and chips of the new pills that are coming out and things.
[00:05:29.788 --> 00:05:31.669]  So that is there, that is where medicine's going.
[00:05:32.029 --> 00:05:34.411]  And chips wouldn't be bad to make a blind person see.
[00:05:35.071 --> 00:05:41.115]  The problem is, all tech they put out, they admit, they make you pay for it, Trojan horse back doors are put in.
[00:05:42.236 --> 00:05:48.362]  So, if there was some brain chip to stop Parkinson's or a brain chip to, you know, heal the blind, I'm all for it.
[00:05:48.963 --> 00:05:54.348]  The problem is, for buying and selling, the establishment is eugenicist-based.
[00:05:54.368 --> 00:05:54.848]  They're evil.
[00:05:55.649 --> 00:05:57.230]  By any culture's yardstick.
[00:05:57.270 --> 00:06:01.932]  So you can't trust any of the tech because the big tech companies are so wildly corrupt.
[00:06:02.592 --> 00:06:02.792]  Yeah.
[00:06:03.013 --> 00:06:07.355]  That's why we should go open source, try to support small companies.
[00:06:07.395 --> 00:06:17.659]  But small companies don't make a Canon camera with a color chip that big that gives people total high def look of a $200,000 movie camera just 10 years ago.
[00:06:18.000 --> 00:06:18.140]  Right.
[00:06:18.180 --> 00:06:20.361]  So I can't support a mom and pop here.
[00:06:21.101 --> 00:06:27.907]  I mean, now these cannons come out with GPS to mark where you're at, and in the future, the Sony ones, they're saying, you won't have a choice.
[00:06:28.488 --> 00:06:31.891]  It's going to put on the tape or the chip everywhere we've been.
[00:06:32.272 --> 00:06:32.612]  Why?
[00:06:33.653 --> 00:06:34.734]  Even if we want it turned off.
[00:06:34.794 --> 00:06:35.755]  Jacobson, what do you say to that?
[00:06:42.657 --> 00:06:42.937]  That's it.
[00:06:42.957 --> 00:06:47.243]  They are mapping the entire world, and then they can track it with real-time NSA.
[00:06:47.283 --> 00:06:47.684]  Exactly.
[00:06:47.944 --> 00:06:48.445]  Next question.
[00:06:48.765 --> 00:06:49.726]  I'll pen you down later.
[00:06:50.147 --> 00:06:52.690]  Rob, if you want, you can go wide shot, too, and go check that work you got.
[00:06:53.331 --> 00:06:54.012]  We're multitasking.
[00:06:54.032 --> 00:06:54.352]  Go ahead.
[00:06:55.259 --> 00:07:05.367]  This is coming from Frito-Mite and he says that he's an EMS and a firefighter and they've been bombarded with disaster drills and mass casualty incident training more and more.
[00:07:05.467 --> 00:07:07.669]  And he goes, I know they're prepping us for something.
[00:07:07.729 --> 00:07:17.176]  All the major and even smaller EMS and fire services are becoming more and more federalized with new regulations as well as becoming a legal minefield for emergency workers.
[00:07:17.616 --> 00:07:21.700]  They're requiring new vaccines to be taken by health care and emergency workers.
[00:07:21.800 --> 00:07:22.660]  So what do you say to that?
[00:07:23.757 --> 00:07:29.208]  They use all these disaster drills just to prime federal control.
[00:07:30.191 --> 00:07:34.795]  And then the next phase is, by the way, people who don't like the government are terrorists.
[00:07:34.895 --> 00:07:37.077]  That's the real phase of all of this.
[00:07:37.437 --> 00:07:40.160]  And they're telling the police there will be martial law in October.
[00:07:40.200 --> 00:07:41.481]  I've confirmed that from all over the country.
[00:07:41.941 --> 00:07:42.942]  I'm not saying that.
[00:07:43.323 --> 00:07:45.625]  They do it to create a fear and go, okay, now take the shot.
[00:07:45.905 --> 00:07:53.171]  They tried to get police, firefighters, and other responders, 14 million of them, first responders, nurses, you name it, under the emergency
[00:07:55.253 --> 00:07:56.234]  What's the exact name?
[00:07:56.714 --> 00:07:57.675]  It's funny with memory here.
[00:07:58.135 --> 00:08:02.318]  The Emergency Centers Establishment Act is what always pops in my head, but that's only three years old.
[00:08:03.019 --> 00:08:04.420]  They tried to do that with the
[00:08:08.123 --> 00:08:10.565]  Man, it's so hard to sit there and come up with the exact name.
[00:08:11.165 --> 00:08:13.687]  It was in 2002, they ordered them to do it.
[00:08:14.928 --> 00:08:16.549]  Only a few thousand did it.
[00:08:17.369 --> 00:08:18.670]  95 plus percent said no.
[00:08:19.931 --> 00:08:26.055]  The LA Times reported it was 14 million first responders and that almost all of them said no.
[00:08:26.836 --> 00:08:32.639]  And it was the Health States Emergency Powers Act.
[00:08:34.120 --> 00:08:35.041]  That's almost the name.
[00:08:35.081 --> 00:08:37.783]  The point is, is that people look all this up for yourself.
[00:08:39.326 --> 00:08:41.289]  Emergency Centers Establishment Act.
[00:08:41.329 --> 00:08:43.251]  Health Emergency Powers Act.
[00:08:43.271 --> 00:08:44.253]  It's one of those deals.
[00:08:45.374 --> 00:08:46.376]  I'm just going to look it up right now.
[00:08:46.416 --> 00:08:47.557]  It's driving me absolutely insane.
[00:08:47.577 --> 00:08:48.819]  This will end up being 10 hours long.
[00:08:49.320 --> 00:08:51.523]  Well, I tell you, this is going to be one crazy episode here.
[00:08:53.986 --> 00:08:55.829]  The state's Health Emergency Powers Act.
[00:08:57.540 --> 00:08:59.863]  The model states Health Emergency Powers Act.
[00:09:00.124 --> 00:09:01.325]  You just looked that up for me, didn't you?
[00:09:01.686 --> 00:09:02.207]  Beautiful.
[00:09:02.667 --> 00:09:06.172]  Maybe we can get you involved, Chris, with the terminal typing right here like we do live on the air.
[00:09:06.192 --> 00:09:06.873]  It would be beautiful.
[00:09:06.893 --> 00:09:12.021]  So you guys are asking me questions and then I'm getting to the point where I can't even... What was the question to begin with?
[00:09:12.935 --> 00:09:17.719]  Essentially, he's an EMS and a firefighter, and they're requiring them to take... Yeah, they use all this fear-mongering.
[00:09:17.779 --> 00:09:20.741]  First, they said, it's the law, you must take anthrax and smallpox shots.
[00:09:21.122 --> 00:09:25.125]  And some cops took it and dropped dead, and the people were like, you know what, I'm not going to take that.
[00:09:25.145 --> 00:09:27.647]  They tried to make the military take it, they refused, there were mutinies.
[00:09:28.387 --> 00:09:32.251]  And then they had that particular move in 2002, but it failed.
[00:09:32.631 --> 00:09:34.352]  So now they're just back doing it again.
[00:09:34.893 --> 00:09:38.135]  Just because they say there's going to be martial law in October doesn't mean there's going to be.
[00:09:39.036 --> 00:09:41.818]  But I'll tell you this, I've never seen them hyping it so much.
[00:09:42.899 --> 00:09:44.900]  Christie, what do you think's going on?
[00:09:45.301 --> 00:09:46.201]  I genuinely don't know.
[00:09:46.301 --> 00:09:48.303]  I mean, I'm not in a position to really speak.
[00:09:48.563 --> 00:09:50.124]  Right now, I'm just taking in everything I learned.
[00:09:50.304 --> 00:09:51.385]  I'm just taking it all in.
[00:09:51.885 --> 00:09:53.606]  I do have a question, kind of an extension of that.
[00:09:54.667 --> 00:10:00.411]  Martial law being hyped in October, I mean, I've heard a lot about it, but I've, you know, this tank's on the street in St.
[00:10:00.431 --> 00:10:03.113]  Louis, but where have you heard all of this from?
[00:10:03.133 --> 00:10:04.674]  I heard it from our
[00:10:06.087 --> 00:10:18.184]  London Media Mole, who turned out to be a famous TV host and filmmaker before he went public, he infiltrated the Olympics as security, said they're saying after the Olympics, it's going to be something that changes the world forever.
[00:10:19.065 --> 00:10:20.868]  They heard stuff like October.
[00:10:22.253 --> 00:10:23.775]  I've just got a lot of other sources.
[00:10:24.015 --> 00:10:25.437]  We've had countless police call in.
[00:10:25.978 --> 00:10:34.529]  I talked to a police officer in Central Texas, I'll just leave it at that, in uniform, who told me they're being told get ready for October.
[00:10:35.550 --> 00:10:36.791]  Late November, October.
[00:10:37.452 --> 00:10:39.393]  Again, that doesn't mean anything's going to happen.
[00:10:40.174 --> 00:10:41.955]  They've got to have a lot of these programs ready.
[00:10:41.975 --> 00:10:45.538]  The military's being told they've got to be ready for something big by October.
[00:10:46.218 --> 00:10:48.940]  October, November is the election.
[00:10:49.441 --> 00:10:57.686]  October, surprise, if Obama and his controllers decide to try to pull something, then that's the zone for an October surprise.
[00:10:57.706 --> 00:10:58.387]  That makes sense.
[00:10:58.607 --> 00:11:04.790]  But it doesn't mean, when the New York Times comes out and says, Jones said there'd be martial law in October!
[00:11:04.950 --> 00:11:05.130]  Yeah.
[00:11:05.510 --> 00:11:09.031]  Talking about it may stop it, or they may have never been planning it to begin with.
[00:11:09.452 --> 00:11:14.934]  The point is, the more and more they admit they're getting ready for civil emergency troops on the street, that's not debated.
[00:11:14.954 --> 00:11:16.995]  I mean, they're going to call it martial law.
[00:11:17.015 --> 00:11:17.635]  What's the next question?
[00:11:18.322 --> 00:11:29.611]  The next question is actually from Soft DMC and they say, I live in a tiny 300 square mile island in Singapore and that's completely built up.
[00:11:29.631 --> 00:11:33.915]  I have nowhere to retreat to where if stuff hits the fan.
[00:11:33.995 --> 00:11:37.018]  I can't expect neighboring countries to take 5 million people.
[00:11:37.458 --> 00:11:39.320]  So is there any advice you have?
[00:11:39.520 --> 00:11:40.661]  What am I supposed to do?
[00:11:45.078 --> 00:11:54.363]  I have never been to Singapore, but I know that it is a globalist model where they arrest you if you drop chewing gum on the ground, or they cane you if you drop stuff on the street.
[00:11:54.683 --> 00:11:56.184]  And some can argue that's law and order.
[00:11:57.065 --> 00:11:57.945]  But it's more than that.
[00:11:58.706 --> 00:12:02.808]  They arrest and go after media that criticize the government.
[00:12:03.978 --> 00:12:05.199]  Crazy bathroom laws, I mean.
[00:12:05.219 --> 00:12:06.821]  Oh yeah, they have cameras in the bathrooms.
[00:12:07.721 --> 00:12:11.905]  And they sue for slander and libel.
[00:12:12.305 --> 00:12:13.746]  They have the worst laws on the world.
[00:12:14.026 --> 00:12:16.108]  Anybody that criticizes them, even internationally.
[00:12:17.409 --> 00:12:22.012]  So, I'm not getting anywhere near Singapore, but the word is it's a place for elites.
[00:12:22.773 --> 00:12:25.075]  And then they bring you there, it's very clean, very nice.
[00:12:26.156 --> 00:12:28.618]  But they are coming after you if you've got
[00:12:29.690 --> 00:12:30.371]  We're good to go.
[00:12:51.516 --> 00:12:54.817]  I mean, that's how advanced Singapore is, is like a test zone.
[00:12:55.217 --> 00:12:56.758]  And it took on kind of the British model.
[00:12:58.138 --> 00:13:07.022]  The guy that started it all was from China and claimed he was anti-authoritarian, but it's really just created a... China, the communist Chinese are looking at Singapore for their new model of oppression.
[00:13:07.964 --> 00:13:10.225]  It's like a hyper type of depression.
[00:13:10.685 --> 00:13:13.906]  And I think they call the guy that founded the country the grand architect or something.
[00:13:13.966 --> 00:13:15.987]  I mean, it's, it's super creepy.
[00:13:16.427 --> 00:13:36.574]  So, uh, I mean, look, I'm not going to say don't live in Singapore because I don't think, I mean, even though I've studied it quite a bit, I don't think I am that jazzed up, to the point, if I'm saying the right word, to be able to sit there and tell somebody that Singapore is a bad place.
[00:13:39.246 --> 00:13:40.947]  So they're just going to have to stick on the island.
[00:13:41.027 --> 00:13:41.768]  Yeah, next question.
[00:13:41.788 --> 00:13:45.069]  My wife sent me a text of a news article and I'm addicted to seeing what it is.
[00:13:45.129 --> 00:13:45.790]  Oh, that's cool.
[00:13:46.690 --> 00:13:47.330]  I don't understand.
[00:13:47.370 --> 00:13:49.011]  I'll ask the question you read about that.
[00:13:49.291 --> 00:13:52.853]  Oh, they're having a vote about should they ban our guns after the shooting in Colorado.
[00:13:52.873 --> 00:13:52.933]  Ugh.
[00:13:53.514 --> 00:13:53.994]  Unbelievable.
[00:13:54.594 --> 00:13:55.074]  Next question.
[00:13:55.615 --> 00:13:59.457]  The next question comes to you and it's, uh, Vinethicus.
[00:13:59.877 --> 00:14:01.498]  Sorry, I can't pronounce your display name right.
[00:14:01.898 --> 00:14:05.960]  This is all for PlanetInfoWars.com, the Ask Alex area.
[00:14:06.946 --> 00:14:07.927]  I assure you I can read.
[00:14:07.947 --> 00:14:16.871]  Hey Alex, have you thought about printing a geopolitical dictionary of terms with a brief description and example, pictures perhaps, of the term concerned?
[00:14:16.931 --> 00:14:20.753]  For example, false flag, counterintelligence program, etc.
[00:14:21.133 --> 00:14:24.495]  This way you could raise, you could put it in your store essentially.
[00:14:24.855 --> 00:14:26.656]  But I think that's actually kind of a good idea.
[00:14:26.676 --> 00:14:28.117]  Yeah, we've thought about...
[00:14:28.917 --> 00:14:32.780]  Dictionaries, encyclopedias, like a real history of the world.
[00:14:32.880 --> 00:14:33.140]  Right.
[00:14:33.680 --> 00:14:38.384]  I've been offered countless book deals and I just... Not enough time?
[00:14:38.484 --> 00:14:43.908]  I did one and then the ghostwriters, two different ones, would not really put down on paper what I'd said.
[00:14:43.948 --> 00:14:44.568]  It was bizarre.
[00:14:45.148 --> 00:14:46.569]  So I just said I'm not publishing this book.
[00:14:46.690 --> 00:14:46.910]  Yeah.
[00:14:47.710 --> 00:14:48.551]  They weren't bad people.
[00:14:51.289 --> 00:14:56.774]  But it just didn't turn out to be what I'd said.
[00:14:57.634 --> 00:15:02.839]  I've had some of the biggest publishers in the country come and offer me deals and I just don't trust them.
[00:15:03.720 --> 00:15:05.521]  They'll manipulate your words?
[00:15:05.861 --> 00:15:07.943]  They basically, yeah.
[00:15:09.585 --> 00:15:10.746]  But yes, that's a great idea.
[00:15:11.528 --> 00:15:23.415]  I definitely need to do video tutorials where we cover maybe, you know, Part 1, defining the New World Order, Part 2, defining the New World Order, Part 3, and then really break down from our research how the real world works.
[00:15:23.495 --> 00:15:24.176]  It's a great idea.
[00:15:24.216 --> 00:15:25.396]  That's a great idea, absolutely.
[00:15:26.397 --> 00:15:27.598]  And tweet them out!
[00:15:27.778 --> 00:15:28.959]  Put them on Facebook, perhaps.
[00:15:29.599 --> 00:15:30.840]  You can check it out on Planet Air Force.
[00:15:31.540 --> 00:15:37.524]  The next question is from Arik, and he says, Alex, do you consider TWA Flight 800 to be a false flag event?
[00:15:39.326 --> 00:15:45.351]  I consider it to be an assassination of a bunch of top Egyptian military brass that were on board the aircraft.
[00:15:45.371 --> 00:15:54.078]  Remember, every few years, a big Egyptian aircraft full of military brass flying back from the US or England crashes in the Mediterranean, crashes in the Atlantic.
[00:15:54.799 --> 00:16:02.145]  I mean, they really are, the Global is trying to make sure Egypt stays in line with them, and I guess they invite them over and offer to pay them off.
[00:16:02.885 --> 00:16:07.189]  And if that crop doesn't take the offer, they're all dead.
[00:16:10.520 --> 00:16:18.146]  Without getting into the whole diatribe, TWA-500 was totally shot down by a continuous rod warhead.
[00:16:19.286 --> 00:16:23.269]  Over 800 witnesses saw it, including over 100 that were on Navy ships and in helicopters.
[00:16:23.730 --> 00:16:29.454]  There was a drill out there that night, and they used it as a pretext to blow the aircraft out of the sky.
[00:16:29.874 --> 00:16:36.719]  Reporters broke in and got samples of the aircraft, and they reconstructed it, and it had the residue of high explosives on it.
[00:16:36.899 --> 00:16:38.540]  It was blown up, continuous rod warhead.
[00:16:39.546 --> 00:16:44.693]  And General Parton and others, who was the former head of Air Force Weapons Development, to have a look at it and tell what it was.
[00:16:45.494 --> 00:16:45.714]  Wow.
[00:16:46.115 --> 00:16:47.837]  And basically it's just a big sabot.
[00:16:47.877 --> 00:16:50.641]  They just, big old metal rod, they just shoot right through an aircraft.
[00:16:50.701 --> 00:16:51.382]  That's the way to get them.
[00:16:51.402 --> 00:16:55.587]  So they're probably really concerned about all of the uprisings in Egypt and all of that then.
[00:16:55.868 --> 00:16:56.448]  Blown up there.
[00:16:57.321 --> 00:16:59.562]  Well yeah, they were trying to get that going.
[00:17:00.983 --> 00:17:06.625]  They don't want any mainline governments who just want to have a country and have terrorism, people go to college and be happy.
[00:17:07.505 --> 00:17:11.427]  They put radical Shiites or Sunnis in everywhere.
[00:17:12.227 --> 00:17:15.769]  They created Saudi Arabia, they created Al-Qaeda, they created all these people.
[00:17:16.309 --> 00:17:18.410]  That's why they're putting Al-Qaeda in Libya and Syria now.
[00:17:18.630 --> 00:17:18.850]  Yeah.
[00:17:19.410 --> 00:17:20.531]  Accentuate the radicals there.
[00:17:21.075 --> 00:17:22.217]  Yeah, the most radical.
[00:17:22.317 --> 00:17:26.723]  I mean, look, if your country's got women going to college and not wearing burqas, you're dead.
[00:17:26.743 --> 00:17:29.127]  I mean, you know, that's the end of it.
[00:17:29.467 --> 00:17:34.535]  But then they think we're so stupid we've got to give up all of our rights because Al Qaeda may be under the table, Christy.
[00:17:34.555 --> 00:17:35.196]  In fact, have you checked?
[00:17:35.256 --> 00:17:36.558]  Actually, I was just doing that.
[00:17:37.058 --> 00:17:38.539]  No, I mean, you need to check right now.
[00:17:38.559 --> 00:17:39.099]  I'm scared.
[00:17:39.139 --> 00:17:46.424]  But they think we're so dumb, they run Al-Qaeda against Syria, against Libya, against Iran, against the Serbs, against the Russians.
[00:17:46.504 --> 00:17:47.364]  All the while fucking them.
[00:17:47.604 --> 00:17:48.465]  And then brag!
[00:17:48.805 --> 00:17:48.985]  Yeah.
[00:17:49.145 --> 00:17:52.767]  And then, oh, but these Al-Qaeda that all trained at military bases, they didn't really work for us.
[00:17:53.048 --> 00:17:54.769]  Oh, and Amir al-Awlaki, he was at the Pentagon.
[00:17:55.109 --> 00:17:58.571]  Oh, and, oh, and all these other guys were, and Muttallah was got on the plane by the government.
[00:17:58.591 --> 00:17:59.071]  Underwear bomber.
[00:17:59.291 --> 00:18:00.092]  But never mind, Christy.
[00:18:00.352 --> 00:18:00.992]  Everything's fine.
[00:18:01.032 --> 00:18:01.913]  Isn't Al-Qaeda scary?
[00:18:02.875 --> 00:18:04.456]  We just need a Patsy, that's all we're looking for.
[00:18:05.377 --> 00:18:14.883]  Ramblin' Man asks you, what do you think about Steve Quayle and Hawk, who say evil has taken over and basically we have no hope and even gun owners will not even slow them down?
[00:18:17.125 --> 00:18:26.231]  Well, I think Steve's a really interesting guy and so much of what I'd hear him talk about 15 years ago that I just thought was crazy has, a lot of it's turned out to be true.
[00:18:26.251 --> 00:18:32.075]  And I think he's a really well-meaning good guy who has been a man before his time in many cases.
[00:18:32.844 --> 00:18:34.025]  Do you think this is the case then?
[00:18:34.825 --> 00:18:35.906]  I didn't hear him say that.
[00:18:36.946 --> 00:18:41.509]  And I know he knows there's always hope through Christ and people are really waking up.
[00:18:41.529 --> 00:18:43.910]  All this bad's happening but people are also really waking up.
[00:18:43.971 --> 00:18:47.713]  And I think the idea that nothing can stop it and that's the end of it.
[00:18:50.374 --> 00:18:51.355]  I mean I've got children.
[00:18:51.615 --> 00:18:52.956]  I'm never going to have that view.
[00:18:53.016 --> 00:18:54.277]  And people always...
[00:18:57.515 --> 00:18:59.197]  Get despondent and think everything's over.
[00:18:59.257 --> 00:19:00.358]  It's always darkest for the dawn.
[00:19:00.378 --> 00:19:05.843]  I mean, I'm not saying the person's lying, but I should probably contact Steve and see if he's really saying that.
[00:19:07.724 --> 00:19:08.765]  What do you think about guns?
[00:19:08.785 --> 00:19:09.746]  This is kind of off topic.
[00:19:09.766 --> 00:19:12.388]  What do you think about guns in relation to nuclear bombs?
[00:19:12.428 --> 00:19:15.611]  I mean, if you have a gun, it's not going to stop someone from nuking your country.
[00:19:15.631 --> 00:19:16.252]  Is that their question?
[00:19:16.312 --> 00:19:16.992]  No, I'm sorry.
[00:19:17.053 --> 00:19:19.595]  It's totally my... We're going to have Christy ask Alex.
[00:19:20.620 --> 00:19:24.181]  No, no, but people always say, oh my God, guns, how are you going to fight helicopters?
[00:19:24.761 --> 00:19:27.062]  You don't go out with your gun and fight a helicopter.
[00:19:27.082 --> 00:19:28.242]  You don't go out and look for it.
[00:19:28.722 --> 00:19:30.622]  People are trying to put you in a concentration camp.
[00:19:31.803 --> 00:19:37.524]  All over Germany, and Poland, everywhere the Nazis went, they would show up and tell the Jews, show up here.
[00:19:37.564 --> 00:19:44.406]  They'd show up orderly with their hats and their stuff, and here's my money, here's my kids, okay, we're going to break you up, put you in a truck, take you away.
[00:19:45.447 --> 00:19:46.208]  I'm not going to do that.
[00:19:46.889 --> 00:19:51.813]  One place in the Warsaw Ghetto, like a couple thousand people, a couple thousand Jews resisted.
[00:19:51.833 --> 00:19:53.475]  They killed thousands of Nazis.
[00:19:53.715 --> 00:19:55.316]  Something like seven to one they killed.
