[00:00:01.169 --> 00:00:01.309]  I think.
[00:04:44.739 --> 00:04:45.380]  Oh, he's not there?
[00:04:45.420 --> 00:04:46.160]  Well, don't cut it out.
[00:04:46.561 --> 00:04:47.261]  They cut it out.
[00:04:47.982 --> 00:04:49.223]  And so it just piles up.
[00:04:49.664 --> 00:04:55.309]  And then, boom, for 16 plus years, they put out
[00:04:56.673 --> 00:05:06.743]  Different publications, including promotion of his book, Dreams of My Father, saying, born in Kenya, first president of the Law Review, was black at Harvard.
[00:05:07.164 --> 00:05:08.305]  I mean, this is wild.
[00:05:10.236 --> 00:05:12.057]  Born in Kenya and raised in Indonesia.
[00:05:12.077 --> 00:05:14.239]  And there's the Breitbart watermark on there.
[00:05:15.219 --> 00:05:16.600]  And the media came out and said, you know what?
[00:05:16.620 --> 00:05:17.361]  It's a typo.
[00:05:17.401 --> 00:05:17.981]  You're right.
[00:05:18.101 --> 00:05:19.762]  For 16 plus years, we said this.
[00:05:19.862 --> 00:05:22.984]  I mean, folks, this is in publications every month promoting him.
[00:05:23.664 --> 00:05:25.025]  This is in big magazines.
[00:05:25.045 --> 00:05:26.826]  This is everywhere and never corrected it.
[00:05:27.447 --> 00:05:28.287]  I mean, give me a break.
[00:05:28.708 --> 00:05:36.813]  If the media said in the New York Times or Washington Post that I was born in Russia or born in China or born in Timbuktu, I would go on air and say, correct that.
[00:05:40.458 --> 00:05:41.458]  We are in deep trouble.
[00:05:41.559 --> 00:05:44.500]  I mean, I already knew he wasn't born here and we don't know who he really is.
[00:05:44.540 --> 00:05:47.501]  He's got all these other fake names and all his records are sealed.
[00:05:47.541 --> 00:05:50.803]  But to really come to grips with, wow, we're right again.
[00:05:51.263 --> 00:05:52.343]  You know, I want to be wrong.
[00:05:52.904 --> 00:05:53.344]  You understand?
[00:05:53.364 --> 00:05:54.665]  I don't want it to be so bad.
[00:05:55.105 --> 00:05:56.345]  I don't want this to be true.
[00:05:59.087 --> 00:06:00.827]  We're the only teleprompter-free news in the country.
[00:06:00.847 --> 00:06:01.788]  You think I'm happy about that?
[00:06:02.941 --> 00:06:04.222]  Oh, we're the only teleprompter free.
[00:06:04.242 --> 00:06:05.202]  Wow, that makes us different.
[00:06:05.502 --> 00:06:06.622]  Wow, we'll be successful.
[00:06:07.023 --> 00:06:09.383]  It means nothing I have 15 viewers and listeners a week.
[00:06:10.004 --> 00:06:10.524]  3 million a day.
[00:06:10.544 --> 00:06:11.644]  Because it's conservative.
[00:06:11.944 --> 00:06:13.685]  It's over a million and a half now on the websites every day.
[00:06:14.165 --> 00:06:15.546]  You think I'm glad about that?
[00:06:15.586 --> 00:06:16.786]  Well, I'm glad I can reach people.
[00:06:17.166 --> 00:06:19.247]  But it's not about Alex Jones, folks.
[00:06:19.647 --> 00:06:24.509]  It's about you taking action and you doing little things every day that will bring these people down.
[00:06:26.189 --> 00:06:28.150]  People are like, well big deal if he's born in Kenya, what's the big deal?
[00:06:28.451 --> 00:06:31.172]  Folks, he's totally compromised.
[00:06:31.533 --> 00:06:36.116]  The Clintons wanted to beat him, then they found out about this and blackmailed him at Bilderberg.
[00:06:36.236 --> 00:06:37.217]  I was there covering it.
[00:06:38.858 --> 00:06:40.899]  About to go again in a couple weeks, a week and a half.
[00:06:40.959 --> 00:06:42.040]  I can't believe this is already upon us.
[00:06:42.060 --> 00:06:43.741]  You think I'm happy to go to Bilderberg?
[00:06:43.781 --> 00:06:44.361]  I gotta do it.
[00:06:44.381 --> 00:06:45.302]  It's a responsibility.
[00:06:45.502 --> 00:06:46.223]  You think it's fun?
[00:06:46.243 --> 00:06:49.025]  I don't want to scare you folks with stuff I went through last time.
[00:06:49.425 --> 00:06:50.846]  This is real is what I'm saying.
[00:06:52.671 --> 00:06:53.572]  That just blows me away.
[00:06:54.573 --> 00:07:01.082]  Within hours of this, the text editor of the big PR firm that he still is listed with came out and said, oh, I'm sorry, it's a mistake.
[00:07:01.102 --> 00:07:02.363]  That's where this whole rumor came from.
[00:07:02.644 --> 00:07:04.766]  Really, no one knew about this the last four and a half years.
[00:07:04.786 --> 00:07:06.368]  It was all the other fake documents.
[00:07:06.649 --> 00:07:09.553]  So don't say the birther rumor came from your original...
[00:07:10.794 --> 00:07:12.876]  Let's shift gears to what was my top story.
[00:07:36.837 --> 00:07:42.663]  For over two and a half hours, right at two and a half hours, of the Daily Radio Show.
[00:07:44.725 --> 00:07:45.806]  Yeah, teleprompter-free, folks.
[00:07:45.846 --> 00:07:46.947]  I'm gonna stumble sometimes.
[00:07:48.108 --> 00:07:51.331]  Actually using the old noggin, not stuff the CIA writes when I read off a teleprompter.
[00:07:53.213 --> 00:07:54.034]  Think about this.
[00:07:57.357 --> 00:07:59.900]  We supposedly live in the freest country in the world.
[00:08:01.457 --> 00:08:07.765]  And we have 7 plus million people in the prison system, double what China has with 1.3 million people.
[00:08:09.107 --> 00:08:10.989]  They have 1 billion, 300 million people.
[00:08:11.410 --> 00:08:13.713]  We have 310 million people in our country.
[00:08:14.333 --> 00:08:17.217]  The most wealthy, powerful country in the world because we had basic liberty.
[00:08:17.557 --> 00:08:18.599]  It created incredible wealth.
[00:08:20.086 --> 00:08:29.734]  Now we've been taken over by the globalist parasites, and China, who has 1 billion, 300 million people, has half the prisoners the United States has with 310 million.
[00:08:30.355 --> 00:08:34.718]  They've got like nine times our population, roughly, and they have half the prisoners we have.
[00:08:34.939 --> 00:08:35.719]  This is not freedom.
[00:08:35.999 --> 00:08:38.422]  The CIA admitting they're spying on us without warrants.
[00:08:39.232 --> 00:08:40.653]  And operating domestically illegally.
[00:08:40.953 --> 00:08:41.754]  That's not freedom.
[00:08:42.554 --> 00:08:45.816]  Streetlights going up nationwide with your taxpayer money to listen to you and watch you.
[00:08:46.016 --> 00:08:48.358]  And the system's saying, yeah, we're watching you and listening to you.
[00:08:48.598 --> 00:08:49.458]  Better shut up.
[00:08:50.159 --> 00:08:53.681]  Banning free speech and protests in Chicago because the globalists are coming to town.
[00:08:53.921 --> 00:08:54.621]  That's not freedom.
[00:08:54.861 --> 00:08:56.362]  TSA sticking their hands down your pants.
[00:08:56.783 --> 00:09:01.585]  IRS taking houses without warrants or due process or real courts approved for the Federal Reserve.
[00:09:01.646 --> 00:09:01.966]  Fraud.
[00:09:02.566 --> 00:09:06.547]  Banks taking people's houses when they fully own them, without deeds, total fraud.
[00:09:07.088 --> 00:09:09.288]  We're not in Kansas anymore.
[00:09:09.308 --> 00:09:10.669]  We're not in the Republic anymore.
[00:09:10.889 --> 00:09:12.109]  People go, well don't bash America.
[00:09:12.169 --> 00:09:12.569]  I'm not.
[00:09:13.130 --> 00:09:15.330]  I want to get our Republic back.
[00:09:15.911 --> 00:09:21.913]  And to do that, we've got to admit just how serious things have gotten, just how hardcore things are.
[00:09:23.953 --> 00:09:29.675]  Now, I was supposed to be in a debate this morning with Tucker Carlson on the radio at 7 a.m.
[00:09:29.715 --> 00:09:31.736]  on a syndicated radio show, Bubba the Love Sponge.
[00:09:33.004 --> 00:09:52.758]  And I was watching videos on InfoWars and got so upset when I saw this first video of a little girl, three years old, healthy and happy in videos and like a skeletor concentration camp victim with pus coming out of her eyes and black teeth and totally skinny after CPS grabbed her for no reason.
[00:09:53.558 --> 00:09:54.179]  This is in Houston.
[00:09:54.199 --> 00:09:55.159]  This is on Fox News.
[00:09:55.660 --> 00:09:58.602]  And put her on anti-psychotic drugs that literally eat your brain.
[00:09:59.082 --> 00:10:00.103]  I got so upset
[00:10:01.280 --> 00:10:05.982]  That I didn't even do the... I just forgot about the debate and went, you know, I already knew about all this.
[00:10:06.002 --> 00:10:11.505]  I already know they drug over two-thirds of foster children, kill thousands a year just in Texas alone.
[00:10:11.525 --> 00:10:14.726]  There's been WAI-TV investigations, but nothing's ever done.
[00:10:15.126 --> 00:10:21.489]  The Texas Youth Commission, they had public rapings where people went and paid at the CPS facilities to rape small children.
[00:10:21.770 --> 00:10:23.190]  That all came out five years ago.
[00:10:23.550 --> 00:10:24.811]  Nobody got in trouble for that.
[00:10:25.131 --> 00:10:27.594]  And all this stuff's just flashing back all over the country.
[00:10:27.954 --> 00:10:29.416]  3,400 kids missing.
[00:10:29.456 --> 00:10:30.577]  CNN reported in Florida.
[00:10:30.797 --> 00:10:32.739]  Many of them found dead in CPS custody.
[00:10:33.059 --> 00:10:35.342]  I mean, all flying them out of the country to Saudi Arabia.
[00:10:36.383 --> 00:10:38.745]  Again, there's so much evil, I can't keep track of it all.
[00:10:39.686 --> 00:10:42.910]  And so, I see this and it's like a flashback.
[00:10:43.390 --> 00:10:44.391]  It's like post-traumatic.
[00:10:44.591 --> 00:10:51.415]  I'm being hit with all this stuff and I go, OK, I'm going to cover this today, but I just can't show this Fox News video out of Houston.
[00:10:51.856 --> 00:10:53.197]  I've got to go show them some of the background.
[00:10:53.497 --> 00:10:59.541]  So I start sending stories to the guys about them taking little kids and testing pesticides and radiation on them a few years ago.
[00:10:59.561 --> 00:11:01.762]  This isn't going on in the 50s till they die.
[00:11:02.022 --> 00:11:02.423]  And U.S.
[00:11:02.443 --> 00:11:04.844]  troops being put in chambers to be nerve gas and murdered.
[00:11:05.084 --> 00:11:06.986]  And I'm thinking, my God, this government is so criminal.
[00:11:07.266 --> 00:11:10.528]  How did I ever deny to myself just how out of control this is?
[00:11:10.848 --> 00:11:11.909]  I'm not hardcore enough.
[00:11:12.269 --> 00:11:13.150]  I'm not doing enough.
[00:11:13.892 --> 00:11:17.304]  I just kept hitting me and hitting me and hitting me and hitting me and hitting me.
[00:11:18.439 --> 00:11:21.000]  That we live in a crazy Twilight Zone episode.
[00:11:21.020 --> 00:11:25.922]  But I mean, Hitler killing tens of millions, Stalin, Mao, Pol Pot, Fidel Castro, it goes on and on.
[00:11:25.942 --> 00:11:26.983]  This is the norm.
[00:11:27.443 --> 00:11:34.986]  With these scum we let get in control and do what they say, because in our evolutionary development or whatever you want to call it, we do what the leader says.
[00:11:35.426 --> 00:11:37.667]  We believe the chief wants the tribe to survive.
[00:11:37.987 --> 00:11:39.448]  That was the case 10,000 years ago.
[00:11:40.048 --> 00:11:41.168]  It's not the case today.
[00:11:41.689 --> 00:11:44.110]  And we've got to grow up and realize this.
[00:11:44.890 --> 00:11:47.090]  I mean, you look at the stuff that Hitler and Mao and them did.
[00:11:47.110 --> 00:11:50.551]  I mean, it's like, why would Mao kill 60 plus million people in just a few years?
[00:11:51.311 --> 00:11:52.252]  Because he could.
[00:11:53.072 --> 00:11:55.672]  He did all these evil things to get into power so he could do that.
[00:11:56.552 --> 00:12:01.994]  A psychopath that kills a few hundred when they're just a general is going to kill a million when he gets in charge.
[00:12:02.074 --> 00:12:02.914]  Don't you understand that?
[00:12:04.074 --> 00:12:05.434]  They do it because they like it.
[00:12:05.794 --> 00:12:06.875]  They do it because they enjoy it.
[00:12:06.895 --> 00:12:11.876]  They're like, Jeffrey Dahmer, why'd you kidnap little kids and torture them and inject them in the brain to make them sex zombies?
[00:12:11.916 --> 00:12:12.696]  It's because I like it.
[00:12:13.686 --> 00:12:14.927]  Ted Bundy, why'd you do that?
[00:12:15.707 --> 00:12:16.807]  John Wayne Gacy, why'd you do that?
[00:12:16.827 --> 00:12:17.447]  Because I like it.
[00:12:17.788 --> 00:12:19.668]  Why'd you grab teenagers and torture them and kill them?
[00:12:19.948 --> 00:12:21.069]  Because I like to.
[00:12:22.289 --> 00:12:30.272]  They're just psychos that get in control and they hire other psychos and create these giant colony creature guilds against us.
[00:12:30.673 --> 00:12:32.333]  Good people have to get together.
[00:12:32.353 --> 00:12:33.794]  See, good people are not
[00:12:34.773 --> 00:12:35.634]  We're not joiners.
[00:12:35.674 --> 00:12:37.056]  We're not looking for power.
[00:12:37.357 --> 00:12:38.398]  We just want to be happy and good.
[00:12:38.418 --> 00:12:39.360]  We're not malfunctioning.
[00:12:39.540 --> 00:12:40.622]  We're not cancer cells.
[00:12:41.082 --> 00:12:45.328]  But what happens on the low level, the small microscopic level, happens on the giant level.
[00:12:45.609 --> 00:12:50.416]  And so, as a globe, with the skin of life growing on the surface of it in this thin atmosphere...
[00:12:51.738 --> 00:12:53.439]  The planisphere does have a cancer.
[00:12:53.720 --> 00:12:56.302]  The globalists are always saying humanity's a cancer, it needs to be killed.
[00:12:56.663 --> 00:12:57.944]  They're actually the cancer.
[00:12:57.964 --> 00:13:04.151]  The tiny group of elite are malfunctioning and keeping the human destiny from fully reaching its potential.
[00:13:04.411 --> 00:13:05.252]  They are the cancer.
[00:13:05.492 --> 00:13:06.614]  They act just like it.
[00:13:08.021 --> 00:13:17.946]  A normal person who doesn't have degenerate programming is like, you want to wear black uniforms and beat people and spy on folks and have big martial parades and give each other awards all day?
[00:13:18.026 --> 00:13:18.626]  I don't want that.
[00:13:18.906 --> 00:13:19.727]  That's because you're normal.
[00:13:19.967 --> 00:13:21.207]  But for them, it's beautiful.
[00:13:21.227 --> 00:13:22.468]  Do you understand that?
[00:13:24.089 --> 00:13:28.191]  And so, I saw this report we're going to get to at the end of this, where
[00:13:29.212 --> 00:13:31.614]  They grab people because the parents smoke marijuana or whatever.
[00:13:31.934 --> 00:13:33.495]  And you know when you go in to get a medical procedure now?
[00:13:33.836 --> 00:13:34.616]  They do a blood test?
[00:13:34.997 --> 00:13:37.719]  They don't tell you you have a right to remain silent without a warrant for getting your blood.
[00:13:37.919 --> 00:13:46.546]  It's all through the health departments that were eugenics departments set up in 1910, 1950, depending on the city, depending on the state, where they're all spying on you.
[00:13:46.566 --> 00:13:51.890]  That's when you have a baby, you got plenty of money, you're doing all right, oh, we're making ends meet, coming for your kids.
[00:13:53.171 --> 00:13:54.272]  Because you're poor now.
[00:13:54.372 --> 00:13:55.293]  See, and they want your kid.
[00:13:55.313 --> 00:13:56.114]  They're hunting you.
[00:13:56.394 --> 00:13:57.215]  They're after you.
[00:13:57.635 --> 00:13:58.556]  This is the system.
[00:14:00.092 --> 00:14:08.894]  Now, conservative estimates of the million-plus children grabbed a year, over 50,000 nationwide end up dying in government custody.
[00:14:08.954 --> 00:14:11.555]  We've got the numbers up in articles at Infowars.com.
[00:14:12.355 --> 00:14:15.516]  Now, just bad drug interactions are over 100,000 a year, the government admits.
[00:14:16.576 --> 00:14:23.238]  Sixty-nine percent, or over two-thirds, are put on psychotropics, an average of seven, including antipsychotics that cause permanent brain damage.
[00:14:24.864 --> 00:14:25.965]  And you see these children.
[00:14:26.005 --> 00:14:26.665]  I mean, they kill them.
[00:14:26.745 --> 00:14:31.207]  Once they start having the convulsions after seven drugs, then they put them on anticonvulsants.
[00:14:31.267 --> 00:14:33.808]  They know in actuaries it's going to kill a large percentage.
[00:14:34.128 --> 00:14:38.470]  They then even take insurance policies out in the government on them, like Walmart does with those greeters.
[00:14:38.770 --> 00:14:39.331]  Oh, it's so nice.
[00:14:39.351 --> 00:14:40.011]  They hire the old lady.
[00:14:40.031 --> 00:14:41.291]  You wonder why she looks like she's about to die.
[00:14:41.592 --> 00:14:43.432]  They know in actuaries the payout.
[00:14:43.833 --> 00:14:45.193]  They put a couple mil on her.
[00:14:45.253 --> 00:14:46.634]  The family never even knows about it.
[00:14:47.574 --> 00:14:51.156]  And when she dies, while she's working with them, they take the insurance.
[00:14:52.017 --> 00:14:57.158]  Oh, you thought they hired the 81-year-old lady who looks like she's about to die on a cane to say hi to you?
[00:14:57.338 --> 00:14:59.519]  She's there to die to make them some insurance cash.
[00:15:00.179 --> 00:15:01.319]  Oh, but they're cold-blooded.
[00:15:01.619 --> 00:15:05.500]  See, you're not ready to wake up to the full horror, so you're not going to be able to resist them.
[00:15:06.821 --> 00:15:07.921]  Knowing is half the battle.
[00:15:08.521 --> 00:15:10.481]  The devil's greatest trick was he didn't exist.
[00:15:10.942 --> 00:15:13.022]  So I'm sorry this is so hardcore, but this is the facts.
[00:15:13.082 --> 00:15:19.884]  Now, first I thought we would, before we get into all this evidence of the current stuff, Bayer Corp.
[00:15:20.064 --> 00:15:20.484]  science
[00:15:22.116 --> 00:15:28.361]  Crop Life America Human Pesticide Testing Policy.
[00:15:28.821 --> 00:15:41.750]  And I first learned about this six years ago in a New York Daily News article that's been taken down now, but we have it saved at Infowars.com, where they were taking little black kids, and others, but mainly blacks, and testing pesticides on foster children until they died.
[00:15:42.751 --> 00:15:47.758]  And the little kids would try to escape, one seven-year-old, and they strapped him down and gave him the pesticides and killed him.
[00:15:48.078 --> 00:15:51.663]  And the CPS workers had a moment of clarity and came out and said, we're not going to do this.
[00:15:52.143 --> 00:15:53.365]  And tattled, they got fired.
[00:15:53.405 --> 00:15:54.306]  The killing continues.
[00:15:55.167 --> 00:15:56.189]  So there is that report.
[00:15:56.229 --> 00:15:57.731]  I can show you a document cam shot of that.
[00:15:58.852 --> 00:16:00.113]  And Bayer Corp.
[00:16:00.233 --> 00:16:05.156]  Science plotted a human pesticide testing policy.
[00:16:05.937 --> 00:16:09.159]  Because when this came out, in 2005, they were killing people with pesticides.
[00:16:09.179 --> 00:16:13.362]  They tried to get a law passed, or a policy passed, that they could do that.
[00:16:13.382 --> 00:16:14.022]  And we have links.
[00:16:14.783 --> 00:16:16.804]  Just type in foster children pesticide.
[00:16:16.824 --> 00:16:18.225]  You'll get all the mainstream news.
[00:16:18.265 --> 00:16:20.827]  But they're like, oh, it was kind of not nice to kill them.
[00:16:20.847 --> 00:16:21.327]  But they did.
[00:16:21.387 --> 00:16:22.208]  Nobody gets in trouble.
[00:16:23.028 --> 00:16:23.549]  OK.
[00:16:24.329 --> 00:16:24.930]  Here's another one.
[00:16:24.950 --> 00:16:26.230]  This is Associated Press.
[00:16:26.791 --> 00:16:28.272]  Saved at Infowars.com.
[00:16:28.932 --> 00:16:31.174]  That's part of the First Amendment to defend us against tyranny.
[00:16:32.856 --> 00:16:35.538]  Feds tested AIDS drugs on foster kids, lethal ones.
[00:16:36.499 --> 00:16:38.240]  You know it's the AIDS drugs mainly killing people.
[00:16:38.260 --> 00:16:41.323]  These are like hardcore, basically chemotherapy drugs.
[00:16:42.540 --> 00:16:43.961]  Again, it's all broke in 05.
[00:16:44.301 --> 00:16:45.642]  The rabbit hole went very, very deep.
[00:16:46.322 --> 00:16:48.363]  This is Organic Consumers Association alert.
[00:16:48.464 --> 00:16:52.306]  EPA to allow pesticide testing on orphans and mentally handicapped children.
[00:16:52.706 --> 00:16:57.769]  And that's after they got caught, like when Bush got caught spying without warrants or torturing, which was illegal.
[00:16:57.809 --> 00:16:59.090]  He tried to then get it legalized.
[00:16:59.110 --> 00:17:00.671]  Remember, that's standard policy.
[00:17:00.691 --> 00:17:01.671]  So there's the Associated Press.
[00:17:03.012 --> 00:17:05.014]  Here's the Israel insider we have saved.
[00:17:05.034 --> 00:17:08.056]  In my film, Endgame, we have a local Israeli newscast.
[00:17:08.076 --> 00:17:09.757]  110,000 children were radiated.
[00:17:09.777 --> 00:17:11.198]  Over 40,000 of them died.
[00:17:11.218 --> 00:17:13.540]  They gave them different dosages.
[00:17:13.560 --> 00:17:14.000]  The U.S.
[00:17:14.040 --> 00:17:14.601]  paid for this.
[00:17:15.061 --> 00:17:18.604]  They would take the brown-skinned Sephardic, not the Ashkenazi.
[00:17:19.324 --> 00:17:23.287]  ...and radiate them to death, murdering them, many of them on the spot.
[00:17:23.327 --> 00:17:24.728]  They'd actually cook them onto the table.
[00:17:24.989 --> 00:17:31.494]  And don't worry, I've got, the Department of Energy admits, from the 40s through the 80s, now it's all secret, radiating children.
[00:17:31.514 --> 00:17:39.520]  They put little babies, foster babies, in these basters and hit them with such high-powered radiation that in some of these reports they would actually be cooked onto the metal.
[00:17:39.941 --> 00:17:40.881]  That's nice government, though.
[00:17:40.901 --> 00:17:41.922]  They wouldn't stage 9-11.
[00:17:41.982 --> 00:17:42.643]  Everything is fine.
[00:17:45.607 --> 00:17:49.709]  And again, Government Employees Union tell EPA don't expose kids to pesticide experiments.
[00:17:50.570 --> 00:17:53.211]  And that's peer.org, EPA scientists.
[00:17:53.231 --> 00:17:54.632]  You can go read that in press releases.
[00:17:55.072 --> 00:18:01.696]  Actually, EPA scientists have come out three separate times, 90 plus percent of them, thousands, signing doctors, chemists, you name it.
[00:18:02.476 --> 00:18:04.137]  Shane, don't put sodium fluoride in the water.
[00:18:04.157 --> 00:18:06.057]  It causes cancer, but you know what?
[00:18:06.077 --> 00:18:08.518]  They're not gonna stop because they love killing you too much.
[00:18:09.078 --> 00:18:10.259]  Here it is, WOAI.
[00:18:10.299 --> 00:18:11.379]  We saved this at the time.
[00:18:11.399 --> 00:18:12.120]  That's why we save it.
[00:18:12.180 --> 00:18:12.980]  It's down now.
[00:18:13.340 --> 00:18:16.081]  Two out of three foster children in Texas on psychotropic medication.
[00:18:16.421 --> 00:18:25.244]  A doctor in the system here, we played the newscast at the time, went public and said, yeah, I've seen kids come in totally healthy and within six months they're on seven drugs.
[00:18:25.584 --> 00:18:26.945]  Within a year they're on anti-
[00:18:29.362 --> 00:18:31.384]  Uh, convulsion drugs, and then they die.
[00:18:31.665 --> 00:18:34.828]  So they, because they get more money when they make them special needs.
[00:18:34.868 --> 00:18:41.794]  And if you're 2, 3, 4, 5, 6, 7, you cry for mommy when they take you into a big, dirty facility with all these other kids raping you.
[00:18:42.094 --> 00:18:46.358]  Seven times more likely to be sexually abused, Justice Department's own numbers, in CPS care.
[00:18:46.679 --> 00:18:48.360]  Seven times more likely to get an STD.
[00:18:48.681 --> 00:18:50.562]  Five times more likely to be generally abused.
[00:18:50.743 --> 00:18:53.785]  When you come out, five times more likely to end up beginning up in prison.
[00:18:55.444 --> 00:18:56.764]  Unless you become a CPS worker.
[00:18:56.784 --> 00:19:01.666]  The weird thing is a lot of them become CPS workers because it's part of the pedophile network they're now part of.
[00:19:02.086 --> 00:19:04.546]  So, uh, we've got a guest audience today.
[00:19:04.606 --> 00:19:05.887]  Erin's mom's here today.
[00:19:06.307 --> 00:19:08.727]  I'm afraid she's hearing about a particularly hardcore show.
