[00:00:42.059 --> 00:00:43.420]  Good evening, InfoWarriors.
[00:06:19.358 --> 00:06:26.164]  And the last ditch effort to get our country back is completely shut down.
[00:06:26.244 --> 00:06:36.613]  Speaking of which, they shut down Ron Paul's rally, his monumental rally, which drew a record number of 5,200 people in Wisconsin.
[00:06:37.234 --> 00:06:39.576]  The media has completely blacked it out.
[00:06:42.798 --> 00:06:43.139]  Guys.
[00:06:50.859 --> 00:06:51.179]  Okay.
[00:06:52.040 --> 00:07:08.696]  Okay, the Ron Paul rally in Wisconsin that drew 5,200 was of course blacked out, and if you bring the document cam over here, we can kind of go through a procession of Ron Paul's horrible
[00:07:09.847 --> 00:07:12.008]  Treatment by the mainstream media.
[00:07:13.329 --> 00:07:23.195]  You may remember we reported that the only remaining MSN reporter covering Ron Paul was pulled, and that was back in March 14, 2012.
[00:07:24.896 --> 00:07:31.900]  And, of course, there he is in front of a huge number of good, honest, hardworking, concerned Americans.
[00:07:33.075 --> 00:07:37.439]  Not conspiracy theorists, but actual people that have brain cells.
[00:07:38.020 --> 00:07:43.646]  And here we go, Anderson Cooper responding to Ron Paul's media blackout.
[00:07:46.088 --> 00:07:50.132]  And we go back to October 21st, 2011 from the state column.
[00:07:50.633 --> 00:07:54.356]  Anderson Cooper responds to Ron Paul's media blackout comments.
[00:07:55.336 --> 00:08:01.419]  We've got Patrick C. Due reporting how the media was purposefully ignoring Ron Paul.
[00:08:01.979 --> 00:08:10.243]  Here's an Aaron Dykes article about the Politico's Simon Says, how Ron Paul's victory in the Iowa caucuses may help Romney.
[00:08:10.963 --> 00:08:14.945]  Ron Paul doesn't even exist from the Personal Liberty Digest.
[00:08:16.005 --> 00:08:25.291]  And Rachel Maddow talking about how Ron Paul's delegate sneak attacks strategy undermined and the voter will.
[00:08:26.211 --> 00:08:34.677]  And Sarah Palin warning back in January about the mainstream media ignoring Ron Paul.
[00:08:35.497 --> 00:08:39.220]  Well, speaking of propaganda, we have a huge
[00:08:40.484 --> 00:08:49.827]  Monumental piece of propaganda that will be at a theater near you very shortly, but first we're going to go to a piece from our own Darren McBreen.
[00:08:50.788 --> 00:08:57.410]  It's about Mr. Bernays, Mr. Propaganda, and if you're familiar with fluoride,
[00:08:58.484 --> 00:09:09.283]  It was at one point rat poison, and Mr. Bernays made it this shiny element that now goes onto your shiny teeth and into your tap water.
[00:09:09.984 --> 00:09:10.805]  Let's roll that piece.
[00:09:11.638 --> 00:09:20.003]  To better understand the current state of modern-day media manipulation, we must first look at the father of propaganda, Edward Bernays.
[00:09:20.303 --> 00:09:36.912]  His influence on the 20th century rivaled that of his uncle's, Sigmund Freud, as Bernays pioneered the idea of crowd psychology with Freud's psychoanalytical ideas in what would become a new political ideal on how to control the masses.
[00:09:39.833 --> 00:09:54.658]  In his 1928 book, Propaganda, Bernays wrote, If we understand the mechanisms and motives of the group mind, it is now possible to control and regiment the masses according to our will, without them knowing it.
[00:09:55.398 --> 00:10:08.303]  He called it the engineering of consent, and proposed that those who manipulate this unseen mechanism of society constitute an invisible government, which is the true ruling power of our country.
[00:10:09.750 --> 00:10:18.059]  It was Bernays who introduced the corporate giants to crowd psychology methods and polished techniques to manipulate society.
[00:10:18.480 --> 00:10:27.570]  He convinced the population to buy on impulse things they didn't even need by linking mass-produced goods to their own unconscious desires.
[00:10:33.444 --> 00:10:38.028]  The tobacco industry hired Bernays to persuade women to take up smoking.
[00:10:38.449 --> 00:10:45.175]  And the Alcoa Aluminum Company asked him to drive the campaign for the national fluoridation of our water supply.
[00:10:49.552 --> 00:10:53.893]  A consumerist culture was born and the US government took notice.
[00:10:54.794 --> 00:11:00.295]  In addition to famous corporate giants, Bernays also began working for the federal government.
[00:11:00.715 --> 00:11:13.179]  They adopted his technique of manufacturing ever-present dangers and then maintaining a constant state of fear to give those in power greater control of what Bernays called the mass mind.
[00:11:13.940 --> 00:11:14.800]  Edward Bernays
[00:11:16.024 --> 00:11:18.566]  Who's the father of modern advertising and propaganda.
[00:11:18.786 --> 00:11:21.048]  He literally wrote the book propaganda.
[00:11:21.869 --> 00:11:29.194]  Joseph Goebbels on record, the Nazi propaganda minister, used a lot of his information and twisted it to his own designs.
[00:11:29.695 --> 00:11:35.980]  Bernays was the chief psychological warfare expert for more than 20 years, advising the Department of War.
[00:11:36.680 --> 00:11:39.602]  He advised them to call it defense, don't be honest anymore.
[00:11:40.083 --> 00:11:44.046]  Call it the Department of Defense because you're actually going to run giant imperial slaughter operations.
[00:12:01.257 --> 00:12:08.795]  And now we go to this amazing piece by our very own Aaron Dykes about Prometheus, the movie that will premiere June 1st, 2012, directed by Ridley Scott.
[00:12:12.011 --> 00:12:16.795]  Many of you may know that Prometheus is a metaphor for Lucifer, the lightbearer.
[00:12:17.295 --> 00:12:28.543]  The occultist, elitist idea of Lucifer is Prometheus, the man who took the knowledge, well actually a titan, who took the knowledge from the gods and was punished for it.
[00:12:28.984 --> 00:12:38.971]  And of course Hermes there on the side of the Rockefeller Plaza, all tying in the hermetic knowledge that the occultist elitists are so into these days.
[00:12:40.432 --> 00:12:41.273]  Here we go with that piece.
[00:12:49.508 --> 00:12:59.570]  Ridley Scott, arguably one of the greatest living directors, is set to release a prequel to his 1979 mega-hit, Alien, Prometheus.
[00:13:00.651 --> 00:13:17.535]  One of the most anticipated sci-fi films in recent memory, InfoWars.com research analysis shows Prometheus is not just a film, but a revelation of the method, revealing the deepest secrets of the Illuminati mystery religion.
[00:13:21.300 --> 00:13:37.255]  I do have a lot of contacts in the media as viewers and listeners know, and I have been able to secure a copy of an early script and it follows very closely from the trailer I've seen and other leaks.
[00:13:37.595 --> 00:13:41.980]  I'm not going to give the entire film away here, but in synopsis,
[00:13:43.430 --> 00:14:00.035]  This is a film about the origins of humankind with a super race of near-immortal genetic engineers who are contemplating a genetic overwrite or rewrite of the planet Earth.
[00:14:00.495 --> 00:14:07.597]  When meddling humans stumble in to the magician's laboratory, they are punished for their trespass.
[00:14:09.841 --> 00:14:24.793]  The so-called space jockey is the advanced species that have engineered humans back on Earth and produced the bio-weapon that we know of as the classical alien that burst out of your chest after feeding on the food in your intestines.
[00:14:25.313 --> 00:14:34.000]  The reason we're taking time out to examine Prometheus is because its storyline, its plot, mirrors that of many ancient societies.
[00:14:34.821 --> 00:14:40.166]  And the ideas presented in Prometheus are at the core of Western secret societies.
[00:14:40.727 --> 00:14:44.370]  These are ancient civilizations that were separated by centuries.
[00:14:44.510 --> 00:14:48.073]  And yet, this same pictogram was discovered in every one of them.
[00:14:48.093 --> 00:14:49.515]  Please tell me you can read that.
[00:14:51.676 --> 00:14:59.660]  Across the world, we see evidence of early civilizations' obsession with what they believed were off-world influences.
[00:14:59.940 --> 00:15:05.543]  From the Nazca Lines in South America to the Pyramids of Egypt, we see artifacts.
[00:15:06.204 --> 00:15:11.587]  Testament to early man's obsession with off-world manipulators.
[00:15:12.487 --> 00:15:17.850]  Every ancient culture believed they were communicating with men from the sky.
[00:15:18.330 --> 00:15:29.575]  Ezekiel with spinning wheels of fire landing and creatures with blue space helmets approaching Ezekiel and giving him a drug to take and then he has wild hallucinations.
[00:15:30.276 --> 00:15:38.900]  One could say that Prometheus is simply art imitating life and putting a 21st century spin on the beliefs of the Dogon tribe in Africa.
[00:15:39.620 --> 00:15:41.562]  and the Aztecs of Mesoamerica.
[00:15:42.242 --> 00:15:55.553]  Eric Von Donaghan, more than any other living person, has popularized the idea of chariots of the gods, and that our planet has been visited and manipulated by off-world creatures for thousands of years.
[00:15:55.773 --> 00:16:04.119]  But the systems that he popularized were regurgitated whole cloth from ideas developed by the ruling class of this planet.
[00:16:04.620 --> 00:16:05.320]  And I want to be clear,
[00:16:06.401 --> 00:16:23.095]  Every major globalist we look at, going back more than 160 years, is completely and totally obsessed with the idea that off-world aliens are controlling this planet and giving them hidden knowledge.
[00:16:23.656 --> 00:16:25.837]  By the 1870s, T.H.
[00:16:25.997 --> 00:16:30.962]  Huxley Group and their X-Club was dominating the Royal Society in England.
[00:16:31.542 --> 00:16:40.146]  The dominant theory within the X-Club was that humans had been seeded here, along with most other life forms, by advanced beings from space.
[00:16:41.027 --> 00:16:44.729]  From the inception of Darwin's theory on the origin of species.
[00:16:45.811 --> 00:16:51.275]  Evolutionary scientists never believed for a minute that life simply started on its own.
[00:16:51.655 --> 00:17:03.103]  That evolution is not some random, slow system developing by chance, but is actually directed by off-world seeders, terra-farmers, creators of worlds.
[00:17:03.843 --> 00:17:14.105]  Even the discoverer of DNA, Francis Crick, promotes the idea that life was seeded on this planet in what he calls directed panspermia.
[00:17:14.805 --> 00:17:17.726]  It is part of the larger myth of transhumanism.
[00:17:18.486 --> 00:17:31.409]  Huxley, Darwin, Wedgwood, the Galtans, they all interbred in an attempt to create this transcendent Superman, the governing class of this globe.
[00:17:32.492 --> 00:17:43.020]  ...believes that they are channeling advanced technological systems given to them by ancient alien species.
[00:17:43.760 --> 00:17:50.545]  And the science fiction of the last 150 years, whether it's Jules Verne or H.G.
[00:17:50.605 --> 00:17:52.267]  Wells or those that came before them,
[00:17:53.087 --> 00:17:54.948]  We can create cybernetic individuals.
[00:18:24.068 --> 00:18:24.908]  Are the gods now?
[00:18:25.868 --> 00:18:33.172]  Blurring the lines between fiction and reality, we see a futuristic presentation of the technology conference TED.
[00:18:33.412 --> 00:18:38.054]  The keynote speaker is the founder of the Weyland Corporation, Mr. Weyland.
[00:18:38.414 --> 00:18:41.536]  There he describes Prometheus stealing fire from the gods.
[00:18:42.156 --> 00:18:46.860]  From the titan Prometheus, our first true piece of technology, fire.
[00:18:47.200 --> 00:18:53.626]  The transference of fire, or the first technology to man, is only the beginning of his transgressions.
[00:18:53.906 --> 00:19:02.813]  Prometheus is a titan, and the creator of mankind, who attempts to elevate humans to the level of gods, and is punished.
[00:19:03.174 --> 00:19:09.179]  The Illuminati believe they have stolen the fire of true genius from the gods.
[00:19:09.827 --> 00:19:12.271]  Biotech, nanotech, fusion.
[00:19:12.531 --> 00:19:19.662]  As man attempts to become godlike, we release potential forces that can and probably will destroy us.
[00:19:20.243 --> 00:19:22.065]  I want to say this in summation.
[00:19:23.373 --> 00:19:29.517]  We're not facing off-world genetic engineers that the elite believes created this planet, whether that's true or not.
[00:19:29.977 --> 00:19:45.066]  We're facing the global technocrats that are splicing every plant and animal and insect you can imagine together, that are creating chimeras with hundreds of species within them, giving rise to superviruses and bacterial mutations.
[00:19:46.107 --> 00:19:54.813]  We are already seeing within three generations in rodents total sterilization and massive deformities in these animals.
[00:19:55.673 --> 00:20:04.959]  And we have proven from the Rockefeller Foundation documents and other reports that this is part of a long-term program to wreck the general public's DNA.
[00:20:05.419 --> 00:20:06.640]  This is the global elite.
[00:20:06.860 --> 00:20:19.264]  Who have fantasized about off-world genetic engineers creating them, actually, in a 160-year-plus program, developing the sciences and technologies to put this into place.
[00:20:20.004 --> 00:20:26.286]  Whatever you say about the Illuminati, they have got patience, and they have had incredible vision.
[00:20:27.166 --> 00:20:32.488]  But I believe humanity needs to hear the truth, and understand this is being carried out against us all.
[00:20:33.388 --> 00:20:38.092]  Because we have a choice to stand up now, but only a short window, and say no.
[00:20:38.753 --> 00:20:39.974]  I know the plot of the film.
[00:20:40.614 --> 00:20:41.535]  I know how it ends.
[00:20:42.116 --> 00:20:43.837]  But I'm going to leave that for you to discover.
[00:20:44.598 --> 00:20:51.384]  The point is, the film itself is only a revelation of the method, an externalization of the hierarchy.
[00:20:55.074 --> 00:21:07.262]  As you can see, the huge amount of propaganda coming to a theater near you is also aiding the Obama administration in their efforts to subvert the Constitution.
[00:21:08.503 --> 00:21:13.286]  Court hears arguments in a lawsuit against Obama's indefinite detention law.
[00:21:14.646 --> 00:21:19.750]  Chris Hedges and Noam Chomsky and Daniel Ellsberg, U.S.
[00:21:19.770 --> 00:21:23.112]  District Judge Catherine Forrest heard testimony from these folks.
[00:21:24.386 --> 00:21:37.035]  And basically they're arguing the fact that they can't even do their jobs anymore without having the possibility of being taken to a unknown facility happen.
[00:21:39.056 --> 00:21:52.666]  It's very chilling to be sitting in this seat right now, although I will do anything I can to ensure that my children and my grandchildren still live in a country that has individual
[00:21:53.795 --> 00:21:54.235]  Liberty.
[00:21:54.255 --> 00:22:01.257]  Oh, speaking of individual, Liberty, hey, just move along.
[00:22:01.317 --> 00:22:06.498]  There's no concern over the National Defense Resource Preparedness Executive Order.
[00:22:06.558 --> 00:22:14.240]  It's just, all that concern you have is just a distraction, according to Asilwin Subhansang.
[00:22:15.100 --> 00:22:17.461]  Who is an editorial fellow at Mother Jones.
[00:22:17.921 --> 00:22:24.263]  He seems to have a problem understanding the Constitution and the national security state, says our very own Kurt Nimmo.
[00:22:24.823 --> 00:22:34.967]  He takes the political right to task for warning about the National Defense Resources Preparedness Executive Order, signed by Obama earlier this month.
[00:22:35.367 --> 00:22:43.030]  This particular executive order is no big deal, and if you really want to place blame, just place it on Harry Truman.
[00:22:43.630 --> 00:22:49.854]  Subh Sangh writes, he says the, well, Kurt says he's right about Truman.
[00:22:50.315 --> 00:23:01.162]  The National Security Act of 1947 was passed by Congress and signed into law by President Truman, and it has allowed the Pentagon and the CIA to encroach on our civil liberties ever since.
[00:23:01.863 --> 00:23:07.167]  It created a national security establishment that has issued a number of unconstitutional executive orders.
[00:23:07.767 --> 00:23:11.289]  Mr. Subh Sangh mentions these in passing.
[00:23:12.210 --> 00:23:20.874]  It enabled the military-industrial complex President Dwight D. Eisenhower warned about in his farewell address in 1961.
[00:23:25.177 --> 00:23:41.065]  And speaking of our rights being trampled all over, here's a piece I put together about the UN and the simple logic concerning the Constitution and the war powers
[00:23:42.285 --> 00:23:50.972]  of our country and the fact that the executive branch of the government doesn't have the power to make the decision.
[00:23:51.113 --> 00:23:52.974]  It all belongs to Congress.
[00:23:54.035 --> 00:23:55.036]  Let's go to this piece.
[00:23:55.478 --> 00:23:59.601]  The collective consciousness turns once again to the United Nations.
[00:24:00.022 --> 00:24:08.809]  Many Americans, and especially the soldiers that serve the Commander-in-Chief in Congressional declarations of war, are once again left out in the cold.
[00:24:09.450 --> 00:24:17.957]  We were not asked, stunningly, in direct violation of the War Powers Act, whether or not you believe its constitution, it certainly didn't comply with it.
[00:24:18.257 --> 00:24:21.400]  We spent our time worrying about the UN, the Arab League, NATO,
[00:24:22.120 --> 00:24:27.283]  And too little time, in my opinion, worrying about the elected representatives of the United States.
[00:24:27.624 --> 00:24:35.929]  Do you think that you can act without Congress to initiate a no-fly zone in Syria without congressional approval?
[00:24:37.438 --> 00:24:54.651]  You know, again, our goal would be to seek international permission and we would come to the Congress and inform you and determine how best to approach this, whether or not we would want to get permission from the Congress.
[00:24:55.051 --> 00:24:58.674]  I think those are issues we would have to discuss as we decide what to do here.
[00:24:59.457 --> 00:25:02.601]  Well, I'm almost breathless about that.
[00:25:03.281 --> 00:25:11.110]  Because what I heard you say is, we're going to seek international approval, and they will come and tell the Congress what we might do.
[00:25:11.271 --> 00:25:13.453]  And we might seek congressional approval.
[00:25:13.513 --> 00:25:16.657]  If we're working with an international coalition, and we're working with NATO,
[00:25:17.898 --> 00:25:23.685]  We would want to be able to get appropriate permissions in order to be able to do that.
[00:25:23.745 --> 00:25:30.153]  That's something that all of these countries would want to have some kind of legal basis on which to act.
[00:25:30.413 --> 00:25:32.455]  What legal basis are you looking for?
[00:25:33.316 --> 00:25:34.498]  What entity?
[00:25:35.868 --> 00:25:40.510]  Well, obviously, if NATO made the decision to go in, that would be one.
[00:25:41.450 --> 00:25:55.496]  If we developed an international coalition beyond NATO, then obviously some kind of UN security resolution... So a coalition of... So you're saying NATO would give you a legal basis?
[00:25:56.937 --> 00:26:02.339]  And an ad-hoc coalition of nations would provide a legal basis?
[00:26:04.491 --> 00:26:15.837]  If we were able to put together a coalition and were able to move together, then obviously we would seek whatever legal basis we would need in order to make that justified.
[00:26:15.857 --> 00:26:23.921]  I mean, you know, we can't just pull them all together in a combat operation without getting the legal basis on which to act.
[00:26:25.002 --> 00:26:27.223]  Who are you asking for the legal basis from?
[00:26:30.966 --> 00:26:35.010]  Obviously, if the UN passed a security resolution as it did in Libya, we would do that.
[00:26:36.652 --> 00:26:40.335]  If NATO came together as we did in Bosnia, we would rely on that.
[00:26:40.656 --> 00:26:43.058]  So, you know, we have options here.
[00:26:43.639 --> 00:26:50.585]  His response is absolute confirmation that our military and executive branches have been hijacked by the United Nations.
[00:26:51.485 --> 00:26:56.947]  Which is controlled by the New World Order agenda and promoted by the fiat currency banking cartels.
[00:26:57.588 --> 00:27:06.572]  How can the United Nations continue to subvert our sovereign constitutional authority to control the actions of our own United States military?
[00:27:07.132 --> 00:27:15.896]  Flashback to the Paris Peace Conference that ended World War I. A League of Nations was formed with a primary mission of maintaining world peace.
[00:27:16.856 --> 00:27:27.343]  The American Republican Majority Congress refused to join the League of Nations as Germany and the Axis powers all left the League of Nations and World War II ensued.
[00:27:28.404 --> 00:27:33.887]  At the end of the Second World War, the United Nations picked up where the League of Nations failed.
[00:27:34.488 --> 00:27:45.755]  The Rockefeller family, one of the primary architects of the Federal Reserve System, donated the 17 acres on the East River of New York City to build the United Nations Headquarters.
[00:27:48.177 --> 00:27:57.944]  Arranged by Nelson Rockefeller, the deal further solidified the modern presence of the Rockefeller influence in domestic and foreign policy.
[00:27:59.125 --> 00:28:04.949]  The United Nations houses 15 specialized agencies outside of New York City.
[00:28:05.949 --> 00:28:12.374]  All of the locations of the United Nations outside of the United States enjoy extraterritorial privileges.
[00:28:12.714 --> 00:28:18.177]  Thus, the activities of these various entities are sheltered from United States law.
[00:28:18.398 --> 00:28:27.544]  As the New World Agenda moves forward and global powers coalesce, the United Nations place the American military on the tip of their spear.
[00:28:28.144 --> 00:28:34.310]  The power to declare war was specifically reserved for Congress through the War Powers Clause.
[00:28:34.690 --> 00:28:46.981]  The President shall be Commander-in-Chief of the Army and the Navy of the United States and of the militia of several states when called into the actual service of the United States.
[00:28:47.862 --> 00:28:59.788]  This power to command the military is specifically balanced by Article 1, Section 8, Clause 11 of the Constitution, which vests in Congress the power to declare war.
[00:29:00.448 --> 00:29:06.692]  It reads, Congress shall have power to declare war, grant letters of mark and reprisal,
[00:29:07.452 --> 00:29:11.537]  And make rules concerning captures on land and water.
[00:29:11.777 --> 00:29:22.068]  On the heels of the Korean and Vietnam Wars, primarily in response to the Gulf of Tonkin false flag operation, Congress passed the 1973 War Powers Resolution.
[00:29:22.249 --> 00:29:24.651]  The resolution was vetoed by the President.
[00:29:25.012 --> 00:29:28.816]  However, Congress overrode the veto with a two-thirds majority vote.
[00:29:29.216 --> 00:29:41.945]  The War Powers Resolution requires the President to notify Congress within 48 hours of committing military action, and limits the deployment to 60 days with an additional 30 days for withdrawal.
[00:29:42.365 --> 00:29:47.608]  Only a declaration of war by Congress can authorize the 91st day of combat.
[00:29:47.989 --> 00:29:58.576]  Disregarded by every President since the Korean War, and in modern times by both President Clinton in Bosnia, and again by President Obama in Libya,
[00:29:59.376 --> 00:30:06.603]  The executive office seems to have forgotten that American soil must be attacked for the president to attack another country.
[00:30:07.223 --> 00:30:15.551]  America must insist the violators of constitutional law remove themselves or be removed from the public arena.
[00:30:20.572 --> 00:30:21.633]  Pretty disturbing, huh?
[00:30:22.154 --> 00:30:23.155]  Yeah, pretty simple.
[00:30:23.175 --> 00:30:24.636]  1 plus 1 equals 2.
[00:30:25.897 --> 00:30:27.959]  If it rains, you'll get wet.
[00:30:28.780 --> 00:30:32.945]  If you drive your car over a cliff, you probably won't make it.
[00:30:33.445 --> 00:30:34.486]  That's how simple
[00:30:35.509 --> 00:30:53.898]  The entire Constitution is, and our rights, and the completely fabricated rights that the executive has been taking advantage of in the name of, you guessed it, the United Nations.
[00:30:55.216 --> 00:31:00.321]  Now let's move on to this daily quote from an excellent book to inspire you.
[00:31:01.061 --> 00:31:04.004]  I recommend reading this every day when you wake up.
[00:31:04.084 --> 00:31:06.246]  Just read a little passage there.
[00:31:06.266 --> 00:31:11.451]  It's from one of our founding fathers, Thomas Jefferson, from Light and Liberty.
[00:31:12.352 --> 00:31:19.398]  The selfish spirit of commerce knows no country and feels no passion or principle but that
[00:31:22.020 --> 00:31:29.123]  Thomas Jefferson from Light and Liberty, Reflections on the Pursuit of Happiness.
[00:31:30.483 --> 00:31:37.766]  And if you guys go to a document shot here, I just want to show you that it is very simple.
[00:31:38.046 --> 00:31:39.407]  Just move it on along there.
[00:31:40.507 --> 00:31:42.188]  And meanwhile I'll be drawing this.
[00:31:43.168 --> 00:31:45.830]  This is, right here, this is you, okay?
[00:31:46.931 --> 00:32:05.428]  And all this surrounding you is the liberties, and I'm sure a lot of you are out there going, yeah, thanks Sherlock, but these are the liberties we've been given in this amazing experiment we call the United States of America.
[00:32:05.948 --> 00:32:08.451]  Well, you've got folks out there
[00:32:10.336 --> 00:32:30.493]  Whose plan it is to just eat away at your liberties, at your First Amendment, at your... well they already got, they just got rid of your right to protest and religious freedom is taking a beating.
[00:32:30.954 --> 00:32:35.117]  So we're probably, let's see, we're probably, well we're getting there.
[00:32:35.658 --> 00:32:37.840]  Pretty soon it's just going to be
[00:32:39.241 --> 00:32:46.384]  It's just going to be you, and then all of these liberties, see these liberties here?
[00:32:47.244 --> 00:32:48.385]  Those will be gone.
[00:32:49.465 --> 00:32:55.888]  The freedom for me, there will probably be some law where the freedom to do this is taken away.
[00:32:57.188 --> 00:33:05.732]  In protest, I'm going to do my own protest right now, of the mainstream media blackout, I'm going to take off just for tonight.
[00:33:06.869 --> 00:33:09.010]  Because my mom said I looked handsome in a tie.
[00:33:09.030 --> 00:33:19.714]  I'm going to take off this tie in protest of the mainstream media because I have individual liberty and the individual freedom of expression to do that.
[00:33:21.755 --> 00:33:22.155]  Right now.
[00:33:23.275 --> 00:33:24.136]  Unless we do something.
[00:33:25.436 --> 00:33:33.039]  Let's go to this interview and we'll kick back and go to this interview with Rosa Corey and her
[00:33:35.086 --> 00:33:47.015]  Knowledge on Agenda 21, but before we go there, I want to remind everybody to go to PrisonPlanet.tv or tell somebody you know to go to PrisonPlanet.tv.
[00:33:47.555 --> 00:33:51.758]  We are funded by you and your liberty to fund us.
[00:33:52.359 --> 00:33:54.040]  That's another liberty they'll take away.
[00:33:55.481 --> 00:33:56.442]  Currently, we're here.
[00:33:57.623 --> 00:33:58.784]  Currently, we can do this.
[00:34:00.004 --> 00:34:03.107]  Currently, you can send money and help make this happen.
[00:34:06.072 --> 00:34:07.313]  But it could go away.
[00:34:08.054 --> 00:34:09.496]  It could be gone.
