[00:00:41.629 --> 00:00:42.891]  It's Friday, October 12th.
[00:04:29.469 --> 00:04:36.831]  On Wednesday, Kentucky Senator Rand Paul issued a scathing criticism of Mitt Romney's foreign policy speech delivered earlier in the week.
[00:04:37.311 --> 00:04:47.533]  In August, Paul came out in support of the Republican presidential candidate, much to the dismay of his father's supporters and others who saw him as inheriting Ron Paul's political mantle.
[00:04:48.433 --> 00:04:56.196]  Quote, Romney chose to criticise President Obama for seeking to cut a bloated defence department and for not being bellicose enough in the Middle East.
[00:04:56.576 --> 00:05:00.798]  Two assertions with which I cannot agree, Paul said.
[00:05:01.238 --> 00:05:05.140]  In North Africa and the Middle East our problem has not been a lack of intervention.
[00:05:05.660 --> 00:05:11.963]  In the past ten years we have fought two full wars there and bombed or sent troops to several other countries.
[00:05:13.283 --> 00:05:14.064]  So basically,
[00:05:15.165 --> 00:05:19.146]  Bravo to Rand Paul, I mean this goes a long way to restoring some of the confidence in him.
[00:05:19.546 --> 00:05:33.731]  Because even as the mass media hailed Romney's foreign policy speech as signalling, you know, a huge change from the Obama administration, what Romney actually announced was just an intensification of the same thing.
[00:05:34.711 --> 00:05:39.816]  More pressure on Iran, despite the fact that the sanctions have already crippled their economy.
[00:05:40.257 --> 00:05:49.426]  And of course, more support in terms of heavy weaponry to the glorious al-Qaeda-led Syrian rebels, most of whom aren't even Syrian!
[00:05:50.387 --> 00:06:02.273]  So now the Republicans for weeks have been harping on about this Benghazi attack as a repudiation of Obama's foreign policy and no arguments there, it certainly was.
[00:06:03.013 --> 00:06:11.357]  We had the same extremists the US armed and funded through NATO to overthrow Gaddafi who are now attacking US embassies in the region.
[00:06:11.977 --> 00:06:17.580]  But then Romney turns around and says we're going to arm the Syrian rebels when it's the same people
[00:06:18.701 --> 00:06:22.644]  How can that represent a change in foreign policy when he just said he's going to do the same thing?
[00:06:23.125 --> 00:06:34.415]  It's the same salafi extremists who have flooded into Syria from all the surrounding countries at the behest of the CIA, Saudi Arabia, Turkey, Qatar.
[00:06:34.795 --> 00:06:39.339]  They're funding it all and it's the same people they funded in Libya to overthrow Gaddafi.
[00:06:40.290 --> 00:06:48.372]  So Romney has openly announced that he's going to continue the same disastrous foreign policy as Obama to an even greater degree!
[00:06:49.152 --> 00:06:58.435]  And the media comes out and says this is a huge shift, this is a huge change in approach when it's precisely the same policy only to a greater extent.
[00:06:58.455 --> 00:07:01.816]  So we really are living in the twilight zone with this story.
[00:07:03.096 --> 00:07:08.638]  Farage slams Nobel Peace Prize force as insurgency and violence reign.
[00:07:09.818 --> 00:07:11.140]  This is our Zero Hedge.
[00:07:11.580 --> 00:07:27.578]  We noted earlier the somewhat surrealistic decision to award the Nobel Peace Prize to the European Union, though entirely consistent it would seem given their previous Obama decision, but now UKIP's Nigel Farage has weighed in with his boots-on-the-ground perspective of this farce.
[00:07:28.439 --> 00:07:36.343]  Quote, you only have to open your eyes to see the increasing violence and division within the EU which is caused by the Euro project.
[00:07:36.943 --> 00:07:41.886]  He said, adding that, quote, the awarding of this prize to the EU brings it into disrepute.
[00:07:41.906 --> 00:07:50.490]  He also said, quote, rather than bring peace and harmony, the EU will cause insurgency and violence.
[00:07:50.510 --> 00:07:52.311]  That's Nigel Farage, head of UKIP.
[00:07:53.231 --> 00:07:58.001]  But, you know, it's kind of par for the course with the Nobel Peace Prize.
[00:07:58.642 --> 00:08:02.450]  I mean, you know, if the Nobel Peace Prize had been around over 2,000 years ago...
[00:08:04.269 --> 00:08:07.331]  Julius Caesar would have had a trophy cabinet full of them.
[00:08:07.871 --> 00:08:11.713]  Because every year it's, you know, Obama then he goes and bombs Libya.
[00:08:12.414 --> 00:08:14.215]  Henry Kissinger's won it in the past.
[00:08:14.295 --> 00:08:17.317]  All kind of war criminals have won the Nobel Peace Prize.
[00:08:17.837 --> 00:08:19.538]  And this time it's gone to the EU.
[00:08:19.858 --> 00:08:26.822]  So basically, the message again is you have to be a warmonger to win the Peace Prize in this Orwellian world we're living in.
[00:08:27.423 --> 00:08:32.706]  So the European Union's support for both the conquest of Libya and now Syria
[00:08:33.206 --> 00:08:34.828]  Obviously put them in with a good shout.
[00:08:35.049 --> 00:08:39.775]  I mean you have to support war, you have to wage war to be in with a good shout winning this Peace Prize.
[00:08:40.196 --> 00:08:50.049]  But I think what really tips it in their favour is the fact that police in Europe have been peacefully beating the crap out of their own countrymen.
[00:08:51.090 --> 00:08:58.196]  Against who are protesting against these austerity measures, which of course are a direct consequence of the failed EU project.
[00:08:59.077 --> 00:09:09.625]  So the lesson is, you know, if you send troops in to invade sovereign countries, while simultaneously beating the crap out of your own people, then you're pretty much a shoe-in for the Nobel Peace Prize.
[00:09:09.926 --> 00:09:12.288]  And that's what the EU's done, and they've won it today.
[00:09:14.249 --> 00:09:20.330]  Turkey deploys fighter jets to Syria border after frontier village reportedly bombed.
[00:09:20.390 --> 00:09:21.710]  This is out of Russia today.
[00:09:21.730 --> 00:09:32.992]  According to witnesses, Turkey scrambled two fighter jets to the Syrian border in response to an army helicopter bombing the Syrian border town of Asmarin, Reuters reported.
[00:09:33.372 --> 00:09:42.214]  Fighting between the Syrian government and rebels recently erupted in Asmarin, with several refugees fleeing the violence by crossing the border into Turkey yesterday.
[00:09:42.614 --> 00:09:45.877]  The town is approximately one kilometre from the Turkish border.
[00:09:46.997 --> 00:10:05.532]  So, again, more escalation the day after Turkey causes themselves international embarrassment by intercepting this commercial airliner travelling from Moscow to Damascus, claiming it contained weapons, when in fact it contained nothing whatsoever.
[00:10:06.388 --> 00:10:18.404]  You've got to love what Turkey's doing in trying to provoke constantly the Syrians into attacking and then of course giving NATO the green light to drop its humanitarian love bombs.
[00:10:19.045 --> 00:10:21.288]  Because number one, if Russia
[00:10:21.288 --> 00:10:27.412]  If Russia is sending weapons to Syria, from Moscow to Damascus, on commercial airlines, then so what?
[00:10:27.853 --> 00:10:46.626]  I mean, if Turkey wants to be judged by their own standard, they've been arming, training, warehousing terrorist militants who are going into Syria to conduct terrorist bombings for months, probably for a year or more, and yet they're whining and bitching about Russia sending some weapons to Syria.
[00:10:47.266 --> 00:10:49.428]  They search the plane, there's nothing even in there.
[00:10:50.595 --> 00:11:10.271]  So it became clear that there were no weapons on this commercial airliner, so the Turks simply sent in some goons to beat up the pilots, made them sign a forced confession, and then stole everybody's mobile phones from the passengers who were on the airliner and claimed they were military communications equipment.
[00:11:11.152 --> 00:11:24.940]  And half the media bought it, later turned out that their narrative kind of collapsed and now even the mass media is throwing the light of shame on Turkey and they're being embarrassed internationally as a result of this action.
[00:11:25.921 --> 00:11:30.904]  But you know, the UN, Hillary Clinton and NATO and the rest of them are still standing firmly behind them.
[00:11:31.824 --> 00:11:54.404]  So while the Turkish people protest against their own government for this insane belligerence, which, as we wrote on Infowars.com just the other day, is hyping the possibility of regional warfare, the Turks continue to provoke Syria in the hope that they're going to react and that they're going to provide NATO with this justification for the no-fly zone, which is going to
[00:11:54.944 --> 00:12:01.350]  Of course, turn into the total bombardment, the style of which we saw last year in Libya.
[00:12:01.771 --> 00:12:09.258]  So it's insane, you know, it's only going to end badly for everyone, but Turkey continues with these provocations on a daily basis.
[00:12:10.678 --> 00:12:16.441]  AP's Seth Borenstein at it again, claims global warming means more Antarctic ice.
[00:12:17.001 --> 00:12:21.123]  Meet the new consensus, the opposite of the old consensus.
[00:12:21.723 --> 00:12:24.204]  This is Mark Moreno, Climate Depot.
[00:12:24.784 --> 00:12:27.085]  AP's Seth Borenstein's at it again.
[00:12:27.466 --> 00:12:32.788]  Borenstein continues to serve in his role as Chief Apologist for the man-made global warming industry.
[00:12:33.248 --> 00:12:34.409]  This time in an October 10
[00:12:35.269 --> 00:12:43.156]  AP article, Borenstein is working overtime to explain away record Antarctic sea growth, ice growth in 2012.
[00:12:45.444 --> 00:12:55.873]  As man-made global warming morphs more and more into unfalsifiable science and quote extreme weather claims, expect more tortured spin from activists like Borenstein.
[00:12:56.773 --> 00:13:06.441]  In a prime example of how the warmest cannot get their story straight, Borenstein's article turns former Vice President Al Gore's Antarctic claims and 60 Minutes claims on their head.
[00:13:07.489 --> 00:13:23.735]  So basically this article documents how the claim that record Antarctic sea ice growth in 2012 actually validates global warming science completely contradicts previous claims and studies made by other global warming alarmists.
[00:13:24.515 --> 00:13:32.978]  Because the previous studies which are cited in this article state that low sea ice in the Antarctic was caused by global warming.
[00:13:33.698 --> 00:13:42.327]  Now the alarmists tell us that, you know, it's record high sea ice in the Antarctic that is also the result of global warming.
[00:13:42.587 --> 00:13:45.890]  So basically everything is a result of man-made global warming.
[00:13:46.151 --> 00:13:49.694]  You know, hot weather, cold weather, dry weather, wet weather.
[00:13:50.635 --> 00:13:55.981]  No volcano eruptions, multiple volcano eruptions, no hurricanes, lots of hurricanes.
[00:13:56.642 --> 00:14:06.713]  It's all your fault, and all you need to do is pay that carbon tax directly to Al Gore, to the carbon trading systems that he owns, and that's going to fix it all.
[00:14:06.933 --> 00:14:11.218]  And whatever the weather does, it's your fault, and you've got to pay that tax.
[00:14:12.725 --> 00:14:27.772]  But because of all this mealy-mouthed propaganda and with belief in man-made global warming collapsing, the UN, as we've covered before, made that decision two years ago in their own blueprint to rebrand global warming as population control.
[00:14:27.812 --> 00:14:30.253]  We saw that just yesterday with the Bill Maher story.
[00:14:31.554 --> 00:14:43.459]  So now they're using contrived fears about overpopulation, which the UN's own population division figures show that by 2050 we're going to be in a depopulation crisis.
[00:14:44.279 --> 00:14:49.502]  They've replaced man-made climate change fears with that contrived fraud.
[00:14:50.382 --> 00:15:06.116]  Because as this story illustrates, the global warming mantra has collapsed because these scientists, especially after Climategate and all the other scandals, their own reports now completely contradict not only the science but also each other.
[00:15:06.136 --> 00:15:15.644]  They're scrambling to such a degree that it's all blowing up in their face and confidence, belief in man-made global warming continues to collapse.
[00:15:16.932 --> 00:15:20.114]  Washington could become first state to OK pop sales.
[00:15:20.434 --> 00:15:21.834]  This is out of the Associated Press.
[00:15:22.175 --> 00:15:30.319]  Washington state is on the verge of becoming the first in the nation to let adults over 21 buy taxed, inspected marijuana at state-licensed shops.
[00:15:30.919 --> 00:15:45.046]  It might not clear up more than a decade of confusion that resulted from the state's medical marijuana law, or reverse the proliferation of dispensaries, but supporters say passing Initiative 502 on November 6th could make drug laws more reasonable.
[00:15:45.606 --> 00:15:53.151]  Prevent thousands of arrests a year and bring Washington hundreds of millions of dollars to help pay for schools, healthcare and basic government services.
[00:15:54.312 --> 00:15:59.315]  So, great news there in terms of ending the drug war which of course has
[00:16:00.256 --> 00:16:06.961]  Nothing to do with fighting drugs, nothing to do with reducing the dependency on drugs, because that was never the goal.
[00:16:07.021 --> 00:16:09.983]  It's about controlling the supply and the sale of drugs.
[00:16:10.463 --> 00:16:24.713]  And of course the Feds are fighting against this initiative 502, tooth and nail, because it represents a threat to their prison industrial complex, which is built on profits from the illegal drug trade.
[00:16:25.533 --> 00:16:27.475]  So we'll continue to monitor that story.
[00:16:28.877 --> 00:16:30.899]  Cops tase man for having seizure.
[00:16:31.099 --> 00:16:32.160]  This is out of Russia today.
[00:16:32.180 --> 00:16:37.004]  And this has got to be one of the most insane taser stories we've ever covered.
[00:16:37.104 --> 00:16:38.004]  Just listen to this.
[00:16:38.385 --> 00:16:48.252]  Two Texan police officers are being sued for using a taser to shock a man who was having a seizure, causing the 50-year-old to suffer a heart attack and permanent brain damage.
[00:16:49.153 --> 00:16:57.638]  Scott Sheely filed a federal lawsuit complaint last week in Austin, Texas requesting a jury trial against two police officers who shot him with a taser.
[00:16:58.078 --> 00:17:05.823]  In May, Sheely unsuccessfully asked for a settlement of at least $1.5 million to cover the costs of medical fees, attorneys and emotional damages.
[00:17:07.364 --> 00:17:08.644]  So basically what happened was...
[00:17:09.693 --> 00:17:16.335]  The guy's brother calls for medical assistance after Sheely starts having a seizure there on the ground.
[00:17:17.155 --> 00:17:22.257]  For some reason, I don't know why, they send the police round first instead of the ambulance.
[00:17:23.217 --> 00:17:29.639]  And as he's convulsing, as he's having the seizure, the police, not trying to help him, they're trying to handcuff him.
[00:17:30.694 --> 00:17:38.801]  Because I guess that having a seizure is resisting arrest, as if they had any reason to arrest him in the first place.
[00:17:39.341 --> 00:17:49.629]  So even as his brother's screaming that the guy's having a seizure, the cops, you know, they've got their knee stuck in his back, they're squashing his head up against the sofa, they're cuffing him.
[00:17:50.450 --> 00:17:52.732]  And they're starting to taser him over and over again.
[00:17:53.232 --> 00:17:57.396]  Even after they've handcuffed him, they still continue to taser him.
[00:17:57.416 --> 00:17:58.937]  Because he's having a seizure.
[00:17:59.117 --> 00:18:00.478]  He's writhing around on the ground.
[00:18:00.818 --> 00:18:03.741]  These dumb cops think that he's somehow still resisting them.
[00:18:04.702 --> 00:18:08.344]  But if you think that the horror ends there, then think again.
[00:18:08.865 --> 00:18:10.786]  Because the paramedics then arrive.
[00:18:11.087 --> 00:18:12.168]  Thank God, you would think.
[00:18:12.788 --> 00:18:13.208]  But no.
[00:18:13.529 --> 00:18:18.433]  They actually inject him with drugs that cause the guys to have a cardiac arrest.
[00:18:19.457 --> 00:18:25.742]  So, you know, he's already having a seizure, he's been tased over and over again, and now he's having a heart attack.
[00:18:27.023 --> 00:18:33.648]  And it's just a miracle that he didn't die, because it took him 11 minutes to revive him after he'd stopped breathing.
[00:18:34.972 --> 00:18:39.974]  So now basically as a result he's got obviously the emotional damage must be mammoth.
[00:18:40.214 --> 00:18:51.457]  He's got permanent brain damage and he's suing the cops and he deserves every penny that he can get but again you know protect and serve at their finest once again.
[00:18:52.138 --> 00:18:57.099]  It makes you wonder where on earth they're finding these cops and what they're training them with.
[00:18:57.159 --> 00:18:58.760]  Well we know what they're training them with.
[00:18:58.780 --> 00:19:01.761]  They're training them that the American people are their enemy
[00:19:02.361 --> 00:19:08.171]  That the American people are all potential terrorists and should be treated with the utmost suspicion.
[00:19:08.191 --> 00:19:11.777]  So that's why we continue to hear incidents such as this one.
[00:19:13.055 --> 00:19:17.260]  BBC News reports US prepares first strike cyber forces.
[00:19:17.480 --> 00:19:25.190]  Cyber attacks could inflict as much damage on the US as the physical attacks on September 11, the US Defence Secretary has warned.
[00:19:25.711 --> 00:19:32.018]  Leon Panetta said the country was preparing to take pre-emptive action if a serious cyber attack was imminent.
[00:19:32.679 --> 00:19:39.961]  He said US intelligence showed foreign actors were targeting control systems for utility, industry and transport.
[00:19:40.762 --> 00:19:44.243]  And of course this relates back to a story from earlier this month.
[00:19:44.703 --> 00:19:49.705]  Chinese hackers attack White House office in charge of nuclear launch codes.
[00:19:50.185 --> 00:19:56.527]  Hackers associated with the Chinese government attacked an unclassified network of the White House military office during September.
[00:19:57.580 --> 00:20:06.229]  The attack, first reported by the Washington Free Beacon, came as the White House nears completion of cyber security executive order.
[00:20:06.730 --> 00:20:09.613]  You can bet that's a little bit more than a coincidence.
[00:20:10.874 --> 00:20:17.921]  So, again, while there's no doubt that nations, you know, are engaged in cyber attacks against each other, of course,
[00:20:19.301 --> 00:20:34.976]  The United States is busy hyping the threat of cyber attacks in a bid to pass this increasingly draconian cyber security legislation, while simultaneously carrying out all the major cyber terror attacks.
[00:20:36.155 --> 00:20:41.697]  We've documented 2010, Stuxnet virus, which targeted Iran's nuclear facilities.
[00:20:42.177 --> 00:20:44.918]  It was launched by the US and Israel.
[00:20:45.578 --> 00:20:53.021]  The New York Times admitted that after months of us being called conspiracy theorists for saying the same thing.
[00:20:53.041 --> 00:20:57.443]  2011, the Flame virus, which was a
[00:20:58.783 --> 00:21:07.511]  A malware assault which was used to spy on Iran's computer networks was also launched by, you guessed it, the US and Israel and that was reported by the Washington Post.
[00:21:07.951 --> 00:21:25.106]  Then we had this story last month that we covered about three new viruses targeting Lebanon and Iran which top experts at Kaspersky and Symantec said in all likelihood were launched by, you guessed it, the United States and Israel.
[00:21:26.127 --> 00:21:44.803]  So they're hyping the threat of cyber terrorism in order to pass this cyber security legislation domestically to centralise control over the internet and geopolitically so they can put pressure on other countries while they're the ones behind all the major cyber attacks.
[00:21:45.384 --> 00:21:49.728]  Again, total hypocrisy, a totally rigged scenario.
[00:21:51.977 --> 00:21:54.059]  Quote of the day now on Infowars Nightly News.
[00:21:54.639 --> 00:22:01.345]  The EU has transformed most of Europe from a continent of wars to a continent of peace.
[00:22:02.305 --> 00:22:12.334]  That's from Committee Chairman Thorbjorn Jagland, who said that today in Oslo, of course on the back of the EU, receiving the Nobel Peace Prize.
[00:22:12.574 --> 00:22:13.534]  So as we said earlier,
[00:22:14.520 --> 00:22:31.574]  You know, if you count bombing third world countries and savagely beating people who protest against the EU in their own countries, if you characterise that as peaceful, then yes, Europe has transformed the continent into a very peaceful place to be.
[00:22:31.795 --> 00:22:37.800]  That's if you live in Orwell, Bizarro, Twilight Zone world, which all these commissioners apparently do.
[00:22:40.367 --> 00:22:50.930]  So, remember we've got the InfoWars Money Bomb coming up next week, October 18th and 19th, 48-hour special, and it's InfoWarsMoneyBomb.com.
[00:22:50.970 --> 00:23:01.013]  Of course, you've seen where all your great support has gone over the past couple of years, hiring a ton of great new reporters, expanding the operation, reaching more people than ever before.
[00:23:01.554 --> 00:23:05.895]  So you can make that donation at InfoWarsMoneyBomb.com.
[00:23:06.415 --> 00:23:08.036]  Also, of course, PrisonPlanet.tv.
[00:23:08.076 --> 00:23:11.658]  We've kept it at the same price for going on, you know, eight, nine years now.
[00:23:12.258 --> 00:23:18.721]  You get all the special reports, all the speeches, all the special events, the live video of the Alex Jones Show.
[00:23:18.761 --> 00:23:22.783]  Of course, this broadcast goes out live before anybody sees it on YouTube.
[00:23:23.583 --> 00:23:29.846]  You can get all kinds of multimedia content at PrisonPlanet.tv and it supports our operation.
[00:23:30.387 --> 00:23:31.987]  Stay tuned on InfoWars Night News.
[00:23:32.007 --> 00:23:35.229]  We've got more news and special reports coming up after the break.
[00:23:56.613 --> 00:24:02.717]  I really enjoy it when the globalists try to poison us and, well, we resist them via a free market system.
[00:24:03.637 --> 00:24:05.178]  Hello, my fellow info warriors.
[00:24:05.358 --> 00:24:10.581]  Alex Jones here, introducing you to the pro-pure family of gravity-fed filters.
[00:24:11.042 --> 00:24:17.986]  Now, you know that the globalists are filling our water with radioactive isotopes, fluoride, lead, mercury, arsenic.
[00:24:18.666 --> 00:24:28.056]  And one of the few systems that can efficiently and economically remove or reduce down to non-detectable levels these poisons are gravity-fed filters.
[00:24:28.477 --> 00:24:30.759]  And ProPure is the top of the line.
[00:24:31.260 --> 00:24:35.804]  Their filters are impregnated with silver, a natural antibiotic,
[00:24:36.485 --> 00:24:39.867]  On top of that, they're bigger so they filter faster.
[00:24:40.167 --> 00:24:43.269]  You don't have to prime these the first time you use them.
[00:24:43.650 --> 00:24:44.290]  It's amazing!
[00:24:44.330 --> 00:24:50.134]  Go to InfoWars.com and click on the shopping cart link to see the entire family of these babies.
[00:24:51.167 --> 00:24:56.149]  Now, the fluoride they add to our water is so tiny that most filters can't cut it out.
[00:24:56.430 --> 00:25:02.372]  But ProPure has their system that will, again, reduce it to non-detectable levels.
[00:25:02.513 --> 00:25:04.373]  Almost get all of it out of there.
[00:25:04.694 --> 00:25:05.674]  That's also available.
[00:25:06.014 --> 00:25:17.960]  And if you look at the different systems they offer, the ProPure Big Brush Finish is on a stand, so it's easier on a table or at your restaurant or wherever you have it to go up with a glass or a mug and fill it up.
[00:25:18.080 --> 00:25:22.143]  Then there's this big baby right here, the Pro-Pure King large version.
[00:25:22.383 --> 00:25:24.485]  Got a lot of different options that come with it.
[00:25:24.845 --> 00:25:29.148]  Also, they have the Pro-Pure Big, probably one of the best values out there.
[00:25:29.428 --> 00:25:31.410]  And of course, it's burnished stainless steel.
[00:25:31.790 --> 00:25:39.196]  And then, what I use on my RV, something that's great for your hunting cabin or the back porch, is the Pro-Pure Traveler.
[00:25:39.616 --> 00:25:39.736]  Yes.
[00:25:56.830 --> 00:25:58.572]  Obviously, you're hitting us through our water.
[00:25:58.872 --> 00:26:00.554]  It's time to take control of our lives.
[00:26:00.814 --> 00:26:08.741]  It's time to not give our children and families these poisons, and these systems cut it down to non-detectable levels across the board.
[00:26:09.101 --> 00:26:11.323]  ProPure is the name.
[00:26:11.844 --> 00:26:13.846]  I only promote what I believe in.
[00:26:14.466 --> 00:26:18.029]  And I use ProPure in my home and my office.
[00:26:18.329 --> 00:26:22.612]  And I recommend that you check out the information on ProPure at Infowars.com.
[00:26:22.833 --> 00:26:29.037]  We already have the lowest price at Infowars.com on the ProPure gravity filter system.
[00:26:29.838 --> 00:26:37.807]  But when you add in the 10% off when InfoWarriors use the product code WATER at InfoWars.com, nobody can top it.
[00:26:38.207 --> 00:26:39.568]  So again, it's a win-win-win.
[00:26:39.629 --> 00:26:48.298]  Stop drinking the poison water, checkmate the globalists when it comes to your health, and support InfoWars.com and the work we're doing here.
[00:26:48.638 --> 00:26:52.941]  You know, many revolutionaries rob banks and things and kidnap people for funds.
[00:26:53.341 --> 00:26:57.923]  We promote in the free market the products we use that are about preparedness.
[00:26:58.244 --> 00:27:08.450]  That's how we fund this revolution against the New World Order in our move to restore our constitutional republic and a spirit of 1776 worldwide.
[00:27:08.830 --> 00:27:10.371]  Check it out at InfoWars.com.
[00:27:10.851 --> 00:27:19.536]  ProPure, top of the line, number one, most powerful and effective and economical gravity-fed water system in the world.
[00:27:19.836 --> 00:27:23.559]  ProPure, available discounted at InfoWars.com.
[00:27:23.819 --> 00:27:26.060]  Don't forget product code, water, to save 10%.
[00:27:27.221 --> 00:27:29.882]  It's the latest generation, years in development.
[00:27:30.323 --> 00:27:32.484]  ProPure is the name.
[00:28:16.260 --> 00:28:18.141]  Welcome back to InfoWars Nightly News.
[00:28:18.161 --> 00:28:26.284]  We're going to go to a special report now from David Ortiz who looks into a new television reality show called Airport 24-7 that glorifies the TSA.
[00:28:31.181 --> 00:28:33.963]  For InfoWars Nightly News, I'm David Ortiz.
[00:28:34.463 --> 00:28:49.474]  As Alex Jones recently detailed on his show, the Travel Channel has debuted a new show titled Airport 24-7 Miami, which focuses on the TSA and the wonderful job they do in trying to protect the American people.
[00:28:49.914 --> 00:28:57.940]  As you can see on this photo here, which shows the cast, they seem to be harmless individuals who are simply trying to do their job.
[00:28:58.780 --> 00:28:59.881]  Here's my assessment.
[00:29:00.201 --> 00:29:13.653]  While most TSA workers are good individuals who are simply being used as pawns by the federal government, this show will never focus on the large minority of TSA employees who are making the lives of Americans a living hell.
[00:29:14.773 --> 00:29:24.660]  According to the Government Accountability Office, in 2010, an estimated 50,000 individuals were pulled aside by behavior detection officers.
[00:29:25.120 --> 00:29:28.702]  And of that group, a whopping 300 were arrested.
[00:29:29.202 --> 00:29:32.505]  However, of that group, none of them were deemed terrorists.
[00:29:32.965 --> 00:29:34.686]  But don't tell that to this cast member.
[00:29:35.186 --> 00:29:36.007]  It gets challenging.
[00:29:36.067 --> 00:29:39.089]  And security has to obviously trump customer service in the end.
[00:29:39.449 --> 00:29:42.153]  Absolutely, because our number one mission is to keep people safe.
[00:29:42.233 --> 00:29:45.056]  And we know that the terrorists are still out there trying to game the system.
[00:29:45.297 --> 00:29:54.769]  So in fact, if so few terrorists are being caught, why are we spending over $8 billion annually to fund this security theater agency?
[00:29:55.797 --> 00:30:11.207]  In my opinion, a simple bulletproof steel door on an airliner, as well as bomb-sniffing dogs, and simple yet reliable metal detectors would barely inconvenience the public, and give us a far greater return on our investment.
[00:30:12.788 --> 00:30:21.354]  This show also dismisses the fact that nearly every week, the TSA harasses Americans that are clearly not a threat to the public.
[00:30:21.854 --> 00:30:23.235]  Americans such as these.
[00:30:24.471 --> 00:30:31.055]  Michelle Denae tried to do everything right for one of the last trips of her life, but says TSA humiliated her.
[00:30:31.075 --> 00:30:33.277]  I had five total bags of these.
[00:30:33.337 --> 00:30:40.182]  Denae is dying of leukemia and carried a large amount of prescription drugs through Sea-Tac last week for a trip to Hawaii.
[00:30:40.422 --> 00:30:46.606]  She called Alaska Airlines ahead of time for a wheelchair and to ask how her medicine should be separated for the security line.
[00:30:46.886 --> 00:30:49.968]  I did everything they asked me to do, so I didn't think it was going to be an issue.
[00:30:49.988 --> 00:30:52.830]  But during the screening, she says nothing went right.
