[00:00:22.051 --> 00:00:23.332]  It's Tuesday, February 28, 2012.
[00:04:30.773 --> 00:04:31.473]  Later, a brief bounce up to 13%.
[00:04:37.697 --> 00:04:48.181]  They've already found Congress at a 9% approval rating, an all-time low in a CBS News poll back in November 2011, only a couple years ago.
[00:04:48.901 --> 00:04:52.342]  People still not behind Congress, hating them more and more.
[00:04:53.102 --> 00:05:01.971]  86% of people totally against Congress, not approving of what they do, even as Obama gets brief bumps for this and that as he runs for re-election.
[00:05:02.351 --> 00:05:09.718]  The overall picture clearly shows a deterioration of faith in the establishment media and the establishment politics.
[00:05:10.198 --> 00:05:17.004]  The internet has totally leveled that playing field and we'll get more into that in a minute in regards to the Ron Paul revolution.
[00:05:17.765 --> 00:05:23.109]  Meanwhile, a judge sides with Monsanto and ridicules small farmers' right to grow.
[00:05:23.469 --> 00:05:26.371]  That's according to the OSGATA blog.
[00:05:26.731 --> 00:05:38.679]  They've written on February 24th, Judge Naomi Buchwald handed down her ruling on a motion to dismiss the case of Organic Seed Growers and Trade Assistant et al.
[00:05:39.179 --> 00:05:40.040]  We're good to go.
[00:06:09.199 --> 00:06:12.600]  And they cite that, oh, it's only been a few cases that actually made it to court.
[00:06:12.960 --> 00:06:20.782]  There's been hundreds of farmers who've been threatened and, you know, they've settled and been intimidated and gone after this.
[00:06:20.822 --> 00:06:32.045]  We had people come up in Dallas at the event where Alex spoke at the Lakewood Theater, just randomly telling us about how his father had been pursued by Monsanto, intimidated, and forced into a payout.
[00:06:32.085 --> 00:06:33.225]  It's happening everywhere.
[00:06:33.525 --> 00:06:37.826]  And then these judges act like it's not happening, that there's no evidence of harm done, supposedly.
[00:06:38.326 --> 00:06:41.648]  No, it's an aggressive takeover of agriculture worldwide.
[00:06:41.928 --> 00:06:50.413]  They're shutting down all the farmers in India and Africa and other parts of the developing world, and they're really challenging it here in North America and Europe as well.
[00:06:50.974 --> 00:06:59.939]  We've covered that at length, but here you have another stepping stone to Monsanto's total takeover and a total slap in the face to the organic farmers.
[00:07:00.379 --> 00:07:10.345]  Now there's a good quote here from Maine organic seed farmer Jim Gerritsen, who's the president and the lead plaintiff of OSCADA.
[00:07:11.046 --> 00:07:20.552]  We reject as naive and undefendable the judge's assertion that Monsanto's vague public relations commitment should be a source of comfort to plaintiffs.
[00:07:20.872 --> 00:07:24.234]  The truth is we are under threat and we do not believe in Monsanto.
[00:07:24.594 --> 00:07:29.116]  The truth is that the American farmers and the American people do not believe Monsanto.
[00:07:29.496 --> 00:07:35.138]  Family farmers deserve our day in court and this flawed ruling will not deter us from continuing to seek justice.
[00:07:35.478 --> 00:07:41.840]  The problem is Monsanto has totally infiltrated the government, taken over the FDA and at various times the USDA.
[00:07:42.240 --> 00:07:44.681]  Right now Tom Vilsack is totally in their pocket.
[00:07:45.041 --> 00:07:45.601]  Right now...
[00:07:47.282 --> 00:07:49.345]  Other people in the FDA are as well.
[00:07:49.385 --> 00:07:56.713]  Michael Taylor, a very, very notable revolving door client for Monsanto, a former lawyer for them, later a VP.
[00:07:57.013 --> 00:08:06.965]  You've also got the judiciary bought out, not on this chart, showing people like Hillary Clinton, Michael Taylor, and others crossover from government to Monsanto.
[00:08:08.186 --> 00:08:13.030]  Bush people, Clinton people, Obama people, really doesn't matter all behind Monsanto.
[00:08:13.050 --> 00:08:29.183]  You've also got Supreme Court Justice Clarence Thomas, a former Monsanto lawyer, inside the firm, now in the Supreme Court, and he actually presided over a lawsuit for Monsanto, which was Monsanto vs. Geerten Seed Farm, number 09475, in the Supreme Court.
[00:08:31.525 --> 00:08:34.607]  Another conflict of interest on the Supreme Court was Stephen Breyer.
[00:08:34.907 --> 00:08:36.328]  He actually recused himself.
[00:08:36.628 --> 00:08:38.969]  Clarence Thomas refused to recuse himself.
[00:08:39.349 --> 00:08:43.572]  Stephen Breyer's brother is also a federal judge, Charles Breyer.
[00:08:43.632 --> 00:08:50.336]  He had already heard Monsanto cases, and yet, when the Monsanto case came to the Supreme Court, he was almost going to hear it.
[00:08:50.436 --> 00:08:52.317]  I mean, good thing he recused himself.
[00:08:52.357 --> 00:08:53.157]  That is notable.
[00:08:53.397 --> 00:08:56.179]  But why didn't Clarence Thomas, who worked directly for Monsanto?
[00:08:56.539 --> 00:09:03.384]  The truth is they've got great influence in all the branches of government and it's really a big behemoth beast that we've got to fight against.
[00:09:04.245 --> 00:09:07.227]  In other news, it's been revealed that the U.S.
[00:09:07.287 --> 00:09:08.828]  plans to charge Assange.
[00:09:09.129 --> 00:09:12.551]  That's according to new emails leaked from Stratfor.
[00:09:12.992 --> 00:09:23.280]  An internet email to Stratfor analysts on January 26 of last year, the president, the vice president rather of intelligence, Fred Burton, responded to a media report concerning U.S.
[00:09:23.320 --> 00:09:26.202]  investigations targeting Wikileaks with the comment.
[00:09:26.502 --> 00:09:30.605]  We have a sealed indictment on Assange and lots of other comments as well.
[00:09:31.286 --> 00:09:50.381]  This comes as WikiLeaks decided to release millions of emails, more than 5 million, from the Texas headquartered, the Austin-based, in fact, Stratfor Global Intelligence Company, which airs as a private intelligence company but actually provides confidential intelligence reports for
[00:09:51.081 --> 00:09:53.862]  Various parts of government, including Homeland Security, the U.S.
[00:09:53.902 --> 00:09:55.163]  Marines, and the U.S.
[00:09:55.203 --> 00:10:04.668]  Defense Intelligence Agency, as well as a number of contractors and big firms, including Dow Chemical, Lockheed Martin, Northrop Grumman, and Raytheon.
[00:10:05.368 --> 00:10:09.950]  Among other cases, they cite the example of how they said you have to take control of them.
[00:10:10.250 --> 00:10:17.874]  Control means financial, sexual, or psychological control, where they try to control an Israeli intelligence informant
[00:10:18.514 --> 00:10:21.835]  Who had information on the medical condition of Hugo Chavez.
[00:10:22.635 --> 00:10:33.378]  And just by the way, since we're talking about Monsanto, I want to point out that people like Lockheed Martin, people like McDonald's, the fast food corporation, are all on the Board of Directors for Monsanto.
[00:10:33.638 --> 00:10:41.360]  And you've got all those former Secretaries of Defense from Rumsfeld to the others, that Italian guy from the 80s and the Reagan administration.
[00:10:41.821 --> 00:10:46.782]  And so there is the corporate governance of Monsanto, their Board of Directors.
[00:10:47.202 --> 00:10:47.302]  Yes.
[00:11:17.022 --> 00:11:20.804]  And moving on, we have the secret media war of 2012.
[00:11:20.984 --> 00:11:26.908]  And this is about the Ron Paul campaign, but it's not just about getting Ron Paul elected to office.
[00:11:27.288 --> 00:11:37.655]  It's about taking down the whole veil of the left-right paradigm, the whole false media channel thing where Fox News is supposedly in opposition to MSNBC and ABC.
[00:11:38.636 --> 00:11:52.489]  It's about the whole corporate sponsorship by the world government players, by the billionaire elitists who always want to tell us how to live and what to do, how they support the media corporations, and really a great article at the Daily Bell by Ron Holland.
[00:11:53.129 --> 00:11:56.793]  He writes in part, it appears the mainstream media elites in the U.S.
[00:11:57.173 --> 00:12:02.839]  may also worry about their future ability to control public opinion and elections in America.
[00:12:03.996 --> 00:12:20.385]  In the last week, we have seen MSNBC on the left purge Pat Buchanan from the network, and Fox News on the right eliminate Judge Andrew Napolitano's Freedom Watch after both expressed opinions and views that threaten the political institution's control and goals of the power elite.
[00:12:20.705 --> 00:12:29.330]  The first question asked must be, why now rather than later, as after all, both men have expressed their anti-establishment views for years without repression.
[00:12:29.870 --> 00:12:40.098]  I believe the answer is the growing power of the alternative media and the successful educational outfit of the Ron Paul campaign, both of which use the internet to get their freedom message out.
[00:12:40.479 --> 00:12:44.181]  The establishment media primarily exists to defend the establishment.
[00:12:44.482 --> 00:12:49.686]  The growing readership of alternative news and opinion sites are making their job increasingly difficult.
[00:12:50.126 --> 00:12:58.570]  When you add in the growing numbers of Paul campaign supporters who appear now to be effectively immune to the power elite propaganda, the media elites have a real problem.
[00:12:58.890 --> 00:12:59.411]  And they do.
[00:12:59.751 --> 00:13:08.975]  In fact, he starts out the article with an accidentally microphone comment from a reporter at a Pentagon briefing.
[00:13:09.015 --> 00:13:10.256]  He said, see this room?
[00:13:10.676 --> 00:13:13.878]  Two-thirds of us will be laid off when Ron Paul is president.
[00:13:14.278 --> 00:13:15.098]  We're good to go.
[00:13:35.486 --> 00:13:36.046]  We're good to go.
[00:14:04.602 --> 00:14:07.764]  That is way bigger than any one election, I guarantee you.
[00:14:07.784 --> 00:14:16.869]  That's why you've seen the Bilderberg Group concerned about him, even back in the 2008 elections when it was not clear that he even had a chance in hell of getting elected.
[00:14:17.650 --> 00:14:21.292]  And in fact, he goes on here, I just want to read more because this is such a great article.
[00:14:21.572 --> 00:14:24.334]  The 2012 election really is different, writes
[00:14:25.094 --> 00:14:25.775]  Ron Holland.
[00:14:26.115 --> 00:14:33.459]  He says this election will not be different because of the defeat of Barack Obama or the election of Romney, Santorum or Gingrich.
[00:14:33.800 --> 00:14:35.661]  That will not change the direction of the nation.
[00:14:35.821 --> 00:14:37.302]  The banks will still get bailed out.
[00:14:37.602 --> 00:14:41.164]  The federal budget will not be balanced and our national debt will continue to grow.
[00:14:41.585 --> 00:14:49.070]  The neocons will still determine foreign policy and the Federal Reserve will continue to create money out of nothing for a few special interests.
[00:14:49.930 --> 00:15:03.956]  I believe, however, the 2012 presidential election will be the final death rattle for the American political, financial, and media establishment and their ability to control the voting through the news and opinions used to create public opinion.
[00:15:04.236 --> 00:15:06.317]  And yes, they do create public opinion.
[00:15:06.597 --> 00:15:16.822]  They've been doing it since the days of Walter Lippman, Edward Bernays, Ivy Lee, and all those other propagandists who learned to brand the hated Rockefellers and make them suddenly philanthropists
[00:15:17.102 --> 00:15:17.922]  No, I don't think so.
[00:15:42.854 --> 00:15:48.318]  And we need to have strength in that fact as we move forward, whatever happens with the Ron Paul campaign.
[00:15:48.778 --> 00:15:52.360]  Moving on, ethicists argue killing newborn babies should be allowed.
[00:15:53.121 --> 00:15:56.163]  I mean, just absolutely devastatingly horrible.
[00:15:56.563 --> 00:15:58.124]  I don't know how they put the stuff on paper.
[00:15:58.724 --> 00:16:07.947]  And speaking of Hitler, it just blows away the things he did, really, that they would put it on paper that this is okay to carry out infanticide up to the years two and three.
[00:16:08.487 --> 00:16:15.009]  And this is a Paul Joseph Watson report about the shocking reminder that eugenicists believe still underpin the medical establishment.
[00:16:15.689 --> 00:16:22.134]  And he's got how so-called bioethicists, it's always just a cover name to make them sound friendly when they're horrible.
[00:16:22.674 --> 00:16:33.042]  Alberto Giubilini of Monash University in Melbourne and Francesca Minerva at the Center for Applied Philosophy and Public Ethics at the University of Melbourne.
[00:16:33.442 --> 00:16:36.344]  ...say it's okay to kill a baby even after it's born.
[00:16:36.865 --> 00:16:42.549]  Arguing that both fetuses and newborns do not have the same moral status as actual persons.
[00:16:43.010 --> 00:16:50.796]  Oh, first it's a fetus doesn't have the right to life and abortion's okay, they sold us on that ever since Roe vs. Wade in the 70s.
[00:16:51.176 --> 00:16:58.162]  Now it's somehow newborns, they don't have personhood once they're already born, breathing out in the air apart from the mother's womb.
[00:16:58.742 --> 00:16:59.903]  How could they put this on paper?
[00:16:59.963 --> 00:17:00.303]  I don't know.
[00:17:01.084 --> 00:17:01.725]  I really don't know.
[00:17:02.185 --> 00:17:12.213]  And they say this doesn't have to do with cases where the fetus's health is an issue or where the newborn's health is an issue, which is already a tainted debate in the Hobson's Choice.
[00:17:12.574 --> 00:17:17.658]  But they say it's the fact that both are potential persons that's morally irrelevant.
[00:17:18.238 --> 00:17:18.599]  In fact,
[00:17:19.159 --> 00:17:23.302]  Adoption may not be reasonable for some parents, and they should be allowed to kill newborns.
[00:17:23.422 --> 00:17:24.983]  I can't believe what's in this report.
[00:17:25.523 --> 00:17:27.324]  I don't even know if I could be articulate on it.
[00:17:27.424 --> 00:17:28.405]  It's just disgusting.
[00:17:28.745 --> 00:17:36.169]  And they go on to discuss how there's already cases on paper where you don't have a right to life, and so now that needs to extend to newborns.
[00:17:36.530 --> 00:17:45.255]  And they bring up embryo stem cells, they bring up fetuses where abortion is permitted, and where criminals, where capital punishment is legal.
[00:17:45.675 --> 00:17:52.618]  Now, I think there's problems with capital punishment, mainly because they put so many innocent people in prison because the system is so corrupt.
[00:17:53.198 --> 00:17:55.959]  Of course, murderers do deserve punishment.
[00:17:57.000 --> 00:17:59.741]  You know, the Old Testament talks about eye for an eye.
[00:18:00.121 --> 00:18:01.222]  Jesus refutes that.
[00:18:01.522 --> 00:18:02.882]  That's a whole moral code thing.
[00:18:02.922 --> 00:18:10.806]  People can debate on a larger issue, but you can't say newborns are equal to criminals who have been convicted of a crime and are put to death.
[00:18:10.866 --> 00:18:12.326]  I mean, that's a totally different issue.
[00:18:12.866 --> 00:18:13.607]  You can argue
[00:18:14.747 --> 00:18:21.709]  The embryonic stem cells, you can argue the abortion thing, that has nothing to do with newborns, and it's just more hatred for the family.
[00:18:22.009 --> 00:18:23.349]  I'm not going to continue to rant on that.
[00:18:23.389 --> 00:18:24.749]  You can form your own opinion.
[00:18:25.150 --> 00:18:32.091]  I'm not here trying to give it to you, but I just get so upset when I see the same agenda being pushed for more than a hundred years.
[00:18:32.551 --> 00:18:38.973]  Anyway, we've got Gary Franchi coming up after this break, but we turn now to the Daily Quote from Dwight D. Eisenhower.
[00:18:40.029 --> 00:18:46.972]  I think that people want peace so much that one day government had better get out of their way and let them have it.
[00:18:47.572 --> 00:18:49.113]  One day they better let them have peace.
[00:18:49.513 --> 00:18:56.236]  Of course, Eisenhower has become more famous for his quotes, warning against the military industrial complex.
[00:18:56.796 --> 00:19:07.546]  Also in that speech, warning against the scientific elite who are going to take over this country, and against the technocratic scientific dictatorship that had already emerged and threatened his own presidency.
[00:19:07.886 --> 00:19:15.253]  More famous for that stuff than for his heroic general status in World War II and for his presidency itself.
[00:19:15.633 --> 00:19:16.034]  And why?
[00:19:16.514 --> 00:19:19.075]  Why did he warn about the military-industrial complex?
[00:19:19.135 --> 00:19:22.616]  Why did he warn that the governments had better let people have the peace they seek?
[00:19:22.636 --> 00:19:34.281]  Because he knew the Cold War was going to be used for decades to take powers away, to take control over the people and give more power to the centralized government, to that shadow government.
[00:19:34.681 --> 00:19:36.842]  And if you read Fletcher Prouty's The Secret Team,
[00:19:37.322 --> 00:19:45.328]  I find it very interesting the account of how, according to him, Eisenhower had a very real peace prospect talk with Khrushchev.
[00:19:45.628 --> 00:19:49.111]  They really wanted to nail down something that would actually be tangible.
[00:19:49.771 --> 00:19:57.317]  I believe that was just right before he stepped down, about a year before, and suddenly that U-2 plane fell out of the sky and the peace talks were off.
[00:19:57.917 --> 00:20:21.123]  And Fletcher Prouty at least points the finger right at Alan Dulles, right in the middle of all those controversies and all those secret plots, connected with the start of the CIA, with his Skull and Bones friends that he gave legal representation to, connected right with his Rockefeller friends, I think he's even married into the family, and right with Eisenhower's Secretary of State, his brother, the other Dulles.
[00:20:21.923 --> 00:20:34.501]  And so that's very interesting that Eisenhower warned against that military-industrial complex, that they wouldn't let us have peace because of that U2 spy plate thing that perhaps he couldn't speak out about directly at the time, but understood.
[00:20:34.521 --> 00:20:37.626]  Then we saw it happen only a few years later with Kennedy.
[00:20:38.513 --> 00:20:38.973]  Think about it.
[00:20:39.474 --> 00:20:40.134]  Just think about it.
[00:20:40.154 --> 00:20:48.440]  It was Kennedy who said, if you don't allow peaceful revolution when it's inevitable, that you're going to get the other kind of revolution.
[00:20:48.740 --> 00:20:49.901]  The kind we don't want to see.
[00:20:50.421 --> 00:20:52.843]  We're here with an internet information-based war.
[00:20:54.224 --> 00:20:55.725]  Hopefully we can bring things in that way.
[00:20:55.745 --> 00:21:02.687]  There's been a lot of hopeful progress just in the power of people to awaken to this false system and we've been heard.
[00:21:03.008 --> 00:21:03.968]  We'll see what happens from here.
[00:21:04.168 --> 00:21:06.449]  We'll be back after this on the InfoWars Nightly News.
[00:21:06.709 --> 00:21:17.593]  Don't forget to consider subscribing to PrisonPlanet.tv, helping us reach even more people with this important message and helping get the word out in general about the topics we cover here.
[00:21:17.673 --> 00:21:19.334]  Thanks for watching and we'll be back in a moment.
[00:21:50.495 --> 00:21:54.376]  And it's time to get out of the comfort zone, because these people aren't playing games.
[00:21:54.696 --> 00:22:07.841]  We're going to organize.
[00:22:08.021 --> 00:22:09.422]  Humanity's going to come together.
[00:22:10.962 --> 00:22:14.383]  We are swinging muskets here, toe-to-toe with the globalists.
[00:22:14.403 --> 00:22:16.044]  They're bloodied, we're bloodied.
[00:22:16.444 --> 00:22:18.905]  It is absolute, total war.
[00:22:32.142 --> 00:22:34.364]  Yeah, I'm signing these evil 1776 flags.
[00:22:34.424 --> 00:22:44.352]  Doesn't get any more out of control than that, ladies and gentlemen.
[00:22:45.393 --> 00:22:47.855]  It's pretty un-American what we're doing here at InfoWars.com.
[00:22:48.035 --> 00:22:56.322]  I mean, not only are we promoting liberty, but we're selling 1776 flags.
[00:22:56.342 --> 00:23:00.126]  Now that is Al-Qaeda.
[00:23:00.754 --> 00:23:01.315]  I think.
[00:23:18.346 --> 00:23:22.209]  And we are back from break here on this InfoWars Nightly News broadcast.
[00:23:22.269 --> 00:23:38.000]  Joining us now to analyze the Ron Paul campaign and the tremendous grassroots efforts that have happened through the internet, through people just turning away from that mainstream media system and saying, hell no, we know what's really going on, is Gary Franchi.
[00:23:38.560 --> 00:23:40.522]  He also leads the Revolution Pack.
[00:23:40.822 --> 00:23:41.822]  Thanks for joining us, Gary.
[00:23:42.403 --> 00:23:43.123]  Thanks for having me on, Aaron.
[00:23:43.143 --> 00:23:43.784]  It's a pleasure to be here.
[00:23:44.810 --> 00:23:45.531]  Thanks for joining us.
[00:23:45.791 --> 00:23:50.316]  And so you were telling me behind the scenes you guys have developed a new exit poll strategy.
[00:23:50.376 --> 00:23:58.225]  Of course, today is the Michigan primary, the state where Mitt Romney's daddy was governor, and also the Arizona primary.
[00:23:58.626 --> 00:24:00.108]  And there's notable things happening there.
[00:24:00.148 --> 00:24:04.573]  But why don't you tell us overall what's going on with this exit polling thing you've got going on.
[00:24:05.046 --> 00:24:16.391]  Well, basically, Aaron, what most people don't realize is ever since the whole Bush-Gore debacle, you know, the whole Hanging Chad situation, they sort of devised some solution, right?
[00:24:16.411 --> 00:24:24.315]  You know, problem-reaction solution, so that they would have one company controlling all the exit polling for all states.
[00:24:24.595 --> 00:24:27.456]  And that company is called Edison Research.
[00:24:28.957 --> 00:24:40.121]  Ever since that took place, Edison Research has strategically placed exit pollers at all the different polling locations and have been providing those results to Fox, MSNBC, CNN, Associated Press, and the like.
[00:24:40.622 --> 00:24:50.765]  So if there's a problem, then every single network is going to have the same exit polling results because they're relying on one company.
[00:24:51.146 --> 00:24:54.467]  So what we've done is we've basically taken a mobile application
[00:24:55.027 --> 00:24:56.788]  And it's called Poll Watcher 1.5.
[00:24:57.908 --> 00:25:03.430]  And this poll watching application, I can show it to you right here once I get it fired up.
[00:25:03.910 --> 00:25:17.274]  What it does is it allows for our people, we have people right now in Arizona covering the whole state of Arizona, covering the whole state of Michigan, and they're asking people
[00:25:18.547 --> 00:25:19.928]  Uh, who are you voting for?
[00:25:20.569 --> 00:25:25.653]  And what is the, uh, it's just a simple one question, one question answer.
[00:25:26.273 --> 00:25:34.840]  So, it looks like, uh, okay, we're verifying, and, oh, looks like I still have a test login, so mine's not actually working.
[00:25:35.160 --> 00:25:41.766]  But the people on the ground, it's a very simple format, who you vote for, they click Ron Paul or Santorum or Romney or whoever.
[00:25:42.577 --> 00:25:42.957]  I think so.
[00:25:55.211 --> 00:25:56.532]  We've got Newt Gingrich.
[00:25:56.592 --> 00:26:00.834]  Looks like he's coming in third right now according to our exit polling.
[00:26:01.314 --> 00:26:03.175]  And Ron Paul is coming in fourth.
[00:26:04.296 --> 00:26:05.717]  And that's for Arizona.
[00:26:05.897 --> 00:26:09.319]  Romney is coming in first and Santorum at second place.
[00:26:09.939 --> 00:26:12.680]  These are early exit polling results that we're seeing.
[00:26:13.301 --> 00:26:18.904]  And as far as Michigan is concerned, we're seeing Newt Gingrich is far behind in fourth place.
[00:26:19.944 --> 00:26:24.947]  And Ron Paul and Santorum are pretty close in a race for second place.
[00:26:25.447 --> 00:26:31.090]  So Romney's all the way in front with about, we're looking at 96 points for him.
[00:26:31.270 --> 00:26:32.691]  Now do you have actual numbers?
[00:26:32.771 --> 00:26:48.559]  Because they've got spokespersons for the Ron Paul campaign and they said the key in Michigan is that it gets over the 15% threshold because those, even though it's a primary rather than a caucus, at 15% you do have the ability to capture delegates.
[00:26:49.229 --> 00:26:49.929]  That is true.
[00:26:50.129 --> 00:26:52.810]  The 15% mark is where the delegate count comes in.
[00:26:52.830 --> 00:26:54.311]  That's where they start to award them to you.
[00:26:54.771 --> 00:26:57.592]  I do not have those specific percentages as of yet.
[00:26:58.292 --> 00:27:02.314]  As the day goes on, as the reports start to come in, we'll have some final tally numbers.
[00:27:03.114 --> 00:27:14.198]  But remember, we're doing an independent exit polling strategy and our numbers, we're going to just balance them against the official tallies and see if they jive because we are using scientific statistics
[00:27:15.219 --> 00:27:15.840]  We're good to go.
[00:27:37.947 --> 00:27:49.393]  Well, it'll be interesting to watch again in the state where Mitt Romney's father was governor, that whole political dynasty family that's been doing politics since the 1600s, or at least the 1700s, I forget which century.
[00:27:50.033 --> 00:27:54.456]  At any rate, he's slated to lose that as they continue to prop up Santorum.
[00:27:55.056 --> 00:28:02.680]  What do you think of people like Michael Moore on the left saying, yeah, let's support Santorum just to make a joke of this whole thing and prop up Obama even though
[00:28:03.300 --> 00:28:10.387]  Supposedly Michael Moore's against the wars and here you have the perfect anti-war candidate, but not a word from so many people on the left.
[00:28:10.427 --> 00:28:21.498]  Now I know there's a lot of bleed-over support from moderate Democrats and loosely aligned people who are left-leaning supporting Ron Paul, but you don't see it within the trenches of the establishment left-leaners.
[00:28:22.073 --> 00:28:23.454]  Well, I think it's just a distraction.
[00:28:23.474 --> 00:28:27.398]  They want to make sure that no one's looking at Ron Paul.
[00:28:27.638 --> 00:28:29.339]  They want to make sure no one's looking at his message.
[00:28:30.040 --> 00:28:38.587]  There's been some photos floating around the web, I'm sure you've probably seen them or even reported on them, of the Romney Stadium, the whole mock-up they did there.
[00:28:39.047 --> 00:28:41.850]  And there was maybe like, you know, three or four hundred people there.
[00:28:42.648 --> 00:28:43.688]  They couldn't even fill the stadium.
[00:28:43.708 --> 00:28:46.489]  They were on the center of the football field.
[00:28:46.989 --> 00:28:51.911]  And then you look at the picture of Paul filling up an entire stadium at a university.
[00:28:53.351 --> 00:28:58.533]  The compare and contrast to who the people are paying attention to and what the media has to do.
[00:28:58.553 --> 00:29:01.574]  They've got to do tight shots for Romney and make it look like the room is full.
[00:29:01.974 --> 00:29:10.937]  So through the media manipulation and people like Michael Moore doing a simple bait-and-switch focus on Santorum and make a joke of it, that's how they're distracting the American people.
[00:29:11.977 --> 00:29:14.078]  Yeah, but you brought up the real important point.
[00:29:14.098 --> 00:29:15.818]  We just covered this in the earlier segment.
[00:29:15.858 --> 00:29:18.899]  I know you weren't watching, but it'll be later on the InfoWars Nightly News.
[00:29:19.220 --> 00:29:20.380]  The secret media war of 2012.
