[00:00:03.800 --> 00:00:03.840]  Oh,
[00:03:37.349 --> 00:03:42.372]  Yeah, and then right here, the career opportunities are funding Al-Qaeda to blow up schools full of kids.
[00:03:43.286 --> 00:03:53.291]  So that you can then take over and put jihadis in and murder women en masse and kill all the Jews and Christians there, while getting Americans to give up their rights, fearing the Muslim extremists you run.
[00:03:53.611 --> 00:03:57.954]  So there's your career at the CIA if you want to ship narcotics and little kids out to slave camps.
[00:03:58.694 --> 00:03:59.675]  All right there for you.
[00:04:00.135 --> 00:04:01.816]  Again, career opportunities right there.
[00:04:02.236 --> 00:04:02.956]  For everybody.
[00:04:03.576 --> 00:04:16.319]  In jihadi forces, German intelligence estimates that around 90 terror attacks that can be attributed to organizations that are close to Al-Qaeda or jihadist groups were carried out in Syria between the end of December and the beginning of July.
[00:04:16.679 --> 00:04:19.860]  Yeah, and our news would say Assad did them.
[00:04:21.601 --> 00:04:23.301]  I mean, this is really sweet.
[00:04:23.601 --> 00:04:26.742]  I'm supposed to have the TSA grope my wife, my daughters, my son, me.
[00:04:28.362 --> 00:04:31.465]  Do a proctology exam because Al-Qaeda is everywhere.
[00:04:31.825 --> 00:04:37.910]  They set up random checkpoints on highways now to, let's just stop a major highway, see if Al-Qaeda is rolling through here.
[00:04:38.150 --> 00:04:41.653]  But then Al-Qaeda openly works and was created by the New World Order.
[00:04:41.833 --> 00:04:43.735]  You know, the bankers that are totally criminal.
[00:04:44.295 --> 00:04:46.037]  So there you have it.
[00:04:46.517 --> 00:04:51.861]  And then we have Paul Watson's article that I will direct you to, where now
[00:04:52.942 --> 00:04:53.503]  This evening.
[00:04:53.543 --> 00:04:55.004]  This just broke a little while ago.
[00:04:55.744 --> 00:05:04.090]  Now they're spinning it that, well, Al-Qaeda's there, and Al-Qaeda's with Assad, so we've got to invade.
[00:05:04.250 --> 00:05:04.750]  And you know what?
[00:05:04.770 --> 00:05:08.092]  The American people are like, yeah, nuke the entire place if Al-Qaeda's there.
[00:05:08.432 --> 00:05:11.234]  But then later they say, yeah, Al-Qaeda worked for us, but they might be a problem.
[00:05:11.795 --> 00:05:12.615]  We better take over.
[00:05:12.675 --> 00:05:13.576]  Al-Qaeda will be in charge.
[00:05:14.867 --> 00:05:28.775]  So, you land Al-Qaeda in Liberia, you land them, you bring them into Syria, out of Turkey and out of Jordan and other areas, and then the public's so dumb, you say, we've got to bomb it and invade it, but the bombs aren't war, they're peace bombs.
[00:05:29.236 --> 00:05:33.658]  We've got to come in right now, because Al-Qaeda is there.
[00:05:35.640 --> 00:05:36.040]  And then you're
[00:05:36.764 --> 00:05:41.807]  Trying to explain to the general public, and they go, hey, if you know how to tie your shoelaces, it's a conspiracy theory.
[00:05:42.087 --> 00:05:47.451]  If you know how to breathe, if you believe up is up and down is down, that's a conspiracy theory.
[00:05:47.491 --> 00:05:52.154]  Because having an IQ above room temperature is now a terrorist act.
[00:05:52.614 --> 00:05:54.916]  What did Eric Blair, aka George Orwell, say?
[00:05:55.256 --> 00:05:59.739]  He said, in a world of universal deceit, telling the truth is a revolutionary act.
[00:06:00.399 --> 00:06:01.600]  So, there you go.
[00:06:02.040 --> 00:06:10.725]  Give up all your rights because Al Qaeda is absolutely everywhere, but on every front, including 9-11, all we know is the hijackers were U.S.
[00:06:10.765 --> 00:06:12.326]  government agents trained and protected.
[00:06:12.586 --> 00:06:13.527]  That was even in the news.
[00:06:13.787 --> 00:06:15.408]  Everybody's like, just ignore that.
[00:06:15.448 --> 00:06:16.269]  Give your rights up.
[00:06:17.108 --> 00:06:18.169]  It's more fun anyways.
[00:06:18.830 --> 00:06:23.053]  So, again, I am now a good Crimestop 1984 citizen.
[00:06:23.494 --> 00:06:25.075]  Al Qaeda is bad and totally evil.
[00:06:25.376 --> 00:06:26.437]  I should give up all my rights.
[00:06:26.477 --> 00:06:28.659]  They are behind every hedgerow.
[00:06:28.699 --> 00:06:29.940]  They are hiding under this table.
[00:06:30.220 --> 00:06:35.385]  Thank God Homeland Security is launching a total takeover of society and butchering a Bill of Rights and Constitution.
[00:06:36.599 --> 00:06:38.940]  All hail Janet Napolitano.
[00:06:39.020 --> 00:06:40.601]  Drones, total control, end of freedom.
[00:06:40.941 --> 00:06:42.142]  Please NSA, spy on me.
[00:06:42.202 --> 00:06:43.562]  Oh my God, Al Qaeda is so scary.
[00:06:44.202 --> 00:06:45.723]  So that's over here on one side of my brain.
[00:06:45.983 --> 00:06:52.106]  But on the other side, Al Qaeda are freedom fighters with incredible organizational skill who fight real tyranny and bring freedom to women.
[00:06:52.626 --> 00:06:54.467]  And they did a great job in Libya and Syria.
[00:06:54.807 --> 00:06:56.148]  And well, hail Al Qaeda!
[00:06:59.105 --> 00:07:04.748]  And all the major Al-Qaeda people publicly work at the Pentagon, but then they stage their killings once that comes out, but ignore all that.
[00:07:04.968 --> 00:07:07.209]  And the underwear bomber was gotten on the plane by the U.S.
[00:07:07.229 --> 00:07:07.510]  government.
[00:07:07.530 --> 00:07:08.910]  We broke down a month on that before it came out.
[00:07:09.151 --> 00:07:10.071]  But I guess that's reasonable.
[00:07:11.312 --> 00:07:14.073]  I mean, I'm reading these articles now, and it's like, man, Al-Qaeda looks like they got the job done.
[00:07:14.333 --> 00:07:15.514]  Yeah, they're kind of cool, man.
[00:07:15.534 --> 00:07:17.655]  And I'm like, no they're not.
[00:07:17.675 --> 00:07:19.036]  They're like, oh yeah, they're just not trendy.
[00:07:19.336 --> 00:07:20.957]  What, are you racist against Al-Qaeda?
[00:07:23.129 --> 00:07:24.731]  Let me look inside you.
[00:07:25.311 --> 00:07:29.476]  Let me look inside, right inside, right underneath your table.
[00:07:30.097 --> 00:07:31.799]  Let me look inside your table.
[00:07:33.180 --> 00:07:42.871]  Excuse me, we're the Toilet Police, Toilet Safety Police, we have to... They can only get away with this because the public is under a mind control trance.
[00:07:44.605 --> 00:07:49.247]  And those of us that are sane and still know what's going on, the zombies think we're insane.
[00:07:49.587 --> 00:07:51.768]  You know my analogy I've used probably 500 times.
[00:07:51.788 --> 00:07:53.789]  Let me use it for the 500 first.
[00:07:54.270 --> 00:08:01.853]  If you were to beam back to the height of the Mayan culture under Aztec rule, that's just a tribe, a group of Mayan culture that dominated.
[00:08:01.873 --> 00:08:04.615]  It's not like Texans are Texans but we're still Americans.
[00:08:04.875 --> 00:08:05.895]  The Aztecs have taken over.
[00:08:06.155 --> 00:08:11.118]  And if you were to teleport back and go, you don't need to sacrifice 10 women and children at sunrise every day.
[00:08:12.113 --> 00:08:14.514]  You're killing your own population, you can't even operate.
[00:08:15.154 --> 00:08:16.415]  They would look at you like you're crazy.
[00:08:16.475 --> 00:08:18.636]  So I admit, I'm crazy.
[00:08:18.976 --> 00:08:22.918]  I would go to the Nazis, as they were running people down in the pits, to shoot them in the back of the head.
[00:08:23.558 --> 00:08:26.340]  And I would say, you know, I think it's pretty crazy just to kill all these people.
[00:08:26.880 --> 00:08:28.160]  But again, I'm the bad guy.
[00:08:28.501 --> 00:08:30.722]  I would tell Stalin, don't kill 10 million Ukrainians.
[00:08:31.542 --> 00:08:43.528]  But again though, I'm the extremist because in this psycho world, whoever is in charge wearing a uniform, if they want to roast babies, chop them up, flay them, it's good!
[00:08:44.849 --> 00:08:48.451]  The only normalcy is worshipping the biggest psychopath in the room.
[00:08:48.891 --> 00:08:51.833]  Being a total slave to conformity and doing what you're told.
[00:08:53.157 --> 00:08:54.458]  And so I will admit it here.
[00:08:54.678 --> 00:08:55.579]  I am insane.
[00:08:56.039 --> 00:08:57.000]  I don't like tyranny.
[00:08:57.060 --> 00:08:57.980]  I don't like slavery.
[00:08:58.040 --> 00:08:58.921]  I don't like bullies.
[00:08:59.321 --> 00:09:01.403]  I don't like out-of-control control freaks.
[00:09:01.743 --> 00:09:02.683]  I don't like tyranny.
[00:09:02.944 --> 00:09:03.904]  And so I admit it.
[00:09:05.425 --> 00:09:06.866]  I am filth!
[00:09:08.107 --> 00:09:13.310]  You that love all this disease and death, you are the rulers.
[00:09:14.171 --> 00:09:18.654]  So enjoy the heavenly creation that you've constructed.
[00:09:19.855 --> 00:09:20.575]  I stand in awe.
[00:09:23.260 --> 00:09:24.740]  I've admitted it, I don't support Al-Qaeda.
[00:09:25.181 --> 00:09:26.361]  I'm not a patriotic person.
[00:09:27.521 --> 00:09:30.402]  The sword of the New World Order is Al-Qaeda, I've always said that.
[00:09:30.702 --> 00:09:44.286]  They're the magic key to scare anyone to letting the TSA into their pants, and the NSA into your computer, and the IRS without warrants and due process into your bank account, as the New World Order is exempt from all taxes and rules.
[00:09:44.766 --> 00:09:46.467]  That is the essence of tyranny.
[00:09:47.107 --> 00:09:50.408]  Alright, moving right along to our first official report this evening.
[00:09:51.881 --> 00:09:54.365]  NYPD to launch surveillance software system.
[00:09:54.405 --> 00:10:05.201]  I covered this some yesterday and they say it's face scanning, it's license plate reading and other technology and we're just listening to your cell phones but you know that's classified and who have they hired to help run all this?
[00:10:06.536 --> 00:10:08.577]  Well, the former head of Penn State, Little Bird, told me.
[00:10:09.118 --> 00:10:13.000]  Homeland Security said he's been hired to Homeland Security, but no one can know his job, it's so secret.
[00:10:13.961 --> 00:10:16.303]  You know, people that cover up pedophilia, that's where they go.
[00:10:16.983 --> 00:10:21.326]  And, well, now, my Little Bird told me that it's helping run this pre-crime system.
[00:10:21.766 --> 00:10:25.729]  So, there is some breaking news for you right there.
[00:10:26.509 --> 00:10:33.273]  And we have a couple of clips here where they tell us how great all of this is.
[00:10:33.853 --> 00:10:40.377]  They're also announcing all over the country you can't collect rainwater at your own house, or you're going to be charged taxes when water falls on your lawn.
[00:10:41.417 --> 00:10:43.539]  And the carbon tax is a tax on breathing.
[00:10:43.579 --> 00:10:44.539]  But hey, that's freedom!
[00:10:45.340 --> 00:10:54.365]  Again, insane people like me think that's tyranny, but again, here is the pre-crime system in New York cesspit city.
[00:10:54.405 --> 00:10:54.765]  Here it is.
[00:10:56.004 --> 00:11:05.652]  The NYPD will store video from its own security cameras, most of them are in Manhattan, along with video from privately owned security cameras whose owners have agreed to join the system.
[00:11:06.173 --> 00:11:12.939]  The video, taken in public places only, can be viewed instantly here at the Police Counterterrorism Command Center in Lower Manhattan.
[00:11:14.437 --> 00:11:16.877]  The Counter-Terrorism Command Center.
[00:11:17.158 --> 00:11:31.240]  They had the old one in Building 7, which they moved out the day before, and the State Department and Justice Department in FEMA admitted, as part of an international drill, they did a drill of the buildings being blown up, but... and then it all blew up.
[00:11:31.320 --> 00:11:34.641]  There was Tripod 2, but I guess everything's okay.
[00:11:34.661 --> 00:11:35.401]  Do we have another clip?
[00:11:35.881 --> 00:11:36.221]  Yeah, yeah.
[00:11:36.481 --> 00:11:40.982]  Here's one more of the Anti-Terror Command Center, which is filled with the terrorists.
[00:11:42.011 --> 00:11:42.712]  That is at the top.
[00:11:42.732 --> 00:11:44.976]  I mean, you believe folks involved in 9-11 are running that center.
[00:11:45.917 --> 00:11:51.125]  But the lower-level folks are being taught terrorism is criticizing government or filming a police checkpoint.
[00:11:51.145 --> 00:11:54.090]  They're all just a bunch of, well, low-IQ fluoride heads.
[00:11:54.130 --> 00:11:54.630]  Here we go.
[00:11:55.287 --> 00:12:00.029]  The NYPD getting ready to launch new surveillance technology right here in the city.
[00:12:00.249 --> 00:12:06.591]  It's supposed to keep us safe from crime and terrorism, but there are some concerns that the new program does not go far enough.
[00:12:07.291 --> 00:12:09.832]  FOX 5's Antoine Lewis is in lower Manhattan.
[00:12:09.952 --> 00:12:11.372]  Or does it go too far?
[00:12:11.452 --> 00:12:12.653]  What do you think, Antoine?
[00:12:13.273 --> 00:12:14.273]  Well, that's the debate.
[00:12:14.333 --> 00:12:17.634]  Me, personally, I'm all for the police doing everything to keep us safe.
[00:12:17.675 --> 00:12:18.795]  That's just my opinion.
[00:12:19.676 --> 00:12:30.931]  Yeah, I mean, governments killed 262 million people in the last century, and this government, openly run by eugenicists, is putting fluoride in the water that even Harvard admits is causing massive cancer increases and massive IQ reduction.
[00:12:31.451 --> 00:12:33.955]  But you don't know that because you've been drinking fluoride your whole life.
[00:12:35.259 --> 00:12:36.700]  So kiss your butt goodbye.
[00:12:37.000 --> 00:12:38.080]  You're part of the winning team.
[00:12:38.400 --> 00:12:41.442]  Oh, I like face scanning and license plate reading cameras everywhere.
[00:12:41.462 --> 00:12:44.243]  Of course, a few years ago, we told you the cameras would never be used in Seville.
[00:12:44.403 --> 00:12:45.883]  But right now, they are going to be used in Seville.
[00:12:46.083 --> 00:12:49.545]  And yeah, the drones were going to be used in Seville, but now they admit the drones are going to be used in Seville.
[00:12:49.725 --> 00:12:52.206]  And they were going to be weaponized, but now we admit they're going to be weaponized.
[00:12:52.886 --> 00:12:55.187]  Did I mention Cantor's up several thousand percentage points?
[00:12:56.588 --> 00:12:57.408]  I'm going to take a shot.
[00:12:57.648 --> 00:12:58.428]  Oh, I love the government.
[00:12:58.548 --> 00:12:59.249]  Oh, I love the government.
[00:12:59.789 --> 00:13:03.991]  I mean, it has reached cuckoo level, cuckoo level, cuckoo level.
[00:13:04.091 --> 00:13:04.671]  No, I'm serious.
[00:13:07.501 --> 00:13:09.762]  I'm cuckoo because I don't like Al-Qaeda.
[00:13:10.542 --> 00:13:11.723]  I've got something to admit.
[00:13:13.203 --> 00:13:17.185]  I knew Al-Qaeda was run by the globalists, the bankers, so I talked bad about them.
[00:13:17.925 --> 00:13:21.086]  And then people said I was unpatriotic because I wasn't scared of them.
[00:13:21.986 --> 00:13:27.369]  Now that Al-Qaeda's big heroes, well, I had to go back in the alley and crawl under a dumpster and just lay there.
[00:13:27.389 --> 00:13:29.549]  I wasn't trendy.
[00:13:29.589 --> 00:13:30.530]  I didn't like Al-Qaeda.
[00:13:31.970 --> 00:13:33.571]  I'm sorry to all of you.
[00:13:35.555 --> 00:13:37.157]  The NYPD is going to keep us safe, though.
[00:13:37.177 --> 00:13:40.981]  Yeah, a bunch of known narcotics trafficking gangsters forever.
[00:13:41.242 --> 00:13:44.686]  I mean, NYPD helps kidnap little kids and supply them to the Saudis.
[00:13:45.126 --> 00:13:47.028]  I mean, oh, keep us safe!
[00:13:47.089 --> 00:13:47.949]  Please, demons!
[00:13:48.250 --> 00:13:49.371]  Please, Hellspawn!
[00:13:49.571 --> 00:13:50.432]  Please, Satan!
[00:13:50.733 --> 00:13:51.233]  Save me!
[00:13:52.194 --> 00:13:54.396]  Okay, let's move along here.
[00:13:54.796 --> 00:13:55.436]  Oh, don't worry.
[00:13:55.877 --> 00:14:00.640]  White House chef says future food to be made from chemicals, not real food and agreements.
[00:14:00.660 --> 00:14:21.093]  Yeah, Monsanto, all the big GMO companies, the companies they started by, oh, our loving little friend Bill Gates, they say they're going to take toxic waste and chemicals, that's what aspartame is, is fecal material of a GMO bacteria, E. coli, that eats toxic waste, and now you're going to be fed, we actually have the quotes here, chemical compounds,
[00:14:21.753 --> 00:14:28.475]  You make a dish, and it goes on to break down how you will be fed chemicals that are, of course, friendly to animals.
[00:14:29.855 --> 00:14:31.556]  Bacteria stews, you name it.
[00:14:31.896 --> 00:14:35.017]  It's all part of the great future they've got all planned for us.
[00:14:35.057 --> 00:14:37.357]  Look, all the systems they're putting in with our money.
[00:14:37.858 --> 00:14:39.718]  I don't know about you, but I've decided to be trendy.
[00:14:39.758 --> 00:14:40.458]  I think it's great.
[00:14:41.298 --> 00:14:43.879]  White House says future food to be made from chemicals.
[00:14:43.899 --> 00:14:45.780]  Of course, McDonald's and all that already is.
[00:14:45.800 --> 00:14:46.720]  They're just getting us used to it.
[00:14:46.980 --> 00:14:49.561]  I mean, what's wrong with dying of kidney failure and cancer?
[00:14:49.601 --> 00:14:50.001]  I mean, hell.
[00:14:51.374 --> 00:14:59.858]  Every two years, a consortium of Europe's most active minds converge on EuroScience Open Forum to discuss the latest advancements in scientific research innovation.
[00:15:00.278 --> 00:15:17.606]  But this year's meeting, which was held in Dublin, Ireland, featured a disturbing workshop held by White House Executive Pastry Chef Bill Yosses, who explained and demonstrated to audience members how food of the future will not actually contain real food, but rather various combinations of lab-created chemicals that mimic food.
[00:15:17.646 --> 00:15:18.407]  Well, of course!
[00:15:19.247 --> 00:15:20.068]  I mean, come on!
[00:15:20.488 --> 00:15:22.969]  Mommy, is it true once we got food that grew?
[00:15:23.349 --> 00:15:25.110]  No, that's what Al-Qaeda says.
[00:15:26.371 --> 00:15:43.561]  As reported on Six One News, a feature of RTE News in Ireland, the White House says other food experts showed a live audience how to create various foams, gel solids and other food-like texture substances out of chemicals that when combined resemble things like lemon.
[00:15:44.401 --> 00:15:45.302]  And chocolate pudding.
[00:15:45.342 --> 00:15:48.883]  Was there really once something called chocolate?
[00:15:49.224 --> 00:15:50.985]  No, honey, you'll go to re-education.
[00:15:51.005 --> 00:15:51.925]  Now take your pills.
[00:15:52.345 --> 00:15:56.147]  Mommy, could people really once walk and not be in these tanks?
[00:15:56.507 --> 00:15:57.868]  Was there really once billions?
[00:15:57.988 --> 00:15:59.589]  No, honey, there wasn't.
[00:16:00.530 --> 00:16:05.512]  These food scientists... Mommy, did mommies used to give you milk out of their breasts?
[00:16:05.612 --> 00:16:08.654]  Oh, that's a real... No, never happened.
[00:16:09.617 --> 00:16:17.221]  These food scientists then shared samples of laboratory creations with audience members who were told the imitation food products are the wave of the future.
[00:16:18.161 --> 00:16:19.302]  Oh yeah, if you tell a trendy...
[00:16:20.836 --> 00:16:23.018]  That shooting themselves in the head is trendy, they do it.
[00:16:23.398 --> 00:16:33.065]  If you tell them jumping off a cliff is trendy, I mean, if you tell them putting their kid in a microwave, if you told a trendy, it's a trendy thing to do, put your two-year-old, cram them in a microwave, an industrial microwave, and they would do it.
[00:16:33.365 --> 00:16:36.848]  While their eyeballs popped out, they would just be, oh, trendy, oh, trendy.
[00:16:37.188 --> 00:16:40.190]  So, I'm serious, I mean, it's total insanity, crazy people have taken over.
[00:16:40.810 --> 00:16:42.131]  Alright, let's continue here.
[00:16:43.072 --> 00:16:45.293]  ATF Ed clarifies remarks from video.
[00:16:45.533 --> 00:16:51.096]  He's in the video going, if you go outside the chain of command, we're going to grind on down and you will be disciplined.
[00:16:51.336 --> 00:16:54.997]  And they're trying to fire people that expose their shipping guns to Mexico to blame the Second Amendment.
[00:16:55.618 --> 00:17:08.423]  But he comes out and says, oh no, no, no, you're allowed to if it's an authorized whistleblow to Congress, who then sends a hit team to your house, or puts a gag order to you like civil Edmonds while they're narcotics trafficking and all their other murder operations.
[00:17:08.583 --> 00:17:11.705]  These guys all compete with each other on who's the most hardcore criminal.
[00:17:13.152 --> 00:17:14.854]  Whoa, the ghost surveillance!
[00:17:15.335 --> 00:17:17.238]  Keep us safe from Al-Qaeda!
[00:17:17.618 --> 00:17:20.102]  I'm being a little sarcastic tonight because I can't handle it anymore.
[00:17:20.362 --> 00:17:28.553]  Let's go to Darren McBrain's report on this from last week that was sacrilegious against our loving ATF, oh, that are good people.
[00:17:28.593 --> 00:17:28.973]  Here it is.
[00:17:31.038 --> 00:17:44.623]  Now earlier this month, Acting ATF Director Todd Jones, we sent a memo to ATF employees warning potential whistleblowers that they will face consequences if they don't
[00:17:46.092 --> 00:17:53.135]  Respect the chain of command and ask permission to release information damaging to the agency.
[00:17:53.856 --> 00:18:05.741]  If you don't find the way to raise your concerns to your leadership, there will be consequences, Todd Jones says in the video, because we cannot tolerate an undisciplined organization.
[00:18:07.000 --> 00:18:12.123]  One of the undisciplined ATF employees managed to make a copy of the video.
[00:18:12.163 --> 00:18:14.784]  It's now being circulated, thankfully, on the internet.
[00:18:15.365 --> 00:18:19.367]  And, uh, you know, I thought it looked like something straight out of 1984.
[00:18:20.247 --> 00:18:25.350]  Todd Jones looking very Big Brother-like in this clip.
[00:18:26.031 --> 00:18:29.433]  And, uh, well, especially when you present it like this.
[00:18:37.463 --> 00:18:40.825]  I'm talking about the disciplinary process.
[00:18:41.966 --> 00:19:03.257]  What my expectation is, as the acting director, when it comes to the disciplinary process, choices and consequences simply means that as an employee of ATF, should you decide not to abide by the standards of conduct or the rules of the road, should you decide that you're not going to
[00:19:03.997 --> 00:19:06.759]  Play by the rules, there will be consequences.
[00:19:07.760 --> 00:19:24.393]  Choices and consequences mean simply that if you make poor choices, that if you don't abide by the rules, that if you don't respect the chain of command, if you don't find the appropriate way to raise your concerns to your leadership,
[00:19:25.330 --> 00:19:32.155]  There will be consequences because we cannot tolerate, we cannot tolerate an undisciplined organization.
[00:19:32.915 --> 00:19:51.309]  And the next time that we talk, we'll start to grind down on some of the specifics about how we're going to actually follow through on this accelerated change that we've been implementing here at ATF over the last nine months.
[00:19:52.392 --> 00:19:56.849]  Thank you for your attention, keep your comments coming in, and we'll talk to you again real soon.
[00:20:01.377 --> 00:20:02.037]  So there you have it.
[00:20:02.197 --> 00:20:05.019]  Whistleblowers will face consequences.
[00:20:05.599 --> 00:20:21.286]  And you know, Senator Charles Grassley from Iowa and Representative Daryl Issa from California, they actually sent a letter this week to Todd Jones declaring the message, and I'm going to quote here, it could be interpreted as a threat.
[00:20:21.907 --> 00:20:22.387]  Yeah, you think?
[00:20:23.447 --> 00:20:34.774]  ATF spokeswoman Ginger Colbrin said the video was directed at employees who violate the rules and it was not directed at those with protected disclosure.
[00:20:35.254 --> 00:20:35.574]  Yeah.
[00:20:36.335 --> 00:20:39.337]  Hey, do me a favor, play the video again, this time without sound.
[00:20:39.357 --> 00:20:43.599]  I'm going to try to translate what I think Todd Jones is really trying to say here.
[00:20:45.460 --> 00:20:49.503]  Hello, we will not tolerate anyone telling the truth to the public.
[00:20:50.546 --> 00:20:52.427]  Truth-tellers will not be tolerated.
[00:20:53.087 --> 00:20:57.389]  If you disclose our illegal activities, we're going to F you up.
[00:20:59.070 --> 00:21:01.051]  You and your family will suffer.
[00:21:01.831 --> 00:21:02.952]  Now go back to sleep.
[00:21:03.552 --> 00:21:04.593]  Everything is fine.
[00:21:05.173 --> 00:21:06.134]  Big Brother loves you.
[00:21:06.614 --> 00:21:09.275]  And by the way, I'm naked from the waist down.
[00:21:09.955 --> 00:21:11.336]  Okay, you can stop there.
[00:21:11.576 --> 00:21:12.397]  Alright.
[00:21:12.417 --> 00:21:12.937]  Stop, stop.
[00:21:13.769 --> 00:21:21.236]  You know, it's no secret that ATF whistleblowers were instrumental in exposing the illegal Operation Fast and Furious.
[00:21:21.737 --> 00:21:23.979]  So I think Todd Jones is really saying, shh.
[00:21:26.762 --> 00:21:27.943]  That's what it looks like to me, so.
[00:21:29.864 --> 00:21:39.808]  Let's move along now from our gracious leader to Monsanto, who's got a bill about to pass to give them total liability protection, and none of their products will have to be approved anymore.
[00:21:40.288 --> 00:21:45.871]  I mean, these are, they gave you Agent Orange Dioxin, Aspartame, these are good people.
[00:21:46.971 --> 00:21:53.514]  Now, of course, they admit that none of their workers will eat Monsanto food at their cafeterias for 12 years, but you know,
[00:21:54.420 --> 00:21:57.462]  That's because they want to keep all the good Monsanto food for us.
[00:21:58.443 --> 00:22:00.104]  It's because they want to take care of us.
[00:22:00.665 --> 00:22:05.708]  And anybody that talks bad about them is anti-America.
[00:22:06.449 --> 00:22:07.450]  And anti-Al Qaeda.
[00:22:07.810 --> 00:22:10.332]  Our hero forces battling Assad.
[00:22:13.323 --> 00:22:18.966]  And I'm proud to be an American where Al-Qaeda battles forth.
[00:22:19.406 --> 00:22:25.169]  And I want the TSA to stick their hands down my pants like they did before.
[00:22:25.630 --> 00:22:32.013]  And I gladly stand up next to you and drink sodium fluoride today.
[00:22:32.393 --> 00:22:36.755]  Cause there ain't no doubt we're the center of genetic warfare.
[00:22:37.116 --> 00:22:40.277]  God bless the globalist evil!
[00:22:41.818 --> 00:22:43.139]  I mean USA, excuse me.
[00:22:43.159 --> 00:22:45.361]  Alright, I'm sorry.
[00:22:46.762 --> 00:22:48.123]  Bob, do you like the show tonight?
[00:22:48.143 --> 00:22:51.345]  I actually have two Bobs in the studio tonight.
[00:22:52.166 --> 00:22:55.989]  Think about, okay, I'll leave it at that.
[00:22:56.009 --> 00:22:57.770]  We actually do, we have like a couple Bobs.
[00:22:57.810 --> 00:22:59.831]  Wait, Bob, Bob, Bob.
