[00:00:06.147 --> 00:00:07.548]  Worldwide transmission.
[00:21:46.248 --> 00:21:47.729]  They let him in the Bilderberg archives.
[00:21:47.949 --> 00:21:48.830]  Tragedy and Hope.
[00:21:49.131 --> 00:21:51.053]  It's back in print.
[00:21:51.093 --> 00:21:51.734]  He's dead.
[00:21:51.774 --> 00:21:54.657]  He's not glad it's back in print because they didn't want the public reading this.
[00:21:54.737 --> 00:21:56.359]  Available at InfoWars.com.
[00:21:56.719 --> 00:21:57.220]  Discounted.
[00:21:57.240 --> 00:21:59.082]  It gets a free citizen rule book with every order.
[00:21:59.722 --> 00:22:03.926]  And back in print, because they sold out all the ones that were printed back in the 70s.
[00:22:04.326 --> 00:22:15.276]  None Dare Call It Conspiracy, the book that crystallized my awakening at about 13 years old, when a couple of these were on the bookshelf, because one of my dad's John Burt Society buddies was always bringing them by.
[00:22:15.856 --> 00:22:17.476]  And I pulled it off the shelf and read it.
[00:22:17.496 --> 00:22:28.239]  I'd already read so much history, I was kind of a bookworm slash jock, but the point is that it all made sense and that's what created much of who Alex Jones is today.
[00:22:28.579 --> 00:22:32.420]  It's back in print, a new lovely little edition, $14 at InfoWars.com.
[00:22:35.101 --> 00:22:36.823]  Today or InfoWarshop.com or call 888-253-3139.
[00:22:36.843 --> 00:22:36.883]  888-253-3139.
[00:22:36.903 --> 00:22:37.984]  You can also write to us at P.O.
[00:22:38.304 --> 00:22:38.944]  Box 19549 Austin, TX 78760.
[00:22:39.045 --> 00:22:41.587]  Let's play a minute or so of Ron Paul talking about
[00:22:53.777 --> 00:23:00.702]  Tragedy and hope and what Carol Quigley said about the lesser of two evils and how the system tries to control the left and the right.
[00:23:01.182 --> 00:23:11.029]  And then we'll get the take on that from iconic libertarian and, I guess, anarchic capitalist, you could call him, Lew Rockwell, here in just a moment.
[00:23:11.050 --> 00:23:19.676]  But here's Ron Paul from his concession speech or what have you, talking about would he join a third party back in 2008.
[00:23:20.076 --> 00:23:21.777]  He didn't endorse John McCain.
[00:23:22.137 --> 00:23:22.518]  Here it is.
[00:23:22.998 --> 00:23:38.908]  You know, um, quite a few years ago, uh, when, I think it was when, uh, Bill Clinton was inaugurated, was in one of his speeches, he, he recognized one, uh, single individual as being very important to him philosophically.
[00:23:40.029 --> 00:23:47.973]  And that was a bit of a surprise because, uh, I, I knew about the individual, and some of you may know about him, but it's worth looking into.
[00:23:47.993 --> 00:23:49.614]  And his name was Carroll Quigley.
[00:23:50.095 --> 00:23:51.876]  He wrote the book, Tragedy and Hope.
[00:23:52.711 --> 00:24:02.898]  Now, the important part of Tragedy and Hope and Carol Quigley is that he claims that he was on the inside and part of the group
[00:24:03.993 --> 00:24:05.913]  That, you know, did the planning.
[00:24:06.894 --> 00:24:11.275]  But why did he write Tragedy and Hope to expose these people behind the scenes?
[00:24:12.135 --> 00:24:19.876]  Because he believed they were far enough advanced, it didn't have to be secret, they could be out in the open, and this is the way it works.
[00:24:20.296 --> 00:24:25.318]  It's a tragedy if you don't accept this, and there's hope if you know who runs the show.
[00:24:25.858 --> 00:24:28.358]  That's my interpretation, but I believe it's correct.
[00:24:28.618 --> 00:24:31.199]  But let me read a quote from him.
[00:24:32.601 --> 00:24:47.652]  And thinking about where he's coming from, he says the argument that the two parties should represent opposed ideals and policies, one perhaps the right of the right and the other of the left, is a foolish idea acceptable only to the doctrinaire and academic thinkers.
[00:24:48.333 --> 00:24:59.361]  Instead, the two parties should be almost identical so that the American people can throw the rascals out at any election without leading to any profound or extensive shift in policy.
[00:25:00.805 --> 00:25:09.851]  I mean, I think that is a profound statement because it tells us what's going on and why things don't change.
[00:25:10.351 --> 00:25:12.893]  All right, there you go.
[00:25:14.213 --> 00:25:17.155]  Again, your take on what Ron Paul said four years ago.
[00:25:17.195 --> 00:25:18.436]  I mean, that says it all.
[00:25:18.936 --> 00:25:23.199]  And what's your view on this whole global corporate monopoly men system?
[00:25:23.459 --> 00:25:25.942]  Of course, Carol Quigley was exactly right.
[00:25:25.982 --> 00:25:28.985]  Very influential professor at Georgetown University for many years.
[00:25:29.706 --> 00:25:36.893]  And as Ron mentioned, Clinton cited him and thanked him in his acceptance speech at the Democratic Convention.
[00:25:37.774 --> 00:25:38.575]  But it's absolutely true.
[00:25:38.615 --> 00:25:40.176]  And we just have to look at the two parties.
[00:25:40.196 --> 00:25:41.358]  The two parties are identical.
