[00:00:00.049 --> 00:00:02.090]  Broadcasting Network.
[00:10:10.406 --> 00:10:15.209]  Guns out of stock at Walmart as magazine prices surge.
[00:10:17.128 --> 00:10:19.090]  They are selling out everywhere.
[00:10:19.170 --> 00:10:28.477]  In fact, I actually talked to some folks that work at Dick's Sporting Goods in the gun department, and they said, look, they were already sold out of Bushmasters and couldn't get them.
[00:10:28.918 --> 00:10:34.823]  And I happen to know that most gun shops were sold out of most semi-automatics, especially the military style.
[00:10:34.923 --> 00:10:35.903]  It just means they're black.
[00:10:36.304 --> 00:10:37.004]  They're not wooden.
[00:10:37.024 --> 00:10:38.746]  It's pretty much the same thing as the hunting rifles.
[00:10:38.766 --> 00:10:39.707]  These idiots don't know that.
[00:10:40.627 --> 00:10:43.430]  Uh, and that they were already sold out in Dick's all over the country.
[00:10:43.730 --> 00:10:49.114]  Bushmaster is six months to nine months, depending on the type, a year behind.
[00:10:50.436 --> 00:10:52.457]  A year... Well, we've talked about this before.
[00:10:53.118 --> 00:10:54.419]  Ruger's almost a year out.
[00:10:55.380 --> 00:10:57.642]  Most manufacturers are six months to a year out.
[00:10:57.722 --> 00:11:00.504]  So, it's, it's, it's a total hoax.
[00:11:01.665 --> 00:11:03.927]  As usual, everything's a hoax with these people.
[00:11:04.527 --> 00:11:06.389]  Uh, that, oh, they're not gonna sell the guns now.
[00:11:06.649 --> 00:11:08.651]  They can't get the guns now.
[00:11:13.058 --> 00:11:14.379]  I wanted a .50 caliber.
[00:11:14.399 --> 00:11:17.020]  I already have one.
[00:11:17.500 --> 00:11:19.061]  I got it about a decade ago or more.
[00:11:19.501 --> 00:11:20.801]  But I wanted a Barrett.
[00:11:21.362 --> 00:11:26.524]  And I had to look around for three months and pay a premium and ship it into a gun shop here in Austin.
[00:11:27.444 --> 00:11:32.647]  Actually a police supply facility that sells to the general population as well from North Carolina.
[00:11:33.427 --> 00:11:35.148]  Three months to get one and that was months ago.
[00:11:36.198 --> 00:11:39.099]  And I'm going to roll that sucker out on the TV show as soon as we relaunch it.
[00:11:39.179 --> 00:11:45.561]  But the Brothers in Arms gun show, first thing we're going to do is go up in helicopters and take care of some wild hogs.
[00:11:45.601 --> 00:11:48.782]  But side issue, we're going to have another drone episode come out as well.
[00:11:48.802 --> 00:11:57.464]  I've just been so busy I don't have time to even stop and smell the roses ever because there's so much globalist crime going on.
[00:11:57.564 --> 00:11:58.884]  So that's some of the gun news.
[00:12:01.383 --> 00:12:09.666]  Guns Obama administration handed to Mexican drug lords continue to turn up at crime scenes in Mexico and the U.S., including another dead child.
[00:12:10.246 --> 00:12:13.027]  So that's up at PrisonPlanet.com and InfoWars.com.
[00:12:13.867 --> 00:12:17.008]  Hillary is continuing to be sick now for four or five days.
[00:12:18.749 --> 00:12:20.369]  She can't testify about Benghazi.
[00:12:20.389 --> 00:12:21.309]  They're caught red-handed.
[00:12:21.329 --> 00:12:22.790]  They ordered a White House stand down.
[00:12:23.810 --> 00:12:29.077]  For eight hours, they had a huge CIA torture base full of special forces down the street.
[00:12:29.397 --> 00:12:30.378]  That's another big scandal.
[00:12:30.398 --> 00:12:32.341]  Of course, Obama has increased the torturing.
[00:12:33.553 --> 00:12:36.254]  See, if Obama says one thing, he's going to do the other.
[00:12:36.634 --> 00:12:40.675]  Unless he promises to take your guns and destroy freedom and bankrupt the country.
[00:12:40.715 --> 00:12:42.095]  Then, of course, he keeps those promises.
[00:12:42.115 --> 00:12:46.357]  So we're going to be looking at some of that today as well.
[00:12:47.197 --> 00:12:58.160]  Well, they've now, because of the lawsuit and the public backlash, they've suspended with pay the Texas female trooper who was called to the scene by male troopers to, on video,
[00:12:59.040 --> 00:13:04.269]  And we showed this yesterday, it's now a big story around the country, after Drudge Report linked to it yesterday.
[00:13:07.133 --> 00:13:10.298]  Actually, with force, shoving her hand into the woman's
[00:13:11.564 --> 00:13:15.267]  Rear end and then into, I mean, in the pants with force.
[00:13:15.307 --> 00:13:18.349]  You could see it into her female sexual organ.
[00:13:18.709 --> 00:13:20.250]  And then she goes over to her sister.
[00:13:20.751 --> 00:13:21.731]  Both attractive women.
[00:13:21.751 --> 00:13:23.713]  It's funny, it always seems to be attractive women.
[00:13:23.733 --> 00:13:25.414]  I don't know what it is about defiling them.
[00:13:25.774 --> 00:13:28.136]  Just seems to bring in the sharks with TSA and others.
[00:13:28.736 --> 00:13:31.078]  And then they went after the other one with the same glove.
[00:13:31.618 --> 00:13:34.080]  And it's in the court filing with the doctor's report.
[00:13:34.881 --> 00:13:36.482]  One woman got a serious infection.
[00:13:36.962 --> 00:13:37.663]  That's a big deal.
[00:13:38.715 --> 00:13:39.696]  That's a big deal.
[00:13:39.796 --> 00:13:48.461]  You know, if you're a man out there, maybe public school, you know, brought up on Ritalin and Prozac, never had a girlfriend, never been married, you know, infections with women is a big deal.
[00:13:49.381 --> 00:13:52.643]  And, you know, the first thing girls are taught is don't touch the back and then the front.
[00:13:52.903 --> 00:13:56.005]  And I hate to have to get off into all this, but there's a woman doing this to her.
[00:13:56.883 --> 00:14:07.649]  So there's the beautiful blonde with the female trooper grabbing her breast and then going into, well, into her rectum.
[00:14:09.350 --> 00:14:17.674]  And then turning her around, oh let me just, let me just, repeatedly checking in there and now she goes in the front and she really goes after her sister.
[00:14:19.655 --> 00:14:22.977]  And oh, and this is all supposedly looking for marijuana.
[00:14:24.192 --> 00:14:27.555]  Which is the only drug the government doesn't ship in en masse, though they've been caught doing that.
[00:14:27.836 --> 00:14:36.585]  They ship in the heroin, the cocaine, a lot of the pre-ingredients are sold to the methamphetamine labs that are authorized, not the small bathtub ones they target.
[00:14:37.646 --> 00:14:41.790]  They're trying to put half the school kids on deadly psychotropics and speed drugs like Ritalin.
[00:14:43.552 --> 00:14:46.535]  The troops have been ordered for 11 years to publicly grow the opium.
[00:14:46.555 --> 00:14:50.319]  It went from 9% of the world's supply to 93% out of Afghanistan.
[00:14:50.339 --> 00:14:52.181]  Giant C-130s flying it in daily.
[00:14:52.762 --> 00:14:55.725]  Smack epidemic all over Europe, all over Asia, publicly.
[00:14:56.386 --> 00:15:00.330]  The US military is forced to grow it, give them the fertilizers, security, ship it in.
[00:15:01.391 --> 00:15:04.014]  So, the troopers can pull you over.
[00:15:05.020 --> 00:15:07.141]  Saying they saw you flick a cigarette out the window.
[00:15:07.541 --> 00:15:08.941]  They think it might be marijuana.
[00:15:09.541 --> 00:15:10.762]  And then they just order you.
[00:15:10.782 --> 00:15:11.322]  And you know what?
[00:15:11.342 --> 00:15:12.782]  If you don't follow the order, they're going to taser you.
[00:15:12.982 --> 00:15:14.303]  You resist that, they're going to gun you down.
[00:15:14.863 --> 00:15:16.023]  And you have to understand something.
[00:15:16.643 --> 00:15:18.704]  At first, the state police said, this is good.
[00:15:18.784 --> 00:15:19.724]  This is their policy.
[00:15:20.104 --> 00:15:27.146]  The director of DPS, when this video got reviewed, first by the local head, you know, captain.
[00:15:28.406 --> 00:15:29.747]  That's why the suit's now happening.
[00:15:29.767 --> 00:15:33.148]  And when the public was outraged, they went, oh, okay, we'll suspend her with pay.
[00:15:33.188 --> 00:15:34.068]  We'll look at it now.
[00:15:35.239 --> 00:15:36.360]  Someone explain something to you.
[00:15:39.883 --> 00:15:46.890]  When these lunatics pull you over, now, they're not just going to take your blood without warrants or rubber stamps.
[00:15:47.331 --> 00:15:49.673]  They're not just going to take your kids to CPS for no reason.
[00:15:49.933 --> 00:15:51.975]  They're now going to jam their hands into your body.
[00:15:54.257 --> 00:16:00.143]  Just like I've watched TSA search 20 people in a row with the same glove, and I mean going in the pants.
[00:16:01.966 --> 00:16:12.381]  I mean, imagine any country in history where they stick their hands down your pants and the TSA backed off a little bit and stopped really squeezing all the time when there were lawsuits and things.
[00:16:12.441 --> 00:16:13.944]  But now the police are doing it.
[00:16:14.344 --> 00:16:17.749]  So I'm going to get back into that today as well.
[00:16:18.789 --> 00:16:21.350]  I want to get into the latest 2012 news, and there is a lot of it.
[00:16:21.390 --> 00:16:23.150]  We'll be tracking it throughout the day and then tomorrow.
[00:16:24.331 --> 00:16:31.633]  In some time zones, I guess midnight tonight, my time, and in some time zones, I guess in Asia, the end of the world will begin.
[00:16:31.673 --> 00:16:35.274]  No one knows the exact hour of when it's going to begin.
[00:16:35.774 --> 00:16:39.395]  NASA is being sarcastic, and to be clear, I don't believe it's the end of the world, never have said that.
[00:16:40.155 --> 00:16:47.198]  NASA's getting flooded with calls, emails, people showing up, saying, why won't you tell us where Nibiru, Planet X is, is going to kill us?
[00:16:47.218 --> 00:16:54.861]  Well, let me explain something to the people panicking in Japan and China and France and the United States and Mexico and everywhere else.
[00:16:55.321 --> 00:16:56.022]  People are people.
[00:16:56.242 --> 00:16:57.582]  Pretty darn stupid some of the time.
[00:16:58.202 --> 00:16:59.303]  Let me explain something to you.
[00:17:00.143 --> 00:17:01.544]  There is no Mayan prophecy.
[00:17:01.924 --> 00:17:02.984]  It doesn't say this.
[00:17:04.565 --> 00:17:09.347]  A. B. If you had a big gas giant like they claim Nibiru is,
[00:17:11.730 --> 00:17:15.571]  If it was going to hit us in the next 24 hours, it would be gigantic.
[00:17:16.952 --> 00:17:17.292]  Okay?
[00:17:17.972 --> 00:17:27.315]  Amateur astronomers with the hundreds of thousands of telescopes, I've got one, cost me like $5,000, that I bought back in college.
[00:17:28.095 --> 00:17:32.817]  When I had time, I'd go out in the hills at night where it was clear, out in the desert outside Austin, like Llano.
[00:17:33.377 --> 00:17:35.818]  And I could see, you know, the pink and purple of Saturn.
[00:17:36.338 --> 00:17:39.020]  I could find asteroids when it was clear night, well-known asteroids.
[00:17:39.380 --> 00:17:41.661]  Nebulas, I took some great photos of those.
[00:17:42.141 --> 00:17:44.422]  The point is, is that, I'm gonna find where those are.
[00:17:44.442 --> 00:17:48.424]  I got a bunch of incredible photos I took with my dad, hooking a camera up to the telescope.
[00:17:48.444 --> 00:17:50.885]  10-inch Meade reflector.
[00:17:52.586 --> 00:17:55.968]  And even back then you could computerize programming that would track everything, just amazing.
[00:17:57.245 --> 00:18:05.996]  Most of the Kuiper Belt objects that have been found out past Pluto, there are hundreds of them, were found by amateur astronomers because they're the ones that are able to have more eyes on the data.
[00:18:06.316 --> 00:18:07.338]  Not the big giant ones.
[00:18:09.260 --> 00:18:12.864]  Not the big McDonnell Douglas, you know, out in West Texas.
[00:18:12.884 --> 00:18:15.548]  There is now doomsday panic going on.
[00:18:16.710 --> 00:18:17.050]  Okay?
[00:18:17.811 --> 00:18:19.532]  And I pray that there's not violence.
[00:18:19.632 --> 00:18:20.913]  I pray that there's not attacks.
[00:18:21.474 --> 00:18:23.775]  I pray that there's not mass suicides or mass shootings.
[00:18:24.876 --> 00:18:27.078]  There's a lot of in-the-world stuff going on right now.
[00:18:27.118 --> 00:18:28.679]  I hope there's not hell-bop-type stuff.
[00:18:28.999 --> 00:18:29.700]  And I'll add this.
[00:18:30.560 --> 00:18:32.362]  I tuned in to talk radio this morning.
[00:18:34.955 --> 00:18:38.079]  And when I got brought up on one of the shows, guess what they said?
[00:18:38.139 --> 00:18:40.321]  Well, isn't the world ending tomorrow?
[00:18:40.682 --> 00:18:41.803]  Oh yeah, that's what he thinks.
[00:18:41.983 --> 00:18:44.746]  Oh yeah, well I guess he's ready for the end of the world.
[00:18:44.906 --> 00:18:52.575]  And I know when it's not the end of the world tomorrow, they will say in the media that I said it'd be the end of the world.
[00:18:52.635 --> 00:18:55.098]  When I've been saying for 10 years or more it's total fraud.
[00:18:55.779 --> 00:18:58.219]  And they'll edit me together and say that I said it's the end of the world.
[00:18:58.279 --> 00:18:59.920]  So you, the listeners, know the truth.
[00:18:59.960 --> 00:19:02.100]  And I'm not trying to defend myself from lies.
[00:19:02.600 --> 00:19:09.141]  It's just that people use lies or distortions about what we do here to try to scare people away from the information.
[00:19:09.241 --> 00:19:11.902]  And most of the attacks we go through are fraudulent.
[00:19:12.602 --> 00:19:23.184]  And it's just so immoral that people consciously and knowingly manufacture things about this broadcast that are not true.
[00:19:24.424 --> 00:19:25.004]  It's just not fair.
[00:19:26.795 --> 00:19:33.623]  But the world isn't fair, so you have to understand why the system uses deception on you.
[00:19:34.805 --> 00:19:37.548]  Okay, when we come back, I'm going to give the number out.
[00:19:37.568 --> 00:19:38.289]  Let me just give it out now.
[00:19:38.309 --> 00:19:40.191]  800-259-9231 on any subject you wish to broach.
[00:19:44.036 --> 00:19:44.356]  We're good to go.
[00:20:04.136 --> 00:20:08.919]  We have witnessed two terrible storms in the East, but we are still in the eye of the perfect storm.
[00:20:09.639 --> 00:20:12.381]  The most devastating economic condition since the Great Depression.
[00:20:12.801 --> 00:20:15.142]  America's worst drought in agricultural history.
[00:20:15.583 --> 00:20:18.104]  And now the economic results of the presidential election.
[00:20:18.524 --> 00:20:21.506]  This perfect storm is a huge threat to everyone's food supply.
[00:20:21.986 --> 00:20:26.552]  I just doubled down and got even more supplies from eFoodsDirect, and I recommend you do the same.
[00:20:27.112 --> 00:20:29.235]  It's time to get your own supply from eFoodsDirect.
[00:20:29.735 --> 00:20:32.759]  I know I won't be standing in a bread line trading my freedom for food.
[00:20:33.319 --> 00:20:37.044]  I'm taking control of my future, and you're nuts if you don't do the same.
[00:20:37.504 --> 00:20:40.608]  Go to eFoodsDirect.com forward slash Alex to find the specials.
[00:20:40.888 --> 00:20:44.190]  And you can start with a holiday gift pack that's normally $80, now under $50.
[00:20:45.210 --> 00:20:47.412]  Remember, I can warn you, but I can't feed you.
[00:20:47.672 --> 00:20:52.554]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:20:53.055 --> 00:20:56.116]  Would you rather prepare six months too early or one day too late?
[00:20:56.136 --> 00:20:57.757]  409-5633 or efoodsdirect.com forward slash Alex.
[00:21:03.752 --> 00:21:10.217]  Big business has discovered the preparedness market, and that makes it difficult to know where to go and who to trust.
[00:21:10.557 --> 00:21:15.041]  MyPatriotSupply.com is owned and operated by Patriots just like you.
[00:21:15.321 --> 00:21:24.508]  Has the best prices on storable food, non-GMO seeds, water filtration devices, home canning equipment, survival and self-reliance books, and more.
[00:21:24.828 --> 00:21:30.753]  MyPatriotSupply.com has old-fashioned values and the absolute best customer service in the industry.
[00:21:30.993 --> 00:21:32.274]  Look for the deal of the day.
[00:21:32.574 --> 00:21:35.816]  Unique, affordable survival supplies that fit anyone's budget.
[00:21:35.976 --> 00:21:39.559]  Get same-day shipping on all orders and free shipping on orders over $49.
[00:21:39.819 --> 00:21:43.141]  Call 866-229-0927.
[00:21:43.161 --> 00:21:45.543]  866-229-0927.
[00:21:45.943 --> 00:21:53.248]  Or visit MyPatriotSupply.com for emergency preparedness, self-reliance, and food independence.
[00:21:53.688 --> 00:21:56.330]  Shop with a name you know and a name you can trust.
[00:21:56.570 --> 00:21:59.312]  Before it's time to survive, it's time to prepare.
[00:21:59.592 --> 00:22:07.977]  MyPatriotsSupply.com HempUSA.org has a newly designed website and a new and improved detoxification product.
[00:22:08.197 --> 00:22:13.140]  Order our new Micro Plant Powder Gold loaded with vitamins, minerals, iodine and probiotics.
[00:22:13.300 --> 00:22:15.781]  And we'll send you our travel size micro plant powder.
[00:22:16.081 --> 00:22:17.021]  Absolutely free!
[00:22:17.282 --> 00:22:19.923]  Micro plant powder only at hempusa.org.
[00:22:20.023 --> 00:22:21.503]  Call 908-691-2608.
[00:22:21.563 --> 00:22:23.944]  That's 908-691-2608.
[00:22:24.044 --> 00:22:27.866]  And see what our powders, seeds, and oil can do for you.
[00:22:28.046 --> 00:22:29.546]  Only at hempusa.org.
[00:22:29.686 --> 00:22:30.907]  Only this offer ends January 31st.
[00:22:31.727 --> 00:22:32.788]  Hi, this is Ted Anderson.
[00:22:32.968 --> 00:22:37.351]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:22:37.531 --> 00:22:43.215]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:22:43.335 --> 00:22:46.757]  Gold is outperformed paper investments, yet no word about IRAs.
[00:22:46.977 --> 00:22:49.579]  If you would like to have gold for your retirement, call 800-686-2237.
[00:22:49.699 --> 00:22:54.602]  Don't get left behind by rising inflation and low returns.
[00:22:54.762 --> 00:22:54.983]  Call 800-686-2237.
[00:22:55.003 --> 00:22:56.404]  Secure your future and call 1-800-686-2237.
[00:23:01.787 --> 00:23:05.910]  Hello, this is Ty Bollinger, author of the best-selling book, Cancer Step Outside the Box.
[00:23:06.570 --> 00:23:08.711]  I want you to know some very important information.
[00:23:09.592 --> 00:23:17.936]  In 1985, President Ronald Reagan requested that carnivora be sent directly to the White House at a time when only the President could obtain this world-class healer.
[00:23:18.577 --> 00:23:23.520]  Now, 27 years later, carnivora capsules are used around the world to keep people healthy.
[00:23:24.120 --> 00:23:28.222]  Now you can protect yourself and your loved ones in this age of superbugs with 17 natural
[00:23:29.750 --> 00:23:30.070]  Thank you.
