[00:00:04.625 --> 00:00:05.385]  Hi and welcome.
[00:05:47.931 --> 00:05:50.133]  Unless you try to teach your children what you've gone through.
[00:05:50.454 --> 00:05:52.896]  But they haven't experienced it yet, so they're not going to listen.
[00:05:52.916 --> 00:05:55.919]  You know, later you're like, oh, Dad, Mom, you were sure right about that.
[00:05:55.979 --> 00:05:57.561]  Man, I wish I'd listened to you.
[00:05:57.821 --> 00:05:59.583]  Older you get, the more right your parents get.
[00:05:59.643 --> 00:06:01.464]  It's kind of scary, actually.
[00:06:01.484 --> 00:06:01.845]  Yeah.
[00:06:02.686 --> 00:06:05.689]  Alright, well this next one comes to you from Chris and he says, Alex, a question.
[00:06:06.550 --> 00:06:08.532]  Are things so different here in the UK?
[00:06:08.672 --> 00:06:14.298]  One thing I've noticed from campaigning in the UK is that the US campaigning is so much more vitriolic.
[00:06:15.339 --> 00:06:20.404]  Do you feel you need a louder voice in the US to get noticed or is it just plain wrong?
[00:06:22.711 --> 00:06:31.414]  Well, I mean, you can do stunts in the media to get noticed, but I've noticed we've inadvertently done stunts before, where it's the right thing the media picks up, but then they still control the message.
[00:06:31.854 --> 00:06:36.976]  It's like you put out something that they're ready to pick up and make big, it's because they can spin it to their advantage.
[00:06:37.276 --> 00:06:37.516]  Right.
[00:06:37.877 --> 00:06:39.877]  So I've never really been calculating about what I do.
[00:06:39.897 --> 00:06:45.199]  You know, it's more of, I think this is important, this is what I'm thinking, feeling, I'd like to impart this.
[00:06:45.259 --> 00:06:47.120]  And some of it resonates with people, some of it doesn't.
[00:06:48.290 --> 00:06:49.310]  So it is what it is.
[00:06:49.350 --> 00:06:56.453]  That's why it's important with things like PlanetInfoWars.com that people get together there, start their own campaigns, get involved, meet others.
[00:06:56.853 --> 00:07:06.676]  Because there are people watching out there right now who are smarter than I am, more eloquent than I am, more informed, who've had life experiences that are going to be, you know, bring pieces of the puzzle that I can't cover.
[00:07:06.916 --> 00:07:14.278]  That's why I'm trying to hire all these great reporters and bring in other graphics people and expend the capital I've accrued to try to really go to the next level.
[00:07:15.469 --> 00:07:17.932]  Because I realize this is a very important position we're in.
[00:07:18.653 --> 00:07:21.417]  And that's why a lot of times it'll be midnight and I shoot a video and upload it.
[00:07:21.897 --> 00:07:25.962]  It's because I realize, man, we've got this limited window to actually effect change for the good.
[00:07:25.982 --> 00:07:27.204]  It's a key time in history right now.
[00:07:27.224 --> 00:07:28.085]  What question are we up to now?
[00:07:28.546 --> 00:07:29.567]  We're up to number four.
[00:07:29.867 --> 00:07:30.588]  Am I moving fast?
[00:07:30.608 --> 00:07:31.830]  You are moving fast.
[00:07:31.870 --> 00:07:33.272]  Continue the interrogation.
[00:07:33.792 --> 00:07:34.252]  Here it goes.
[00:07:34.632 --> 00:07:36.493]  This is actually from user Tofu.
[00:07:36.573 --> 00:07:37.533]  Clever username.
[00:07:38.234 --> 00:07:40.274]  I'm a former active duty Marine.
[00:07:40.654 --> 00:07:44.896]  I live in Okinawa, Japan, and I listen to your show every day over and over.
[00:07:45.076 --> 00:07:46.836]  The rebroadcast and all of that.
[00:07:47.217 --> 00:07:48.417]  I believe in you, Alex.
[00:07:48.477 --> 00:07:52.258]  So, I've woken up a few friends and they listen to me like you do.
[00:07:54.959 --> 00:07:59.364]  When I go on Airbase, they scan our civilian ID cards and I'm a prepper.
[00:07:59.724 --> 00:08:02.427]  But my friends think I'm a kook, which I thought was kind of cute language.
[00:08:02.808 --> 00:08:06.572]  Do you think things would become bad for American citizens living abroad like me?
[00:08:08.996 --> 00:08:19.824]  Statistically, in a world financial collapse that's designed to bring in world government, it will be worse to be in areas where you're not indigenous because you don't fit in, you don't blend in with the culture.
[00:08:20.424 --> 00:08:22.966]  When things get rough, you'll be the first person gets turned on.
[00:08:22.986 --> 00:08:30.831]  I don't want to geographically say something about, you know, an island off Japan because you know more about that area than I do because you live there.
[00:08:31.332 --> 00:08:36.636]  So, I think your question states the concern and the knowledge you already have.
[00:08:37.696 --> 00:08:37.896]  But,
[00:08:38.817 --> 00:08:43.620]  You know, cultural bounds mean nothing because we're all human in the final equation.
[00:08:43.960 --> 00:08:49.124]  If you've got really good friends you've known for years, you know, the cultural differences can be bridged there.
[00:08:49.384 --> 00:08:54.807]  It's just that, I don't know, the Japanese are known for being the opposite of lawless.
[00:08:56.067 --> 00:08:57.868]  Japan's a pretty good place to be during a crisis.
[00:08:58.288 --> 00:09:02.570]  You think Americans would act that polite and nice during a nuclear meltdown?
[00:09:02.590 --> 00:09:09.534]  It'd be looting, mass murder, and death, and burning cities if we had something like you had.
[00:09:10.370 --> 00:09:14.654]  I mean, instead, like, crime went down when they got hit by tidal waves and had reactors blow up.
[00:09:14.814 --> 00:09:15.074]  Crazy.
[00:09:15.315 --> 00:09:17.176]  Instead, here, it'd be like... Oh, yeah.
[00:09:17.196 --> 00:09:18.237]  So, I mean, I don't know.
[00:09:18.277 --> 00:09:24.943]  Now, if you're thinking about your geographic and cultural locale, even though it's an island, things are more expensive.
[00:09:25.384 --> 00:09:27.145]  You're an island off an island in Okinawa, right?
[00:09:27.165 --> 00:09:27.286]  Mm-hmm.
[00:09:27.326 --> 00:09:31.449]  You know, that's a problem for cost during a collapse, but I don't know.
[00:09:31.469 --> 00:09:32.370]  I mean, there couldn't be a more...
[00:09:34.693 --> 00:09:35.694]  Kind, forgiving people?
[00:09:36.014 --> 00:09:42.039]  Yeah, I mean, just orderly, focused, people too prideful to be crooks, on average, in the Japanese.
[00:09:42.079 --> 00:09:45.222]  So I'm not going to judge it, but it's a mixed bag.
[00:09:46.463 --> 00:09:56.231]  Alright, this next one comes to you from Noah, and he says, is there any proof that British Labour Party politicians John Smith and Robin Cook were assassinated by associates of Tony Blair?
[00:09:56.988 --> 00:09:58.068]  I think that kind of alludes to it.
[00:09:58.088 --> 00:09:59.849]  Yeah, there's overwhelming evidence that happened.
[00:09:59.869 --> 00:10:00.749]  People can look into it.
[00:10:01.130 --> 00:10:04.631]  When they would come out and see Al Qaeda's fake, the government runs it, boom, you'd have a heart attack next day.
[00:10:05.731 --> 00:10:07.372]  So yeah, no, I mean, they kill people all the time.
[00:10:07.432 --> 00:10:08.993]  I mean, you had Dr. David Kelly.
[00:10:09.233 --> 00:10:12.214]  Shit, they've told me I'll be killed and found in the woods if I tell you, but it's all fake.
[00:10:12.234 --> 00:10:13.054]  There's no WMDs.
[00:10:13.094 --> 00:10:16.956]  And then a guy walking his dog sees five guys in black uniforms leaving the body, running away.
[00:10:17.756 --> 00:10:19.237]  The wrists are slit, no blood at the scene.
[00:10:19.457 --> 00:10:22.178]  Then they say he took pills and died, but two undissolved pills were in his stomach.
[00:10:23.072 --> 00:10:27.176]  This one comes to you from, forgive me if I can't say it right, Vthom, I think.
[00:10:28.116 --> 00:10:36.283]  Alex, I've heard you mention some things about Ronald Reagan's assassination attempt and the medical care he received afterwards that somehow diminished his mental capacity.
[00:10:36.684 --> 00:10:38.726]  I've been unable to find anything else on this.
[00:10:38.766 --> 00:10:40.287]  Could you expand on the topic a bit?
[00:10:40.847 --> 00:10:42.189]  Maybe provide a resource material?
[00:10:42.349 --> 00:10:44.350]  Well, here's the good news and the bad news.
[00:10:45.410 --> 00:10:47.914]  I'm not looking at these questions beforehand.
[00:10:47.994 --> 00:10:51.680]  Sometimes she'll ask me a question about one of them because she wants to know before we go to them.
[00:10:52.180 --> 00:10:57.268]  But I have not seen your questions so I don't have time to go look up the stuff because if we did we'd never even get to this.
[00:10:59.171 --> 00:11:00.453]  Multiple guests over the years.
[00:11:01.494 --> 00:11:08.180]  I think TV news pieces were done at the time that, you know, Reagan was incapacitated a few weeks because of some cold blood he was given.
[00:11:08.600 --> 00:11:12.083]  And if you do that, it can cause kind of like an overall stroke-like effect in the brain.
[00:11:12.583 --> 00:11:18.928]  The fact that he would be asleep for days and then suddenly be animated, and the word is they use that to kind of get control of him medically.
[00:11:19.108 --> 00:11:20.229]  But we should look into that.
[00:11:20.810 --> 00:11:28.416]  Perhaps you can do it, Christy, for next time, so we can like put a star and then come back and say, before we get to new questions, let's go to a question from last time.
[00:11:28.476 --> 00:11:33.580]  Yeah, we're going to have to do kind of a recap of some past episodes where we finalized some answers there.
[00:11:33.680 --> 00:11:37.243]  Yeah, because again, I mean, I already said it.
[00:11:37.263 --> 00:11:43.008]  The problem is I can't sit here and then have a documented, bibliographed answer every time.
[00:11:43.028 --> 00:11:45.530]  Well, no, none of it's on the fly.
[00:11:45.591 --> 00:11:46.271]  None of it's on the fly.
[00:11:46.291 --> 00:11:46.852]  Yeah, no kidding.
[00:11:47.592 --> 00:11:48.833]  This next one comes to you from Glenn.
[00:11:48.893 --> 00:11:50.654]  He says, smoking used to be ubiquitous.
[00:11:51.055 --> 00:11:51.755]  It was everywhere.
[00:11:51.815 --> 00:11:54.417]  TV, billboards, movies, even in comic books.
[00:11:54.978 --> 00:11:57.680]  Smokers are some of the most stubborn people I know.
[00:11:57.860 --> 00:12:02.003]  In your opinion, is smoking a beta test for getting rid of an individual's rights?
[00:12:02.984 --> 00:12:03.625]  Yes, it is.
[00:12:03.865 --> 00:12:11.574]  I mean, it was Edward Bernays and other propagandists that helped sell that, you know, be radical, be a feminist, smoke cigarettes in the 20s and 30s, liberty torches.
[00:12:12.255 --> 00:12:17.781]  And then the system decided, you know, for whatever reason, okay, well, we can kill them through vaccines and GMO.
[00:12:18.382 --> 00:12:21.926]  Let's have the test to ban something that people know is unhealthy.
[00:12:23.257 --> 00:12:27.780]  And the next it's popcorn, milk products and soft drinks and salt.
[00:12:28.300 --> 00:12:30.261]  Now, not in New York, but spreading all over.
[00:12:30.542 --> 00:12:35.405]  So it's kind of a globalist system where they try to get standardized laws all over the world.
[00:12:35.465 --> 00:12:36.906]  And yes, it was undoubtedly a beta test.
[00:12:37.452 --> 00:12:42.055]  I mean, they're one of the oldest men in the world, over 105 years old, smokes a pack of cigarettes every day.
[00:12:42.456 --> 00:12:43.457]  I'm not saying it's good.
[00:12:43.537 --> 00:12:45.238]  Genetically, some people can handle it.
[00:12:45.618 --> 00:12:46.839]  Other people, it's a death warrant.
[00:12:47.800 --> 00:12:50.102]  Not a good idea to be pulling a bunch of dirty smoke.
[00:12:50.362 --> 00:12:51.262]  It's not just the tobacco.
[00:12:51.302 --> 00:12:55.546]  They add hundreds of chemicals into those things to make them more addictive, to make you smoke more.
[00:12:56.546 --> 00:12:59.669]  So, you know, the weird thing is I've always smoked on and off.
[00:12:59.729 --> 00:13:00.990]  Cigars, cigarettes, you name it.
[00:13:01.010 --> 00:13:01.850]  I'm a big tobacco guy.
[00:13:02.651 --> 00:13:06.715]  But one time for six years I quit where suddenly it stunk and I didn't like it.
[00:13:07.315 --> 00:13:11.359]  And finally again about a year ago I quit and now it stinks and it's horrible I have no desire for it.
[00:13:11.939 --> 00:13:19.305]  So it's like thank God I actually prayed to get me off those things and it happened because now when I smell somebody smoking a cigarette makes me want to throw up.
[00:13:19.946 --> 00:13:25.250]  I used to wonder why I'd be outside a restaurant or something smoking a cigarette and people walk by go oh we got to smell your smoke I'd get mad at them.
[00:13:26.271 --> 00:13:29.054]  But now I really get it it's like as I smell it it just smells like
[00:13:29.847 --> 00:13:31.708]  It's interesting what knowledge does to you, too.
[00:13:31.808 --> 00:13:36.651]  I mean, the more you learn about how bad something is, you, like, cultivate this desire to really get rid of it.
[00:13:36.751 --> 00:13:40.733]  I mean, the idea of, like, what it does to your lungs, or how it affects your body.
[00:13:40.834 --> 00:13:43.655]  Oh, it's, well, it's also, you know how many radioactive isotopes are in it?
[00:13:43.795 --> 00:13:44.556]  Oh, I don't even, I don't.
[00:13:44.616 --> 00:13:56.423]  I didn't even know this, but, like, somehow, it's strange, the tobacco puts, it's weird, people can look it up, it sounds crazy, but I had, during Fukushima, I'd already quit smoking, so it's over a year now, but I had,
[00:13:58.601 --> 00:14:00.961]  Nuclear physicist Dr. Bob Bowman on the show.
[00:14:01.662 --> 00:14:03.482]  He was like, well, don't worry too much about Fukushima.
[00:14:03.502 --> 00:14:04.602]  They're getting a lot of radiation.
[00:14:04.622 --> 00:14:07.523]  But what we get is less than somebody that smokes cigarettes for a few years.
[00:14:08.083 --> 00:14:10.523]  He goes, you know, you get all these rads off of smoking.
[00:14:10.543 --> 00:14:11.923]  And I went and I thought, that's crazy.
[00:14:11.943 --> 00:14:12.644]  So I'm looking it up.
[00:14:13.024 --> 00:14:14.464]  I didn't know it was like well known.
[00:14:15.284 --> 00:14:16.684]  The tobacco, I guess.
[00:14:17.304 --> 00:14:17.864]  Side issue.
[00:14:17.884 --> 00:14:18.625]  Go ahead to the next point.
[00:14:18.645 --> 00:14:19.625]  Yeah, no, it's fascinating.
[00:14:19.745 --> 00:14:21.185]  We're obviously going to get through 50.
[00:14:21.225 --> 00:14:21.485]  Let's do 20.
[00:14:21.525 --> 00:14:22.185]  We'll do 25 tomorrow.
[00:14:22.445 --> 00:14:23.365]  OK, well, what's the next one?
[00:14:26.326 --> 00:14:29.567]  This one is actually a more complex question.
[00:14:29.587 --> 00:14:32.748]  It says, Allied governments are covering up non-HIV cases.
[00:14:33.588 --> 00:14:38.829]  And this girl actually, her name is Kayla, and she says, like mine, under the chronic fatigue syndrome.
[00:14:39.470 --> 00:14:45.811]  And how can HIV deemed to cause AIDS when there are millions of non-HIV AIDS cases?
[00:14:45.931 --> 00:14:48.212]  And I actually researched a little bit of this on my own.
[00:14:48.252 --> 00:14:54.314]  In 1993, the CBC actually said that if your T cell count is less than 200, then
[00:14:56.269 --> 00:14:57.910]  You have HIV.
[00:14:58.370 --> 00:15:01.072]  And so it skyrocketed, those number of cases.
[00:15:02.253 --> 00:15:05.615]  So, I mean... Yeah, you don't have the virus, but you have an autoimmune disorder.
[00:15:05.695 --> 00:15:05.956]  Right.
[00:15:06.156 --> 00:15:11.079]  Which is actually things they've done through different vaccines, foods, and things.
[00:15:11.659 --> 00:15:15.062]  They're actually engineering it, and it's a very complex issue.
[00:15:15.382 --> 00:15:19.685]  And then HIV is really the cover for other bioweapons they're running in Africa.
[00:15:20.045 --> 00:15:25.449]  I mean, why is it that the BBC even had to admit, like a decade ago, that they went and checked all these women, young women that had
[00:15:26.884 --> 00:15:30.126]  HIV and they checked him and they'd never had intercourse.
[00:15:30.546 --> 00:15:34.589]  So, how did they have HIV?
[00:15:34.609 --> 00:15:38.211]  And they said, well, it must have been dirty needles in the vaccine process.
[00:15:38.571 --> 00:15:46.396]  So, how is it that someone in the West can have hundreds of partners and not get it, but people that haven't ever had any partners, oh, they're having a lot of sex over in Africa.
[00:15:46.736 --> 00:15:48.477]  No, no, no, they're shooting them up with it.
[00:15:49.037 --> 00:15:51.319]  And then with it is a trace virus.
[00:15:52.439 --> 00:15:54.961]  HIV, which they're always claiming is changing.
[00:15:55.021 --> 00:15:58.804]  It's just a covered excuse for bioweapons operations that are going on.
[00:15:59.124 --> 00:16:02.786]  So it's a very sophisticated, very sophisticated topic.
[00:16:03.126 --> 00:16:03.387]  Yeah.
[00:16:03.727 --> 00:16:08.070]  Something about it expanded to like pneumonia, like all the STDs.
[00:16:08.090 --> 00:16:10.071]  I mean, it was like a huge, huge situation.
[00:16:10.111 --> 00:16:10.932]  That'd be an interesting one.
[00:16:10.992 --> 00:16:12.853]  It's just a general cover name.
[00:16:13.213 --> 00:16:17.076]  And then Big Pharma sells a bunch of drugs to people that are like chemo drugs that kill them.
[00:16:17.256 --> 00:16:20.847]  Yeah, AZT was actually like the number one causing killer for liver.
[00:16:20.987 --> 00:16:23.354]  Like, your liver would fail if you took AZT back in the 80s.
[00:16:23.755 --> 00:16:23.896]  Yeah.
[00:16:24.315 --> 00:16:25.996]  Anyways, sorry, side note.
[00:16:27.017 --> 00:16:31.580]  This is actually kind of a combination of questions, but it's along the same topic.
[00:16:31.640 --> 00:16:34.443]  It's from Blade Runner, an authoritarian hater.
[00:16:35.683 --> 00:16:40.387]  So, when I tell sheeple about aspartame and smart meters, they all look at me like I'm nuts.
[00:16:40.847 --> 00:16:44.970]  So, their answer to my aspartame warning is, yeah, right, I feel fine.
[00:16:44.990 --> 00:16:46.511]  I don't have rashes, headaches, etc.
[00:16:47.372 --> 00:16:48.292]  So how do I explain it?
[00:16:48.973 --> 00:16:50.033]  The same with the smart meters.
[00:16:50.053 --> 00:16:54.035]  They don't believe me, and they say so, and then they tell me to prove it.
[00:16:54.395 --> 00:16:59.278]  And it seems to me like they just want to contradict the idea that it's so out there.
[00:16:59.358 --> 00:16:59.758]  Sure, sure.
[00:16:59.778 --> 00:17:01.859]  They've been given hypnotic programming.
[00:17:02.259 --> 00:17:03.740]  This is on record through the television.
[00:17:03.980 --> 00:17:05.361]  They're in a near-dreamlike state.
[00:17:05.641 --> 00:17:09.563]  When you upset them out of their trance state, they get upset and say, prove it, prove it.
[00:17:09.863 --> 00:17:11.364]  And even if you prove it, they don't want to hear it.
[00:17:11.384 --> 00:17:11.864]  Right.
[00:17:11.964 --> 00:17:14.885]  I mean, it's admitted aspartame is causing all these medical problems.
[00:17:14.945 --> 00:17:15.606]  It's not debated.
[00:17:16.306 --> 00:17:18.049]  Back in the 80s when they approved it, they knew that.
[00:17:18.990 --> 00:17:24.558]  It's not debated there's a world government, but they'll still laugh at you and say it doesn't exist, even though it's in the newspapers.
[00:17:26.220 --> 00:17:28.203]  And people like that are just damaged goods.
[00:17:28.223 --> 00:17:29.905]  You gotta move on past them.
[00:17:31.027 --> 00:17:37.109]  Because they're so afraid at a subconscious level, and they've been so programmed, they're going to put up a defense.
[00:17:37.489 --> 00:17:40.390]  It's like an obsessive, compulsive thing.
[00:17:40.850 --> 00:17:45.472]  And a lot of them think you're showing off when you try to warn them, because they would never try to warn anybody.
[00:17:45.492 --> 00:17:49.233]  They've got such a low self-image that they don't care about warning others.
[00:17:49.653 --> 00:17:52.494]  So they think you're showing off to them, and like they're pathetic.
[00:17:53.394 --> 00:17:58.596]  And it's also a childlike delusionalism, where they think if they deny something magically it goes away.
[00:17:59.269 --> 00:18:05.191]  So there's a lot of psychological things, and they are sad little victims, that we gotta triage them.
[00:18:05.251 --> 00:18:09.952]  We try to warn them, don't feel bad when they attack you, move on to the next zombie.
[00:18:10.012 --> 00:18:14.393]  Some zombies have not succumbed to the full zombie-osis yet, okay?
[00:18:14.794 --> 00:18:18.275]  And so you just have to move on from that person to the next person.
[00:18:18.695 --> 00:18:20.775]  Okay, this one I can't help, I've gotta move on.
[00:18:20.795 --> 00:18:21.415]  That's awesome.
[00:18:21.756 --> 00:18:23.096]  Yeah, keep moving forward, I like that.
[00:18:23.888 --> 00:18:30.512]  But it's not just zombies, and there's vampire control agents, to use a popular term, who are like into the evil.
[00:18:30.532 --> 00:18:32.913]  They know something's going on, like moths to flame.
[00:18:32.933 --> 00:18:36.215]  They want to serve it like Renfield, as if they're going to get out of it by doing that.
[00:18:36.515 --> 00:18:37.675]  And they know they can manipulate.
[00:18:37.696 --> 00:18:38.836]  They know the public's asleep.
[00:18:39.236 --> 00:18:47.481]  And they're swimming around like a vampire eel around the unconscious person, going, don't wake him up, like a little bulldog swimming around him.
[00:18:48.661 --> 00:18:54.562]  Loving the fact that they're on, and they can program them, getting off on the power that they have a sleeping person they can manipulate.
[00:18:55.202 --> 00:18:55.882]  You understand that?
[00:18:55.902 --> 00:18:58.063]  So many sci-fi movies just popped into my head right now.
[00:18:58.083 --> 00:19:08.245]  Well, I mean, there's so many levels to this, but there's a lot of yuppies and people that are into the, like, oh, I can make money and be powerful in the system, but, but they're, they're asleep at another level as well.
[00:19:08.565 --> 00:19:12.525]  It's only master, you know, social engineer level that has the whole image in their mind.
