[00:00:00.577 --> 00:00:00.983]  Network.
[00:03:23.964 --> 00:03:26.846]  One was overheard saying, according to Tucker's report.
[00:03:27.527 --> 00:03:32.231]  So, and he's got some great sources inside trilateral, not just Bilderberg, because they're one and the same.
[00:03:33.032 --> 00:03:36.715]  And we're going to be breaking that down more here, obviously.
[00:03:37.076 --> 00:03:38.597]  Also, the really important news.
[00:03:39.778 --> 00:03:43.621]  I mean, much more important than a giant regional war and things like that.
[00:03:43.961 --> 00:03:50.627]  TSA calls bomb specialist on a wheelchair-bound 12-year-old girl with bone disorder.
[00:03:50.667 --> 00:03:51.287]  She cries.
[00:03:51.307 --> 00:03:53.329]  His mommy is told she can't help her.
[00:03:54.050 --> 00:03:55.731]  But that is an important story.
[00:03:56.512 --> 00:04:04.078]  What is really, though, a lot more important than even that is Justin Bieber kidnap plot gang wanted $2,500 per testicle.
[00:04:08.621 --> 00:04:13.144]  Per testicle, if you can even believe any of that.
[00:04:13.584 --> 00:04:16.926]  So that's the really important top story in the United States today.
[00:04:17.827 --> 00:04:23.650]  We will have coming up a special report we've worked on for several weeks off and on.
[00:04:23.670 --> 00:04:29.234]  Aaron is in there as usual putting the finishing touches on it.
[00:04:29.634 --> 00:04:36.618]  So it should be right about the second or third hour today on the fact that 2012 is a grand hoax.
[00:04:36.718 --> 00:04:37.699]  That is coming up.
[00:04:38.792 --> 00:04:42.733]  And we'll get into implementation of Obamacare now beginning.
[00:04:43.633 --> 00:04:47.895]  Bloomberg reporting a doubling in the average premium you'll be paying monthly.
[00:04:48.855 --> 00:04:50.015]  Oh, free health care.
[00:04:50.035 --> 00:04:50.575]  How you liking it?
[00:04:53.196 --> 00:04:57.938]  And now you people that were getting free health care through the state, you're not going to get any of it now.
[00:04:57.998 --> 00:04:58.878]  Hope you enjoy yourselves.
[00:05:01.704 --> 00:05:10.649]  If you've ever wanted to be able to produce boiling hot water anytime, anywhere, with absolutely no power whatsoever, then this is going to be the most important message you'll ever hear.
[00:05:10.709 --> 00:05:11.370]  Here's why.
[00:05:11.390 --> 00:05:17.533]  There's a brand new self-reliance product available that makes producing piping hot water in any emergency fast and easy.
[00:05:17.673 --> 00:05:20.515]  Introducing the Hot Water Rocket from Solutions from Science.
[00:05:20.555 --> 00:05:25.618]  The Hot Water Rocket is lightweight, extremely durable, and generates boiling hot water using only the sun.
[00:05:25.998 --> 00:05:26.698]  We're good to go!
[00:05:55.998 --> 00:05:59.703]  For piping hot water whenever you need it, go to hotwaterrocket.com.
[00:05:59.723 --> 00:06:01.325]  That's hotwaterrocket.com.
[00:06:02.387 --> 00:06:08.235]  Now that we have moved into the winter season, there is an increased need to support our immunity and health.
[00:06:09.136 --> 00:06:15.040]  At Silver Lungs, we are committed to meeting your needs by providing a full selection of silver-based products.
[00:06:15.900 --> 00:06:25.967]  Our most popular silver-based products are the 32-ounce Nano-Silver solutions, our 2-ounce Nano-Silver nasal applicators, as well as our all-natural silver soaps.
[00:06:26.847 --> 00:06:30.149]  Just released is our 100% natural silver gel.
[00:06:30.990 --> 00:06:37.174]  Our new silver gel is not based on synthetic gelling agents, which quickly evaporate and leave the silver at the surface.
[00:06:37.894 --> 00:06:48.325]  But rather we have formulated our silver gel using the natural skin nourishing chemistry of aloe vera to quickly penetrate and nourish the skin while delivering the silver more effectively.
[00:06:49.166 --> 00:06:56.894]  Visit www.silverlungs.com and click on our store page to find what silver based products are best for you.
[00:06:57.935 --> 00:07:00.858]  That's www.silverlungs.com
[00:07:02.409 --> 00:07:11.991]  You prepare by purchasing gold, food, and firearms, but if you don't have a home security system, then you're missing a critical weapon in your arsenal for home protection.
[00:07:12.371 --> 00:07:15.652]  When you're sleeping, who's watching out for intruders and spooks?
[00:07:16.352 --> 00:07:17.452]  Check out SimpliSafe.
[00:07:17.733 --> 00:07:21.613]  It's a new do-it-yourself home security system that is completely wireless.
[00:07:21.953 --> 00:07:23.914]  Go to GetSimpliSafe.com.
[00:07:24.194 --> 00:07:26.795]  SimpliSafe is independent and off the grid.
[00:07:27.075 --> 00:07:28.375]  It runs on battery power.
[00:07:28.655 --> 00:07:31.339]  So even if the grid goes down, you're protected.
[00:07:31.779 --> 00:07:38.348]  It's completely customizable, so you can use it in your home, business, boat, trailer, storage unit, or shed.
[00:07:38.729 --> 00:07:46.219]  SimpliSafe is also ridiculously easy to install yourself in under 20 minutes, so there's no need to let a stranger into your home.
[00:07:46.719 --> 00:07:50.741]  If you move or need to relocate, you can take this system with you wherever you go.
[00:07:51.161 --> 00:07:56.363]  SimpliSafe will stand guard protecting your property 24 hours a day, 7 days a week.
[00:07:56.743 --> 00:07:58.564]  Go to GetSimpliSafe.com.
[00:07:58.824 --> 00:08:00.705]  That's GetSimpliSafe.com.
[00:08:00.725 --> 00:08:06.407]  We are on the march.
[00:08:06.507 --> 00:08:10.809]  The empire is on the run.
[00:08:11.549 --> 00:08:15.471]  Alex Jones and the GCN Radio Network.
[00:08:23.332 --> 00:08:27.732]  It is Friday, the 14th day of December 2012.
[00:08:28.913 --> 00:08:30.633]  I am your host, Alex Jones.
[00:08:32.433 --> 00:08:40.415]  And we are joined by a special guest coming up in the second hour today.
[00:08:45.596 --> 00:08:48.016]  And we are going to be looking
[00:08:49.645 --> 00:08:57.389]  at the different operations that the globalists plan to run against this country.
[00:08:57.489 --> 00:09:10.335]  But make no mistake, this nation is in a process of being re-educated and being collectivized.
[00:09:11.727 --> 00:09:19.928]  NAFTA and GATT and Homeland Security and NORTHCOM and the FEMA regions and the federalization of the government training camps.
[00:09:21.249 --> 00:09:21.629]  Everything.
[00:09:21.969 --> 00:09:28.630]  The psychological brainwashing, drugging corps, the psych warfare systems of the television.
[00:09:30.170 --> 00:09:32.091]  It's all pointed at you and your family.
[00:09:33.031 --> 00:09:35.751]  And it's all meant to wreck civilization and society.
[00:09:36.611 --> 00:09:40.292]  So that a eugenics population reduction can be carried out openly.
[00:09:41.749 --> 00:09:50.274]  And we've seen the ambient background of the soft kill weaponry turned up against us, and now the acceleration of that intensifying.
[00:09:50.314 --> 00:09:53.916]  But here is the good news that I want to get across to everybody today.
[00:09:57.238 --> 00:10:08.465]  By taking the red pill, and just looking at what is admitted, and facing those facts, we have a chance, we have a good shot of turning this around.
[00:10:08.505 --> 00:10:10.066]  Because there is not just the evil
[00:10:12.566 --> 00:10:24.598]  Million mile long historical undead snake of tyranny that is slithering forward, but there's also other paths in human development.
[00:10:25.940 --> 00:10:29.023]  In fact, I wrote some notes on this subject this morning when I was reflective.
[00:10:30.660 --> 00:10:33.981]  There are competing forces, is the best way to say it.
[00:10:34.061 --> 00:10:43.583]  There are competing forces in this world, and I will say that I have taken the red pill to quite an extent.
[00:10:43.643 --> 00:10:51.145]  You know, you think you are enlightened, you think you're informed, then you just learn even more, and the rabbit hole goes that much deeper.
[00:10:52.325 --> 00:10:58.447]  And it is extremely sobering, and also extremely
[00:11:00.572 --> 00:11:02.133]  Painful isn't even the word.
[00:11:02.153 --> 00:11:15.563]  I am now experiencing thought processes and understandings that are giving me emotions that I've never felt before.
[00:11:18.605 --> 00:11:25.870]  And the reason I talk about myself in this context is that we need to look through that lens so that you can examine yourself and
[00:11:28.300 --> 00:11:35.748]  Really have it hit home that, wow, man, we've really been accurate.
[00:11:35.808 --> 00:11:49.743]  We've really assessed who the globalists are, and the fact that no matter how radical and wild I sound, the reality of what the establishment is doing is so much worse.
[00:11:57.850 --> 00:12:22.197]  The closest this feeling that is more and more dominating me, the closest I can describe it, is that a few times I've been really hurt bad, out in the middle of nowhere, and a limb is broken, or a finger's chopped off, or you're helping friends that are mangled.
[00:12:28.004 --> 00:12:41.991]  Is that cold, focused understanding of, we've got to do something about this, we've got to just hold it together and stay focused and there's going to be light at the end of the tunnel.
[00:12:43.192 --> 00:12:49.295]  And if you have that understanding, because that's the beginning of the feeling, not just the feeling, the mindset,
[00:12:50.600 --> 00:12:52.321]  A horizon to horizon view.
[00:12:53.141 --> 00:12:56.823]  Then you see the general public and you can't even laugh at them anymore.
[00:12:57.183 --> 00:13:04.267]  You can't even have a subconscious feeling of elitism because, you know, they're so pathetic and, well, you know what's going on.
[00:13:05.248 --> 00:13:18.675]  It's far deeper than that because you realize that you're connected to these people and that there's a feedback loop from them that you live around them and your children are going to grow up with them.
[00:13:20.051 --> 00:13:22.332]  And that their children are going to grow up around them.
[00:13:23.132 --> 00:13:49.105]  And that when the establishment, the social engineers, are hurting humanity and dumbing humanity down so they're more easily managed and so no new power structures develop that might challenge the current power structure, you see that the evil the globalists are engaged in against humanity
[00:13:50.439 --> 00:14:06.687]  is blowing back on them, and then that becomes a feedback loop, and the evil just intensifies and intensifies, and that these globalists think they're getting ahead in the game because they're cheating.
[00:14:07.408 --> 00:14:17.173]  They're studying human psychology, they're studying how their species works, and then lying to themselves and saying they're a different species, and that's what they say in their own literature,
[00:14:17.893 --> 00:14:24.596]  And they're all cold-blooded, and they are scientifically carrying out this operation.
[00:14:24.656 --> 00:14:41.525]  But the truth is, when you study the top globalist technocrats themselves, they're egomaniacs on power trips who love the raw exercise of power, but who coldly do it on the surface and try to impress each other about how cold they are.
[00:14:42.345 --> 00:14:43.986]  When the truth is, they're not cold at all.
[00:14:46.954 --> 00:14:59.080]  Because if you really get past ego and pull back and coldly and scientifically look at this, our species really has some beautiful attributes to it.
[00:15:02.561 --> 00:15:05.363]  Some beautiful facets to it and some great potential.
[00:15:06.003 --> 00:15:11.125]  We can reach for the stars or we can fall into absolute bedlam and hell on earth.
[00:15:12.466 --> 00:15:14.447]  And just to realize that
[00:15:16.468 --> 00:15:19.709]  The ugliness and the fall of our species has just begun.
[00:15:21.310 --> 00:15:28.512]  And to come to the realization that for the majority of people, they're already gone.
[00:15:29.832 --> 00:15:32.073]  From birth, they were programmed by television.
[00:15:33.494 --> 00:15:39.996]  From birth, they were brought up to be shallow, insecure, vain, empty husk.
[00:15:44.341 --> 00:15:50.003]  And to see how pathetic and sad they are is a reflection of the fact that I'm pathetic and weak.
[00:15:52.924 --> 00:15:55.725]  And it is a horror story to sit there and look at it.
[00:15:56.305 --> 00:16:10.129]  Because when I look at the innocence of my children and their creativity and their poetry and their purity, and then I know that this world is already poisoning them and already hurting them,
[00:16:11.618 --> 00:16:21.523]  And then I know that humans tend to slouch towards destruction and ugliness without a focused force trying to amplify that.
[00:16:21.883 --> 00:16:32.588]  And to know the system is trying to hurt beauty and goodness and wholesomeness is such a vomitous paradox.
[00:16:33.248 --> 00:16:40.872]  Because the evil is bad enough, but then when you see all the good and the potential of humanity set next to it,
[00:16:42.441 --> 00:16:52.367]  And you no longer even have hatred of evil, but a recoiling disgust of it, the evil in myself that I can't eradicate.
[00:16:56.369 --> 00:17:01.132]  And then I want to forge a system to defeat the globalists.
[00:17:01.252 --> 00:17:04.774]  I want to be able to build something to resist them.
[00:17:08.049 --> 00:17:18.534]  But then I've got to be in the world and work within the world to even be able to operate and that itself is corrupting.
[00:17:23.777 --> 00:17:27.799]  I look at the general public now and they're like children.
[00:17:28.720 --> 00:17:31.821]  Little, spoiled, arrogant, but really scared children.
[00:17:32.942 --> 00:17:34.002]  And it's just torture.
[00:17:34.142 --> 00:17:36.784]  I mean, once you figure out globalist manipulations,
[00:17:38.047 --> 00:17:52.943]  I can read a book put out by The Globalist to promote something they're doing, and before I turn the page, I know what it's going to say, because I've heard them say it a thousand times, a hundred different ways.
[00:17:55.325 --> 00:18:00.491]  And you're like, oh, I'm going to turn the page, and I know exactly what they're going to say.
[00:18:02.665 --> 00:18:09.489]  And then I'm going to turn the next page and I know, not the plot, that's easy to guess, I know what they're going to impart.
[00:18:14.573 --> 00:18:17.515]  You know, there's a lot of news here that needs to be gone over.
[00:18:17.615 --> 00:18:21.938]  And listen, I'm not trying to be negative here.
[00:18:22.578 --> 00:18:28.622]  What I'm trying to do is to really get over to people that Nazi Germany was a nightmare.
[00:18:31.604 --> 00:18:33.445]  The Soviet system was a nightmare.
[00:18:35.327 --> 00:18:37.829]  The Communist Chinese system was and is a nightmare.
[00:18:38.950 --> 00:18:48.136]  And the world is plunging back into something like that, but mixed with all sorts of nightmare high-tech systems.
[00:18:49.337 --> 00:18:58.184]  And when you really come to grips with the fact that world government and this system is shut up, so that
[00:19:00.347 --> 00:19:14.919]  Really wicked, abusive people can hurt beautiful people and burn things and kill people and mutate the environment and mutate the genetics of the world's biosphere.
[00:19:18.842 --> 00:19:26.788]  It's just off the chart that it's all real and that we've been right and it's the sickening realization
[00:19:29.887 --> 00:19:31.369]  It's the sickening realization.
[00:19:33.152 --> 00:19:42.226]  And to know how it's all gonna unfold, to see where it leads, to know where it goes, is so sad.
[00:19:45.849 --> 00:20:00.215]  And to wish that I could reach all these children, these adults, these childlike, scared little shallow people who have such great potential, but who have been ruined from birth with programming.
[00:20:03.294 --> 00:20:08.079]  We have witnessed two terrible storms in the East, but we are still in the eye of the perfect storm.
[00:20:08.780 --> 00:20:11.543]  The most devastating economic condition since the Great Depression.
[00:20:11.963 --> 00:20:14.286]  America's worst drought in agricultural history.
[00:20:14.746 --> 00:20:17.249]  And now the economic results of the presidential election.
[00:20:17.690 --> 00:20:20.653]  This perfect storm is a huge threat to everyone's food supply.
[00:20:21.133 --> 00:20:25.698]  I just doubled down and got even more supplies from eFoods Direct, and I recommend you do the same.
[00:20:26.259 --> 00:20:28.381]  It's time to get your own supply from eFoods Direct.
[00:20:28.882 --> 00:20:31.885]  I know I won't be standing in a bread line trading my freedom for food.
[00:20:32.466 --> 00:20:36.190]  I'm taking control of my future, and you're nuts if you don't do the same.
[00:20:36.670 --> 00:20:39.754]  Go to eFoodsDirect.com forward slash Alex to find the specials.
[00:20:40.034 --> 00:20:43.595]  And you can start with a holiday gift pack that's normally $80, now under $50.
[00:20:44.355 --> 00:20:47.476]  Remember, I can warn you, but I can't feed you.
[00:20:47.496 --> 00:20:51.698]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:20:52.198 --> 00:20:55.259]  Would you rather prepare six months too early or one day too late?
[00:20:55.279 --> 00:20:56.839]  409-5633 or efoodsdirect.com forward slash Alex.
[00:21:02.301 --> 00:21:05.162]  What looks good under your Christmas tree and tastes even better?
[00:21:05.462 --> 00:21:06.722]  Big Berkey Water Filters!
[00:21:07.023 --> 00:21:08.643]  Yes, the gift of clean water.
[00:21:08.983 --> 00:21:13.185]  A gift that provides a great foundation for achieving good health in the lives of your loved ones.
[00:21:13.665 --> 00:21:17.266]  A Big Berkey Water Filter gives them protection from bacteria, heavy metals,
[00:21:17.546 --> 00:21:21.048]  Chlorine, fluoride, pesticides and herbicides, VOCs and more.
[00:21:21.308 --> 00:21:26.631]  And best of all, a big Berkey water filter is a gift that lasts for many years with no additional investment.
[00:21:26.892 --> 00:21:30.614]  And that saves time and money in filter replacements that other water filters require.
[00:21:30.934 --> 00:21:35.977]  And are even powerful enough to purify treated, untreated or even stagnant pond water.
[00:21:36.357 --> 00:21:42.722]  As always, all orders over $50 are shipped free, and GCN listeners get 5% off all ceramic filter systems.
[00:21:43.062 --> 00:21:50.448]  Order online at BigBerkeyWaterFilters.com, spelled B-E-R-K-E-Y, waterfilters.com.
[00:21:50.808 --> 00:21:53.390]  Or call 877-99-BERKEY.
[00:21:53.690 --> 00:21:57.253]  That's 877-99-BER-K-E-Y.
[00:21:57.633 --> 00:21:58.814]  Gift well this Christmas.
[00:21:59.035 --> 00:22:00.476]  Give a Big Berkey Water Filter!
[00:22:00.976 --> 00:22:06.957]  HempUSA.org has a newly designed website and a new and improved detoxification product.
[00:22:07.157 --> 00:22:16.000]  Order our new Micro-Plant Powder Gold loaded with vitamins, minerals, iodine and probiotics and we'll send you our travel size Micro-Plant Powder absolutely free.
[00:22:16.240 --> 00:22:18.900]  Micro-Plant Powder only at HempUSA.org.
[00:22:19.000 --> 00:22:19.300]  Call 908-691-2608.
[00:22:19.340 --> 00:22:20.021]  That's 908-691-2608.
[00:22:20.121 --> 00:22:22.921]  And see what our powders, seeds and oil can do for you.
[00:22:23.021 --> 00:22:23.841]  Only at HempUSA.org.
[00:22:30.703 --> 00:22:31.764]  Hi, this is Ted Anderson.
[00:22:31.944 --> 00:22:36.327]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[00:22:36.507 --> 00:22:42.211]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[00:22:42.311 --> 00:22:45.733]  Gold has outperformed paper investments, yet no word about IRAs.
[00:22:45.953 --> 00:22:48.535]  If you would like to have gold for your retirement, call 800-686-2237.
[00:22:48.655 --> 00:22:53.598]  Don't get left behind by rising inflation and low returns.
[00:22:53.738 --> 00:22:53.959]  Call 800-686-2237.
[00:22:53.979 --> 00:22:55.380]  Secure your future and call 1-800-686-2237.
[00:23:01.147 --> 00:23:04.526]  This is a high Christmas priority for the survivalist on your gift list.
[00:23:05.854 --> 00:23:12.299]  For a very limited time, MyPatriotSupply.com is offering 30% off a special Christmas preparedness package.
[00:23:12.579 --> 00:23:13.680]  Now through today only.
[00:23:14.020 --> 00:23:33.054]  Stuff a stocking with a preparedness package that includes a 72-hour, 16-serving food kit, an emergency quick stove with four fuel discs, plus a five-pack of replacement fuel discs, two LifeStraw personal water filters, one magnesium fire starter, a four-pack of waterproof matches, and a $25 gift certificate to MyPatriotSupply.com.
[00:23:33.334 --> 00:23:36.295]  Regularly over $140, but now only $99.
[00:23:37.496 --> 00:23:38.816]  With free shipping to the lower 48.
[00:23:38.956 --> 00:23:41.737]  Only from MyPatriotsSupply.com.
[00:23:42.017 --> 00:23:43.178]  And only through today.
[00:23:43.498 --> 00:23:46.019]  Hurry to MyPatriotsSupply.com or call 866-229-0927.
[00:23:46.079 --> 00:23:46.259]  That's 866-229-0927.
[00:23:46.299 --> 00:23:48.640]  Before it's time to survive, it's time to prepare.
[00:23:48.660 --> 00:23:50.581]  Merry Christmas from MyPatriotsSupply.com.
[00:24:09.796 --> 00:24:24.019]  Coming up, I'm going to talk about Divide and Conquer and how the media is going into overdrive right now to create racial division.
[00:24:26.240 --> 00:24:31.921]  And the new Quentin Tarantino movie that is the most pernicious use of the N-word ever.
[00:24:34.181 --> 00:24:37.645]  And how the system ties all that in together for control.
[00:24:37.685 --> 00:24:42.031]  I want to really describe what the term racism stands for.
[00:24:42.051 --> 00:24:45.695]  And then we are also going to...
[00:24:49.229 --> 00:24:53.691]  Get into some of the latest abuses by the TSA.
[00:24:53.711 --> 00:24:57.193]  You know, sometimes I wouldn't even call it getting depressed.
[00:24:57.413 --> 00:24:59.154]  Sometimes I do get down, though.
[00:25:00.055 --> 00:25:07.298]  Because I'm supposed to just go on and go watch the Nutcracker, you know, with the family.
[00:25:07.318 --> 00:25:11.481]  And I'm supposed to, you know, go fishing with the kids.
[00:25:12.561 --> 00:25:22.629]  And I'm supposed to, and I want to, just go on about my business on the radio and make some jokes sometimes and have some fun, because that's what I do as a real person.
[00:25:26.212 --> 00:25:35.820]  But, meanwhile, meanwhile, Obama continues to have torture sites all over the world.
[00:25:37.421 --> 00:25:38.702]  And he's been caught doing it.
[00:25:40.778 --> 00:25:46.463]  And it's admitted that they grab innocent people and then rape them.
[00:25:47.624 --> 00:25:52.788]  Because that's what the people that work at the CIA and interrogation like to do.
[00:25:54.410 --> 00:25:56.652]  And the torture is illegal, so is the raping.
[00:25:57.312 --> 00:25:59.474]  They just do it and nobody gets in trouble.
[00:26:00.475 --> 00:26:07.721]  And the police taser people to make them answer questions when the Fifth Amendment clearly states you can't be compelled to talk.
[00:26:09.332 --> 00:26:24.542]  And they are announcing the, quote, smart meters going in everywhere, increasing power bills on people, sometimes threefold, and tracking everything you do in your house wirelessly.
[00:26:24.562 --> 00:26:29.705]  And the government controlling what the temperature in your home is?
[00:26:29.765 --> 00:26:30.845]  I mean, that's beyond
[00:26:32.850 --> 00:26:35.093]  1984, along with the televisions.
[00:26:35.153 --> 00:26:43.423]  In fact, there's an InfoWars.com article out today about Samsung TVs can be hacked.
[00:26:45.720 --> 00:26:51.405]  Samsung televisions can, quote, be hacked and can listen and watch you.
[00:26:51.925 --> 00:26:53.386]  Well, of course they can be hacked.
[00:26:53.786 --> 00:27:03.034]  They're designed with a back door under global technology regulations to watch and track everything you do.
[00:27:03.474 --> 00:27:04.295]  There's the headline.
[00:27:04.495 --> 00:27:06.116]  Samsung TVs can be hacked.
[00:27:07.617 --> 00:27:08.678]  The spy on viewers.
[00:27:08.738 --> 00:27:12.882]  Security firm exposes dangers of so-called smart products.
[00:27:13.939 --> 00:27:21.583]  You know, when I hear the term smart, it'd be like saying, hey, cancer's no longer a problem, we call it smart.
[00:27:23.263 --> 00:27:28.986]  It's like calling the Patriot Act patriotic, or a government program to drug half the school kids, New Freedom Initiative.
[00:27:31.307 --> 00:27:33.668]  Would Hitler be an okay guy if we just called him smart?
[00:27:34.649 --> 00:27:35.969]  Or gonorrhea wouldn't be a problem.
[00:27:36.009 --> 00:27:36.770]  Hey, it's smart!
[00:27:38.086 --> 00:27:40.227]  You know, when you hear something smart, you better run the other way.
[00:27:40.327 --> 00:27:46.070]  Smart growth means the globalists come in and decide you can't use your property, so their property doubles in value.
[00:27:46.851 --> 00:27:47.631]  Means slavery.
[00:27:48.151 --> 00:27:49.392]  Smart means slavery.
[00:27:49.972 --> 00:27:51.513]  When the globalists attach it to something.
[00:27:51.533 --> 00:27:53.594]  It means it's surveilling you.
[00:27:53.674 --> 00:28:02.219]  It means it's a drone sitting in your house, watching you, recording you, and the entire architecture
[00:28:03.556 --> 00:28:14.410]  of the entire global system was premeditatedly designed 40 years ago when DARPA developed all this to be a control system.
[00:28:14.830 --> 00:28:16.833]  And you know, we need to be upset about that.
[00:28:19.366 --> 00:28:29.055]  We need to be upset about the fact that Obama said he was against the NDAA when his people wrote it, and then he said he wouldn't sign it so there wouldn't be opposition to it, and then he did sign it.
[00:28:29.495 --> 00:28:37.903]  Kind of like he said he was going to legalize marijuana when the states legalized it, and then he tripled the number of raids in states like California.
[00:28:37.983 --> 00:28:38.924]  That's been in the LA Times.
[00:28:39.304 --> 00:28:44.088]  Well, now he's talking to ABC News, and he says, we've got bigger fish to fry.
[00:28:45.049 --> 00:28:51.431]  He went on to say, it's not our top priority going after recreational users in states that have determined that it's legal.
[00:28:54.291 --> 00:28:55.832]  In 18 states where it's been made legal.
[00:28:56.272 --> 00:28:58.913]  But see, they're actually still doing all the raids.
[00:29:01.393 --> 00:29:03.634]  So the answer, he says, it's not states' rights.
[00:29:03.674 --> 00:29:04.034]  No, no.
[00:29:04.654 --> 00:29:05.774]  I got bigger fish to fry.
[00:29:06.134 --> 00:29:08.075]  Yeah, you got bigger fish to fry, Bubba.
[00:29:08.996 --> 00:29:19.303]  Like the announcements by the top insurance companies this last week, and I covered it yesterday out of Bloomberg and AP, of the average premium on insurance doubling.
[00:29:20.524 --> 00:29:23.126]  They've already gone up over 20% just in anticipation.
[00:29:23.991 --> 00:29:29.053]  Now doubling, which is designed to bankrupt healthcare and bankrupt the American people.
[00:29:29.373 --> 00:29:36.816]  This is the forced collectivization, as the globalists have done in every other country, of one-seventh of our economy.
[00:29:37.216 --> 00:29:46.040]  And now the healthcare's government-run to take away your care, but then also force vaccines on you, and they're now announcing all that.
[00:29:46.460 --> 00:29:49.121]  See, we've got to get upset and get out of our coma
[00:29:50.196 --> 00:29:51.157]  We'll talk about it when we come back.
[00:29:51.197 --> 00:29:52.038]  We're on the march.
[00:29:52.559 --> 00:29:54.141]  The Empire's on the run.
[00:29:55.083 --> 00:29:57.766]  Alex Jones and the GCN Radio Network.
[00:30:02.153 --> 00:30:11.078]  If you've ever wanted to be able to produce boiling hot water anytime, anywhere, with absolutely no power whatsoever, then this is going to be the most important message you'll ever hear.
[00:30:11.138 --> 00:30:11.798]  Here's why.
[00:30:11.818 --> 00:30:17.962]  There's a brand new self-reliance product available that makes producing piping hot water in any emergency fast and easy.
[00:30:18.102 --> 00:30:20.943]  Introducing the Hot Water Rocket from Solutions from Science.
[00:30:20.983 --> 00:30:26.046]  The Hot Water Rocket is lightweight, extremely durable, and generates boiling hot water using only the sun.
[00:30:26.186 --> 00:30:27.987]  Simply add water and place outside.
[00:30:28.027 --> 00:30:38.731]  Whether you're in the aftermath of a hurricane and have lost your power, hunting in a remote area, or hiking on one of your favorite trails, the Hot Water Rocket will be one of the most important pieces of survival equipment you'll ever own.
[00:30:38.871 --> 00:30:48.015]  Order now, and you'll also receive our two hard-hitting reports, Peak Water, why clean water could soon be as valuable as oil, and 77 items that disappear from store shelves in a crisis.
[00:30:48.095 --> 00:30:48.576]  A $50 value-free
[00:30:49.676 --> 00:30:50.537]  You're free with your order.
[00:30:50.577 --> 00:30:56.361]  The Hot Water Rocket makes an ideal Christmas present and is now cyber-priced at one half off while supplies last.
