[00:00:21.573 --> 00:00:27.016]  Welcome to the Monday, January 30th, 2012 edition of the InfoWars Nightly News.
[00:02:28.803 --> 00:02:38.089]  Meanwhile, former Federal Reserve boss Herman Cain is putting his weight behind Newt Gingrich, trying to draw in Tea Party supporters to go for the Gingrich.
[00:02:38.649 --> 00:02:41.450]  I guess one womanizer endorses another.
[00:02:41.891 --> 00:02:43.752]  One had to drop out of the race for his scandal.
[00:02:43.792 --> 00:02:50.535]  Somehow, when Gingrich's ex-wife goes on and makes all manner of accusations though, it only bolsters him in South Carolina?
[00:02:50.615 --> 00:02:51.775]  Does that make any sense to you?
[00:02:51.795 --> 00:02:52.776]  I don't know.
[00:02:53.116 --> 00:02:58.719]  But the Republican hijacked Tea Party, insert trademark here, is still referred to as libertarian.
[00:02:59.139 --> 00:03:04.503]  Even though it shills for a former Federal Reserve boss and now a globalist stooge named Newt Gingrich.
[00:03:29.059 --> 00:03:29.259]  I think?
[00:03:29.279 --> 00:03:29.459]  I think?
[00:03:57.608 --> 00:04:02.431]  Provocateurs into the war with Iran that we all know could be coming and we hope isn't.
[00:04:02.451 --> 00:04:13.899]  There's an interesting clip speculating on the USS Enterprise because it's been decommissioned, it's on its last run, it's out in the area, and could it be used for a false flag?
[00:04:13.919 --> 00:04:19.723]  You know, when the attack on Pearl Harbor happened, all the new ships were removed from the area,
[00:04:20.303 --> 00:04:29.366]  And FDR and his advisors, all those skull and bones people skulking around, they put in the old carrier and other old vehicles to take the hit.
[00:04:29.606 --> 00:04:38.430]  And there's the whole history with the USS Liberty being attacked, Israel's role in provocateur-ing that, trying to blame it on Egypt, Stoke a wider war there.
[00:04:38.470 --> 00:04:41.511]  You've got the whole deception with the Gulf of Tonkin and a whole lot more.
[00:04:41.531 --> 00:04:42.311]  Let's play that clip now.
[00:04:44.264 --> 00:05:03.867]  With the collapse of the oil embargo to force Iran into a confrontation over the Straits of Hormuz, the US and Israel are looking for another way to get the long-sought war with Iran started, and more to the point, need to make it look like Iran is starting hostilities in order to make it politically and more difficult for Russia and China to support Iran.
[00:05:04.527 --> 00:05:04.728]  Now,
[00:05:05.268 --> 00:05:08.411]  Recall that Israel has a past history of attacking U.S.
[00:05:08.471 --> 00:05:10.792]  warships and framing others to trick the U.S.
[00:05:10.853 --> 00:05:19.019]  into attacks on Israel's enemies, with the Israeli attack on the USS Liberty, initially blamed on Egypt, as the most well-known example.
[00:05:19.800 --> 00:05:27.085]  See here we have the USS Enterprise, the oldest carrier in the fleet, on her last legs, scheduled to be decommissioned next year.
[00:05:27.105 --> 00:05:31.469]  Her name is well-known in part because of the Star Trek TV series,
[00:05:32.169 --> 00:05:36.413]  Decommissioning a nuclear aircraft carrier is a very expensive process.
[00:05:37.915 --> 00:05:42.759]  And that's a great clip speculating on what type of false flag they might use to start another war.
[00:05:43.140 --> 00:05:54.831]  We know they are looking at those options because we have the Brookings Institute policy paper, Which Path to Persia, where they discuss everything from another Velvet Revolution to a staged false flag attack to sanctions.
[00:05:55.231 --> 00:05:55.931]  We're good to go.
[00:06:17.899 --> 00:06:29.286]  The language seemingly targets the already prohibited armor-piercing ammunition, but would encompass any ammo that is deemed to, quote, pose a threat to the safety and well-being of law enforcement.
[00:06:29.806 --> 00:06:40.993]  MLN is reporting that the common hunting target, its self-defense ammunition, would be subject to ban, along with BBs, air gun pellets, and non-metallic ammunition like plastic airsoft pellets.
[00:06:41.013 --> 00:06:43.275]  And it is an end run around the Constitution.
[00:06:43.895 --> 00:06:58.920]  You know, New Jersey is de facto in the metro area of New York City, and you've got those big city areas, New York, Chicago, and others, who are in essence a Constitution Freedom Zone by default because of their gun bans in that area.
[00:06:59.260 --> 00:07:09.743]  You've got a prominent New Jersey mayor for Newark, that's Cory Booker, and he's been offering the rewards for illegal guns, $1,000 cash rewards.
[00:07:10.083 --> 00:07:13.164]  He's part of the Nationwide Mayors Against Gun Coalition.
[00:07:13.584 --> 00:07:16.666]  There's even renewed support as Gabrielle Giffords is stepping down
[00:07:31.235 --> 00:07:41.561]  A year or so after her attempted assassination to now pass those bans that Congresswoman Carolyn McCarthy wanted on high caliber ammunition clips.
[00:07:42.141 --> 00:07:49.946]  You've got the Brady Center meeting with President Obama where he vowed to sneak attack the Second Amendment, go after it, quote, under the radar.
[00:07:50.806 --> 00:07:52.847]  Was that involved with the whole Fast and Furious thing?
[00:07:52.867 --> 00:07:55.409]  We don't know, but just crazy attempts to outlaw
[00:07:56.750 --> 00:08:10.361]  Ammunition there in New Jersey and you see that back in 2008, a sister committee in New Jersey, the Judiciary Committee also tried to pass a sweeping gun legislation ban.
[00:08:10.802 --> 00:08:11.702]  It came out of committee.
[00:08:11.742 --> 00:08:13.204]  I don't believe it's passed into law.
[00:08:13.764 --> 00:08:16.927]  Now, also at the federal level, you've got drive-by scanning.
[00:08:17.027 --> 00:08:21.391]  Officials expand use and dose of radiation for security screening.
[00:08:21.411 --> 00:08:21.451]  U.S.
[00:08:22.292 --> 00:08:30.979]  law enforcement agencies are exposing people to radiation in more settings and in increasing doses to screen for explosive weapons and drugs.
[00:08:31.300 --> 00:08:32.841]  In addition to the controversial air
[00:08:32.841 --> 00:08:35.383]  Airport scanners now deployed for routine screening.
[00:08:35.763 --> 00:08:41.367]  Various x-ray devices have proliferated at the border and prisons and on the streets of New York.
[00:08:41.427 --> 00:08:50.674]  Now, we've reported on all this, but they're saying this is now even pushing the boundaries of acceptable x-raying because of all the covert x-raying going on.
[00:08:50.734 --> 00:08:51.615]  Why are they doing it?
[00:08:51.935 --> 00:08:53.056]  We know it's dangerous.
[00:08:53.096 --> 00:08:54.276]  They've done the studies.
[00:08:54.877 --> 00:09:01.662]  And that is exactly why Senator Susan Collins, who's on the Homeland Security Committee, is introducing a bill
[00:09:02.102 --> 00:09:05.103]  That would require a new health study of the x-ray body scanners.
[00:09:05.883 --> 00:09:15.845]  Now, I don't know if that's political tooling around, because they promise studies and then refuse to do them, and then, you know, not really fulfill their obligations on studying them.
[00:09:16.245 --> 00:09:18.125]  And it's a real danger to the workers.
[00:09:18.425 --> 00:09:26.566]  And they've had a study as old as 1998 showing that the kind of radiating machines they use at airports could be causing up to 100 deaths per year.
[00:09:27.207 --> 00:09:29.607]  You've got that Airport Workers Union and
[00:09:29.687 --> 00:09:37.330]  Boston, where a lot of people came down with cancer, and of course it's going to be affecting people, but still they insist it's there for our safety.
[00:09:37.910 --> 00:09:40.191]  The TSA has never caught one terrorist.
[00:09:40.772 --> 00:09:48.995]  They may have stood down while various other government agencies helped get patties and other false flag elements onto the planes, but they never stopped anyone.
[00:09:49.515 --> 00:09:51.036]  But it just keeps expanding, doesn't it?
[00:09:52.119 --> 00:09:57.407]  Now, I wanted to get into the whole Bill Gates report, but that's part of the larger eugenics paradigm.
[00:09:57.527 --> 00:09:58.649]  I've studied it in depth.
[00:09:58.729 --> 00:10:06.801]  I did another article over the weekend from The Onion, the humor paper that's so funny you'll laugh, you'll cry, and now you'll die.
[00:10:07.222 --> 00:10:13.546]  Because they say in this satirical article that at least 2 billion people must die to save the planet.
[00:10:14.006 --> 00:10:19.870]  And that of course mirrors directly the talking points of the top eugenicists and the top globalists.
[00:10:20.991 --> 00:10:24.473]  Just some of the quotes from there, saying there's no way around it at this point.
[00:10:24.493 --> 00:10:35.640]  A coalition of scientists announced Thursday that one-third of the world population must die to prevent wide-scale depletion of the planet's resources and humankind needs to figure out immediately
[00:10:35.680 --> 00:10:36.160]  We're good to go.
[00:10:56.338 --> 00:10:59.400]  And, you know, you can see it in the article, too, if you know what you're looking for.
[00:10:59.761 --> 00:11:05.044]  They say, in one part, that there's no avoiding the reality that half the world's progeny will have to be sterilized.
[00:11:05.445 --> 00:11:07.326]  That's the humor from the Onion article.
[00:11:08.307 --> 00:11:11.249]  You know, that parallels stuff like Dr. Eric Pianka's speech.
[00:11:11.829 --> 00:11:22.459]  Where he said, according to the transcript, in 2006, we need to sterilize everybody on the earth, the audience reportedly laughed, and make the antidote freely available to anyone who's willing to work for it.
[00:11:22.739 --> 00:11:28.164]  He even talks about estrogen plastic mimickers, plastic estrogen mimickers.
[00:11:28.844 --> 00:11:32.487]  They also talk about, in the Onion article, poisoning the world's water supply.
[00:11:33.268 --> 00:11:42.415]  You know, that thing John P. Holdren, the White House science advisor, wrote about in the 70s with the other eugenicist, Paul Ehrlich, where they talked about putting sterlets in the water.
[00:11:42.655 --> 00:11:53.824]  There's also the Planned Parenthood secret memo, where the vice president said, among other means to bring down the fertility, they should put a sterlet in the drinking water.
[00:11:54.825 --> 00:12:04.013]  And there's just so much more going on, and they make it trendy and funny-seeming that, quote, a ton of Africans have to die, and that, quote, all of India will have to be wiped out.
[00:12:04.033 --> 00:12:05.113]  Well, it's not funny.
[00:12:05.153 --> 00:12:09.917]  It's about as funny as Nazis shooting Jews at the edge of the pit.
[00:12:09.977 --> 00:12:11.719]  Why don't the onions do jokes on that?
[00:12:12.599 --> 00:12:21.727]  You know, it really just is an overall sidetracked thing from the real stuff going on, and you see that with the whole deal with Bill Gates.
[00:12:22.950 --> 00:12:30.294]  Bill Gates, of course, you've seen him in the clips saying that we need to bring down the population and vaccines are going to help us do it.
[00:12:30.334 --> 00:12:31.835]  In fact, I think we have that clip now.
[00:12:31.995 --> 00:12:36.678]  So let's look at each one of these and see how we can get this down to zero.
[00:12:37.499 --> 00:12:40.441]  Probably one of these numbers is going to have to get pretty near to zero.
[00:12:41.451 --> 00:12:45.235]  Now that's back from high school algebra, but let's take a look.
[00:12:46.296 --> 00:12:47.758]  First we've got population.
[00:12:48.539 --> 00:12:50.802]  The world today has 6.8 billion people.
[00:12:51.262 --> 00:12:52.884]  That's headed up to about 9 billion.
[00:12:53.485 --> 00:13:01.854]  Now if we do a really great job on new vaccines, health care, reproductive health services, we could lower that by perhaps 10 or 15 percent.
[00:13:04.295 --> 00:13:13.157]  And you notice the audience laughing there, too, how funny it is to use vaccines to lower the population, all this carbon tax nonsense about global warming.
[00:13:13.477 --> 00:13:18.598]  Now, Bill Gates is not just the genius inventor who came up with Microsoft or the personal computer.
[00:13:19.038 --> 00:13:22.979]  His father worked with Planned Parenthood since the 50s.
[00:13:23.319 --> 00:13:26.439]  They're a very wealthy family, multi-generational dynasty.
[00:13:26.479 --> 00:13:30.240]  They're part of the eugenics overall scheme, as are many of the computer companies.
[00:13:30.620 --> 00:13:36.346]  Both the Hewlett and Packard component of Hewlett-Packard, both have foundations that donate heavily to eugenics.
[00:13:36.646 --> 00:13:39.589]  The Rockefeller Foundation, obviously, heavily involved.
[00:13:39.910 --> 00:13:47.117]  And here you see a nexus of Bill Gates and Rockefeller involved with the GAVI, the Global Alliance for Vaccines and Immunization.
[00:13:47.137 --> 00:13:48.779]  They're pushing that worldwide.
[00:13:49.139 --> 00:13:50.801]  They're both involved in AGRA.
[00:13:51.401 --> 00:13:52.542]  If we could pull that back up there.
[00:13:52.562 --> 00:13:53.923]  They're both involved in AGRA.
[00:13:54.503 --> 00:14:03.029]  That is the Growing Africa's Agriculture Alliance where essentially they're pushing GMOs and otherwise consolidating ownership of food crops.
[00:14:03.409 --> 00:14:13.916]  Bill Gates, we just covered how he's bought more than 500,000 shares in Monsanto more than a year and a half ago and really has the same what that company does, all the things
[00:14:14.236 --> 00:14:14.797]  I think so.
[00:14:29.394 --> 00:14:29.894]  Doomsday
[00:15:02.276 --> 00:15:05.098]  Buried on the third page, the struggle for daily bread.
[00:15:05.418 --> 00:15:10.761]  The Bill and Melinda Gates Foundation are now the world's principal private funder of agriculture research.
[00:15:11.341 --> 00:15:15.384]  And they not only advise on food policy, but increasingly fund it.
[00:15:15.784 --> 00:15:17.545]  You've also got the London Guardian.
[00:15:17.565 --> 00:15:22.969]  The Bill and Melinda Gates Foundation investments in Monsanto and Cargill have come under heavy criticism.
[00:15:23.829 --> 00:15:32.236]  But why don't we hear more about why GMOs are dangerous, why they're killing people, why they're destroying agriculture systems in India and Africa.
[00:15:32.736 --> 00:15:34.918]  Is there a media conspiracy going on?
[00:15:35.238 --> 00:15:38.120]  That's something we wanted to explore here because
[00:15:39.401 --> 00:15:43.324]  You've got Bill Gates with a relationship with ABC News.
[00:15:43.824 --> 00:15:48.908]  It's reported in the Huffington Post, Bill and Melinda Gates sponsoring ABC News health coverage.
[00:15:49.388 --> 00:15:54.512]  It's also reported in the New York Times, the Gates Foundation backs the ABC News project.
[00:15:54.852 --> 00:16:03.699]  The Gates Foundation is supplying $1.5 million and ABC is matching $4.5 million to travel the world and report on various health crises
[00:16:04.179 --> 00:16:10.986]  It suggests solutions, no doubt suggested in turn, from the Gates Foundation and their worldwide medical complex.
[00:16:11.286 --> 00:16:19.094]  Now they say, of course, there's no conflict of interest and they're only paying for, you know, things like dinners and organizations and plane trips, but...
[00:16:20.282 --> 00:16:21.383]  It really is influence.
[00:16:21.423 --> 00:16:24.166]  I mean, why don't lobbyists take out politicians to dinner?
[00:16:24.206 --> 00:16:25.648]  I think we know the reason why.
[00:16:25.668 --> 00:16:35.458]  And so you've got stuff that we recovered on Friday, like the ABC News article, Bill Gates using his money to save lives, fixing U.S.
[00:16:35.498 --> 00:16:40.243]  schools, reflecting on Steve Jobs, and it gets all into how he's going to save Africa.
[00:16:40.623 --> 00:16:40.923]  Thank you.
[00:17:00.106 --> 00:17:06.752]  Now it's good that they disclosed that at all, but really they've got most of their viewers in the dark on the relationship there.
[00:17:07.052 --> 00:17:19.062]  You've got other stuff, like this very article, where it discloses and criticizes the Gates Foundation for owning Monsanto shares, and it's sponsored by the Bill and Melinda Gates Foundation.
[00:17:20.618 --> 00:17:28.385]  And so this article here illustrates the Bill and Melinda Gates Foundation's criticism and their ties to Monsanto and Cargill.
[00:17:28.706 --> 00:17:35.712]  At the same time, the story is sponsored by Bill and Melinda Gates Foundation, as is this entire London Guardian blog.
[00:17:36.013 --> 00:17:37.174]  They have two different blogs.
[00:17:37.214 --> 00:17:41.338]  They sponsor the Global Development blog and the Poverty Matters blog.
[00:17:41.838 --> 00:17:44.401]  And while they talk about things like the
[00:17:44.821 --> 00:18:05.880]  The fact that food prices are going up and that there's food crises compromising the fight against world hunger, and they disclose the fact that the Bill and Melinda Gates Foundation are sponsoring these stories, the stories themselves do not get into the substance behind the facts of the way that mechanism works with the world's food industry.
[00:18:06.000 --> 00:18:09.223]  It's severe and significant and has very deep stuff.
[00:18:09.543 --> 00:18:11.105]  Even where they criticize them, they don't
[00:18:11.425 --> 00:18:12.106]  Yeah, I think so.
[00:18:27.188 --> 00:18:30.171]  But it's not just the London Guardian and ABC News.
[00:18:30.612 --> 00:18:33.315]  It's many, many, many other organizations.
[00:18:33.455 --> 00:18:42.445]  And I have another graphic here of the media-related grants from the Bill and Melinda Gates Foundation, as reported by the Seattle Times last year.
[00:18:43.226 --> 00:18:44.567]  There's at least 45 here.
[00:18:44.927 --> 00:18:46.527]  Many of them have multiple grants.
[00:18:46.567 --> 00:18:57.451]  Some of the big ones include BBC World News, All Africa, Columbia University, Johns Hopkins, National Public Radio, NPR is funded by the Bill and Melinda Gates Foundation.
[00:18:57.831 --> 00:19:08.175]  They have various medical paper writing organizations, lots of academic stuff, several organizations where they train members of the press and lead the press foundations.
[00:19:08.636 --> 00:19:12.237]  Other universities, the Aspen Institute, the World Health Organization,
[00:19:12.717 --> 00:19:21.402]  All of these are just grants they've given on media-related stuff, and the ABC and London Guardian's not even on this list, so we know there's going to be others that aren't here.
[00:19:22.062 --> 00:19:27.825]  Just to highlight the example of All Africa and BBC, All Africa's a pretty big website.
[00:19:27.865 --> 00:19:36.270]  I think it's probably the biggest consortium English-language website covering African news, and you tell me, are they critical of what
[00:19:36.610 --> 00:19:45.037]  The Bill and Melinda Gates Foundation, the Rockefeller Foundation, and the AGRA Alliance are doing in Africa to the farmers through this GMO partnership.
[00:19:46.058 --> 00:19:56.548]  Now what does it mean when Bill Gates owns weather control companies, a share in the Seed Vault, and then pushes these knowingly dangerous GMOs on the world?
[00:19:57.850 --> 00:20:02.995]  Now I wanted to go to a clip here where Bill Gates is criticizing Dr. Andrew Wakefield.
[00:20:03.336 --> 00:20:16.589]  We talked about a few weeks ago how he is now suing the journalist Brian Deer and the British Medical Journal for basically slandering him over his research study investigating the autism vaccine link.
[00:20:17.049 --> 00:20:20.934]  And of course he doesn't actually say there is a link there, he's just investigating it.
[00:20:21.275 --> 00:20:26.642]  And of course it should be investigated, we shouldn't stop investigating it regardless of what this one study shows.
[00:20:26.682 --> 00:20:32.269]  But let's go to the clip now where Bill Gates trashes him and says he has a conflict of interest.
[00:20:32.722 --> 00:20:36.283]  There's been a lot of scrutiny of vaccines recently, specifically childhood vaccines.
[00:20:36.303 --> 00:20:40.424]  There's been a lot of news about, is there a connection with autism, for example?
[00:20:41.104 --> 00:20:41.944]  What do you make of all that?
[00:20:41.984 --> 00:20:45.245]  Dr. Wakefield wrote a paper about this saying that he thought there was a connection.
[00:20:45.265 --> 00:20:46.205]  What are your thoughts?
[00:20:46.465 --> 00:20:50.766]  Well, Dr. Wakefield has been shown, used absolutely fraudulent data.
[00:20:51.166 --> 00:20:53.627]  He had a financial interest in some lawsuits.
[00:20:53.667 --> 00:20:55.267]  He created a fake paper.
[00:20:55.287 --> 00:20:56.648]  The journal allowed it to run.
[00:20:57.628 --> 00:21:01.229]  All the other studies were done, showed no connection whatsoever.
[00:21:02.512 --> 00:21:10.736]  So Bill Gates accuses Dr. Wakefield of using fraudulent data and of having financial interest in the study.
[00:21:11.116 --> 00:21:15.318]  But Bill and Melinda Gates Foundation fund people who write medical studies.
[00:21:16.058 --> 00:21:17.999]  They fund all kinds of things.
[00:21:18.099 --> 00:21:20.220]  They're the ones with the financial interest.
[00:21:20.800 --> 00:21:25.343]  Does he even know the term conflict of interest and how much his foundation has evolved in?
[00:21:25.683 --> 00:21:34.129]  It's the number one eugenics funding foundation in the entire world and there's more than a hundred foundations involved in various eugenics related programs.
[00:21:34.589 --> 00:21:35.470]  Now, meanwhile,
[00:21:37.602 --> 00:21:45.206]  The journalist who Dr. Wakefield is suing, who smeared his name, has ties to the British Medical Journal.
[00:21:45.787 --> 00:21:54.211]  And the Age of Autism blog says, should Science Betrayed, BBC producer, have disclosed his conflict of interest?
[00:21:54.711 --> 00:22:10.063]  They recycled the allegations of Brian Deere and the British Medical Journal against Andrew Wakefield, and one of the producers of the show, Alexandra Feacham, is the daughter of the leading professional beneficiary of the Bill and Melinda Gates Foundation, Sir Richard Feacham.
[00:22:10.703 --> 00:22:19.566]  Sir Richard in a letter to the British Medical Journal in 2009 in which he argued for public-private partnerships and global health and disclosed his relationship.
[00:22:19.786 --> 00:22:26.108]  And then the quote from the clip where Bill Gates says it is Wakefield with the conflict of interest.
[00:22:26.448 --> 00:22:27.328]  In another blog
[00:22:28.108 --> 00:22:32.229]  That is related to the age of autism, the Office of Medical and Scientific Justice.
[00:22:32.869 --> 00:22:39.291]  They point out how Brian Deer spoke at a French pharmaceutical conference just after attacking Wakefield.
[00:22:39.631 --> 00:22:49.653]  This week, journalist Brian Deer has been enjoying celebrity status at the luxury villa of Les Penisseries of the Fondation Meru on the banks of Lake Agency in the French Alps.
[00:22:50.113 --> 00:22:53.674]  All three MMR vaccine manufacturers were in attendance.
[00:22:54.714 --> 00:22:55.475]  We're good to go.
[00:23:12.817 --> 00:23:16.522]  In his series of British Medical Journal articles attacking Andrew Wakefield.
[00:23:16.902 --> 00:23:21.768]  So that's another thing to look at with the whole Wakefield scandal and who really has the conflict of interest.
[00:23:22.128 --> 00:23:23.109]  You judge for yourself.
[00:23:23.249 --> 00:23:24.531]  I'm not going to be the one to tell you.
[00:23:24.951 --> 00:23:30.578]  Meanwhile, you've got FDA staffers suing the agency over surveillance of personal email.
[00:23:31.826 --> 00:23:47.806]  Now, it alleges that, in this article from the Washington Post, that several employees of the Food and Drug Administration had tried to warn Congress the agency was approving medical devices they believe pose unacceptable risk to patients, government documents show.
[00:23:48.306 --> 00:23:49.207]  What did this lead to?
[00:23:49.347 --> 00:23:56.151]  Information garnered this way eventually contributed to the harassment or dismissal of all six FDA employees the suit alleges.
[00:23:56.552 --> 00:24:00.995]  All had worked in the office responsible for reviewing devices for cancer screening and purposes.
[00:24:01.395 --> 00:24:06.118]  That is after they surveilled their personal emails, memos, and other information.
[00:24:06.658 --> 00:24:10.901]  And that's what happens when you try to warn about dangerous devices inside the FDA.
[00:24:11.201 --> 00:24:13.343]  They go after the employees who want to warn people.
[00:24:15.282 --> 00:24:15.942]  Very interesting.
[00:24:16.402 --> 00:24:24.029]  Now, furthermore on the GMO subject, you've got people in India trying to sue and stop the GMO thing from happening.
[00:24:24.309 --> 00:24:28.713]  There's been all the studies showing the cancer links, the links to serility, the organ failure.
[00:24:28.993 --> 00:24:37.881]  It's also ruining the agricultural business and really putting farmers around the world in a straitjacket mentality, and it's very terrible for those people.
[00:24:37.921 --> 00:24:38.782]  Let's play that clip now.
[00:24:39.878 --> 00:24:47.082]  Leo Saldana filed a complaint that has led to India charging American agricultural giant Monsanto with biopiracy.
[00:24:47.562 --> 00:24:51.204]  And the eggplant, or brinjal, is what the company is accused of stealing.
[00:24:51.564 --> 00:24:58.528]  Leo says Monsanto illegally used indigenous brinjal varieties to create a genetically modified version of the vegetable.
[00:24:59.128 --> 00:25:07.935]  So there are six varieties taken from Karnataka, which Monsanto has taken without any conformance with the Biological Diversity Act, and therefore it is biopiracy.
[00:25:08.475 --> 00:25:14.960]  And once they put the BT gene into Brinjal, then it becomes a commodity which is essentially owned by Monsanto.
[00:25:17.443 --> 00:25:21.804]  Now, you see there again the problems that Monsanto is causing around the world.
[00:25:21.844 --> 00:25:23.225]  Bill Gates has the shares in it.
[00:25:23.565 --> 00:25:44.292]  Because Bill Gates decided to attack, at least what appears to me on the surface, to be an honest researcher who is trying to just warn parents that vaccines could have a link with autism and that further research should be done, and that Bill Gates says he's the one saving lives, and that vaccines and GMOs around the world are the answer to that, well, we're going to give him the Skeksy Award tonight.
[00:25:44.932 --> 00:25:48.554]  Just for that media conflict of interest and the whole deal.
[00:25:49.075 --> 00:25:51.737]  I mean, really, more focus should be put on this man right here.
[00:25:52.057 --> 00:25:53.037]  Do your own research.
[00:25:53.158 --> 00:25:55.399]  I'm not telling you exactly what's going on here.
[00:25:55.419 --> 00:25:57.100]  I'm telling you as much as I know.
[00:25:57.560 --> 00:26:02.444]  And I'm telling you it deserves further research, but certainly a dark cretin award for you.
[00:26:02.784 --> 00:26:09.108]  Now, we have a quote of the day, and then Alex's extended interview with Nomi Prince is coming up on the other side of the break.
[00:26:15.333 --> 00:26:16.414]  That's Barry Goldwater.
[00:26:17.415 --> 00:26:22.883]  He also warned about the Trilateral Commission and the whole globalist agenda, so check out his work as well.
[00:26:23.844 --> 00:26:24.245]  Stay tuned.
[00:26:34.116 --> 00:26:53.714]  With the collapse of the oil embargo to force Iran into a confrontation over the Straits of Hormuz, the US and Israel are looking for another way to get the long-sought war with Iran started, and more to the point, need to make it look like Iran is starting hostilities in order to make it politically and more difficult for Russia and China to support Iran.
[00:26:54.355 --> 00:26:54.555]  Now,
[00:26:55.095 --> 00:26:58.238]  Recall that Israel has a past history of attacking U.S.
[00:26:58.298 --> 00:27:00.620]  warships and framing others to trick the U.S.
[00:27:00.680 --> 00:27:08.846]  into attacks on Israel's enemies, with the Israeli attack on the USS Liberty, initially blamed on Egypt, as the most well-known example.
[00:27:09.647 --> 00:27:16.932]  So here we have the USS Enterprise, the oldest carrier in the fleet, on her last legs, scheduled to be decommissioned next year.
[00:27:16.952 --> 00:27:21.316]  Her name is well-known in part because of the Star Trek TV series.
[00:27:21.896 --> 00:27:26.238]  Decommissioning a nuclear aircraft carrier is a very expensive process.
[00:27:26.818 --> 00:27:36.502]  USS Enterprise is powered by eight nuclear reactors, all of which must be disposed of as nuclear waste material along with all the associated machinery.
[00:27:37.322 --> 00:27:37.762]  The U.S.
[00:27:37.802 --> 00:27:48.987]  Navy would save a great deal of money, more than the scrap worth of the steel, if USS Enterprise were to be sunk in the Persian Gulf, where the radioactive mess is someone else's problem to deal with.
[00:27:49.007 --> 00:27:53.709]  So why send an ancient warship at the end of a useful life into harm's way?
[00:27:54.069 --> 00:28:04.033]  The same reason Franklin Roosevelt moved a bunch of obsolete warships from San Diego to Pearl Harbor, while their newer carriers and warships were well away from Hawaii on December 7, 1941.
[00:28:06.368 --> 00:28:10.571]  Israel has three Dolphin Submarines, given to her by Germany.
[00:28:10.971 --> 00:28:25.462]  They have been seen transiting the Suez Canal in the past, and could well be operating in the Gulf of Oman, even the Persian Gulf by now, lying in wait for a used up and obsolete warship, more useful as a sacrificial lamb, than an actual weapon.
[00:28:26.002 --> 00:28:36.265]  A ship with American sailors to be attacked as Israel attacked the USS Liberty, then to be blamed on the designated target, Iran, by a compliant media.
[00:28:36.966 --> 00:28:41.987]  If you agree with this analysis, please post this video everywhere you see this carrier story.
[00:28:42.427 --> 00:28:47.069]  If we can make them doubt a false flag will be believed, maybe they'll call it off.
[00:28:50.210 --> 00:28:52.130]  Yeah, I'm signing these evil 1770...
[00:28:54.882 --> 00:28:55.383]  1776 flags.
