[00:00:00.365 --> 00:00:03.508]  I don't know about you folks, but I want my freedom and dignity back.
[00:02:20.267 --> 00:02:31.129]  The threat was made and the initial support that we had, which was nearly every senator, dissipated so that we couldn't overcome the procedural hurdle.
[00:02:31.329 --> 00:02:44.692]  But I do believe the people of Texas are behind the bill, and I've received encouraging words from some of the leadership of our state that the bill is going to move quickly, and that's encouraging to me.
[00:02:45.103 --> 00:02:45.623]  Well, that's great.
[00:02:45.643 --> 00:02:47.124]  You know, it's not just the people of Texas.
[00:02:47.164 --> 00:02:51.305]  There's people all over the country that were watching that last time and were supporting you on that.
[00:02:51.365 --> 00:02:57.827]  And as you said, it was a total outrage that the federal government would try to blackmail us over that.
[00:02:58.287 --> 00:03:09.230]  You know, if you remember, two years ago around Thanksgiving, right after they'd rolled these machines out, we organized an opt-out campaign for the busiest travel day of the year.
[00:03:10.070 --> 00:03:11.951]  And the TSA blinked.
[00:03:12.211 --> 00:03:13.311]  They shut the machines down.
[00:03:13.891 --> 00:03:16.132]  So, you know, we're coming back this time.
[00:03:16.212 --> 00:03:19.972]  Two years later, we've got an opt-out and film campaign, and this time we're doing it for a week.
[00:03:20.993 --> 00:03:22.953]  Because they tried to back down on that.
[00:03:23.013 --> 00:03:24.714]  You know, people are fed up with this.
[00:03:24.994 --> 00:03:27.154]  And all over the country, people are fed up with this.
[00:03:27.254 --> 00:03:33.716]  I really do hope that the Texas legislature, that all of them will get some backbone this time and call their bluff.
[00:03:33.756 --> 00:03:38.397]  There's absolutely no way they're going to be able to shut down all travel in and out of Texas.
[00:03:39.582 --> 00:03:44.986]  That's right, and we just should not submit to something that's unconstitutional.
[00:03:45.107 --> 00:03:53.694]  We should refuse to give them that right to touch us in that way unless we've committed a criminal act.
[00:03:53.874 --> 00:04:01.220]  And this bill too is a little bit improved in that it won't allow DSA or anybody to separate a child from a parent.
[00:04:01.929 --> 00:04:05.210]  There was one autistic boy that was separated from his parents.
[00:04:05.290 --> 00:04:11.052]  When he was being touched in this intrusive way, he began to cry out, man on boy, man on boy!
[00:04:11.072 --> 00:04:23.416]  If a young child who's taught that this is indignant and not supposed to be done can figure this out, why are we allowing our federal government to do this?
[00:04:24.736 --> 00:04:26.177]  And we shouldn't go along with it.
[00:04:28.416 --> 00:04:29.317]  That's right, that's right.
[00:04:29.597 --> 00:04:32.460]  That's why I said at the beginning, I want my freedom and my dignity back.
[00:04:32.580 --> 00:04:36.344]  You know, this is, I think this is just nothing more than just behavioral conditioning.
[00:04:36.384 --> 00:04:37.085]  If you look at B.F.
[00:04:37.125 --> 00:04:39.227]  Skinner, that's exactly what he was suggesting.
[00:04:39.548 --> 00:04:41.870]  Telling everybody they have to freeze in the airport.
[00:04:42.170 --> 00:04:44.753]  I mean, this is going beyond all reason.
[00:04:44.793 --> 00:04:47.476]  This is nothing more than just behavioral control.
[00:04:48.086 --> 00:04:50.407]  That's right, and they're not law enforcement agents.
[00:04:50.567 --> 00:04:53.047]  We should refuse to submit to those things.
[00:04:53.348 --> 00:04:57.709]  One of my favorite parts of our Texas Constitution is Article 1, Section 1.
[00:04:57.889 --> 00:05:03.931]  It says, Texas is a free and independent state, subject only to the United States Constitution.
[00:05:04.211 --> 00:05:08.492]  And then it goes on to talk about the importance of local self-government.
[00:05:10.049 --> 00:05:15.193]  And when it's impaired, it threatens the union, the perpetuity of the union.
[00:05:15.393 --> 00:05:22.198]  And so this is critical for not only our state, but for our whole nation, that we do not put up with tyranny.
[00:05:22.438 --> 00:05:22.939]  That's right.
[00:05:22.959 --> 00:05:24.980]  And we must refuse, as a state, to carry out their business for us.
[00:05:38.170 --> 00:05:46.874]  One of the programs was Bus Safe in Houston, where they were going to randomly search people's handbags and interrogate them on municipal buses.
[00:05:47.354 --> 00:05:57.159]  And what was crazy about it is the Houston PD and our state law enforcement, they would never do that except under the color of the TSA.
[00:05:58.179 --> 00:06:02.421]  That doesn't give us any right to not follow the Constitution.
[00:06:02.481 --> 00:06:06.203]  We must refuse to follow those who would not uphold
[00:06:07.298 --> 00:06:10.201]  Well, Representative Simpson, I sure appreciate you talking to us.
[00:06:11.122 --> 00:06:16.449]  Thank you for taking the lead on this, and we are all watching you to see what happens, and we're all supporting you.
[00:06:16.489 --> 00:06:17.150]  Thank you very much.
[00:06:17.970 --> 00:06:21.695]  Thank you, David, and thank the people of Texas.
[00:06:22.356 --> 00:06:24.198]  They're going to be the ones to move it forward.
[00:06:24.258 --> 00:06:25.019]  Thank you so much.
