[00:00:21.260 --> 00:00:22.200]  Welcome, my friends.
[00:03:05.000 --> 00:03:06.980]  For three years they've said we've tested them.
[00:03:07.460 --> 00:03:11.861]  And Congress, the supposed bosses, says we'll give us those tests.
[00:03:11.901 --> 00:03:13.322]  It turned out they were lying about those.
[00:03:14.492 --> 00:03:19.773]  And so now they're trying to pass a law saying they've got to test them and release the evidence.
[00:03:20.333 --> 00:03:28.035]  Well, it's already law that these type of scanners and other radiology equipment, other scanners, have to have a radiation officer that wears a badge.
[00:03:28.935 --> 00:03:36.556]  I know I worked as a dental assistant for a year and there were people that were there testing and it's much lower than the radiation coming out of any of these systems.
[00:03:37.396 --> 00:03:39.077]  So they just violate that law as well.
[00:03:39.117 --> 00:03:41.157]  It's like they violate the Fourth Amendment and the Tenth Amendment.
[00:03:41.517 --> 00:03:43.699]  What are Fed goons doing in your town?
[00:03:44.059 --> 00:03:45.361]  Now at highway checkpoints.
[00:03:45.401 --> 00:03:49.464]  Now saying they're going to be outside the airports searching you as you drive in.
[00:03:49.845 --> 00:03:54.429]  It's just this mission creep, this total takeover of society.
[00:03:54.469 --> 00:03:55.690]  But that's certainly good news.
[00:03:55.730 --> 00:03:59.694]  We need to get behind forcing that information out into the open.
[00:04:00.742 --> 00:04:11.450]  There's another article, something the TSA by the way goes after, is I've talked to people who've been on flights with folks being searched because they had two or three gold coins and a couple silver coins and TSA almost took it.
[00:04:11.791 --> 00:04:13.112]  In some cases they do take it.
[00:04:14.052 --> 00:04:18.976]  And Forbes asked the question, why are the Chinese buying gold in record quantities?
[00:04:19.697 --> 00:04:20.357]  Well they're buying...
[00:04:21.368 --> 00:04:30.696]  Gold at record levels because they know their currency is being devalued and the dollar that they own close to two trillion dollars worth of is being devalued.
[00:04:30.996 --> 00:04:33.218]  The People's Bank of China, the central bank has been
[00:04:34.113 --> 00:04:42.596]  Hinting that it is purchasing, no asset is safe now, said the PBOC at the end of last month.
[00:04:42.636 --> 00:04:46.437]  The only choice to hedge risk is to hold hard currency gold.
[00:04:46.937 --> 00:04:52.619]  He also said it was smart strategy to buy on market dips, which I know I do, small amounts.
[00:04:53.199 --> 00:04:59.341]  Analysts naturally jumped on this comment as proof that China, the world's fifth largest holder of the medal, is in the market for more.
[00:04:59.381 --> 00:05:03.302]  Well, big universities like UT have bought a billion plus dollars worth of it.
[00:05:04.042 --> 00:05:10.047]  And now since they've announced QE3 and more money printing, gold and silver are going back up, obviously.
[00:05:10.667 --> 00:05:12.188]  If you look at a 12-year graph, it's going up.
[00:05:12.228 --> 00:05:14.670]  There's some dips on the way up, but it's like a staircase.
[00:05:14.870 --> 00:05:16.211]  It just goes up.
[00:05:17.673 --> 00:05:20.635]  Continuing here, an article by Tyler Durgin at Zero Hedge.
[00:05:21.035 --> 00:05:22.076]  Landmark case.
[00:05:22.616 --> 00:05:24.178]  Greek court writes off
[00:05:25.228 --> 00:05:27.069]  Employed Bank Customer Debt.
[00:05:27.930 --> 00:05:42.278]  In what could turn out to be a significant ruling for Greeks suffering from economic crisis, a court in Crete has become the first in the country to order the majority of the debt owned by banks by someone still in full employment be wiped out.
[00:05:43.899 --> 00:05:45.600]  And so that's a form of bankruptcy.
[00:05:45.720 --> 00:05:45.900]  Look.
[00:05:47.014 --> 00:05:54.187]  Most of the debt, over 90% that the Greeks supposedly owe, is their government signing on to the derivatives of J.P.
[00:05:54.227 --> 00:05:55.590]  Morgan, Goldman Sachs, and others.
[00:05:56.050 --> 00:05:57.914]  And the derivatives they sold
[00:05:59.206 --> 00:05:59.767]  We're good to go.
[00:06:21.215 --> 00:06:28.753]  It's mass uniting in Occupy Boston March on GE with a simple message, pay your taxes.
[00:06:29.602 --> 00:06:31.443]  You're bleeping taxes.
[00:06:32.324 --> 00:06:35.546]  And of course, General Electric pays, doesn't even pay state taxes.
[00:06:35.586 --> 00:06:36.827]  They don't pay federal taxes.
[00:06:36.847 --> 00:06:37.767]  They don't pay any taxes.
[00:06:38.288 --> 00:06:40.329]  Some of their employees pay paltry taxes.
[00:06:41.010 --> 00:06:45.132]  And of course, most of these people are exempt from taxes because they write the rules.
[00:06:45.473 --> 00:06:51.457]  And the very same elitist, like Warren Buffett, he says, oh, my secretary only makes a million bucks a year or whatever.
[00:06:51.477 --> 00:06:53.538]  She's only got two houses and everything.
[00:06:55.699 --> 00:06:59.022]  She pays more taxes, well, a higher tax percentage than I do.
[00:06:59.682 --> 00:07:02.103]  Well, that's because you helped write the tax laws exempting yourself.
[00:07:02.523 --> 00:07:09.286]  And the tax laws he's bringing forward raise taxes on the middle class, which then he'll steal through bank or bailouts to himself.
[00:07:09.726 --> 00:07:11.867]  He's a cold-blooded old bastard.
[00:07:12.507 --> 00:07:12.827]  Okay?
[00:07:13.167 --> 00:07:26.212]  Not the nice little cupcake, he tells you, or the foundations he's got, the Bill and Melinda Gates Foundation that he owns part of, that finances every major news channel telling you that he basically is the father of Jesus.
[00:07:27.012 --> 00:07:28.913]  That everything good flows out of him.
[00:07:28.953 --> 00:07:30.414]  I mean, it is disgusting.
[00:07:30.434 --> 00:07:32.656]  And if you read the fine print, he's paying for that.
[00:07:33.256 --> 00:07:35.258]  He's the guy that shut down the big pipeline.
[00:07:35.618 --> 00:07:37.039]  That guy's pulled the Bloomberg article.
[00:07:37.619 --> 00:07:41.562]  Just type in, Buffett profits from pipeline shutdown.
[00:07:41.942 --> 00:07:42.343]  Bloomberg.
[00:07:43.483 --> 00:07:50.250]  His railroad will now ship most of that oil to the West Coast onto tanker ships to China.
[00:07:50.750 --> 00:07:52.892]  China gets three coal-powered plants a week.
[00:07:52.912 --> 00:07:53.813]  We get ours shut down.
[00:07:54.113 --> 00:07:54.674]  We get none.
[00:07:56.015 --> 00:07:57.977]  China gets most of the Alaskan oil.
[00:07:58.097 --> 00:07:59.198]  We get 20% of it.
[00:07:59.538 --> 00:08:00.059]  Our own oil.
[00:08:00.579 --> 00:08:02.481]  It's all a big global monopoly.
[00:08:02.521 --> 00:08:05.323]  A bunch of combines screwing everybody.
[00:08:06.289 --> 00:08:07.770]  So, that's the big secret.
[00:08:08.070 --> 00:08:14.313]  That's why the ultra-rich have tried to co-opt Occupy Wall Street with a message of raise taxes and all the rest of this.
[00:08:25.918 --> 00:08:32.701]  Benefits from pipeline cancellation, and it's from Monday, and there it is.
[00:08:32.721 --> 00:08:44.687]  It says that they haven't been able to ship out the oil, there's so much of it, and that the trains are getting all the contracts, and we're upset of the train companies, and that he's the main owner there.
[00:08:45.047 --> 00:08:49.249]  I mean, this is such an illustration of, oh, I just want to pay more taxes.
[00:08:50.190 --> 00:08:52.371]  That's why to buy one of the shares in my company's
[00:08:53.351 --> 00:08:54.251]  Thousands of dollars.
[00:08:54.911 --> 00:08:57.292]  That's why I always get the insider knowledge for anybody else.
[00:08:57.312 --> 00:09:01.273]  That's why I get all these banker bailouts and government taxpayer money.
[00:09:02.213 --> 00:09:02.993]  I'm Warren Buffett.
[00:09:03.753 --> 00:09:05.553]  You know, I care so much about you.
[00:09:06.174 --> 00:09:07.554]  I'm such a humanitarian.
[00:09:07.934 --> 00:09:09.294]  Now, please take a vaccine.
[00:09:10.054 --> 00:09:11.635]  Please, I want to put fluoride in your water.
[00:09:12.055 --> 00:09:15.395]  Because I write books and make statements about too many people.
[00:09:15.776 --> 00:09:17.556]  But I want you to take this so you live longer.
[00:09:18.096 --> 00:09:19.576]  Now, never mind that doesn't make sense.
[00:09:19.916 --> 00:09:22.757]  Never mind, you know, ultra-rich meet in secret.
[00:09:23.800 --> 00:09:24.961]  To discuss population.
[00:09:25.001 --> 00:09:25.841]  Guys, type that in.
[00:09:25.861 --> 00:09:29.984]  The Times of London, Sunday Times, took it down, but we had it saved.
[00:09:30.004 --> 00:09:31.204]  Global Research saved it, too.
[00:09:31.625 --> 00:09:35.547]  Type in ultra-rich or world's elite meat to discuss population.
[00:09:36.007 --> 00:09:37.248]  Solutions to overpopulation.
[00:09:37.708 --> 00:09:39.369]  Oh, we're meeting in secret.
[00:09:39.409 --> 00:09:42.451]  And of course, they got it pulled out of the news because one of the reporters talked.
[00:09:43.071 --> 00:09:44.972]  We need to get rid of everybody with these vaccines.
[00:09:44.992 --> 00:09:46.814]  You know, Ted Turner, who says kill everybody.
[00:09:46.874 --> 00:09:47.594]  Humans are scum.
[00:09:47.954 --> 00:09:50.356]  He's there, but then he comes out and says, I love you.
[00:09:51.636 --> 00:09:52.317]  Take a shot.
[00:09:53.672 --> 00:09:54.933]  I want to take good care of you.
[00:09:55.793 --> 00:09:57.153]  I care so much about you.
[00:09:58.274 --> 00:10:00.655]  You know, Bill Gates has given interviews about there's too many people.
[00:10:00.695 --> 00:10:02.195]  My dad ended up playing parenthood.
[00:10:02.496 --> 00:10:04.656]  We need to enforce vaccines, reduce population.
[00:10:04.857 --> 00:10:05.617]  People say, what does that mean?
[00:10:05.657 --> 00:10:06.437]  He goes, you'll see.
[00:10:07.117 --> 00:10:14.380]  And he's, you know, funding all this with Ted Turner and all these other eugenicists like the globalist Warren Buffett.
[00:10:15.001 --> 00:10:18.722]  But then he's financing London Guardian, ABC News, everything Aaron covered last night.
[00:10:19.442 --> 00:10:22.344]  We're around saying we've got to
[00:10:25.034 --> 00:10:28.759]  Come in and reduce world population.
[00:10:30.543 --> 00:10:31.864]  I mean, it is so scary.
[00:10:32.244 --> 00:10:34.766]  In fact, here's a big, detailed article going through all the proof of this.
[00:10:35.127 --> 00:10:41.052]  Bill Gates, Media Partners Praise Vaccine GMO Programs, led by Microsoft founder.
[00:10:41.552 --> 00:10:46.956]  He's the main guy funding the GMO that's sterilizing all the animals they feed it to and causing cancer.
[00:10:47.257 --> 00:10:48.978]  He's the guy funding the vaccine pushes.
[00:10:49.278 --> 00:10:57.425]  He's the guy with Monsanto coming in with these federally and state-funded public schools, charter schools, and giving them maybe 5% of the funding and controlling their curriculum.
[00:10:58.871 --> 00:11:00.092]  He's our little angel cake.
[00:11:01.113 --> 00:11:02.514]  So a key article by Aaron Dykes.
[00:11:03.054 --> 00:11:10.560]  Continuing with a little piece of lighter news, they're reporting the Millennium Falcon has been discovered.
[00:11:11.541 --> 00:11:15.423]  It's either the Millennium Falcon or a gateway to hell.
[00:11:15.844 --> 00:11:20.147]  Shipwreck hunters find mysterious object at the bottom of the Baltic.
[00:11:20.347 --> 00:11:23.990]  And folks, that looks just like the Millennium Falcon.
[00:11:24.010 --> 00:11:26.572]  That is beyond bizarre.
[00:11:28.015 --> 00:11:29.936]  They're always finding crazy stuff in the Baltic.
[00:11:30.696 --> 00:11:32.037]  That is weird.
[00:11:32.477 --> 00:11:36.578]  So, we'll certainly... We're not saying it's the Millennium Falcon.
[00:11:36.859 --> 00:11:38.139]  The New York Times will quote us.
[00:11:38.659 --> 00:11:43.081]  It's like John Ronson who had the movie Ministeric Goats with George Clooney and all the rest of it.
[00:11:43.101 --> 00:11:48.423]  He also wrote Them, which was optioned years ago by Jack Black, I guess, to make fun of myself.
[00:11:48.503 --> 00:11:49.424]  And they never made the movie.
[00:11:49.804 --> 00:11:50.524]  I wish they'd make it.
[00:11:50.564 --> 00:11:52.825]  I'd love to see myself being made fun of at the Bohemian Grove.
[00:11:53.925 --> 00:11:54.846]  But they did make...
[00:11:55.586 --> 00:11:57.227]  Teddy Bear's picnic making fun of us, though.
[00:11:59.288 --> 00:12:00.809]  But that's a side issue.
[00:12:01.709 --> 00:12:09.614]  The point is that I was joking with him on the phone driving out to Northern California, stuck in all this fog, and I said, man, it's like Transylvania.
[00:12:09.634 --> 00:12:12.315]  It's like werewolves are going to jump out or something.
[00:12:12.335 --> 00:12:16.738]  There's like five foot thick fog on the ground and nothing above it.
[00:12:17.158 --> 00:12:22.441]  I used to watch werewolf movies, you know, those old 1940s, and it's like this fog on the ground like that.
[00:12:22.481 --> 00:12:23.582]  I thought that wasn't real.
[00:12:24.122 --> 00:12:26.343]  But I'm expecting to see a werewolf pop out.
[00:12:27.843 --> 00:12:28.724]  And he goes, oh really?
[00:12:28.764 --> 00:12:29.884]  And I said, no, that's a joke.
[00:12:29.904 --> 00:12:33.445]  Well, in his book, I actually call up and I'm afraid of werewolves and they're all going to get me.
[00:12:33.485 --> 00:12:37.947]  So I'm sure there'll be another book that I believe the Millennium Falcon's actually been found on the bottom of the ocean.
[00:12:37.987 --> 00:12:38.927]  I just need to point it out.
[00:12:39.167 --> 00:12:50.371]  I mean, the New York Times said when I was at Bilderberg, it was on record, Bilderberg was there, in 2008, that I was insane running around in the woods of Virginia imagining a leech meeting.
[00:12:51.590 --> 00:12:52.611]  So, I mean, who knows?
[00:12:52.651 --> 00:12:55.272]  That's just how they try to deceive their viewers and listeners and readers.
[00:12:56.133 --> 00:12:58.494]  Continuing here, ladies and gentlemen, we're going to go to break.
[00:12:59.815 --> 00:13:05.999]  We're going to come back with the one, the only Wayne Madsen, and then that big report with Darren McBreen, which is bombshell.
[00:13:06.740 --> 00:13:09.541]  With the news saying doctors recommend you smoke cigarettes.
[00:13:10.462 --> 00:13:13.164]  The Flintstones, kids, you know, it's good for you.
[00:13:13.464 --> 00:13:17.606]  Back in the 50s, and now we have the Flintstones promoting aspartame for kids.
[00:13:18.027 --> 00:13:18.667]  We'll be right back.
[00:13:18.727 --> 00:13:19.868]  It's InfoWars Nightly News.
[00:13:23.092 --> 00:13:24.273]  America is in trouble.
[00:13:24.413 --> 00:13:26.313]  Washington is a disgrace.
[00:13:26.534 --> 00:13:27.894]  Government has become too big.
[00:13:27.974 --> 00:13:29.775]  It's overtaxing, overspending.
[00:13:29.895 --> 00:13:31.316]  We need to change direction.
[00:13:31.356 --> 00:13:32.456]  We really need change.
[00:13:32.496 --> 00:13:35.257]  We can't afford to make the same mistakes we've made in the past.
[00:13:35.377 --> 00:13:37.558]  Mitt Romney's reputation is a flip-flopper.
[00:13:37.598 --> 00:13:40.820]  He went the other way when he got paid to go the other way.
[00:13:40.840 --> 00:13:42.860]  There is need for economic stimulus.
[00:13:42.880 --> 00:13:44.501]  It's about serial hypocrisy.
[00:13:44.561 --> 00:13:46.302]  This election is about trust.
[00:13:46.502 --> 00:13:49.846]  There's been one true, consistent candidate, and that's Dr. Ron Paul.
[00:13:49.926 --> 00:13:52.909]  Ron Paul has been so consistent from the very beginning.
[00:13:53.169 --> 00:13:55.011]  He seems like a more honest candidate.
[00:13:55.031 --> 00:13:57.674]  He tells the truth about what he believes, whether you like it or not.
[00:13:57.714 --> 00:14:02.460]  He's never once voted for a tax increase, never once voted for an unbalanced budget.
[00:14:02.500 --> 00:14:05.403]  Ron Paul's plan is bold, cuts five departments.
[00:14:05.683 --> 00:14:06.344]  It's what we need.
[00:14:06.544 --> 00:14:10.206]  When he says he's gonna cut a trillion dollars in the first year, I believe it.
[00:14:10.287 --> 00:14:15.390]  If you don't like how things are going, and you're tired of politicians, he's something different.
[00:14:15.630 --> 00:14:20.133]  Ron Paul is the one we've been looking for.
[00:14:20.153 --> 00:14:22.615]  I'm Ron Paul, and I approve this message.
[00:14:28.908 --> 00:14:33.531]  And we are back, InfoWars Nightly News on this Tuesday edition.
[00:14:34.652 --> 00:14:44.218]  Coming up after our next interview with investigative journalist Wayne Madsen with a lot of breaking news and analysis, we're going to have our own Darren McBreen in studio.
[00:14:44.699 --> 00:14:50.723]  We're going to premiere a report here he did on the street in Austin concerning aspartame
[00:14:51.864 --> 00:15:01.195]  And then have Darren in studio with us to expand on it and look back on the history of poisonous substances being sold to the public as nutritious like cigarettes.
[00:15:01.295 --> 00:15:05.720]  I'd walk a mile for a camel having a sore throat, smoke an extra pack.
[00:15:06.201 --> 00:15:08.924]  It's good for lung health when they do full well.
[00:15:09.785 --> 00:15:10.565]  That it was deadly.
[00:15:10.865 --> 00:15:14.586]  Kind of like J. Edgar Hoover in the 50's saying, no such thing as organized crime.
[00:15:15.067 --> 00:15:16.467]  Nowadays we know that's ridiculous.
[00:15:17.287 --> 00:15:22.389]  But this is the type of hidden in plain view stuff they do with fluoride, vaccines, all of it.
[00:15:22.429 --> 00:15:27.430]  I've got a host of issues to talk about with Wayne Madsen, but he joins us via telephone.
[00:15:28.350 --> 00:15:30.231]  He's down there at one of the Washington D.C.
[00:15:30.291 --> 00:15:36.373]  parks, where they were saying they were going to taser and tear gas people like Oakland, but that hasn't happened so far.
[00:15:37.413 --> 00:15:39.556]  But Daryl Issa is saying, get them out of there.
[00:15:39.596 --> 00:15:43.581]  Regardless of what you think about the Occupy Movement, they have a right to demonstrate.
[00:15:43.661 --> 00:15:48.147]  And if a president gets set to sweep them off the streets, your rights are gone as well.
[00:15:48.928 --> 00:15:49.969]  Wayne, thanks for joining us.
[00:15:50.009 --> 00:15:51.051]  Tell us what you're seeing down there.
[00:15:52.256 --> 00:15:56.797]  Well, we had a deadline issued for the two occupied camps yesterday.
[00:15:56.817 --> 00:15:58.097]  It was at 12 noon.
[00:15:58.958 --> 00:16:07.900]  The one here on Freedom Plaza, which is about two blocks from the White House on Pennsylvania Avenue, between the White House, closer to the White House and to Capitol Hill.
[00:16:08.340 --> 00:16:12.421]  And then there was another park, McPherson Square, which is a few blocks north of here.
[00:16:14.325 --> 00:16:21.173]  Both were issued notices by the National Park Service that they were in violation of the prohibitions against camping.
[00:16:21.994 --> 00:16:24.156]  However, they've been camping here for four months.
[00:16:24.316 --> 00:16:27.159]  They've been cooking meals for four months.
[00:16:28.000 --> 00:16:29.362]  There's an issue though with the
[00:16:29.915 --> 00:16:41.741]  The chairman of the House Committee on Government Oversight and Reform, Darrell Itza, from California, who is really trying to get these people moved out of the parks.
[00:16:41.801 --> 00:16:45.523]  He's charging that in one case they did some minor damage.
[00:16:46.163 --> 00:16:49.605]  And we also have something interesting with President Obama.
[00:16:50.805 --> 00:16:54.507]  It's now very clear that there has been an attempt to try to co-opt
[00:16:55.274 --> 00:16:55.874]  Occupy
[00:17:12.725 --> 00:17:18.452]  Well sure, this is the classic duplicity of Obama saying he didn't want the arrest of Americans indefinitely.
[00:17:29.266 --> 00:17:33.808]  The killing of Americans indefinitely in NDAA and then it turned out he was the one that demanded it.
[00:17:34.108 --> 00:17:36.729]  Then he said he would veto it, then he signed it on New Year's.
[00:17:37.169 --> 00:17:48.694]  It's always part of this manipulation, but they've certainly tried to co-opt it and when they haven't had success, as you know in the last month it's come out, Homeland Security coordinated more than 30 locations
[00:17:50.074 --> 00:17:53.516]  Violent attacks on Occupy through Homeland Security.
[00:17:53.836 --> 00:17:57.477]  I mean, that's not only a violation of the First Amendment, it's a violation of the Tenth Amendment.
[00:17:57.538 --> 00:18:01.719]  What are the Feds doing in cities all over the U.S., from L.A.
[00:18:01.739 --> 00:18:09.063]  to Denver, to Manhattan, coordinating shutdowns of people camping out?
[00:18:10.325 --> 00:18:28.997]  Well, it's funny, Janet Napolitano, the Homeland Security Secretary, spoke at the National Press Club yesterday, just at the same time that the deadline came in with the National Park Service on one of the encampments, which is literally a few footsteps away from the National Press Club downtown here at Freedom Plaza.
[00:18:30.078 --> 00:18:36.942]  Now, no one bothered to ask, or to ask if they didn't, they screened the question out, no one bothered to ask
[00:18:37.481 --> 00:18:45.564]  Napolitano about that coordination between Homeland Security and the various mayors like Gene Kwan in Oakland and Bloomberg up in New York.
[00:18:45.684 --> 00:18:54.807]  So here again we have the corporate media basically not asking the tough questions when they get somebody before them at a luncheon.
[00:18:56.748 --> 00:18:59.949]  But today a federal judge, Judge Boatsberg, a U.S.
[00:18:59.989 --> 00:19:02.750]  federal judge here for the District of Columbia, U.S.
[00:19:02.770 --> 00:19:03.830]  District Court for the District,
[00:19:04.418 --> 00:19:19.324]  Issued an order saying, look, if you decide to get rid of these people, you're going to have to give them advance notice, and you're going to, and they have the right to come before the court.
[00:19:20.239 --> 00:19:27.481]  Wayne, going back to you there in the park, I'm going to ask the guys to pull this up here in a moment.
[00:19:27.781 --> 00:19:32.982]  Before we went on air, you were mentioning to me, yeah, Daryl Issa, what a hypocrite.
[00:19:33.502 --> 00:19:35.382]  You know, he's been caught stealing cars.
[00:19:35.982 --> 00:19:41.364]  And I knew that he's put on this whole act that he's going after the president for Fast and Furious.
[00:19:41.744 --> 00:19:47.545]  But then a few months ago, whenever the attorney general said, you know, Bush was doing similar things to this, which we know,
[00:19:48.405 --> 00:19:48.585]  Yeah.
[00:20:03.644 --> 00:20:15.870]  I looked it up right before we went on air and there was news articles about repeatedly him being caught or investigated or indicted stealing cars from the military, from others.
[00:20:17.430 --> 00:20:24.173]  In 1971, an army sergeant claimed that Issa stole a Dodge sedan from an army post near Pittsburgh.
[00:20:24.193 --> 00:20:27.155]  The sergeant said he recovered the car after confronting and threatening him.
[00:20:28.175 --> 00:20:31.319]  Uh, Issa denied that in 72, but this is happening over and over again.
[00:20:31.719 --> 00:20:35.944]  Issa and his brother allegedly stole a Maserati sports car from a car dealership in Cleveland.
[00:20:36.305 --> 00:20:39.168]  He and his brother were indicted for car theft, but the case was dropped.
[00:20:39.628 --> 00:20:40.650]  So this just keeps happening.
[00:20:40.670 --> 00:20:42.432]  This is not people making this up, obviously.
[00:20:42.452 --> 00:20:47.477]  You know, if somebody says once you were caught doing something bad and you get away with it five or three times,
[00:20:48.278 --> 00:20:52.041]  The same year, Issa was convicted in Michigan for possession of an unregistered gun.
[00:20:52.462 --> 00:20:53.863]  He received three months prohibition.
[00:20:53.883 --> 00:20:55.324]  Again, I don't think that's bad.
[00:20:55.985 --> 00:21:02.610]  On 79, Issa and his brother allegedly faked the theft of Issa's Mercedes Benz sedan.
[00:21:03.391 --> 00:21:07.454]  They were charged with grand theft auto, but the case was dropped by prosecutors for lack of evidence.
[00:21:08.395 --> 00:21:14.680]  I mean, there's no way, and it just goes on and on, there's no way this just keeps popping up over and over again, Wayne.
[00:21:15.791 --> 00:21:23.037]  Right, and the most hypocritical thing about this is he made all of his fortune in California by selling car alarms.
[00:21:24.899 --> 00:21:28.682]  I mean, again, you can't make this kind of stuff up because
[00:21:29.153 --> 00:21:34.476]  Yeah, I guess he figured that's a good way to keep his business going if he's stealing cars.
[00:21:34.576 --> 00:21:38.198]  Remember the case in the northern end of Manhattan?
[00:21:39.439 --> 00:21:46.603]  It must have been 15 years ago, where the guy had signs up all over this neighborhood about, get your window dings fixed, the cheapest.
[00:21:47.244 --> 00:21:51.846]  And it turned out he had a crew of guys every night out with ball-peen hammers, breaking windshields.
[00:21:52.147 --> 00:21:54.248]  I mean, that's problem, reaction, solution right there.
[00:21:54.268 --> 00:21:57.510]  Right, well we had a case here in Prince George's County.
[00:21:58.150 --> 00:22:04.239]  About 25 years ago where they found the fire department that was facing budget cuts started setting fires.
[00:22:04.339 --> 00:22:14.533]  So I mean these people do exist, of course, but I think this goes to show though that people like this, you know, they're on very thin ice when they're
[00:22:16.035 --> 00:22:26.726]  We know that he has a lot of investments with Goldman Sachs, so obviously he doesn't want these people here protesting about the abuses on Wall Street.
[00:22:27.788 --> 00:22:31.552]  One more point I want to raise with you, Wayne, before we get into geopolitical issues.
[00:22:31.572 --> 00:22:35.215]  The latest on Obama's birth certificate and some other things you're investigating.
[00:22:35.936 --> 00:22:53.924]  I wanted to, in fact guys, you can pull this up on Wikipedia or just Encyclopedia Britannica, bonus strike marchers, you know, years after World War I, they'd been promised in a contract that they'd be paid money when they returned home, a certain stipend.
[00:22:54.244 --> 00:23:01.088]  Many of them were wounded and weren't getting treatment, so they were promised this bonus, and they camped out for months there in D.C.
[00:23:02.248 --> 00:23:02.428]  I think?
[00:23:18.901 --> 00:23:32.069]  And so this is an American thing to camp out and to really bring attention to something and for the media to act like it's something that dirty commie hippies do, regardless of who really makes up Occupy Wall Street.
[00:23:32.489 --> 00:23:37.072]  Everyone should be supporting peaceful demonstration, especially camping out.
[00:23:38.453 --> 00:23:40.394]  Right, and that's the issue.
[00:23:40.494 --> 00:23:46.898]  Even though camping is not permitted, even the head of the National Park Service stated,
[00:23:47.682 --> 00:23:48.843]  The tents can remain.
[00:23:48.863 --> 00:23:51.764]  They need to take out a lot of the sleeping bags.
[00:23:51.784 --> 00:23:59.069]  Well, your petty little rules don't circumvent when it's public property or a public commons people's First Amendment.
[00:23:59.489 --> 00:24:02.110]  You know, that's how they say you have to get a permit to march.
[00:24:02.130 --> 00:24:05.813]  Well, yeah, if you're blocking the major road, you do, but not if you're on the sidewalk.
[00:24:06.093 --> 00:24:07.353]  And the courts have found that as well.
[00:24:07.394 --> 00:24:07.994]  I'm sorry, go ahead.
[00:24:08.717 --> 00:24:09.997]  Well, you're right.
[00:24:10.057 --> 00:24:18.500]  What the head of the National Park Service is arguing, because he's being attacked by ISA, is that, look, the tents can remain because they're part of the protest symbology.
[00:24:18.780 --> 00:24:19.580]  Exactly!
[00:24:20.080 --> 00:24:20.681]  Yeah.
[00:24:20.961 --> 00:24:23.902]  The sleeping bags, and they've been pretty good about removing them.
