[00:00:21.960 --> 00:00:25.224]  Welcome to tonight's InfoWars Nightly News broadcast.
[00:07:25.469 --> 00:07:33.611]  Only yesterday it was in the news how university professors in Australia say it's okay to kill newborns up to the age of three.
[00:07:34.051 --> 00:07:38.052]  That infanticide is okay because abortion has already been accepted.
[00:07:38.672 --> 00:07:43.974]  All this stuff just to make us hate ourselves and think humanity is a menace and be convinced of that.
[00:07:44.494 --> 00:07:46.515]  Total deception, like everything else.
[00:07:46.835 --> 00:08:01.139]  Turning now to another set of deception and lies, the TSA issue, as Steve Watson has a report on the government now saying TSA scanners are safe, but actually it's just a regurgitated old report with old info.
[00:08:01.559 --> 00:08:06.881]  TSA head Pistole, a known liar, testified that the report would present new findings.
[00:08:07.241 --> 00:08:08.001]  In fact, it didn't.
[00:08:08.341 --> 00:08:28.347]  That report's linked in our report and PDF form from the Department of Homeland Security's Inspector General, concluding that backscatter radiation machines deliver, quote, an extremely low dose of ionizing radiation below the acceptable limits, just as they changed the acceptable limits for Fukushima and radiation on that issue.
[00:08:29.148 --> 00:08:36.334]  And they go on to quote Johns Hopkins studies again, even though Johns Hopkins came out and said those studies were misrepresented.
[00:08:36.654 --> 00:08:42.039]  You've got the NIST studies that the Department of Homeland Security and TSA cited.
[00:08:42.620 --> 00:08:45.022]  NIST said those studies were misrepresented.
[00:08:45.282 --> 00:08:52.188]  You had the big Janet Napolitano USA Today article, where she came out and said body scanners were safe, citing the NIST.
[00:08:52.929 --> 00:08:54.871]  That was all lies and propaganda.
[00:08:55.271 --> 00:09:05.976]  And it goes on and on, because there was a report back in 1998 where they found that these kind of body scanners would increase cancer deaths somewhere on the order of 100 per year.
[00:09:06.476 --> 00:09:09.118]  And remember, there is no safe radiation.
[00:09:09.738 --> 00:09:14.700]  Hospitals and so forth, dentist offices at least adhere to some safety measures.
[00:09:15.020 --> 00:09:19.743]  Who knows if even that stuff is safe, but you've got the TSA not taking those measures.
[00:09:20.563 --> 00:09:24.046]  And you never know what exposure level someone's already going to be at.
[00:09:24.447 --> 00:09:32.174]  People are more at exposure for risk to cancer from radiation than others, so you don't know what's a risk factor in reality.
[00:09:32.475 --> 00:09:35.718]  Then you've got the other lies on the TSA because there's so many.
[00:09:36.198 --> 00:09:43.842]  They're always lying just to make sure they get in these police state measures and you go along with it and shut up and stand in line and go through the radiation machine.
[00:09:44.162 --> 00:09:48.244]  We got the Daily Mail in June 28th of 2011 last summer.
[00:09:48.624 --> 00:09:51.265]  Can TSA scanning machines give you cancer?
[00:09:51.685 --> 00:09:57.268]  New fears after the claim government is covering up clusters of disease among airport workers.
[00:09:57.908 --> 00:10:03.531]  That's at Boston Logan Airport, one of the first, if not the first, to implement the body scanners
[00:10:04.571 --> 00:10:20.050]  And the Electronic Privacy and Information Center, also known as EPIC, did a study found that Homeland Security and TSA were lying, they were obscuring, they were covering up the dangers, and that they were, quote, not being forthcoming with the public about the true extent of the radiation risk.
[00:10:21.431 --> 00:10:32.984]  You've got the ongoing reports about the cancer clusters allegedly linked to radiation exposure with those workers and how they publicly mischaracterized all that and again citing the NIST studies.
[00:10:33.004 --> 00:10:37.128]  You've also got the Paul Watson report, cancer surges and body scanner operators.
[00:10:37.489 --> 00:10:39.030]  TSA launches cover-up.
[00:10:39.611 --> 00:10:42.092]  But you know, I feel sorry for these TSA workers.
[00:10:42.613 --> 00:10:49.936]  I had to go through the airport over the weekend, going to Alex's event out in Orlando, and there's always some kind of little misadventure with them.
[00:10:50.296 --> 00:10:55.419]  This time when we came back through Austin Bergstrom, where, by the way, they just put in the body scanners.
[00:10:55.859 --> 00:11:03.967]  And we saw a little incident where they thought they found a suspicious bag and they blocked hundreds of people from walking through the concourse for several minutes.
[00:11:04.347 --> 00:11:05.308]  Got all freaked out.
[00:11:05.348 --> 00:11:09.192]  You saw a TSA lady running through the crowd pushing people out of the way.
[00:11:09.252 --> 00:11:09.652]  Look out!
[00:11:09.692 --> 00:11:11.254]  I'm going to stop some big danger.
[00:11:11.634 --> 00:11:15.278]  Meanwhile, you're going to hear Paul Craig Roberts later talking about how
[00:11:15.838 --> 00:11:24.804]  All these so-called terrorist plots are admittedly FBI set-ups just to provoke fear in the public and to get their mandate for new powers.
[00:11:25.345 --> 00:11:28.707]  There is no real mass danger from terrorism.
[00:11:28.767 --> 00:11:34.150]  The statistics are very low of exposure to terrorism, danger, deaths by terrorism.
[00:11:34.731 --> 00:11:37.733]  That's if you even believe the phony 9-11 events.
[00:11:37.793 --> 00:11:39.434]  I know our audience knows a lot better.
[00:11:39.794 --> 00:11:50.136]  But I feel sorry for those TSA workers who don't realize that it's that radiation body scanner and the other radiating machines that check the luggage that are actually posing the real danger.
[00:11:50.156 --> 00:12:00.878]  I see the TSA workers sitting maybe a foot away from the big sign on the Backscatter and Raposcan luggage scanning devices.
[00:12:00.938 --> 00:12:01.719]  It says, Danger!
[00:12:01.819 --> 00:12:02.399]  Radiation!
[00:12:02.419 --> 00:12:03.759]  And there they are sitting all day.
[00:12:04.159 --> 00:12:14.449]  Looking at our luggage, breaking the Fourth Amendment, violating the Tenth Amendment, and really just trashing and trampling over the Constitution and Bill of Rights, laughing at anyone who doesn't want to go along with it.
[00:12:14.750 --> 00:12:16.351]  Well, who do you think is at risk?
[00:12:16.371 --> 00:12:18.133]  The people who sit there eight hours a day.
[00:12:18.734 --> 00:12:21.596]  You don't think they have to go through those body scanners on a daily basis?
[00:12:21.616 --> 00:12:23.478]  You don't think that puts them at danger?
[00:12:23.819 --> 00:12:26.081]  Well, you see it in the reports on Boston.
[00:12:26.501 --> 00:12:27.883]  It's just a shame what's going on.
[00:12:28.303 --> 00:12:37.212]  I hope TSA workers will get out of that power mode of feeling that that uniform gives them something they can't get in the rest of life and realize they're hurting people, they're hurting themselves.
[00:12:38.413 --> 00:12:43.097]  Now, I'll stop rambling about it, but it's just such a joke about the terrorism threat.
[00:12:43.357 --> 00:12:48.342]  Wait until you see the documentary that Alex and I and the rest of the crew put together.
[00:12:48.723 --> 00:12:50.845]  All of our new graphics guys contributed to it.
[00:12:50.865 --> 00:12:51.485]  It's going to be great.
[00:12:51.505 --> 00:12:52.806]  It's coming up in just a few minutes.
[00:12:53.387 --> 00:12:59.590]  Turning to other news, the London Telegraph reports on the mystery virus that kills thousands of lambs.
[00:12:59.910 --> 00:13:04.732]  Thousands of lambs have been killed by a new virus threatening the survival of many British farms.
[00:13:05.072 --> 00:13:07.253]  It's also affecting the mainland in Europe.
[00:13:07.573 --> 00:13:08.914]  It's also affecting cattle.
[00:13:09.914 --> 00:13:16.039]  And so, so far they've got 74 farms in the southern and eastern England hit by the mystery virus.
[00:13:16.719 --> 00:13:23.564]  The National Farmers Union has called it a potential catastrophe and warned farmers to be vigilant, saying this is a ticking time bomb.
[00:13:23.985 --> 00:13:28.168]  Alistair McIntosh of the NFU said, we don't yet know the extent of the disease.
[00:13:28.208 --> 00:13:33.191]  We only will find out the damage when sheep and cows give birth, then it's too late.
[00:13:33.252 --> 00:13:35.453]  So these are aborted fetuses.
[00:13:35.513 --> 00:13:36.694]  These are miscarriages.
[00:13:36.754 --> 00:13:37.815]  These are stillborns.
[00:13:38.275 --> 00:13:45.624]  These are heavily deformed animals that, although they're alive when they're born, can't survive because the arms and legs are twisted.
[00:13:45.644 --> 00:13:55.116]  And as they mention here, some farms on the mainland continent of Europe are losing up to half of their lambs, and farms in Britain are so far losing some 20%.
[00:13:56.658 --> 00:13:58.679]  But will they ever look at the real causes?
[00:13:59.280 --> 00:14:08.745]  Will they look at the supply chains, the factory farming, the government policies that perhaps make these kind of new mystery diseases possible?
[00:14:09.105 --> 00:14:24.154]  Of course, we don't know at this point, but this brings up directly a report that Jeffrey Smith, the premier GMO expert, brought up with Alex last week when they did an interview, not only talking about new confirmations and new evidence of how the extent to which
[00:14:25.034 --> 00:14:31.956]  GMOs are massively damaging the internal organs, the gut flora and triggering sterility and infertility.
[00:14:32.196 --> 00:14:37.077]  You've also got the rise of a new super virus never before seen in science.
[00:14:37.397 --> 00:14:38.958]  They say it acts like a fungus.
[00:14:38.978 --> 00:14:39.978]  They don't know what it is.
[00:14:40.018 --> 00:14:48.460]  It can only be seen under an electron microscope and yet it's getting into livestock and triggering abortions at a 24-hour time period.
[00:14:49.181 --> 00:14:55.050]  No other causes for it, and suddenly livestock are, yeah, having miscarriages and all the other stuff we mentioned.
[00:14:55.130 --> 00:14:55.911]  Is there a connection?
[00:14:55.991 --> 00:14:59.677]  We don't know, but let's play that clip now from Jeffrey Smith, because it's just bombshell.
[00:15:00.120 --> 00:15:04.761]  I wanted to talk about a new way, one that some of your listeners might be familiar with.
[00:15:05.401 --> 00:15:19.884]  There was a study, a series of analyses done on aborted fetal tissue of livestock where the farmer was beside himself, there was such high rate of abortions, spontaneous abortions.
[00:15:20.404 --> 00:15:27.125]  And on the aborted fetal tissue was a new organism only visible with an electron microscope.
[00:15:27.805 --> 00:15:30.167]  And they figured out, where is this stuff coming from?
[00:15:30.247 --> 00:15:47.063]  So they did analysis of the feed, and when the feed was treated with Roundup, either it was Roundup ready crops or products that had Roundup sprayed, there were high concentrations of this organism, and high concentrations on diseased plants that are known to be getting diseases because of Roundup.
[00:15:48.268 --> 00:15:48.928]  What is it?
[00:15:49.468 --> 00:15:52.370]  They took this organism and they exposed it to a pregnant chicken.
[00:15:52.730 --> 00:15:55.191]  It killed the fetus in 24 to 48 hours.
[00:15:55.951 --> 00:15:58.772]  Now this organism has never been discovered before.
[00:15:59.212 --> 00:16:00.653]  It's completely new to science.
[00:16:00.993 --> 00:16:02.314]  It's the size of a virus.
[00:16:02.674 --> 00:16:04.595]  It operates, it looks like a fungus.
[00:16:05.295 --> 00:16:15.079]  And it appears to be everywhere but in high concentrations around diseased plants and infertile animals and animals that have spontaneous abortions.
[00:16:16.079 --> 00:16:28.988]  So a letter was written by a senior researcher, by Professor Emeritus, in fact, Professor, um, Dr. Don Huber, who had decades of study and was an expert at round-up effects.
[00:16:29.549 --> 00:16:36.093]  He was also on a military group that evaluates the threats of outbreak of disease, both natural and man-made.
[00:16:36.694 --> 00:16:42.398]  And in his letter to Secretary Vilsack of the USDA, he said, this is an emergency.
[00:16:43.078 --> 00:17:06.662]  He pointed out that there is widespread infertility among animals, that there might be a huge link, of course, and that Vilsack should not approve Roundup-Ready alfalfa because that would only increase the exposure of the population to Roundup at a time when we need to put money now into investigating whether this organism is causing the problem and linked to Roundup or GMOs.
[00:17:07.242 --> 00:17:12.066]  He sent that letter on January 17th privately to Secretary Vilsack.
[00:17:12.486 --> 00:17:15.208]  It was leaked onto the internet, so that's why I can talk about it.
[00:17:15.948 --> 00:17:19.631]  He was finally called weeks later by someone from the USDA.
[00:17:19.891 --> 00:17:27.016]  He gave them the names of the researchers, and the researchers have not yet been contacted by the USDA, and that was over a year ago.
[00:17:27.036 --> 00:17:27.637]  Let me stop him.
[00:17:28.317 --> 00:17:46.925]  Turning now to Ron Paul news, he met with Ben Bernanke today at the House Financial Services Committee during his semi-annual visit, and Ron Paul once again grilled Bernanke, the head of the Federal Reserve, asked him about inflation and confronted him, do you buy your own groceries?
[00:17:47.245 --> 00:17:48.926]  Do you see the inflation for yourself?
[00:17:49.306 --> 00:18:08.264]  The official government statistics show only about 2% inflation, but Ron Paul points out here in the clip we're about to watch that the old CPI, the Consumer Price Index, and how the old way of measuring it shows prices actually going up at 9% inflation rate, but he says whatever percentage you want to agree on,
[00:18:08.644 --> 00:18:13.688]  We are losing the value of the dollar and it's the Federal Reserve's policies that are doing it.
[00:18:14.549 --> 00:18:30.761]  And he has a great clip here, but what's not in that clip is we are witnessing today the end stages of a grand experiment, Paul said, adding the Fed's control over the nation's monetary supply has directly caused economic bubbles and all but destroyed the purchasing power of the dollar.
[00:18:31.241 --> 00:18:45.767]  And then you turn to Bernanke news from today, also from that same appearance in the House Financial Services Committee, and it's hopeful news about how the S&P is growing even though he's not signaling for more stimulus.
[00:18:46.047 --> 00:18:51.209]  Well, in fact, they're basically doing QE3, whatever they decide to call it publicly, whether they ever admit it.
[00:18:51.869 --> 00:18:55.511]  But you see in the reports that were posted on Drudge and other sites how
[00:18:55.911 --> 00:18:58.853]  Bernanke dashed hopes for further monetary stimulus.
[00:18:59.813 --> 00:19:04.716]  The market is far from normal, but they hope for increases.
[00:19:04.756 --> 00:19:10.679]  But the gas prices will temporarily surge and push up inflation, reducing the consumer's purchasing power.
[00:19:11.099 --> 00:19:17.082]  And about how people are upset about the end of free money, it's actually helping to further debase our economy.
[00:19:17.463 --> 00:19:21.805]  But of course, this is just Bernanke publicly saying he's not going to continue these
[00:19:22.225 --> 00:19:25.569]  Mr. Bernanke, if you don't mind, would you tell me whether or not you do your own shopping at the grocery store?
[00:19:43.908 --> 00:19:44.348]  Yes, they do.
[00:19:44.789 --> 00:19:46.430]  Okay, so you're aware of the prices.
[00:19:46.810 --> 00:19:50.453]  But you know, this argument that prices are going up about 2%, nobody believes it.
[00:19:50.873 --> 00:19:54.456]  You know, the old CPI says prices are going up at 9%, they believe this.
[00:19:54.856 --> 00:19:56.877]  If people have fixed incomes, they're really hurting.
[00:19:57.078 --> 00:20:05.564]  The middle class is really hurting because their inflation rate is very much higher than the government tries to tell them, and that's why they lose trust in government.
[00:20:06.044 --> 00:20:15.457]  But you know, this whole idea about prices and debasement of currency, if you loaned me $100 and in two years from now I gave you $90 back, you'd be pretty upset.
[00:20:16.098 --> 00:20:20.144]  But we hand money back that's worth 10 or 15 or 20% less.
[00:20:22.607 --> 00:20:26.388]  And nobody seems to be able to do anything about it, but it's very upsetting.
[00:20:26.688 --> 00:20:27.468]  But it's theft.
[00:20:27.528 --> 00:20:33.350]  If I don't give you your full $100 back, if you loan me $100, I'm stealing $10 from you.
[00:20:33.450 --> 00:20:36.110]  So somebody's stealing wealth, and this is very upsetting.
[00:20:36.270 --> 00:20:43.432]  This ounce of silver, back in 2006, would buy over four gallons of gasoline.
[00:20:44.332 --> 00:20:48.934]  Today, today it'll buy almost 11 gallons of gasoline.
[00:20:49.334 --> 00:20:54.996]  That's preservation of value, and that's what the market has always said should be money.
[00:20:55.477 --> 00:21:03.440]  Money comes into effect in a natural way, not in an edict, not by fiat, by governments declaring it is money.
[00:21:04.100 --> 00:21:12.603]  And with more on that, we turn now to former Assistant Secretary to the Treasury under Reagan, better known as the father of Reaganomics, Dr. Paul Craig Roberts.
[00:21:12.623 --> 00:21:13.484]  Thanks for joining us, sir.
[00:21:14.204 --> 00:21:14.985]  Pleased to be with you.
[00:21:16.146 --> 00:21:17.467]  I know there's a lot going on.
[00:21:17.987 --> 00:21:26.073]  Economics issues, of course, always up front because they're always downplaying the inflation rate, but we continue to have total economic devastation.
[00:21:26.113 --> 00:21:27.254]  What's your outlook on that, sir?
[00:21:28.936 --> 00:21:30.076]  Well, there's no recovery.
[00:21:30.717 --> 00:21:32.939]  There can't be because the jobs are offshored.
[00:21:35.636 --> 00:21:41.678]  Consumers have no increase in their income to support a growth in consumer demand.
[00:21:41.698 --> 00:21:51.280]  They can't borrow anymore because they're too deeply in debt and the banks are too insolvent to lend, and so the economy is just dead in the water.
[00:21:52.600 --> 00:21:54.521]  And we'll stay that way for some time.
[00:21:54.541 --> 00:21:59.062]  In fact, most likely later this year it'll drop further.
[00:22:00.580 --> 00:22:02.141]  And so there's fresh reports today.
[00:22:02.161 --> 00:22:03.462]  It was linked on the Drudge Report.
[00:22:03.642 --> 00:22:06.144]  S&P 500 logs best start to the year since 91.
[00:22:06.204 --> 00:22:08.706]  Kind of a hopeful sounding headline.
[00:22:09.487 --> 00:22:14.731]  But in this and other coverage, they've definitely indicated that QE3 may finally be officially on the table.
[00:22:15.331 --> 00:22:21.516]  I know a lot of people who follow the issue have been saying it's pretty much been going on in a de facto sense anyway.
[00:22:22.497 --> 00:22:23.818]  And we were bringing up this issue as well.
[00:22:25.509 --> 00:22:32.070]  Well, it seems to me that it has to be going on in order for the Federal Reserve to keep the interest rates near zero.
[00:22:33.351 --> 00:22:45.793]  If you're not buying bonds, one would think that the rate would rise because the inflation is certainly there and all of the interest rates are negative at this time.
[00:22:46.953 --> 00:22:51.875]  So when you have a negative interest rate on a 30-year bond, it has to be fixed in some way.
[00:22:51.895 --> 00:22:53.975]  The Fed has to be fixing the price.
[00:22:55.575 --> 00:22:59.117]  So, you know, they will deny QE3.
[00:22:59.937 --> 00:23:02.138]  In fact, isn't that what Bernanke did today?
[00:23:02.939 --> 00:23:04.380]  Didn't he say no more stimulus?
[00:23:04.480 --> 00:23:06.161]  And so the gold market collapsed.
[00:23:07.241 --> 00:23:08.402]  Why does anyone believe him?
[00:23:09.747 --> 00:23:12.749]  And so gold did fall a pretty large number.
[00:23:12.789 --> 00:23:15.791]  I didn't see the exact numbers, but maybe they can pull them up on the screen.
[00:23:15.811 --> 00:23:18.112]  It's down $90 right now.
[00:23:18.132 --> 00:23:22.455]  It fell $100, which is quite a big drop.
[00:23:23.435 --> 00:23:32.701]  And it seems like it's all, you know, once the money managers and the hedge funds got into gold investments, it changed the nature of the market.
[00:23:34.689 --> 00:23:35.849]  It's made it more volatile.
[00:23:36.009 --> 00:23:38.550]  It drives it up and it also drives it down.
[00:23:38.630 --> 00:23:42.751]  So apparently all the money managers and hedge funds sold their gold positions.
[00:23:43.571 --> 00:23:45.811]  Because apparently they believe Bernanke.
[00:23:47.752 --> 00:23:49.852]  That he's going to leave the economy dead in the water.
[00:23:50.732 --> 00:24:02.695]  And that we're going to go into an election dead in the water or maybe even with the second down leg of this depression coming into play.
[00:24:04.520 --> 00:24:04.900]  Yes, sir.
[00:24:05.301 --> 00:24:10.904]  And so turning to foreign policy issues, you've got the most recent column silencing the critics.
[00:24:11.324 --> 00:24:18.109]  You bring up a lot of elements of the attack on the domestic extremists and the FBI's paranoia and all their cooked up cases.
[00:24:18.589 --> 00:24:31.597]  And of course, as we continue to march towards war in Syria and Iran and generally in that region, stoking Russia, there's a lot of important stuff going on with the Russian elections and I guess the larger Washington-based
[00:24:32.498 --> 00:24:37.740]  Well, I think one of the most important things is that the United States, if it proceeds with the Syrian and particularly the Iranian attacks,
[00:24:54.432 --> 00:25:06.981]  It shows that it's prepared to be more and more unilateral because it no longer has the cover of a UN resolution for the attack on Iran.
[00:25:07.701 --> 00:25:14.026]  That was vetoed by China and Russia, and it no longer has a coalition of the willing.
[00:25:14.086 --> 00:25:17.248]  It's got one British warship and one French warship.
[00:25:19.913 --> 00:25:37.785]  So it means that if they do go ahead with an attack on Iran, that Washington is prepared to be very unilateral and to risk a more direct confrontation with Russia and China.
[00:25:38.706 --> 00:25:43.529]  Now the situation in Syria is they're going to attempt to do the same thing they did in Libya.
[00:25:45.340 --> 00:25:56.307]  And quite clearly they're not interested in Syrian democracy because Assad had the referendum and the vast majority of the people who voted supported it.
[00:25:57.168 --> 00:26:07.014]  And what they support is the rise of political parties and the prospect of a different party governing
[00:26:08.254 --> 00:26:09.475]  Syria and Assad.
[00:26:10.056 --> 00:26:14.459]  And you would think that Washington really liked democracy, they would get behind this.
[00:26:14.539 --> 00:26:15.740]  But no, they denounced it.
[00:26:17.782 --> 00:26:23.186]  They denounced it and they are determined to overthrow Assad.
[00:26:23.306 --> 00:26:32.273]  And this also brings more risk of confrontation with Russia because of the Russian naval base at Tartus.
[00:26:33.471 --> 00:26:41.576]  And the Russians quite clearly see that this is an effort on the part of the United States to evict them from the Mediterranean.
[00:26:42.657 --> 00:27:01.810]  So as Washington goes forward with these wars, they are risking more and more direct confrontation with nuclear armed powers, Russia and China, neither one of which we would be able to invade or occupy or
[00:27:02.470 --> 00:27:10.377]  If they can't occupy Baghdad or Fallujah, how are they going to occupy Beijing or Moscow?
[00:27:11.038 --> 00:27:13.420]  So it's becoming absurd.
[00:27:15.062 --> 00:27:21.688]  It must be hubris and arrogance running very strong in the veins of the Washington policymakers.
[00:27:22.288 --> 00:27:23.690]  And it puts us all at risk.
[00:27:24.807 --> 00:27:29.072]  Well, of course they're interested in democracy the way a duck hunter is interested in using a decoy.
[00:27:30.053 --> 00:27:39.544]  But they've not only launched the whole Arab Spring movement and everything going on in the Middle East, but they're using that same democracy wedge to put pressure on Putin and Russia.
[00:27:39.764 --> 00:27:40.786]  Let's talk about that issue.
[00:27:41.787 --> 00:27:43.969]  Well, the Russian opposition
[00:27:45.080 --> 00:27:56.663]  Is of course financed by the NGOs that get the money from the National Endowment for Democracy, which many people regard as the CIA front.
[00:27:57.263 --> 00:28:02.084]  And it was set up to destabilize America's enemies.
