[00:00:03.592 --> 00:00:03.632]  Oh,
[00:07:11.299 --> 00:07:22.346]  The government, on the other hand, is menacing and coldly circling around us and pretending there's this false debate between left and right and that they're about to agree on, quote, reasonable measures.
[00:07:22.706 --> 00:07:27.650]  Meanwhile, has anyone actually studied the real case concerning the Batman shootings?
[00:07:27.950 --> 00:07:30.412]  Well, John Bounds has been following the evidence.
[00:07:30.772 --> 00:07:36.856]  He's got some pretty important connections about how they never even followed up on the other reports of other shooters.
[00:07:37.256 --> 00:07:43.660]  Yet it made the police scanners, witnesses at the theater, all brought this issue up, but it's not good enough for the police chief.
[00:07:44.020 --> 00:07:45.101]  Let's roll that footage now.
[00:07:45.621 --> 00:07:50.864]  Police Chief Dan Oates issues this immediate public statement, claiming there's just one shooter.
[00:07:50.964 --> 00:07:58.128]  Every single indicator is that this is all Mr. Holmes' activity and that he wasn't particularly aided by anyone else.
[00:07:58.348 --> 00:08:11.833]  This is the same police chief that presided over a blatant violation of the Fourth Amendment by illegally cuffing and detaining 40 innocent people, including women and children, for over two hours while looking for a bank robber.
[00:08:12.514 --> 00:08:15.915]  Early on, the police scanner supports the one-shooter theory.
[00:08:15.935 --> 00:08:20.397]  Sixteen Adam, I need a marked car behind the theater, stable side.
[00:08:20.457 --> 00:08:22.918]  Got a suspect in a gas mask.
[00:08:23.918 --> 00:08:25.839]  Two-Nine, okay, and we need cars south side.
[00:08:27.722 --> 00:08:30.443]  Mainstream media promotes the one-shooter theory.
[00:08:30.463 --> 00:08:32.424]  And honestly, for the record, there was only one guy.
[00:08:32.644 --> 00:08:37.486]  Yes, actually, the shooting probably started, like lasted probably for like about a minute or two.
[00:08:37.827 --> 00:08:43.029]  But according to the police scanner, another suspect is spotted just three minutes later.
[00:08:43.049 --> 00:08:47.251]  321, one of the shooters might be wearing a white and blue plaid shirt.
[00:08:48.012 --> 00:08:49.793]  From what we saw, he wasn't alone.
[00:08:49.813 --> 00:08:53.615]  He had someone with him because the second can of tear gas didn't come from his side.
[00:08:53.655 --> 00:08:55.556]  He was completely dressed in black, head to toe.
[00:09:10.243 --> 00:09:15.308]  From what we saw, it seemed like he had something over his face, probably to prevent him from breathing it in.
[00:09:15.328 --> 00:09:23.977]  We can only assume that someone got him in, because whatever he was wearing seemed thick, so I don't think he would really... I think he'd stand out in a crowd.
[00:09:24.702 --> 00:09:29.845]  One shooter theory loses even more credibility when a second gas mask is discovered.
[00:09:30.226 --> 00:09:38.071]  How is it possible that 12 people were killed and 58 were injured by a semi-automatic weapon that jammed?
[00:09:38.971 --> 00:09:41.393]  He shot easily like 60 or 70 rounds.
[00:09:41.713 --> 00:09:47.176]  Then there is the official story given by the president himself concerning the blood path behind the theater.
[00:09:48.077 --> 00:09:52.560]  Obama claims that this wound spilled what appears to be buckets of blood.
[00:09:53.420 --> 00:10:01.006]  In the aftermath, the vulture media swoops in, misquoting Holmes' mother regarding the shooting, causing her to issue this statement.
[00:10:01.366 --> 00:10:05.369]  I did not know anything about a shooting in Aurora at that time.
[00:10:06.630 --> 00:10:15.077]  He asked if I was Arlene Holmes, and if my son was James Holmes, who lives in Aurora, Colorado.
[00:10:16.238 --> 00:10:19.000]  I answered, yes, you have the right person.
[00:10:19.591 --> 00:10:28.835]  Holmes' father worked for San Diego-based HNC Software, Inc., a company that worked with DARPA to develop quatronic neural networks.
[00:10:29.215 --> 00:10:35.117]  These enable machines to translate oral and visual stimuli and simulate human thinking.
[00:10:35.477 --> 00:10:39.919]  And Holmes' grandfather had deep ties into the intelligence framework of the U.S.
[00:10:39.979 --> 00:10:40.539]  military.
[00:10:40.899 --> 00:10:47.282]  The children of people with similar backgrounds are highly susceptible to exposure to monarch mind control.
[00:10:47.802 --> 00:11:00.087]  Using brainwashed patsies in PSYOP massacres has become a commonplace thread in American history as the shadow government strengthens its stranglehold on public perception.
[00:11:00.469 --> 00:11:13.393]  Instead of really digging into why this apartment would be rigged to kill, but then Holmes would then warn police, and then lawyer up and not say anything else, where he got the funding and the firearms training, and these eyewitness reports that there was more than one person?
[00:11:13.433 --> 00:11:20.855]  Yeah, instead of asking those questions, national media want to focus all their attention on why guns were legal in the first place.
[00:11:21.553 --> 00:11:25.678]  Now is the time to shine a light on the obvious motive behind this tragic event.
[00:11:25.878 --> 00:11:29.542]  The motive to pass the United Nations Treaty on Small Arms.
[00:11:30.182 --> 00:11:32.084]  John Bowne, InfoWars Nightly News.
[00:11:32.952 --> 00:11:36.974]  And of course we now know that the UN gun ban is on hold, but only for now.
[00:11:37.034 --> 00:11:43.536]  They may pass it after the election, during a possible Obama lame duck session, or when he's re-energized with the vote.
[00:11:43.576 --> 00:12:00.323]  But the points Ballin makes in that video are so important, and the points that that one mainstream outlet made about why aren't they talking about all these questions about another shooter, the other gas masks, the unanswered questions, but instead we have to talk about gun control on the backs of all these victims
[00:12:00.663 --> 00:12:05.626]  Well, I'm thankful for one thing, and that is the backbone, the courage of the families of these members.
[00:12:05.967 --> 00:12:07.488]  And I don't say that lightly.
[00:12:07.508 --> 00:12:11.790]  We've got a clip, it was in that O'Reilly clip where he calls for gun control, yet it was on MSNBC where...
[00:12:23.943 --> 00:12:38.971]  Jordan Ghani, I don't know if I'm pronouncing his name, but he has the courage to fight back against these MSNBC anchors as they try to goad him into being the excuse for gun control and he instead says no, this does not need to be politicized for greater gun control.
[00:12:39.292 --> 00:12:40.532]  You know when they did that before?
[00:12:40.892 --> 00:12:48.437]  The last time they tried to use a very unfortunate tragic shooting to bring about gun control measures but they thought better and didn't do it.
[00:12:48.797 --> 00:12:50.858]  That was after the Gabrielle Giffords shooting
[00:12:51.238 --> 00:12:51.498]  I think?
[00:13:10.146 --> 00:13:31.944]  Talking point of getting everyone together behind the idea that guns kill people when it's people who kill people as the bumper sticker goes Well, that's just a bunch of nonsense and they're preying upon our weak minds when we're in the delusional state of thinking about the victims thinking about our own mortality and thinking about how can we fight back against what obviously most people don't want to happen and that's
[00:13:32.685 --> 00:13:34.247]  The death of innocence, obviously.
[00:13:34.648 --> 00:13:44.300]  But you know, there's another point that Baum just briefly makes in that package for about two seconds when they show the gun pointed at the 14-year-old kid, the little teenager.
[00:13:45.041 --> 00:13:48.526]  That was in Aurora, Colorado just a couple months ago.
[00:13:48.826 --> 00:13:50.849]  The town that has a total gun ban, by the way.
[00:13:51.229 --> 00:14:05.513]  They had a bank robbery suspect and they pulled over hundreds, dozens of cars for two hours, handcuffed all the adults, as you saw, put guns to minors' faces because they had a suspected bank robber.
[00:14:05.633 --> 00:14:09.595]  Didn't know anything about them, including gender, race, anything.
[00:14:09.635 --> 00:14:10.915]  No physical description.
[00:14:11.295 --> 00:14:14.596]  They just believed there was a bank robber somewhere at the traffic stop.
[00:14:14.916 --> 00:14:17.317]  And on that basis, they stopped all these people
[00:14:17.697 --> 00:14:21.160]  Handcuffed them and detained them when they didn't do their proper policing.
[00:14:21.500 --> 00:14:24.122]  Yet you see the total opposite here with the Batman shooting.
[00:14:24.442 --> 00:14:25.763]  Isn't that a greater crisis?
[00:14:25.863 --> 00:14:37.132]  All the loss of life, not just a bank robbery money, but they don't even hold these people up, ask them all questions, try to figure out if there was anyone else suspicious at the theater.
[00:14:37.592 --> 00:14:39.073]  I don't know, it doesn't make sense to me.
[00:14:39.093 --> 00:14:44.237]  These are questions that need to be investigated, but instead they just want to talk about gun control.
[00:14:44.697 --> 00:14:48.799]  And that's because you see DHS preparing for civil unrest.
[00:14:49.179 --> 00:14:57.462]  Headline, this was on Drudge Report over the weekend and it's bombshell, DHS prepares for civil unrest as Obama poised to destroy the Second Amendment.
[00:14:58.723 --> 00:15:00.384]  That's our contributor Susan Posl.
[00:15:01.204 --> 00:15:04.306]  It really just highlights the fact that there's 30,000 drones.
[00:15:04.667 --> 00:15:16.616]  Janet Napolitano was just in a House hearing last week justifying this, saying how it's all for public safety, that they're going to have tens of thousands of drones spying on everything imaginable in this country.
[00:15:17.056 --> 00:15:29.746]  It's all to get ready for this economic collapse or the possible fight back against new gun bans or any other crazy policies that this administration or any other tries to jam down Americans' throats, and we've seen them
[00:15:30.306 --> 00:15:34.490]  Saying that the new terrorism is going to be a lone wolf.
[00:15:34.570 --> 00:15:35.691]  It's some kind of American.
[00:15:35.731 --> 00:15:36.772]  It's White Al Qaeda.
[00:15:37.073 --> 00:15:39.575]  They've been demonizing tea parties, returning veterans.
[00:15:39.955 --> 00:15:42.658]  You don't think we could see how this is all being added together?
[00:15:42.958 --> 00:15:46.662]  They want a strategy, attention against the people themselves in this country.
[00:15:47.102 --> 00:15:48.464]  That's why we're all getting armed.
[00:15:48.644 --> 00:15:49.605]  Nobody wants a fight.
[00:15:49.845 --> 00:15:53.549]  But Homeland Security has repeatedly shown that they do want a fight.
[00:15:53.929 --> 00:15:55.731]  And it's not just Homeland Security.
[00:15:56.051 --> 00:15:57.373]  The Army is in the news.
[00:15:57.393 --> 00:15:58.194]  The U.S.
[00:15:58.294 --> 00:16:02.378]  Army purchases riot gear as fears over civil unrest grow.
[00:16:02.738 --> 00:16:09.786]  Well, you know and I know if you've been watching this program for any amount of time, the Army War College police stations in Arizona
[00:16:10.186 --> 00:16:24.118]  Different parts of the National Guard and Army have all been preparing for the civil unrest with their own riot gear and everything else since at least 2008, before the economic crisis had really even truly begun, when it was just beginning, if you will.
[00:16:24.759 --> 00:16:26.680]  And they've seen all this coming.
[00:16:26.740 --> 00:16:27.981]  It's just disgusting.
[00:16:28.302 --> 00:16:35.188]  But you have Paul Joseph Watson reporting on this, the purchase of the riot gear, and how the recently leaked U.S.
[00:16:35.248 --> 00:16:37.610]  Army military training manual for civilian
[00:16:38.070 --> 00:16:47.013]  Civil disturbance operations outlines military assets used to domestically quell riots, confiscate firearms, and even kill Americans on U.S.
[00:16:47.033 --> 00:16:48.514]  soil during mass arrests.
[00:16:48.654 --> 00:16:57.537]  Yes, the manual says don't even fire a warning shot, just fire on people if they're believed to be rioters or basically otherwise causing problems.
[00:16:57.617 --> 00:16:58.597]  Fire on Americans!
[00:16:58.658 --> 00:17:00.118]  Will you fire on Americans?
[00:17:00.438 --> 00:17:04.460]  And they've done surveys at all these different military training institutes.
[00:17:04.780 --> 00:17:05.120]  You've seen
[00:17:05.860 --> 00:17:11.124]  Entire units stand down, refusing to answer these surveys, but it's been going on for some time.
[00:17:11.445 --> 00:17:12.425]  It's a complex issue.
[00:17:12.465 --> 00:17:15.208]  I can't give you all the details here, but the government's ready.
[00:17:15.488 --> 00:17:15.968]  They're ready.
[00:17:16.268 --> 00:17:18.210]  They don't like individual Americans with rights.
[00:17:18.250 --> 00:17:21.773]  That's why they're so willing to embrace gun control at every opportunity.
[00:17:21.813 --> 00:17:26.176]  Whether you believe they staged these crises or not, you're damn sure they seized upon them.
[00:17:26.577 --> 00:17:29.959]  You can see it time and again, and I really hope they don't do it in this country.
[00:17:30.460 --> 00:17:31.560]  And here they are again.
[00:17:32.421 --> 00:17:47.775]  Government military to fly predator drones over North Dakota and they've got new FAA regulations allowing the National Guard to train with predator drones with laser-guided bombs and missiles on domestic soil in North Dakota.
[00:17:48.055 --> 00:17:57.942]  And they've already been mixing the metaphors because they've been using drones in North Dakota in particular to spy on that farmer who was accused of stealing, I think, six cows or something.
[00:17:58.342 --> 00:18:06.689]  And here they are separately training for the type of predator drones that actively use missiles and other high technology weapons.
[00:18:07.129 --> 00:18:08.390]  And you bet it's all coming home.
[00:18:08.810 --> 00:18:09.691]  Unfortunately, it is.
[00:18:10.291 --> 00:18:20.779]  Anyway, they go into the details here and different aircraft owners and pilots associations object in particular to the use of lasers because they could be dangerous to other aircraft.
[00:18:21.320 --> 00:18:31.208]  So we're going to turn now to some power news, but of course war always does go hand-in-hand with power, with competing interest for energy, how it's going to be distributed.
[00:18:31.588 --> 00:18:32.629]  It's a big issue.
[00:18:32.789 --> 00:18:37.412]  I don't pretend to bring you all the answers, but it's in the news that more than 370 million Indian people
[00:18:39.734 --> 00:18:46.320]  Lost power this week in a country of more than a billion people that's close to or at a third of the total population.
[00:18:46.760 --> 00:18:56.468]  More than the population of the US and Canada combined lost power during a midsummer outage where basically their grid was not able to hold up.
[00:18:56.848 --> 00:19:00.931]  This has happened on many occasions but never on this wide of a scale.
[00:19:01.312 --> 00:19:06.156]  It's really crippling things like transportation there as well as the basic modes for survival.
[00:19:06.556 --> 00:19:07.977]  But that's a developing country.
[00:19:08.337 --> 00:19:11.578]  It's unfortunate, but you can understand where they may have some real problems.
[00:19:11.879 --> 00:19:13.299]  But what's happening in the U.S.
[00:19:13.339 --> 00:19:18.502]  is we've got a first world nation being voluntarily rolled back to third world status.
[00:19:18.682 --> 00:19:23.104]  All for saving the planet, of course, and how evil we are to consume energy.
[00:19:23.624 --> 00:19:27.047]  Yeah, we don't get any real alternative energy solutions.
[00:19:27.427 --> 00:19:30.770]  We just want to shut down the existing resources for energy.
[00:19:30.810 --> 00:19:32.932]  I'm talking, of course, about coal plants.
[00:19:33.372 --> 00:19:34.773]  Yes, they've been dirty in the past.
[00:19:34.894 --> 00:19:38.156]  Yes, I think there's a valid argument over the environmental impact.
[00:19:38.437 --> 00:19:40.678]  But there's been a lot of upgrades at these facilities.
[00:19:40.759 --> 00:19:42.340]  Not all the coal plant facilities.
[00:19:42.820 --> 00:19:50.986]  A lot of them have implemented the new EPA standards to catch things like mercury, vapors that are emitted and so forth and so on.
[00:19:51.326 --> 00:19:54.929]  Yet you see Obama promising to bankrupt the coal industry.
[00:19:55.249 --> 00:20:02.314]  You see Senator Jay Rockefeller in the key state of West Virginia using his Rockefeller clout to tell them, yeah, we are going to go after coal.
[00:20:02.634 --> 00:20:06.077]  And they're shutting down coal plants every week across the country.
[00:20:06.457 --> 00:20:07.998]  Just a couple of those headlines.
[00:20:09.099 --> 00:20:11.541]  Two coal-burning plants to power down early.
[00:20:11.561 --> 00:20:16.245]  That is in Pilsen and Little Village there in Illinois.
[00:20:16.966 --> 00:20:19.388]  Obama's quote, home state of Chicago.
[00:20:19.748 --> 00:20:20.729]  They're shutting them down.
[00:20:21.009 --> 00:20:25.413]  You've also got three coal power plants closing in West Virginia.
[00:20:25.513 --> 00:20:27.755]  We just mentioned Lord Rockefeller.
[00:20:28.355 --> 00:20:30.076]  And it's happening all across the country.
[00:20:30.136 --> 00:20:38.099]  Texas has been very heavily targeted because we're more than 50% supplied by coal power, as are several of the surrounding states.
[00:20:38.459 --> 00:20:56.066]  Now let's go now to some of the clips of Obama over the course of his term, calling to shut down coal plants, and then where using the EPA, where they couldn't get carbon dioxide restrictions, where they couldn't pass the carbon tax mandates, they use the EPA on policy to shut these things down.
[00:20:56.086 --> 00:20:56.626]  Let's roll that.
[00:20:59.065 --> 00:21:06.668]  Obama hit struggling Americans with energy rate hikes following Barack Obama's vow to bankrupt the coal power industry.
[00:21:07.149 --> 00:21:16.473]  Americans are set to be hit with a wave of utility bill hikes as draconian EPA regulations drive up the cost of energy.
[00:21:16.593 --> 00:21:18.974]  So if somebody wants to build a coal power plant, they can.
[00:21:19.634 --> 00:21:27.497]  It's just that it will bankrupt them because they're going to be charged a huge sum for all that greenhouse gas that's being emitted.
[00:21:28.037 --> 00:21:46.543]  The Obama administration's crusade against coal-fired power plants, which was launched on the back of discredited junk science about hyped global warming threats, has little to do with improving the environment and everything to do with lowering living standards by creating artificial scarcity.
[00:21:47.043 --> 00:21:54.446]  The EPA has now listed as harmful carbon dioxide that is part of the life cycle of the planet.
[00:21:55.027 --> 00:22:09.173]  New EPA rules dictate that utility companies will be forced to spend an initial outlay of $800 million to conform with regulations that mandate harmful emissions be reduced under the Clean Air Act.
[00:22:09.613 --> 00:22:12.455]  And yet power plants supplied by General Electric
[00:22:13.135 --> 00:22:20.981]  One of Barack Obama's biggest campaign contributors have received an EPA waiver and will not be subject to the new regulations.
[00:22:21.662 --> 00:22:29.989]  The new rules will exacerbate the problem of rolling blackouts, warns Donna Nelson, head of the Texas Public Utility Commission.
[00:22:30.629 --> 00:22:39.357]  Nelson said, quote, I have no doubt in my mind that this rule will result in reliability issues and rolling outages in Texas.
[00:22:39.978 --> 00:22:54.151]  Obama's strict enforcement of draconian EPA regulations has led to new clean-burning coal-fired plants being mothballed and other existing ones being shut down, which has in turn led to Texas and other states becoming energy-dependent.
[00:22:55.330 --> 00:23:00.072]  All of this, of course, will lead to significantly higher utility bills for U.S.
[00:23:00.112 --> 00:23:09.097]  citizens, who are being assaulted with more and more expenses, even as the threat of a double-dip recession lowers living standards.
[00:23:11.820 --> 00:23:15.843]  And these are economic sanctions being placed on the American people.
[00:23:16.224 --> 00:23:21.228]  I realize, I recognize there's a partially valid environmental excuse going on here.
[00:23:21.528 --> 00:23:23.349]  This is not about saving the environment.
[00:23:23.369 --> 00:23:25.111]  They're doing nothing to stop that.
[00:23:25.131 --> 00:23:28.414]  They're allowing the pollution to go on from many of the major polluters.
[00:23:28.734 --> 00:23:31.136]  They just have to get the carbon credits and play along with the game.
[00:23:31.596 --> 00:23:42.482]  This is artificial scarcity, not shutting down a power plant when it's reached its maximum ability, when it can no longer safely supply power, as we think probably happened with this Indian case.
[00:23:42.802 --> 00:23:53.687]  This is artificially setting limits for shutting down these power plants on the basis of the carbon emissions, and it affects real people no matter what the best arguments are for the environmental side of things.
[00:23:54.107 --> 00:23:54.728]  This is in the
[00:23:55.548 --> 00:24:06.772]  In the heat of summer and in the dead of winter, shutting down power when old people who are very frail and fragile can't afford to turn on their air conditioners, can't afford to turn on their heaters respectively.
[00:24:06.792 --> 00:24:11.614]  And I live in Austin where they have voluntarily signed up for these carbon emission limits.
[00:24:12.074 --> 00:24:18.176]  It is skyrocketing the energy prices and they've just barely gotten started as they phase in these policies over time.
[00:24:18.556 --> 00:24:32.401]  I've actually looked at the charts and the way they have three-time price increases, how Austin decided to voluntarily accept, I think, around three-time the carbon limits they were trying to impose on the entire country, and it's just devastating.
[00:24:32.441 --> 00:24:33.442]  It's very devastating.
[00:24:33.462 --> 00:24:41.945]  But you think it's probably just about the energy and how we need a green future and we need renewable sources, and that is dinosaur energy anyway.
[00:24:42.285 --> 00:24:42.645]  I agree.
[00:24:42.685 --> 00:24:46.266]  I'd like to see some new energy come to market.
[00:24:46.626 --> 00:24:48.906]  I'd like them to stop suppressing alternative energy.
[00:24:48.926 --> 00:24:50.547]  But that's not going to happen overnight.
[00:24:50.647 --> 00:24:58.428]  It's not going to happen with phony green friends on the left who are really just dictators and occupationists in the Obama administration.
[00:24:58.848 --> 00:24:59.648]  Why do I say that?
[00:24:59.728 --> 00:25:02.109]  Because they're also going after rainwater.
[00:25:02.449 --> 00:25:07.530]  Yes, they've arrested a man in Oregon on the basis that he cannot collect his own rainwater.
[00:25:07.970 --> 00:25:08.790]  Sound incredible?
[00:25:09.250 --> 00:25:09.710]  It's true.
[00:25:11.158 --> 00:25:23.165]  Today, Jackson County, Oregon says it's your rainwater and the country has sentenced a man to 30 days in jail and fined him $1,500 for the supposed crime of collecting rainwater on his own property.
[00:25:23.705 --> 00:25:29.208]  The man's name is Gary Harrington and he owns over 170 acres of land in Jackson County.
[00:25:29.668 --> 00:25:30.749]  On that land he has three
[00:25:31.269 --> 00:25:34.850]  Ponds, and those ponds collect rainwater that fall on his land.
[00:25:34.950 --> 00:25:42.312]  Common Sense would say he has every right to the ponds with the water on his property, but Common Sense has been all but abandoned.
[00:25:42.792 --> 00:25:52.734]  And here they are arguing that once it heads towards natural waterways, it's no longer your water, no longer the Earth's water, but the government's water.
[00:25:53.544 --> 00:25:55.365]  But the issue is, in fact, bigger than that.
[00:25:55.665 --> 00:25:59.386]  But I would point out, this has been in the media for over a week.
[00:25:59.746 --> 00:26:09.609]  I've heard the audio commentary from this guy, Harrington, and he's quoted in part as saying, when something's wrong, you just as an American citizen have to put your foot down and say it.
[00:26:09.669 --> 00:26:10.330]  This is wrong.
[00:26:10.650 --> 00:26:13.511]  You can't just take away any more of my rights from here on in.
