[00:00:28.664 --> 00:00:29.485]  I'm Aaron Dykes.
[00:06:31.218 --> 00:06:36.002]  So he's Europe at large and you've got other figures in Belgium and Germany as well.
[00:06:36.382 --> 00:06:45.448]  Really just solidifying this terrible takeover as there's all this pressure for more and more bailouts with the smaller European countries as that gets more and more out of hand.
[00:06:45.849 --> 00:06:47.270]  Who is soaking up the power?
[00:06:47.850 --> 00:06:49.011]  Not the money, the power.
[00:06:49.611 --> 00:06:50.531]  That's Goldman Sachs.
[00:06:50.731 --> 00:06:51.432]  We just told you that.
[00:06:52.172 --> 00:06:55.134]  Meanwhile, the ACTA Treaty is back in the news.
[00:06:55.254 --> 00:07:01.637]  Second MEP, Second Minister of the European Parliament, calls Internet Treaty a threat to liberties.
[00:07:02.217 --> 00:07:12.322]  And so a member of European Parliament who was appointed to oversee a controversial global Internet Treaty has called for the legislation to be scrapped just weeks after his predecessor.
[00:07:12.802 --> 00:07:22.146]  And so MEP David Martin replaces MEP Kader Arif as the EU reporter for ACTA inside the European Parliament.
[00:07:22.546 --> 00:07:25.908]  And David Martin, the new figure himself, said it poses
[00:07:27.566 --> 00:07:56.333]  It poses dangers to civil liberties and outweighs any benefits, which just adds to the long list of complaints from the previous rapporteur for ACTA, MEP Kader Arif, who said, among other things, everyone knows the ACTA agreement is problematic, whether it is the impact on civil liberties, or the way it makes internet access providers liable, or its consequences for generic drugs, or for geographical indications, and more.
[00:07:56.733 --> 00:08:03.935]  Now, of course, we have also warned this week and sounded the alarm on CISPA, the other dangerous new treaty to control the Internet.
[00:08:04.315 --> 00:08:17.319]  And don't be fooled, they're going to keep changing the names a million times if they need to, because they cannot have a free web where you can criticize leaders and in an instant notice draw criticism on the world account.
[00:08:17.799 --> 00:08:19.060]  On the world agenda.
[00:08:19.601 --> 00:08:22.443]  And so you also have to give a mandate to U.S.
[00:08:22.523 --> 00:08:28.848]  Cybercom so they could pass a cybersecurity agenda, legitimize it, and help further take over this country.
[00:08:29.248 --> 00:08:32.691]  And so, you've got headlines just from today, CISPA will improve U.S.
[00:08:33.132 --> 00:08:33.952]  cybersecurity.
[00:08:33.972 --> 00:08:36.895]  Of course it will, because they want the mandate, as I mentioned.
[00:08:37.415 --> 00:08:48.026]  Web inventor Tim Berners-Lee speaks out against CISPA, and CISPA is dangerously vague, and certainly these are all just power grabs to shut down the free web.
[00:08:48.287 --> 00:08:49.268]  We've warned you about that.
[00:08:49.708 --> 00:08:57.336]  Another dangerous power grab in the physical world, mandatory Big Brother black boxes in all new cars.
[00:08:58.317 --> 00:08:58.777]  By the year 2015.
[00:08:58.837 --> 00:09:01.760]  There's another Paul Joseph Watson article.
[00:09:02.060 --> 00:09:10.466]  They've got a bill that has already passed the Senate and it's about to be, quote, rubber-stamped through the House that will require all new cars in the U.S.
[00:09:10.787 --> 00:09:15.210]  to be fitted with black box data recorders from 2015 onwards.
[00:09:15.590 --> 00:09:17.772]  Just absolutely authoritarian.
[00:09:18.112 --> 00:09:28.658]  And they somehow claim that individual car owners would retain the rights to their data, but obviously it's set up so government agencies can get a hold of that data whenever they need it.
[00:09:29.339 --> 00:09:34.962]  And this is part of an ongoing quest for tyranny in automobile and transportation.
[00:09:35.302 --> 00:09:38.004]  Things like OnStar and others have already de facto put
[00:09:38.684 --> 00:09:39.405]  We're good to go.
[00:09:57.265 --> 00:10:00.208]  Encouraged, but did not require adding the system.
[00:10:00.248 --> 00:10:07.593]  So they're being put into cars you've already bought, but by 2015, if they pass this legislation, it will be completely mandatory.
[00:10:08.034 --> 00:10:21.725]  And as they build this Big Brother database system, this Mark of the Beast, even little things like having your inspection sticker out, whereas you might get a ticket now, you can get it taken care of, you have a little bit of window, once you're in the system,
[00:10:22.105 --> 00:10:24.368]  Not authorized for that or any other reason.
[00:10:24.648 --> 00:10:27.952]  Your entire life is going to be shut down until you deal with their system.
[00:10:28.332 --> 00:10:32.117]  If they got warrants out for your arrest, they'll find you quickly and you'll be doing jail time.
[00:10:32.477 --> 00:10:37.463]  Poor people who can't afford to pay some of these regulations will be doing jail time.
[00:10:37.503 --> 00:10:38.304]  It's just crazy.
[00:10:38.864 --> 00:10:57.474]  Another way the government is taking over our lives while completely looting the nation, transferring all economy to the bankers and just making a joke of our country is through the National Oceans Council, another branch of that United Nations Agenda 21 takeover that they've had so much trouble passing.
[00:10:57.894 --> 00:11:05.718]  It's just like the rural councils that Obama announced in 2010 with a long list of government agencies from the Department of Defense,
[00:11:06.078 --> 00:11:06.358]  I think
[00:11:24.585 --> 00:11:27.466]  Mountain areas, environmental regions, on and on.
[00:11:27.806 --> 00:11:30.628]  It's all part of the larger sustainable development grab.
[00:11:30.968 --> 00:11:38.751]  And so from the Human Events article, Zoning the Ocean by Audrey Hudson, she elaborates on Obama's executive order from 2010.
[00:11:38.831 --> 00:11:52.217]  President Obama has an ambitious plan for Washington bureaucrats to take command of the oceans and with it control over much of the nation's energy, fisheries, even recreation in a move described by lawmakers as the ultimate power grab
[00:11:52.737 --> 00:11:54.319]  Over the Zone of the Seas.
[00:12:09.654 --> 00:12:21.037]  John P. Holdren, who happens to head this Oceans Council, on his genocidal quotes from the past and other questions along these lines about these United Nations power grabs.
[00:12:21.477 --> 00:12:27.538]  So it goes on, the order says they shall develop a scheme for oversight of oceans and all the sources thereof.
[00:12:27.918 --> 00:12:35.240]  That is Representative Flores saying, so you could have a snowflake land on Pikes Peak and ultimately it's going to wind up in the water.
[00:12:35.640 --> 00:12:38.902]  As a result, they can regulate every square inch of U.S.
[00:12:38.942 --> 00:12:42.063]  soil, because the water goes everywhere, the air goes everywhere.
[00:12:42.323 --> 00:12:49.526]  The United Nations wants to take over what they call the global commons, because it knows no borders, no bounds.
[00:12:50.047 --> 00:12:56.690]  All people are subject to the basic elements of our planet, so if they can establish regulation over that, they've got us all.
[00:12:57.762 --> 00:13:12.434]  The article goes on, critics of the revised plan say it's more narrowly focused and the Obama administration is taking their marching orders from environmental groups who want to move away from multiple-use ocean policy to a no-use policy.
[00:13:12.755 --> 00:13:24.224]  What have we always said about Agenda 21 is to restrict land, keep people, move them away from the land so it's not usable, so it's zoned in a way that the land cannot be used.
[00:13:24.244 --> 00:13:25.946]  That's largely what this is about.
[00:13:26.346 --> 00:13:40.557]  Now, the National Oceans Council and this plan is still in draft form, and they're still simultaneously trying to pass the Law of the Sea Treaty, or LOST, as in Lost Sovereignty, which is the United Nations form of this treaty.
[00:13:40.897 --> 00:13:49.804]  It's still in draft form, but it still has called for over 150 milestones to be accomplished by next year, and they are in the process of implementing it.
[00:13:50.084 --> 00:13:53.967]  And so you look at the membership of the National Ocean Council, it's
[00:13:54.267 --> 00:14:02.972]  Co-chaired by John P. Holdren, the notorious eugenicist, the genocidalist, who is basically the science star under Obama.
[00:14:03.253 --> 00:14:04.874]  He's one of the authors of Ecoscience.
[00:14:04.894 --> 00:14:08.216]  You also have Nancy Sutley of the Council on Environmental Quality.
[00:14:08.456 --> 00:14:09.616]  But look at the rest of the list.
[00:14:09.736 --> 00:14:13.659]  It's the cabinet officials appointed by Obama and so forth and so on.
[00:14:13.719 --> 00:14:15.360]  Hillary Clinton, Secretary of State.
[00:14:15.700 --> 00:14:17.462]  Leon Panetta, Secretary of Defense.
[00:14:17.862 --> 00:14:20.185]  Ken Salazar, Secretary of the Interior.
[00:14:20.485 --> 00:14:26.010]  Tom Vilsack, Secretary of Agriculture, who's basically a front man just for Monsanto and company.
[00:14:26.391 --> 00:14:28.793]  Sebelius, Head of Health and Human Services.
[00:14:28.813 --> 00:14:35.240]  You got Commerce, Labor, Transportation, Energy, and on and on, including Janet Napolitano,
[00:14:35.600 --> 00:14:36.800]  Head of Homeland Security.
[00:14:36.840 --> 00:14:39.381]  This is exactly like the Rural Council.
[00:14:39.701 --> 00:14:52.785]  In this case, they're trying to establish a council or a Soviet or an unelected governorship over the waterways as they similarly are trying to do over the rural areas, the farmlands, the non-metro districts.
[00:14:53.045 --> 00:14:54.145]  Let's cue that clip.
[00:14:54.526 --> 00:14:59.707]  They've also asked for the right to imprison farmers who wouldn't keep books as prescribed by the federal government.
[00:15:00.287 --> 00:15:02.508]  The Secretary of Agriculture asked for the right
[00:15:03.812 --> 00:15:07.595]  To seize farms through condemnation and resell them to other individuals.
[00:15:08.335 --> 00:15:15.300]  And contained in that same program was a provision that would have allowed the federal government to remove two million farmers from the soil.
[00:15:17.722 --> 00:15:20.565]  If you live in the heartland of America, you have to listen up.
[00:15:20.905 --> 00:15:32.077]  While the nation was distracted with the Anthony Weiner drama, President Obama signed an executive order that will seize greater power over food, fiber, and energy in our vast countryside areas.
[00:15:32.457 --> 00:15:38.723]  The President created the White House Rural Council to quote, make sure we're working across government
[00:15:42.125 --> 00:15:43.865]  Sounds great, but get this.
[00:15:44.226 --> 00:15:48.847]  The Council involves a long list of the most powerful people in America.
[00:15:49.187 --> 00:15:57.450]  Treasury Secretary Tim Geithner, the Defense Secretary's on it, Attorney General Eric Holder, even the head of Homeland Security Janet Napolitano.
[00:15:58.010 --> 00:16:01.151]  Why would Homeland Security be involved in exerting power and influence?
[00:16:01.171 --> 00:16:04.351]  And so here we have Cassandra Anderson's article for InfoWars.
[00:16:04.391 --> 00:16:12.733]  She also has her own blog at Morph City, commenting on Obama's Executive Order 13547, passed in July of 2010.
[00:16:13.313 --> 00:16:21.775]  And as she points out in the article, it is basically the United Nations Law of the Sea Treaty, or LOST, as in lost sovereignty.
[00:16:22.375 --> 00:16:24.017]  But they couldn't get that passed.
[00:16:24.097 --> 00:16:26.039]  It's part of the larger agenda 21.
[00:16:26.680 --> 00:16:32.426]  And so they're passing under executive fiat this total takeover of the waterways.
[00:16:32.927 --> 00:16:38.213]  And it's just important to note the degree to which they plan to take over everything.
[00:16:38.913 --> 00:16:41.876]  You saw what they're doing in the Rural Council, and here they have it again.
[00:16:41.916 --> 00:16:48.561]  It's all these Obama administration officials over everyone's life, unelected, just like the Governor's Board.
[00:16:48.941 --> 00:16:56.247]  The governors themselves were originally elected, but nobody ordered the Board of 10 governors who preside over the FEMA regions.
[00:16:56.547 --> 00:17:02.712]  And then similarly, they have the nation's waterways, the coastways, on and on, broken up into their own
[00:17:03.212 --> 00:17:04.053]  Nine regions.
[00:17:04.414 --> 00:17:09.840]  The whole point here is they're trying to regionalize the United States put under regional control.
[00:17:09.960 --> 00:17:21.453]  Subregions and the larger North American region all under global governance with dozens of agencies like the ropes over Gulliver's Travels.
[00:17:21.733 --> 00:17:34.977]  The Lilliputians have rope after rope, binding them down, not one rope, lots of tiny ropes, circling the globe, putting it under control gradually through all these different policies, through these different advisory panels, through these Soviet blocs.
[00:17:35.017 --> 00:17:36.897]  That's what real communism is.
[00:17:37.317 --> 00:17:39.538]  It's unelected boards ruling over you.
[00:17:39.798 --> 00:17:41.799]  I think I made that point, so I'll just move on.
[00:17:42.739 --> 00:17:45.179]  And that will be our quote of the day.
[00:17:45.680 --> 00:17:49.880]  Watching television is like taking black spray paint to your third eye.
[00:17:50.360 --> 00:17:51.621]  That was from Bill Hicks.
[00:17:51.761 --> 00:17:58.442]  And how true it is, it's just like drinking fluoride kills the pineal gland, which is the scientific name for the third eye.
[00:17:58.842 --> 00:18:08.764]  Really, we're just being distracted under the television systems and the rest of the mind control to keep us from who we really are, from realizing what's really going on in our world, and of course,
[00:18:09.264 --> 00:18:13.165]  Keeping us on our couch and from taking a stand against what's happening.
[00:18:13.385 --> 00:18:14.585]  I hope you won't do that.
[00:18:14.625 --> 00:18:16.505]  I hope you'll support Prison Planet TV.
[00:18:16.825 --> 00:18:18.266]  Help us reach more viewers.
[00:18:18.526 --> 00:18:20.426]  Tell everyone about the InfoWars Nightly News.
[00:18:20.686 --> 00:18:24.567]  Go out on the streets yourself with the signs, the billboards, the banner hangs and the rest of it.
[00:18:24.827 --> 00:18:27.027]  And let's fight back against this damn system.
[00:18:27.307 --> 00:18:31.668]  We're going to be back with Alex Jones and a crucial interview from Jane Graham.
[00:18:31.988 --> 00:18:34.508]  Witness, eyewitness to the Oklahoma City bombing.
[00:18:34.608 --> 00:18:36.749]  Saw the feds in action doing what they did.
[00:18:36.809 --> 00:18:37.589]  How horrible.
[00:18:38.089 --> 00:18:45.621]  And we're also going to show you the Senator Rand Paul interview that was so big and important that we heard earlier today on the show.
[00:18:45.902 --> 00:18:48.486]  You'll hear that on the break as well as contest submissions.
[00:18:48.526 --> 00:18:49.227]  Thanks for watching.
[00:18:49.247 --> 00:18:50.189]  We'll be back again tomorrow.
[00:18:54.093 --> 00:18:55.674]  We are joined by U.S.
[00:18:55.714 --> 00:18:58.596]  Senator hailing from Kentucky, Rand Paul.
[00:18:58.916 --> 00:19:08.663]  And the freshman senator, as everyone has noticed, has actually been fulfilling his campaign promises to try to cut government and restore our constitutional republic.
[00:19:08.963 --> 00:19:11.825]  And he joins us from Washington, D.C.
[00:19:12.205 --> 00:19:13.626]  Senator, thank you for coming on with us.
[00:19:14.106 --> 00:19:14.927]  Glad to be with you, Alex.
[00:19:15.507 --> 00:19:24.192]  There is so much to talk about, but I noticed that you're trying to point out that Interpol is now operating inside our country with diplomatic immunity.
[00:19:24.853 --> 00:19:32.097]  Yeah, I'm kind of concerned about having an international police force in our country with the ability, maybe, to extradite U.S.
[00:19:32.157 --> 00:19:34.138]  citizens and send them to another country.
[00:19:34.899 --> 00:19:44.805]  Egypt, as you know, over the last couple of months has been holding some American pro-democracy workers in their country, and they were going to try them on trumped-up political charges.
[00:19:45.445 --> 00:19:47.568]  And so a couple of months ago, I said, you know what?
[00:19:47.668 --> 00:19:52.114]  Should we send $2 billion to a country that treats us this way and treats our citizens?
[00:19:52.555 --> 00:19:59.484]  So I tried to hold up their foreign aid, and as a consequence, I think partly of what I was doing, they released our American citizens.
[00:20:00.305 --> 00:20:04.068]  Then they came home and then Secretary Clinton went ahead and released their aid.
[00:20:04.188 --> 00:20:11.672]  I wrote her a letter and said, you know, she shouldn't do it because these prosecutions were still ongoing right now in absentia.
[00:20:11.692 --> 00:20:13.394]  They're prosecuting them without being there.
[00:20:13.434 --> 00:20:15.215]  They also made the U.S.
[00:20:15.255 --> 00:20:22.259]  taxpayer pay a $5 million ransom for these Americans to come home, promising they would come back to Holtz to stand trial.
[00:20:22.720 --> 00:20:24.361]  But then this week we've learned that
[00:20:25.161 --> 00:20:28.105]  Egypt has asked Interpol for international warrants.
[00:20:28.145 --> 00:20:32.229]  They have these red letter warrants that can be used anywhere in the world.
[00:20:32.669 --> 00:20:35.693]  And most people say, oh, that could never happen in America.
[00:20:35.713 --> 00:20:37.174]  We would never let that happen.
[00:20:37.555 --> 00:20:39.657]  But Interpol is doing this in other countries.
[00:20:40.057 --> 00:20:42.100]  Saudi Arabia asked Interpol.
[00:20:43.126 --> 00:20:52.073]  To return a Saudi journalist from Malaysia who had said something about a Mohammed that they found offensive and they were going to accuse him of blasphemy.
[00:20:52.553 --> 00:20:56.156]  Interpol picked him up in Malaysia and took him back to Saudi Arabia.
[00:20:56.576 --> 00:20:59.138]  He will now face the death penalty for blasphemy.
[00:20:59.618 --> 00:21:07.544]  But the scary thing is he's being picked up by Interpol and the scary thing is, is what kind of authority does Interpol have in the United States?
[00:21:08.105 --> 00:21:14.378]  And President Obama expanded their authority with an executive order in December giving them diplomatic immunity.
[00:21:14.438 --> 00:21:16.422]  So all of this concerns me.
[00:21:18.027 --> 00:21:22.190]  Senator, we also saw just last year the South African U.N.
[00:21:22.250 --> 00:21:24.932]  Summit, and they called for a global U.N.
[00:21:25.512 --> 00:21:31.516]  environmental crime tribunal where you will be arrested if you deny man-made global warming.
[00:21:31.556 --> 00:21:34.318]  And that made headlines in Europe, but almost no news here.
[00:21:34.698 --> 00:21:45.065]  So they're openly calling for this international power, and four of our Supreme Court justices have said that we should get our rules from the U.N., not the Constitution.
[00:21:45.085 --> 00:21:47.767]  So I think you're right to be very concerned about this.
[00:21:48.347 --> 00:22:04.163]  Well, you know, one of the interactions in the last couple weeks that was very, very telling was the interaction between Senator Sessions and Secretary Panetta in a committee in which Panetta said that if we go to war, of course, we'll consult with the UN and get their approval.
[00:22:04.283 --> 00:22:05.705]  And Sessions asked him, he said, well,
[00:22:06.423 --> 00:22:10.566]  You know, isn't there a role here under the Constitution for Congress?
[00:22:11.026 --> 00:22:18.871]  And Panetta basically just kept going on about NATO, the UN, and then he finally sort of said, well, yeah, we would probably inform Congress of what we're doing.
[00:22:19.251 --> 00:22:24.194]  But never in there was there any understanding that they had to get approval or permission from Congress.
[00:22:25.339 --> 00:22:33.306]  And of course, you've spoken on the Senate floor about that, one of the few senators to actually be concerned about the Constitution being brazenly violated.
[00:22:33.346 --> 00:22:40.351]  And if anyone was confused by what the Secretary of Defense said and tries to come out and say, well, he didn't really mean that.
[00:22:40.732 --> 00:22:48.538]  We have the letter, as you know, last year, where Obama responded to Congress with the Libya war and said, I don't need your authorization.
[00:22:49.058 --> 00:22:50.119]  I have the UN.
[00:22:50.139 --> 00:22:52.601]  And that brings me to my next question, Senator.
[00:22:54.617 --> 00:22:59.300]  Are you or others going to call for the House to begin impeachment investigations?
[00:22:59.340 --> 00:23:09.085]  I know Congressman Jones has introduced legislation that if Obama starts another war without congressional war power authorization, that they will then trigger that.
[00:23:09.845 --> 00:23:11.946]  But that's not moving very fast.
[00:23:12.027 --> 00:23:16.689]  I mean, this is extremely brazen, like Caesar crossing the Rubicon.
[00:23:16.789 --> 00:23:23.573]  If you or your father, who would get a lot more attention than Congressman Jones, were to call for impeachment,
[00:23:24.294 --> 00:23:32.156]  ...investigations at least to begin hearings on impeachment, then I think that might get the executive to stop saying it follows the orders of the UN, Senator.
[00:23:33.049 --> 00:23:35.691]  I think the first step is to stop him in his tracks.
[00:23:36.471 --> 00:23:39.433]  We tried very hard on the Libya motion.
[00:23:39.993 --> 00:23:45.176]  In fact, what we did on the Libya, when he went to war with Libya, is we introduced his own words.
[00:23:45.656 --> 00:23:53.781]  His words in 2007, when he ran for office, said that no president should unilaterally go to war without congressional authority.
[00:23:54.121 --> 00:23:56.623]  Which basically just restates the Constitution.
[00:23:57.244 --> 00:23:58.004]  And good for him.
[00:23:58.064 --> 00:23:59.005]  That's what he ran on.
[00:23:59.045 --> 00:24:00.266]  That was part of his platform.
[00:24:00.326 --> 00:24:03.969]  And then he went around and did exactly the opposite when he became president.
[00:24:04.610 --> 00:24:10.034]  And this is not the first time a Democrat or a Republican has changed their mind once they became president.
[00:24:10.054 --> 00:24:15.039]  They sort of believed in limitations on the presidential power until they actually became the president.
[00:24:15.059 --> 00:24:17.180]  And then they believe in unlimited powers.
[00:24:17.220 --> 00:24:18.802]  But we will fight them tooth and nail.
[00:24:19.242 --> 00:24:19.803]  We fought him.
[00:24:19.843 --> 00:24:22.165]  We introduced his own words on the Senate floor.
[00:24:22.825 --> 00:24:27.228]  And ask people to vote for it, but the disappointing thing was ten people in the U.S.
[00:24:27.268 --> 00:24:34.632]  Senate believed in the Constitution and believed that the Congress should have to declare war before a president goes to war.
[00:24:34.652 --> 00:24:36.814]  We got only ten votes and they were all Republicans.
[00:24:37.314 --> 00:24:42.417]  Not one Democrat voted for the words of their own president when he ran for office.
[00:24:43.697 --> 00:25:02.543]  What did you make of the CIA director a month ago, it was in Wired Magazine, if you caught it, what did you make of him saying, yeah, we're watching you, we're reading your emails, we're building a giant NSA center, and then Congress said we want to see the details of that NSA center, and Obama said you don't get to see it.
[00:25:02.603 --> 00:25:11.406]  Since when does Congress not get to get details of the new NSA center that they admit is to read all our emails and listen to our phone calls illegally, Senator?
[00:25:12.222 --> 00:25:17.367]  Well, I'd say the one good news as far as Big Brother snooping on you is that there is some pushback.
[00:25:17.427 --> 00:25:29.097]  You know, the SOPA battle, the battle over, you know, the internet and whether or not they could shut down different websites indiscriminately based on accusations without a day in court, without
[00:25:29.597 --> 00:25:36.038]  You know, any Fourth Amendment or jury trial protections, you know, we won that battle and won it in a big way.
[00:25:36.058 --> 00:25:38.159]  And so there is a pushback.
[00:25:38.179 --> 00:25:49.601]  That was really the first battle since I've been up here that we actually won, and we won in a clear fashion because the Internet, the grassroots community, really defeated the establishment.
[00:25:49.641 --> 00:25:55.542]  They were planning on passing that under unanimous consent, which means they were just going to push it right through.
[00:25:55.642 --> 00:25:57.703]  If I objected, they were going to roll right over me.
[00:25:58.143 --> 00:25:58.804]  I think so.
[00:26:08.760 --> 00:26:12.961]  The internet rose up, and as a power, did stop them in their tracks.
[00:26:13.101 --> 00:26:26.004]  We're not winning all the battles, but there's going to be another battle over cyber security bills coming up, and we have to worry about the power that's being given to agencies like the NSA to snoop on personal information on the internet.
[00:26:26.044 --> 00:26:30.945]  So, we haven't, we aren't done yet, but I think it was encouraging when we beat the SOPA bill.
[00:26:30.965 --> 00:26:37.367]  Well, it's good to know you're there, because we've got on the other side, Senator Jay Rockefeller, famously saying in committee,
[00:26:38.390 --> 00:26:41.252]  We would have been better off never inventing the Internet.
[00:26:41.293 --> 00:26:42.934]  I mean, that's a wild statement.
[00:26:44.015 --> 00:26:50.280]  The Internet's the great equalizer, you know, because now people get their news and they look around for the news.
[00:26:50.681 --> 00:26:57.046]  And I think it's particularly young people now who are so cynical of all the politicians they see on TV.
[00:26:57.066 --> 00:27:00.129]  And I think this is why my data has become so popular is because
[00:27:00.709 --> 00:27:07.053]  They see him as a genuine voice, someone who they can believe and trust in, and that makes a big difference.
[00:27:07.133 --> 00:27:20.302]  And the Internet has been the fountain of all that, and I think it really is leading to a movement out there that's neither Republican nor Democrat, but really wants a different way.
[00:27:21.474 --> 00:27:24.995]  Certainly the establishment has to know they can't put the genie back in the bottle.
[00:27:25.035 --> 00:27:29.657]  People have had a taste of real choice in news and information and ideas.
[00:27:30.037 --> 00:27:34.879]  Freedom is catching on thanks to you, your father, and tens of millions of supporters across the planet.
[00:27:36.015 --> 00:27:41.719]  Yep, well that's one of my father's favorite lines as he's out on the trail, is that freedom is popular.
[00:27:41.779 --> 00:27:43.279]  Freedom brings people together.
[00:27:43.299 --> 00:27:46.782]  And it's one of the amazing things you see when you go to his rallies.
[00:27:46.822 --> 00:27:50.684]  You see people of all races, all economic levels.
[00:27:50.724 --> 00:27:52.405]  You see working class people.
[00:27:52.565 --> 00:27:55.407]  You see chamber of commerce types.
