[00:00:21.684 --> 00:00:22.787]  It's Tuesday, September 18, 2012.
[00:06:20.009 --> 00:06:23.652]  This was way, this was probably like 2007 or 2008.
[00:06:23.792 --> 00:06:25.813]  I didn't know anything about them at the time.
[00:06:26.353 --> 00:06:29.075]  And I went and filled out an application for the TSA.
[00:06:29.455 --> 00:06:32.557]  And my mom, she just told me, she looked at me, she said, son, don't work there.
[00:06:33.378 --> 00:06:35.879]  And I didn't work there, and I don't have cancer.
[00:06:35.919 --> 00:06:40.702]  And I thank God to this day, and thank you, Mom, for making a good call on that one.
[00:06:41.202 --> 00:06:45.485]  So, yeah, they say, their numbers say that the cancer risk is very low.
[00:06:46.405 --> 00:06:51.167]  Whatever you found, whatever your reason was, good for you Europe for kicking these things out of your country.
[00:06:51.487 --> 00:06:52.688]  You don't need them in your country.
[00:06:52.728 --> 00:06:55.169]  You don't need these guys patting you up.
[00:06:55.209 --> 00:07:01.972]  I'm not exactly sure how things operate in Europe if they have a situation close to the TSA, but naked body scanners, get rid of them.
[00:07:02.012 --> 00:07:05.894]  And actually, if we can throw that article back up, we can take a look at what these things do.
[00:07:05.934 --> 00:07:07.335]  You take, you see a look right there.
[00:07:07.775 --> 00:07:11.757]  You can clearly see this man, you know, in his privates.
[00:07:12.708 --> 00:07:14.989]  You know, they say that these things can't see through your clothes.
[00:07:15.470 --> 00:07:19.052]  And yeah, keep thinking that they don't keep this stuff on file.
[00:07:19.332 --> 00:07:21.313]  How did we get it if they don't keep this stuff on file?
[00:07:21.853 --> 00:07:22.734]  Ask yourself that question.
[00:07:22.754 --> 00:07:26.056]  How did we get that picture right there if they don't keep this stuff on file?
[00:07:26.476 --> 00:07:28.437]  So, good for you Europe.
[00:07:28.457 --> 00:07:31.659]  Hopefully we can get some sense here in the States as well.
[00:07:32.500 --> 00:07:33.020]  Next topic.
[00:07:33.841 --> 00:07:37.122]  This is also, this is probably just as important as our top story.
[00:07:37.523 --> 00:07:41.205]  DHS purchased 200 million more rounds of ammunition.
[00:07:42.828 --> 00:07:44.269]  They already have over a billion!
[00:07:44.389 --> 00:07:45.709]  Okay, well let me read the article.
[00:07:46.090 --> 00:07:50.051]  DHS purchases 200 million more rounds of ammunition.
[00:07:50.592 --> 00:07:52.513]  This from our very own Paul Joseph Watson.
[00:07:53.073 --> 00:08:06.639]  A series of new solicitations posted on the FedVizOps website show that the DHS is looking to purchase 200 million rounds of .223 rifle ammunition over the next four years, as well as 176,000 rounds of .308 caliber.
[00:08:06.679 --> 00:08:08.740]  And let me assure you that these are some big
[00:08:12.342 --> 00:08:13.343]  Hard hitting rounds.
[00:08:13.363 --> 00:08:15.184]  I've had a chance to shoot these myself.
[00:08:16.405 --> 00:08:19.748]  These aren't, you know, little play arounds.
[00:08:19.768 --> 00:08:21.789]  These are some serious sniper ammunition.
[00:08:22.069 --> 00:08:28.334]  The article goes on to say that over 1.2 billion bullets have been purchased in the last six months alone.
[00:08:28.794 --> 00:08:32.097]  And they keep saying, yeah, we need various things.
[00:08:32.117 --> 00:08:33.958]  We need them for target practice.
[00:08:34.318 --> 00:08:35.219]  We need them to do this.
[00:08:35.259 --> 00:08:36.100]  We need them to do that.
[00:08:37.060 --> 00:08:42.862]  I mean, there's only so much target practice you're going to do before you actually go into live action shooting, whatever you're shooting.
[00:08:42.902 --> 00:08:47.983]  I mean, even if you're a hunter, you shoot so you can go hunt or, you know, recreation or whatever it is that you do.
[00:08:48.463 --> 00:08:56.185]  So it's really a scary thing that they would go out and buy more articles, all the way, all the while, blacking out how much they can get.
[00:08:56.245 --> 00:08:59.586]  I mean, we get these sources where we can, but they've been blacking out
[00:09:00.306 --> 00:09:04.628]  Uh, they're bullet purchases, so maybe they have more that they've been able to hide from us.
[00:09:04.948 --> 00:09:12.671]  But meanwhile, if you go to your local, you know, gun store, and you buy some bullets, your neighbor could snitch on you and have somebody show up at your house.
[00:09:13.171 --> 00:09:18.814]  I mean, it's ridiculous that you, you yourself as a citizen, can't arm yourself to protect yourself.
[00:09:19.314 --> 00:09:27.457]  And hey, if you can protect yourself, you live way out in the sticks, then there's no need for, you know, Sheriff Mayberry to come out there and see how you're doing.
[00:09:27.477 --> 00:09:29.058]  If he knows you're strapped to the teeth,
[00:09:29.518 --> 00:09:37.765]  So, just another example of the Obama administration's hypocrisy saying, you can't have guns, but we'll load up, we'll have them.
[00:09:39.207 --> 00:09:41.028]  It was six bullets for one person.
[00:09:41.048 --> 00:09:42.470]  I don't know how many it is now.
[00:09:43.631 --> 00:09:45.512]  They probably empty a full clip on you now.
[00:09:46.053 --> 00:09:48.835]  But yeah, they keep building up and up and up.
[00:09:49.796 --> 00:09:52.558]  And it's something that's very discouraging.
[00:09:52.598 --> 00:09:54.060]  They can't even say you can smoke pot.
[00:09:55.109 --> 00:09:55.529]  All right.
[00:10:18.578 --> 00:10:21.964]  SportsCenter and I don't even know what I haven't watched TV in so long.
[00:10:21.984 --> 00:10:23.186]  I don't even know what comes on people say.
[00:10:23.206 --> 00:10:24.107]  Hey, have you seen this show?
[00:10:24.147 --> 00:10:32.081]  I say I definitely have not so if you that's what you do keep doing that but after the game is off, you know read a book or
[00:10:32.935 --> 00:10:33.955]  Watch a documentary or something.
[00:10:33.975 --> 00:10:38.697]  We have several right here on the Info Wars Nightly News, on the Info Wars Shop.
[00:10:38.857 --> 00:10:39.857]  Plenty that you can look at.
[00:10:40.337 --> 00:10:42.678]  Noble Eye, something I'll tease right now.
[00:10:43.018 --> 00:10:50.440]  We have a chance to do an interview later on with Holland Vanden Neuwenhoff, you know, producer of Noble Eye.
[00:10:50.800 --> 00:10:53.181]  Something very interesting, so make sure you stay tuned for that.
[00:10:53.521 --> 00:10:56.022]  And now we're going to go to our friend David Ortiz with his report.
[00:10:56.362 --> 00:10:56.882]  Let's see what you have.
[00:10:59.062 --> 00:10:59.823]  Thank you, Jakari.
[00:11:00.143 --> 00:11:02.885]  For InfoWars Nightly News, I'm David Ortiz.
[00:11:03.426 --> 00:11:10.112]  Well, is presidential candidate Mitt Romney's campaign in serious trouble or has it just hit a minor speed bump?
[00:11:10.512 --> 00:11:19.861]  Hundreds of media outlets today are focusing on comments that Mitt Romney made earlier this year at a campaign function that featured many wealthy donors.
[00:11:20.121 --> 00:11:23.024]  We're going to go to that soundbite and then come back with analysis.
[00:11:27.859 --> 00:11:41.190]  All right, the 47% who are with him, who are dependent on government, who believe that they're victims, who believe that government has a responsibility to care for them, who believe that they're entitled to health care, to food, to housing, to you name it.
[00:11:41.450 --> 00:11:44.172]  But that's, it's an entitlement, and the government should give it to them.
[00:11:45.013 --> 00:11:46.855]  And they will vote for this president no matter what.
[00:11:48.666 --> 00:11:51.788]  Well, in my estimation, people are missing the bigger picture.
[00:11:51.908 --> 00:12:03.356]  And the bigger picture here is that you've got three groups of people, all which have hurt this country severely, that are bickering amongst themselves and trying to see who can pose as the saviors of the country.
[00:12:03.416 --> 00:12:07.118]  Now, those three groups are the Democrats, the Republicans, and obviously the bankers.
[00:12:07.578 --> 00:12:09.740]  In this situation, Mitt Romney is stating
[00:12:10.240 --> 00:12:14.201]  That socialism has hurt this country, and certainly there's no question about that.
[00:12:14.241 --> 00:12:16.601]  The welfare state has hurt this country.
[00:12:16.942 --> 00:12:18.762]  He is right in his analysis.
[00:12:19.142 --> 00:12:23.263]  However, where he is wrong is that he is trying to pose as the savior.
[00:12:23.723 --> 00:12:26.564]  When in fact, he is a crony capitalist.
[00:12:26.964 --> 00:12:35.886]  He supports several wars, so the Republican Party is the party of warfare, and obviously that indebts the nation as well.
[00:12:37.446 --> 00:12:37.906]  We're good to go.
[00:13:07.366 --> 00:13:08.426]  Thank you.
[00:13:23.792 --> 00:13:38.785]  The article states, researchers working for both Kaspersky and Symantec have separately discovered that the United States is almost certainly responsible for three new viruses that are being used in Lebanon and Iran to conduct espionage.
[00:13:39.185 --> 00:13:42.368]  Having already been identified as the culprits behind the 2010 Stuxnet virus,
[00:13:44.890 --> 00:13:47.112]  And this year's closely related flame virus.
[00:13:47.612 --> 00:14:09.709]  Later on in the article, it reads, Kaspersky and Symantec experts are still unsure as to what the newly discovered viruses are designed to do, but have confirmed that they are operating in the Middle East, including Iran and Lebanon, and that the quote, approach to uploading packages and downloading data fits the profile of military and or intelligence operations, end quote.
[00:14:10.129 --> 00:14:11.270]  So there you go, you've got the U.S.
[00:14:11.330 --> 00:14:24.036]  government saying it does not want to go to war with the Middle East, condemning the Middle East, Iran specifically, and yet you have them hacking their network, according to this article, the Lebanese government and the Iranian government's network.
[00:14:24.436 --> 00:14:28.098]  Clearly not an action from a country that wants peace.
[00:14:28.158 --> 00:14:32.100]  Now obviously I'm not condoning the Iranian government and what they do,
[00:14:32.620 --> 00:14:35.202]  But again, this is another example of how the U.S.
[00:14:35.242 --> 00:14:42.006]  government is posing as our savior, saying that they want peace, they don't want to go to war, yet their actions are questionable.
[00:14:42.466 --> 00:14:47.209]  And this comes on the heels of legislation that is in Congress that shows that the U.S.
[00:14:47.249 --> 00:14:49.530]  government wants to regulate the Internet.
[00:14:49.590 --> 00:14:56.695]  And one of the reasons that they cite as to why we should regulate the Internet is because a country can hack our network.
[00:14:57.375 --> 00:15:03.938]  So here they are, voicing their concerns for an action that they themselves are doing.
[00:15:04.698 --> 00:15:06.819]  So, obviously, the U.S.
[00:15:06.859 --> 00:15:10.300]  government is trying to pick a fight with the Iranian government.
[00:15:10.740 --> 00:15:15.482]  In other news, Portland, Oregon approves the fluoridation of water.
[00:15:16.512 --> 00:15:33.123]  According to a recent article released by the New York Times, Portland, Oregon, which never fluoridated its water supply, and over time earned a distinction as the biggest city in the country to just say no, recently reversed course with a unanimous vote by the City Council to add fluoride beginning in early 2014.
[00:15:33.724 --> 00:15:37.926]  Now this initiative should cost the city about five million dollars.
[00:15:38.327 --> 00:15:44.791]  Obviously we talked at great length about the ills of fluoride and how many studies show it should not be ingested.
[00:15:45.211 --> 00:15:54.016]  Again, a recent Harvard study shows that by ingesting large quantities of fluoride, someone can lower their IQ rate by as much as 20 points.
[00:15:54.536 --> 00:15:58.938]  Now, there are activists in Portland that say they want to overturn this decision.
[00:15:59.258 --> 00:16:02.420]  However, they do acknowledge it's going to be extremely difficult.
[00:16:02.500 --> 00:16:08.263]  So, if you want this decision to be overturned, obviously help those in the Portland area that are trying to do so.
[00:16:08.943 --> 00:16:26.845]  And also in the article it points out that the Center for Disease Control and Prevention has called the introduction of fluoride in municipal drinking water after World War II, one of the 10 greatest achievements in public health of the 20th century, up there with vaccination and motor vehicle safety improvements.
[00:16:27.285 --> 00:16:32.828]  So obviously the CDC thinks that fluoridating your water is just dandy as are vaccinations.
[00:16:33.209 --> 00:16:35.130]  We obviously know otherwise.
[00:16:35.590 --> 00:16:48.337]  Now earlier in this segment I talked a little bit about presidential politics and today in New York City at New York University former Minnesota Governor Jesse Ventura attended a public rally with presidential nominee Gary Johnson.
[00:16:48.617 --> 00:16:53.120]  Now we do not yet know if a formal endorsement was made at this event.
[00:16:53.760 --> 00:16:55.241]  Neither the governor's websites
[00:16:56.602 --> 00:17:04.467]  Point this out, but it's very well known that Jesse Vantura on record has supported, supports Gary Johnson for president.
[00:17:04.767 --> 00:17:11.331]  And it's good to see these two governors together promoting the libertarian and constitutionalist cause.
[00:17:11.371 --> 00:17:17.675]  So they were at a public rally today at NYU with Judge Napolitano talking about libertarian causes.
[00:17:18.155 --> 00:17:24.141]  We don't know if this led to an official endorsement, but obviously Mr. Ventura does support Mr. Johnson for president.
[00:17:24.201 --> 00:17:34.091]  Now earlier this year, I had the pleasure of speaking with Mr. Johnson, and he explained to me several reasons as to why it is important to support his candidacy.
[00:17:34.652 --> 00:17:36.253]  Among them, this reason.
[00:17:37.262 --> 00:17:50.207]  If the Libertarian candidate for President gets 5% of the general election vote, something that has never happened before, but I'm going to suggest that that is a real possibility.
[00:17:50.668 --> 00:17:59.091]  If that happens, the Libertarian Party would receive $90 million in federal matching funds, which would be an absolute game-changer.
[00:17:59.271 --> 00:18:02.713]  I am also advocating on the part of the Fair Tax.
[00:18:03.753 --> 00:18:14.419]  I'm advocating throwing out the entire federal tax system, so no more income tax, no more corporate tax, no more withholdings from your payroll check.
[00:18:15.059 --> 00:18:19.462]  Replacing all of that with the fair tax, which is a 23% consumption tax.
[00:18:21.943 --> 00:18:26.647]  Which ends up being cost neutral over a very short amount of time.
[00:18:27.287 --> 00:18:31.711]  It's really the answer to making American goods and services competitive.
[00:18:32.191 --> 00:18:35.014]  It's the answer when it comes to exports and China.
[00:18:35.774 --> 00:18:49.185]  And in a zero corporate tax rate environment, if the private sector does not create tens of millions of jobs, I don't know under what case the private sector would create tens of millions of jobs.
[00:18:50.219 --> 00:18:58.601]  To see more of this interview, go to the Alex Jones Channel on YouTube, go to the Featured Playlist section, and click on Alex's Favorites.
[00:18:59.321 --> 00:19:10.384]  So there you go, you've got Gary Johnson also talking about some of his economic initiatives, and obviously he talked earlier in the interview about why it's important to support the Libertarian candidate to get above the 5% threshold.
[00:19:10.884 --> 00:19:13.805]  We know that the two-party system hates competition.
[00:19:14.125 --> 00:19:15.445]  We saw that with Ross Perot.
[00:19:15.585 --> 00:19:17.426]  One year, he met the threshold of 10%,
[00:19:18.826 --> 00:19:23.608]  He was polling at 10%, which was the threshold on several polls, in several polls, and he was allowed to debate.
[00:19:23.908 --> 00:19:28.109]  The next presidential cycle, the two-party system increased it to 15%.
[00:19:28.169 --> 00:19:34.791]  They demanded that a third-party candidate had to be polling at 15% in several polls, so they hate competition.
[00:19:35.331 --> 00:19:39.733]  So it's important to obviously support Mr. Johnson's candidacy to get that federal funding.
[00:19:40.433 --> 00:19:46.800]  Well, we're going to come back with Jakari Jackson, who spoke to the producer of the great film, A Noble Lie.
[00:19:47.301 --> 00:19:49.543]  Obviously, it talks about false flag attacks.
[00:19:49.883 --> 00:19:52.106]  So, we'll be right back in a moment with that interview.
[00:20:17.017 --> 00:20:19.759]  Alex Jones here with a message to fellow freedom lovers.
[00:20:20.040 --> 00:20:24.883]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:20:25.064 --> 00:20:32.289]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:20:32.410 --> 00:20:37.834]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[00:20:38.054 --> 00:20:40.236]  These are items that I did research on.
[00:20:40.336 --> 00:20:41.797]  That I personally use.
[00:20:42.077 --> 00:20:46.619]  You've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:20:46.819 --> 00:20:52.042]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:20:52.302 --> 00:20:55.404]  Strategic Relocation 3rd Edition by Joel Skousen.
[00:20:55.564 --> 00:20:57.845]  When Disaster Strikes by Matthew Stein.
[00:20:58.085 --> 00:21:02.708]  Therosafe, used by Homeland Security to protect yourself during any radiological event.
[00:21:02.848 --> 00:21:05.309]  Hand Crank Shortwave AM FM Radios.
[00:21:05.769 --> 00:21:12.814]  Everything that we've researched and found to be the best is available at InfoWarsShop.com and your purchase makes our InfoWar possible.
[00:21:12.994 --> 00:21:14.055]  We're getting prepared.
[00:21:14.275 --> 00:21:14.695]  Are you?
[00:21:14.956 --> 00:21:16.317]  InfoWarsShop.com
[00:21:19.938 --> 00:21:24.460]  Alex Jones here with a message that could revolutionize health in this country.
[00:21:24.740 --> 00:21:33.545]  Going back about a year and a half ago, I began to learn from friends like Ted Anderson about the incredible health effects of longevity products.
[00:21:34.385 --> 00:21:39.708]  And I started promoting him some because I'd seen his weight loss, his health, all the things that happened for him.
[00:21:40.368 --> 00:21:44.911]  Now, I've only stuck my toe in the water and lost a little over 40 pounds, and I'm still big.
[00:21:45.871 --> 00:21:53.156]  Aaron Dykes, who you know has been working here for six years at InfoWars.com, lost 92 pounds.
[00:21:53.176 --> 00:21:54.997]  We're going to show you some before and afters.
[00:21:55.437 --> 00:21:58.159]  He began to hear the guest on my show a year and a half ago.
[00:21:58.459 --> 00:22:05.924]  He began to do his own research and he implemented the information that Longevity and InfoWarsTeam.com is promoting.
[00:22:06.804 --> 00:22:08.845]  And had dramatic results.
[00:22:09.245 --> 00:22:20.230]  And that's why I'm telling our listeners and viewers, you need to go to Infowarsteam.com and try just the Essential Fatty Acids, the Beyond Tangy Tangerine, and the Polymers Plus.
[00:22:20.610 --> 00:22:25.572]  And I believe you'll be blown away by the dramatic results that I've had and Aaron's had.
[00:22:25.592 --> 00:22:27.713]  Aaron, break down what happened.
[00:22:27.753 --> 00:22:28.273]  Your story.
[00:22:28.593 --> 00:22:31.176]  I've been overweight in my life for far too long.
[00:22:31.537 --> 00:22:35.902]  Years ago, I lost a lot of weight, more than 50 pounds, but it came right back.
[00:22:35.942 --> 00:22:37.063]  I wasn't able to keep it off.
[00:22:37.484 --> 00:22:43.571]  More recently, I've worked really hard with diet and exercise to try to lose weight, but I just didn't get the results.
[00:22:43.611 --> 00:22:47.656]  It just didn't happen, and I wasn't able to stay motivated long enough to reach my goals.
[00:22:47.816 --> 00:22:54.240]  Then I saw what you were doing with Infowarsteam.com and the great products, Tangy Tangerine, kind of the base one to start with.
[00:22:54.640 --> 00:22:58.422]  I wasn't even trying to lose weight, but I got it because I wanted to feel better energy.
[00:22:58.462 --> 00:22:59.423]  I wanted that nutrition.
[00:22:59.443 --> 00:23:04.966]  Didn't even understand how that could kickstart my own weight loss goals, but the products did that for me.
[00:23:05.306 --> 00:23:11.050]  I found myself suddenly losing weight, more energetic, wanting to exercise, wanting to eat the right foods.
[00:23:11.130 --> 00:23:13.051]  And they don't even advertise it as weight loss!
[00:23:13.151 --> 00:23:19.094]  They don't, but pharmacist Ben Fuchs explains that's what happens if you're overweight because you're no longer hungry because you're getting what you need.
[00:23:19.255 --> 00:23:26.038]  When you start taking their proprietary formulation of essential fatty acids, it blows the competition away.
[00:23:26.419 --> 00:23:34.083]  When you start taking Beyond Tangy Tangerine and PolymBurst Plus and the other key longevity products, it is incredible.
[00:23:34.523 --> 00:23:40.827]  It was so easy to lose weight and regain health for myself, barely without trying, just from taking the products.
[00:23:41.207 --> 00:23:56.457]  I want to challenge our radio listeners to go to Infowarsteam.com so you can see for yourselves the incredible results Aaron and others have achieved with longevity products that are discounted at wholesale prices at Infowarsteam.com.
[00:23:57.138 --> 00:24:02.361]  Sign up as a distributor and get wholesale pricing discounts at Infowarsteam.com.
[00:24:03.382 --> 00:24:07.047]  The revolution against tyranny starts individually with our bodies.
[00:24:07.487 --> 00:24:09.389]  There is a global awakening happening.
[00:24:09.750 --> 00:24:12.814]  The sleeping giant that is humanity is awakening.
[00:24:13.074 --> 00:24:16.518]  And a big part of that fight starts at InfoWarsTeam.com.
[00:24:22.887 --> 00:24:23.508]  And welcome back.
[00:24:23.908 --> 00:24:25.830]  Our guest tonight is Holland Vanden Nieuwenhoff.
[00:24:25.870 --> 00:24:27.412]  He's no stranger to our viewers.
[00:24:27.832 --> 00:24:29.154]  He's an Oklahoma native.
[00:24:29.254 --> 00:24:31.056]  He served as a rifleman in the Marine Corps.
[00:24:31.436 --> 00:24:34.519]  He became an activist to expose government lies and cover-ups.
[00:24:34.920 --> 00:24:38.684]  You can find him on freemindreport.com and also enobleye.com.
[00:24:39.064 --> 00:24:41.507]  He's a researcher and producer for the film Enobleye.
[00:24:41.787 --> 00:24:42.548]  He joins us now.
[00:24:42.768 --> 00:24:43.329]  Welcome, Holland.
[00:24:44.227 --> 00:24:44.548]  Thank you.
[00:24:44.608 --> 00:24:45.870]  Thank you very much for having me on.
[00:24:46.431 --> 00:24:53.984]  Okay, Holland, for our new viewers, can you just take a few minutes and summarize A Noble Lie, what made you want to get involved, and you know, what exactly the film's about?
[00:24:55.360 --> 00:25:04.887]  A Noble Lie, Oklahoma City 1995 is an expose of the Oklahoma City bombing in the light of new and suppressed evidence that exposes the official story to be a lie.
[00:25:05.707 --> 00:25:23.780]  We've won eight, actually been awarded or recognized in eight film festivals, eight or nine thus far, and we've achieved a lot of success in reaching out to the mainstream and showing them that the evidence for the Oklahoma City bombing is very damning of the official story and it doesn't quite make sense.
[00:25:24.720 --> 00:25:25.580]  Excellent, excellent.
[00:25:25.920 --> 00:25:29.241]  Now, as far as Oklahoma City, we know it to be a false flag.
[00:25:29.261 --> 00:25:31.962]  There's been a lot of talk about false flags recently.
[00:25:32.322 --> 00:25:42.085]  Well, this isn't so much of a recent report, but we've heard MSNBC claiming that Obama needs a new, quote, Oklahoma City to reconnect with the American people.
[00:25:42.445 --> 00:25:43.765]  I'm Oklahoman, much like you.
[00:25:43.805 --> 00:25:47.266]  I remember being in third grade when the bombing took place.
[00:25:47.626 --> 00:25:52.828]  So how does that make you feel to hear things like Obama needs another Oklahoma City to reconnect with the American people?
[00:25:54.091 --> 00:26:04.797]  Well, it's insightful to their point of view because they view these events, the tragedy associated with them, as political opportunities, not as tragedies for the nation.
[00:26:04.837 --> 00:26:11.081]  These are things to be taken advantage of and also perhaps instigated to fulfill a political agenda.
[00:26:11.541 --> 00:26:20.567]  President Bill Clinton himself told reporters on Air Force One that, I mean, they were asking him how he won re-election when he was suffering so much criticism.
[00:26:20.947 --> 00:26:22.428]  He told them Oklahoma City.
[00:26:22.708 --> 00:26:22.928]  Right.
[00:26:23.008 --> 00:26:24.889]  Because the bombing brought the country together.
[00:26:25.690 --> 00:26:31.493]  Now, things with Oklahoma City, we hear a lot of speculation, a lot of the questions of the official story.
[00:26:32.173 --> 00:26:43.579]  If you could point out to people one particular smoking gun, or maybe you have a few smoking guns that you'd like to point out to people to reassure them that this was a false flag, a self-inflicted wound, what would you tell people?
[00:26:44.403 --> 00:26:47.745]  Well, I mean, there's varying levels of evidence.
[00:26:47.805 --> 00:26:57.172]  You can take eyewitness evidence for what it is, and although the eyewitness evidence almost 100% denies the official story, it's contrary to what the government says actually happened.
[00:26:57.492 --> 00:27:00.615]  Let's look at the science, because science cannot be denied.
[00:27:01.135 --> 00:27:07.381]  We know that the exterior truck bomb embodied in the Ryder truck was not the sole cause of destruction, despite what the government says.
[00:27:08.061 --> 00:27:12.405]  So some people may say, well, why don't you conduct a simulation and find out what happened?
[00:27:12.765 --> 00:27:14.987]  Well, we don't have to, because the Air Force did.
[00:27:15.728 --> 00:27:20.072]  As showcased in A Noble Lie, the first time that information has ever been given to the public in that manner.
[00:27:21.172 --> 00:27:26.156]  The Elgin Air Force Base, the Wright Armament Laboratory, they conducted a simulation of the Oklahoma City bombing.
[00:27:26.696 --> 00:27:37.623]  They actually took a test structure, a three-story test structure that was very shabbily constructed, there was no roof, and they exploded a bomb like McVeigh and the FBI said it had been built.
