[00:00:22.301 --> 00:00:23.402]  Welcome, my friends!
[00:10:01.032 --> 00:10:08.254]  From Abraham Lincoln, I see in the near future a crisis approaching that unnerves me and causes me to tremble for the safety of my country.
[00:10:08.595 --> 00:10:13.876]  Corporations have been enthroned and an era of corruption in high places will follow.
[00:10:15.117 --> 00:10:18.778]  And he went on to describe how that would basically cause our country to collapse.
[00:10:19.118 --> 00:10:30.402]  And the money power, that's the Federal Reserve of the country, will endeavor to prolong its reign by working upon the prejudices of the people until the wealth is aggregated in a few hands and the Republic is destroyed.
[00:10:31.690 --> 00:10:34.533]  And we certainly now are at that point.
[00:10:35.153 --> 00:10:41.239]  I feel at this moment more anxiety for the safety of my country than ever before, even in the midst of a war, Abraham Lincoln.
[00:10:41.519 --> 00:10:45.903]  And regardless of what side you're on in that war, the British were manipulating both sides.
[00:10:46.604 --> 00:10:48.125]  And Abraham Lincoln stepped right into the trap.
[00:10:48.145 --> 00:10:55.031]  But he did say no to the Rothschild loans at 30% interest and said, I'll issue my own Lincoln greenbacks that he got killed for.
[00:10:55.131 --> 00:10:56.653]  And then Kennedy also
[00:10:58.414 --> 00:11:06.201]  Reissued some of those greenbacks right before he was killed and issued an executive order to begin basically
[00:11:08.223 --> 00:11:09.464]  Dismantling the private Federal Reserve.
[00:11:09.504 --> 00:11:11.224]  And one last little tidbit here after the quote.
[00:11:11.664 --> 00:11:13.645]  Judge denies lawsuit.
[00:11:13.685 --> 00:11:17.407]  Rick Perry, others remain off Virginia Republican primary ballot.
[00:11:18.247 --> 00:11:20.868]  It's only Ron Paul and Mitt Romney that meet the requirements.
[00:11:20.948 --> 00:11:25.750]  It's only Ron Paul who's a choice, but he's also a serious candidate actually on the ballot.
[00:11:26.110 --> 00:11:30.092]  All the others are spoilers to make sure that Ron Paul doesn't win.
[00:11:30.912 --> 00:11:31.713]  Sorry, traitors.
[00:11:32.553 --> 00:11:36.795]  We won when the first time we started fighting back because resistance is victory.
[00:11:37.509 --> 00:11:48.114]  Now, you saw a few nights ago Dana Bash, who won the Skeksy Award for Globalist Sellout, all part of the corporate media whore, sellout, prostitute, panoptagon.
[00:11:48.554 --> 00:11:50.435]  You saw her just after Ron Paul.
[00:11:50.676 --> 00:11:52.196]  He was forced out of a diner by 150 Media.
[00:11:53.757 --> 00:11:55.177]  They got in his face.
[00:11:55.197 --> 00:11:57.638]  And then she said, a lady's mad at you for not talking to her.
[00:11:57.998 --> 00:12:00.298]  And he said, well, she ought to be mad at you for forcing me out.
[00:12:00.558 --> 00:12:01.619]  This is a junkie question.
[00:12:02.239 --> 00:12:05.779]  And you see her just look at him like a wolf looking at a little rabbit it wants to eat.
[00:12:06.100 --> 00:12:10.000]  Well, now everywhere she goes, people are getting in her face.
[00:12:10.660 --> 00:12:14.741]  And she's another one of these establishment types that thinks that she tells you what to believe.
[00:12:14.781 --> 00:12:15.861]  She tells you what to think.
[00:12:15.921 --> 00:12:17.762]  And if she says Ron Paul can't win,
[00:12:18.522 --> 00:12:21.868]  Or if she tells you to get in the ditch and die, you're supposed to crawl over there and slit your throat.
[00:12:22.229 --> 00:12:22.710]  Because Ms.
[00:12:22.770 --> 00:12:24.332]  Bash is God!
[00:12:24.974 --> 00:12:25.535]  Here's the clip.
[00:12:25.815 --> 00:12:26.636]  We'll be back with Peter Schiff.
[00:12:30.504 --> 00:12:31.705]  Excuse me, ma'am.
[00:12:31.725 --> 00:12:36.489]  Are you not concerned about the feds who are ripping off our children and destroying our schools?
[00:12:36.549 --> 00:12:40.852]  Even when I'm 22 years old, I do have this kind of debt and I don't think I'll do it.
[00:12:40.872 --> 00:12:41.553]  Excuse me, ma'am.
[00:12:41.573 --> 00:12:43.814]  After what you said, you're worried about all of us.
[00:12:43.834 --> 00:12:45.596]  Excuse me, you're not worried about the feds?
[00:12:59.537 --> 00:13:00.578]  I'm not a kid.
[00:13:00.798 --> 00:13:07.764]  You don't speak like that about my presence in the Constitution.
[00:13:07.924 --> 00:13:11.307]  I didn't say that, but you did.
[00:13:11.387 --> 00:13:15.071]  Hopefully you'll give them a fair shot now.
[00:13:15.091 --> 00:13:16.192]  That'd be nice.
[00:13:16.252 --> 00:13:23.298]  The frontrunner status and the unelectable status are something that could change in a moment, so I would say don't use labels like that.
[00:13:23.318 --> 00:13:23.558]  I agree.
[00:13:32.005 --> 00:13:32.325]  We're good to go.
[00:13:56.186 --> 00:13:57.048]  I only do a lot of coverage for 24 hours.
[00:14:06.124 --> 00:14:07.245]  I just want to know, who's behind the CNN network?
[00:14:07.265 --> 00:14:07.725]  Who's paying you guys?
[00:14:07.765 --> 00:14:08.365]  Who's behind all of this?
[00:14:08.385 --> 00:14:10.146]  When you provide the coverage, who are you really representing?
[00:14:27.875 --> 00:14:28.195]  Objection!
[00:14:28.215 --> 00:14:28.555]  Objection!
[00:14:28.575 --> 00:14:28.855]  Objection!
[00:14:28.915 --> 00:14:29.235]  Objection!
[00:14:29.255 --> 00:14:29.575]  Objection!
[00:14:52.990 --> 00:15:03.053]  Probably no one as fair as I am, but they don't see... I actually say it's almost like the Arab is really confident.
[00:15:03.073 --> 00:15:04.413]  So they don't see anything else?
[00:15:04.653 --> 00:15:05.273]  Yeah, exactly.
[00:15:05.373 --> 00:15:05.813]  You get it.
[00:15:05.833 --> 00:15:06.433]  Be careful.
[00:15:06.574 --> 00:15:08.114]  Can I talk to you one sec?
[00:15:08.174 --> 00:15:09.074]  One more time.
[00:15:09.174 --> 00:15:09.614]  Your name?
[00:15:30.649 --> 00:15:35.313]  Well, it's the Friday 13th edition, as I said earlier at the start of the show.
[00:15:35.353 --> 00:15:40.218]  That's been unlucky for France, downgraded to the same level as the U.S.
[00:15:41.399 --> 00:15:46.003]  We've got financial expert and the head of Euro-Pacific Capital, Peter Schiff, joining us.
[00:15:46.023 --> 00:15:50.507]  He's also one of the advisors to Ron Paul on Ron Paul's economic
[00:15:51.127 --> 00:15:55.129]  uh... policies and he joins us but today to talk about the state of the u.s.
[00:15:55.169 --> 00:16:09.975]  economy the world economy give us his take on what possible war with iran i could mean and what he sees developing uh... his prognosis for twenty twelve peter great to have you here with us thanks for having us well so much happening uh... or out of the gates ron paul
[00:16:11.001 --> 00:16:12.002]  Well, he's doing good.
[00:16:12.042 --> 00:16:14.703]  Look, he's got a lot of momentum coming into South Carolina.
[00:16:14.723 --> 00:16:18.905]  You know, I think I'm headed down there myself for the debates next week.
[00:16:19.005 --> 00:16:21.466]  But, you know, he came in first place in New Hampshire.
[00:16:21.486 --> 00:16:27.810]  You know, he's only one of two candidates to actually finish in the money in both those early primaries.
[00:16:27.850 --> 00:16:31.271]  He came in third in Iowa and second in New Hampshire.
[00:16:31.311 --> 00:16:35.834]  So other than Mitt Romney, no other candidates finished in the top three both times.
[00:16:35.894 --> 00:16:39.976]  So, you know, there's a lot to his candidacy that the media continues to overlook.
[00:16:42.062 --> 00:16:50.333]  Do you think it's backfiring on the dinosaur media that they continue to say he can't win, he can't win, but that he, like a salmon, is swimming upstream against that tide?
[00:16:51.351 --> 00:16:51.731]  Maybe.
[00:16:51.831 --> 00:16:53.532]  I mean, maybe there's some rebellion in there.
[00:16:53.572 --> 00:17:00.755]  The more the establishment tells us he can't win, maybe the more the anti-establishment mood wants to go towards Ron Paul.
[00:17:00.815 --> 00:17:04.516]  And this, you know, is going to be an anti-establishment type election.
[00:17:04.576 --> 00:17:09.538]  The country is in a lot of trouble because of establishment type candidates.
[00:17:09.618 --> 00:17:12.699]  And that's really all you've got now in the Republican field.
[00:17:12.880 --> 00:17:15.721]  Other than Ron Paul, it's business as usual.
[00:17:16.141 --> 00:17:18.562]  And even if it means that, you know, we don't have a
[00:17:19.122 --> 00:17:21.064]  I mean, how are they any different than George Bush?
[00:17:41.638 --> 00:17:45.581]  Peter, let me throw a curveball at you.
[00:17:45.701 --> 00:17:53.207]  Let's say that people woke up, there was an election fraud, Ron Paul won the nomination, beat Obama.
[00:17:55.129 --> 00:18:02.595]  Knowing his economic policy, because you helped him develop them, what do you think would happen if he actually got in?
[00:18:03.135 --> 00:18:08.299]  Because the power structure obviously wouldn't even let him overnight try to change things.
[00:18:09.040 --> 00:18:09.881]  What would we expect
[00:18:12.563 --> 00:18:18.467]  Well, first of all, if Ron Paul actually won the White House, those votes wouldn't be cast in a vacuum.
[00:18:18.928 --> 00:18:28.075]  I would imagine a lot of other sympathetic candidates who would also be running in the House would be elected with him, so he would probably have more help.
[00:18:28.155 --> 00:18:31.278]  And really, all he needs is a third of the House.
[00:18:32.078 --> 00:18:34.860]  To be with him, because then he can veto almost everything.
[00:18:35.201 --> 00:18:39.804]  And, you know, Congress can't spend money if they can't override his veto.
[00:18:39.864 --> 00:18:48.251]  So he would have a lot of power to reign in government as the president if he can just get a little bit of cooperation out of Congress.
[00:18:48.311 --> 00:18:54.716]  And if he is going to get elected president, people are going to be voting for congressmen, too, that might be sympathetic.
[00:18:54.736 --> 00:18:55.777]  You know, I think it's interesting.
[00:18:55.797 --> 00:18:56.938]  We just got the minutes.
[00:18:57.498 --> 00:19:09.632]  From the Federal Reserve going back to 2006, showing that nobody at the Federal Reserve had any idea that a financial crisis was coming, that there was a problem in the housing market.
[00:19:10.072 --> 00:19:11.794]  I had just finished writing my book.
[00:19:12.435 --> 00:19:12.875]  I don't know.
[00:19:38.035 --> 00:19:39.876]  Well, well put.
[00:19:40.716 --> 00:19:49.461]  With the captains we have running things now, more and more, I mean, here's a headline out of Forbes, the worst economic recovery since the Great Depression.
[00:19:49.481 --> 00:19:51.022]  They're calling it the greatest recession.
[00:19:51.542 --> 00:19:54.143]  From your research, what is the real state of the U.S.
[00:19:54.203 --> 00:19:55.064]  and world economy?
[00:19:55.524 --> 00:19:57.245]  And on the current course, where are we going?
[00:19:57.705 --> 00:19:58.226]  Well, the U.S.
[00:19:58.286 --> 00:19:59.207]  is a disaster.
[00:19:59.227 --> 00:20:01.109]  I mean, we're not recovering from anything.
[00:20:01.869 --> 00:20:09.878]  We are temporarily getting some phony GDP improvement because we're borrowing money and spending it.
[00:20:09.938 --> 00:20:18.206]  We got our trade deficit that came out today for November, you know, moved up 10%, almost at $50 billion for the month of November.
[00:20:19.227 --> 00:20:22.869]  Spending more borrowed money on imports is how we got into trouble.
[00:20:23.250 --> 00:20:26.952]  And all we're doing now is buying time with borrowed money.
[00:20:27.312 --> 00:20:31.715]  The thing that's propping up the US economy is all the problems in the rest of the world.
[00:20:31.755 --> 00:20:35.818]  I mean, somehow we're benefiting from the fact that there are so many problems in Europe.
[00:20:36.278 --> 00:20:42.960]  That by default people are simply buying dollars in treasuries even though we actually have more problems than Europe.
[00:20:43.060 --> 00:20:50.742]  It's just that nobody is worried about our problems yet and so we benefit from Europe's problems because we can borrow even more money cheaper.
[00:20:51.022 --> 00:20:58.984]  But we have to remember the reason Europe got into trouble is because they borrowed too much money and now they can't pay it back and interest rates are rising.
[00:20:59.244 --> 00:21:00.384]  Well, we've borrowed more.
[00:21:00.805 --> 00:21:02.265]  We can't pay it back either.
[00:21:02.685 --> 00:21:08.086]  And when interest rates finally rise in America, we're even more vulnerable to that than Europe is now.
[00:21:09.846 --> 00:21:21.108]  Obviously, nobody can tell exactly the month, the day, the week, when things start to really unravel faster from just this slow devaluation of global currencies.
[00:21:22.268 --> 00:21:24.549]  But undoubtedly, we're going down a very dangerous road.
[00:21:24.589 --> 00:21:26.589]  Something big is happening, as Ron Paul has said.
[00:21:28.129 --> 00:21:31.650]  What will it look like as things basically unravel?
[00:21:32.762 --> 00:21:43.191]  Well no one knows for sure, but I mean you can look at some of the riots that we saw in Greece or in Ireland when the governments try to make even trivial cuts in benefits.
[00:21:43.231 --> 00:21:48.876]  The truth is that we need much more substantial cuts in Europe than the ones that the rioters were protesting.
[00:21:48.936 --> 00:21:51.339]  So think about how it's going to be in the United States.
[00:21:51.399 --> 00:21:54.121]  We have an entire nation of dependents.
[00:21:54.381 --> 00:21:59.003]  We have so many people who think they're entitled to something from somebody else.
[00:21:59.103 --> 00:22:08.908]  And when the truth comes out that the government has made a bunch of promises that they can't keep and the government has to fess up, a lot of people are going to be pretty pissed.
[00:22:09.048 --> 00:22:11.630]  And so it's going to be a very difficult environment.
[00:22:11.650 --> 00:22:13.270]  There's going to be a lot of upheaval.
[00:22:13.610 --> 00:22:16.352]  I think it's going to be not just the very peaceful protests.
[00:22:16.732 --> 00:22:16.992]  I think?
[00:22:32.937 --> 00:22:45.902]  Tempers can really heat up, especially if it means that we're waiting in lines to get gasoline or to buy food because there's so much inflation and the government has price supports that you can't get those things.
[00:22:46.182 --> 00:22:49.764]  Tempers can really heat up and people are going to be looking for someone to blame.
[00:22:49.944 --> 00:22:52.265]  Unfortunately, they might not blame the government.
[00:22:52.305 --> 00:23:00.468]  They might blame the people who they perceive to be the threat in the private sector and that's going to be a very scary situation.
[00:23:01.223 --> 00:23:17.799]  Well they are making it an us against them system, like the general population against Wall Street and George Soros and others and Obama tried to cast that as anybody making money, anybody who's a capitalist is bad, when really it's three groups.
[00:23:18.400 --> 00:23:23.485]  You've got the big dependent groups, then you've got those that just want to work in the free market.
[00:23:24.065 --> 00:23:27.286]  And then you've got the rich, the poor, all in between.
[00:23:27.326 --> 00:23:43.509]  And then you've got the crony capitalists, as you know, who do work with government, and they're trying to scapegoat capitalism and the free market, knowing that it's going to boomerang and they're going to use this giant dependent class to once and for all overturn what's left of the free market and transfer it to a planned economy.
[00:23:43.889 --> 00:23:49.910]  How do you translate that nuanced crisis we face to a general public who, on average,
[00:23:50.530 --> 00:23:51.511]  I mean, there's two Americas.
[00:23:51.531 --> 00:24:00.717]  There's folks that do know it's about working hard, but there are a lot of people, believe me, I got a lot of employees as well, not as many as you, who really sometimes think that they are entitled to everything.
[00:24:01.058 --> 00:24:04.640]  Yeah, well, first of all, we already have an economy with a lot of central planning.
[00:24:04.680 --> 00:24:05.961]  I mean, they don't plan
[00:24:06.001 --> 00:24:06.601]  We're good to go.
[00:24:37.914 --> 00:24:39.376]  I forgot the other part of your question.
[00:24:39.896 --> 00:24:49.586]  Well, no, it's just how do we communicate to people that don't understand capitalism that getting rid of it doesn't work anywhere in the world?
[00:24:49.886 --> 00:24:53.670]  I remember, and it's also, you know, it's not just Wall Street.
[00:24:55.431 --> 00:24:57.592]  General Motors and Chrysler, they're not Wall Street.
[00:24:57.612 --> 00:24:58.772]  They got government bailouts.
[00:24:58.792 --> 00:25:01.333]  So a lot of it is Wall Street and the banks.
[00:25:01.693 --> 00:25:07.234]  But the problem isn't that Wall Street bankers accepted bailout money.
[00:25:07.414 --> 00:25:09.255]  Because anyone is going to accept money.
[00:25:09.275 --> 00:25:13.036]  If the government is giving away money, you're going to line up to get your share.
[00:25:13.596 --> 00:25:19.758]  So I don't blame the institutions or the individuals for taking money that the government is handing out.
[00:25:20.098 --> 00:25:23.319]  I blame the government for being in a position to hand it out in the first place.
[00:25:23.379 --> 00:25:29.844]  Exactly, if you didn't have the government power to have that big auction, you wouldn't have the feeding frenzy in there.
[00:25:30.345 --> 00:25:32.366]  Of course, so you've got to go after the government.
[00:25:32.386 --> 00:25:37.250]  You can't just go after Wall Street, because that's a symptom of the bigger issue.
[00:25:37.510 --> 00:25:38.931]  The problem is the government.
[00:25:39.252 --> 00:25:44.856]  And yes, Wall Street is buying off the politicians, but that's because the politicians are for sale.
[00:25:45.116 --> 00:25:47.038]  But we put them in that situation.
[00:25:47.378 --> 00:25:50.601]  We gave them the stuff to sell and the ability to do it.
[00:25:50.641 --> 00:25:53.523]  We've got to take the power away from the politicians.
[00:25:53.863 --> 00:25:58.888]  That's what we need to protest and understand that the problems are emanating from Washington.
[00:25:59.168 --> 00:26:00.789]  That's the source of all the problems.
[00:26:00.869 --> 00:26:03.892]  And until we take care of that, it doesn't matter what we do.
[00:26:03.912 --> 00:26:08.175]  We're just tinkering around the edges or rearranging the deck chairs on the Titanic.
[00:26:08.455 --> 00:26:11.438]  We're still going to sink unless we get to the fundamental
[00:26:11.578 --> 00:26:17.542]  Well, sure, if government wasn't, you know, 40% of the economy or whatever now it is, or controlling 40% or more, then there wouldn't be this big auction.
[00:26:17.642 --> 00:26:18.222]  And that's right.
[00:26:18.262 --> 00:26:21.945]  That's why Wall Street goes there and it's allowed now these big, you know, mega titans to form that
[00:26:39.836 --> 00:26:41.037]  It's a very sick situation.
[00:26:41.497 --> 00:26:48.681]  Obviously, though, for now, people are starting to listen to what you and many others have talked about, but it hadn't gotten to the policy level yet.
[00:26:50.102 --> 00:26:52.504]  If they don't start correcting things, what will happen?
[00:26:53.522 --> 00:26:56.283]  Look, eventually we're going to have a huge financial crisis.
[00:26:56.343 --> 00:26:57.864]  I mean, people think, what do you mean eventually?
[00:26:57.904 --> 00:26:58.644]  We just had it.
[00:26:59.224 --> 00:27:00.585]  We just had to warm up.
[00:27:00.705 --> 00:27:04.806]  I mean, we had, you know, the overture of the opera.
[00:27:04.906 --> 00:27:09.348]  I mean, believe me, it's going to get a lot worse because everything we did
[00:27:10.188 --> 00:27:12.669]  To solve the problem, solve nothing.
