[00:00:00.981 --> 00:00:01.021]  So,
[00:02:51.523 --> 00:02:53.184]  This is from a protest today.
[00:02:53.244 --> 00:02:55.065]  People were protesting Eric Holder.
[00:02:55.225 --> 00:02:55.926]  There's one there.
[00:02:55.966 --> 00:02:56.726]  Got justice?
[00:02:57.106 --> 00:02:58.547]  Hashtag Fire Holder.
[00:02:58.567 --> 00:03:00.428]  We've got another one coming up.
[00:03:00.849 --> 00:03:01.809]  Holder must go.
[00:03:01.829 --> 00:03:04.991]  Hey, this guy, he's black, so he must be a racist against Holder.
[00:03:05.031 --> 00:03:07.092]  I mean, that's the only obvious conclusion I could draw.
[00:03:07.712 --> 00:03:08.893]  Guns don't kill people.
[00:03:09.393 --> 00:03:10.234]  Holder does.
[00:03:10.814 --> 00:03:12.835]  There's a nice-looking young man there.
[00:03:12.895 --> 00:03:14.036]  Oh, wait, what's that?
[00:03:16.518 --> 00:03:17.478]  What happened to the protest?
[00:03:17.498 --> 00:03:18.639]  Where's the protest pictures?
[00:03:19.818 --> 00:03:20.839]  Oh, this is what happened.
[00:03:21.760 --> 00:03:26.624]  Secret Service disrupts students' fire holder protest over suspicious package.
[00:03:26.965 --> 00:03:28.686]  And this is out of campusreform.org.
[00:03:29.127 --> 00:03:41.597]  Josiah Ryan writes, the Secret Service on Monday shut down a student protest calling for the firing of Attorney General Herrick Holder, saying they were acting on concerns over a suspicious package left by a tourist on the White House grounds.
[00:03:41.657 --> 00:03:42.378]  So there you go.
[00:03:42.798 --> 00:03:46.722]  You leave a plastic bag, leave a paper sack, leave a backpack somewhere.
[00:03:47.222 --> 00:03:48.923]  Automatically, free speech is done.
[00:03:49.023 --> 00:03:50.703]  Get out, get out, move over here.
[00:03:50.923 --> 00:03:51.223]  Okay?
[00:03:51.384 --> 00:03:52.304]  That's what you have to do.
[00:03:52.624 --> 00:04:00.487]  Especially when the Secret Service is concerned because, you know, when they're not too busy drinking and hooking up with hookers, you know, they're looking out for paper bags.
[00:04:01.087 --> 00:04:02.707]  Paper bags are the problem out there.
[00:04:03.028 --> 00:04:12.451]  Not 50 students who are well-informed asking for the President to fire Eric Holder for shipping guns to Mexico, trying to blame it on the Second Amendment.
[00:04:13.251 --> 00:04:22.636]  Kudos to campusreform.org for leading that protest and getting out there and going after the grunions that are trying to devastate our country.
[00:04:23.624 --> 00:04:24.705]  Moving on to Bloomberg.
[00:04:25.806 --> 00:04:29.348]  Wash trading by high-frequency firms said to face U.S.
[00:04:29.408 --> 00:04:29.789]  scrutiny.
[00:04:29.829 --> 00:04:33.031]  Here's a milquetoast headline, which I'm going to go over this article.
[00:04:33.051 --> 00:04:33.811]  This is out of Bloomberg.
[00:04:34.212 --> 00:04:37.094]  High-frequency trading firms are drawing scrutiny from U.S.
[00:04:37.134 --> 00:04:45.000]  regulators seeking evidence that they may have been distorting market prices by conducting transactions with themselves, said two people with knowledge of the matter.
[00:04:45.800 --> 00:04:57.606]  So called wash trades, in which a party buys a contract from itself, could be executed, oh I like this, inadvertently by firms with multiple algorithms active in the same stock or derivative.
[00:04:58.126 --> 00:05:01.428]  Right, they were making money and they had no idea how they were making money.
[00:05:02.168 --> 00:05:06.371]  Such trades can alter the price of shares if they are executed above or below market rates.
[00:05:06.391 --> 00:05:08.572]  It would be illegal if deemed intentional.
[00:05:09.372 --> 00:05:10.113]  And we move on.
[00:05:10.133 --> 00:05:23.030]  Securities and Exchange Commission and Commodities Future Trading Commission have sharpened their focus on high-frequency algorithmic trading since 2010, when about $862 billion was erased from stock values in 20 minutes.
[00:05:24.171 --> 00:05:24.852]  Oh my God!
[00:05:25.192 --> 00:05:26.414]  How do you do that in 20 minutes?
[00:05:28.168 --> 00:05:31.590]  But that was before the Plunge Protection Team came in and helped prop up the markets.
[00:05:31.950 --> 00:05:40.655]  Regulators have expressed concern that some firms' electronic exchanges don't have sufficient controls to prevent a range of events from improper trades to programming glitches.
[00:05:41.500 --> 00:05:44.402]  Okay, so there's your milquetoast title from Bloomberg.
[00:05:44.762 --> 00:05:47.063]  Warrs trading by high-frequency firms said to face U.S.
[00:05:47.123 --> 00:05:47.503]  scrutiny.
[00:05:48.104 --> 00:05:51.306]  Then about a week later, it comes out on this website, The Truth Is Now.
[00:05:51.946 --> 00:05:54.988]  Computers on Wall Street are buying to themselves.
[00:05:55.608 --> 00:05:57.689]  There you go, buying and selling to themselves.
[00:05:58.249 --> 00:06:01.851]  So there's a headline that I want to read this week.
[00:06:03.192 --> 00:06:04.794]  Watered down a Bloomberg headline?
[00:06:05.054 --> 00:06:08.077]  Doesn't make me want to read it, which is what Bloomberg wants.
[00:06:08.097 --> 00:06:13.802]  They don't want you to read stuff like this because, and then they want to put words in there like, oh, it's unintentional and they didn't listen.
[00:06:14.383 --> 00:06:16.405]  They hire people right out of grad school.
[00:06:16.425 --> 00:06:19.748]  The smartest people in the world don't become scientists.
[00:06:20.129 --> 00:06:21.530]  They don't become educators.
[00:06:21.550 --> 00:06:22.451]  They don't become inventors.
[00:06:22.751 --> 00:06:25.254]  They go to Wall Street and learn how to steal from people.
[00:06:25.754 --> 00:06:31.363]  That's their job now, is to create little things that they write in their little code books that steal from people.
[00:06:31.423 --> 00:06:36.470]  So all the money that goes into these things, all the mom and pops that put their savings in, that gets erased.
[00:06:37.572 --> 00:06:39.555]  And I had an inside source, I talked to him today.
[00:06:42.065 --> 00:06:43.747]  He gave me some information on how this works.
[00:06:43.767 --> 00:06:48.573]  He uses a little bit different terminology, but he said basically what happens is this.
[00:06:49.434 --> 00:06:56.423]  They create these programs and then they kind of run on their own and they'll change the data sets every once in a while when they're not making money.
[00:06:57.785 --> 00:07:01.490]  They'll make millions and millions and millions and millions of transactions really quickly.
[00:07:01.970 --> 00:07:05.294]  And what happens is other firms see this stock going up a little bit.
[00:07:05.795 --> 00:07:07.477]  Oh, it looks like there's a lot of activity.
[00:07:07.577 --> 00:07:08.338]  I want to get in on that.
[00:07:08.358 --> 00:07:09.139]  So they get in on that.
[00:07:09.459 --> 00:07:16.107]  And then the people that have been buying and selling to themselves, creating that false volatility or momentum,
[00:07:17.128 --> 00:07:20.111]  Which may be just a few cents in the stock price, maybe fractions of pennies.
[00:07:20.532 --> 00:07:31.583]  They'll see that once they buy into that stock, they get the other people to bait it, and then they'll sell it out and they'll make a little bit, like maybe two or three cents, but they do this over and over again.
[00:07:31.603 --> 00:07:36.808]  So they might be making two or three pennies a second, but that's magnified over a million times.
[00:07:38.095 --> 00:07:43.420]  And so, as the day goes on, they're making lots of money, and nothing's really happening, though.
[00:07:44.161 --> 00:07:51.949]  People aren't looking at the data of how this company is doing, they're just looking at the volatility or how much action is going on in there.
[00:07:52.429 --> 00:07:56.953]  He says this is more than half the trading that goes on, and it leads to more volatility.
[00:07:57.674 --> 00:07:59.956]  He talked about the $800 million back in 2010.
[00:08:01.698 --> 00:08:11.843]  He said, all major Wall Street firms and hedge funds are doing this, and they're charging 60% of the profits made from this trading, which is way more than what they normally get.
[00:08:11.923 --> 00:08:17.185]  Usually they get about 30%, or 20% plus a fee to run the fund.
[00:08:17.785 --> 00:08:21.507]  But these guys are going in, they're taking 60% of the profits because this is so profitable.
[00:08:22.207 --> 00:08:25.008]  And they're running wild, and then Bloomberg comes out with this milquetoast article.
[00:08:25.028 --> 00:08:27.810]  Oh, it's glitches and programming errors.
[00:08:27.930 --> 00:08:28.870]  Yeah, right.
[00:08:29.290 --> 00:08:30.271]  Like, I believe that.
[00:08:31.476 --> 00:08:32.917]  Thank you so much.
[00:08:49.370 --> 00:08:51.631]  And those are the people that are responsible for this.
[00:08:51.691 --> 00:08:56.033]  So you can use those buzzwords and look up and do your own research on it.
[00:08:56.893 --> 00:08:58.214]  They did this with the housing bubble.
[00:08:58.274 --> 00:09:06.497]  They were packaging these housing loans into other little pieces, into other securities, and trading them over and over and over again to themselves now.
[00:09:06.597 --> 00:09:09.478]  But of course, they had no idea it was going to happen.
[00:09:11.899 --> 00:09:13.620]  Trying to go through this stuff real quick.
[00:09:14.080 --> 00:09:18.222]  But moving on, we're going to go now to pre-crime.
[00:09:24.690 --> 00:09:31.494]  Mr. Marks, by mandate of the District of Columbia Pre-Crime Division, I'm placing you under arrest for the future murder of Sarah Marks and Donald Dubin.
[00:09:31.514 --> 00:09:33.855]  That must take place today, April 22nd, at 0800 hours, 4 minutes.
[00:09:36.667 --> 00:09:39.268]  Well, they don't jump through your windows yet for pre-crime.
[00:09:39.988 --> 00:09:46.231]  You know, they only jump through your windows if you're growing a little bit of pot, or if you may have missed a payment here or there on your taxes.
[00:09:46.711 --> 00:09:47.891]  Or at least they'll be doing that soon.
[00:09:48.211 --> 00:09:52.953]  But, Yahoo News reports, sci-fi policing predicting crime before it occurs.
[00:09:53.453 --> 00:10:03.497]  LAPD is the largest agency to embrace an experiment known as predictive policing, which crunches data to determine where to send officers to thwart would-be thieves and burglars.
[00:10:04.289 --> 00:10:06.651]  Time Magazine calls it one of the best inventions of 2011.
[00:10:07.591 --> 00:10:19.218]  Early successes could serve as a model for other cash-strapped law enforcement agencies, but some legal observers are concerned that it may lead to unlawful stops and searches that violate the Fourth Amendment.
[00:10:19.839 --> 00:10:22.500]  No duh!
[00:10:22.580 --> 00:10:29.244]  Captain Sean Molenski said, we have prevented hundreds and hundreds of people from coming home and seeing their homes robbed.
[00:10:29.605 --> 00:10:29.985]  Wow!
[00:10:30.785 --> 00:10:32.667]  How did he know these homes were going to be robbed?
[00:10:33.874 --> 00:10:42.030]  They have these computers, of course, more computer algorithms that predict hot spots all around the city and so they send officers out there and they say they drug crime about 13%.
[00:10:42.090 --> 00:10:42.511]  Well, you know.
[00:10:46.431 --> 00:10:52.835]  Why can't they use these to go out and go after the guys on Wall Street and predict when they're going to commit crimes?
[00:10:52.875 --> 00:10:59.600]  Can't they use these algorithms and tweak them to see when they're going to create the next bubble or when they're going to create the next engineered crash?
[00:10:59.860 --> 00:11:00.480]  Can they do that?
[00:11:00.641 --> 00:11:01.961]  I mean, I wish they could.
[00:11:02.502 --> 00:11:09.346]  But no, they seem to be going after the petty criminal, the guy who's going to break into your house and steal your stereo or your TV or your iPod.
[00:11:10.390 --> 00:11:12.712]  You know, not the guy stealing billions and billions of dollars.
[00:11:12.752 --> 00:11:15.194]  You won't see the LAPD going after those guys.
[00:11:15.334 --> 00:11:18.716]  That's just not in their agenda.
[00:11:19.676 --> 00:11:24.581]  Moving on to more police state news, DHS gives UC Berkeley armored personnel carrier.
[00:11:24.601 --> 00:11:27.504]  You know, because UC Berkeley, they need one.
[00:11:27.544 --> 00:11:29.126]  And this comes, this is funny.
[00:11:30.007 --> 00:11:42.980]  UCPD spokesperson Lieutenant Eric Tejada justified the purchase by pointing to an event last year when a man reported to be carrying an AK-47 assault rifle, despite the fact that the incident turned out to be a false alarm.
[00:11:43.971 --> 00:11:44.391]  There it is.
[00:11:44.411 --> 00:11:45.672]  It's a false alarm.
[00:11:45.692 --> 00:11:59.443]  So you've got this 8-ton vehicle commonly referred to as a Bearcat, is used by US troops on the battlefield, is often equipped with a rotating roof hatch, powered turrets, gun ports, a battering ram, and weapons system used to remotely engage a target with lethal force.
[00:11:59.943 --> 00:12:03.606]  Or in the case of UC Berkeley, a bunch of stupid hippies that are protesting whatever.
[00:12:03.666 --> 00:12:05.647]  That's what they're going to go after with this thing.
[00:12:06.208 --> 00:12:07.088]  How much did it cost?
[00:12:07.509 --> 00:12:07.569]  Oh.
[00:12:08.413 --> 00:12:14.743]  Well, the City Council accepted a $285,000 grant from Homeland Security to purchase one of the vehicles back in 2007.
[00:12:14.844 --> 00:12:17.668]  Oh no, that was in New Hampshire, I'm sorry.
[00:12:17.989 --> 00:12:20.052]  That caused an uproar in a New Hampshire town.
[00:12:20.533 --> 00:12:22.596]  How much did it cost this time?
[00:12:24.281 --> 00:12:28.927]  Of course, just a $200,000 grant from the Department of Homeland Security, and that's the University of California.
[00:12:29.568 --> 00:12:31.089]  So that's where your tax money's going.
[00:12:31.130 --> 00:12:40.382]  It's going into pre-crime for petty criminals and giant tanks to take down anybody who may be educated enough to realize that they're being screwed over by the system that they're paying into with their tax money.
[00:12:41.581 --> 00:12:47.225]  Moving on, new socialist French nanny state mandates breathalyzers in all cars.
[00:12:48.186 --> 00:12:52.990]  A poll released over the weekend reveals that nearly 60% of respondents have yet to install the device.
[00:12:53.711 --> 00:12:55.152]  Okay, because they have to get these in there.
[00:12:55.212 --> 00:13:00.196]  This new law goes into effect by November 1st, where they face a fine of 11 euros or around 14 dollars.
[00:13:02.250 --> 00:13:03.251]  I've got a story for you.
[00:13:04.032 --> 00:13:10.279]  Back in college, I had a friend who was a guitar player, and he lived up on this hill, had a bunch of trailers.
[00:13:10.940 --> 00:13:13.683]  And the guy next door to him liked to drink a lot.
[00:13:14.244 --> 00:13:20.030]  In fact, he liked to drink so much, he got busted for DWI several times, and he actually had one of those devices in his car.
[00:13:20.816 --> 00:13:21.917]  And you know how he got around it?
[00:13:22.538 --> 00:13:25.742]  He had other people who weren't drinking breathe into it for him so he could start his car.
[00:13:26.403 --> 00:13:27.964]  And that's how people are going to get around this.
[00:13:28.025 --> 00:13:29.406]  I mean, this is a stupid law.
[00:13:29.426 --> 00:13:32.350]  We're going to have another thing of the nanny state coming in.
[00:13:32.390 --> 00:13:37.456]  This is, of course, in France where they just invited the socialists into their lives to tell them how to live.
[00:13:39.121 --> 00:13:40.562]  It's coming to us very soon.
[00:13:42.644 --> 00:13:43.385]  Moving on.
[00:13:43.665 --> 00:13:45.867]  Obama wants you on food stamps.
[00:13:45.927 --> 00:13:46.908]  And this was sent in.
[00:13:46.968 --> 00:13:48.048]  I love that graphic there.
[00:13:48.109 --> 00:13:50.090]  Liquor, discount cigarettes and beer.
[00:13:50.110 --> 00:13:51.852]  We accept food stamps, people.
[00:13:51.952 --> 00:13:52.732]  Come on in.
[00:13:53.153 --> 00:13:57.136]  It's from Melissa Melton, who was one of the finalists in our reporter contest.
[00:13:57.657 --> 00:14:07.145]  The Obama administration recently spent $3 million to convince us that we all live healthier lives if we sign up for food stamps and get our liquor, discount cigarettes and beer.
[00:14:09.277 --> 00:14:09.877]  By using them.
[00:14:10.237 --> 00:14:10.538]  The U.S.
[00:14:10.578 --> 00:14:18.444]  Department of Ag has been running the Supplemental Nutritional Assistance Program, or SNAP, propaganda campaign for several months now.
[00:14:18.864 --> 00:14:25.329]  Primarily aimed at Hispanics, the elderly, and the working poor, and the unemployed, which include most of Americans at this point.
[00:14:26.150 --> 00:14:28.672]  And they're claiming the food stamps help you eat right.
[00:14:28.692 --> 00:14:31.554]  And there's one woman that says, I wonder how she stays so fit.
[00:14:31.594 --> 00:14:32.375]  What's her secret?
[00:14:33.095 --> 00:14:36.318]  Oh, she eats right and she uses her food stamps and stays active.
[00:14:37.731 --> 00:14:46.775]  It should be noted that the USDA does not station enforcement officers at the grocery store to ensure food stamp recipients' shopping carts are filled with vegetables instead of potato chips.
[00:14:47.355 --> 00:14:48.396]  I've got a confession to make.
[00:14:49.937 --> 00:14:51.377]  I was on food stamps at one point.
[00:14:51.577 --> 00:14:59.281]  When I was in college, I had a little bit of help from my parents, but basically the money that I earned working was what I had to spend
[00:15:00.424 --> 00:15:04.709]  You know, on beer, going out, eating, bills, whatever.
[00:15:05.069 --> 00:15:05.670]  That's what I had.
[00:15:05.890 --> 00:15:07.632]  You know, I didn't have money to buy CDs back then.
[00:15:07.972 --> 00:15:12.337]  And it got bad for a while that, oh, for about six months I was on food stamps.
[00:15:12.877 --> 00:15:13.598]  You know what I spent it on?
[00:15:13.618 --> 00:15:14.879]  I spent it on food!
[00:15:15.620 --> 00:15:19.562]  I didn't spend it on liquor, because back in West Virginia, they didn't let you buy liquor with it.
[00:15:19.622 --> 00:15:22.824]  You could only buy food, but now I guess you could buy anything, obviously.
[00:15:23.304 --> 00:15:24.905]  This liquor store accepts food stamps.
[00:15:24.945 --> 00:15:26.066]  I see them at the gas stations.
[00:15:26.226 --> 00:15:32.029]  What are you going to buy nutritional at gas stations, Michelle Obama and Ellen DeGeneres, who were seen dancing up there?
[00:15:32.430 --> 00:15:34.811]  Oh, we're going to teach you how to eat right.
[00:15:34.831 --> 00:15:35.972]  You know who teaches you how to eat right?
[00:15:36.012 --> 00:15:36.532]  Your parents.
[00:15:37.052 --> 00:15:40.014]  And if your parents didn't teach you how to eat right, I don't know.
[00:15:40.654 --> 00:15:41.355]  Not much help for you.
[00:15:42.611 --> 00:15:44.414]  Moving on, get ready to hold your breath, people.
[00:15:44.574 --> 00:15:50.222]  Arpaio is set to unleash shocking Obama-Bursar tick-ticket revelations, but it's going to be in two weeks.
[00:15:51.701 --> 00:15:57.723]  I can't disclose to you what we discovered, says Mike Zullo, but it's going to be a shocking revelation at our press conference.
[00:15:58.123 --> 00:16:02.925]  Don't worry, it's going to be July 17th at 2.30 p.m.
[00:16:03.825 --> 00:16:10.828]  I can't imagine why they would do this, but this whole two weeks thing only makes me think of one thing.
[00:16:10.848 --> 00:16:12.308]  It'll take two weeks.
[00:16:12.388 --> 00:16:13.408]  Here's your pomade.
[00:16:14.149 --> 00:16:14.769]  Two weeks?
[00:16:16.485 --> 00:16:16.905]  Excuse me?
[00:16:17.845 --> 00:16:18.326]  Two weeks?
[00:16:19.026 --> 00:16:19.966]  That don't do me no good.
[00:16:21.126 --> 00:16:21.906]  Two weeks!
[00:16:23.767 --> 00:16:24.967]  Two weeks!
[00:16:25.767 --> 00:16:28.308]  Well, ain't this place a geographical oddity?
[00:16:28.848 --> 00:16:32.369]  Two weeks from everywhere!
[00:16:36.750 --> 00:16:37.631]  I'm holding my breath.
[00:16:38.011 --> 00:16:40.451]  We gotta wait two weeks to hear these amazing revelations.
[00:16:40.491 --> 00:16:42.752]  Sheriff Joe, did you learn anything from Breitbart?
[00:16:43.911 --> 00:16:44.511]  I mean really.
[00:16:44.691 --> 00:16:46.552]  Mike Zullo, didn't you learn anything from Breitbart?
[00:16:46.632 --> 00:16:49.514]  I mean, you guys have stepped up your security, but two weeks?
[00:16:49.574 --> 00:16:50.014]  Come on!
[00:16:50.955 --> 00:16:57.638]  Put this information out now, even if it's not in perfect font or form or it's not in a PDF, we don't care.
[00:16:57.899 --> 00:16:58.559]  We want to hear it.
[00:16:58.579 --> 00:16:59.599]  We need to get it out there.
[00:17:00.300 --> 00:17:01.260]  Don't wait, please.
[00:17:01.921 --> 00:17:04.122]  I hope this is a ruse and you're going to come out with it tomorrow.
[00:17:04.182 --> 00:17:05.983]  Please tell me you're going to do it tomorrow, Sheriff Joe.
[00:17:07.622 --> 00:17:12.943]  Well, you know, we may have to wait until July 17th, but we will report on it, whatever he says, even though the mainstream media won't.
[00:17:13.003 --> 00:17:14.343]  WorldNetDaily is going to report on it.
[00:17:14.363 --> 00:17:16.444]  They're actually going to stream the press conference live.
[00:17:17.744 --> 00:17:22.985]  But don't expect the mainstream media to report on it, because you got Obamacare now, and you're ready.
[00:17:23.205 --> 00:17:26.486]  You're ready for the next thrashing the government's going to give you.
[00:17:28.546 --> 00:17:32.907]  Now we're going to move on to a section of PlanetInfoWars.
[00:17:32.987 --> 00:17:34.448]  Actually, oh, sorry, Daily Quote.
[00:17:34.768 --> 00:17:35.348]  Almost forgot.
[00:17:36.667 --> 00:17:42.449]  Brought to you by President Clinton's Deputy Secretary of State, as quoted in Time, July 20, 1992.
[00:17:42.529 --> 00:17:45.290]  This is Strobe Talbot.
[00:17:46.030 --> 00:17:49.772]  In the next century, nations as we know it will become obsolete.
[00:17:50.472 --> 00:17:53.593]  All states will recognize a single global authority.
[00:17:54.053 --> 00:17:56.974]  National sovereignty wasn't such a great idea after all.
[00:17:57.634 --> 00:17:58.515]  Look at that little nerd.
[00:17:59.395 --> 00:18:02.957]  Telling you that national sovereignty isn't a good idea and give up all your rights for global government.
[00:18:03.017 --> 00:18:15.702]  He said that in 1992 and you know now we're 12 years into the new century and we have to buy our health care from the insurance companies because you're too stupid to figure out how to take care of yourself unless an insurance company sells you that plan.
[00:18:16.623 --> 00:18:23.186]  You have to be on pharmaceuticals, you have to take your vaccines, you have to drink your fluoridated water and that's the only way you're going to be safe in this government.
[00:18:25.117 --> 00:18:31.259]  All right, now we're going to go to a Planet Info Wars piece, and this is done with Christy Hightower and Alex Jones.
[00:18:31.619 --> 00:18:39.060]  This is actually the first Ask Alex segment, and for some reason it got kind of lost in the cracks of all the media that we produce here.
[00:18:39.580 --> 00:18:41.321]  We're going to go to it now, and then we're going to go to break.
[00:18:41.341 --> 00:18:44.501]  We're going to come back with Matthew Stein, a 30-minute interview.
[00:18:44.541 --> 00:18:45.682]  Get your pens and papers ready.
[00:18:45.762 --> 00:18:51.063]  Lots of tips that we throw at you fast and furious, especially, no pun intended, especially if you're out there.
[00:18:52.122 --> 00:18:57.991]  And some of these areas that have been affected by the power outages or if you live in a wildfire area.
[00:18:58.571 --> 00:19:00.975]  This could be some information that could save your property, save your life.
[00:19:01.696 --> 00:19:02.257]  So that's coming up.
[00:19:08.200 --> 00:19:10.542]  Hey, Kill Granny, we'll get some money.
[00:19:11.022 --> 00:19:14.985]  And, playing on the red theme, I got my Tangy Tangerine, Beyond Tangy Tangerine.
[00:19:15.406 --> 00:19:16.607]  Infowarsteam.com.
[00:19:17.247 --> 00:19:18.848]  I'm not doing real product placement.
[00:19:19.549 --> 00:19:21.510]  They're like, hey, there's cool filters on this camera.
[00:19:21.731 --> 00:19:25.153]  Let's do the rogue one, where everything's red, but everything else is black and white.
[00:19:25.173 --> 00:19:26.374]  I said, well, what's red here?
[00:19:26.434 --> 00:19:27.055]  Okay, this.
[00:19:28.136 --> 00:19:31.839]  And then we've got the Beyond Tangy Tangerine right there.
[00:19:37.657 --> 00:19:38.358]  Here we go.
[00:19:38.478 --> 00:19:43.201]  And again, we're setting up some little mini studios around the office as well.
[00:19:44.102 --> 00:19:44.903]  Come on in here, Lewis.
[00:19:44.923 --> 00:19:46.184]  Lewis is also one of the moderators.
[00:19:47.605 --> 00:19:49.827]  So in the future, we're going to have this a little more high-tech for you.
[00:19:49.867 --> 00:19:51.768]  But it's important just to turn these videos out.
[00:19:51.808 --> 00:19:52.509]  What's up next here?
[00:19:52.709 --> 00:19:55.791]  Alright, so this is from Catherine.
[00:19:55.831 --> 00:19:56.772]  She says, I'm a U.S.
[00:19:56.892 --> 00:19:59.894]  expat living in Canada and will be crossing the border into the U.S.
[00:19:59.914 --> 00:20:00.395]  this summer.
[00:20:00.939 --> 00:20:04.960]  Should I be worried about problems at the border if I've been constantly posting your videos?
[00:20:05.320 --> 00:20:09.041]  Things about Ron Paul, Agenda 21, Build-A-Burgers, Endgame.
[00:20:09.521 --> 00:20:12.342]  I plan to show my Canadian citizenship instead of my U.S.
[00:20:12.382 --> 00:20:12.862]  passport.
[00:20:13.122 --> 00:20:13.562]  Good idea?
[00:20:13.602 --> 00:20:14.182]  Bad idea?
[00:20:15.283 --> 00:20:17.743]  Well, you're not really a real expat.
[00:20:19.244 --> 00:20:20.344]  I think in the technical sense,
[00:20:21.776 --> 00:20:26.778]  If you're just living somewhere else, you have to renounce your citizenship.
[00:20:27.138 --> 00:20:31.419]  So I don't think you've renounced your citizenship if you've still got your U.S.
[00:20:31.459 --> 00:20:32.019]  passport.
[00:20:34.020 --> 00:20:35.661]  Number one, you haven't done anything wrong.
[00:20:36.341 --> 00:20:39.702]  And if they give you trouble for your political views, that means they're secret police.
[00:20:40.462 --> 00:20:44.824]  Generally, that type of stuff's not in the database yet, though they would like it to be.
[00:20:46.684 --> 00:20:49.165]  And they treat everybody like crap coming in.
[00:20:50.023 --> 00:20:51.204]  The TSA treats you bad.
[00:20:51.244 --> 00:20:53.085]  This is about training you that you're a slave.
[00:20:54.185 --> 00:21:03.050]  But the fact that you are scared of them retaliating against you shows that their demonization program, their chilling effect program to make you scared is working.
[00:21:03.550 --> 00:21:05.872]  So I think the answer is don't be scared of them.
[00:21:05.892 --> 00:21:08.413]  Be scared of not continuing to take action.
[00:21:08.693 --> 00:21:12.135]  But no, I don't think you're going to have a problem.
[00:21:12.668 --> 00:21:20.755]  Well, the next question we have is from JDInfoWarrior, and he says, will the banks be allowed to fail and hit rock bottom, or will the U.S.
[00:21:20.775 --> 00:21:30.903]  government and its crusade to save these abominations take the only savings worth left in the American people's hand?
[00:21:32.063 --> 00:21:33.184]  Well, that is the plan.
[00:21:33.464 --> 00:21:37.246]  Bernanke is now talking about QE3 that we thought would come earlier this year.
[00:21:37.266 --> 00:21:45.070]  He's like, oh, I really don't want to do QE3, which will further devalue the currency, but I'll do it if you really want me to.
[00:21:45.650 --> 00:21:47.832]  You know, maybe if banks continue to fail.
[00:21:47.852 --> 00:21:52.434]  You've got big six mega banks that own the private Federal Reserve that are pretty much foreign owned.
[00:21:53.516 --> 00:21:57.158]  They are busy imploding the European economy and our economy to consolidate.
[00:21:57.739 --> 00:22:02.461]  Just like banks always famously try to take the farm when there's like one payment left.
[00:22:03.622 --> 00:22:04.563]  Using technicalities.
[00:22:05.803 --> 00:22:06.944]  And so that's what's going on here.
[00:22:07.665 --> 00:22:09.726]  Banks, the big mega banks, not your local bank.
[00:22:09.746 --> 00:22:12.428]  Your local bank is actually performing a service.
[00:22:13.328 --> 00:22:15.589]  But it's engaged in fractional reserve banking as well.
[00:22:15.629 --> 00:22:17.751]  For every dollar on deposit they loan out ten.
[00:22:18.351 --> 00:22:19.692]  So it's all just numbers in a machine.
[00:22:20.873 --> 00:22:22.674]  It's fractional reserve banking or money changing.
