[00:00:22.682 --> 00:00:24.888]  Good evening and welcome to the InfoWars Nightly News.
[00:02:23.663 --> 00:02:30.867]  Immigration and Customs Enforcement, roughly 700 domain names have been seized since Operation In Our Sights was launched in 2010.
[00:02:31.327 --> 00:02:35.810]  And we've been covering this story, I think, a little bit before that.
[00:02:35.850 --> 00:02:38.051]  We were concerned about the way they were
[00:02:38.843 --> 00:02:43.086]  Bringing out this speech of, we have to protect things that are so-called copyrighted.
[00:02:43.106 --> 00:02:48.830]  We've seen different government officials going after people selling fake t-shirts.
[00:02:49.210 --> 00:02:50.812]  Is this something the government should be doing?
[00:02:50.952 --> 00:02:53.173]  Should this be something for local law enforcement?
[00:02:53.614 --> 00:02:55.875]  Or even the companies themselves to go after and police?
[00:02:55.915 --> 00:03:01.779]  Why are we having to pay for the government to go around and police other people's thoughts and actions?
[00:03:02.380 --> 00:03:03.420]  Very interesting indeed.
[00:03:03.440 --> 00:03:08.344]  It's about time Congress is starting to wake up to that fact and starting to speak out against it.
[00:03:09.542 --> 00:03:21.204]  Now we get two articles here from, we're going to call them strawman articles, and basically they came out, we'll go to that first screen here, one's from ABC and one's from CNN.
[00:03:21.224 --> 00:03:22.444]  They came out on the same day.
[00:03:23.105 --> 00:03:27.105]  First from ABC, why does Social Security need 174,000 bullets?
[00:03:27.845 --> 00:03:31.886]  And the second one, Social Security combats bullet rumors.
[00:03:31.926 --> 00:03:32.846]  That's out of CNN.
[00:03:33.687 --> 00:03:35.787]  And basically what they do is they launch
[00:03:36.616 --> 00:03:39.978]  What Alex Jones has talked about yesterday was a straw man attack.
[00:03:40.679 --> 00:03:49.944]  So we were questioning the fact is why DHS buying over 1.4 billion bullets, mostly hollow points, different calibers.
[00:03:50.725 --> 00:03:55.628]  Why are they making those purchases in addition to all the other preparations they're making?
[00:03:57.935 --> 00:04:15.625]  What these two mainstream media sources do is they look at the one article of the Social Security Administration purchasing 174,000 bullets, which is equal to about 600 bullets per gun-carrying enforcement official for the Social Security Administration.
[00:04:16.594 --> 00:04:19.318]  And so that's troubling in itself, that they're getting those.
[00:04:19.678 --> 00:04:28.088]  But they just go after the 174,000 rounds and make it seem like we're crazy for even asking that question when they don't even look at the 1.4 billion.
[00:04:28.429 --> 00:04:29.350]  So what do we have to do?
[00:04:29.390 --> 00:04:34.877]  Well, Kurt Nemo and Paul Joseph Watson combated those lies and those straw man attacks
[00:04:35.297 --> 00:04:36.418]  With our own articles.
[00:04:36.479 --> 00:04:37.480]  First one from Nemo.
[00:04:37.860 --> 00:04:41.304]  Establishment launches strawman over government bullet purchases.
[00:04:41.684 --> 00:04:42.805]  And then from Paul Joseph Watson.
[00:04:42.845 --> 00:04:46.930]  Associated Press whitewashes controversy over Feds buying ammunition.
[00:04:47.530 --> 00:04:48.752]  And we've written a ton of articles.
[00:04:49.332 --> 00:04:55.119]  One of which was, if the Feds, if this is such not a big deal, why are they blacking out certain parts of their purchase orders?
[00:04:55.319 --> 00:04:57.141]  So we can't know what the bullets are for.
[00:04:57.955 --> 00:05:01.897]  That was one about Fed censors' bullet buys.
[00:05:02.438 --> 00:05:08.722]  Why are they buying 1.4 billion bullets when they made, you know, before that they never made purchases anywhere close?
[00:05:09.162 --> 00:05:10.883]  So those are the kind of questions we're asking.
[00:05:11.243 --> 00:05:19.668]  And the mainstream media, instead of asking those questions along with us, wants to cherry-pick and attack just certain parts of our argument, going, oh, well, they want $174,000.
[00:05:19.768 --> 00:05:21.489]  What's the big deal?
[00:05:21.949 --> 00:05:22.990]  Well, it is a big deal.
[00:05:23.310 --> 00:05:27.573]  It's a big deal that our government is arming with hollow-point bullets, which are against the Geneva Convention.
[00:05:28.755 --> 00:05:33.260]  For, presumably, to quell any civil unrest that will be brought about by these bankers.
[00:05:33.801 --> 00:05:34.902]  So there it is right there.
[00:05:34.942 --> 00:05:38.546]  DHS classifies new ammo purchases following controversy.
[00:05:38.826 --> 00:05:39.827]  Why didn't they ask about that?
[00:05:39.867 --> 00:05:41.829]  Look, they're blacking out ammo purchases.
[00:05:42.030 --> 00:05:42.590]  What's wrong?
[00:05:42.891 --> 00:05:44.112]  I mean, what do they have to hide?
[00:05:44.172 --> 00:05:48.297]  If they don't have anything to hide, why not tell us what's going on with these ammo purchases?
[00:05:48.837 --> 00:05:55.779]  It stinks to high heaven, and we've got the mainstream media complicit in this, going after one small part of this argument.
[00:05:55.799 --> 00:05:57.900]  That's why I decided to bring up this story again today.
[00:05:58.320 --> 00:06:04.302]  One, because we wrote two new articles on it, and two, just to illustrate the fact that they really have no ground to stand on.
[00:06:04.562 --> 00:06:09.044]  There's no reason why the DHS needs 1.4 billion plus bullets.
[00:06:10.424 --> 00:06:16.086]  And mainstream media has no argument for that, so they just take one little part and go after it.
[00:06:17.449 --> 00:06:21.673]  Now we're going to move on to chemtrails, which they've told us for years don't exist.
[00:06:22.013 --> 00:06:31.240]  We're crazy conspiracy theorists to be pointing up at those lines in the sky, wondering why they're there, and asking those questions, and taking the samples, and getting those tested.
[00:06:32.101 --> 00:06:32.701]  We're crazy.
[00:06:32.781 --> 00:06:36.424]  In fact, there's never any, nothing like that goes on here, except now.
[00:06:36.985 --> 00:06:38.406]  Well, now they put a price tag on it.
[00:06:38.726 --> 00:06:41.849]  Cost of chemtrail program put it five billion dollars a year.
[00:06:43.030 --> 00:06:46.953]  And this is a Paul Joseph Watson article, came out today from InfoWars.
[00:06:48.254 --> 00:06:58.650]  The cost of a massive program to spray sun-dimming particles into the upper atmosphere in the name of halting global warming, a process some contend is already underway via chemtrails, has been put at just below $5 billion a year.
[00:07:00.459 --> 00:07:00.679]  U.S.
[00:07:00.699 --> 00:07:13.423]  scientists writing in the Journal of Environmental Research letters concluded that planes or airstrips could carry sun-dimming materials high into the atmosphere for an affordable price tag of below $5 billion a year as a way to slow climate change, reports Reuters.
[00:07:13.903 --> 00:07:18.044]  A process characterized as both feasible and affordable.
[00:07:18.765 --> 00:07:26.047]  One of the co-authors of this study is a man named Jay Abt, and he's out of Carnegie Mellon University in Pittsburgh.
[00:07:26.427 --> 00:07:29.488]  And if you go and look up the history of Carnegie Mellon University,
[00:07:29.957 --> 00:07:38.286]  This is one of the first universities to put on record in their writings and journals that fluoride was good for your teeth, and that we needed to put it in there.
[00:07:38.887 --> 00:07:50.119]  Incidentally, Carnegie Mellon was owned by Andrew Carnegie, also owned a lot in Alcoa, and as part of their aluminum making, what they did was, one of their byproducts was this
[00:07:50.831 --> 00:08:01.339]  Hydrofluorosilicic acid, which they like to put in our water and call it fluoride and say it's good for our teeth, even though if you breathe it or touch it or drink it, it's toxic for you.
[00:08:01.699 --> 00:08:03.040]  But let's move on.
[00:08:03.080 --> 00:08:05.062]  So here's more from Carnegie Institute.
[00:08:05.462 --> 00:08:20.674]  The latest study follows a similar Carnegie Institute for Science proposal, which also advocates spreading the upper atmosphere with aerosols, a process that would reduce by 20% the amount of sunlight that it takes a direct route to the ground and make blue skies fade
[00:08:21.203 --> 00:08:22.404]  To Hazy and White.
[00:08:22.824 --> 00:08:24.946]  And that's from the new scientists that they reported.
[00:08:25.626 --> 00:08:32.572]  So we have a process that they say doesn't exist, never existed, no one's ever doing anything like that, even though there's the lines all over the sky.
[00:08:33.092 --> 00:08:35.915]  But now they're proposing this.
[00:08:35.935 --> 00:08:39.618]  And then it's going to come out later that, oh, we've been doing it all along, but we've just been testing it.
[00:08:39.818 --> 00:08:40.899]  We've just been testing it.
[00:08:40.939 --> 00:08:42.900]  It wasn't a program that we were fully implementing.
[00:08:42.920 --> 00:08:47.684]  We were just testing it over, oh, you know, North America and Europe and South America.
[00:08:48.434 --> 00:08:49.856]  And, uh, Australia.
[00:08:50.396 --> 00:09:00.946]  You know, we were working on a Chemtrail film a while back, and we were getting Chemtrail videos and photos from all over the world, where they were just testing this program that doesn't exist and never has existed.
[00:09:01.407 --> 00:09:02.047]  Only in theory.
[00:09:02.188 --> 00:09:03.629]  Oh, in fact, there's some there.
[00:09:03.669 --> 00:09:04.510]  That's from Spain.
[00:09:05.202 --> 00:09:06.583]  There's a place where it doesn't exist.
[00:09:06.924 --> 00:09:08.425]  Those trails are so beautiful.
[00:09:08.945 --> 00:09:11.548]  You know, that's just, that's just what happens when planes fly in the air.
[00:09:11.588 --> 00:09:14.290]  They leave condensation trails in perfect lines that last for hours.
[00:09:14.370 --> 00:09:18.614]  Even though, when I was a kid, I looked at the sky all the time and never saw those.
[00:09:19.495 --> 00:09:21.937]  I started actually filming chemtrails, I believe, in 2002, 2003.
[00:09:26.451 --> 00:09:43.802]  Well I was listening to the Alex Jones Show and I think a caller called in asking about chemtrails and it was about the time when he was having Clifford Carnicom on the show and I remember I would be out shooting video for the company I work for and I'm looking up and I'm seeing chemtrails everywhere so I just started filming those and I gotta document this and this was in Austin, Texas.
[00:09:45.100 --> 00:09:46.080]  Early 2000s.
[00:09:46.821 --> 00:09:46.080]  2002, 2003, 2004.
[00:09:48.521 --> 00:09:54.784]  So, you know, obviously the program, you know, is still in its beta phase, I guess.
[00:09:55.204 --> 00:09:56.025]  So, moving on.
[00:09:56.505 --> 00:10:04.148]  Reading University's Professor Keith, I love his last name, Shine, told the Daily Mail that clouds formed by aircraft fumes could linger for hours.
[00:10:04.788 --> 00:10:12.016]  Depriving those areas under busy fight paths such as London and home counties of summer sunshine.
[00:10:12.076 --> 00:10:13.058]  So that's what it's meant to do.
[00:10:13.098 --> 00:10:15.040]  It's meant to darken the skies.
[00:10:15.160 --> 00:10:19.985]  It's meant to, you know, they're trying to reverse this problem that isn't even man-made anyway.
[00:10:20.826 --> 00:10:21.586]  And you know what?
[00:10:22.187 --> 00:10:24.107]  Our atmosphere is in a constant state of change.
[00:10:24.147 --> 00:10:26.848]  We've had plenty of climatologists on.
[00:10:27.829 --> 00:10:38.953]  We had a professor from Canada who is actually being ostracized for his views and he's been studying the climate for 30 years and he says it gets warmer, it gets colder, it gets warmer, it gets colder.
[00:10:39.573 --> 00:10:43.234]  So back in 2000, I would say 2007 this happened.
[00:10:43.254 --> 00:10:44.675]  I think the article has a typo here.
[00:10:45.135 --> 00:10:47.036]  KSLA actually did a news piece.
[00:10:47.056 --> 00:10:49.737]  They found that the substance that fell to Earth from a high altitude
[00:10:51.017 --> 00:11:02.487]  Chemtrails contain high levels of barium, 6.8 parts per million, and lead, 8.2 parts per million, as well as trace amounts of other chemicals, including arsenic, chromium, cadmium, selenium, and silver.
[00:11:03.187 --> 00:11:05.249]  All these but one are metals.
[00:11:05.729 --> 00:11:08.652]  Some are toxic, while several are rarely found in nature.
[00:11:08.672 --> 00:11:09.453]  So how did they get there?
[00:11:09.793 --> 00:11:11.834]  Well, that was back in 2008, 2007.
[00:11:12.555 --> 00:11:19.601]  Well, KSLA also asked Mark Ryan, Director of Poison Control, about the effects of barium on the human body.
[00:11:20.680 --> 00:11:27.403]  Ryan commented that short-term exposure can lead to anything from stomach to chest pains, and long-term exposure could cause blood pressure problems.
[00:11:28.243 --> 00:11:36.706]  And the Poison Control Center further reported that long-term exposure, as with any harmful substance, would contribute to the weakening of the immune system.
[00:11:37.367 --> 00:11:47.491]  Wow, so you got the chemtrails, you got high fructose corn syrup, you got GMOs, you have vaccines, all types of things that are hitting your immune system to make you weak for what?
[00:11:47.731 --> 00:11:50.172]  Maybe the coming pandemic, maybe the coming
[00:11:50.951 --> 00:11:53.212]  I don't know, West Nile virus that they're freaking out about?
[00:11:53.672 --> 00:11:55.032]  Well, one thing's for sure.
[00:11:56.213 --> 00:11:57.813]  We know they've been spraying these things.
[00:11:57.973 --> 00:11:59.393]  We know it's been going on for a long time.
[00:11:59.433 --> 00:12:01.554]  I mean, those aren't natural clouds.
[00:12:01.994 --> 00:12:04.375]  What you're seeing there, those are chemtrails.
[00:12:04.735 --> 00:12:05.895]  In fact, we have two movies.
[00:12:06.515 --> 00:12:15.338]  One, What in the World Are They Spraying?, and its follow-up, Why in the World Are They Spraying?, which kind of goes over the eugenics angle, and kind of
[00:12:16.906 --> 00:12:33.253]  Patent issues that have to go with Monsanto and others making aluminum-resistant seeds, because that's another chemical they find a lot in these chemtrails is aluminum, and that by saturating with aluminum, certain crops won't grow until you use the Monsanto seed.
[00:12:33.273 --> 00:12:33.833]  So there you are.
[00:12:33.853 --> 00:12:36.014]  You've got them in a two-pack there at the InfoWars store.
[00:12:36.034 --> 00:12:40.016]  You can go to InfoWarsShop.com or InfoWarsStore.com.
[00:12:40.036 --> 00:12:42.377]  $34.90 for both of them.
[00:12:42.957 --> 00:12:43.998]  And I would suggest you get them.
[00:12:45.291 --> 00:12:47.272]  And have some viewing parties for your friends.
[00:12:47.312 --> 00:12:52.395]  And then, you know what, you'll start walking around going, oh my God, I haven't even noticed this.
[00:12:52.436 --> 00:12:53.816]  You know, because a lot of people don't notice them.
[00:12:53.876 --> 00:12:59.020]  I talk to people all the time that see them and they don't know what they are.
[00:12:59.040 --> 00:13:00.961]  I'll say, hey, do you see that right there?
[00:13:00.981 --> 00:13:01.941]  Does that look like a normal cloud?
[00:13:01.961 --> 00:13:03.182]  And they're like, no, it actually doesn't.
[00:13:03.222 --> 00:13:04.123]  I'm like, yeah, you know why?
[00:13:04.163 --> 00:13:05.303]  Because an airplane just made it.
[00:13:05.564 --> 00:13:07.045]  And there it is again making another one.
[00:13:07.385 --> 00:13:09.326]  Why do you think they stay over the atmosphere like that?
[00:13:09.726 --> 00:13:09.846]  Hmm?
[00:13:11.468 --> 00:13:12.148]  That's what they're doing.
[00:13:12.188 --> 00:13:19.910]  It's part of the New World Order eugenics agenda, and now they're going to make us pay for it to the tune of about five billion dollars a year.
[00:13:20.190 --> 00:13:22.771]  So there's all kinds of health effects associated with chemtrails.
[00:13:22.811 --> 00:13:32.073]  You can go read it in the article about just the exposure to sulfur, what happens to your body, not to mention the barium, you've got aluminum, you've got chromium, all kinds of things.
[00:13:32.153 --> 00:13:33.153]  And go check out this article.
[00:13:33.173 --> 00:13:35.934]  It's called Cost of Chemtrail Program, put at five billion dollars a year.
[00:13:35.954 --> 00:13:37.434]  It's by Paul Joseph Watson.
[00:13:37.454 --> 00:13:39.135]  A lot of good information in that.
[00:13:39.595 --> 00:13:39.875]  And then
[00:13:40.495 --> 00:13:41.736]  While you're at it, pick these up.
[00:13:42.557 --> 00:13:49.543]  Educate yourself, so you, you know, you don't look like a crazy person when you are talking about it, jumping up, pointing at the sky, like I do.
[00:13:49.823 --> 00:13:51.205]  A lot.
[00:13:51.805 --> 00:13:54.508]  Now moving on to another fear-mongering exercise.
[00:13:54.548 --> 00:13:59.132]  Manhattan, next urban area to be mass-sprayed with pesticides in West Nile propaganda circus.
[00:13:59.943 --> 00:14:01.824]  This is from Ethan Huff, Adam Natural News.
[00:14:01.864 --> 00:14:13.091]  Thousands of residents living in dozens of neighborhoods at the center of the Big Apple are the latest victims to be forcibly sprayed with toxic pesticides as part of the ongoing nationwide propaganda circus involving the West Nile virus.
[00:14:13.771 --> 00:14:27.499]  Reports indicate that thousands of Manhattanites and others living in Brooklyn and elsewhere have already begun to be dosed with Envil, a toxic insecticide chemical linked to endocrine disruption, liver damage, infertility, cognitive damage, and cancer, among other conditions.
[00:14:28.846 --> 00:14:49.490]  And as of this writing, the New York City Department of Health and Mental Hygiene reports that there have been a mere 10 documented cases of West Nile encephalitis or meningitis in New York in 2012, which is apparently enough to warrant a mass spraying of chemicals throughout Manhattan's prestigious Upper West Side, Brooklyn South Side, Central Park and elsewhere.
[00:14:50.290 --> 00:14:54.891]  Sprays began on Friday, August 31st and continued in the days that followed.
[00:14:55.996 --> 00:15:03.121]  Now if you go on to read the rest of this article, which you should, this is linked on our, it's on our site, but it links back to the Natural News article.
[00:15:04.201 --> 00:15:10.626]  You can even read about, there's a link to a John Rappaport article where he thinks the disease may not even exist.
[00:15:11.226 --> 00:15:21.713]  Freelance investigative reporter John Rappaport recently wrote a piece on how there is no concrete scientific evidence proving that West Nile virus is even a real disease, as it has never been isolated or examined.
[00:15:22.113 --> 00:15:24.515]  So you can go read his report too that's on Natural News.
[00:15:25.069 --> 00:15:29.111]  And let me tell you, they're freaking out here in Austin, Texas.
[00:15:29.191 --> 00:15:36.135]  I had people, because they know I work for the show and that I'm up on the news, and they're like, what are the symptoms of West Nile virus?
[00:15:36.256 --> 00:15:38.017]  I don't know, it's kind of like a flu-like symptom.
[00:15:39.237 --> 00:15:43.580]  If you get it, most people won't even know that they have it, and then they have a lifelong immunity to it.
[00:15:43.680 --> 00:15:47.102]  So it's not this deadly thing, even if it exists.
[00:15:49.083 --> 00:15:52.585]  So who knows if it really does exist, but the people here are freaking out.
[00:15:52.605 --> 00:15:54.146]  They're spraying up in Dallas for it.
[00:15:55.092 --> 00:15:57.494]  And, uh, it's just, you know, mosquitoes are a by-product.
[00:15:57.514 --> 00:16:00.236]  I've been living with mosquitoes all my life, coming from Louisiana.
[00:16:00.617 --> 00:16:06.661]  And I do remember, we would hear the truck coming and making this eeeeee sound.
[00:16:07.222 --> 00:16:16.589]  And it was a, uh, kind of a pickup truck and it had a big, you know, dispenser on the back and it would just shoot the whole area full of this who knows what back then.
[00:16:17.070 --> 00:16:21.493]  And, you know, my mom would say, close the windows, everybody close the windows, and we'd run around closing all the windows.
[00:16:21.513 --> 00:16:23.034]  I don't even know if that helped.
[00:16:24.229 --> 00:16:27.673]  Probably why I speak out against the New World Order now, because I was sprayed so much as a kid.
[00:16:27.693 --> 00:16:28.854]  I doubt it.
[00:16:29.835 --> 00:16:35.122]  Mainly because I have common sense and I look at things in an objective light.
[00:16:36.423 --> 00:16:39.046]  But I wouldn't freak out too much about the West Nile virus.
[00:16:39.106 --> 00:16:41.208]  If you're a healthy person, take your vitamins.
[00:16:43.511 --> 00:16:44.132]  You should be fine.
[00:16:45.441 --> 00:16:50.465]  So moving on, CNBC.com, EU says Greeks should work six-day week.
[00:16:50.865 --> 00:16:51.826]  That's their new report.
[00:16:52.487 --> 00:16:58.111]  So the bankers loot the country, steal all the cash, now Greeks have to work a six-day work week.
[00:16:58.512 --> 00:17:10.061]  The Greeks should operate a six-day working week for all sectors, international creditors said in a letter to the Greek government, a measure which forms part of a wider set of demands in return for aid to the country.
[00:17:10.381 --> 00:17:13.203]  So you want our free money, our money that we print out of thin air?
[00:17:13.283 --> 00:17:14.945]  Well, start working that one extra day.
[00:17:15.626 --> 00:17:29.854]  And a leaked letter reported in the Guardian newspaper, the European Commission, European Central Bank and International Monetary Fund, all organizations of love and truthfulness, called for Athens to implement the measure as part of a bailout agreement with lenders.
[00:17:30.534 --> 00:17:39.419]  Well, I say this, Greeks, why don't you start investigating the bankers that caused the problem and start arresting them like they're doing in Iceland?
[00:17:39.719 --> 00:17:43.381]  Iceland's already had a recovery and they didn't have to bow down to central bank pressure.
[00:17:43.902 --> 00:17:44.362]  And you guys
[00:17:45.566 --> 00:17:46.787]  You're not a giant country.
[00:17:46.827 --> 00:17:48.789]  You could probably turn this around.
[00:17:48.829 --> 00:17:49.549]  There's still time.
[00:17:49.910 --> 00:17:51.551]  But you've got to educate the people.
[00:17:52.011 --> 00:17:53.452]  The people have to get mad at the government.
[00:17:54.013 --> 00:17:58.036]  And basically, you know, not just this protest of we need free stuff.
[00:17:58.436 --> 00:18:00.278]  A protest of let's go after the bankers.
[00:18:00.858 --> 00:18:01.879]  That's what needs to happen.
[00:18:04.481 --> 00:18:06.503]  Moving on to CBS News.
[00:18:06.563 --> 00:18:10.406]  Television stations can start using drones to cover news stories.
[00:18:10.933 --> 00:18:16.660]  There you go, and there's iOne, iNews One, your Illuminati-funded news organization.
[00:18:17.040 --> 00:18:22.988]  A drone originally developed for military use could soon be used by television stations and journalists as a news gathering device.
[00:18:23.709 --> 00:18:24.329]  That's right.
[00:18:24.610 --> 00:18:35.136]  We're looking over the LA freeway right now and we've got our license plate readers active and we see at least 15 people that need to pay unpaid parking tickets and a couple that don't have current registrations.
[00:18:35.156 --> 00:18:38.999]  We're going to send that information right over to the police so they can go after these emiscriants.
[00:18:39.319 --> 00:18:40.159]  Back to you, Ted.
[00:18:40.319 --> 00:18:43.922]  Yeah, that's what's going to happen when you have drones reporting the news.
[00:18:45.162 --> 00:18:57.791]  Here we go, in the article, we will likely have new cases involving civil lawsuits by those who assert the media has been unlawfully intruding upon their privacy rights by recording, publishing, or broadcasting images captured by drones.
[00:18:58.452 --> 00:19:03.415]  And this is a guy, last name is, it's Mickey Oistreicher.
[00:19:04.648 --> 00:19:07.549]  And he told the Harvard Law and Policy Review.
[00:19:08.109 --> 00:19:21.734]  This will also have the usual right to be left alone causes of action with the concomitant false light and public figure implications as well as intrusion of solitude or public disclosure of private facts and appropriation.
[00:19:22.814 --> 00:19:25.855]  And then EPIC, the Electronic Privacy Information Center,
[00:19:26.644 --> 00:19:35.210]  Representative, actually she's legal counsel, Amy Stepanovich said these are designed to have very invasive equipment and watch people's movements.
[00:19:35.651 --> 00:19:39.794]  Well, they're also designed to have machine guns and tasers and hellfire missiles.
[00:19:40.314 --> 00:19:47.259]  And hey, you know, since we have the military using drones to spy on us and do all kinds of things, why not have the news also using drones to report on it?
[00:19:47.780 --> 00:19:51.723]  That way, there's no public accountability whatsoever to any of these organizations.
[00:19:52.824 --> 00:19:53.204]  Moving on.
[00:19:53.993 --> 00:20:01.882]  To a piece out of the Collingswood patch, Oakland police, and this is Oakland in New Jersey, seek InfoWars.com graffitiists.
[00:20:02.784 --> 00:20:10.333]  And what may be an act of political vandalism, graffiti artists advertising the counterculture website found near the Oakland railroad tracks.
[00:20:10.393 --> 00:20:12.275]  And there's a couple pictures there, you can see the...
[00:20:12.873 --> 00:20:19.157]  Artwork that was done there on a junction box and then again, I think there it is on a bridge culvert.
[00:20:19.718 --> 00:20:21.119]  Infowars.com.
[00:20:21.539 --> 00:20:31.486]  On August 29th and 30th, Oakland police found four separate instances of graffiti throughout the borough in which Infowars.com had been spray painted in red and black paint.
[00:20:32.386 --> 00:20:35.909]  They collected forensic evidence at the scene of each incident.
[00:20:36.576 --> 00:20:41.121]  That was submitted to the New Jersey State Police Crime Lab for processing.
[00:20:41.681 --> 00:20:45.045]  Each of these is being considered a separate account of criminal mischief.
[00:20:46.486 --> 00:20:46.827]  Wow.
[00:20:47.768 --> 00:20:53.594]  So the police are so concerned that people are spray painting Infowars.com in places.
[00:20:54.244 --> 00:21:00.831]  That they've dispatched a team of investigators to collect forensic evidence submitted to a crime lab?
[00:21:00.991 --> 00:21:02.853]  I mean, this seems like overkill.
[00:21:02.873 --> 00:21:06.857]  Hey, why not just use a little scrubber and paint over it or take it off?
[00:21:07.177 --> 00:21:10.921]  You don't see them going after or treating regular graffiti artists like this, do you?
[00:21:11.182 --> 00:21:11.342]  No.
[00:21:11.822 --> 00:21:12.043]  You know...
[00:21:12.683 --> 00:21:30.369]  Since you're in New Jersey, why don't you investigate your former governor, Jim Corzine, who stole about $2 billion worth of segregated account money from his investors and used it on betting the farm any which way, and he sent that money to JPMorgan.
[00:21:30.389 --> 00:21:31.270]  Why aren't we investing that?
[00:21:31.330 --> 00:21:37.712]  Why are we so concerned about people putting up InfoWars.com, a website, enough that we're going to
[00:21:38.649 --> 00:21:40.510]  Have a formal investigation into the matter.
[00:21:40.970 --> 00:21:41.650]  It gets worse.
[00:21:42.070 --> 00:21:59.017]  According to a press release from Oakland Police Chief Joseph T. Abati, police believe that someone may recognize the writing or may have information about someone who has shown interest in the website and are asking anyone with information about the incident to put on their brown shirts, see something, say something, and report to their nearest commissar.
[00:21:59.337 --> 00:22:04.899]  In fact, they give out their phone numbers, so let's give them out here on air so we can, you know, maybe report some crimes to the New Jersey
[00:22:05.479 --> 00:22:08.601]  Police Chief, Oakland Police Chief, 856-854-0049, extension 6028 or 6023.
[00:22:08.641 --> 00:22:11.583]  That's 856-854-0049, extensions 6028-6030, and that's to the Oakland PD Detective Bureau.
[00:22:25.839 --> 00:22:29.782]  Why don't we ask them about child kidnapping rings that are run by the government?
[00:22:29.802 --> 00:22:40.389]  Why don't we ask them to investigate the UN, which is just over the river in New York City, and their constant warmongering efforts and stealing the resources from people?
[00:22:40.790 --> 00:22:42.391]  Why don't we ask them about Jim Corzine?
[00:22:45.033 --> 00:22:49.236]  Why are we so concerned about people spray-painting a website in four different places in New Jersey?
[00:22:49.936 --> 00:22:51.978]  Well, they're afraid of the information getting out.
[00:22:51.998 --> 00:22:54.740]  This brings us to our quote of the day.
[00:22:56.294 --> 00:23:04.602]  Very apropos to the earlier story on drones, if you're concerned about it, maybe there's a reason we should be flying over you, right?
[00:23:05.663 --> 00:23:18.856]  And that's Douglas MacDonald, Director of Special Operations at the Unmanned Applications Institute International, defending the domestic use of unmanned drones which recently led to a 16-hour standoff between a farmer, his family, and police in North Dakota.
[00:23:20.137 --> 00:23:21.478]  Yeah, you have nothing to fear, right?
[00:23:21.498 --> 00:23:22.399]  So let us just come on in.
[00:23:22.439 --> 00:23:23.940]  Let us put our hands down your pants.
[00:23:24.261 --> 00:23:26.062]  Let us feel up your daughters and sons.
[00:23:26.362 --> 00:23:29.845]  Let us see what's in that coffee cup, because Al-Qaeda may be hiding in it.
[00:23:29.865 --> 00:23:30.886]  And what do you have to hide?
[00:23:31.387 --> 00:23:36.811]  And if you try to get the word out about any of this stuff going on, we're going to launch a full investigation.
[00:23:36.831 --> 00:23:40.034]  We're going to be right back with Linda West.
[00:23:40.054 --> 00:23:43.817]  She's going to interview a FEMA and PREPRA expert, Dave Acton.
