[00:00:07.253 --> 00:00:11.797]  We have been told the end of our world will occur on December 21st, 2012.
[00:05:08.916 --> 00:05:17.741]  In conclusion, I want to cover some real threats that could not just destroy the human species, but could destroy this beautiful planet itself.
[00:05:18.321 --> 00:05:32.149]  Many top physicists and scientists are on record saying that these giant cyclotrons and superconducting super colliders, like the Hadron Facility in Europe, are engaged in experiments that could possibly destroy this planet.
[00:05:32.449 --> 00:05:32.990]  We're good to go.
[00:05:41.544 --> 00:05:46.588]  Interestingly enough, CERN goes live on December 16th through the 21st.
[00:05:47.208 --> 00:05:59.136]  Many scientists have warned that nanotech could get out of control and create a self-replicating manufacturing system that would overtake the service of the globe in just a matter of days.
[00:05:59.577 --> 00:06:11.065]  In hundreds of major studies, GMO crops that have been eaten by Americans for decades cause near total sterility, brain damage, and deformities in the different rodents that they've been fed to.
[00:06:11.485 --> 00:06:27.368]  Major universities for decades have been stampeding each other to publish things like the mouse pox recipe that can be redesigned for humans very easily and inexpensively and kills more than 90% of mammal species that come in contact with it.
[00:06:28.089 --> 00:06:31.990]  And then, of course, there's the good old-fashioned threat of nuclear weapons.
[00:06:32.371 --> 00:06:35.812]  More than 60,000 of them held by governments right now.
[00:06:36.072 --> 00:06:40.013]  Onboard aircraft, underwater submarines, missile cruisers.
[00:06:40.514 --> 00:06:51.758]  Back in the 1960s, many nuclear physicists believed that high-altitude detonations of hydrogen bombs could blow a hole in our atmosphere and that the planet could become dead.
[00:06:52.728 --> 00:06:54.891]  Still, the military went ahead with the test.
[00:06:55.512 --> 00:07:01.680]  Teak, with a yield of 3.8 megatons, detonated nearly 50 miles above the surface of the Earth.
[00:07:03.220 --> 00:07:07.063]  The detonation created a violent magnetic disturbance in the atmosphere.
[00:07:07.644 --> 00:07:27.200]  And the point I'm getting at here is that the mad scientist technocratic elite that runs our planet always engages in the most destructive reckless behavior while lecturing us that we need a world government to keep rogue states from developing dangerous chemical, biological, and radiological weapons.
[00:07:27.600 --> 00:07:31.002]  The seeds of our destruction may have already been sown.
[00:07:31.322 --> 00:07:40.727]  It is imperative that we have a serious debate about the real threats facing us and not raptures and 2012 end-of-the-world garbage.
[00:07:41.207 --> 00:07:50.972]  There is no way that our society, that our civilization is going to survive if people don't start really getting wise about the real threats we face.
[00:07:51.533 --> 00:07:55.755]  If you are listening or watching this transmission, you are the resistance.
